# Station Code,eoro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PPMT,SGRN,WGRN
06/06,0.18,0.212,0.17,0.143,0.098,0.21,0.212
06/07,0.173,0.2,0.16,0.138,0.095,0.2,0.2
06/08,0.165,0.195,0.155,0.133,0.095,0.195,0.195
06/09,0.167,0.198,0.158,0.133,0.105,0.198,0.198
06/10,0.188,0.22,0.177,0.15,0.118,0.22,0.22
06/11,0.195,0.23,0.182,0.158,0.125,0.23,0.23
06/12,0.168,0.198,0.158,0.133,0.108,0.198,0.198
06/13,0.175,0.205,0.168,0.14,0.115,0.205,0.205
06/14,0.223,0.26,0.208,0.177,0.148,0.26,0.26
06/15,0.193,0.225,0.18,0.155,0.135,0.225,0.225
06/16,0.188,0.22,0.175,0.152,0.135,0.22,0.22
06/17,0.205,0.242,0.195,0.165,0.15,0.242,0.242
06/18,0.205,0.24,0.193,0.163,0.152,0.24,0.24
06/19,0.203,0.237,0.19,0.16,0.158,0.237,0.237
06/20,0.193,0.225,0.18,0.152,0.152,0.225,0.225
06/21,0.213,0.253,0.2,0.17,0.175,0.253,0.253
06/22,0.198,0.233,0.185,0.158,0.165,0.233,0.233
06/23,0.225,0.265,0.212,0.18,0.193,0.265,0.265
06/24,0.233,0.273,0.22,0.185,0.2,0.273,0.273
06/25,0.233,0.275,0.223,0.185,0.205,0.275,0.275
06/26,0.243,0.285,0.225,0.193,0.217,0.285,0.285
06/27,0.282,0.33,0.265,0.223,0.26,0.33,0.33
06/28,0.287,0.338,0.27,0.23,0.27,0.338,0.338
06/29,0.235,0.273,0.217,0.188,0.212,0.273,0.273
06/30,0.247,0.292,0.235,0.2,0.235,0.292,0.29
07/01,0.263,0.307,0.245,0.208,0.25,0.307,0.305
07/02,0.258,0.302,0.242,0.205,0.247,0.302,0.3
07/03,0.255,0.297,0.24,0.2,0.247,0.297,0.29
07/04,0.235,0.278,0.225,0.188,0.233,0.278,0.27
07/05,0.24,0.28,0.225,0.19,0.235,0.28,0.27
07/06,0.265,0.31,0.245,0.21,0.265,0.31,0.285
07/07,0.307,0.36,0.29,0.245,0.307,0.36,0.32
07/08,0.253,0.297,0.238,0.203,0.258,0.297,0.255
07/09,0.255,0.302,0.242,0.205,0.268,0.302,0.25
07/10,0.245,0.29,0.235,0.198,0.258,0.29,0.237
07/11,0.28,0.33,0.26,0.223,0.29,0.33,0.263
07/12,0.25,0.293,0.233,0.2,0.257,0.293,0.227
07/13,0.263,0.31,0.25,0.21,0.273,0.31,0.237
07/14,0.257,0.3,0.237,0.203,0.267,0.3,0.22
07/15,0.297,0.343,0.273,0.23,0.307,0.343,0.237
07/16,0.263,0.307,0.243,0.207,0.273,0.307,0.203
07/17,0.273,0.32,0.253,0.217,0.287,0.32,0.2
07/18,0.277,0.323,0.26,0.217,0.293,0.323,0.187
07/19,0.25,0.297,0.24,0.203,0.273,0.287,0.158
07/20,0.258,0.302,0.242,0.205,0.28,0.282,0.15
07/21,0.27,0.318,0.253,0.215,0.295,0.292,0.143
07/22,0.287,0.338,0.27,0.228,0.315,0.305,0.143
07/23,0.245,0.287,0.228,0.195,0.27,0.247,0.113
07/24,0.265,0.312,0.25,0.212,0.292,0.258,0.118
07/25,0.247,0.287,0.23,0.193,0.27,0.223,0.033
07/26,0.258,0.3,0.237,0.203,0.285,0.223,0.14
07/27,0.29,0.34,0.273,0.23,0.323,0.237,0.15
07/28,0.265,0.312,0.25,0.215,0.297,0.203,0.13
07/29,0.255,0.297,0.237,0.203,0.285,0.18,0.12
07/30,0.285,0.335,0.268,0.23,0.318,0.19,0.12
07/31,0.26,0.305,0.243,0.208,0.287,0.16,0.11
08/01,0.255,0.3,0.242,0.202,0.282,0.113,0.0
08/02,0.228,0.265,0.213,0.18,0.253,0.14,
08/03,0.233,0.275,0.223,0.188,0.263,0.123,
08/04,0.225,0.265,0.213,0.182,0.253,0.09,
08/05,0.263,0.31,0.247,0.21,0.292,0.043,
08/06,0.247,0.29,0.23,0.198,0.277,0.09,
08/07,0.205,0.24,0.19,0.165,0.23,0.05,
08/08,0.232,0.273,0.217,0.185,0.26,0.08,
08/09,0.228,0.268,0.212,0.182,0.258,0.09,
08/10,0.247,0.29,0.235,0.195,0.277,0.0,
08/11,0.245,0.287,0.23,0.195,0.275,,
08/12,0.265,0.31,0.247,0.21,0.295,,
08/13,0.255,0.302,0.245,0.207,0.285,,
08/14,0.235,0.275,0.22,0.188,0.265,,
08/15,0.242,0.285,0.23,0.195,0.273,,
08/16,0.268,0.312,0.25,0.21,0.297,,
08/17,0.217,0.258,0.205,0.175,0.245,,
08/18,0.203,0.238,0.19,0.163,0.225,,
08/19,0.193,0.228,0.18,0.155,0.217,,
08/20,0.182,0.215,0.172,0.145,0.205,,
08/21,0.163,0.193,0.155,0.133,0.185,,
08/22,0.198,0.23,0.185,0.158,0.22,,
08/23,0.19,0.223,0.177,0.152,0.212,,
08/24,0.208,0.242,0.195,0.163,0.232,,
08/25,0.205,0.238,0.19,0.163,0.228,,
08/26,0.217,0.258,0.205,0.175,0.245,,
08/27,0.215,0.25,0.2,0.17,0.24,,
08/28,0.22,0.26,0.208,0.175,0.25,,
08/29,0.22,0.26,0.205,0.172,0.247,,
08/30,0.253,0.297,0.237,0.198,0.282,,
08/31,0.24,0.28,0.223,0.182,0.268,,
09/01,0.19,0.22,0.175,0.145,0.212,,
09/02,0.242,0.285,0.228,0.188,0.27,,
09/03,0.198,0.235,0.188,0.155,0.223,,
09/04,0.193,0.225,0.177,0.147,0.215,,
09/05,0.19,0.223,0.18,0.145,0.16,,
09/06,0.21,0.25,0.2,0.165,0.24,,
09/07,0.215,0.255,0.205,0.168,0.24,,
09/08,0.17,0.2,0.163,0.13,0.167,,
09/09,0.21,0.245,0.195,0.158,0.233,,
09/10,0.213,0.25,0.198,0.16,0.0,,
09/11,0.273,0.323,0.255,0.205,,,
09/12,0.153,0.183,0.147,0.117,,,
09/13,0.17,0.2,0.16,0.127,,,
09/14,0.17,0.2,0.16,0.127,,,
09/15,0.16,0.19,0.153,0.12,,,
09/16,0.147,0.173,0.137,0.107,,,
09/17,0.15,0.177,0.143,0.107,,,
09/18,0.157,0.183,0.147,0.113,,,
09/19,0.143,0.17,0.133,0.103,,,
09/20,0.153,0.18,0.143,0.107,,,
09/21,0.107,0.12,0.097,0.073,,,
09/22,0.14,0.167,0.133,0.097,,,
09/23,0.153,0.177,0.143,0.1,,,
09/24,0.123,0.143,0.113,0.077,,,
09/25,0.177,0.207,0.167,0.11,,,
09/26,0.133,0.157,0.127,0.08,,,
09/27,0.147,0.173,0.137,0.09,,,
09/28,0.153,0.183,0.15,0.093,,,
09/29,0.13,0.153,0.123,0.073,,,
09/30,0.1,0.12,0.097,0.057,,,
10/01,0.113,0.13,0.103,0.06,,,
10/02,0.117,0.14,0.113,0.063,,,
10/03,0.107,0.123,0.097,0.053,,,
10/04,0.13,0.153,0.12,0.06,,,
10/05,0.0,0.0,0.0,0.0,,,
