# Station Code,spli
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
06/13,0.169,0.199,0.17,0.18,0.159,0.134,0.198,0.199
06/14,0.168,0.199,0.153,0.16,0.159,0.134,0.199,0.199
06/15,0.146,0.17,0.163,0.17,0.137,0.116,0.17,0.17
06/16,0.146,0.171,0.177,0.183,0.136,0.116,0.171,0.171
06/17,0.177,0.208,0.183,0.19,0.166,0.143,0.208,0.208
06/18,0.163,0.193,0.167,0.177,0.156,0.131,0.193,0.193
06/19,0.169,0.199,0.147,0.157,0.158,0.136,0.199,0.199
06/20,0.173,0.202,0.16,0.17,0.162,0.137,0.202,0.202
06/21,0.172,0.202,0.177,0.19,0.161,0.139,0.202,0.202
06/22,0.191,0.224,0.213,0.233,0.179,0.153,0.224,0.224
06/23,0.186,0.217,0.22,0.243,0.172,0.148,0.217,0.217
06/24,0.179,0.211,0.213,0.24,0.169,0.142,0.211,0.211
06/25,0.206,0.242,0.22,0.247,0.192,0.164,0.242,0.242
06/26,0.206,0.24,0.217,0.237,0.192,0.163,0.24,0.24
06/27,0.2,0.233,0.223,0.247,0.186,0.16,0.233,0.233
06/28,0.203,0.241,0.247,0.277,0.192,0.163,0.241,0.241
06/29,0.199,0.234,0.24,0.267,0.187,0.16,0.234,0.234
06/30,0.202,0.237,0.23,0.257,0.19,0.161,0.237,0.237
07/01,0.216,0.251,0.26,0.293,0.201,0.172,0.251,0.25
07/02,0.2,0.236,0.237,0.267,0.186,0.16,0.236,0.234
07/03,0.2,0.233,0.19,0.213,0.187,0.158,0.233,0.231
07/04,0.191,0.222,0.173,0.197,0.178,0.151,0.222,0.219
07/05,0.21,0.247,0.203,0.233,0.197,0.167,0.247,0.242
07/06,0.204,0.24,0.2,0.233,0.192,0.162,0.24,0.234
07/07,0.201,0.236,0.21,0.243,0.19,0.161,0.236,0.23
07/08,0.189,0.221,0.203,0.237,0.176,0.15,0.221,0.212
07/09,0.209,0.246,0.213,0.247,0.198,0.167,0.246,0.232
07/10,0.192,0.228,0.187,0.217,0.181,0.154,0.227,0.209
07/11,0.193,0.227,0.19,0.22,0.183,0.154,0.226,0.21
07/12,0.21,0.249,0.21,0.243,0.199,0.17,0.246,0.223
07/13,0.21,0.249,0.2,0.23,0.2,0.169,0.246,0.219
07/14,0.222,0.259,0.217,0.25,0.206,0.178,0.253,0.224
07/15,0.207,0.243,0.213,0.247,0.194,0.167,0.234,0.203
07/16,0.234,0.274,0.22,0.253,0.219,0.184,0.26,0.22
07/17,0.225,0.264,0.25,0.287,0.211,0.18,0.251,0.211
07/18,0.231,0.273,0.213,0.243,0.219,0.186,0.26,0.206
07/19,0.197,0.231,0.177,0.203,0.186,0.157,0.214,0.166
07/20,0.229,0.268,0.22,0.253,0.216,0.182,0.243,0.181
07/21,0.229,0.27,0.2,0.233,0.217,0.183,0.239,0.171
07/22,0.208,0.244,0.227,0.257,0.196,0.166,0.213,0.153
07/23,0.223,0.261,0.213,0.25,0.208,0.178,0.228,0.157
07/24,0.223,0.264,0.217,0.247,0.213,0.179,0.226,0.151
07/25,0.198,0.231,0.223,0.25,0.184,0.157,0.191,0.116
07/26,0.201,0.239,0.22,0.25,0.191,0.163,0.207,0.139
07/27,0.198,0.232,0.163,0.187,0.186,0.159,0.194,0.123
07/28,0.206,0.243,0.2,0.227,0.194,0.166,0.193,0.123
07/29,0.219,0.258,0.217,0.247,0.207,0.177,0.188,0.12
07/30,0.236,0.277,0.213,0.24,0.221,0.188,0.189,0.119
07/31,0.247,0.29,0.237,0.27,0.233,0.197,0.186,0.116
08/01,0.213,0.251,0.19,0.217,0.2,0.17,0.146,0.067
08/02,0.234,0.277,0.2,0.223,0.222,0.189,0.169,0.113
08/03,0.213,0.251,0.213,0.237,0.201,0.172,0.137,0.092
08/04,0.212,0.248,0.21,0.233,0.199,0.169,0.123,0.083
08/05,0.191,0.226,0.137,0.15,0.182,0.153,0.074,0.02
08/06,0.189,0.222,0.173,0.193,0.179,0.152,0.11,0.07
08/07,0.181,0.211,0.16,0.18,0.17,0.143,0.09,0.06
08/08,0.176,0.208,0.167,0.187,0.166,0.142,0.08,0.07
08/09,0.134,0.158,0.127,0.14,0.127,0.109,0.058,0.04
08/10,0.179,0.209,0.167,0.19,0.167,0.142,0.022,0.0
08/11,0.198,0.232,0.193,0.217,0.186,0.16,0.1,
08/12,0.186,0.217,0.177,0.2,0.173,0.148,0.09,
08/13,0.167,0.196,0.17,0.187,0.157,0.133,0.09,
08/14,0.189,0.22,0.177,0.197,0.176,0.15,0.07,
08/15,0.193,0.229,0.207,0.23,0.183,0.156,0.0,
08/16,0.194,0.228,0.19,0.213,0.182,0.154,,
08/17,0.18,0.21,0.177,0.2,0.168,0.143,,
08/18,0.216,0.252,0.233,0.257,0.202,0.172,,
08/19,0.169,0.198,0.12,0.13,0.159,0.134,,
08/20,0.169,0.197,0.137,0.147,0.158,0.134,,
08/21,0.184,0.217,0.117,0.13,0.172,0.147,,
08/22,0.158,0.187,0.097,0.11,0.149,0.127,,
08/23,0.163,0.192,0.137,0.15,0.154,0.131,,
08/24,0.187,0.218,0.15,0.163,0.174,0.148,,
08/25,0.151,0.179,0.127,0.14,0.142,0.119,,
08/26,0.147,0.173,0.14,0.157,0.138,0.117,,
08/27,0.162,0.192,0.133,0.15,0.152,0.129,,
08/28,0.148,0.174,0.137,0.147,0.141,0.116,,
08/29,0.166,0.196,0.137,0.147,0.158,0.129,,
08/30,0.151,0.174,0.113,0.127,0.139,0.117,,
08/31,0.162,0.191,0.15,0.16,0.156,0.127,,
09/01,0.164,0.193,0.127,0.137,0.154,0.127,,
09/02,0.151,0.177,0.127,0.137,0.14,0.113,,
09/03,0.121,0.146,0.073,0.077,0.119,0.094,,
09/04,0.14,0.164,0.107,0.113,0.132,0.106,,
09/05,0.141,0.166,0.143,0.153,0.132,0.108,,
09/06,0.112,0.132,0.123,0.137,0.106,0.086,,
09/07,0.137,0.16,0.133,0.143,0.129,0.101,,
09/08,0.124,0.148,0.127,0.14,0.117,0.094,,
09/09,0.129,0.15,0.127,0.137,0.121,0.097,,
09/10,0.136,0.158,0.103,0.11,0.128,0.098,,
09/11,0.111,0.13,0.073,0.077,0.106,0.082,,
09/12,0.113,0.132,0.077,0.087,0.104,0.084,,
09/13,0.12,0.14,0.093,0.1,0.112,0.088,,
09/14,0.101,0.119,0.087,0.097,0.094,0.073,,
09/15,0.122,0.144,0.117,0.127,0.116,0.089,,
09/16,0.111,0.13,0.117,0.127,0.103,0.08,,
09/17,0.094,0.111,0.09,0.097,0.089,0.068,,
09/18,0.088,0.102,0.077,0.083,0.081,0.06,,
09/19,0.087,0.101,0.073,0.077,0.081,0.059,,
09/20,0.092,0.111,0.077,0.083,0.09,0.062,,
09/21,0.106,0.126,0.12,0.13,0.101,0.068,,
09/22,0.088,0.103,0.053,0.053,0.083,0.054,,
09/23,0.096,0.111,0.08,0.083,0.09,0.06,,
09/24,0.1,0.117,0.077,0.083,0.092,0.057,,
09/25,0.093,0.11,0.093,0.103,0.089,0.056,,
09/26,0.098,0.114,0.08,0.087,0.092,0.056,,
09/27,0.093,0.108,0.063,0.073,0.084,0.049,,
09/28,0.086,0.1,0.057,0.063,0.08,0.043,,
09/29,0.086,0.101,0.04,0.047,0.081,0.044,,
09/30,0.038,0.044,0.05,0.053,0.016,0.01,,
10/01,0.05,0.06,0.057,0.067,0.05,0.03,,
10/02,0.075,0.085,0.05,0.06,0.08,0.05,,
10/03,0.06,0.07,0.057,0.067,0.04,0.02,,
10/04,0.04,0.05,0.053,0.063,0.03,0.02,,
10/05,0.06,0.075,0.07,0.08,0.03,0.02,,
10/06,0.04,0.045,0.057,0.067,0.02,0.01,,
10/07,0.045,0.055,0.06,0.07,0.03,0.02,,
10/08,0.045,0.055,0.057,0.067,0.04,0.02,,
10/09,0.06,0.07,0.06,0.073,0.06,0.03,,
10/10,,,0.05,0.06,,,,
10/11,0.06,0.07,0.06,0.073,,,,
10/12,0.04,0.05,0.037,0.047,,,,
10/13,0.02,0.02,0.033,0.043,,,,
10/14,0.03,0.04,0.033,0.04,,,,
10/15,0.03,0.03,0.04,0.047,,,,
10/16,0.06,0.07,0.05,0.063,,,,
10/17,0.04,0.05,0.043,0.053,,,,
10/18,0.05,0.06,0.043,0.053,,,,
10/19,0.07,0.08,0.047,0.057,,,,
10/20,0.03,0.03,0.0,0.0,,,,
10/21,0.04,0.05,,,,,,
10/22,0.01,0.01,,,,,,
10/23,0.03,0.03,,,,,,
10/24,0.01,0.01,,,,,,
10/25,0.03,0.03,,,,,,
10/26,0.04,0.05,,,,,,
10/27,0.08,0.09,,,,,,
10/28,0.05,0.06,,,,,,
10/29,0.04,0.05,,,,,,
10/30,0.03,0.03,,,,,,
10/31,0.05,0.06,,,,,,
