# Station Code,ktbi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,SGRN,WGRN
04/21,0.124,0.125,0.16,0.118,,0.058,0.163
04/22,0.149,0.152,0.185,0.137,,0.076,0.191
04/23,0.124,0.126,0.149,0.113,,0.07,0.156
04/24,0.119,0.12,0.146,0.11,,0.066,0.15
04/25,0.116,0.117,0.14,0.105,,0.049,0.145
04/26,0.127,0.129,0.149,0.113,,0.055,0.158
04/27,0.142,0.147,0.163,0.123,,0.062,0.174
04/28,0.152,0.159,0.172,0.132,,0.069,0.184
04/29,0.163,0.17,0.182,0.141,,0.084,0.198
04/30,0.16,0.168,0.175,0.137,,0.08,0.192
05/01,0.169,0.177,0.192,0.148,,0.088,0.208
05/02,0.197,0.208,0.215,0.169,,0.105,0.235
05/03,0.199,0.212,0.214,0.17,,0.111,0.235
05/04,0.188,0.201,0.199,0.159,,0.11,0.222
05/05,0.196,0.206,0.207,0.166,0.075,0.102,0.231
05/06,0.185,0.198,0.192,0.155,0.045,0.098,0.218
05/07,0.164,0.172,0.168,0.136,0.05,0.088,0.194
05/08,0.163,0.175,0.166,0.136,0.07,0.093,0.195
05/09,0.177,0.191,0.178,0.144,0.075,0.105,0.213
05/10,0.172,0.182,0.172,0.139,0.06,0.101,0.202
05/11,0.194,0.21,0.189,0.158,0.087,0.13,0.227
05/12,0.217,0.233,0.215,0.176,0.075,0.138,0.254
05/13,0.229,0.252,0.222,0.185,0.085,0.159,0.267
05/14,0.227,0.25,0.218,0.182,0.077,0.162,0.264
05/15,0.215,0.235,0.207,0.173,0.075,0.16,0.246
05/16,0.212,0.232,0.202,0.17,0.068,0.163,0.245
05/17,0.195,0.215,0.182,0.153,0.088,0.158,0.224
05/18,0.205,0.231,0.194,0.163,0.098,0.171,0.238
05/19,0.197,0.222,0.186,0.158,0.08,0.164,0.228
05/20,0.167,0.188,0.156,0.133,0.06,0.143,0.194
05/21,0.176,0.201,0.167,0.14,0.064,0.16,0.205
05/22,0.186,0.218,0.175,0.15,0.068,0.172,0.219
05/23,0.162,0.188,0.152,0.129,0.058,0.155,0.188
05/24,0.192,0.225,0.18,0.154,0.075,0.195,0.225
05/25,0.192,0.225,0.182,0.154,0.075,0.195,0.225
05/26,0.191,0.224,0.18,0.152,0.079,0.198,0.224
05/27,0.198,0.234,0.188,0.16,0.085,0.21,0.234
05/28,0.212,0.249,0.198,0.171,0.092,0.227,0.248
05/29,0.22,0.258,0.207,0.175,0.098,0.239,0.258
05/30,0.207,0.244,0.195,0.167,0.096,0.229,0.244
05/31,0.214,0.252,0.201,0.169,0.096,0.238,0.252
06/01,0.238,0.281,0.224,0.191,0.107,0.268,0.281
06/02,0.255,0.3,0.241,0.203,0.118,0.288,0.3
06/03,0.256,0.302,0.239,0.204,0.123,0.293,0.302
06/04,0.279,0.328,0.263,0.223,0.135,0.318,0.328
06/05,0.285,0.335,0.268,0.226,0.14,0.325,0.335
06/06,0.272,0.32,0.257,0.218,0.138,0.312,0.32
06/07,0.249,0.293,0.236,0.2,0.13,0.287,0.293
06/08,0.245,0.288,0.231,0.195,0.135,0.283,0.288
06/09,0.273,0.322,0.258,0.219,0.154,0.317,0.322
06/10,0.263,0.308,0.246,0.21,0.156,0.307,0.308
06/11,0.25,0.292,0.233,0.198,0.15,0.291,0.292
06/12,0.234,0.275,0.221,0.187,0.146,0.273,0.275
06/13,0.272,0.319,0.255,0.218,0.176,0.319,0.319
06/14,0.282,0.331,0.265,0.224,0.181,0.329,0.331
06/15,0.267,0.314,0.251,0.213,0.18,0.313,0.314
06/16,0.269,0.317,0.255,0.217,0.187,0.317,0.317
06/17,0.287,0.338,0.271,0.231,0.203,0.338,0.338
06/18,0.264,0.309,0.247,0.212,0.193,0.309,0.309
06/19,0.295,0.348,0.278,0.236,0.225,0.348,0.348
06/20,0.268,0.316,0.253,0.215,0.208,0.316,0.316
06/21,0.294,0.345,0.275,0.233,0.234,0.345,0.345
06/22,0.275,0.322,0.258,0.219,0.222,0.322,0.322
06/23,0.292,0.342,0.273,0.233,0.24,0.342,0.342
06/24,0.311,0.365,0.292,0.249,0.262,0.365,0.365
06/25,0.282,0.332,0.265,0.225,0.24,0.332,0.332
06/26,0.311,0.366,0.293,0.249,0.272,0.366,0.366
06/27,0.284,0.335,0.266,0.228,0.249,0.335,0.335
06/28,0.296,0.349,0.28,0.238,0.265,0.349,0.348
06/29,0.302,0.355,0.284,0.243,0.276,0.355,0.355
06/30,0.264,0.308,0.247,0.208,0.242,0.308,0.308
07/01,0.302,0.354,0.283,0.24,0.284,0.354,0.352
07/02,0.312,0.366,0.293,0.249,0.298,0.366,0.363
07/03,0.32,0.376,0.3,0.256,0.311,0.376,0.372
07/04,0.314,0.37,0.295,0.252,0.309,0.37,0.364
07/05,0.302,0.356,0.285,0.243,0.303,0.356,0.349
07/06,0.306,0.359,0.287,0.244,0.306,0.359,0.352
07/07,0.315,0.368,0.295,0.249,0.317,0.368,0.356
07/08,0.312,0.367,0.295,0.251,0.318,0.367,0.352
07/09,0.314,0.369,0.295,0.252,0.325,0.369,0.349
07/10,0.304,0.357,0.285,0.244,0.315,0.357,0.336
07/11,0.298,0.351,0.279,0.238,0.312,0.351,0.323
07/12,0.305,0.359,0.288,0.243,0.322,0.359,0.319
07/13,0.321,0.378,0.304,0.258,0.34,0.378,0.33
07/14,0.277,0.326,0.259,0.222,0.295,0.326,0.278
07/15,0.288,0.338,0.27,0.231,0.308,0.338,0.281
07/16,0.301,0.355,0.284,0.243,0.325,0.352,0.274
07/17,0.31,0.364,0.291,0.249,0.335,0.359,0.273
07/18,0.34,0.4,0.321,0.273,0.368,0.388,0.288
07/19,0.332,0.389,0.312,0.265,0.361,0.371,0.275
07/20,0.322,0.378,0.302,0.256,0.35,0.351,0.248
07/21,0.325,0.382,0.305,0.261,0.353,0.347,0.26
07/22,0.338,0.398,0.318,0.269,0.369,0.36,0.266
07/23,0.319,0.375,0.301,0.255,0.347,0.325,0.239
07/24,0.316,0.37,0.294,0.251,0.345,0.307,0.218
07/25,0.299,0.352,0.282,0.24,0.327,0.281,0.189
07/26,0.305,0.358,0.286,0.244,0.334,0.309,0.226
07/27,0.297,0.348,0.277,0.236,0.322,0.288,0.207
07/28,0.289,0.339,0.27,0.232,0.315,0.271,0.199
07/29,0.277,0.324,0.258,0.22,0.299,0.24,0.169
07/30,0.305,0.358,0.287,0.245,0.331,0.238,0.161
07/31,0.298,0.352,0.281,0.239,0.327,0.211,0.14
08/01,0.308,0.363,0.29,0.248,0.338,0.175,0.089
08/02,0.297,0.348,0.279,0.237,0.323,0.2,0.127
08/03,0.305,0.358,0.287,0.244,0.332,0.199,0.127
08/04,0.28,0.328,0.264,0.224,0.302,0.169,0.112
08/05,0.258,0.304,0.242,0.206,0.279,0.143,0.045
08/06,0.259,0.305,0.243,0.208,0.281,0.164,0.155
08/07,0.278,0.326,0.262,0.222,0.301,0.151,0.12
08/08,0.249,0.295,0.235,0.201,0.271,0.136,0.11
08/09,0.265,0.312,0.249,0.211,0.286,0.119,0.11
08/10,0.291,0.341,0.273,0.231,0.312,0.047,0.06
08/11,0.299,0.351,0.281,0.238,0.319,0.16,0.15
08/12,0.292,0.342,0.272,0.231,0.311,0.13,0.11
08/13,0.298,0.349,0.279,0.237,0.316,0.135,0.11
08/14,0.278,0.327,0.262,0.222,0.295,0.115,0.11
08/15,0.295,0.346,0.277,0.235,0.311,0.0,0.0
08/16,0.288,0.338,0.271,0.228,0.303,,
08/17,0.301,0.354,0.283,0.24,0.312,,
08/18,0.279,0.328,0.261,0.222,0.288,,
08/19,0.263,0.308,0.247,0.209,0.268,,
08/20,0.241,0.284,0.227,0.192,0.246,,
08/21,0.255,0.298,0.239,0.202,0.258,,
08/22,0.258,0.304,0.243,0.205,0.262,,
08/23,0.258,0.303,0.244,0.205,0.258,,
08/24,0.282,0.332,0.266,0.225,0.28,,
08/25,0.274,0.321,0.257,0.216,0.27,,
08/26,0.259,0.306,0.245,0.206,0.257,,
08/27,0.253,0.298,0.238,0.199,0.247,,
08/28,0.266,0.312,0.249,0.208,0.257,,
08/29,0.299,0.352,0.282,0.233,0.288,,
08/30,0.28,0.328,0.264,0.218,0.267,,
08/31,0.254,0.299,0.24,0.198,0.244,,
09/01,0.265,0.312,0.251,0.206,0.25,,
09/02,0.279,0.329,0.264,0.217,0.262,,
09/03,0.258,0.305,0.245,0.199,0.24,,
09/04,0.245,0.288,0.231,0.188,0.225,,
09/05,0.259,0.305,0.242,0.198,0.236,,
09/06,0.242,0.285,0.228,0.184,0.219,,
09/07,0.252,0.297,0.238,0.191,0.227,,
09/08,0.265,0.312,0.25,0.199,0.235,,
09/09,0.243,0.286,0.23,0.182,0.211,,
09/10,0.246,0.289,0.232,0.184,0.213,,
09/11,0.245,0.287,0.231,0.181,0.208,,
09/12,0.221,0.258,0.205,0.159,0.182,,
09/13,0.219,0.258,0.206,0.16,0.178,,
09/14,0.207,0.243,0.194,0.148,0.163,,
09/15,0.201,0.235,0.189,0.145,0.141,,
09/16,0.188,0.223,0.178,0.136,0.157,,
09/17,0.2,0.235,0.188,0.142,0.159,,
09/18,0.22,0.26,0.209,0.154,0.177,,
09/19,0.184,0.218,0.175,0.127,0.136,,
09/20,0.177,0.208,0.166,0.117,0.104,,
09/21,0.162,0.192,0.152,0.104,0.098,,
09/22,0.171,0.2,0.159,0.105,0.107,,
09/23,0.168,0.198,0.158,0.101,0.099,,
09/24,0.176,0.208,0.166,0.102,0.097,,
09/25,0.184,0.216,0.173,0.105,0.04,,
09/26,0.202,0.237,0.189,0.112,0.133,,
09/27,0.172,0.202,0.162,0.092,0.127,,
09/28,0.171,0.202,0.161,0.09,0.117,,
09/29,0.157,0.183,0.146,0.078,0.093,,
09/30,0.016,0.018,0.014,0.009,0.0,,
10/01,0.14,0.17,0.14,0.09,,,
10/02,0.13,0.15,0.12,0.08,,,
10/03,0.03,0.03,0.02,0.01,,,
10/04,0.07,0.08,0.06,0.04,,,
10/05,0.06,0.07,0.06,0.03,,,
10/06,0.04,0.05,0.04,0.02,,,
10/07,0.12,0.14,0.11,0.06,,,
10/08,0.12,0.14,0.11,0.06,,,
10/09,0.2,0.24,0.19,0.1,,,
