# Station Code,rpti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
04/06,0.115,0.114,,,,0.137,0.098,0.045,,0.042,0.15
04/07,0.108,0.111,,,,0.126,0.092,0.045,,0.04,0.141
04/08,0.122,0.128,,,,0.138,0.099,0.053,,0.043,0.155
04/09,0.139,0.144,,,,0.152,0.114,0.06,,0.052,0.175
04/10,0.157,0.164,,,,0.178,0.132,0.048,,0.048,0.198
04/11,0.152,0.161,,,,0.169,0.128,0.04,,0.048,0.189
04/12,0.143,0.145,,,,0.157,0.122,0.044,,0.045,0.177
04/13,0.132,0.136,,,,0.143,0.11,0.04,,0.045,0.163
04/14,0.142,0.154,,,,0.147,0.115,0.042,,0.048,0.168
04/15,0.144,0.156,,,,0.152,0.118,0.04,,0.042,0.174
04/16,0.152,0.16,,,,0.159,0.125,0.043,,0.043,0.185
04/17,0.169,0.184,,,,0.172,0.136,0.053,,0.053,0.202
04/18,0.167,0.19,,,,0.168,0.135,0.053,,0.057,0.201
04/19,0.185,0.203,,,,0.183,0.149,0.059,,0.065,0.218
04/20,0.193,0.214,,,,0.19,0.155,0.06,,0.07,0.226
04/21,0.197,0.22,,,,0.192,0.158,0.065,,0.075,0.232
04/22,0.195,0.216,,,,0.191,0.156,0.062,,0.076,0.229
04/23,0.185,0.205,,,,0.18,0.148,0.057,,0.074,0.216
04/24,0.166,0.188,,,,0.16,0.132,0.051,,0.064,0.192
04/25,0.154,0.167,,,,0.148,0.122,0.048,,0.057,0.18
04/26,0.186,0.215,,,,0.178,0.146,0.058,,0.077,0.217
04/27,0.199,0.225,,,,0.188,0.157,0.064,,0.082,0.232
04/28,0.222,0.253,,,,0.209,0.177,0.075,,0.104,0.258
04/29,0.205,0.233,,,,0.192,0.163,0.068,,0.105,0.239
04/30,0.2,0.228,,,,0.189,0.159,0.07,,0.108,0.233
05/01,0.211,0.24,,,,0.198,0.168,0.078,,0.115,0.245
05/02,0.221,0.252,,,,0.207,0.175,0.085,,0.128,0.256
05/03,0.229,0.264,,,,0.213,0.182,0.091,,0.143,0.267
05/04,0.234,0.27,,,,0.219,0.185,0.097,,0.153,0.273
05/05,0.238,0.274,,,,0.225,0.19,0.099,,0.162,0.279
05/06,0.212,0.253,,,,0.198,0.172,0.088,,0.148,0.249
05/07,0.172,0.203,,,,0.162,0.138,0.075,,0.125,0.202
05/08,0.167,0.192,,,,0.155,0.132,0.075,,0.128,0.195
05/09,0.19,0.216,,,,0.18,0.152,0.09,,0.149,0.223
05/10,0.203,0.236,,0.033,0.065,0.192,0.162,0.097,,0.158,0.238
05/11,0.207,0.236,,0.04,0.07,0.195,0.167,0.102,,0.172,0.244
05/12,0.216,0.244,,0.057,0.07,0.202,0.172,0.113,,0.189,0.253
05/13,0.206,0.243,,0.057,0.07,0.193,0.163,0.112,,0.182,0.241
05/14,0.205,0.243,,0.053,0.075,0.192,0.164,0.118,,0.187,0.24
05/15,0.212,0.247,0.04,0.056,0.07,0.199,0.168,0.124,0.06,0.196,0.248
05/16,0.19,0.222,0.035,0.051,0.062,0.177,0.152,0.115,0.05,0.181,0.222
05/17,0.175,0.217,0.04,0.048,0.07,0.164,0.141,0.115,0.06,0.172,0.206
05/18,0.203,0.246,0.04,0.054,0.073,0.192,0.162,0.132,0.06,0.204,0.239
05/19,0.176,0.208,0.035,0.05,0.058,0.165,0.141,0.119,0.045,0.175,0.206
05/20,0.158,0.181,0.03,0.041,0.045,0.148,0.127,0.109,0.045,0.159,0.185
05/21,0.18,0.21,0.043,0.049,0.058,0.168,0.144,0.131,0.055,0.185,0.211
05/22,0.175,0.197,0.04,0.045,0.05,0.161,0.137,0.131,0.05,0.18,0.203
05/23,0.18,0.203,0.043,0.05,0.057,0.168,0.142,0.14,0.057,0.192,0.211
05/24,0.208,0.234,0.055,0.061,0.072,0.196,0.167,0.172,0.072,0.229,0.245
05/25,0.208,0.238,0.061,0.06,0.083,0.194,0.166,0.182,0.087,0.23,0.243
05/26,0.18,0.222,0.054,0.054,0.074,0.169,0.144,0.162,0.085,0.204,0.212
05/27,0.195,0.229,0.059,0.058,0.076,0.185,0.156,0.176,0.09,0.221,0.228
05/28,0.205,0.239,0.061,0.061,0.08,0.193,0.164,0.192,0.092,0.232,0.24
05/29,0.215,0.249,0.062,0.065,0.079,0.202,0.172,0.201,0.083,0.244,0.252
05/30,0.222,0.255,0.067,0.065,0.08,0.208,0.176,0.213,0.09,0.252,0.26
05/31,0.225,0.258,0.068,0.069,0.081,0.212,0.181,0.22,0.085,0.256,0.265
06/01,0.232,0.27,0.075,0.075,0.09,0.216,0.185,0.233,0.093,0.265,0.272
06/02,0.245,0.291,0.082,0.08,0.092,0.232,0.195,0.254,0.098,0.283,0.289
06/03,0.246,0.286,0.085,0.08,0.098,0.232,0.196,0.258,0.1,0.284,0.288
06/04,0.258,0.297,0.092,0.085,0.099,0.243,0.205,0.274,0.102,0.298,0.303
06/05,0.242,0.282,0.083,0.082,0.095,0.229,0.194,0.261,0.095,0.284,0.286
06/06,0.253,0.298,0.091,0.086,0.098,0.238,0.202,0.277,0.103,0.295,0.297
06/07,0.222,0.252,0.087,0.078,0.087,0.209,0.177,0.249,0.097,0.258,0.26
06/08,0.232,0.263,0.093,0.083,0.092,0.218,0.186,0.262,0.099,0.272,0.273
06/09,0.247,0.3,0.107,0.091,0.099,0.232,0.198,0.283,0.108,0.291,0.292
06/10,0.244,0.29,0.11,0.091,0.102,0.229,0.195,0.276,0.113,0.285,0.286
06/11,0.254,0.299,0.118,0.096,0.106,0.237,0.202,0.287,0.116,0.298,0.298
06/12,0.228,0.277,0.114,0.088,0.098,0.213,0.182,0.256,0.107,0.267,0.267
06/13,0.263,0.315,0.132,0.105,0.113,0.247,0.211,0.297,0.128,0.308,0.308
06/14,0.258,0.305,0.135,0.105,0.112,0.241,0.205,0.292,0.13,0.302,0.301
06/15,0.258,0.305,0.138,0.108,0.113,0.242,0.205,0.292,0.126,0.302,0.301
06/16,0.259,0.303,0.149,0.114,0.119,0.245,0.207,0.294,0.133,0.305,0.303
06/17,0.262,0.299,0.159,0.119,0.122,0.246,0.211,0.294,0.139,0.308,0.305
06/18,0.24,0.27,0.145,0.109,0.114,0.225,0.192,0.27,0.126,0.282,0.277
06/19,0.262,0.307,0.17,0.125,0.127,0.246,0.209,0.288,0.148,0.308,0.302
06/20,0.256,0.297,0.178,0.125,0.129,0.243,0.207,0.276,0.15,0.302,0.292
06/21,0.283,0.314,0.202,0.141,0.144,0.265,0.224,0.298,0.17,0.332,0.318
06/22,0.285,0.319,0.208,0.145,0.148,0.268,0.228,0.297,0.178,0.335,0.322
06/23,0.283,0.333,0.212,0.152,0.149,0.265,0.226,0.288,0.181,0.332,0.315
06/24,0.272,0.319,0.214,0.15,0.153,0.258,0.218,0.268,0.182,0.322,0.302
06/25,0.274,0.321,0.222,0.153,0.155,0.256,0.218,0.257,0.188,0.321,0.296
06/26,0.269,0.312,0.22,0.156,0.153,0.252,0.214,0.251,0.186,0.315,0.287
06/27,0.268,0.305,0.226,0.159,0.158,0.251,0.214,0.242,0.192,0.314,0.28
06/28,0.266,0.312,0.237,0.164,0.165,0.251,0.213,0.225,0.202,0.314,0.274
06/29,0.272,0.32,0.248,0.17,0.174,0.255,0.218,0.22,0.213,0.321,0.275
06/30,0.255,0.3,0.235,0.165,0.166,0.24,0.204,0.197,0.202,0.3,0.246
07/01,0.273,0.319,0.253,0.178,0.178,0.255,0.215,0.203,0.221,0.32,0.259
07/02,0.277,0.326,0.262,0.184,0.187,0.26,0.22,0.198,0.23,0.325,0.253
07/03,0.275,0.323,0.265,0.189,0.188,0.258,0.219,0.188,0.232,0.323,0.243
07/04,0.269,0.317,0.263,0.188,0.192,0.254,0.216,0.174,0.234,0.317,0.23
07/05,0.259,0.302,0.258,0.187,0.189,0.244,0.205,0.158,0.228,0.304,0.212
07/06,0.255,0.297,0.255,0.187,0.189,0.24,0.204,0.149,0.228,0.299,0.202
07/07,0.278,0.323,0.279,0.208,0.208,0.261,0.221,0.156,0.253,0.326,0.214
07/08,0.262,0.303,0.271,0.202,0.202,0.246,0.208,0.138,0.242,0.308,0.19
07/09,0.279,0.323,0.293,0.218,0.224,0.261,0.222,0.132,0.265,0.328,0.193
07/10,0.272,0.316,0.286,0.218,0.218,0.256,0.216,0.119,0.262,0.32,0.182
07/11,0.27,0.312,0.285,0.219,0.222,0.256,0.217,0.132,0.263,0.318,0.182
07/12,0.272,0.318,0.287,0.227,0.225,0.255,0.215,0.128,0.268,0.319,0.176
07/13,0.288,0.336,0.308,0.248,0.246,0.271,0.231,0.126,0.285,0.338,0.168
07/14,0.268,0.317,0.288,0.235,0.235,0.254,0.214,0.105,0.272,0.314,0.15
07/15,0.285,0.333,0.308,0.255,0.258,0.268,0.227,0.088,0.293,0.332,0.144
07/16,0.271,0.318,0.295,0.249,0.248,0.256,0.217,0.097,0.28,0.313,0.132
07/17,0.277,0.323,0.301,0.258,0.259,0.258,0.218,0.093,0.287,0.316,0.134
07/18,0.301,0.357,0.328,0.289,0.283,0.284,0.24,0.101,0.315,0.34,0.136
07/19,0.308,0.364,0.338,0.302,0.297,0.29,0.245,0.093,0.325,0.343,0.134
07/20,0.292,0.341,0.322,0.291,0.288,0.275,0.234,0.051,0.312,0.321,0.045
07/21,0.292,0.34,0.323,0.298,0.29,0.275,0.233,0.103,0.312,0.315,0.163
07/22,0.296,0.342,0.328,0.306,0.3,0.278,0.235,0.085,0.318,0.312,0.14
07/23,0.282,0.323,0.313,0.298,0.292,0.265,0.225,0.07,0.305,0.285,0.103
07/24,0.274,0.323,0.302,0.298,0.286,0.259,0.219,0.07,0.296,0.273,0.11
07/25,0.287,0.339,0.317,0.318,0.306,0.272,0.228,0.06,0.312,0.273,0.0
07/26,0.285,0.335,0.315,0.317,0.308,0.266,0.228,0.065,0.31,0.262,
07/27,0.286,0.339,0.314,0.319,0.309,0.267,0.226,0.08,0.31,0.252,
07/28,0.271,0.318,0.297,0.307,0.297,0.255,0.217,0.06,0.296,0.227,
07/29,0.278,0.324,0.303,0.317,0.308,0.26,0.222,0.055,0.304,0.217,
07/30,0.292,0.342,0.316,0.333,0.324,0.273,0.234,0.07,0.319,0.223,0.18
07/31,0.275,0.323,0.298,0.322,0.31,0.258,0.22,0.07,0.301,0.198,0.15
08/01,0.281,0.333,0.301,0.329,0.32,0.263,0.223,0.0,0.308,0.173,0.16
08/02,0.276,0.322,0.297,0.325,0.317,0.261,0.222,,0.303,0.203,0.15
08/03,0.306,0.361,0.325,0.358,0.351,0.288,0.243,,0.335,0.201,0.16
08/04,0.269,0.308,0.287,0.317,0.312,0.254,0.215,,0.295,0.169,0.11
08/05,0.262,0.289,0.278,0.306,0.303,0.245,0.208,,0.285,0.14,0.0
08/06,0.24,0.283,0.25,0.281,0.278,0.225,0.189,,0.261,0.16,
08/07,0.248,0.289,0.255,0.292,0.29,0.234,0.198,,0.272,0.14,
08/08,0.242,0.283,0.245,0.285,0.284,0.228,0.192,,0.265,0.117,
08/09,0.282,0.338,0.279,0.332,0.331,0.266,0.226,,0.306,0.121,
08/10,0.275,0.325,0.268,0.322,0.322,0.257,0.219,,0.297,0.04,
08/11,0.291,0.341,0.275,0.34,0.34,0.272,0.23,,0.315,0.13,
08/12,0.281,0.328,0.262,0.329,0.329,0.262,0.223,,0.305,0.14,
08/13,0.27,0.313,0.249,0.319,0.318,0.256,0.218,,0.294,0.11,
08/14,0.277,0.343,0.25,0.325,0.325,0.262,0.219,,0.298,0.105,
08/15,0.276,0.33,0.241,0.322,0.321,0.258,0.22,,0.295,0.0,
08/16,0.255,0.303,0.22,0.3,0.299,0.241,0.205,,0.274,,
08/17,0.275,0.318,0.227,0.322,0.32,0.257,0.22,,0.292,,
08/18,0.255,0.296,0.203,0.298,0.296,0.241,0.204,,0.272,,
08/19,0.235,0.272,0.178,0.275,0.273,0.223,0.188,,0.248,,
08/20,0.226,0.254,0.15,0.265,0.262,0.213,0.182,,0.237,,
08/21,0.202,0.24,0.154,0.238,0.235,0.192,0.164,,0.212,,
08/22,0.235,0.276,0.176,0.275,0.271,0.222,0.188,,0.244,,
08/23,0.235,0.275,0.162,0.272,0.267,0.222,0.186,,0.242,,
08/24,0.242,0.283,0.161,0.279,0.275,0.226,0.193,,0.245,,
08/25,0.255,0.298,0.149,0.294,0.288,0.238,0.202,,0.257,,
08/26,0.242,0.283,0.16,0.277,0.271,0.225,0.191,,0.242,,
08/27,0.237,0.279,0.14,0.272,0.265,0.223,0.187,,0.235,,
08/28,0.249,0.284,0.138,0.284,0.277,0.235,0.196,,0.245,,
08/29,0.266,0.311,0.147,0.299,0.296,0.248,0.208,,0.26,,
08/30,0.256,0.304,0.128,0.287,0.282,0.242,0.203,,0.25,,
08/31,0.239,0.281,0.108,0.269,0.262,0.228,0.188,,0.23,,
09/01,0.252,0.292,0.028,0.279,0.272,0.235,0.195,,0.239,,
09/02,0.229,0.268,0.13,0.252,0.246,0.214,0.177,,0.217,,
09/03,0.224,0.261,0.115,0.244,0.242,0.213,0.175,,0.21,,
09/04,0.215,0.252,0.095,0.233,0.232,0.202,0.166,,0.202,,
09/05,0.203,0.236,0.0,0.205,0.218,0.192,0.158,,0.188,,
09/06,0.206,0.243,,0.213,0.221,0.194,0.158,,0.191,,
09/07,0.22,0.26,,0.22,0.231,0.206,0.168,,0.201,,
09/08,0.238,0.275,,0.254,0.248,0.224,0.182,,0.214,,
09/09,0.222,0.255,,0.241,0.229,0.208,0.169,,0.196,,
09/10,0.213,0.248,,0.229,0.205,0.2,0.16,,0.185,,
09/11,0.205,0.243,,0.212,0.215,0.192,0.155,,0.178,,
09/12,0.195,0.228,,0.208,0.203,0.184,0.146,,0.164,,
09/13,0.191,0.222,,0.195,0.198,0.179,0.142,,0.159,,
09/14,0.173,0.207,,0.176,0.177,0.162,0.129,,0.143,,
09/15,0.177,0.207,,0.182,0.177,0.165,0.131,,0.132,,
09/16,0.188,0.226,,0.192,0.197,0.176,0.138,,0.155,,
09/17,0.178,0.21,,0.176,0.177,0.168,0.132,,0.145,,
09/18,0.21,0.254,,0.217,0.212,0.199,0.155,,0.172,,
09/19,0.163,0.197,,0.166,0.156,0.154,0.121,,0.119,,
09/20,0.175,0.206,,0.179,0.143,0.163,0.127,,0.104,,
09/21,0.165,0.206,,0.159,0.167,0.154,0.118,,0.121,,
09/22,0.165,0.203,,0.161,0.16,0.156,0.118,,0.131,,
09/23,0.162,0.198,,0.158,0.147,0.153,0.115,,0.113,,
09/24,0.191,0.228,,0.182,0.168,0.179,0.135,,0.124,,
09/25,0.179,0.217,,0.172,0.073,0.168,0.125,,0.061,,
09/26,0.168,0.202,,0.16,0.167,0.156,0.114,,0.12,,
09/27,0.168,0.201,,0.159,0.163,0.16,0.114,,0.115,,
09/28,0.157,0.185,,0.149,0.122,0.148,0.102,,0.085,,
09/29,0.156,0.182,,0.143,0.13,0.145,0.1,,0.083,,
09/30,0.144,0.17,,0.129,0.0,0.134,0.088,,0.0,,
10/01,0.132,0.154,,0.117,,0.125,0.08,,,,
10/02,0.128,0.153,,0.114,,0.118,0.075,,,,
10/03,0.149,0.177,,0.132,,0.138,0.085,,,,
10/04,0.133,0.165,,0.115,,0.128,0.075,,,,
10/05,0.131,0.157,,0.108,,0.123,0.071,,,,
10/06,0.117,0.135,,0.1,,0.112,0.062,,,,
10/07,0.126,0.141,,0.105,,0.118,0.065,,,,
10/08,0.14,0.166,,0.116,,0.132,0.071,,,,
10/09,0.118,0.142,,0.097,,0.11,0.058,,,,
10/10,0.0,0.0,,0.018,,0.0,0.0,,,,
10/11,,,,0.09,,,,,,,
10/12,,,,0.11,,,,,,,
10/13,,,,0.08,,,,,,,
10/14,,,,0.1,,,,,,,
10/15,,,,0.0,,,,,,,
