# Station Code,mwso
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BLGR,FCRN,HAYM,HAYP,LAWN,PAST,SGRN,SOYB,WGRN
06/09,0.188,0.22,0.17,0.071,0.184,0.207,0.176,0.15,0.185,0.02,0.219
06/10,0.214,0.249,0.181,0.077,0.206,0.233,0.199,0.168,0.214,0.026,0.247
06/11,0.212,0.25,0.181,0.079,0.207,0.234,0.203,0.168,0.219,0.031,0.249
06/12,0.215,0.251,0.179,0.081,0.205,0.235,0.2,0.17,0.229,0.036,0.249
06/13,0.276,0.325,0.223,0.107,0.265,0.304,0.26,0.221,0.3,0.051,0.321
06/14,0.246,0.29,0.186,0.095,0.235,0.27,0.234,0.196,0.269,0.058,0.286
06/15,0.211,0.249,0.15,0.085,0.201,0.231,0.199,0.171,0.232,0.058,0.244
06/16,0.224,0.263,0.146,0.091,0.212,0.242,0.209,0.179,0.247,0.071,0.256
06/17,0.265,0.309,0.169,0.109,0.247,0.289,0.246,0.21,0.294,0.095,0.304
06/18,0.258,0.301,0.149,0.109,0.242,0.28,0.241,0.206,0.291,0.101,0.296
06/19,0.279,0.326,0.147,0.122,0.261,0.304,0.261,0.223,0.32,0.122,0.316
06/20,0.275,0.321,0.138,0.122,0.258,0.299,0.258,0.217,0.319,0.134,0.306
06/21,0.287,0.339,0.138,0.13,0.271,0.312,0.271,0.23,0.336,0.151,0.32
06/22,0.274,0.323,0.126,0.128,0.258,0.299,0.258,0.219,0.321,0.152,0.305
06/23,0.306,0.359,0.133,0.145,0.287,0.33,0.287,0.244,0.357,0.179,0.338
06/24,0.293,0.346,0.124,0.146,0.278,0.321,0.278,0.235,0.345,0.181,0.321
06/25,0.286,0.336,0.115,0.147,0.269,0.31,0.269,0.229,0.336,0.184,0.307
06/26,0.307,0.362,0.118,0.163,0.289,0.336,0.289,0.246,0.362,0.211,0.324
06/27,0.333,0.394,0.126,0.18,0.316,0.362,0.316,0.269,0.394,0.241,0.347
06/28,0.325,0.384,0.12,0.182,0.307,0.354,0.307,0.26,0.384,0.247,0.333
06/29,0.31,0.365,0.111,0.174,0.292,0.335,0.292,0.247,0.365,0.246,0.3
06/30,0.33,0.389,0.115,0.19,0.312,0.356,0.312,0.264,0.389,0.278,0.312
07/01,0.343,0.401,0.105,0.203,0.321,0.369,0.321,0.274,0.401,0.296,0.319
07/02,0.312,0.366,0.106,0.19,0.292,0.336,0.292,0.249,0.366,0.286,0.28
07/03,0.315,0.371,0.106,0.199,0.296,0.339,0.296,0.251,0.371,0.301,0.271
07/04,0.329,0.386,0.109,0.212,0.309,0.354,0.309,0.263,0.386,0.324,0.274
07/05,0.295,0.348,0.094,0.194,0.279,0.316,0.279,0.239,0.348,0.299,0.23
07/06,0.29,0.339,0.096,0.194,0.271,0.31,0.271,0.23,0.339,0.297,0.253
07/07,0.306,0.36,0.103,0.212,0.29,0.329,0.29,0.245,0.36,0.325,0.266
07/08,0.27,0.318,0.093,0.194,0.254,0.29,0.254,0.217,0.318,0.291,0.229
07/09,0.297,0.35,0.094,0.221,0.279,0.318,0.279,0.239,0.35,0.329,0.227
07/10,0.311,0.366,0.079,0.235,0.292,0.334,0.292,0.25,0.366,0.347,0.234
07/11,0.297,0.35,0.092,0.229,0.281,0.316,0.281,0.239,0.35,0.343,0.207
07/12,0.306,0.359,0.094,0.239,0.286,0.325,0.286,0.242,0.359,0.36,0.197
07/13,0.305,0.36,0.092,0.249,0.286,0.325,0.286,0.245,0.36,0.365,0.191
07/14,0.307,0.364,0.094,0.253,0.291,0.329,0.291,0.247,0.364,0.376,0.174
07/15,0.336,0.396,0.0,0.282,0.318,0.356,0.318,0.269,0.396,0.414,0.176
07/16,0.32,0.375,,0.269,0.301,0.338,0.301,0.256,0.375,0.396,0.161
07/17,0.312,0.369,,0.275,0.295,0.331,0.295,0.251,0.369,0.394,0.153
07/18,0.295,0.346,,0.261,0.275,0.312,0.275,0.235,0.346,0.371,0.131
07/19,0.302,0.356,,0.275,0.287,0.32,0.287,0.242,0.356,0.388,0.129
07/20,0.316,0.371,,0.291,0.295,0.333,0.295,0.251,0.371,0.404,0.043
07/21,0.321,0.379,,0.304,0.301,0.338,0.301,0.258,0.379,0.411,0.145
07/22,0.314,0.37,,0.299,0.296,0.333,0.296,0.251,0.37,0.405,0.13
07/23,0.321,0.379,,0.314,0.304,0.34,0.304,0.259,0.379,0.415,0.13
07/24,0.309,0.364,,0.306,0.292,0.325,0.292,0.247,0.364,0.401,0.115
07/25,0.289,0.34,,0.292,0.273,0.304,0.273,0.23,0.34,0.374,0.0
07/26,0.31,0.365,,0.318,0.294,0.326,0.294,0.247,0.365,0.402,
07/27,0.275,0.323,,0.285,0.258,0.287,0.258,0.221,0.323,0.355,
07/28,0.278,0.326,,0.294,0.263,0.291,0.263,0.22,0.326,0.361,
07/29,0.306,0.36,,0.329,0.287,0.32,0.287,0.245,0.36,0.395,
07/30,0.324,0.381,,0.35,0.305,0.339,0.305,0.26,0.381,0.419,
07/31,0.299,0.351,,0.326,0.28,0.31,0.28,0.239,0.351,0.384,
08/01,0.304,0.357,,0.34,0.286,0.318,0.286,0.242,0.351,0.385,
08/02,0.302,0.356,,0.34,0.284,0.315,0.284,0.242,0.348,0.38,
08/03,0.294,0.345,,0.334,0.275,0.305,0.275,0.236,0.335,0.365,
08/04,0.258,0.304,,0.296,0.242,0.268,0.242,0.206,0.287,0.318,
08/05,0.255,0.301,,0.294,0.242,0.265,0.242,0.205,0.275,0.307,
08/06,0.271,0.319,,0.314,0.255,0.28,0.255,0.216,0.274,0.32,
08/07,0.265,0.31,,0.307,0.249,0.273,0.249,0.207,0.255,0.305,
08/08,0.271,0.319,,0.316,0.254,0.281,0.254,0.216,0.247,0.305,
08/09,0.255,0.299,,0.299,0.239,0.261,0.239,0.201,0.221,0.271,
08/10,0.268,0.315,,0.315,0.251,0.275,0.251,0.214,0.219,0.268,
08/11,0.283,0.33,,0.33,0.264,0.287,0.264,0.224,0.221,0.265,
08/12,0.269,0.316,,0.316,0.253,0.275,0.253,0.215,0.198,0.229,
08/13,0.239,0.281,,0.281,0.225,0.245,0.225,0.191,0.166,0.188,
08/14,0.24,0.281,,0.281,0.224,0.242,0.224,0.189,0.154,0.166,
08/15,0.28,0.329,,0.329,0.264,0.285,0.264,0.223,0.17,0.169,
08/16,0.292,0.346,,0.346,0.279,0.301,0.279,0.236,0.169,0.156,
08/17,0.266,0.311,,0.311,0.249,0.271,0.249,0.21,0.135,0.119,
08/18,0.276,0.328,,0.326,0.264,0.285,0.264,0.223,0.129,0.121,
08/19,0.266,0.312,,0.311,0.25,0.27,0.25,0.212,0.113,0.088,
08/20,0.239,0.279,,0.278,0.223,0.241,0.223,0.189,0.024,0.049,
08/21,0.232,0.271,,0.27,0.216,0.234,0.216,0.185,0.08,0.065,
08/22,0.247,0.291,,0.29,0.234,0.251,0.234,0.199,0.14,0.07,
08/23,0.216,0.254,,0.25,0.203,0.219,0.203,0.173,0.11,0.052,
08/24,0.247,0.291,,0.286,0.234,0.25,0.234,0.198,0.14,0.045,
08/25,0.236,0.279,,0.274,0.224,0.24,0.224,0.188,0.15,0.03,
08/26,0.24,0.281,,0.275,0.225,0.243,0.225,0.191,0.11,0.05,
08/27,0.26,0.305,,0.296,0.244,0.264,0.244,0.205,0.11,0.05,
08/28,0.22,0.259,,0.25,0.205,0.223,0.206,0.176,0.09,0.05,
08/29,0.249,0.291,,0.28,0.231,0.249,0.231,0.195,0.08,0.04,
08/30,0.22,0.26,,0.249,0.206,0.224,0.207,0.175,0.0,0.0,
08/31,0.223,0.263,,0.247,0.207,0.223,0.21,0.175,,,
09/01,0.196,0.23,,0.216,0.18,0.198,0.185,0.154,,,
09/02,0.215,0.253,,0.237,0.198,0.215,0.201,0.165,,,
09/03,0.209,0.245,,0.23,0.191,0.208,0.195,0.163,,,
09/04,0.211,0.249,,0.233,0.194,0.211,0.199,0.164,,,
09/05,0.194,0.228,,0.21,0.177,0.194,0.181,0.151,,,
09/06,0.177,0.21,,0.191,0.16,0.177,0.17,0.136,,,
09/07,0.231,0.274,,0.249,0.21,0.231,0.22,0.179,,,
09/08,0.22,0.259,,0.235,0.199,0.219,0.208,0.17,,,
09/09,0.199,0.234,,0.211,0.179,0.198,0.188,0.151,,,
09/10,0.161,0.189,,0.171,0.144,0.159,0.151,0.122,,,
09/11,0.166,0.194,,0.173,0.147,0.161,0.155,0.124,,,
09/12,0.169,0.198,,0.175,0.149,0.165,0.158,0.126,,,
09/13,0.161,0.189,,0.165,0.143,0.159,0.15,0.121,,,
09/14,0.158,0.185,,0.163,0.139,0.155,0.149,0.119,,,
09/15,0.155,0.18,,0.156,0.134,0.15,0.144,0.115,,,
09/16,0.159,0.185,,0.159,0.135,0.158,0.149,0.115,,,
09/17,0.145,0.171,,0.149,0.126,0.144,0.136,0.105,,,
09/18,0.139,0.163,,0.138,0.117,0.134,0.131,0.101,,,
09/19,0.138,0.163,,0.138,0.117,0.138,0.13,0.1,,,
09/20,0.133,0.156,,0.133,0.111,0.131,0.125,0.098,,,
09/21,0.106,0.124,,0.104,0.087,0.103,0.098,0.077,,,
09/22,0.133,0.155,,0.128,0.11,0.129,0.125,0.094,,,
09/23,0.139,0.163,,0.134,0.116,0.133,0.131,0.098,,,
09/24,0.13,0.154,,0.125,0.107,0.129,0.121,0.092,,,
09/25,0.14,0.163,,0.056,0.116,0.133,0.13,0.096,,,
09/26,0.15,0.177,,0.135,0.125,0.147,0.143,0.104,,,
09/27,0.146,0.172,,0.133,0.12,0.142,0.136,0.098,,,
09/28,0.119,0.139,,0.108,0.095,0.114,0.113,0.077,,,
09/29,0.119,0.139,,0.105,0.096,0.116,0.109,0.074,,,
09/30,0.133,0.155,,0.0,0.108,0.126,0.125,0.08,,,
10/01,0.116,0.135,,,0.092,0.111,0.109,0.069,,,
10/02,0.101,0.12,,,0.08,0.099,0.098,0.062,,,
10/03,0.109,0.128,,,0.085,0.104,0.103,0.061,,,
10/04,0.11,0.128,,,0.085,0.105,0.103,0.061,,,
10/05,0.103,0.12,,,0.08,0.098,0.096,0.055,,,
10/06,0.105,0.124,,,0.081,0.101,0.099,0.056,,,
10/07,0.101,0.117,,,0.077,0.094,0.094,0.053,,,
10/08,0.105,0.123,,,0.083,0.1,0.096,0.054,,,
10/09,0.092,0.107,,,0.069,0.087,0.084,0.043,,,
10/10,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
