# Station Code,hoxo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
08/17,0.218,0.258,0.258,0.237,0.227,0.208,0.175,0.269,0.168
08/18,0.204,0.24,0.24,0.221,0.21,0.192,0.164,0.249,0.156
08/19,0.231,0.269,0.269,0.248,0.232,0.215,0.184,0.278,0.176
08/20,0.209,0.245,0.245,0.225,0.21,0.196,0.168,0.249,0.159
08/21,0.202,0.237,0.237,0.217,0.202,0.188,0.162,0.24,0.155
08/22,0.196,0.231,0.231,0.211,0.195,0.185,0.155,0.232,0.15
08/23,0.201,0.235,0.234,0.215,0.199,0.189,0.16,0.233,0.152
08/24,0.193,0.228,0.225,0.209,0.189,0.183,0.154,0.22,0.149
08/25,0.185,0.217,0.212,0.198,0.178,0.172,0.146,0.202,0.141
08/26,0.186,0.218,0.21,0.198,0.176,0.175,0.146,0.196,0.142
08/27,0.194,0.228,0.219,0.208,0.185,0.183,0.153,0.2,0.149
08/28,0.183,0.215,0.205,0.195,0.172,0.171,0.144,0.185,0.141
08/29,0.182,0.215,0.202,0.196,0.171,0.172,0.143,0.174,0.14
08/30,0.188,0.219,0.202,0.199,0.17,0.176,0.147,0.172,0.143
08/31,0.177,0.208,0.189,0.188,0.158,0.167,0.139,0.155,0.135
09/01,0.172,0.2,0.181,0.182,0.148,0.159,0.132,0.143,0.132
09/02,0.169,0.199,0.175,0.181,0.145,0.158,0.132,0.138,0.129
09/03,0.167,0.196,0.168,0.176,0.141,0.158,0.128,0.128,0.128
09/04,0.163,0.192,0.162,0.172,0.137,0.154,0.126,0.118,0.125
09/05,0.174,0.204,0.168,0.184,0.142,0.163,0.134,0.119,0.134
09/06,0.159,0.187,0.152,0.169,0.129,0.15,0.122,0.105,0.122
09/07,0.168,0.196,0.155,0.176,0.128,0.157,0.127,0.101,0.128
09/08,0.178,0.208,0.162,0.187,0.134,0.167,0.135,0.1,0.135
09/09,0.165,0.195,0.148,0.175,0.122,0.157,0.125,0.089,0.126
09/10,0.152,0.181,0.135,0.162,0.104,0.144,0.116,0.025,0.108
09/11,0.155,0.181,0.133,0.162,0.109,0.144,0.115,0.113,0.118
09/12,0.148,0.175,0.128,0.156,0.1,0.141,0.111,0.113,0.111
09/13,0.152,0.178,0.126,0.159,0.098,0.144,0.113,0.093,0.115
09/14,0.141,0.166,0.115,0.148,0.09,0.132,0.105,0.08,0.108
09/15,0.127,0.149,0.1,0.132,0.07,0.12,0.093,0.043,0.086
09/16,0.128,0.151,0.099,0.134,0.08,0.122,0.093,0.065,0.1
09/17,0.104,0.121,0.078,0.107,0.062,0.097,0.074,0.055,0.083
09/18,0.103,0.121,0.078,0.106,0.063,0.096,0.075,0.055,0.085
09/19,0.116,0.135,0.083,0.119,0.063,0.108,0.084,0.045,0.09
09/20,0.118,0.138,0.084,0.12,0.0,0.111,0.085,0.0,0.035
09/21,0.117,0.137,0.082,0.119,,0.109,0.084,,0.085
09/22,0.112,0.132,0.074,0.114,,0.105,0.079,,0.068
09/23,0.105,0.122,0.067,0.106,,0.097,0.072,,0.07
09/24,0.1,0.118,0.062,0.102,,0.092,0.07,,0.068
09/25,0.103,0.122,0.062,0.105,,0.097,0.071,,0.03
09/26,0.107,0.125,0.062,0.108,,0.101,0.072,,0.09
09/27,0.093,0.11,0.054,0.093,,0.088,0.062,,0.08
09/28,0.094,0.11,0.052,0.094,,0.088,0.061,,0.07
09/29,0.078,0.092,0.039,0.078,,0.073,0.049,,0.09
09/30,0.091,0.106,0.026,0.0,,0.084,0.056,,0.0
10/01,0.089,0.105,0.049,,,0.083,0.054,,
10/02,0.088,0.103,0.043,,,0.083,0.052,,
10/03,0.093,0.108,0.044,,,0.087,0.053,,
10/04,0.087,0.102,0.043,,,0.081,0.049,,
10/05,0.078,0.091,0.0,,,0.072,0.043,,
10/06,0.088,0.103,,,,0.083,0.046,,
10/07,0.079,0.093,,,,0.075,0.041,,
10/08,0.076,0.089,,,,0.072,0.038,,
10/09,0.065,0.076,,,,0.062,0.032,,
10/10,0.0,0.0,,,,0.0,0.0,,
