# Station Code,onto
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,POP1,POP2,POP3,POTA,POTS,PPMT,SGRN,WGRN,WGRP
03/30,0.086,0.09,0.038,,0.04,,0.102,,0.077,,,,,,0.038,0.033,0.115,
03/31,0.122,0.128,0.05,,0.06,,0.141,,0.108,,,,,,0.06,0.04,0.16,
04/01,0.098,0.104,0.036,,0.04,,0.118,,0.086,,,,,,0.032,0.033,0.133,
04/02,0.128,0.135,0.046,,0.06,,0.145,,0.109,,,,,,0.046,0.05,0.162,
04/03,0.115,0.12,0.044,,0.05,,0.129,,0.099,,,,,,0.038,0.043,0.147,
04/04,0.114,0.12,0.048,,0.08,,0.128,,0.098,,,,,,0.04,0.047,0.148,
04/05,0.112,0.116,0.04,,0.05,,0.125,,0.096,0.02,0.03,0.03,,0.06,0.037,0.041,0.144,
04/06,0.112,0.117,0.042,,0.04,,0.123,,0.095,0.025,0.03,0.03,,0.05,0.037,0.039,0.145,
04/07,0.128,0.136,0.046,,0.05,,0.138,,0.108,0.035,0.04,0.04,,0.07,0.047,0.048,0.162,
04/08,0.151,0.158,0.059,,0.06,,0.157,0.03,0.125,0.04,0.05,0.05,,0.07,0.054,0.061,0.187,
04/09,0.15,0.159,0.059,,0.06,,0.156,0.05,0.126,0.05,0.05,0.06,,0.08,0.054,0.062,0.187,
04/10,0.16,0.169,0.059,,0.04,,0.169,0.03,0.132,0.045,0.07,0.08,,0.09,0.055,0.052,0.199,0.03
04/11,0.145,0.155,0.058,,0.043,,0.148,0.05,0.118,0.055,0.06,0.07,,0.08,0.047,0.058,0.176,0.02
04/12,0.153,0.165,0.059,,0.045,,0.155,0.08,0.126,0.035,0.03,0.03,,0.03,0.057,0.053,0.188,0.03
04/13,0.144,0.155,0.059,,0.037,,0.146,0.06,0.117,0.04,0.04,0.05,,0.05,0.05,0.052,0.176,0.015
04/14,0.138,0.15,0.061,,0.038,,0.138,0.06,0.114,0.04,0.04,0.04,,0.04,0.051,0.053,0.168,0.02
04/15,0.159,0.175,0.067,,0.047,,0.155,0.08,0.13,0.035,0.033,0.037,,0.06,0.057,0.068,0.189,0.033
04/16,0.168,0.185,0.074,,0.05,,0.167,0.082,0.138,0.037,0.043,0.05,,0.07,0.062,0.083,0.202,0.038
04/17,0.157,0.175,0.069,,0.05,,0.153,0.092,0.127,0.037,0.043,0.05,,0.07,0.062,0.074,0.188,0.037
04/18,0.171,0.191,0.081,,0.048,,0.164,0.096,0.138,0.043,0.05,0.063,,0.08,0.069,0.072,0.204,0.04
04/19,0.188,0.212,0.089,,0.062,,0.178,0.108,0.151,0.05,0.06,0.073,,0.09,0.08,0.082,0.223,0.047
04/20,0.175,0.196,0.084,,0.055,,0.165,0.102,0.139,0.036,0.041,0.042,,0.08,0.075,0.092,0.207,0.041
04/21,0.195,0.218,0.092,,0.055,,0.185,0.098,0.155,0.045,0.05,0.055,,0.08,0.082,0.106,0.231,0.042
04/22,0.21,0.238,0.105,,0.062,,0.2,0.122,0.169,0.047,0.058,0.066,,0.105,0.093,0.127,0.249,0.048
04/23,0.18,0.206,0.091,,0.055,,0.171,0.102,0.145,0.045,0.054,0.064,,0.085,0.082,0.116,0.215,0.043
04/24,0.158,0.179,0.08,,0.046,,0.151,0.092,0.127,0.037,0.047,0.056,,0.09,0.07,0.104,0.188,0.034
04/25,0.176,0.202,0.093,,0.052,,0.165,0.107,0.142,0.045,0.058,0.071,,0.145,0.087,0.105,0.207,0.042
04/26,0.174,0.199,0.095,,0.051,,0.164,0.125,0.138,0.045,0.06,0.074,,0.145,0.089,0.102,0.205,0.037
04/27,0.202,0.232,0.105,,0.061,,0.189,0.123,0.162,0.05,0.068,0.087,,0.12,0.101,0.124,0.236,0.047
04/28,0.195,0.225,0.117,,0.058,,0.182,0.12,0.155,0.053,0.075,0.095,,0.14,0.104,0.132,0.229,0.048
04/29,0.204,0.236,0.122,,0.063,,0.192,0.125,0.163,0.059,0.082,0.105,,0.12,0.115,0.133,0.238,0.052
04/30,0.215,0.248,0.133,,0.064,,0.202,0.124,0.17,0.061,0.091,0.118,,0.15,0.124,0.147,0.252,0.057
05/01,0.218,0.253,0.13,,0.067,0.07,0.205,0.101,0.174,0.063,0.09,0.116,,0.099,0.126,0.151,0.255,0.059
05/02,0.215,0.252,0.132,,0.067,0.077,0.202,0.107,0.172,0.066,0.094,0.124,,0.099,0.128,0.149,0.253,0.06
05/03,0.216,0.254,0.142,,0.071,0.085,0.205,0.118,0.172,0.068,0.102,0.132,,0.114,0.138,0.157,0.254,0.065
05/04,0.199,0.235,0.135,,0.065,0.075,0.189,0.109,0.159,0.064,0.095,0.128,,0.104,0.13,0.148,0.235,0.063
05/05,0.202,0.237,0.142,,0.065,0.082,0.191,0.118,0.161,0.068,0.105,0.14,0.1,0.096,0.135,0.148,0.237,0.065
05/06,0.243,0.285,0.175,,0.082,0.094,0.227,0.145,0.194,0.083,0.126,0.171,0.095,0.127,0.164,0.19,0.285,0.082
05/07,0.225,0.264,0.162,,0.077,0.076,0.211,0.135,0.179,0.078,0.119,0.162,0.075,0.109,0.155,0.178,0.264,0.079
05/08,0.209,0.245,0.155,,0.072,0.072,0.195,0.126,0.167,0.074,0.117,0.16,0.085,0.112,0.151,0.173,0.245,0.078
05/09,0.225,0.265,0.17,,0.078,0.074,0.212,0.137,0.18,0.085,0.135,0.183,0.085,0.116,0.165,0.185,0.265,0.086
05/10,0.232,0.271,0.175,,0.081,0.072,0.218,0.129,0.184,0.089,0.143,0.195,0.085,0.12,0.169,0.202,0.271,0.092
05/11,0.232,0.275,0.185,,0.086,0.08,0.22,0.137,0.186,0.091,0.147,0.203,0.09,0.134,0.179,0.212,0.275,0.099
05/12,0.229,0.268,0.183,,0.085,0.08,0.215,0.134,0.183,0.091,0.147,0.205,0.095,0.135,0.176,0.208,0.268,0.098
05/13,0.223,0.262,0.185,,0.085,0.082,0.211,0.131,0.178,0.09,0.145,0.204,0.07,0.136,0.175,0.206,0.262,0.099
05/14,0.203,0.239,0.173,,0.078,0.08,0.192,0.119,0.162,0.083,0.138,0.194,0.085,0.137,0.165,0.196,0.239,0.097
05/15,0.2,0.235,0.178,,0.082,0.079,0.188,0.115,0.158,0.085,0.14,0.198,0.075,0.135,0.168,0.205,0.235,0.102
05/16,0.214,0.251,0.198,,0.088,0.082,0.201,0.122,0.168,0.093,0.158,0.223,0.09,0.151,0.182,0.218,0.251,0.112
05/17,0.202,0.239,0.196,,0.086,0.084,0.19,0.119,0.162,0.091,0.156,0.218,0.085,0.155,0.181,0.207,0.239,0.113
05/18,0.205,0.242,0.19,,0.088,0.076,0.193,0.12,0.165,0.093,0.158,0.223,0.11,0.155,0.18,0.217,0.242,0.116
05/19,0.209,0.246,0.194,,0.093,0.079,0.197,0.125,0.166,0.097,0.165,0.235,0.11,0.165,0.19,0.218,0.246,0.125
05/20,0.202,0.237,0.192,,0.092,0.072,0.188,0.122,0.161,0.093,0.164,0.231,0.07,0.161,0.185,0.212,0.237,0.123
05/21,0.205,0.242,0.201,,0.095,0.08,0.193,0.125,0.165,0.095,0.166,0.235,0.073,0.175,0.19,0.223,0.242,0.13
05/22,0.215,0.251,0.207,,0.098,0.077,0.201,0.13,0.169,0.098,0.173,0.244,0.087,0.183,0.198,0.233,0.251,0.135
05/23,0.226,0.265,0.225,,0.107,0.086,0.213,0.137,0.18,0.106,0.185,0.258,0.082,0.198,0.213,0.247,0.265,0.149
05/24,0.24,0.283,0.245,,0.119,0.097,0.227,0.146,0.192,0.115,0.198,0.281,0.095,0.225,0.235,0.269,0.283,0.165
05/25,0.208,0.245,0.213,0.053,0.105,0.082,0.196,0.128,0.166,0.099,0.172,0.242,0.097,0.201,0.204,0.234,0.245,0.144
05/26,0.224,0.262,0.228,0.067,0.116,0.094,0.21,0.139,0.178,0.108,0.186,0.26,0.102,0.219,0.222,0.252,0.262,0.158
05/27,0.234,0.275,0.233,0.073,0.125,0.096,0.222,0.149,0.188,0.112,0.195,0.272,0.128,0.234,0.233,0.267,0.275,0.17
05/28,0.25,0.294,0.251,0.067,0.138,0.101,0.236,0.158,0.201,0.121,0.208,0.291,0.128,0.254,0.248,0.287,0.294,0.183
05/29,0.225,0.263,0.227,0.067,0.126,0.095,0.211,0.142,0.178,0.11,0.189,0.262,0.12,0.226,0.226,0.258,0.263,0.166
05/30,0.252,0.295,0.262,0.07,0.143,0.105,0.237,0.158,0.201,0.125,0.213,0.295,0.143,0.257,0.255,0.292,0.295,0.187
05/31,0.242,0.285,0.259,0.083,0.143,0.105,0.228,0.154,0.194,0.121,0.204,0.284,0.118,0.25,0.248,0.281,0.285,0.182
06/01,0.25,0.292,0.262,0.065,0.151,0.102,0.233,0.161,0.198,0.124,0.211,0.292,0.109,0.258,0.256,0.288,0.292,0.188
06/02,0.253,0.297,0.27,0.075,0.155,0.108,0.238,0.165,0.202,0.127,0.215,0.297,0.115,0.265,0.262,0.294,0.297,0.192
06/03,0.263,0.31,0.276,0.083,0.165,0.113,0.248,0.177,0.209,0.134,0.227,0.31,0.123,0.277,0.276,0.307,0.31,0.2
06/04,0.298,0.35,0.313,0.087,0.192,0.13,0.28,0.202,0.238,0.151,0.256,0.35,0.142,0.315,0.312,0.347,0.349,0.227
06/05,0.279,0.328,0.298,0.088,0.182,0.126,0.263,0.194,0.223,0.142,0.241,0.328,0.131,0.298,0.298,0.325,0.327,0.213
06/06,0.256,0.302,0.274,0.083,0.173,0.119,0.24,0.181,0.205,0.132,0.222,0.302,0.124,0.274,0.275,0.3,0.3,0.195
06/07,0.244,0.286,0.263,0.084,0.168,0.119,0.228,0.175,0.195,0.127,0.211,0.286,0.121,0.261,0.262,0.285,0.284,0.188
06/08,0.255,0.299,0.273,0.093,0.177,0.125,0.24,0.186,0.202,0.132,0.222,0.299,0.135,0.275,0.274,0.299,0.295,0.196
06/09,0.242,0.284,0.263,0.097,0.175,0.123,0.227,0.18,0.194,0.125,0.211,0.284,0.129,0.259,0.262,0.284,0.278,0.185
06/10,0.258,0.305,0.284,0.103,0.192,0.136,0.243,0.197,0.207,0.137,0.225,0.305,0.139,0.279,0.282,0.305,0.296,0.198
06/11,0.269,0.316,0.293,0.108,0.201,0.141,0.253,0.209,0.215,0.141,0.235,0.316,0.152,0.291,0.293,0.316,0.305,0.204
06/12,0.258,0.304,0.281,0.105,0.195,0.137,0.243,0.204,0.206,0.138,0.227,0.304,0.153,0.279,0.283,0.304,0.292,0.197
06/13,0.265,0.312,0.285,0.116,0.207,0.144,0.249,0.214,0.212,0.14,0.234,0.312,0.162,0.286,0.292,0.312,0.295,0.203
06/14,0.256,0.302,0.275,0.107,0.202,0.135,0.242,0.206,0.205,0.137,0.226,0.302,0.154,0.277,0.282,0.302,0.286,0.196
06/15,0.272,0.32,0.296,0.108,0.218,0.145,0.255,0.218,0.218,0.145,0.24,0.32,0.164,0.294,0.301,0.32,0.302,0.209
06/16,0.265,0.312,0.285,0.115,0.218,0.147,0.249,0.223,0.212,0.142,0.235,0.312,0.168,0.286,0.292,0.312,0.292,0.203
06/17,0.261,0.305,0.291,0.125,0.218,0.151,0.242,0.221,0.208,0.138,0.232,0.305,0.167,0.282,0.289,0.305,0.28,0.2
06/18,0.252,0.297,0.278,0.125,0.219,0.15,0.238,0.218,0.201,0.137,0.224,0.297,0.175,0.274,0.279,0.297,0.269,0.194
06/19,0.275,0.324,0.302,0.154,0.242,0.168,0.258,0.247,0.22,0.15,0.247,0.324,0.19,0.297,0.307,0.324,0.288,0.21
06/20,0.283,0.332,0.31,0.173,0.254,0.179,0.265,0.262,0.226,0.152,0.253,0.332,0.206,0.305,0.315,0.332,0.292,0.217
06/21,0.285,0.334,0.315,0.18,0.261,0.184,0.267,0.264,0.228,0.157,0.257,0.334,0.21,0.307,0.317,0.334,0.289,0.216
06/22,0.297,0.349,0.328,0.194,0.279,0.195,0.28,0.281,0.237,0.165,0.268,0.349,0.228,0.322,0.332,0.349,0.296,0.227
06/23,0.308,0.361,0.338,0.213,0.295,0.206,0.29,0.298,0.245,0.17,0.279,0.361,0.246,0.331,0.342,0.361,0.298,0.235
06/24,0.306,0.36,0.34,0.226,0.297,0.212,0.288,0.301,0.246,0.172,0.277,0.36,0.246,0.332,0.341,0.36,0.285,0.234
06/25,0.292,0.342,0.322,0.218,0.291,0.199,0.274,0.289,0.233,0.164,0.265,0.342,0.239,0.315,0.325,0.342,0.262,0.224
06/26,0.283,0.334,0.312,0.22,0.29,0.202,0.268,0.289,0.227,0.158,0.259,0.334,0.242,0.305,0.316,0.334,0.248,0.218
06/27,0.273,0.322,0.303,0.225,0.285,0.202,0.256,0.283,0.218,0.153,0.252,0.322,0.239,0.295,0.303,0.322,0.229,0.208
06/28,0.302,0.353,0.332,0.265,0.318,0.231,0.282,0.317,0.239,0.169,0.275,0.353,0.272,0.323,0.335,0.353,0.242,0.229
06/29,0.285,0.335,0.317,0.258,0.304,0.225,0.268,0.302,0.228,0.162,0.262,0.335,0.257,0.308,0.318,0.335,0.223,0.219
06/30,0.312,0.368,0.351,0.289,0.339,0.251,0.296,0.338,0.251,0.181,0.291,0.368,0.288,0.338,0.348,0.368,0.232,0.24
07/01,0.317,0.373,0.355,0.298,0.35,0.256,0.297,0.345,0.254,0.183,0.294,0.373,0.299,0.342,0.354,0.373,0.222,0.242
07/02,0.321,0.376,0.357,0.307,0.357,0.262,0.3,0.35,0.255,0.185,0.297,0.376,0.304,0.345,0.357,0.376,0.237,0.243
07/03,0.349,0.412,0.395,0.345,0.392,0.293,0.329,0.386,0.28,0.204,0.326,0.412,0.337,0.378,0.392,0.412,0.248,0.267
07/04,0.328,0.385,0.372,0.329,0.373,0.28,0.308,0.367,0.262,0.19,0.307,0.385,0.322,0.354,0.365,0.384,0.214,0.252
07/05,0.325,0.383,0.369,0.335,0.374,0.285,0.306,0.369,0.261,0.188,0.305,0.383,0.325,0.351,0.365,0.382,0.186,0.25
07/06,0.299,0.35,0.34,0.312,0.344,0.266,0.278,0.34,0.236,0.173,0.278,0.35,0.302,0.319,0.332,0.349,0.203,0.228
07/07,0.311,0.365,0.352,0.329,0.359,0.282,0.292,0.355,0.248,0.183,0.291,0.365,0.316,0.333,0.347,0.363,0.216,0.238
07/08,0.322,0.378,0.368,0.344,0.374,0.298,0.303,0.371,0.257,0.191,0.302,0.378,0.329,0.344,0.359,0.376,0.207,0.245
07/09,0.292,0.342,0.333,0.315,0.342,0.273,0.274,0.335,0.232,0.173,0.276,0.342,0.302,0.31,0.325,0.338,0.189,0.222
07/10,0.316,0.372,0.361,0.345,0.372,0.3,0.297,0.368,0.253,0.189,0.299,0.372,0.331,0.336,0.353,0.366,0.2,0.241
07/11,0.325,0.382,0.372,0.358,0.382,0.313,0.306,0.379,0.261,0.192,0.308,0.382,0.342,0.345,0.364,0.374,0.191,0.248
07/12,0.305,0.361,0.352,0.338,0.361,0.303,0.289,0.358,0.247,0.184,0.292,0.361,0.325,0.325,0.342,0.351,0.164,0.235
07/13,0.312,0.368,0.36,0.347,0.368,0.312,0.293,0.366,0.249,0.187,0.3,0.368,0.332,0.328,0.349,0.355,0.161,0.239
07/14,0.326,0.383,0.374,0.36,0.383,0.335,0.307,0.382,0.261,0.197,0.312,0.383,0.348,0.34,0.362,0.368,0.161,0.248
07/15,0.325,0.381,0.375,0.36,0.381,0.341,0.304,0.38,0.258,0.198,0.312,0.381,0.348,0.337,0.361,0.358,0.067,0.248
07/16,0.32,0.376,0.371,0.356,0.376,0.339,0.302,0.376,0.256,0.195,0.308,0.376,0.345,0.33,0.356,0.352,0.197,0.245
07/17,0.325,0.383,0.378,0.363,0.383,0.348,0.308,0.383,0.261,0.2,0.316,0.383,0.353,0.334,0.363,0.352,0.22,0.248
07/18,0.328,0.385,0.38,0.365,0.385,0.354,0.308,0.385,0.262,0.202,0.318,0.385,0.355,0.335,0.365,0.349,0.217,0.25
07/19,0.319,0.375,0.37,0.356,0.375,0.348,0.298,0.375,0.255,0.197,0.309,0.375,0.347,0.323,0.356,0.328,0.193,0.244
07/20,0.316,0.371,0.365,0.352,0.371,0.35,0.297,0.371,0.252,0.196,0.308,0.371,0.344,0.317,0.322,0.312,0.123,0.241
07/21,0.329,0.387,0.382,0.367,0.387,0.367,0.309,0.387,0.263,0.204,0.322,0.387,0.359,0.328,0.366,0.317,0.37,0.252
07/22,0.329,0.388,0.384,0.37,0.388,0.372,0.312,0.388,0.265,0.205,0.323,0.388,0.361,0.328,0.367,0.307,0.44,0.252
07/23,0.302,0.355,0.351,0.338,0.355,0.342,0.284,0.355,0.241,0.189,0.296,0.355,0.329,0.298,0.338,0.269,0.45,0.232
07/24,0.303,0.356,0.352,0.337,0.356,0.347,0.285,0.356,0.242,0.192,0.297,0.356,0.331,0.297,0.341,0.271,0.45,0.23
07/25,0.312,0.366,0.362,0.347,0.366,0.36,0.293,0.366,0.248,0.196,0.306,0.366,0.338,0.302,0.271,0.26,0.36,0.238
07/26,0.308,0.364,0.359,0.343,0.364,0.359,0.29,0.364,0.247,0.198,0.306,0.364,0.338,0.298,0.337,0.266,0.37,0.237
07/27,0.338,0.397,0.393,0.375,0.397,0.392,0.316,0.397,0.269,0.215,0.334,0.397,0.368,0.322,0.384,0.275,0.45,0.258
07/28,0.324,0.38,0.376,0.358,0.379,0.375,0.303,0.38,0.259,0.205,0.321,0.38,0.352,0.306,0.377,0.253,0.45,0.247
07/29,0.301,0.354,0.351,0.332,0.353,0.351,0.283,0.354,0.242,0.194,0.3,0.354,0.328,0.282,0.334,0.226,0.41,0.232
07/30,0.305,0.356,0.354,0.332,0.355,0.354,0.285,0.356,0.242,0.195,0.302,0.356,0.329,0.282,0.327,0.209,0.34,0.234
07/31,0.308,0.362,0.359,0.335,0.361,0.36,0.288,0.362,0.246,0.199,0.308,0.362,0.334,0.282,0.336,0.202,0.33,0.235
08/01,0.301,0.352,0.349,0.326,0.352,0.351,0.282,0.352,0.239,0.197,0.302,0.352,0.324,0.269,0.297,0.158,0.42,0.23
08/02,0.3,0.351,0.347,0.323,0.35,0.349,0.279,0.351,0.238,0.195,0.3,0.351,0.321,0.267,0.349,0.184,0.19,0.228
08/03,0.322,0.379,0.376,0.345,0.378,0.378,0.305,0.379,0.258,0.211,0.324,0.379,0.347,0.286,0.359,0.186,0.3,0.245
08/04,0.29,0.342,0.339,0.308,0.341,0.34,0.273,0.342,0.233,0.192,0.294,0.342,0.312,0.252,0.307,0.157,0.4,0.222
08/05,0.287,0.339,0.337,0.303,0.338,0.337,0.271,0.338,0.231,0.189,0.292,0.339,0.31,0.245,0.113,0.095,0.38,0.219
08/06,0.285,0.336,0.335,0.296,0.333,0.334,0.27,0.333,0.228,0.189,0.292,0.336,0.305,0.239,0.253,0.164,0.44,0.219
08/07,0.253,0.298,0.296,0.259,0.295,0.295,0.238,0.295,0.202,0.169,0.258,0.298,0.27,0.208,0.23,0.148,0.3,0.192
08/08,0.267,0.312,0.311,0.268,0.307,0.308,0.249,0.308,0.211,0.176,0.27,0.312,0.281,0.21,0.207,0.13,0.29,0.203
08/09,0.279,0.328,0.327,0.278,0.322,0.322,0.262,0.321,0.224,0.188,0.285,0.328,0.296,0.215,0.273,0.14,0.23,0.215
08/10,0.257,0.302,0.301,0.252,0.296,0.297,0.242,0.291,0.205,0.172,0.264,0.302,0.271,0.192,0.043,0.1,0.22,0.196
08/11,0.275,0.323,0.322,0.266,0.315,0.317,0.259,0.307,0.219,0.186,0.283,0.323,0.287,0.214,0.21,0.122,0.27,0.21
08/12,0.274,0.322,0.321,0.259,0.313,0.316,0.258,0.302,0.219,0.186,0.284,0.322,0.286,0.213,0.24,0.113,0.25,0.208
08/13,0.27,0.318,0.316,0.25,0.307,0.311,0.255,0.293,0.217,0.185,0.281,0.318,0.279,0.207,0.24,0.09,0.4,0.206
08/14,0.268,0.315,0.314,0.241,0.303,0.308,0.252,0.287,0.214,0.183,0.276,0.315,0.278,0.203,0.29,0.103,0.4,0.205
08/15,0.273,0.321,0.32,0.242,0.308,0.312,0.255,0.288,0.216,0.186,0.282,0.321,0.282,0.202,0.0,0.0,0.35,0.209
08/16,0.279,0.328,0.327,0.242,0.315,0.318,0.262,0.288,0.223,0.192,0.291,0.328,0.286,0.199,,,0.32,0.213
08/17,0.298,0.351,0.349,0.247,0.332,0.338,0.279,0.301,0.238,0.207,0.312,0.351,0.305,0.208,,,0.3,0.229
08/18,0.285,0.335,0.333,0.229,0.315,0.322,0.266,0.278,0.228,0.197,0.297,0.335,0.288,0.193,,,0.28,0.217
08/19,0.277,0.326,0.324,0.215,0.307,0.311,0.262,0.267,0.221,0.194,0.289,0.326,0.279,0.186,,,0.29,0.212
08/20,0.255,0.3,0.298,0.193,0.278,0.255,0.239,0.219,0.204,0.178,0.267,0.3,0.255,0.161,,,0.21,0.195
08/21,0.248,0.289,0.286,0.175,0.27,0.275,0.231,0.231,0.196,0.172,0.258,0.289,0.246,0.159,,,0.23,0.189
08/22,0.265,0.312,0.307,0.183,0.288,0.301,0.249,0.236,0.212,0.187,0.28,0.312,0.263,0.172,,,0.24,0.204
08/23,0.247,0.288,0.281,0.166,0.264,0.274,0.229,0.22,0.194,0.173,0.258,0.288,0.24,0.152,,,0.26,0.187
08/24,0.248,0.291,0.281,0.159,0.265,0.278,0.232,0.221,0.197,0.174,0.262,0.291,0.24,0.149,,,0.28,0.189
08/25,0.246,0.288,0.277,0.133,0.262,0.271,0.231,0.157,0.195,0.175,0.261,0.288,0.237,0.135,,,0.25,0.188
08/26,0.237,0.278,0.262,0.156,0.25,0.26,0.223,0.221,0.188,0.168,0.252,0.278,0.227,0.12,,,0.26,0.178
08/27,0.248,0.292,0.272,0.16,0.261,0.272,0.233,0.226,0.195,0.178,0.265,0.292,0.235,0.117,,,0.34,0.192
08/28,0.216,0.255,0.235,0.132,0.227,0.237,0.205,0.188,0.171,0.156,0.234,0.255,0.206,0.096,,,0.23,0.167
08/29,0.227,0.268,0.246,0.132,0.236,0.247,0.215,0.19,0.178,0.164,0.245,0.268,0.213,0.093,,,0.19,0.175
08/30,0.257,0.302,0.272,0.14,0.265,0.275,0.243,0.186,0.199,0.186,0.276,0.302,0.238,0.09,,,0.18,0.197
08/31,0.244,0.288,0.255,0.13,0.251,0.264,0.229,0.182,0.191,0.175,0.264,0.288,0.224,0.078,,,0.19,0.187
09/01,0.264,0.31,0.268,0.108,0.268,0.288,0.247,0.129,0.205,0.192,0.285,0.31,0.239,0.023,,,0.32,0.202
09/02,0.224,0.262,0.222,0.103,0.225,0.238,0.209,0.168,0.172,0.162,0.241,0.262,0.202,0.09,,,0.17,0.172
09/03,0.215,0.252,0.212,0.088,0.216,0.233,0.203,0.16,0.167,0.157,0.233,0.252,0.192,0.08,,,0.19,0.165
09/04,0.223,0.262,0.217,0.083,0.223,0.238,0.209,0.18,0.172,0.164,0.242,0.262,0.196,0.06,,,0.21,0.17
09/05,0.193,0.227,0.185,0.0,0.192,0.207,0.18,0.108,0.148,0.142,0.21,0.227,0.168,0.0,,,0.21,0.148
