# Station Code,hrfo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST
05/21,0.136,0.148,0.129,0.108
05/22,0.152,0.167,0.142,0.119
05/23,0.16,0.179,0.152,0.129
05/24,0.161,0.18,0.152,0.127
05/25,0.134,0.154,0.127,0.107
05/26,0.165,0.19,0.156,0.133
05/27,0.156,0.182,0.146,0.125
05/28,0.163,0.19,0.153,0.132
05/29,0.165,0.192,0.155,0.132
05/30,0.163,0.19,0.153,0.13
05/31,0.161,0.19,0.152,0.13
06/01,0.172,0.2,0.161,0.135
06/02,0.174,0.204,0.164,0.138
06/03,0.192,0.225,0.181,0.155
06/04,0.197,0.231,0.183,0.158
06/05,0.195,0.228,0.183,0.155
06/06,0.178,0.208,0.167,0.142
06/07,0.182,0.213,0.171,0.145
06/08,0.188,0.221,0.176,0.148
06/09,0.172,0.2,0.16,0.137
06/10,0.182,0.213,0.172,0.146
06/11,0.182,0.213,0.171,0.144
06/12,0.179,0.209,0.166,0.142
06/13,0.192,0.225,0.181,0.153
06/14,0.202,0.238,0.19,0.161
06/15,0.174,0.205,0.164,0.138
06/16,0.185,0.217,0.173,0.148
06/17,0.194,0.228,0.182,0.156
06/18,0.166,0.195,0.156,0.133
06/19,0.197,0.23,0.185,0.157
06/20,0.198,0.233,0.188,0.16
06/21,0.201,0.236,0.189,0.16
06/22,0.207,0.243,0.195,0.165
06/23,0.216,0.254,0.204,0.173
06/24,0.217,0.254,0.202,0.173
06/25,0.194,0.226,0.18,0.155
06/26,0.197,0.232,0.187,0.158
06/27,0.219,0.257,0.205,0.175
06/28,0.232,0.272,0.218,0.185
06/29,0.202,0.237,0.189,0.161
06/30,0.232,0.272,0.217,0.185
07/01,0.241,0.285,0.228,0.192
07/02,0.25,0.292,0.232,0.198
07/03,0.25,0.294,0.235,0.198
07/04,0.235,0.277,0.223,0.188
07/05,0.237,0.279,0.225,0.189
07/06,0.242,0.286,0.229,0.195
07/07,0.238,0.278,0.223,0.189
07/08,0.226,0.266,0.213,0.181
07/09,0.228,0.271,0.218,0.185
07/10,0.244,0.286,0.229,0.195
07/11,0.236,0.277,0.223,0.187
07/12,0.225,0.264,0.211,0.181
07/13,0.24,0.28,0.223,0.191
07/14,0.235,0.275,0.221,0.187
07/15,0.246,0.289,0.231,0.196
07/16,0.235,0.276,0.22,0.187
07/17,0.244,0.286,0.228,0.195
07/18,0.252,0.296,0.236,0.201
07/19,0.234,0.273,0.218,0.185
07/20,0.247,0.291,0.232,0.198
07/21,0.25,0.294,0.236,0.199
07/22,0.255,0.3,0.238,0.204
07/23,0.245,0.288,0.23,0.195
07/24,0.241,0.283,0.226,0.191
07/25,0.232,0.272,0.218,0.185
07/26,0.233,0.272,0.218,0.184
07/27,0.252,0.297,0.238,0.202
07/28,0.245,0.288,0.232,0.197
07/29,0.238,0.278,0.222,0.189
07/30,0.248,0.291,0.233,0.198
07/31,0.237,0.278,0.222,0.188
08/01,0.222,0.262,0.208,0.178
08/02,0.232,0.273,0.218,0.185
08/03,0.221,0.259,0.208,0.176
08/04,0.205,0.239,0.19,0.163
08/05,0.216,0.253,0.203,0.171
08/06,0.215,0.253,0.203,0.172
08/07,0.203,0.239,0.192,0.162
08/08,0.204,0.24,0.192,0.163
08/09,0.209,0.247,0.198,0.168
08/10,0.206,0.244,0.195,0.166
08/11,0.218,0.258,0.206,0.175
08/12,0.202,0.238,0.19,0.162
08/13,0.195,0.23,0.185,0.155
08/14,0.212,0.248,0.198,0.168
08/15,0.208,0.242,0.194,0.164
08/16,0.215,0.252,0.202,0.17
08/17,0.203,0.238,0.19,0.163
08/18,0.2,0.235,0.188,0.158
08/19,0.194,0.228,0.183,0.154
08/20,0.184,0.216,0.172,0.147
08/21,0.192,0.227,0.182,0.152
08/22,0.192,0.225,0.181,0.152
08/23,0.185,0.215,0.172,0.145
08/24,0.182,0.214,0.171,0.144
08/25,0.182,0.214,0.172,0.143
08/26,0.183,0.215,0.172,0.145
08/27,0.188,0.222,0.177,0.149
08/28,0.192,0.225,0.181,0.149
08/29,0.202,0.236,0.191,0.156
08/30,0.181,0.213,0.171,0.141
08/31,0.201,0.235,0.188,0.155
09/01,0.178,0.207,0.165,0.135
09/02,0.176,0.208,0.165,0.135
09/03,0.173,0.203,0.162,0.133
09/04,0.156,0.184,0.147,0.119
09/05,0.16,0.188,0.15,0.121
09/06,0.156,0.182,0.145,0.115
09/07,0.165,0.195,0.156,0.122
09/08,0.164,0.193,0.154,0.119
09/09,0.155,0.183,0.148,0.114
09/10,0.144,0.171,0.135,0.104
09/11,0.139,0.165,0.132,0.098
09/12,0.133,0.157,0.125,0.095
09/13,0.143,0.17,0.136,0.101
09/14,0.14,0.165,0.132,0.097
09/15,0.115,0.134,0.135,0.094
09/16,0.128,0.151,0.122,0.091
09/17,0.128,0.15,0.118,0.086
09/18,0.112,0.131,0.112,0.077
09/19,0.115,0.132,0.111,0.075
09/20,0.109,0.128,0.107,0.061
09/21,0.106,0.124,0.102,0.069
09/22,0.103,0.122,0.099,0.066
09/23,0.109,0.127,0.105,0.065
09/24,0.107,0.126,0.111,0.064
09/25,0.106,0.124,0.107,0.059
09/26,0.113,0.131,0.107,0.061
09/27,0.123,0.144,0.113,0.064
09/28,0.099,0.115,0.095,0.049
09/29,0.102,0.119,0.098,0.049
09/30,0.0,0.0,0.0,0.0
