# Station Code,lidw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,BLGR,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
05/12,0.226,0.266,0.06,0.083,0.256,0.087,0.214,0.179,0.121,0.095,0.249,0.263
05/13,0.233,0.273,0.05,0.085,0.263,0.086,0.218,0.186,0.128,0.101,0.244,0.271
05/14,0.212,0.248,0.065,0.083,0.238,0.083,0.198,0.17,0.122,0.1,0.21,0.246
05/15,0.195,0.228,0.075,0.072,0.22,0.081,0.184,0.156,0.119,0.093,0.195,0.226
05/16,0.198,0.233,0.105,0.078,0.225,0.09,0.186,0.156,0.132,0.101,0.211,0.231
05/17,0.186,0.217,0.075,0.075,0.207,0.085,0.173,0.149,0.125,0.095,0.189,0.215
05/18,0.209,0.245,0.095,0.085,0.235,0.089,0.197,0.166,0.143,0.11,0.216,0.244
05/19,0.218,0.258,0.115,0.092,0.248,0.094,0.208,0.176,0.156,0.119,0.232,0.258
05/20,0.198,0.231,0.072,0.085,0.221,0.085,0.185,0.157,0.145,0.098,0.204,0.23
05/21,0.186,0.218,0.062,0.079,0.207,0.075,0.174,0.147,0.14,0.095,0.201,0.218
05/22,0.208,0.245,0.08,0.094,0.232,0.091,0.196,0.166,0.164,0.11,0.225,0.244
05/23,0.237,0.278,0.08,0.108,0.264,0.1,0.221,0.19,0.188,0.124,0.26,0.278
05/24,0.212,0.25,0.088,0.099,0.235,0.095,0.2,0.171,0.181,0.118,0.233,0.249
05/25,0.202,0.238,0.069,0.097,0.224,0.096,0.189,0.163,0.175,0.112,0.212,0.237
05/26,0.224,0.262,0.073,0.107,0.245,0.098,0.208,0.179,0.193,0.126,0.243,0.261
05/27,0.22,0.258,0.074,0.108,0.241,0.097,0.205,0.175,0.196,0.128,0.241,0.258
05/28,0.244,0.286,0.089,0.123,0.265,0.109,0.229,0.195,0.224,0.144,0.268,0.286
05/29,0.237,0.279,0.096,0.123,0.256,0.107,0.223,0.189,0.225,0.145,0.263,0.279
05/30,0.248,0.292,0.104,0.135,0.268,0.119,0.235,0.198,0.242,0.158,0.275,0.292
05/31,0.225,0.265,0.098,0.124,0.241,0.106,0.212,0.18,0.224,0.148,0.253,0.265
06/01,0.24,0.281,0.105,0.136,0.254,0.119,0.224,0.189,0.242,0.16,0.268,0.281
06/02,0.26,0.303,0.112,0.149,0.271,0.131,0.243,0.205,0.265,0.175,0.292,0.303
06/03,0.255,0.301,0.109,0.149,0.268,0.128,0.241,0.204,0.266,0.176,0.29,0.301
06/04,0.253,0.298,0.113,0.154,0.262,0.122,0.238,0.202,0.271,0.184,0.291,0.298
06/05,0.255,0.298,0.114,0.159,0.259,0.127,0.238,0.204,0.278,0.19,0.287,0.298
06/06,0.261,0.305,0.122,0.165,0.262,0.139,0.245,0.207,0.286,0.196,0.285,0.305
06/07,0.261,0.308,0.124,0.171,0.261,0.138,0.247,0.209,0.293,0.203,0.297,0.308
06/08,0.25,0.295,0.131,0.166,0.238,0.138,0.236,0.202,0.284,0.198,0.293,0.295
06/09,0.214,0.252,0.122,0.148,0.195,0.121,0.202,0.171,0.245,0.178,0.258,0.252
06/10,0.245,0.287,0.133,0.168,0.221,0.142,0.228,0.195,0.278,0.198,0.269,0.287
06/11,0.254,0.298,0.141,0.181,0.221,0.149,0.238,0.202,0.288,0.212,0.278,0.298
06/12,0.256,0.302,0.147,0.184,0.215,0.155,0.242,0.205,0.292,0.219,0.282,0.302
06/13,0.277,0.325,0.147,0.201,0.226,0.169,0.26,0.221,0.316,0.234,0.298,0.324
06/14,0.255,0.3,0.147,0.191,0.192,0.16,0.242,0.204,0.29,0.223,0.284,0.299
06/15,0.238,0.281,0.145,0.188,0.168,0.158,0.225,0.19,0.268,0.216,0.272,0.28
06/16,0.234,0.275,0.139,0.183,0.154,0.155,0.218,0.188,0.263,0.212,0.268,0.273
06/17,0.261,0.307,0.153,0.205,0.162,0.175,0.246,0.208,0.295,0.238,0.303,0.305
06/18,0.215,0.251,0.134,0.172,0.124,0.145,0.2,0.171,0.235,0.196,0.248,0.25
06/19,0.254,0.298,0.162,0.211,0.136,0.175,0.238,0.202,0.278,0.238,0.297,0.295
06/20,0.262,0.308,0.181,0.226,0.131,0.192,0.248,0.208,0.279,0.255,0.306,0.299
06/21,0.264,0.311,0.184,0.233,0.128,0.196,0.248,0.212,0.278,0.258,0.31,0.302
06/22,0.292,0.343,0.208,0.26,0.136,0.215,0.275,0.233,0.302,0.289,0.342,0.333
06/23,0.29,0.339,0.208,0.261,0.128,0.214,0.271,0.229,0.291,0.286,0.338,0.328
06/24,0.285,0.335,0.212,0.264,0.119,0.216,0.268,0.228,0.28,0.287,0.335,0.318
06/25,0.299,0.352,0.23,0.282,0.122,0.232,0.281,0.24,0.288,0.304,0.352,0.334
06/26,0.298,0.348,0.24,0.287,0.114,0.229,0.278,0.236,0.271,0.303,0.348,0.318
06/27,0.318,0.375,0.268,0.318,0.12,0.261,0.3,0.256,0.276,0.331,0.375,0.339
06/28,0.321,0.378,0.279,0.327,0.122,0.272,0.304,0.258,0.265,0.338,0.378,0.339
06/29,0.303,0.356,0.262,0.308,0.111,0.255,0.285,0.242,0.247,0.318,0.356,0.309
06/30,0.307,0.362,0.268,0.317,0.11,0.257,0.29,0.245,0.242,0.324,0.362,0.302
07/01,0.331,0.39,0.298,0.352,0.116,0.288,0.312,0.265,0.247,0.353,0.389,0.32
07/02,0.315,0.371,0.287,0.337,0.108,0.278,0.297,0.252,0.224,0.337,0.369,0.295
07/03,0.315,0.369,0.292,0.339,0.106,0.28,0.295,0.252,0.214,0.337,0.368,0.284
07/04,0.316,0.371,0.3,0.345,0.105,0.286,0.296,0.252,0.203,0.341,0.368,0.278
07/05,0.325,0.381,0.312,0.356,0.107,0.298,0.304,0.258,0.198,0.35,0.375,0.278
07/06,0.312,0.368,0.306,0.349,0.102,0.295,0.294,0.25,0.182,0.338,0.358,0.258
07/07,0.322,0.379,0.314,0.362,0.102,0.305,0.305,0.258,0.18,0.348,0.366,0.258
07/08,0.308,0.362,0.308,0.347,0.095,0.299,0.291,0.245,0.156,0.332,0.342,0.236
07/09,0.315,0.37,0.323,0.362,0.098,0.31,0.296,0.254,0.151,0.342,0.35,0.231
07/10,0.309,0.363,0.319,0.356,0.061,0.31,0.265,0.246,0.126,0.336,0.335,0.213
07/11,0.303,0.356,0.315,0.349,0.094,0.305,0.283,0.243,0.141,0.329,0.324,0.212
07/12,0.311,0.366,0.324,0.361,0.094,0.317,0.293,0.249,0.135,0.339,0.327,0.21
07/13,0.309,0.364,0.324,0.359,0.099,0.32,0.292,0.247,0.127,0.338,0.321,0.198
07/14,0.312,0.367,0.329,0.364,0.091,0.328,0.296,0.248,0.118,0.34,0.313,0.185
07/15,0.322,0.378,0.343,0.375,0.0,0.318,0.303,0.255,0.099,0.35,0.316,0.181
07/16,0.319,0.374,0.338,0.372,,0.347,0.305,0.253,0.118,0.347,0.305,0.169
07/17,0.328,0.385,0.351,0.384,,0.365,0.314,0.261,0.104,0.359,0.301,0.163
07/18,0.305,0.358,0.326,0.357,,0.338,0.289,0.243,0.098,0.333,0.275,0.148
07/19,0.295,0.346,0.316,0.346,,0.331,0.279,0.235,0.086,0.321,0.248,0.135
07/20,0.327,0.385,0.352,0.385,,0.372,0.312,0.262,0.05,0.358,0.242,0.051
07/21,0.342,0.401,0.369,0.401,,0.386,0.326,0.272,0.167,0.372,0.285,0.23
07/22,0.31,0.363,0.335,0.363,,0.339,0.284,0.247,0.14,0.338,0.253,0.233
07/23,0.308,0.359,0.331,0.359,,0.344,0.287,0.242,0.123,0.332,0.234,0.183
07/24,0.315,0.372,0.342,0.372,,0.365,0.303,0.252,0.107,0.345,0.225,0.157
07/25,0.293,0.346,0.318,0.346,,0.338,0.278,0.235,0.063,0.318,0.175,0.077
07/26,0.316,0.371,0.341,0.371,,0.36,0.298,0.252,0.13,0.342,0.226,0.23
07/27,0.313,0.369,0.339,0.369,,0.359,0.295,0.251,0.11,0.341,0.216,0.23
07/28,0.311,0.364,0.33,0.364,,0.355,0.291,0.245,0.085,0.334,0.195,0.21
07/29,0.308,0.364,0.33,0.364,,0.357,0.294,0.248,0.08,0.334,0.182,0.19
07/30,0.369,0.435,0.395,0.435,,0.429,0.351,0.296,0.11,0.396,0.189,0.19
07/31,0.355,0.417,0.375,0.417,,0.414,0.341,0.283,0.1,0.378,0.169,0.15
08/01,0.294,0.345,0.305,0.345,,0.341,0.277,0.235,0.0,0.312,0.074,0.15
08/02,0.322,0.379,0.335,0.378,,0.378,0.306,0.258,,0.342,0.173,0.13
08/03,0.312,0.366,0.321,0.365,,0.363,0.295,0.248,,0.328,0.177,0.12
08/04,0.313,0.367,0.315,0.365,,0.361,0.29,0.248,,0.325,0.193,0.12
08/05,0.282,0.331,0.279,0.329,,0.324,0.264,0.225,,0.291,0.12,0.0
08/06,0.293,0.343,0.293,0.341,,0.338,0.273,0.232,,0.302,0.36,
08/07,0.287,0.338,0.285,0.335,,0.321,0.259,0.231,,0.294,0.51,
08/08,0.294,0.345,0.288,0.342,,0.334,0.27,0.235,,0.301,0.43,
08/09,0.276,0.325,0.268,0.322,,0.323,0.258,0.219,,0.28,0.32,
08/10,0.288,0.337,0.272,0.333,,0.33,0.268,0.229,,0.288,0.36,
08/11,0.297,0.349,0.265,0.342,,0.342,0.281,0.238,,0.296,0.33,
08/12,0.282,0.332,0.256,0.325,,0.318,0.261,0.225,,0.279,0.39,
08/13,0.282,0.33,0.255,0.322,,0.319,0.263,0.225,,0.278,0.35,
08/14,0.28,0.328,0.245,0.318,,0.314,0.259,0.224,,0.275,0.38,
08/15,0.283,0.332,0.241,0.322,,0.307,0.254,0.226,,0.275,0.51,
08/16,0.295,0.349,0.299,0.337,,0.328,0.273,0.237,,0.289,0.44,
08/17,0.272,0.32,0.258,0.308,,0.303,0.254,0.218,,0.26,0.35,
08/18,0.309,0.364,0.275,0.348,,0.345,0.29,0.246,,0.295,0.37,
08/19,0.296,0.349,0.252,0.332,,0.332,0.279,0.236,,0.281,0.33,
08/20,0.272,0.318,0.223,0.3,,0.296,0.251,0.214,,0.251,0.35,
08/21,0.291,0.342,0.229,0.321,,0.323,0.277,0.232,,0.271,0.31,
08/22,0.255,0.297,0.192,0.276,,0.277,0.238,0.202,,0.231,0.29,
08/23,0.252,0.295,0.185,0.274,,0.271,0.233,0.199,,0.228,0.33,
08/24,0.278,0.327,0.197,0.301,,0.307,0.264,0.223,,0.252,0.27,
08/25,0.252,0.296,0.15,0.273,,0.266,0.233,0.202,,0.208,0.38,
08/26,0.252,0.295,0.174,0.269,,0.265,0.233,0.199,,0.225,0.33,
08/27,0.273,0.323,0.178,0.293,,0.298,0.26,0.218,,0.249,0.29,
08/28,0.267,0.315,0.179,0.285,,0.286,0.253,0.212,,0.238,0.31,
08/29,0.28,0.329,0.163,0.294,,0.3,0.268,0.221,,0.248,0.27,
08/30,0.245,0.29,0.143,0.258,,0.262,0.236,0.195,,0.218,0.25,
08/31,0.246,0.29,0.129,0.256,,0.259,0.233,0.193,,0.212,0.27,
09/01,0.231,0.27,0.07,0.238,,0.238,0.215,0.179,,0.194,0.27,
09/02,0.246,0.288,0.152,0.253,,0.256,0.233,0.192,,0.204,0.25,
09/03,0.236,0.277,0.138,0.242,,0.244,0.226,0.183,,0.196,0.22,
09/04,0.252,0.294,0.13,0.254,,0.263,0.239,0.195,,0.205,0.21,
09/05,0.258,0.305,0.065,0.263,,0.268,0.249,0.2,,0.182,0.22,
09/06,0.215,0.254,0.16,0.218,,0.212,0.198,0.165,,0.169,0.31,
09/07,0.248,0.291,0.16,0.248,,0.248,0.232,0.19,,0.202,0.27,
09/08,0.248,0.292,0.185,0.245,,0.238,0.228,0.189,,0.181,0.34,
09/09,0.234,0.274,0.14,0.232,,0.228,0.214,0.177,,0.175,0.29,
09/10,0.249,0.292,0.085,0.242,,0.202,0.233,0.188,,0.133,0.24,
09/11,0.228,0.271,0.1,0.223,,0.22,0.222,0.176,,0.156,0.15,
09/12,0.242,0.283,0.12,0.232,,0.231,0.229,0.182,,0.163,0.17,
09/13,0.226,0.265,0.13,0.215,,0.193,0.212,0.168,,0.136,0.2,
09/14,0.189,0.222,0.09,0.178,,0.189,0.181,0.141,,0.126,0.14,
09/15,0.223,0.262,0.09,0.211,,0.06,0.213,0.165,,0.054,0.14,
09/16,0.195,0.228,0.1,0.182,,0.153,0.18,0.141,,0.107,0.16,
09/17,0.166,0.195,0.08,0.155,,0.153,0.154,0.122,,0.103,0.14,
09/18,0.165,0.195,0.08,0.153,,0.167,0.153,0.12,,0.11,0.15,
09/19,0.168,0.197,0.05,0.154,,0.147,0.158,0.122,,0.09,0.1,
09/20,0.178,0.209,0.0,0.162,,0.09,0.17,0.128,,0.0,0.11,
09/21,0.173,0.204,,0.156,,0.155,0.163,0.124,,,0.11,
09/22,0.167,0.197,,0.15,,0.17,0.159,0.12,,,0.09,
09/23,0.152,0.179,,0.136,,0.15,0.146,0.107,,,0.08,
09/24,0.163,0.193,,0.145,,0.175,0.155,0.115,,,0.1,
09/25,0.159,0.186,,0.122,,0.06,0.151,0.112,,,0.08,
09/26,0.182,0.214,,0.162,,0.15,0.175,0.123,,,0.07,
09/27,0.165,0.195,,0.144,,0.1,0.158,0.111,,,0.07,
09/28,0.172,0.201,,0.135,,0.16,0.163,0.112,,,0.07,
09/29,0.162,0.191,,0.134,,0.2,0.152,0.104,,,0.08,
09/30,0.162,0.189,,0.114,,0.0,0.152,0.099,,,0.06,
10/01,0.143,0.167,,0.116,,,0.129,0.086,,,0.08,
10/02,0.157,0.184,,0.126,,,0.14,0.094,,,0.1,
10/03,0.147,0.172,,0.108,,,0.133,0.084,,,0.08,
10/04,0.155,0.182,,0.12,,,0.138,0.086,,,0.09,
10/05,0.134,0.157,,0.0,,,0.117,0.072,,,0.0,
10/06,0.157,0.183,,,,,0.142,0.082,,,,
10/07,0.138,0.164,,,,,0.136,0.072,,,,
10/08,0.115,0.136,,,,,0.11,0.058,,,,
10/09,0.11,0.13,,,,,0.105,0.055,,,,
10/10,0.0,0.0,,,,,0.0,0.0,,,,
