# Station Code,ichi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
04/25,0.112,0.114,0.153,0.153,0.134,0.1,,0.047,0.146
04/26,0.147,0.151,0.189,0.189,0.169,0.127,,0.062,0.184
04/27,0.157,0.16,0.199,0.199,0.179,0.133,,0.067,0.197
04/28,0.163,0.17,0.204,0.204,0.183,0.138,,0.073,0.202
04/29,0.167,0.176,0.206,0.206,0.184,0.141,,0.08,0.206
04/30,0.161,0.17,0.199,0.199,0.178,0.133,,0.079,0.199
05/01,0.172,0.181,0.227,0.227,0.201,0.15,,0.08,0.22
05/02,0.189,0.202,0.235,0.235,0.211,0.162,,0.098,0.235
05/03,0.189,0.201,0.237,0.237,0.21,0.162,,0.098,0.235
05/04,0.201,0.213,0.241,0.241,0.214,0.169,,0.114,0.245
05/05,0.212,0.228,0.252,0.252,0.223,0.178,0.1,0.121,0.257
05/06,0.199,0.211,0.234,0.235,0.206,0.161,0.06,0.111,0.239
05/07,0.152,0.161,0.178,0.179,0.156,0.125,0.05,0.087,0.183
05/08,0.159,0.169,0.188,0.188,0.163,0.13,,0.091,0.193
05/09,0.187,0.203,0.215,0.216,0.188,0.153,0.07,0.122,0.225
05/10,0.184,0.199,0.212,0.214,0.183,0.149,0.083,0.126,0.22
05/11,0.196,0.214,0.226,0.228,0.193,0.157,0.08,0.138,0.233
05/12,0.198,0.218,0.228,0.229,0.196,0.162,0.08,0.143,0.237
05/13,0.216,0.239,0.249,0.25,0.211,0.174,0.067,0.16,0.255
05/14,0.216,0.236,0.244,0.246,0.208,0.172,0.067,0.163,0.252
05/15,0.194,0.214,0.22,0.221,0.188,0.155,0.07,0.153,0.227
05/16,0.197,0.217,0.223,0.224,0.189,0.159,0.063,0.157,0.231
05/17,0.192,0.212,0.212,0.216,0.181,0.151,0.09,0.163,0.222
05/18,0.209,0.234,0.233,0.238,0.199,0.167,0.093,0.182,0.246
05/19,0.179,0.199,0.2,0.203,0.17,0.141,0.06,0.152,0.21
05/20,0.157,0.173,0.174,0.175,0.145,0.123,0.05,0.134,0.181
05/21,0.181,0.205,0.202,0.202,0.17,0.145,0.064,0.168,0.212
05/22,0.175,0.203,0.197,0.198,0.168,0.142,0.056,0.163,0.207
05/23,0.184,0.217,0.207,0.209,0.177,0.15,0.066,0.186,0.218
05/24,0.202,0.234,0.223,0.225,0.187,0.159,0.075,0.205,0.235
05/25,0.217,0.251,0.242,0.243,0.202,0.173,0.086,0.224,0.252
05/26,0.221,0.26,0.25,0.25,0.208,0.177,0.094,0.236,0.261
05/27,0.207,0.244,0.232,0.237,0.198,0.165,0.084,0.223,0.245
05/28,0.227,0.266,0.254,0.256,0.214,0.182,0.094,0.245,0.267
05/29,0.243,0.283,0.271,0.273,0.226,0.193,0.101,0.264,0.283
05/30,0.262,0.309,0.292,0.298,0.248,0.209,0.113,0.292,0.309
05/31,0.246,0.288,0.274,0.278,0.229,0.194,0.106,0.273,0.288
06/01,0.226,0.265,0.252,0.255,0.212,0.181,0.103,0.256,0.265
06/02,0.263,0.31,0.293,0.299,0.248,0.211,0.122,0.299,0.31
06/03,0.271,0.318,0.301,0.305,0.256,0.216,0.126,0.309,0.318
06/04,0.273,0.322,0.305,0.309,0.258,0.219,0.124,0.314,0.322
06/05,0.274,0.321,0.303,0.307,0.257,0.219,0.128,0.315,0.321
06/06,0.297,0.351,0.331,0.336,0.28,0.239,0.142,0.345,0.351
06/07,0.263,0.308,0.289,0.297,0.246,0.211,0.123,0.301,0.308
06/08,0.262,0.308,0.29,0.296,0.247,0.209,0.133,0.304,0.308
06/09,0.267,0.313,0.292,0.3,0.251,0.212,0.145,0.31,0.313
06/10,0.258,0.304,0.284,0.293,0.243,0.206,0.143,0.302,0.304
06/11,0.27,0.319,0.296,0.307,0.256,0.217,0.159,0.318,0.319
06/12,0.258,0.304,0.279,0.292,0.244,0.206,0.157,0.303,0.304
06/13,0.299,0.352,0.323,0.336,0.281,0.238,0.185,0.352,0.352
06/14,0.281,0.332,0.303,0.318,0.265,0.225,0.176,0.331,0.332
06/15,0.259,0.304,0.274,0.291,0.242,0.207,0.172,0.304,0.304
06/16,0.266,0.313,0.281,0.298,0.252,0.214,0.182,0.313,0.313
06/17,0.288,0.339,0.304,0.322,0.271,0.23,0.201,0.339,0.339
06/18,0.252,0.297,0.264,0.281,0.239,0.204,0.184,0.297,0.297
06/19,0.302,0.357,0.316,0.341,0.286,0.243,0.223,0.357,0.357
06/20,0.303,0.357,0.315,0.34,0.285,0.243,0.229,0.357,0.357
06/21,0.324,0.382,0.336,0.363,0.306,0.26,0.256,0.382,0.382
06/22,0.302,0.355,0.309,0.336,0.283,0.242,0.244,0.355,0.355
06/23,0.315,0.369,0.318,0.35,0.295,0.25,0.261,0.369,0.369
06/24,0.314,0.369,0.317,0.351,0.294,0.251,0.264,0.369,0.369
06/25,0.314,0.369,0.315,0.348,0.295,0.252,0.271,0.369,0.369
06/26,0.322,0.377,0.32,0.357,0.301,0.257,0.284,0.377,0.377
06/27,0.313,0.367,0.311,0.346,0.294,0.25,0.279,0.367,0.367
06/28,0.332,0.389,0.325,0.366,0.311,0.264,0.302,0.389,0.389
06/29,0.321,0.379,0.316,0.357,0.302,0.258,0.298,0.379,0.379
06/30,0.311,0.366,0.305,0.343,0.294,0.249,0.292,0.366,0.366
07/01,0.338,0.397,0.328,0.373,0.32,0.27,0.323,0.397,0.397
07/02,0.348,0.411,0.336,0.384,0.329,0.281,0.34,0.411,0.409
07/03,0.328,0.386,0.315,0.36,0.308,0.263,0.322,0.386,0.384
07/04,0.336,0.396,0.322,0.371,0.318,0.269,0.333,0.396,0.392
07/05,0.333,0.392,0.316,0.364,0.314,0.266,0.334,0.392,0.388
07/06,0.344,0.403,0.323,0.375,0.322,0.273,0.344,0.403,0.396
07/07,0.352,0.413,0.33,0.385,0.329,0.279,0.357,0.413,0.4
07/08,0.309,0.364,0.293,0.337,0.292,0.248,0.319,0.364,0.345
07/09,0.327,0.384,0.307,0.357,0.307,0.261,0.339,0.384,0.358
07/10,0.308,0.364,0.291,0.338,0.291,0.249,0.321,0.364,0.336
07/11,0.325,0.382,0.306,0.354,0.306,0.259,0.341,0.382,0.347
07/12,0.319,0.375,0.3,0.347,0.3,0.254,0.338,0.375,0.328
07/13,0.347,0.41,0.329,0.38,0.329,0.28,0.37,0.41,0.351
07/14,0.34,0.401,0.321,0.373,0.321,0.273,0.364,0.401,0.34
07/15,0.36,0.42,0.337,0.387,0.337,0.284,0.386,0.418,0.329
07/16,0.33,0.388,0.31,0.358,0.31,0.266,0.356,0.384,0.29
07/17,0.341,0.402,0.321,0.37,0.321,0.274,0.371,0.397,0.288
07/18,0.362,0.426,0.34,0.391,0.34,0.291,0.393,0.412,0.296
07/19,0.328,0.384,0.307,0.352,0.307,0.263,0.356,0.365,0.255
07/20,0.327,0.384,0.307,0.353,0.307,0.261,0.356,0.351,0.227
07/21,0.34,0.399,0.32,0.367,0.32,0.271,0.369,0.359,0.256
07/22,0.329,0.389,0.313,0.354,0.313,0.266,0.361,0.349,0.247
07/23,0.319,0.374,0.299,0.341,0.299,0.256,0.346,0.317,0.222
07/24,0.328,0.386,0.309,0.352,0.309,0.261,0.359,0.318,0.219
07/25,0.32,0.375,0.3,0.34,0.3,0.255,0.348,0.284,0.176
07/26,0.33,0.389,0.31,0.355,0.31,0.265,0.362,0.318,0.226
07/27,0.332,0.39,0.313,0.354,0.313,0.265,0.363,0.306,0.214
07/28,0.323,0.379,0.303,0.343,0.303,0.258,0.353,0.281,0.204
07/29,0.34,0.4,0.319,0.361,0.319,0.274,0.372,0.269,0.186
07/30,0.366,0.429,0.344,0.387,0.344,0.293,0.398,0.271,0.186
07/31,0.356,0.418,0.334,0.377,0.334,0.285,0.388,0.243,0.163
08/01,0.345,0.407,0.323,0.365,0.323,0.278,0.378,0.188,0.094
08/02,0.327,0.387,0.309,0.348,0.309,0.265,0.357,0.201,0.13
08/03,0.317,0.373,0.297,0.336,0.297,0.254,0.348,0.186,0.135
08/04,0.299,0.352,0.281,0.317,0.281,0.24,0.326,0.149,0.095
08/05,0.284,0.334,0.268,0.3,0.268,0.227,0.308,0.099,0.03
08/06,0.264,0.31,0.247,0.279,0.247,0.21,0.287,0.125,0.11
08/07,0.269,0.315,0.254,0.283,0.254,0.214,0.29,0.113,0.06
08/08,0.259,0.305,0.246,0.273,0.246,0.209,0.281,0.128,0.08
08/09,0.297,0.349,0.279,0.313,0.279,0.237,0.321,0.115,0.09
08/10,0.305,0.358,0.288,0.321,0.288,0.244,0.328,0.04,0.0
08/11,0.319,0.375,0.301,0.335,0.301,0.254,0.343,0.13,
08/12,0.309,0.365,0.292,0.325,0.292,0.249,0.331,0.16,
08/13,0.306,0.361,0.289,0.32,0.289,0.245,0.325,0.13,
08/14,0.311,0.366,0.291,0.327,0.291,0.249,0.332,0.13,
08/15,0.319,0.374,0.3,0.334,0.3,0.254,0.335,0.0,
08/16,0.316,0.373,0.299,0.332,0.299,0.254,0.333,,
08/17,0.339,0.399,0.32,0.354,0.32,0.272,0.355,,
08/18,0.3,0.353,0.281,0.313,0.281,0.241,0.309,,
08/19,0.282,0.333,0.265,0.293,0.265,0.226,0.29,,
08/20,0.264,0.31,0.249,0.274,0.249,0.208,0.268,,
08/21,0.279,0.328,0.263,0.289,0.263,0.222,0.282,,
08/22,0.266,0.312,0.25,0.274,0.25,0.213,0.267,,
08/23,0.259,0.305,0.244,0.265,0.244,0.207,0.26,,
08/24,0.275,0.323,0.259,0.282,0.259,0.218,0.272,,
08/25,0.283,0.332,0.267,0.291,0.267,0.222,0.277,,
08/26,0.279,0.327,0.261,0.285,0.261,0.22,0.274,,
08/27,0.277,0.324,0.259,0.282,0.259,0.217,0.268,,
08/28,0.298,0.35,0.281,0.305,0.281,0.234,0.286,,
08/29,0.322,0.38,0.303,0.33,0.303,0.255,0.31,,
08/30,0.304,0.358,0.286,0.311,0.286,0.238,0.289,,
08/31,0.273,0.319,0.254,0.277,0.254,0.212,0.259,,
09/01,0.277,0.326,0.262,0.282,0.262,0.215,0.262,,
09/02,0.271,0.317,0.253,0.274,0.253,0.208,0.251,,
09/03,0.276,0.324,0.258,0.28,0.258,0.212,0.257,,
09/04,0.256,0.3,0.24,0.259,0.24,0.196,0.236,,
09/05,0.27,0.318,0.255,0.275,0.255,0.206,0.249,,
09/06,0.276,0.325,0.261,0.282,0.261,0.212,0.252,,
09/07,0.291,0.343,0.276,0.296,0.276,0.219,0.262,,
09/08,0.277,0.326,0.261,0.28,0.261,0.207,0.247,,
09/09,0.251,0.292,0.233,0.251,0.233,0.185,0.218,,
09/10,0.263,0.311,0.25,0.268,0.25,0.196,0.227,,
09/11,0.24,0.282,0.226,0.242,0.226,0.178,0.205,,
09/12,0.233,0.274,0.216,0.235,0.219,0.169,0.194,,
09/13,0.239,0.281,0.222,0.241,0.225,0.174,0.193,,
09/14,0.21,0.246,0.195,0.212,0.196,0.151,0.168,,
09/15,0.219,0.258,0.203,0.219,0.206,0.157,0.168,,
09/16,0.224,0.264,0.206,0.224,0.212,0.16,0.183,,
09/17,0.229,0.268,0.209,0.229,0.215,0.163,0.184,,
09/18,0.231,0.272,0.212,0.231,0.217,0.161,0.181,,
09/19,0.172,0.204,0.157,0.172,0.163,0.118,0.128,,
09/20,0.179,0.21,0.164,0.178,0.169,0.118,0.094,,
09/21,0.162,0.191,0.146,0.161,0.151,0.104,0.091,,
09/22,0.167,0.196,0.149,0.166,0.156,0.102,0.1,,
09/23,0.168,0.196,0.149,0.165,0.155,0.102,0.093,,
09/24,0.206,0.241,0.183,0.203,0.192,0.121,0.121,,
09/25,0.222,0.259,0.194,0.217,0.207,0.126,0.04,,
09/26,0.206,0.243,0.181,0.204,0.195,0.115,0.115,,
09/27,0.208,0.244,0.18,0.204,0.195,0.111,0.115,,
09/28,0.187,0.221,0.164,0.185,0.177,0.098,0.11,,
09/29,0.173,0.204,0.151,0.171,0.164,0.089,0.11,,
09/30,0.019,0.022,0.13,0.15,0.018,0.012,0.0,,
10/01,0.14,0.16,0.125,0.145,0.13,0.08,,,
10/02,0.19,0.22,0.112,0.129,0.18,0.11,,,
10/03,0.15,0.18,0.129,0.15,0.14,0.09,,,
10/04,0.13,0.15,0.125,0.146,0.12,0.07,,,
10/05,0.1,0.12,0.128,0.149,0.1,0.06,,,
10/06,0.09,0.1,0.118,0.139,0.08,0.05,,,
10/07,0.14,0.17,0.138,0.165,0.14,0.07,,,
10/08,0.21,0.25,0.136,0.162,0.2,0.11,,,
10/09,0.2,0.24,0.122,0.146,0.19,0.1,,,
10/10,0.0,0.0,0.123,0.149,0.0,0.0,,,
10/11,,,0.106,0.13,,,,,
10/12,,,0.105,0.125,,,,,
10/13,,,0.118,0.141,,,,,
10/14,,,0.118,0.145,,,,,
10/15,,,0.122,0.149,,,,,
10/16,,,0.147,0.18,,,,,
10/17,,,0.146,0.177,,,,,
10/18,,,0.103,0.127,,,,,
10/19,,,0.104,0.128,,,,,
10/20,,,0.0,0.0,,,,,
