# Station Code,rdbm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAS,POTA,SGRN,WGRN
04/16,0.065,0.066,0.02,,0.088,0.063,0.024,,0.022,0.097
04/17,0.08,0.082,0.03,,0.103,0.074,0.028,,0.025,0.109
04/18,0.088,0.09,0.03,,0.105,0.077,0.031,,0.028,0.115
04/19,0.093,0.095,0.03,,0.108,0.081,0.032,,0.035,0.12
04/20,0.092,0.095,0.04,,0.105,0.082,0.034,,0.035,0.118
04/21,0.098,0.102,0.04,,0.108,0.085,0.03,,0.033,0.124
04/22,0.093,0.097,0.05,,0.107,0.083,0.031,,0.028,0.12
04/23,0.083,0.088,0.04,,0.096,0.075,0.029,,0.025,0.108
04/24,0.101,0.105,0.05,,0.112,0.089,0.033,,0.028,0.127
04/25,0.106,0.112,0.06,,0.116,0.092,0.037,,0.033,0.133
04/26,0.098,0.102,0.06,,0.105,0.082,0.033,,0.033,0.121
04/27,0.126,0.134,0.07,,0.135,0.109,0.043,,0.04,0.158
04/28,0.12,0.128,0.06,,0.127,0.102,0.041,,0.043,0.149
04/29,0.111,0.117,0.03,,0.115,0.093,0.037,,0.043,0.137
04/30,0.111,0.118,0.023,,0.114,0.093,0.038,,0.043,0.135
05/01,0.138,0.148,0.035,0.025,0.14,0.114,0.048,0.063,0.039,0.165
05/02,0.142,0.155,0.039,0.035,0.139,0.116,0.049,0.07,0.045,0.17
05/03,0.136,0.147,0.038,0.04,0.135,0.112,0.048,0.053,0.043,0.162
05/04,0.152,0.165,0.043,0.035,0.148,0.124,0.054,0.05,0.048,0.181
05/05,0.137,0.15,0.04,0.033,0.133,0.11,0.049,0.053,0.045,0.164
05/06,0.132,0.144,0.046,0.038,0.127,0.105,0.05,0.053,0.042,0.158
05/07,0.123,0.135,0.036,0.033,0.117,0.098,0.049,0.053,0.043,0.145
05/08,0.147,0.162,0.048,0.039,0.138,0.118,0.058,0.063,0.054,0.172
05/09,0.138,0.155,0.043,0.036,0.132,0.112,0.056,0.047,0.056,0.162
05/10,0.152,0.172,0.048,0.039,0.145,0.124,0.063,0.054,0.064,0.18
05/11,0.146,0.164,0.048,0.038,0.137,0.118,0.062,0.053,0.059,0.171
05/12,0.161,0.184,0.059,0.045,0.153,0.13,0.072,0.06,0.067,0.189
05/13,0.157,0.183,0.062,0.046,0.148,0.126,0.072,0.06,0.07,0.185
05/14,0.162,0.188,0.064,0.049,0.153,0.131,0.076,0.063,0.074,0.19
05/15,0.151,0.175,0.067,0.05,0.142,0.12,0.075,0.059,0.072,0.176
05/16,0.147,0.171,0.066,0.052,0.137,0.117,0.075,0.055,0.08,0.172
05/17,0.139,0.162,0.068,0.058,0.131,0.111,0.078,0.058,0.088,0.163
05/18,0.148,0.172,0.076,0.062,0.138,0.117,0.084,0.063,0.094,0.172
05/19,0.134,0.158,0.073,0.06,0.126,0.105,0.075,0.053,0.092,0.158
05/20,0.133,0.158,0.08,0.065,0.127,0.107,0.08,0.055,0.098,0.158
05/21,0.149,0.175,0.089,0.076,0.142,0.12,0.089,0.059,0.117,0.175
05/22,0.152,0.18,0.098,0.084,0.145,0.124,0.095,0.061,0.126,0.18
05/23,0.148,0.176,0.103,0.09,0.14,0.12,0.098,0.065,0.128,0.176
05/24,0.148,0.175,0.108,0.097,0.138,0.119,0.102,0.068,0.131,0.175
05/25,0.133,0.157,0.102,0.092,0.125,0.108,0.095,0.06,0.122,0.157
05/26,0.132,0.156,0.105,0.098,0.125,0.106,0.101,0.058,0.126,0.156
05/27,0.144,0.169,0.117,0.112,0.135,0.115,0.11,0.065,0.139,0.169
05/28,0.142,0.165,0.118,0.111,0.132,0.114,0.11,0.065,0.139,0.165
05/29,0.165,0.195,0.145,0.138,0.155,0.132,0.135,0.08,0.169,0.195
05/30,0.164,0.193,0.148,0.145,0.155,0.132,0.14,0.08,0.17,0.193
05/31,0.152,0.178,0.141,0.137,0.145,0.122,0.135,0.078,0.16,0.178
06/01,0.145,0.169,0.136,0.136,0.135,0.115,0.133,0.076,0.154,0.169
06/02,0.151,0.178,0.147,0.148,0.142,0.12,0.139,0.081,0.164,0.178
06/03,0.167,0.195,0.164,0.164,0.155,0.133,0.155,0.089,0.182,0.195
06/04,0.185,0.215,0.182,0.182,0.172,0.145,0.177,0.104,0.202,0.215
06/05,0.183,0.215,0.188,0.187,0.172,0.145,0.183,0.11,0.207,0.215
06/06,0.162,0.19,0.172,0.168,0.154,0.128,0.17,0.103,0.184,0.19
06/07,0.173,0.204,0.185,0.185,0.163,0.139,0.183,0.11,0.197,0.204
06/08,0.168,0.198,0.179,0.181,0.159,0.135,0.182,0.11,0.192,0.198
06/09,0.175,0.205,0.19,0.192,0.165,0.139,0.192,0.117,0.198,0.205
06/10,0.157,0.184,0.172,0.173,0.148,0.125,0.172,0.108,0.178,0.184
06/11,0.179,0.212,0.198,0.199,0.17,0.144,0.2,0.126,0.207,0.212
06/12,0.182,0.214,0.201,0.202,0.169,0.145,0.206,0.132,0.214,0.214
06/13,0.165,0.195,0.184,0.185,0.156,0.131,0.187,0.122,0.195,0.194
06/14,0.178,0.21,0.2,0.198,0.169,0.143,0.203,0.134,0.21,0.21
06/15,0.167,0.195,0.186,0.185,0.155,0.133,0.192,0.13,0.195,0.195
06/16,0.152,0.178,0.168,0.168,0.142,0.122,0.174,0.118,0.178,0.177
06/17,0.154,0.182,0.174,0.173,0.146,0.125,0.181,0.125,0.182,0.182
06/18,0.159,0.186,0.178,0.178,0.148,0.127,0.184,0.13,0.186,0.185
06/19,0.165,0.195,0.185,0.185,0.155,0.131,0.193,0.142,0.195,0.192
06/20,0.161,0.187,0.179,0.179,0.148,0.128,0.184,0.142,0.187,0.184
06/21,0.198,0.232,0.221,0.221,0.186,0.157,0.228,0.178,0.232,0.228
06/22,0.196,0.23,0.22,0.22,0.185,0.157,0.225,0.177,0.23,0.225
06/23,0.18,0.213,0.204,0.204,0.17,0.145,0.206,0.166,0.213,0.207
06/24,0.18,0.212,0.203,0.203,0.17,0.145,0.205,0.165,0.212,0.208
06/25,0.191,0.224,0.214,0.214,0.178,0.153,0.21,0.181,0.224,0.216
06/26,0.194,0.229,0.219,0.219,0.183,0.155,0.213,0.184,0.229,0.222
06/27,0.205,0.241,0.229,0.23,0.194,0.163,0.218,0.199,0.241,0.229
06/28,0.204,0.239,0.23,0.229,0.192,0.162,0.208,0.201,0.239,0.225
06/29,0.172,0.202,0.194,0.194,0.162,0.137,0.171,0.172,0.202,0.188
06/30,0.212,0.25,0.241,0.241,0.2,0.17,0.205,0.215,0.25,0.23
07/01,0.228,0.271,0.26,0.261,0.218,0.184,0.216,0.235,0.271,0.246
07/02,0.215,0.255,0.245,0.245,0.205,0.173,0.198,0.222,0.255,0.234
07/03,0.212,0.25,0.241,0.242,0.202,0.169,0.182,0.22,0.25,0.218
07/04,0.222,0.262,0.252,0.252,0.211,0.178,0.182,0.231,0.262,0.223
07/05,0.225,0.265,0.256,0.255,0.213,0.179,0.179,0.235,0.265,0.227
07/06,0.209,0.245,0.236,0.236,0.196,0.167,0.16,0.219,0.245,0.206
07/07,0.222,0.259,0.25,0.25,0.205,0.177,0.162,0.235,0.259,0.212
07/08,0.219,0.258,0.25,0.25,0.205,0.175,0.155,0.235,0.258,0.202
07/09,0.212,0.249,0.241,0.241,0.198,0.169,0.139,0.228,0.249,0.187
07/10,0.228,0.268,0.259,0.261,0.215,0.182,0.141,0.245,0.268,0.185
07/11,0.198,0.233,0.227,0.229,0.188,0.158,0.115,0.214,0.233,0.166
07/12,0.217,0.255,0.248,0.251,0.203,0.174,0.123,0.235,0.255,0.177
07/13,0.208,0.245,0.238,0.242,0.196,0.165,0.108,0.225,0.245,0.161
07/14,0.215,0.252,0.247,0.249,0.202,0.171,0.105,0.232,0.252,0.155
07/15,0.214,0.252,0.248,0.25,0.202,0.172,0.096,0.233,0.252,0.136
07/16,0.211,0.246,0.244,0.245,0.197,0.167,0.089,0.226,0.246,0.154
07/17,0.203,0.239,0.238,0.237,0.192,0.163,0.078,0.222,0.239,0.14
07/18,0.232,0.274,0.272,0.273,0.221,0.186,0.089,0.255,0.274,0.153
07/19,0.221,0.261,0.259,0.26,0.208,0.176,0.078,0.241,0.261,0.132
07/20,0.233,0.275,0.275,0.274,0.22,0.186,0.061,0.255,0.275,0.132
07/21,0.241,0.283,0.283,0.283,0.225,0.191,0.083,0.263,0.283,0.127
07/22,0.228,0.268,0.268,0.268,0.215,0.182,0.072,0.248,0.268,0.114
07/23,0.235,0.276,0.276,0.276,0.222,0.186,0.071,0.255,0.276,0.106
07/24,0.244,0.287,0.287,0.287,0.228,0.194,0.071,0.266,0.287,0.103
07/25,0.227,0.268,0.268,0.268,0.213,0.181,0.031,0.247,0.265,0.028
07/26,0.214,0.251,0.251,0.251,0.201,0.169,0.077,0.232,0.248,0.12
07/27,0.209,0.245,0.245,0.245,0.196,0.167,0.073,0.226,0.241,0.105
07/28,0.214,0.252,0.252,0.252,0.202,0.171,0.07,0.234,0.242,0.1
07/29,0.232,0.272,0.272,0.272,0.218,0.185,0.063,0.252,0.256,0.095
07/30,0.232,0.272,0.272,0.272,0.218,0.185,0.06,0.252,0.249,0.06
07/31,0.23,0.271,0.271,0.271,0.215,0.183,0.05,0.25,0.239,0.07
08/01,0.218,0.255,0.255,0.255,0.205,0.172,0.017,0.236,0.215,0.0
08/02,0.226,0.267,0.267,0.267,0.214,0.182,0.06,0.247,0.214,
08/03,0.222,0.263,0.263,0.263,0.21,0.178,0.05,0.243,0.194,
08/04,0.215,0.252,0.252,0.252,0.202,0.174,0.05,0.231,0.174,
08/05,0.199,0.233,0.233,0.233,0.186,0.157,0.0,0.214,0.15,
08/06,0.195,0.228,0.228,0.228,0.184,0.155,,0.209,0.138,
08/07,0.206,0.242,0.242,0.242,0.193,0.164,,0.222,0.137,
08/08,0.199,0.234,0.234,0.234,0.185,0.159,,0.214,0.122,
08/09,0.186,0.218,0.218,0.218,0.174,0.149,,0.197,0.102,
08/10,0.188,0.222,0.222,0.222,0.178,0.151,,0.202,0.075,
08/11,0.198,0.233,0.233,0.233,0.188,0.159,,0.211,0.102,
08/12,0.187,0.219,0.219,0.219,0.174,0.149,,0.195,0.093,
08/13,0.184,0.215,0.215,0.215,0.172,0.147,,0.191,0.077,
08/14,0.198,0.232,0.232,0.232,0.187,0.158,,0.205,0.072,
08/15,0.202,0.236,0.236,0.236,0.188,0.16,,0.207,0.0,
08/16,0.192,0.225,0.225,0.225,0.18,0.152,,0.197,,
08/17,0.181,0.214,0.214,0.214,0.172,0.145,,0.185,,
08/18,0.198,0.233,0.233,0.233,0.188,0.156,,0.2,,
08/19,0.198,0.231,0.231,0.231,0.184,0.158,,0.198,,
08/20,0.167,0.196,0.196,0.195,0.157,0.134,,0.166,,
08/21,0.161,0.188,0.188,0.186,0.151,0.128,,0.158,,
08/22,0.171,0.202,0.202,0.195,0.162,0.137,,0.169,,
08/23,0.175,0.205,0.205,0.198,0.164,0.138,,0.17,,
08/24,0.159,0.187,0.186,0.178,0.151,0.126,,0.155,,
08/25,0.151,0.176,0.175,0.165,0.143,0.119,,0.145,,
08/26,0.149,0.176,0.175,0.163,0.14,0.118,,0.144,,
08/27,0.165,0.195,0.193,0.177,0.155,0.129,,0.158,,
08/28,0.163,0.192,0.188,0.173,0.154,0.129,,0.155,,
08/29,0.169,0.198,0.19,0.175,0.16,0.132,,0.161,,
08/30,0.155,0.182,0.173,0.16,0.145,0.122,,0.147,,
08/31,0.153,0.18,0.168,0.155,0.143,0.12,,0.144,,
09/01,0.18,0.212,0.193,0.176,0.17,0.141,,0.168,,
09/02,0.172,0.202,0.185,0.165,0.163,0.135,,0.158,,
09/03,0.126,0.15,0.132,0.118,0.122,0.099,,0.118,,
09/04,0.143,0.169,0.146,0.132,0.134,0.112,,0.129,,
09/05,0.136,0.161,0.136,0.122,0.129,0.105,,0.123,,
09/06,0.128,0.152,0.125,0.112,0.123,0.098,,0.115,,
09/07,0.14,0.166,0.134,0.122,0.134,0.108,,0.123,,
09/08,0.135,0.158,0.123,0.111,0.126,0.102,,0.113,,
09/09,0.125,0.147,0.113,0.101,0.118,0.095,,0.105,,
09/10,0.138,0.159,0.118,0.108,0.128,0.101,,0.111,,
09/11,0.125,0.148,0.109,0.097,0.118,0.093,,0.102,,
09/12,0.122,0.143,0.102,0.092,0.115,0.092,,0.098,,
09/13,0.119,0.141,0.098,0.089,0.113,0.088,,0.093,,
09/14,0.108,0.125,0.087,0.077,0.099,0.078,,0.08,,
09/15,0.109,0.129,0.087,0.074,0.105,0.08,,0.076,,
09/16,0.116,0.138,0.09,0.078,0.11,0.086,,0.083,,
09/17,0.108,0.126,0.08,0.069,0.102,0.078,,0.075,,
09/18,0.104,0.123,0.076,0.065,0.099,0.075,,0.069,,
09/19,0.103,0.122,0.072,0.064,0.097,0.074,,0.067,,
09/20,0.098,0.115,0.068,0.035,0.092,0.068,,0.016,,
09/21,0.1,0.117,0.065,0.08,0.092,0.069,,0.073,,
09/22,0.076,0.089,0.049,0.068,0.071,0.052,,0.047,,
09/23,0.1,0.116,0.062,0.066,0.093,0.067,,0.07,,
09/24,0.102,0.121,0.063,0.066,0.097,0.066,,0.08,,
09/25,0.092,0.107,0.05,0.062,0.085,0.057,,0.043,,
09/26,0.108,0.125,0.061,0.076,0.099,0.066,,0.07,,
09/27,0.088,0.103,0.043,0.048,0.082,0.054,,0.045,,
09/28,0.09,0.104,0.046,0.054,0.082,0.052,,0.045,,
09/29,0.085,0.099,0.043,0.048,0.079,0.047,,0.045,,
09/30,0.08,0.092,0.007,0.042,0.073,0.043,,0.0,,
10/01,0.073,0.085,0.027,0.053,0.07,0.038,,,,
10/02,0.072,0.082,0.037,0.053,0.065,0.036,,,,
10/03,0.078,0.093,0.03,0.053,0.074,0.04,,,,
10/04,0.075,0.088,0.05,0.043,0.068,0.035,,,,
10/05,0.004,0.005,0.0,0.0,0.004,0.003,,,,
10/06,0.04,0.05,,,0.04,0.02,,,,
10/07,0.03,0.04,,,0.03,0.02,,,,
10/08,0.07,0.08,,,0.06,0.03,,,,
10/09,0.04,0.05,,,0.04,0.02,,,,
