# Station Code,fafi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
07/26,0.272,0.32,0.258,0.215,0.32
07/27,0.267,0.314,0.252,0.212,0.314
07/28,0.273,0.319,0.255,0.216,0.319
07/29,0.262,0.309,0.248,0.21,0.309
07/30,0.272,0.318,0.255,0.217,0.318
07/31,0.269,0.315,0.253,0.214,0.315
08/01,0.278,0.326,0.261,0.221,0.323
08/02,0.273,0.322,0.257,0.218,0.318
08/03,0.292,0.342,0.273,0.232,0.335
08/04,0.254,0.298,0.237,0.203,0.275
08/05,0.248,0.292,0.233,0.199,0.243
08/06,0.237,0.278,0.225,0.188,0.258
08/07,0.241,0.283,0.226,0.193,0.261
08/08,0.223,0.261,0.208,0.177,0.232
08/09,0.244,0.286,0.228,0.195,0.248
08/10,0.245,0.289,0.233,0.196,0.247
08/11,0.264,0.31,0.248,0.211,0.251
08/12,0.257,0.301,0.24,0.203,0.241
08/13,0.253,0.298,0.239,0.202,0.218
08/14,0.273,0.318,0.254,0.214,0.223
08/15,0.288,0.34,0.27,0.232,0.172
08/16,0.263,0.307,0.247,0.208,0.209
08/17,0.267,0.312,0.25,0.211,0.19
08/18,0.265,0.312,0.249,0.212,0.18
08/19,0.242,0.284,0.228,0.194,0.147
08/20,0.226,0.266,0.212,0.18,0.1
08/21,0.22,0.259,0.205,0.177,0.112
08/22,0.235,0.277,0.222,0.188,0.108
08/23,0.228,0.268,0.214,0.182,0.117
08/24,0.235,0.276,0.221,0.186,0.102
08/25,0.233,0.273,0.218,0.185,0.022
08/26,0.248,0.293,0.235,0.197,0.11
08/27,0.239,0.282,0.226,0.188,0.11
08/28,0.243,0.286,0.229,0.19,0.1
08/29,0.249,0.293,0.235,0.193,0.14
08/30,0.257,0.302,0.241,0.198,0.1
08/31,0.24,0.281,0.225,0.185,0.07
09/01,0.26,0.304,0.243,0.199,0.0
09/02,0.228,0.269,0.214,0.176,
09/03,0.22,0.259,0.207,0.169,
09/04,0.222,0.26,0.208,0.168,
09/05,0.196,0.231,0.184,0.147,
09/06,0.202,0.238,0.191,0.152,
09/07,0.229,0.27,0.217,0.169,
09/08,0.224,0.263,0.21,0.165,
09/09,0.202,0.237,0.19,0.148,
09/10,0.204,0.239,0.204,0.157,
09/11,0.223,0.261,0.206,0.157,
09/12,0.195,0.23,0.179,0.136,
09/13,0.187,0.219,0.172,0.129,
09/14,0.164,0.193,0.152,0.114,
09/15,0.173,0.204,0.162,0.118,
09/16,0.189,0.222,0.174,0.122,
09/17,0.162,0.19,0.157,0.104,
09/18,0.191,0.224,0.178,0.118,
09/19,0.158,0.187,0.151,0.096,
09/20,0.167,0.195,0.156,0.095,
09/21,0.135,0.158,0.127,0.077,
09/22,0.144,0.17,0.137,0.077,
09/23,0.164,0.193,0.155,0.084,
09/24,0.176,0.207,0.165,0.085,
09/25,0.0,0.0,0.0,0.0,
