# Station Code,owno
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PPMT,SGRN,WGRN
06/06,0.177,0.21,0.168,0.143,0.092,0.207,0.21
06/07,0.17,0.2,0.163,0.138,0.092,0.2,0.2
06/08,0.152,0.18,0.147,0.12,0.09,0.18,0.18
06/09,0.158,0.185,0.15,0.125,0.1,0.185,0.185
06/10,0.198,0.235,0.188,0.158,0.125,0.235,0.235
06/11,0.21,0.242,0.195,0.165,0.135,0.242,0.242
06/12,0.173,0.203,0.163,0.138,0.11,0.203,0.203
06/13,0.158,0.188,0.15,0.128,0.103,0.188,0.188
06/14,0.228,0.268,0.212,0.182,0.15,0.268,0.268
06/15,0.203,0.235,0.188,0.163,0.14,0.235,0.235
06/16,0.193,0.228,0.182,0.155,0.14,0.228,0.228
06/17,0.208,0.245,0.195,0.168,0.155,0.245,0.245
06/18,0.212,0.25,0.198,0.17,0.155,0.25,0.25
06/19,0.205,0.24,0.193,0.163,0.158,0.24,0.24
06/20,0.202,0.238,0.188,0.16,0.16,0.238,0.238
06/21,0.223,0.26,0.208,0.175,0.177,0.26,0.26
06/22,0.217,0.258,0.208,0.175,0.182,0.258,0.258
06/23,0.24,0.282,0.225,0.193,0.205,0.282,0.282
06/24,0.253,0.297,0.238,0.203,0.218,0.297,0.297
06/25,0.223,0.26,0.21,0.177,0.195,0.26,0.26
06/26,0.242,0.285,0.225,0.193,0.22,0.285,0.285
06/27,0.275,0.325,0.263,0.22,0.253,0.325,0.325
06/28,0.275,0.323,0.258,0.22,0.255,0.323,0.323
06/29,0.245,0.287,0.233,0.198,0.225,0.287,0.287
06/30,0.26,0.305,0.245,0.208,0.242,0.305,0.305
07/01,0.273,0.32,0.253,0.217,0.258,0.32,0.318
07/02,0.285,0.335,0.27,0.227,0.273,0.335,0.33
07/03,0.28,0.33,0.263,0.225,0.273,0.33,0.323
07/04,0.245,0.287,0.23,0.195,0.237,0.287,0.28
07/05,0.242,0.285,0.228,0.195,0.238,0.285,0.275
07/06,0.273,0.32,0.258,0.217,0.273,0.32,0.297
07/07,0.295,0.348,0.278,0.235,0.297,0.348,0.31
07/08,0.255,0.3,0.24,0.205,0.258,0.3,0.263
07/09,0.265,0.31,0.25,0.21,0.268,0.31,0.263
07/10,0.268,0.312,0.247,0.213,0.275,0.312,0.258
07/11,0.28,0.33,0.265,0.228,0.287,0.33,0.258
07/12,0.285,0.333,0.265,0.225,0.297,0.333,0.253
07/13,0.297,0.35,0.28,0.235,0.312,0.35,0.26
07/14,0.268,0.315,0.25,0.212,0.282,0.315,0.223
07/15,0.29,0.343,0.27,0.23,0.31,0.34,0.233
07/16,0.297,0.353,0.28,0.24,0.32,0.35,0.225
07/17,0.338,0.398,0.318,0.27,0.363,0.393,0.237
07/18,0.3,0.35,0.28,0.237,0.32,0.342,0.193
07/19,0.278,0.325,0.26,0.22,0.3,0.315,0.175
07/20,0.268,0.315,0.255,0.215,0.287,0.297,0.16
07/21,0.29,0.34,0.273,0.23,0.312,0.318,0.158
07/22,0.292,0.343,0.275,0.232,0.32,0.312,0.147
07/23,0.255,0.3,0.24,0.203,0.28,0.26,0.12
07/24,0.273,0.32,0.255,0.22,0.3,0.273,0.128
07/25,0.247,0.287,0.23,0.195,0.273,0.227,0.037
07/26,0.25,0.292,0.235,0.2,0.278,0.215,0.15
07/27,0.297,0.35,0.28,0.237,0.33,0.245,0.14
07/28,0.278,0.328,0.263,0.223,0.31,0.212,0.13
07/29,0.265,0.31,0.247,0.21,0.295,0.19,0.13
07/30,0.295,0.348,0.277,0.235,0.33,0.2,0.13
07/31,0.273,0.32,0.255,0.218,0.302,0.163,0.11
08/01,0.255,0.3,0.24,0.208,0.285,0.107,0.0
08/02,0.225,0.265,0.21,0.18,0.25,0.15,
08/03,0.245,0.287,0.228,0.193,0.275,0.133,
08/04,0.253,0.297,0.24,0.203,0.285,0.107,
08/05,0.27,0.318,0.253,0.217,0.302,0.047,
08/06,0.242,0.282,0.228,0.19,0.27,0.09,
08/07,0.205,0.24,0.19,0.163,0.23,0.06,
08/08,0.258,0.305,0.245,0.208,0.29,0.09,
08/09,0.232,0.27,0.215,0.185,0.26,0.09,
08/10,0.237,0.277,0.223,0.188,0.268,0.0,
08/11,0.25,0.295,0.235,0.2,0.28,,
08/12,0.247,0.288,0.228,0.195,0.275,,
08/13,0.255,0.297,0.238,0.205,0.285,,
08/14,0.247,0.292,0.235,0.198,0.278,,
08/15,0.245,0.287,0.23,0.195,0.275,,
08/16,0.277,0.325,0.258,0.22,0.307,,
08/17,0.253,0.3,0.24,0.203,0.285,,
08/18,0.205,0.242,0.193,0.163,0.232,,
08/19,0.188,0.223,0.177,0.15,0.213,,
08/20,0.195,0.228,0.182,0.152,0.218,,
08/21,0.17,0.198,0.155,0.135,0.19,,
08/22,0.208,0.245,0.198,0.167,0.233,,
08/23,0.205,0.242,0.195,0.165,0.233,,
08/24,0.213,0.25,0.203,0.172,0.237,,
08/25,0.23,0.268,0.215,0.182,0.258,,
08/26,0.233,0.27,0.215,0.182,0.26,,
08/27,0.213,0.247,0.198,0.168,0.237,,
08/28,0.223,0.263,0.207,0.177,0.25,,
08/29,0.25,0.292,0.235,0.198,0.278,,
08/30,0.242,0.282,0.228,0.188,0.27,,
08/31,0.25,0.292,0.235,0.193,0.28,,
09/01,0.17,0.195,0.155,0.13,0.188,,
09/02,0.242,0.285,0.228,0.188,0.27,,
09/03,0.223,0.263,0.21,0.172,0.25,,
09/04,0.225,0.26,0.208,0.173,0.247,,
09/05,0.195,0.228,0.182,0.148,0.155,,
09/06,0.217,0.253,0.203,0.165,0.237,,
09/07,0.265,0.31,0.25,0.2,0.27,,
09/08,0.193,0.227,0.18,0.15,0.197,,
09/09,0.215,0.25,0.198,0.163,0.247,,
09/10,0.205,0.237,0.188,0.152,0.0,,
09/11,0.182,0.215,0.172,0.138,,,
09/12,0.158,0.188,0.152,0.12,,,
09/13,0.18,0.21,0.17,0.133,,,
09/14,0.165,0.198,0.158,0.125,,,
09/15,0.177,0.21,0.168,0.133,,,
09/16,0.168,0.2,0.16,0.125,,,
09/17,0.195,0.23,0.185,0.143,,,
09/18,0.182,0.215,0.17,0.133,,,
09/19,0.138,0.16,0.128,0.098,,,
09/20,0.148,0.175,0.143,0.105,,,
09/21,0.135,0.16,0.128,0.092,,,
09/22,0.158,0.185,0.148,0.107,,,
09/23,0.168,0.195,0.155,0.113,,,
09/24,0.16,0.188,0.147,0.105,,,
09/25,0.217,0.255,0.207,0.138,,,
09/26,0.188,0.223,0.177,0.118,,,
09/27,0.215,0.255,0.203,0.13,,,
09/28,0.173,0.203,0.163,0.103,,,
09/29,0.145,0.17,0.138,0.085,,,
09/30,0.113,0.133,0.105,0.062,,,
10/01,0.125,0.145,0.118,0.065,,,
10/02,0.145,0.17,0.138,0.075,,,
10/03,0.145,0.17,0.138,0.075,,,
10/04,0.14,0.165,0.13,0.07,,,
10/05,0.0,0.0,0.0,0.0,,,
