# Station Code,htsm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
07/02,0.233,0.273,0.22,0.185,0.223,0.23,0.273,0.268
07/03,0.208,0.245,0.195,0.168,0.198,0.208,0.245,0.238
07/04,0.22,0.26,0.21,0.175,0.202,0.223,0.26,0.25
07/05,0.215,0.255,0.203,0.173,0.188,0.22,0.255,0.242
07/06,0.212,0.25,0.2,0.172,0.18,0.22,0.25,0.228
07/07,0.21,0.247,0.198,0.168,0.165,0.22,0.247,0.22
07/08,0.225,0.263,0.212,0.175,0.167,0.235,0.263,0.225
07/09,0.237,0.277,0.22,0.19,0.167,0.25,0.277,0.23
07/10,0.23,0.268,0.212,0.182,0.152,0.24,0.268,0.215
07/11,0.213,0.253,0.205,0.172,0.133,0.23,0.253,0.193
07/12,0.233,0.273,0.22,0.182,0.138,0.247,0.273,0.205
07/13,0.25,0.29,0.23,0.198,0.142,0.268,0.29,0.21
07/14,0.225,0.265,0.212,0.182,0.12,0.242,0.265,0.18
07/15,0.242,0.282,0.225,0.193,0.122,0.26,0.282,0.188
07/16,0.242,0.285,0.228,0.193,0.115,0.263,0.28,0.177
07/17,0.23,0.27,0.217,0.185,0.1,0.25,0.265,0.163
07/18,0.24,0.282,0.225,0.19,0.103,0.263,0.273,0.155
07/19,0.217,0.255,0.203,0.175,0.085,0.237,0.235,0.135
07/20,0.22,0.258,0.205,0.175,0.068,0.24,0.23,0.128
07/21,0.242,0.282,0.228,0.19,0.09,0.265,0.24,0.133
07/22,0.265,0.31,0.247,0.212,0.103,0.29,0.265,0.138
07/23,0.24,0.28,0.225,0.19,0.083,0.26,0.227,0.113
07/24,0.26,0.305,0.245,0.21,0.087,0.285,0.237,0.115
07/25,0.233,0.273,0.22,0.182,0.057,0.253,0.202,0.037
07/26,0.232,0.275,0.22,0.188,0.075,0.255,0.193,0.15
07/27,0.223,0.26,0.21,0.175,0.07,0.24,0.168,0.12
07/28,0.215,0.255,0.205,0.172,0.065,0.237,0.152,0.11
07/29,0.258,0.3,0.24,0.203,0.06,0.28,0.165,0.11
07/30,0.253,0.297,0.24,0.203,0.06,0.278,0.158,0.12
07/31,0.258,0.3,0.24,0.203,0.05,0.278,0.14,0.09
08/01,0.237,0.277,0.223,0.19,0.0,0.26,0.08,0.0
08/02,0.223,0.26,0.208,0.18,,0.242,0.115,
08/03,0.245,0.288,0.23,0.195,,0.268,0.125,
08/04,0.232,0.277,0.223,0.188,,0.255,0.11,
08/05,0.182,0.212,0.168,0.145,,0.198,0.03,
08/06,0.19,0.225,0.18,0.15,,0.205,0.05,
08/07,0.217,0.258,0.205,0.175,,0.237,0.08,
08/08,0.215,0.25,0.202,0.17,,0.228,0.08,
08/09,0.195,0.232,0.185,0.158,,0.213,0.06,
08/10,0.227,0.268,0.213,0.182,,0.242,0.0,
08/11,0.24,0.282,0.228,0.193,,0.258,,
08/12,0.198,0.232,0.188,0.158,,0.21,,
08/13,0.215,0.255,0.203,0.172,,0.23,,
08/14,0.223,0.263,0.21,0.18,,0.237,,
08/15,0.242,0.285,0.23,0.193,,0.253,,
08/16,0.245,0.287,0.23,0.195,,0.255,,
08/17,0.208,0.242,0.195,0.165,,0.217,,
08/18,0.182,0.213,0.172,0.145,,0.185,,
08/19,0.188,0.223,0.177,0.152,,0.195,,
08/20,0.165,0.195,0.158,0.133,,0.168,,
08/21,0.138,0.163,0.13,0.11,,0.14,,
08/22,0.19,0.225,0.182,0.155,,0.193,,
08/23,0.193,0.225,0.18,0.155,,0.188,,
08/24,0.158,0.185,0.15,0.128,,0.155,,
08/25,0.143,0.168,0.133,0.113,,0.14,,
08/26,0.19,0.225,0.18,0.152,,0.188,,
08/27,0.175,0.208,0.165,0.14,,0.17,,
08/28,0.188,0.218,0.172,0.147,,0.18,,
08/29,0.183,0.217,0.173,0.143,,0.177,,
08/30,0.147,0.173,0.137,0.113,,0.14,,
08/31,0.15,0.177,0.14,0.12,,0.143,,
09/01,0.18,0.213,0.17,0.14,,0.173,,
09/02,0.177,0.207,0.163,0.137,,0.163,,
09/03,0.147,0.177,0.143,0.113,,0.14,,
09/04,0.153,0.18,0.147,0.117,,0.143,,
09/05,0.17,0.2,0.16,0.13,,0.157,,
09/06,0.183,0.217,0.173,0.14,,0.17,,
09/07,0.16,0.187,0.147,0.123,,0.143,,
09/08,0.173,0.205,0.165,0.133,,0.155,,
09/09,0.137,0.16,0.127,0.107,,0.12,,
09/10,0.12,0.14,0.113,0.09,,0.103,,
09/11,0.11,0.13,0.103,0.08,,0.097,,
09/12,0.137,0.16,0.127,0.1,,0.117,,
09/13,0.12,0.14,0.11,0.087,,0.1,,
09/14,0.113,0.13,0.103,0.08,,0.09,,
09/15,0.147,0.17,0.137,0.107,,0.113,,
09/16,0.127,0.153,0.123,0.097,,0.1,,
09/17,0.147,0.17,0.137,0.107,,0.11,,
09/18,0.133,0.157,0.127,0.097,,0.097,,
09/19,0.087,0.1,0.08,0.063,,0.06,,
09/20,0.103,0.12,0.097,0.07,,0.053,,
09/21,0.12,0.143,0.113,0.087,,0.095,,
09/22,0.077,0.09,0.073,0.053,,0.04,,
09/23,0.113,0.13,0.103,0.073,,0.075,,
09/24,0.11,0.13,0.103,0.073,,0.075,,
09/25,0.097,0.11,0.09,0.063,,0.02,,
09/26,0.117,0.14,0.113,0.073,,0.08,,
09/27,0.11,0.13,0.103,0.067,,0.06,,
09/28,0.087,0.103,0.083,0.053,,0.07,,
09/29,0.1,0.113,0.09,0.057,,0.08,,
09/30,0.08,0.097,0.08,0.047,,0.0,,
10/01,0.08,0.093,0.073,0.043,,,,
10/02,0.1,0.117,0.093,0.05,,,,
10/03,0.09,0.103,0.083,0.043,,,,
10/04,0.113,0.133,0.107,0.057,,,,
10/05,0.0,0.0,0.0,0.0,,,,
