# Station Code,eurn
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
09/10,0.215,0.252,0.192,0.212,0.203,0.162,,
09/11,0.192,0.225,0.168,0.188,0.176,0.143,,
09/12,0.19,0.225,0.168,0.188,0.177,0.145,,
09/13,0.183,0.216,0.162,0.182,0.181,0.138,,
09/14,0.194,0.228,0.171,0.19,0.189,0.146,,
09/15,0.19,0.223,0.166,0.188,0.183,0.14,,
09/16,0.183,0.215,0.158,0.18,0.178,0.135,,
09/17,0.212,0.249,0.184,0.208,0.198,0.155,,
09/18,0.225,0.266,0.193,0.222,0.205,0.162,,
09/19,0.2,0.235,0.172,0.197,0.179,0.142,,
09/20,0.196,0.231,0.167,0.194,0.174,0.138,,
09/21,0.176,0.206,0.15,0.171,0.158,0.122,,
09/22,0.163,0.192,0.138,0.159,0.153,0.115,,
09/23,0.173,0.204,0.145,0.17,0.163,0.121,,
09/24,0.192,0.225,0.158,0.186,0.181,0.132,,
09/25,0.205,0.24,0.168,0.199,0.191,0.133,,
09/26,0.183,0.215,0.149,0.179,0.172,0.122,,
09/27,0.173,0.205,0.142,0.171,0.161,0.114,,
09/28,0.168,0.201,0.139,0.165,0.153,0.107,,
09/29,0.168,0.199,0.136,0.165,0.154,0.105,,
09/30,0.169,0.199,0.136,0.164,0.159,0.107,,
10/01,0.162,0.193,0.131,0.162,0.153,0.101,,
10/02,0.161,0.188,0.127,0.154,0.15,0.093,,
10/03,0.155,0.182,0.122,0.15,0.146,0.089,,
10/04,0.151,0.178,0.119,0.145,0.141,0.085,,
10/05,0.139,0.162,0.108,0.132,0.127,0.075,,
10/06,0.128,0.151,0.099,0.122,0.118,0.066,,
10/07,0.137,0.162,0.108,0.131,0.128,0.069,,
10/08,0.14,0.164,0.108,0.132,0.128,0.067,,
10/09,0.155,0.181,0.118,0.148,0.142,0.073,,
10/10,0.0,0.0,0.0,0.0,0.0,0.0,,
