# Station Code,odsw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BLGR,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
04/30,0.178,0.19,,0.217,,0.183,0.152,0.064,,0.094,0.218
05/01,0.189,0.204,,0.225,,0.191,0.157,0.066,,0.109,0.228
05/02,0.193,0.209,,0.228,,0.192,0.157,0.067,,0.121,0.23
05/03,0.196,0.215,,0.231,,0.193,0.159,0.072,,0.13,0.232
05/04,0.213,0.232,,0.249,,0.208,0.174,0.079,,0.145,0.252
05/05,0.173,0.187,,0.199,0.08,0.166,0.14,0.065,,0.125,0.204
05/06,0.2,0.218,,0.23,0.065,0.192,0.161,0.077,,0.147,0.235
05/07,0.205,0.224,,0.234,0.08,0.195,0.164,0.081,,0.158,0.241
05/08,0.214,0.238,,0.244,0.09,0.203,0.172,0.088,,0.174,0.252
05/09,0.216,0.239,,0.244,0.085,0.204,0.172,0.091,,0.183,0.252
05/10,0.228,0.258,,0.259,0.073,0.215,0.182,0.095,0.075,0.198,0.268
05/11,0.222,0.252,,0.253,0.083,0.21,0.177,0.097,0.085,0.2,0.26
05/12,0.212,0.241,,0.241,0.068,0.2,0.169,0.095,0.065,0.191,0.248
05/13,0.223,0.259,,0.253,0.073,0.211,0.18,0.103,0.045,0.202,0.262
05/14,0.202,0.234,,0.23,0.065,0.189,0.162,0.098,0.075,0.188,0.236
05/15,0.185,0.215,0.05,0.21,0.058,0.174,0.148,0.095,0.055,0.18,0.217
05/16,0.197,0.232,0.057,0.225,0.085,0.185,0.157,0.111,0.085,0.202,0.232
05/17,0.184,0.216,0.047,0.209,0.073,0.174,0.148,0.106,0.073,0.187,0.217
05/18,0.207,0.242,0.053,0.234,0.087,0.195,0.165,0.119,0.087,0.214,0.243
05/19,0.22,0.256,0.06,0.247,0.087,0.204,0.175,0.129,0.087,0.229,0.256
05/20,0.183,0.215,0.05,0.205,0.064,0.172,0.146,0.115,0.08,0.194,0.215
05/21,0.189,0.222,0.05,0.213,0.067,0.178,0.152,0.12,0.07,0.205,0.222
05/22,0.212,0.247,0.062,0.237,0.078,0.197,0.168,0.141,0.09,0.23,0.247
05/23,0.224,0.265,0.066,0.254,0.084,0.212,0.181,0.153,0.087,0.249,0.265
05/24,0.208,0.244,0.064,0.233,0.081,0.195,0.167,0.15,0.085,0.232,0.244
05/25,0.19,0.222,0.051,0.212,0.073,0.178,0.152,0.14,0.075,0.213,0.222
05/26,0.227,0.266,0.06,0.254,0.082,0.213,0.181,0.167,0.083,0.255,0.266
05/27,0.223,0.262,0.061,0.249,0.082,0.21,0.177,0.174,0.085,0.253,0.262
05/28,0.238,0.28,0.066,0.266,0.088,0.224,0.191,0.194,0.092,0.272,0.28
05/29,0.236,0.278,0.067,0.265,0.088,0.225,0.19,0.198,0.09,0.272,0.278
05/30,0.256,0.3,0.075,0.285,0.096,0.241,0.203,0.218,0.1,0.293,0.3
05/31,0.227,0.267,0.068,0.252,0.086,0.213,0.182,0.202,0.087,0.263,0.267
06/01,0.245,0.29,0.076,0.272,0.096,0.232,0.196,0.226,0.103,0.285,0.29
06/02,0.255,0.3,0.082,0.28,0.099,0.239,0.204,0.238,0.112,0.298,0.3
06/03,0.258,0.305,0.085,0.286,0.101,0.244,0.208,0.247,0.111,0.303,0.305
06/04,0.257,0.301,0.087,0.278,0.102,0.241,0.205,0.25,0.112,0.299,0.301
06/05,0.257,0.303,0.096,0.279,0.108,0.242,0.206,0.262,0.117,0.302,0.303
06/06,0.251,0.294,0.095,0.267,0.105,0.234,0.199,0.258,0.115,0.293,0.294
06/07,0.266,0.314,0.109,0.285,0.115,0.251,0.215,0.283,0.128,0.313,0.314
06/08,0.259,0.303,0.112,0.272,0.113,0.242,0.205,0.276,0.127,0.303,0.303
06/09,0.228,0.266,0.108,0.238,0.105,0.213,0.18,0.249,0.118,0.266,0.266
06/10,0.245,0.289,0.115,0.254,0.113,0.232,0.197,0.271,0.126,0.289,0.289
06/11,0.253,0.298,0.128,0.258,0.12,0.237,0.202,0.282,0.135,0.298,0.298
06/12,0.262,0.308,0.137,0.265,0.126,0.246,0.208,0.294,0.142,0.308,0.308
06/13,0.281,0.33,0.144,0.282,0.132,0.264,0.224,0.318,0.152,0.33,0.329
06/14,0.261,0.306,0.142,0.252,0.128,0.245,0.207,0.297,0.148,0.306,0.305
06/15,0.241,0.282,0.142,0.225,0.122,0.225,0.192,0.273,0.145,0.282,0.282
06/16,0.219,0.258,0.132,0.2,0.114,0.207,0.176,0.25,0.132,0.258,0.258
06/17,0.261,0.305,0.157,0.228,0.135,0.244,0.206,0.297,0.158,0.305,0.304
06/18,0.228,0.267,0.144,0.193,0.122,0.214,0.18,0.259,0.142,0.267,0.266
06/19,0.265,0.309,0.178,0.212,0.146,0.248,0.211,0.298,0.171,0.309,0.306
06/20,0.271,0.317,0.198,0.206,0.159,0.253,0.215,0.305,0.189,0.317,0.312
06/21,0.261,0.306,0.199,0.19,0.158,0.245,0.208,0.295,0.186,0.306,0.301
06/22,0.285,0.336,0.222,0.197,0.175,0.27,0.228,0.321,0.208,0.336,0.33
06/23,0.295,0.348,0.235,0.189,0.185,0.278,0.238,0.328,0.221,0.348,0.341
06/24,0.288,0.338,0.231,0.172,0.181,0.269,0.228,0.318,0.218,0.338,0.332
06/25,0.292,0.342,0.245,0.161,0.188,0.272,0.23,0.314,0.228,0.342,0.335
06/26,0.298,0.349,0.259,0.152,0.198,0.279,0.238,0.314,0.238,0.349,0.34
06/27,0.303,0.356,0.273,0.148,0.21,0.285,0.242,0.311,0.251,0.356,0.345
06/28,0.322,0.379,0.3,0.152,0.231,0.305,0.258,0.32,0.275,0.379,0.367
06/29,0.308,0.363,0.288,0.139,0.224,0.29,0.248,0.301,0.267,0.363,0.35
06/30,0.312,0.367,0.296,0.134,0.227,0.293,0.251,0.295,0.272,0.367,0.348
07/01,0.34,0.399,0.328,0.138,0.257,0.318,0.272,0.311,0.303,0.399,0.381
07/02,0.328,0.385,0.322,0.127,0.254,0.307,0.26,0.291,0.298,0.385,0.363
07/03,0.345,0.405,0.347,0.131,0.275,0.325,0.275,0.285,0.322,0.405,0.372
07/04,0.323,0.378,0.328,0.12,0.26,0.302,0.257,0.258,0.304,0.378,0.345
07/05,0.332,0.389,0.343,0.121,0.275,0.311,0.265,0.255,0.316,0.389,0.353
07/06,0.318,0.374,0.335,0.113,0.27,0.299,0.254,0.232,0.311,0.374,0.325
07/07,0.325,0.383,0.342,0.114,0.276,0.307,0.261,0.236,0.318,0.383,0.327
07/08,0.312,0.366,0.335,0.106,0.275,0.292,0.248,0.204,0.312,0.366,0.299
07/09,0.335,0.393,0.362,0.113,0.302,0.314,0.268,0.209,0.339,0.392,0.305
07/10,0.337,0.396,0.367,0.112,0.311,0.317,0.269,0.198,0.346,0.395,0.292
07/11,0.332,0.391,0.362,0.108,0.31,0.312,0.266,0.189,0.342,0.388,0.297
07/12,0.327,0.384,0.357,0.103,0.311,0.306,0.261,0.174,0.338,0.378,0.286
07/13,0.335,0.394,0.369,0.105,0.325,0.314,0.267,0.168,0.351,0.384,0.281
07/14,0.338,0.397,0.372,0.105,0.333,0.317,0.27,0.16,0.356,0.383,0.268
07/15,0.338,0.399,0.376,0.065,0.342,0.32,0.272,0.138,0.361,0.38,0.256
07/16,0.335,0.395,0.373,0.105,0.342,0.315,0.269,0.153,0.358,0.372,0.248
07/17,0.337,0.396,0.375,0.099,0.349,0.318,0.269,0.137,0.361,0.365,0.231
07/18,0.335,0.392,0.37,0.105,0.348,0.314,0.265,0.132,0.358,0.358,0.217
07/19,0.332,0.388,0.368,0.1,0.352,0.312,0.264,0.119,0.356,0.345,0.207
07/20,0.352,0.414,0.394,0.0,0.382,0.33,0.28,0.105,0.383,0.357,0.203
07/21,0.352,0.414,0.394,,0.382,0.331,0.282,0.128,0.383,0.351,0.191
07/22,0.326,0.383,0.364,,0.356,0.307,0.26,0.114,0.355,0.322,0.173
07/23,0.329,0.388,0.367,,0.365,0.309,0.264,0.108,0.358,0.304,0.161
07/24,0.327,0.384,0.363,,0.365,0.307,0.261,0.096,0.357,0.283,0.143
07/25,0.297,0.349,0.328,,0.338,0.279,0.237,0.037,0.324,0.228,0.038
07/26,0.32,0.376,0.355,,0.365,0.3,0.255,0.12,0.352,0.27,0.21
07/27,0.337,0.395,0.372,,0.385,0.316,0.268,0.12,0.368,0.269,0.215
07/28,0.318,0.374,0.349,,0.367,0.298,0.255,0.093,0.348,0.231,0.21
07/29,0.333,0.392,0.365,,0.386,0.314,0.267,0.093,0.365,0.221,0.205
07/30,0.366,0.43,0.398,,0.425,0.345,0.295,0.107,0.4,0.223,0.215
07/31,0.352,0.415,0.382,,0.411,0.332,0.282,0.087,0.386,0.195,0.185
08/01,0.302,0.354,0.323,,0.352,0.282,0.24,0.03,0.329,0.125,0.12
08/02,0.332,0.392,0.355,,0.39,0.313,0.268,0.1,0.363,0.168,0.24
08/03,0.302,0.355,0.32,,0.354,0.283,0.242,0.07,0.332,0.134,0.21
08/04,0.297,0.348,0.309,,0.347,0.277,0.235,0.07,0.322,0.122,0.2
08/05,0.281,0.33,0.291,,0.33,0.265,0.225,0.0,0.305,0.014,0.2
08/06,0.307,0.362,0.318,,0.361,0.29,0.245,,0.334,0.11,0.19
08/07,0.285,0.335,0.288,,0.334,0.268,0.227,,0.308,0.05,0.2
08/08,0.294,0.347,0.295,,0.345,0.277,0.236,,0.319,0.09,0.23
08/09,0.276,0.325,0.272,,0.323,0.26,0.22,,0.299,0.11,0.14
08/10,0.3,0.354,0.292,,0.352,0.284,0.241,,0.325,0.0,0.16
08/11,0.305,0.358,0.285,,0.356,0.285,0.243,,0.328,,0.12
08/12,0.296,0.349,0.27,,0.347,0.28,0.237,,0.319,,0.13
08/13,0.294,0.346,0.262,,0.343,0.278,0.236,,0.315,,0.13
08/14,0.302,0.354,0.262,,0.35,0.283,0.239,,0.322,,0.14
08/15,0.285,0.337,0.246,,0.333,0.27,0.228,,0.304,,0.0
08/16,0.312,0.367,0.265,,0.363,0.293,0.252,,0.332,,
08/17,0.294,0.348,0.239,,0.342,0.278,0.236,,0.312,,
08/18,0.331,0.388,0.251,,0.379,0.31,0.265,,0.345,,
08/19,0.292,0.344,0.21,,0.334,0.276,0.233,,0.303,,
08/20,0.279,0.328,0.171,,0.317,0.262,0.223,,0.288,,
08/21,0.303,0.355,0.215,,0.342,0.285,0.241,,0.309,,
08/22,0.271,0.317,0.186,,0.305,0.253,0.215,,0.275,,
08/23,0.278,0.328,0.188,,0.312,0.262,0.223,,0.282,,
08/24,0.267,0.313,0.168,,0.298,0.251,0.212,,0.268,,
08/25,0.245,0.287,0.125,,0.272,0.229,0.193,,0.243,,
08/26,0.25,0.292,0.14,,0.274,0.233,0.198,,0.245,,
08/27,0.284,0.333,0.143,,0.311,0.266,0.223,,0.277,,
08/28,0.257,0.302,0.139,,0.281,0.242,0.205,,0.252,,
08/29,0.285,0.335,0.134,,0.31,0.268,0.225,,0.275,,
08/30,0.258,0.304,0.114,,0.28,0.245,0.202,,0.248,,
08/31,0.268,0.314,0.101,,0.288,0.252,0.208,,0.255,,
09/01,0.252,0.296,0.0,,0.27,0.238,0.198,,0.241,,
09/02,0.262,0.308,,,0.279,0.246,0.205,,0.248,,
09/03,0.241,0.283,,,0.255,0.225,0.185,,0.225,,
09/04,0.238,0.279,,,0.252,0.222,0.184,,0.221,,
09/05,0.23,0.27,,,0.242,0.216,0.177,,0.212,,
09/06,0.212,0.247,,,0.221,0.196,0.16,,0.193,,
09/07,0.235,0.278,,,0.245,0.224,0.181,,0.215,,
09/08,0.238,0.281,,,0.244,0.225,0.182,,0.211,,
09/09,0.238,0.279,,,0.244,0.224,0.179,,0.209,,
09/10,0.243,0.285,,,0.245,0.227,0.182,,0.209,,
09/11,0.221,0.258,,,0.222,0.205,0.165,,0.187,,
09/12,0.226,0.265,,,0.225,0.212,0.168,,0.188,,
09/13,0.221,0.258,,,0.221,0.208,0.161,,0.181,,
09/14,0.191,0.225,,,0.191,0.18,0.142,,0.157,,
09/15,0.212,0.248,,,0.181,0.198,0.154,,0.15,,
09/16,0.199,0.235,,,0.199,0.187,0.145,,0.161,,
09/17,0.175,0.205,,,0.174,0.164,0.126,,0.139,,
09/18,0.187,0.22,,,0.175,0.178,0.135,,0.138,,
09/19,0.179,0.209,,,0.168,0.167,0.128,,0.132,,
09/20,0.174,0.204,,,0.123,0.164,0.122,,0.098,,
09/21,0.175,0.206,,,0.164,0.165,0.123,,0.128,,
09/22,0.168,0.198,,,0.148,0.158,0.116,,0.11,,
09/23,0.161,0.188,,,0.157,0.151,0.106,,0.114,,
09/24,0.167,0.198,,,0.171,0.158,0.112,,0.124,,
09/25,0.159,0.187,,,0.02,0.149,0.102,,0.042,,
09/26,0.181,0.213,,,0.26,0.172,0.113,,0.147,,
09/27,0.155,0.184,,,0.15,0.145,0.095,,0.093,,
09/28,0.154,0.183,,,0.04,0.148,0.093,,0.073,,
09/29,0.153,0.179,,,0.06,0.144,0.088,,0.073,,
09/30,0.161,0.188,,,0.0,0.15,0.089,,0.057,,
10/01,0.15,0.175,,,,0.139,0.081,,0.08,,
10/02,0.153,0.181,,,,0.145,0.081,,0.085,,
10/03,0.138,0.162,,,,0.128,0.07,,0.075,,
10/04,0.142,0.165,,,,0.132,0.069,,0.085,,
10/05,0.011,0.014,,,,0.011,0.006,,,,
10/06,0.1,0.12,,,,0.1,0.05,,,,
10/07,0.15,0.18,,,,0.14,0.08,,,,
10/08,0.1,0.12,,,,0.1,0.05,,,,
10/09,0.07,0.08,,,,0.06,0.03,,,,
