# Station Code,slwi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALFS,LAWN,SGRN,WGRN
06/17,0.203,0.238,0.238,0.19,0.238,0.238
06/18,0.186,0.22,0.22,0.176,0.22,0.22
06/19,0.203,0.239,0.239,0.191,0.239,0.239
06/20,0.196,0.23,0.23,0.183,0.23,0.23
06/21,0.204,0.24,0.24,0.193,0.24,0.24
06/22,0.202,0.24,0.24,0.192,0.24,0.24
06/23,0.213,0.25,0.25,0.201,0.25,0.25
06/24,0.201,0.234,0.234,0.188,0.234,0.234
06/25,0.224,0.263,0.263,0.21,0.263,0.263
06/26,0.229,0.268,0.268,0.213,0.268,0.268
06/27,0.213,0.25,0.267,0.213,0.267,0.267
06/28,0.226,0.265,0.271,0.217,0.271,0.271
06/29,0.21,0.247,0.249,0.2,0.249,0.249
06/30,0.214,0.251,0.251,0.201,0.251,0.251
07/01,0.24,0.284,0.28,0.223,0.28,0.279
07/02,0.227,0.266,0.263,0.212,0.263,0.262
07/03,0.224,0.263,0.258,0.207,0.258,0.257
07/04,0.211,0.249,0.248,0.199,0.248,0.244
07/05,0.238,0.28,0.279,0.222,0.279,0.273
07/06,0.217,0.255,0.249,0.2,0.249,0.242
07/07,0.226,0.265,0.258,0.207,0.258,0.25
07/08,0.215,0.252,0.246,0.197,0.246,0.234
07/09,0.228,0.266,0.262,0.208,0.262,0.248
07/10,0.226,0.268,0.256,0.206,0.254,0.236
07/11,0.208,0.245,0.238,0.19,0.237,0.222
07/12,0.23,0.271,0.268,0.214,0.264,0.24
07/13,0.235,0.275,0.27,0.216,0.266,0.237
07/14,0.233,0.274,0.277,0.22,0.27,0.24
07/15,0.23,0.271,0.267,0.212,0.257,0.223
07/16,0.238,0.279,0.279,0.221,0.267,0.226
07/17,0.232,0.275,0.27,0.216,0.259,0.216
07/18,0.254,0.3,0.298,0.239,0.283,0.223
07/19,0.235,0.277,0.261,0.209,0.242,0.186
07/20,0.246,0.289,0.294,0.236,0.267,0.2
07/21,0.256,0.3,0.302,0.241,0.266,0.193
07/22,0.226,0.265,0.279,0.223,0.243,0.176
07/23,0.246,0.287,0.288,0.228,0.248,0.17
07/24,0.241,0.284,0.298,0.238,0.248,0.167
07/25,0.229,0.268,0.266,0.212,0.216,0.133
07/26,0.225,0.264,0.263,0.21,0.229,0.153
07/27,0.231,0.273,0.269,0.216,0.225,0.143
07/28,0.233,0.273,0.264,0.211,0.209,0.131
07/29,0.248,0.293,0.289,0.232,0.213,0.134
07/30,0.28,0.328,0.328,0.263,0.231,0.147
07/31,0.275,0.322,0.32,0.257,0.205,0.126
08/01,0.248,0.292,0.29,0.231,0.166,0.073
08/02,0.269,0.316,0.314,0.253,0.193,0.12
08/03,0.245,0.286,0.286,0.229,0.154,0.1
08/04,0.251,0.293,0.288,0.23,0.146,0.1
08/05,0.219,0.256,0.251,0.202,0.087,0.02
08/06,0.207,0.245,0.233,0.187,0.118,0.07
08/07,0.205,0.24,0.23,0.183,0.092,0.06
08/08,0.202,0.239,0.237,0.189,0.096,0.08
08/09,0.163,0.191,0.188,0.151,0.07,0.05
08/10,0.208,0.244,0.241,0.191,0.028,0.0
08/11,0.225,0.265,0.259,0.206,0.11,
08/12,0.198,0.231,0.234,0.188,0.11,
08/13,0.178,0.209,0.218,0.176,0.09,
08/14,0.206,0.241,0.257,0.208,0.08,
08/15,0.208,0.243,0.259,0.209,0.0,
08/16,0.233,0.272,0.283,0.228,,
08/17,0.206,0.242,0.247,0.198,,
08/18,0.237,0.277,0.282,0.226,,
08/19,0.202,0.236,0.24,0.191,,
08/20,0.195,0.228,0.23,0.186,,
08/21,0.194,0.23,0.236,0.189,,
08/22,0.171,0.202,0.207,0.164,,
08/23,0.182,0.214,0.213,0.171,,
08/24,0.204,0.24,0.243,0.194,,
08/25,0.174,0.206,0.206,0.163,,
08/26,0.172,0.202,0.202,0.162,,
08/27,0.187,0.221,0.219,0.176,,
08/28,0.18,0.214,0.203,0.162,,
08/29,0.179,0.211,0.207,0.167,,
08/30,0.159,0.187,0.177,0.141,,
08/31,0.179,0.211,0.212,0.169,,
09/01,0.202,0.237,0.237,0.188,,
09/02,0.168,0.199,0.198,0.158,,
09/03,0.134,0.156,0.164,0.131,,
09/04,0.155,0.182,0.187,0.15,,
09/05,0.158,0.185,0.184,0.146,,
09/06,0.132,0.156,0.151,0.12,,
09/07,0.146,0.172,0.169,0.134,,
09/08,0.148,0.174,0.164,0.131,,
09/09,0.138,0.162,0.164,0.132,,
09/10,0.152,0.179,0.177,0.141,,
09/11,0.138,0.162,0.159,0.127,,
09/12,0.135,0.159,0.157,0.126,,
09/13,0.14,0.166,0.164,0.132,,
09/14,0.118,0.139,0.133,0.107,,
09/15,0.136,0.159,0.154,0.123,,
09/16,0.119,0.142,0.139,0.112,,
09/17,0.115,0.135,0.132,0.103,,
09/18,0.108,0.126,0.119,0.094,,
09/19,0.105,0.124,0.114,0.091,,
09/20,0.113,0.133,0.129,0.102,,
09/21,0.116,0.136,0.129,0.103,,
09/22,0.099,0.116,0.11,0.087,,
09/23,0.104,0.122,0.123,0.099,,
09/24,0.112,0.131,0.129,0.102,,
09/25,0.108,0.127,0.127,0.1,,
09/26,0.112,0.131,0.132,0.106,,
09/27,0.103,0.122,0.118,0.096,,
09/28,0.104,0.121,0.11,0.087,,
09/29,0.091,0.106,0.109,0.088,,
09/30,0.021,0.024,0.109,0.013,,
10/01,0.075,0.09,0.085,0.05,,
10/02,0.105,0.125,0.09,0.09,,
10/03,0.07,0.085,0.09,0.05,,
10/04,0.07,0.085,0.091,0.03,,
10/05,0.08,0.095,0.087,0.05,,
10/06,0.095,0.115,0.094,0.04,,
10/07,0.075,0.09,0.089,0.03,,
10/08,0.05,0.06,0.075,0.03,,
10/09,0.06,0.07,0.09,0.03,,
10/10,0.1,0.12,0.104,,,
10/11,0.14,0.16,0.097,,,
10/12,0.13,0.15,0.081,,,
10/13,0.08,0.09,0.054,,,
10/14,0.08,0.09,0.064,,,
10/15,0.02,0.02,0.076,,,
10/16,0.05,0.06,0.089,,,
10/17,0.04,0.05,0.104,,,
10/18,0.04,0.05,0.076,,,
10/19,0.06,0.07,0.069,,,
10/20,0.09,0.11,0.06,,,
10/21,0.04,0.05,0.05,,,
10/22,0.03,0.04,0.064,,,
10/23,0.02,0.02,0.05,,,
10/24,0.03,0.04,0.041,,,
10/25,0.04,0.05,0.057,,,
10/26,0.09,0.11,0.036,,,
10/27,0.03,0.03,0.056,,,
10/28,0.02,0.02,0.046,,,
10/29,0.03,0.03,0.04,,,
10/30,0.03,0.03,0.047,,,
10/31,0.02,0.02,0.04,,,
11/01,0.0,0.0,0.0,,,
