# Station Code,faln
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,MELN,PAST,POP2,SCRN,SGRN,WGRN
04/05,0.168,0.19,0.065,0.192,0.193,0.165,,0.136,0.033,0.093,0.141,0.2
04/06,0.139,0.158,0.055,0.159,0.159,0.135,,0.113,0.033,0.076,0.122,0.165
04/07,0.162,0.183,0.057,0.182,0.184,0.155,,0.128,0.04,0.077,0.138,0.192
04/08,0.169,0.192,0.065,0.191,0.192,0.162,,0.134,0.04,0.084,0.152,0.201
04/09,0.16,0.183,0.06,0.182,0.182,0.154,,0.128,0.04,0.08,0.147,0.19
04/10,0.178,0.202,0.06,0.201,0.202,0.171,,0.142,0.04,0.078,0.165,0.211
04/11,0.18,0.203,0.063,0.202,0.202,0.168,,0.143,0.043,0.081,0.172,0.212
04/12,0.188,0.214,0.068,0.211,0.212,0.178,,0.148,0.05,0.089,0.185,0.221
04/13,0.196,0.224,0.076,0.218,0.22,0.185,,0.156,0.07,0.107,0.198,0.23
04/14,0.178,0.205,0.067,0.198,0.2,0.168,,0.141,0.073,0.092,0.183,0.209
04/15,0.186,0.217,0.063,0.208,0.209,0.177,,0.148,0.048,0.084,0.192,0.219
04/16,0.181,0.212,0.066,0.203,0.204,0.172,,0.146,0.05,0.087,0.192,0.215
04/17,0.178,0.208,0.065,0.198,0.201,0.169,,0.143,0.06,0.09,0.192,0.211
04/18,0.184,0.214,0.071,0.202,0.206,0.174,,0.145,0.055,0.1,0.202,0.215
04/19,0.191,0.223,0.076,0.209,0.215,0.18,,0.152,0.07,0.105,0.211,0.224
04/20,0.195,0.228,0.075,0.215,0.219,0.182,,0.157,0.052,0.099,0.218,0.229
04/21,0.209,0.245,0.081,0.229,0.235,0.197,,0.167,0.061,0.108,0.235,0.245
04/22,0.208,0.245,0.079,0.23,0.235,0.196,,0.165,0.064,0.106,0.235,0.245
04/23,0.205,0.241,0.077,0.225,0.231,0.192,,0.165,0.066,0.099,0.233,0.241
04/24,0.202,0.238,0.08,0.223,0.228,0.189,,0.162,0.062,0.103,0.232,0.238
04/25,0.18,0.211,0.068,0.196,0.201,0.169,,0.142,0.065,0.084,0.206,0.211
04/26,0.209,0.245,0.08,0.228,0.235,0.198,,0.167,0.076,0.105,0.24,0.245
04/27,0.203,0.238,0.076,0.222,0.228,0.19,,0.162,0.078,0.101,0.234,0.238
04/28,0.205,0.24,0.082,0.222,0.23,0.194,,0.164,0.084,0.105,0.235,0.24
04/29,0.195,0.228,0.082,0.211,0.218,0.182,,0.155,0.082,0.111,0.225,0.228
04/30,0.22,0.259,0.097,0.239,0.248,0.207,,0.177,0.094,0.13,0.258,0.259
05/01,0.215,0.254,0.093,0.234,0.242,0.203,0.03,0.172,0.093,0.12,0.252,0.254
05/02,0.227,0.267,0.102,0.244,0.255,0.213,0.04,0.182,0.103,0.133,0.267,0.267
05/03,0.22,0.258,0.101,0.235,0.247,0.207,0.05,0.176,0.107,0.13,0.258,0.258
05/04,0.225,0.264,0.103,0.238,0.252,0.212,0.04,0.18,0.114,0.137,0.264,0.264
05/05,0.234,0.273,0.106,0.246,0.262,0.218,0.05,0.185,0.124,0.139,0.273,0.273
05/06,0.238,0.281,0.107,0.252,0.268,0.225,0.05,0.192,0.129,0.135,0.281,0.281
05/07,0.216,0.253,0.096,0.227,0.242,0.202,0.047,0.173,0.117,0.119,0.253,0.253
05/08,0.212,0.248,0.094,0.222,0.238,0.198,0.04,0.168,0.12,0.115,0.248,0.248
05/09,0.218,0.256,0.104,0.228,0.243,0.205,0.043,0.174,0.133,0.128,0.256,0.256
05/10,0.222,0.259,0.105,0.23,0.247,0.208,0.043,0.175,0.128,0.125,0.259,0.259
05/11,0.24,0.285,0.123,0.251,0.27,0.228,0.048,0.193,0.148,0.149,0.285,0.285
05/12,0.235,0.275,0.127,0.242,0.263,0.221,0.05,0.187,0.146,0.155,0.275,0.275
05/13,0.227,0.266,0.122,0.234,0.252,0.212,0.047,0.182,0.145,0.145,0.266,0.266
05/14,0.233,0.273,0.127,0.238,0.26,0.218,0.05,0.186,0.149,0.146,0.273,0.273
05/15,0.216,0.254,0.12,0.22,0.24,0.204,0.048,0.172,0.143,0.134,0.254,0.254
05/16,0.212,0.248,0.125,0.214,0.235,0.198,0.048,0.168,0.141,0.148,0.248,0.248
05/17,0.232,0.273,0.138,0.235,0.258,0.218,0.055,0.185,0.16,0.155,0.273,0.273
05/18,0.22,0.26,0.135,0.222,0.247,0.208,0.053,0.178,0.157,0.155,0.26,0.26
05/19,0.225,0.263,0.144,0.225,0.248,0.211,0.059,0.179,0.164,0.16,0.263,0.263
05/20,0.221,0.258,0.133,0.221,0.244,0.207,0.057,0.176,0.164,0.144,0.258,0.258
05/21,0.212,0.252,0.14,0.214,0.238,0.203,0.06,0.173,0.159,0.154,0.252,0.252
05/22,0.211,0.248,0.139,0.208,0.232,0.198,0.06,0.168,0.156,0.15,0.248,0.248
05/23,0.2,0.235,0.135,0.197,0.22,0.188,0.057,0.159,0.151,0.146,0.235,0.235
05/24,0.237,0.278,0.159,0.232,0.26,0.222,0.072,0.188,0.182,0.175,0.278,0.278
05/25,0.229,0.268,0.145,0.223,0.252,0.215,0.074,0.182,0.183,0.175,0.268,0.268
05/26,0.224,0.264,0.148,0.219,0.247,0.211,0.079,0.18,0.177,0.185,0.264,0.264
05/27,0.233,0.273,0.157,0.225,0.255,0.219,0.086,0.185,0.185,0.195,0.273,0.273
05/28,0.248,0.291,0.166,0.24,0.271,0.232,0.093,0.198,0.2,0.202,0.291,0.291
05/29,0.238,0.28,0.161,0.231,0.262,0.224,0.093,0.191,0.192,0.191,0.28,0.28
05/30,0.252,0.295,0.172,0.242,0.277,0.238,0.103,0.201,0.202,0.203,0.295,0.295
05/31,0.252,0.297,0.178,0.243,0.278,0.238,0.107,0.2,0.206,0.213,0.297,0.296
06/01,0.255,0.302,0.186,0.246,0.281,0.242,0.105,0.205,0.207,0.201,0.302,0.299
06/02,0.264,0.309,0.192,0.25,0.288,0.246,0.112,0.211,0.214,0.205,0.309,0.307
06/03,0.281,0.331,0.206,0.268,0.307,0.265,0.125,0.225,0.23,0.218,0.331,0.328
06/04,0.284,0.332,0.206,0.267,0.308,0.265,0.126,0.225,0.232,0.214,0.332,0.329
06/05,0.289,0.339,0.218,0.272,0.316,0.27,0.139,0.231,0.241,0.227,0.339,0.334
06/06,0.29,0.341,0.215,0.273,0.317,0.273,0.139,0.232,0.243,0.225,0.341,0.335
06/07,0.294,0.345,0.227,0.277,0.32,0.276,0.148,0.234,0.241,0.234,0.345,0.335
06/08,0.299,0.352,0.237,0.283,0.326,0.282,0.162,0.24,0.249,0.244,0.352,0.337
06/09,0.29,0.341,0.232,0.272,0.315,0.272,0.158,0.232,0.244,0.238,0.341,0.322
06/10,0.275,0.322,0.227,0.258,0.297,0.258,0.16,0.22,0.231,0.232,0.322,0.301
06/11,0.262,0.307,0.218,0.245,0.284,0.244,0.156,0.209,0.22,0.223,0.307,0.285
06/12,0.286,0.335,0.239,0.268,0.311,0.268,0.175,0.227,0.242,0.245,0.335,0.307
06/13,0.291,0.342,0.246,0.274,0.315,0.274,0.178,0.233,0.248,0.249,0.342,0.308
06/14,0.278,0.328,0.242,0.262,0.302,0.262,0.176,0.222,0.238,0.243,0.328,0.288
06/15,0.302,0.355,0.263,0.285,0.328,0.285,0.192,0.24,0.258,0.265,0.355,0.306
06/16,0.309,0.364,0.272,0.29,0.335,0.29,0.2,0.249,0.265,0.274,0.364,0.306
06/17,0.287,0.338,0.257,0.271,0.31,0.271,0.191,0.23,0.245,0.258,0.335,0.278
06/18,0.311,0.364,0.283,0.289,0.333,0.289,0.211,0.246,0.265,0.282,0.362,0.289
06/19,0.292,0.343,0.27,0.272,0.315,0.272,0.198,0.233,0.253,0.269,0.341,0.265
06/20,0.296,0.348,0.275,0.279,0.318,0.279,0.2,0.235,0.258,0.273,0.343,0.261
06/21,0.318,0.375,0.305,0.298,0.343,0.298,0.22,0.255,0.278,0.301,0.364,0.27
06/22,0.312,0.368,0.305,0.295,0.336,0.295,0.218,0.25,0.275,0.301,0.352,0.258
06/23,0.308,0.364,0.304,0.291,0.331,0.291,0.214,0.248,0.273,0.299,0.342,0.246
06/24,0.291,0.343,0.29,0.275,0.312,0.275,0.202,0.235,0.258,0.282,0.319,0.226
06/25,0.315,0.369,0.313,0.295,0.337,0.295,0.215,0.25,0.278,0.305,0.339,0.238
06/26,0.311,0.364,0.312,0.291,0.332,0.291,0.212,0.246,0.275,0.303,0.325,0.227
06/27,0.318,0.373,0.326,0.298,0.34,0.298,0.221,0.254,0.285,0.318,0.319,0.222
06/28,0.319,0.375,0.333,0.301,0.341,0.301,0.224,0.254,0.286,0.325,0.312,0.211
06/29,0.298,0.349,0.312,0.28,0.318,0.28,0.208,0.238,0.267,0.304,0.279,0.188
06/30,0.299,0.352,0.318,0.281,0.32,0.281,0.21,0.24,0.269,0.309,0.27,0.182
07/01,0.301,0.355,0.324,0.285,0.322,0.285,0.212,0.241,0.272,0.315,0.264,0.149
07/02,0.328,0.386,0.355,0.31,0.349,0.31,0.232,0.263,0.298,0.346,0.273,0.201
07/03,0.315,0.369,0.339,0.296,0.334,0.296,0.221,0.252,0.287,0.332,0.251,0.184
07/04,0.304,0.356,0.333,0.285,0.323,0.285,0.215,0.242,0.276,0.326,0.23,0.172
07/05,0.301,0.354,0.332,0.282,0.318,0.282,0.215,0.242,0.276,0.324,0.218,0.161
07/06,0.316,0.372,0.35,0.297,0.336,0.297,0.226,0.252,0.292,0.343,0.215,0.16
07/07,0.3,0.355,0.335,0.285,0.32,0.285,0.215,0.242,0.279,0.328,0.196,0.15
07/08,0.298,0.352,0.332,0.282,0.318,0.282,0.213,0.239,0.278,0.325,0.182,0.14
07/09,0.312,0.367,0.348,0.295,0.331,0.295,0.223,0.251,0.291,0.342,0.18,0.138
07/10,0.294,0.346,0.33,0.275,0.312,0.275,0.212,0.235,0.274,0.323,0.13,0.048
07/11,0.304,0.357,0.342,0.285,0.321,0.285,0.218,0.242,0.285,0.334,0.181,0.15
07/12,0.305,0.358,0.342,0.285,0.321,0.285,0.219,0.243,0.285,0.335,0.17,0.153
07/13,0.296,0.348,0.335,0.278,0.312,0.278,0.215,0.236,0.278,0.326,0.152,0.13
07/14,0.306,0.359,0.344,0.288,0.322,0.288,0.222,0.244,0.287,0.334,0.146,0.137
07/15,0.311,0.367,0.352,0.294,0.327,0.294,0.225,0.249,0.295,0.34,0.091,0.103
07/16,0.3,0.354,0.343,0.284,0.316,0.284,0.219,0.24,0.285,0.331,0.146,0.115
07/17,0.303,0.358,0.347,0.286,0.32,0.286,0.224,0.244,0.29,0.334,0.138,0.12
07/18,0.3,0.351,0.338,0.28,0.312,0.28,0.218,0.236,0.286,0.325,0.122,0.11
07/19,0.286,0.337,0.325,0.27,0.301,0.27,0.211,0.229,0.275,0.311,0.112,0.105
07/20,0.279,0.328,0.317,0.262,0.292,0.262,0.205,0.223,0.267,0.303,0.024,0.0
07/21,0.292,0.344,0.334,0.273,0.305,0.273,0.217,0.233,0.282,0.317,0.12,
07/22,0.285,0.333,0.325,0.266,0.297,0.266,0.209,0.225,0.275,0.306,0.12,
07/23,0.261,0.307,0.299,0.245,0.272,0.245,0.195,0.209,0.254,0.28,0.1,
07/24,0.274,0.322,0.315,0.258,0.286,0.258,0.205,0.219,0.268,0.292,0.12,
07/25,0.286,0.335,0.324,0.269,0.298,0.269,0.213,0.226,0.278,0.302,0.0,
07/26,0.278,0.325,0.315,0.26,0.288,0.26,0.209,0.221,0.269,0.292,,
07/27,0.283,0.333,0.323,0.267,0.295,0.267,0.213,0.227,0.278,0.299,,
07/28,0.275,0.32,0.309,0.256,0.285,0.256,0.207,0.217,0.268,0.285,,
07/29,0.286,0.337,0.324,0.269,0.298,0.269,0.216,0.228,0.283,0.298,,
07/30,0.272,0.318,0.305,0.253,0.279,0.253,0.205,0.215,0.268,0.279,,
07/31,0.268,0.315,0.302,0.252,0.277,0.252,0.203,0.214,0.266,0.275,,
08/01,0.268,0.315,0.302,0.252,0.278,0.252,0.204,0.214,0.268,0.256,,
08/02,0.275,0.322,0.308,0.258,0.284,0.258,0.209,0.218,0.275,0.282,,
08/03,0.279,0.328,0.312,0.263,0.288,0.263,0.214,0.222,0.28,0.283,,
08/04,0.266,0.312,0.297,0.248,0.274,0.248,0.202,0.212,0.267,0.273,,
08/05,0.268,0.315,0.297,0.252,0.277,0.252,0.188,0.214,0.269,0.187,,
08/06,0.244,0.286,0.27,0.228,0.252,0.228,0.183,0.193,0.246,0.241,,
08/07,0.248,0.291,0.272,0.234,0.255,0.234,0.189,0.198,0.252,0.247,,
08/08,0.238,0.28,0.26,0.225,0.245,0.225,0.177,0.19,0.243,0.234,,
08/09,0.242,0.283,0.26,0.225,0.248,0.225,0.184,0.193,0.247,0.254,,
08/10,0.258,0.302,0.278,0.243,0.266,0.243,0.166,0.205,0.263,0.173,,
08/11,0.248,0.291,0.267,0.232,0.254,0.232,0.192,0.198,0.254,0.26,,
08/12,0.255,0.299,0.272,0.239,0.26,0.239,0.196,0.202,0.263,0.268,,
08/13,0.264,0.308,0.279,0.246,0.268,0.246,0.202,0.208,0.272,0.278,,
08/14,0.254,0.297,0.267,0.238,0.258,0.238,0.191,0.201,0.262,0.26,,
08/15,0.236,0.277,0.251,0.221,0.239,0.221,0.053,0.188,0.219,0.206,,
08/16,0.241,0.283,0.253,0.227,0.245,0.227,0.177,0.192,0.248,0.247,,
08/17,0.243,0.286,0.255,0.229,0.248,0.229,0.173,0.195,0.253,0.26,,
08/18,0.235,0.277,0.245,0.222,0.24,0.222,0.173,0.189,0.243,0.25,,
08/19,0.24,0.284,0.249,0.228,0.247,0.228,0.167,0.193,0.252,0.253,,
08/20,0.232,0.272,0.237,0.218,0.235,0.218,0.113,0.184,0.239,0.128,,
08/21,0.238,0.281,0.243,0.225,0.243,0.225,0.18,0.192,0.248,0.265,,
08/22,0.227,0.266,0.229,0.213,0.229,0.214,0.165,0.181,0.237,0.245,,
08/23,0.222,0.259,0.223,0.207,0.223,0.208,0.16,0.176,0.233,0.235,,
08/24,0.22,0.259,0.223,0.206,0.225,0.209,0.16,0.174,0.231,0.24,,
08/25,0.218,0.258,0.169,0.205,0.222,0.206,0.17,0.174,0.229,0.24,,
08/26,0.229,0.27,0.233,0.214,0.232,0.215,0.18,0.182,0.238,0.26,,
08/27,0.212,0.25,0.213,0.198,0.215,0.198,0.155,0.168,0.223,0.215,,
08/28,0.212,0.249,0.214,0.198,0.214,0.2,0.16,0.165,0.223,0.23,,
08/29,0.225,0.265,0.211,0.208,0.227,0.212,0.16,0.177,0.241,0.225,,
08/30,0.219,0.256,0.204,0.203,0.219,0.205,0.145,0.171,0.232,0.205,,
08/31,0.207,0.245,0.202,0.195,0.21,0.196,0.155,0.164,0.226,0.22,,
09/01,0.208,0.245,0.136,0.193,0.209,0.195,0.145,0.164,0.224,0.205,,
09/02,0.202,0.238,0.18,0.19,0.202,0.192,0.15,0.157,0.217,0.2,,
09/03,0.203,0.239,0.174,0.189,0.204,0.192,0.15,0.158,0.217,0.2,,
09/04,0.208,0.243,0.18,0.191,0.208,0.195,0.14,0.161,0.223,0.19,,
09/05,0.203,0.238,0.053,0.187,0.204,0.19,0.135,0.158,0.216,0.18,,
09/06,0.19,0.222,0.19,0.175,0.19,0.179,0.14,0.145,0.203,0.185,,
09/07,0.202,0.235,0.185,0.186,0.2,0.188,0.135,0.154,0.216,0.18,,
09/08,0.202,0.236,0.21,0.185,0.201,0.188,0.155,0.156,0.217,0.2,,
09/09,0.198,0.233,0.165,0.181,0.198,0.186,0.125,0.152,0.212,0.16,,
09/10,0.189,0.222,0.18,0.173,0.188,0.178,0.14,0.144,0.203,0.18,,
09/11,0.197,0.232,0.21,0.179,0.196,0.186,0.16,0.153,0.215,0.2,,
09/12,0.19,0.223,0.2,0.171,0.188,0.178,0.155,0.144,0.208,0.195,,
09/13,0.182,0.214,0.175,0.164,0.182,0.171,0.135,0.138,0.2,0.165,,
09/14,0.172,0.202,0.165,0.155,0.17,0.162,0.13,0.129,0.19,0.165,,
09/15,0.184,0.217,0.225,0.165,0.182,0.173,0.175,0.139,0.204,0.0,,
09/16,0.178,0.208,0.21,0.157,0.175,0.167,0.165,0.133,0.197,,,
09/17,0.17,0.202,0.145,0.152,0.17,0.161,0.11,0.128,0.19,,,
09/18,0.189,0.222,0.185,0.167,0.189,0.178,0.15,0.138,0.212,,,
09/19,0.169,0.2,0.135,0.151,0.168,0.158,0.11,0.126,0.191,,,
09/20,0.172,0.203,0.0,0.152,0.171,0.162,0.095,0.127,0.193,,,
09/21,0.144,0.168,,0.124,0.141,0.136,0.105,0.105,0.157,,,
09/22,0.155,0.182,,0.137,0.153,0.144,0.135,0.115,0.175,,,
09/23,0.16,0.188,,0.139,0.157,0.151,0.16,0.116,0.178,,,
09/24,0.168,0.198,,0.146,0.163,0.161,0.125,0.122,0.185,,,
09/25,0.162,0.192,,0.142,0.159,0.152,0.13,0.118,0.183,,,
09/26,0.153,0.181,,0.132,0.151,0.145,0.11,0.111,0.172,,,
09/27,0.15,0.175,,0.128,0.146,0.141,0.13,0.108,0.168,,,
09/28,0.152,0.178,,0.128,0.148,0.143,0.13,0.106,0.17,,,
09/29,0.144,0.169,,0.123,0.142,0.135,0.11,0.098,0.163,,,
09/30,0.145,0.172,,0.124,0.143,0.138,0.09,0.099,0.166,,,
10/01,0.125,0.148,,0.105,0.122,0.119,0.085,0.082,0.144,,,
10/02,0.132,0.155,,0.109,0.131,0.124,0.08,0.088,0.152,,,
10/03,0.135,0.158,,0.112,0.133,0.125,0.09,0.085,0.153,,,
10/04,0.119,0.139,,0.098,0.116,0.112,0.075,0.074,0.135,,,
10/05,0.115,0.135,,0.095,0.112,0.108,0.075,0.072,0.134,,,
10/06,0.114,0.135,,0.095,0.112,0.109,0.08,0.069,0.133,,,
10/07,0.114,0.135,,0.093,0.111,0.108,0.085,0.068,0.133,,,
10/08,0.122,0.142,,0.098,0.116,0.113,0.11,0.072,0.142,,,
10/09,0.128,0.148,,0.103,0.122,0.119,0.135,0.074,0.151,,,
10/10,0.129,0.152,,0.106,0.124,0.122,0.07,0.073,0.152,,,
10/11,0.115,0.136,,0.094,0.112,0.108,0.085,0.065,0.14,,,
10/12,0.105,0.124,,0.085,0.102,0.099,0.07,0.057,0.122,,,
10/13,0.107,0.125,,0.085,0.102,0.1,0.085,0.057,0.124,,,
10/14,0.123,0.146,,0.098,0.119,0.118,0.095,0.065,0.147,,,
10/15,0.019,0.022,,0.056,0.067,0.017,0.0,0.013,0.0,,,
10/16,0.09,0.105,,0.077,0.09,0.085,,0.06,,,,
10/17,0.125,0.145,,0.094,0.114,0.115,,0.085,,,,
10/18,0.09,0.11,,0.084,0.099,0.09,,0.06,,,,
10/19,0.13,0.155,,0.09,0.11,0.125,,0.085,,,,
10/20,0.095,0.11,,0.087,0.107,0.09,,0.055,,,,
10/21,0.095,0.115,,0.087,0.107,0.095,,0.06,,,,
10/22,0.09,0.105,,0.099,0.121,0.085,,0.05,,,,
10/23,0.105,0.12,,0.07,0.086,0.095,,0.055,,,,
10/24,0.09,0.11,,0.06,0.073,0.09,,0.05,,,,
10/25,0.085,0.095,,0.074,0.089,0.075,,0.045,,,,
10/26,0.13,0.155,,0.07,0.089,0.125,,0.07,,,,
10/27,0.115,0.13,,0.066,0.08,0.105,,0.055,,,,
10/28,0.115,0.135,,0.066,0.079,0.105,,0.055,,,,
10/29,0.105,0.125,,0.06,0.074,0.1,,0.05,,,,
10/30,,,,0.0,0.0,,,,,,,
