# Station Code,nopo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,FCRN,LAWN,PAST,POTA,PPMT,SGRN,WGRN
07/04,0.26,0.3,0.12,0.12,0.24,0.2,0.13,0.23,0.3,0.3
07/05,0.22,0.26,0.11,0.11,0.21,0.18,0.12,0.2,0.26,0.26
07/06,0.26,0.3,0.14,0.13,0.24,0.2,0.14,0.24,0.3,0.3
07/07,0.22,0.26,0.12,0.12,0.21,0.18,0.13,0.21,0.26,0.26
07/08,0.16,0.19,0.09,0.09,0.15,0.13,0.1,0.16,0.19,0.19
07/09,0.24,0.28,0.15,0.14,0.22,0.19,0.15,0.24,0.28,0.28
07/10,0.26,0.31,0.17,0.16,0.25,0.21,0.17,0.26,0.31,0.31
07/11,0.22,0.26,0.15,0.13,0.21,0.18,0.15,0.22,0.26,0.26
07/12,0.21,0.25,0.15,0.13,0.2,0.17,0.15,0.22,0.25,0.25
07/13,0.27,0.32,0.19,0.18,0.26,0.22,0.19,0.28,0.32,0.32
07/14,0.25,0.29,0.18,0.16,0.23,0.2,0.18,0.26,0.29,0.29
07/15,0.24,0.28,0.18,0.16,0.22,0.19,0.18,0.25,0.28,0.28
07/16,0.25,0.29,0.19,0.17,0.23,0.2,0.19,0.26,0.29,0.29
07/17,0.31,0.36,0.25,0.22,0.29,0.24,0.24,0.33,0.36,0.36
07/18,0.27,0.32,0.23,0.2,0.26,0.22,0.22,0.3,0.32,0.32
07/19,0.27,0.32,0.23,0.2,0.26,0.22,0.23,0.3,0.32,0.32
07/20,0.24,0.28,0.21,0.18,0.22,0.19,0.2,0.27,0.28,0.28
07/21,0.24,0.28,0.21,0.19,0.22,0.19,0.21,0.27,0.28,0.28
07/22,0.33,0.39,0.31,0.27,0.31,0.27,0.3,0.37,0.39,0.39
07/23,0.22,0.26,0.21,0.18,0.21,0.18,0.2,0.25,0.26,0.26
07/24,0.27,0.32,0.26,0.23,0.26,0.22,0.25,0.3,0.32,0.32
07/25,0.23,0.27,0.23,0.2,0.22,0.18,0.22,0.26,0.27,0.27
07/26,0.26,0.31,0.26,0.23,0.25,0.21,0.25,0.29,0.31,0.3
07/27,0.27,0.32,0.28,0.25,0.26,0.22,0.27,0.3,0.32,0.31
07/28,0.23,0.27,0.24,0.21,0.22,0.18,0.23,0.26,0.27,0.26
07/29,0.21,0.25,0.23,0.2,0.2,0.17,0.21,0.24,0.25,0.23
07/30,0.24,0.28,0.25,0.23,0.22,0.19,0.24,0.27,0.28,0.24
07/31,0.31,0.36,0.33,0.3,0.29,0.24,0.31,0.34,0.36,0.3
08/01,0.25,0.29,0.27,0.25,0.23,0.2,0.25,0.28,0.29,0.23
08/02,0.24,0.28,0.26,0.24,0.22,0.19,0.25,0.27,0.28,0.21
08/03,0.2,0.23,0.22,0.2,0.18,0.16,0.2,0.22,0.23,0.16
08/04,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.06,0.04
08/05,0.17,0.2,0.19,0.18,0.16,0.14,0.18,0.19,0.2,0.13
08/06,0.15,0.18,0.17,0.17,0.14,0.12,0.16,0.17,0.18,0.11
08/07,0.09,0.1,0.1,0.1,0.08,0.07,0.09,0.1,0.1,0.06
08/08,0.16,0.19,0.18,0.18,0.15,0.13,0.17,0.18,0.18,0.1
08/09,0.17,0.2,0.19,0.2,0.16,0.14,0.18,0.19,0.17,0.1
08/10,0.2,0.24,0.23,0.24,0.19,0.16,0.22,0.23,0.19,0.11
08/11,0.22,0.26,0.25,0.26,0.21,0.18,0.24,0.25,0.19,0.11
08/12,0.25,0.29,0.28,0.29,0.23,0.2,0.27,0.28,0.2,0.11
08/13,0.25,0.29,0.28,0.29,0.23,0.2,0.27,0.28,0.19,0.1
08/14,0.2,0.23,0.22,0.23,0.18,0.16,0.21,0.22,0.14,0.07
08/15,0.22,0.26,0.25,0.26,0.21,0.18,0.24,0.25,0.14,0.0
08/16,0.25,0.29,0.28,0.29,0.23,0.2,0.27,0.28,0.14,
08/17,0.2,0.24,0.23,0.24,0.19,0.16,0.22,0.23,0.1,
08/18,0.19,0.22,0.21,0.22,0.18,0.15,0.2,0.21,0.08,
08/19,0.18,0.21,0.2,0.21,0.17,0.14,0.2,0.2,0.07,
08/20,0.1,0.12,0.11,0.12,0.1,0.08,0.11,0.11,0.0,
08/21,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,,
08/22,0.11,0.13,0.12,0.13,0.1,0.09,0.12,0.12,,
08/23,0.15,0.18,0.17,0.18,0.14,0.12,0.17,0.17,,
08/24,0.16,0.19,0.18,0.19,0.15,0.13,0.18,0.18,,
08/25,0.14,0.16,0.15,0.16,0.13,0.11,0.15,0.15,,
08/26,0.14,0.17,0.15,0.17,0.14,0.12,0.16,0.16,,
08/27,0.14,0.17,0.15,0.17,0.14,0.12,0.16,0.16,,
08/28,0.2,0.23,0.19,0.23,0.18,0.16,0.21,0.21,,
08/29,0.17,0.2,0.16,0.2,0.16,0.14,0.18,0.18,,
08/30,0.16,0.19,0.15,0.19,0.15,0.13,0.17,0.17,,
08/31,0.17,0.2,0.15,0.2,0.16,0.13,0.18,0.18,,
09/01,0.14,0.17,0.12,0.17,0.14,0.11,0.15,0.15,,
09/02,0.16,0.19,0.13,0.18,0.15,0.13,0.17,0.17,,
09/03,0.09,0.11,0.07,0.11,0.09,0.07,0.1,0.09,,
09/04,0.09,0.11,0.07,0.1,0.09,0.07,0.1,0.09,,
09/05,0.15,0.18,0.1,0.17,0.14,0.12,0.16,0.15,,
09/06,0.14,0.16,0.08,0.15,0.13,0.1,0.14,0.13,,
09/07,0.14,0.17,0.08,0.16,0.14,0.11,0.15,0.14,,
09/08,0.15,0.18,0.07,0.17,0.14,0.12,0.15,0.14,,
09/09,0.15,0.18,0.06,0.17,0.14,0.12,0.15,0.14,,
09/10,0.14,0.17,0.0,0.16,0.14,0.11,0.14,0.13,,
09/11,0.16,0.19,,0.17,0.15,0.12,0.16,0.14,,
09/12,0.18,0.21,,0.19,0.17,0.13,0.17,0.16,,
09/13,0.19,0.22,,0.2,0.18,0.14,0.18,0.16,,
09/14,0.19,0.22,,0.2,0.18,0.14,0.18,0.16,,
09/15,0.16,0.19,,0.17,0.15,0.12,0.15,0.0,,
09/16,0.18,0.21,,0.19,0.17,0.13,0.17,,,
09/17,0.2,0.23,,0.2,0.18,0.14,0.18,,,
09/18,0.15,0.18,,0.16,0.14,0.11,0.14,,,
09/19,0.14,0.16,,0.14,0.13,0.1,0.13,,,
09/20,0.09,0.11,,0.09,0.09,0.06,0.09,,,
09/21,0.09,0.11,,0.09,0.09,0.06,0.09,,,
09/22,0.12,0.14,,0.12,0.11,0.08,0.11,,,
09/23,0.15,0.18,,0.15,0.14,0.09,0.14,,,
09/24,0.09,0.1,,0.08,0.08,0.05,0.07,,,
09/25,0.19,0.22,,0.18,0.18,0.11,0.16,,,
09/26,0.08,0.09,,0.07,0.07,0.04,0.06,,,
09/27,0.12,0.14,,0.11,0.11,0.06,0.1,,,
09/28,0.09,0.11,,0.09,0.09,0.05,0.07,,,
09/29,0.08,0.09,,0.07,0.07,0.04,0.06,,,
09/30,0.0,0.0,,0.0,0.0,0.0,0.04,,,
10/01,,,,,,,0.05,,,
10/02,,,,,,,0.05,,,
10/03,,,,,,,0.04,,,
10/04,,,,,,,0.06,,,
10/05,,,,,,,0.0,,,
