# Station Code,ifai
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
05/08,0.152,0.167,0.178,0.179,0.152,0.124,,0.097,0.184
05/09,0.169,0.186,0.194,0.195,0.17,0.139,,0.112,0.204
05/10,0.159,0.174,0.18,0.18,0.155,0.13,0.07,0.111,0.189
05/11,0.169,0.186,0.191,0.192,0.163,0.137,0.08,0.125,0.2
05/12,0.199,0.219,0.228,0.229,0.196,0.161,0.08,0.146,0.238
05/13,0.196,0.22,0.224,0.225,0.19,0.159,0.075,0.156,0.232
05/14,0.183,0.205,0.209,0.21,0.176,0.149,0.06,0.148,0.215
05/15,0.167,0.187,0.188,0.189,0.16,0.135,0.07,0.138,0.197
05/16,0.175,0.194,0.195,0.197,0.164,0.138,0.07,0.145,0.204
05/17,0.168,0.19,0.189,0.191,0.162,0.136,0.09,0.15,0.199
05/18,0.194,0.218,0.216,0.218,0.184,0.152,0.09,0.173,0.227
05/19,0.171,0.192,0.191,0.192,0.16,0.137,0.085,0.156,0.2
05/20,0.154,0.173,0.171,0.171,0.144,0.122,0.056,0.138,0.179
05/21,0.157,0.179,0.174,0.178,0.15,0.126,0.052,0.149,0.184
05/22,0.155,0.18,0.174,0.177,0.148,0.123,0.042,0.149,0.183
05/23,0.151,0.175,0.169,0.172,0.143,0.121,0.04,0.149,0.177
05/24,0.186,0.217,0.207,0.207,0.176,0.15,0.062,0.191,0.218
05/25,0.18,0.212,0.202,0.205,0.171,0.145,0.078,0.189,0.213
05/26,0.189,0.221,0.211,0.213,0.178,0.15,0.084,0.204,0.222
05/27,0.189,0.221,0.211,0.213,0.177,0.151,0.078,0.205,0.222
05/28,0.209,0.243,0.231,0.233,0.193,0.166,0.084,0.225,0.243
05/29,0.21,0.247,0.235,0.238,0.2,0.168,0.08,0.231,0.247
05/30,0.2,0.235,0.225,0.226,0.188,0.16,0.076,0.222,0.235
05/31,0.203,0.239,0.228,0.23,0.19,0.162,0.078,0.227,0.239
06/01,0.211,0.247,0.237,0.237,0.199,0.167,0.087,0.239,0.247
06/02,0.217,0.255,0.243,0.245,0.205,0.173,0.097,0.25,0.255
06/03,0.232,0.272,0.257,0.262,0.22,0.184,0.108,0.267,0.272
06/04,0.239,0.28,0.264,0.268,0.223,0.19,0.115,0.275,0.28
06/05,0.255,0.3,0.284,0.289,0.241,0.205,0.122,0.295,0.3
06/06,0.238,0.28,0.264,0.27,0.224,0.192,0.115,0.275,0.28
06/07,0.217,0.253,0.238,0.243,0.202,0.171,0.092,0.249,0.253
06/08,0.213,0.25,0.233,0.239,0.201,0.171,0.092,0.247,0.25
06/09,0.238,0.279,0.262,0.269,0.223,0.189,0.122,0.278,0.279
06/10,0.244,0.287,0.267,0.276,0.229,0.196,0.138,0.286,0.287
06/11,0.222,0.261,0.241,0.251,0.21,0.177,0.132,0.26,0.261
06/12,0.22,0.259,0.239,0.249,0.207,0.176,0.128,0.258,0.259
06/13,0.238,0.279,0.255,0.267,0.222,0.19,0.143,0.279,0.279
06/14,0.247,0.289,0.264,0.277,0.231,0.196,0.16,0.288,0.289
06/15,0.229,0.269,0.245,0.257,0.215,0.184,0.147,0.269,0.269
06/16,0.235,0.276,0.248,0.264,0.221,0.188,0.16,0.276,0.276
06/17,0.242,0.284,0.253,0.272,0.228,0.195,0.172,0.284,0.284
06/18,0.221,0.259,0.23,0.245,0.209,0.175,0.148,0.259,0.259
06/19,0.253,0.297,0.261,0.283,0.236,0.203,0.168,0.297,0.297
06/20,0.234,0.275,0.239,0.262,0.22,0.187,0.152,0.275,0.275
06/21,0.257,0.301,0.263,0.287,0.242,0.203,0.172,0.301,0.301
06/22,0.236,0.276,0.242,0.262,0.221,0.187,0.17,0.276,0.276
06/23,0.254,0.296,0.255,0.281,0.237,0.199,0.192,0.296,0.296
06/24,0.265,0.313,0.269,0.297,0.251,0.211,0.212,0.313,0.313
06/25,0.249,0.29,0.249,0.274,0.232,0.195,0.2,0.29,0.29
06/26,0.266,0.313,0.267,0.295,0.25,0.213,0.237,0.313,0.313
06/27,0.245,0.289,0.244,0.272,0.232,0.196,0.242,0.289,0.289
06/28,0.242,0.284,0.239,0.267,0.226,0.191,0.21,0.284,0.284
06/29,0.252,0.294,0.244,0.277,0.235,0.2,0.215,0.294,0.294
06/30,0.222,0.26,0.218,0.243,0.208,0.176,0.197,0.26,0.26
07/01,0.267,0.312,0.256,0.292,0.25,0.211,0.258,0.312,0.312
07/02,0.275,0.324,0.266,0.304,0.259,0.219,0.255,0.324,0.323
07/03,0.275,0.324,0.264,0.302,0.261,0.22,0.255,0.324,0.321
07/04,0.275,0.324,0.263,0.303,0.26,0.221,0.253,0.324,0.32
07/05,0.269,0.317,0.255,0.295,0.253,0.215,0.252,0.317,0.312
07/06,0.261,0.309,0.25,0.289,0.249,0.211,0.263,0.309,0.302
07/07,0.278,0.327,0.263,0.305,0.262,0.221,0.295,0.327,0.313
07/08,0.261,0.308,0.247,0.287,0.246,0.209,0.28,0.308,0.288
07/09,0.272,0.32,0.257,0.297,0.257,0.216,0.283,0.32,0.293
07/10,0.248,0.291,0.233,0.271,0.233,0.196,0.295,0.291,0.261
07/11,0.271,0.32,0.257,0.297,0.257,0.217,0.305,0.32,0.284
07/12,0.277,0.325,0.26,0.302,0.26,0.22,0.295,0.325,0.276
07/13,0.274,0.323,0.259,0.3,0.259,0.22,0.31,0.323,0.264
07/14,0.255,0.299,0.239,0.276,0.239,0.204,0.272,0.299,0.238
07/15,0.262,0.307,0.245,0.283,0.245,0.208,0.283,0.307,0.238
07/16,0.28,0.329,0.261,0.302,0.261,0.222,0.296,0.326,0.233
07/17,0.264,0.311,0.25,0.287,0.25,0.209,0.3,0.308,0.208
07/18,0.283,0.334,0.27,0.306,0.27,0.229,0.33,0.326,0.217
07/19,0.292,0.345,0.278,0.316,0.278,0.235,0.32,0.33,0.212
07/20,0.277,0.324,0.259,0.297,0.259,0.221,0.31,0.303,0.192
07/21,0.274,0.324,0.26,0.295,0.26,0.22,0.295,0.292,0.196
07/22,0.288,0.338,0.27,0.308,0.27,0.23,0.307,0.303,0.204
07/23,0.27,0.317,0.255,0.289,0.255,0.215,0.288,0.27,0.181
07/24,0.279,0.33,0.266,0.3,0.266,0.224,0.308,0.271,0.169
07/25,0.259,0.305,0.243,0.277,0.243,0.207,0.285,0.236,0.123
07/26,0.248,0.29,0.231,0.263,0.231,0.198,0.267,0.236,0.168
07/27,0.239,0.281,0.226,0.254,0.226,0.191,0.275,0.223,0.158
07/28,0.235,0.277,0.222,0.252,0.222,0.188,0.263,0.209,0.153
07/29,0.214,0.251,0.201,0.227,0.201,0.171,0.243,0.167,0.125
07/30,0.252,0.295,0.237,0.266,0.237,0.198,0.278,0.187,0.128
07/31,0.237,0.278,0.223,0.25,0.223,0.188,0.237,0.152,0.098
08/01,0.255,0.298,0.238,0.268,0.238,0.203,0.273,0.141,0.058
08/02,0.236,0.277,0.222,0.249,0.222,0.189,0.237,0.144,0.087
08/03,0.244,0.286,0.23,0.258,0.23,0.195,0.253,0.149,0.087
08/04,0.231,0.271,0.218,0.243,0.218,0.186,0.257,0.117,0.08
08/05,0.202,0.237,0.188,0.211,0.188,0.16,0.232,0.074,0.037
08/06,0.204,0.239,0.192,0.214,0.192,0.162,0.222,0.105,0.09
08/07,0.197,0.233,0.186,0.207,0.186,0.16,0.248,0.11,0.07
08/08,0.208,0.243,0.195,0.218,0.195,0.163,0.243,0.113,0.08
08/09,0.225,0.263,0.21,0.235,0.21,0.18,0.245,0.098,0.08
08/10,0.25,0.295,0.236,0.262,0.236,0.2,0.297,0.07,0.0
08/11,0.251,0.296,0.236,0.264,0.236,0.201,0.287,0.125,
08/12,0.245,0.287,0.228,0.255,0.228,0.195,0.287,0.12,
08/13,0.244,0.287,0.229,0.256,0.229,0.194,0.285,0.09,
08/14,0.229,0.268,0.214,0.239,0.214,0.182,0.263,0.075,
08/15,0.235,0.276,0.22,0.245,0.22,0.188,0.25,0.0,
08/16,0.232,0.27,0.215,0.24,0.215,0.183,0.233,,
08/17,0.248,0.291,0.232,0.258,0.232,0.198,0.262,,
08/18,0.227,0.265,0.211,0.234,0.211,0.179,0.233,,
08/19,0.213,0.252,0.201,0.222,0.201,0.17,0.205,,
08/20,0.191,0.225,0.181,0.198,0.181,0.154,0.177,,
08/21,0.211,0.248,0.196,0.218,0.196,0.168,0.192,,
08/22,0.2,0.234,0.189,0.206,0.189,0.161,0.198,,
08/23,0.196,0.231,0.186,0.203,0.186,0.157,0.207,,
08/24,0.209,0.244,0.197,0.212,0.197,0.165,0.215,,
08/25,0.226,0.265,0.212,0.231,0.212,0.178,0.243,,
08/26,0.202,0.239,0.192,0.209,0.192,0.161,0.215,,
08/27,0.209,0.245,0.195,0.212,0.195,0.165,0.207,,
08/28,0.219,0.258,0.207,0.226,0.207,0.173,0.205,,
08/29,0.223,0.265,0.212,0.232,0.212,0.177,0.222,,
08/30,0.228,0.267,0.214,0.232,0.214,0.178,0.24,,
08/31,0.199,0.235,0.188,0.204,0.188,0.156,0.188,,
09/01,0.22,0.257,0.205,0.221,0.205,0.17,0.212,,
09/02,0.226,0.266,0.213,0.231,0.213,0.176,0.207,,
09/03,0.208,0.245,0.196,0.212,0.196,0.16,0.187,,
09/04,0.189,0.222,0.177,0.192,0.177,0.144,0.185,,
09/05,0.207,0.244,0.195,0.212,0.195,0.158,0.198,,
09/06,0.194,0.228,0.181,0.195,0.181,0.145,0.192,,
09/07,0.203,0.239,0.19,0.206,0.19,0.152,0.19,,
09/08,0.205,0.241,0.192,0.209,0.192,0.154,0.187,,
09/09,0.197,0.233,0.186,0.2,0.186,0.147,0.175,,
09/10,0.176,0.208,0.166,0.18,0.166,0.132,0.143,,
09/11,0.182,0.214,0.17,0.184,0.172,0.136,0.148,,
09/12,0.179,0.209,0.165,0.179,0.167,0.132,0.153,,
09/13,0.179,0.211,0.167,0.18,0.169,0.13,0.145,,
09/14,0.167,0.197,0.154,0.168,0.157,0.12,0.138,,
09/15,0.151,0.179,0.141,0.151,0.144,0.111,0.152,,
09/16,0.156,0.182,0.143,0.156,0.144,0.111,0.14,,
09/17,0.147,0.174,0.137,0.147,0.138,0.105,0.113,,
09/18,0.17,0.199,0.154,0.169,0.159,0.119,0.127,,
09/19,0.159,0.187,0.146,0.159,0.15,0.108,0.11,,
09/20,0.146,0.172,0.133,0.146,0.138,0.099,0.065,,
09/21,0.122,0.144,0.111,0.122,0.114,0.079,0.073,,
09/22,0.122,0.143,0.111,0.121,0.114,0.076,0.092,,
09/23,0.136,0.159,0.12,0.134,0.128,0.082,0.095,,
09/24,0.144,0.169,0.128,0.142,0.134,0.084,0.087,,
09/25,0.156,0.184,0.138,0.155,0.147,0.09,0.03,,
09/26,0.154,0.182,0.136,0.152,0.146,0.085,0.11,,
09/27,0.13,0.154,0.114,0.13,0.122,0.071,0.1,,
09/28,0.119,0.14,0.104,0.118,0.113,0.062,0.08,,
09/29,0.114,0.133,0.098,0.114,0.107,0.057,0.07,,
09/30,0.012,0.014,0.088,0.103,0.011,0.007,0.0,,
10/01,0.1,0.12,0.08,0.094,0.1,0.06,,,
10/02,0.11,0.13,0.085,0.101,0.1,0.07,,,
10/03,0.03,0.04,0.083,0.096,0.03,0.02,,,
10/04,0.08,0.09,0.079,0.093,0.07,0.04,,,
10/05,0.08,0.09,0.084,0.099,0.07,0.04,,,
10/06,0.07,0.08,0.082,0.097,0.06,0.04,,,
10/07,0.09,0.11,0.09,0.108,0.09,0.05,,,
10/08,0.09,0.11,0.089,0.104,0.09,0.05,,,
10/09,0.13,0.15,0.076,0.092,0.12,0.06,,,
10/10,0.0,0.0,0.096,0.116,0.0,0.0,,,
10/11,,,0.093,0.112,,,,,
10/12,,,0.076,0.092,,,,,
10/13,,,0.076,0.094,,,,,
10/14,,,0.077,0.094,,,,,
10/15,,,0.078,0.096,,,,,
10/16,,,0.078,0.095,,,,,
10/17,,,0.094,0.115,,,,,
10/18,,,0.077,0.097,,,,,
10/19,,,0.064,0.078,,,,,
10/20,,,0.0,0.0,,,,,
