# Station Code,pngo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
04/21,0.121,0.134,0.048,0.074,0.079,0.118,0.097,0.032,0.028
04/22,0.117,0.132,0.045,0.074,0.075,0.112,0.093,0.031,0.026
04/23,0.112,0.124,0.043,0.073,0.072,0.105,0.088,0.028,0.024
04/24,0.115,0.128,0.04,0.076,0.071,0.109,0.092,0.03,0.022
04/25,0.111,0.126,0.041,0.071,0.073,0.104,0.088,0.031,0.025
04/26,0.124,0.142,0.045,0.084,0.083,0.117,0.098,0.035,0.028
04/27,0.126,0.146,0.052,0.096,0.088,0.118,0.101,0.037,0.031
04/28,0.132,0.152,0.055,0.1,0.09,0.125,0.105,0.038,0.034
04/29,0.128,0.151,0.055,0.102,0.089,0.122,0.104,0.04,0.033
04/30,0.137,0.159,0.063,0.112,0.097,0.128,0.11,0.043,0.038
05/01,0.138,0.16,0.062,0.121,0.101,0.128,0.109,0.045,0.039
05/02,0.132,0.156,0.061,0.116,0.099,0.125,0.106,0.045,0.039
05/03,0.134,0.158,0.075,0.132,0.107,0.128,0.108,0.048,0.044
05/04,0.136,0.16,0.076,0.135,0.111,0.128,0.11,0.048,0.046
05/05,0.127,0.148,0.064,0.122,0.103,0.12,0.102,0.045,0.041
05/06,0.137,0.16,0.071,0.133,0.113,0.128,0.11,0.049,0.045
05/07,0.148,0.173,0.077,0.148,0.124,0.137,0.118,0.058,0.048
05/08,0.142,0.167,0.082,0.149,0.124,0.133,0.114,0.057,0.052
05/09,0.162,0.189,0.098,0.173,0.144,0.151,0.131,0.065,0.061
05/10,0.164,0.192,0.102,0.178,0.148,0.155,0.132,0.069,0.064
05/11,0.148,0.174,0.091,0.164,0.136,0.138,0.118,0.061,0.058
05/12,0.148,0.175,0.091,0.166,0.138,0.141,0.118,0.063,0.059
05/13,0.153,0.179,0.099,0.172,0.143,0.143,0.123,0.066,0.065
05/14,0.148,0.173,0.099,0.167,0.145,0.138,0.118,0.068,0.066
05/15,0.128,0.15,0.092,0.145,0.126,0.122,0.101,0.061,0.062
05/16,0.133,0.156,0.095,0.151,0.135,0.125,0.106,0.064,0.065
05/17,0.152,0.179,0.117,0.175,0.157,0.144,0.123,0.077,0.078
05/18,0.135,0.16,0.107,0.157,0.142,0.127,0.11,0.071,0.075
05/19,0.137,0.161,0.115,0.159,0.147,0.129,0.11,0.073,0.077
05/20,0.142,0.166,0.122,0.165,0.157,0.134,0.114,0.078,0.085
05/21,0.124,0.145,0.109,0.145,0.138,0.115,0.098,0.072,0.077
05/22,0.125,0.146,0.109,0.146,0.141,0.116,0.099,0.074,0.078
05/23,0.143,0.168,0.132,0.168,0.162,0.135,0.115,0.087,0.094
05/24,0.152,0.178,0.139,0.178,0.174,0.142,0.122,0.095,0.102
05/25,0.13,0.154,0.124,0.154,0.151,0.122,0.105,0.082,0.087
05/26,0.152,0.179,0.144,0.179,0.181,0.143,0.122,0.098,0.104
05/27,0.144,0.168,0.135,0.168,0.168,0.134,0.115,0.095,0.1
05/28,0.162,0.191,0.158,0.191,0.193,0.152,0.13,0.108,0.115
05/29,0.162,0.19,0.161,0.19,0.192,0.153,0.129,0.109,0.115
05/30,0.155,0.182,0.154,0.182,0.187,0.145,0.124,0.108,0.113
05/31,0.168,0.196,0.169,0.196,0.202,0.156,0.134,0.119,0.122
06/01,0.166,0.195,0.168,0.195,0.202,0.155,0.132,0.121,0.122
06/02,0.17,0.198,0.174,0.198,0.205,0.158,0.135,0.125,0.125
06/03,0.182,0.214,0.189,0.214,0.221,0.172,0.145,0.137,0.135
06/04,0.183,0.215,0.193,0.215,0.222,0.174,0.145,0.143,0.141
06/05,0.17,0.201,0.182,0.201,0.208,0.161,0.138,0.136,0.13
06/06,0.175,0.205,0.185,0.205,0.213,0.165,0.141,0.139,0.132
06/07,0.164,0.194,0.175,0.194,0.202,0.155,0.131,0.135,0.127
06/08,0.161,0.189,0.17,0.189,0.198,0.152,0.128,0.133,0.122
06/09,0.16,0.187,0.172,0.187,0.195,0.15,0.128,0.134,0.122
06/10,0.17,0.198,0.185,0.198,0.206,0.159,0.137,0.144,0.129
06/11,0.171,0.201,0.185,0.201,0.208,0.16,0.136,0.147,0.13
06/12,0.161,0.189,0.172,0.189,0.197,0.152,0.128,0.142,0.123
06/13,0.151,0.178,0.163,0.178,0.186,0.142,0.122,0.133,0.115
06/14,0.172,0.202,0.185,0.202,0.211,0.162,0.138,0.153,0.131
06/15,0.158,0.185,0.169,0.185,0.193,0.148,0.127,0.142,0.121
06/16,0.163,0.193,0.18,0.192,0.202,0.154,0.131,0.151,0.127
06/17,0.172,0.202,0.186,0.202,0.21,0.162,0.138,0.161,0.132
06/18,0.172,0.202,0.187,0.199,0.21,0.161,0.139,0.161,0.131
06/19,0.183,0.214,0.197,0.21,0.224,0.172,0.145,0.174,0.139
06/20,0.183,0.215,0.2,0.211,0.225,0.173,0.145,0.177,0.142
06/21,0.198,0.233,0.216,0.228,0.243,0.188,0.158,0.192,0.152
06/22,0.188,0.221,0.205,0.215,0.23,0.176,0.15,0.184,0.145
06/23,0.184,0.216,0.201,0.21,0.225,0.172,0.147,0.183,0.142
06/24,0.193,0.225,0.208,0.218,0.235,0.178,0.154,0.192,0.147
06/25,0.182,0.215,0.199,0.209,0.225,0.174,0.146,0.184,0.141
06/26,0.178,0.209,0.194,0.203,0.218,0.167,0.143,0.182,0.136
06/27,0.189,0.223,0.208,0.217,0.233,0.178,0.152,0.192,0.145
06/28,0.191,0.223,0.21,0.215,0.233,0.178,0.154,0.194,0.145
06/29,0.197,0.232,0.219,0.222,0.242,0.185,0.157,0.203,0.152
06/30,0.196,0.23,0.218,0.221,0.24,0.184,0.155,0.203,0.151
07/01,0.203,0.239,0.226,0.231,0.249,0.192,0.162,0.212,0.158
07/02,0.205,0.242,0.23,0.232,0.252,0.194,0.165,0.216,0.158
07/03,0.209,0.246,0.236,0.237,0.256,0.198,0.166,0.222,0.162
07/04,0.214,0.252,0.242,0.242,0.262,0.201,0.171,0.227,0.164
07/05,0.205,0.241,0.231,0.232,0.251,0.193,0.162,0.22,0.158
07/06,0.203,0.238,0.228,0.228,0.248,0.192,0.162,0.219,0.157
07/07,0.192,0.224,0.215,0.214,0.234,0.179,0.152,0.206,0.146
07/08,0.202,0.237,0.228,0.227,0.247,0.19,0.162,0.222,0.155
07/09,0.198,0.232,0.225,0.222,0.241,0.185,0.158,0.218,0.151
07/10,0.207,0.243,0.237,0.233,0.253,0.195,0.165,0.23,0.158
07/11,0.2,0.235,0.228,0.225,0.245,0.188,0.16,0.223,0.153
07/12,0.198,0.232,0.225,0.222,0.242,0.185,0.158,0.224,0.15
07/13,0.198,0.232,0.225,0.223,0.242,0.186,0.157,0.228,0.152
07/14,0.205,0.242,0.236,0.232,0.252,0.192,0.164,0.238,0.158
07/15,0.206,0.244,0.24,0.234,0.254,0.195,0.165,0.241,0.16
07/16,0.195,0.229,0.226,0.218,0.239,0.183,0.155,0.231,0.15
07/17,0.2,0.234,0.23,0.222,0.243,0.188,0.16,0.236,0.152
07/18,0.192,0.226,0.222,0.215,0.235,0.182,0.153,0.232,0.149
07/19,0.203,0.237,0.234,0.225,0.247,0.189,0.161,0.244,0.155
07/20,0.209,0.247,0.244,0.236,0.257,0.197,0.168,0.255,0.162
07/21,0.203,0.237,0.234,0.226,0.247,0.188,0.162,0.248,0.155
07/22,0.198,0.233,0.23,0.222,0.243,0.186,0.158,0.245,0.152
07/23,0.194,0.229,0.227,0.219,0.238,0.183,0.156,0.244,0.15
07/24,0.199,0.233,0.229,0.219,0.241,0.186,0.158,0.249,0.151
07/25,0.191,0.224,0.222,0.212,0.232,0.178,0.152,0.238,0.146
07/26,0.205,0.242,0.239,0.229,0.25,0.194,0.165,0.258,0.157
07/27,0.195,0.231,0.228,0.218,0.239,0.185,0.156,0.247,0.152
07/28,0.205,0.241,0.238,0.227,0.249,0.194,0.162,0.258,0.158
07/29,0.202,0.238,0.235,0.222,0.245,0.19,0.161,0.256,0.156
07/30,0.202,0.237,0.235,0.222,0.242,0.189,0.162,0.254,0.155
07/31,0.192,0.226,0.224,0.212,0.229,0.182,0.153,0.243,0.148
08/01,0.191,0.224,0.222,0.21,0.223,0.179,0.152,0.242,0.147
08/02,0.181,0.213,0.212,0.2,0.212,0.17,0.145,0.23,0.14
08/03,0.182,0.214,0.212,0.2,0.213,0.171,0.146,0.232,0.139
08/04,0.19,0.223,0.222,0.208,0.222,0.179,0.152,0.242,0.146
08/05,0.183,0.215,0.214,0.199,0.212,0.172,0.146,0.233,0.14
08/06,0.181,0.212,0.21,0.197,0.206,0.169,0.144,0.228,0.138
08/07,0.183,0.216,0.215,0.202,0.206,0.174,0.148,0.231,0.141
08/08,0.177,0.208,0.208,0.195,0.198,0.166,0.143,0.222,0.135
08/09,0.165,0.193,0.192,0.178,0.183,0.155,0.132,0.208,0.126
08/10,0.17,0.202,0.201,0.188,0.191,0.161,0.137,0.215,0.132
08/11,0.175,0.208,0.207,0.193,0.195,0.165,0.141,0.221,0.136
08/12,0.172,0.203,0.202,0.188,0.188,0.162,0.139,0.215,0.132
08/13,0.169,0.199,0.198,0.185,0.182,0.159,0.135,0.212,0.128
08/14,0.159,0.19,0.189,0.176,0.172,0.152,0.13,0.202,0.123
08/15,0.171,0.202,0.201,0.186,0.18,0.161,0.136,0.213,0.132
08/16,0.172,0.202,0.201,0.185,0.181,0.163,0.138,0.212,0.13
08/17,0.167,0.197,0.196,0.181,0.172,0.157,0.134,0.205,0.128
08/18,0.167,0.195,0.195,0.178,0.172,0.156,0.134,0.202,0.127
08/19,0.173,0.203,0.202,0.185,0.176,0.162,0.139,0.208,0.132
08/20,0.165,0.195,0.195,0.178,0.168,0.155,0.132,0.198,0.127
08/21,0.157,0.185,0.184,0.168,0.158,0.147,0.125,0.187,0.121
08/22,0.147,0.174,0.173,0.159,0.146,0.139,0.118,0.174,0.112
08/23,0.153,0.179,0.178,0.165,0.15,0.143,0.122,0.179,0.116
08/24,0.155,0.182,0.18,0.165,0.152,0.147,0.123,0.175,0.119
08/25,0.148,0.174,0.17,0.158,0.144,0.139,0.115,0.162,0.113
08/26,0.148,0.175,0.17,0.158,0.142,0.139,0.116,0.16,0.113
08/27,0.155,0.182,0.177,0.167,0.148,0.148,0.122,0.163,0.118
08/28,0.151,0.176,0.169,0.161,0.142,0.142,0.118,0.153,0.114
08/29,0.136,0.16,0.152,0.145,0.125,0.128,0.106,0.132,0.104
08/30,0.136,0.16,0.151,0.145,0.124,0.128,0.107,0.129,0.103
08/31,0.138,0.163,0.151,0.148,0.122,0.131,0.108,0.125,0.106
09/01,0.138,0.162,0.148,0.145,0.121,0.13,0.108,0.121,0.104
09/02,0.135,0.159,0.142,0.143,0.118,0.128,0.105,0.114,0.103
09/03,0.133,0.156,0.138,0.142,0.114,0.125,0.103,0.106,0.101
09/04,0.132,0.154,0.133,0.138,0.109,0.123,0.102,0.098,0.099
09/05,0.133,0.156,0.131,0.142,0.108,0.125,0.104,0.093,0.1
09/06,0.119,0.139,0.116,0.125,0.095,0.111,0.092,0.081,0.09
09/07,0.131,0.155,0.126,0.139,0.102,0.125,0.101,0.083,0.101
09/08,0.134,0.156,0.125,0.14,0.101,0.125,0.1,0.078,0.1
09/09,0.134,0.158,0.124,0.142,0.101,0.127,0.102,0.074,0.102
09/10,0.119,0.141,0.109,0.127,0.08,0.113,0.092,0.027,0.084
09/11,0.118,0.139,0.104,0.125,0.083,0.111,0.088,0.087,0.088
09/12,0.115,0.135,0.1,0.121,0.078,0.108,0.086,0.087,0.086
09/13,0.115,0.136,0.099,0.122,0.075,0.109,0.085,0.08,0.086
09/14,0.112,0.132,0.093,0.118,0.073,0.105,0.082,0.07,0.086
09/15,0.095,0.112,0.078,0.099,0.053,0.09,0.071,0.03,0.062
09/16,0.098,0.115,0.076,0.102,0.061,0.094,0.072,0.06,0.078
09/17,0.079,0.092,0.06,0.082,0.045,0.074,0.058,0.055,0.064
09/18,0.076,0.09,0.059,0.079,0.043,0.072,0.055,0.05,0.061
09/19,0.091,0.107,0.067,0.093,0.048,0.086,0.066,0.045,0.07
09/20,0.098,0.114,0.068,0.099,0.0,0.09,0.071,0.0,0.028
09/21,0.091,0.107,0.063,0.094,,0.085,0.066,,0.07
09/22,0.079,0.092,0.051,0.08,,0.072,0.055,,0.052
09/23,0.078,0.092,0.05,0.079,,0.074,0.055,,0.053
09/24,0.078,0.092,0.048,0.082,,0.075,0.055,,0.053
09/25,0.081,0.095,0.045,0.082,,0.076,0.055,,0.0
09/26,0.085,0.1,0.051,0.085,,0.08,0.058,,
09/27,0.08,0.094,0.044,0.08,,0.075,0.054,,
09/28,0.078,0.092,0.043,0.078,,0.075,0.051,,
09/29,0.067,0.077,0.033,0.067,,0.061,0.042,,
09/30,0.072,0.085,0.023,0.008,,0.068,0.045,,
10/01,0.072,0.082,0.04,0.0,,0.065,0.043,,
10/02,0.069,0.08,0.037,,,0.063,0.038,,
10/03,0.075,0.086,0.039,,,0.068,0.042,,
10/04,0.071,0.082,0.036,,,0.065,0.039,,
10/05,0.065,0.076,0.0,,,0.061,0.035,,
10/06,0.072,0.082,,,,0.065,0.037,,
10/07,0.062,0.072,,,,0.058,0.032,,
10/08,0.056,0.065,,,,0.055,0.029,,
10/09,0.052,0.061,,,,0.048,0.023,,
10/10,0.0,0.0,,,,0.0,0.0,,
