# Station Code,tabi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
06/14,0.274,0.32,0.276,0.303,0.256,0.215,0.32,0.319
06/15,0.245,0.288,0.246,0.274,0.23,0.195,0.288,0.287
06/16,0.261,0.306,0.261,0.29,0.244,0.207,0.306,0.305
06/17,0.284,0.332,0.279,0.312,0.264,0.226,0.332,0.329
06/18,0.254,0.298,0.249,0.281,0.239,0.203,0.298,0.293
06/19,0.303,0.357,0.299,0.336,0.286,0.242,0.357,0.352
06/20,0.284,0.333,0.278,0.313,0.266,0.226,0.333,0.326
06/21,0.307,0.362,0.301,0.34,0.289,0.246,0.362,0.352
06/22,0.283,0.333,0.274,0.313,0.266,0.226,0.333,0.325
06/23,0.3,0.353,0.29,0.331,0.283,0.24,0.353,0.341
06/24,0.3,0.353,0.288,0.33,0.282,0.24,0.353,0.341
06/25,0.284,0.333,0.272,0.311,0.268,0.225,0.333,0.323
06/26,0.316,0.372,0.302,0.346,0.298,0.252,0.372,0.36
06/27,0.301,0.355,0.287,0.331,0.284,0.242,0.355,0.339
06/28,0.291,0.343,0.276,0.319,0.276,0.233,0.343,0.325
06/29,0.284,0.335,0.269,0.311,0.268,0.229,0.335,0.316
06/30,0.259,0.305,0.245,0.284,0.245,0.207,0.305,0.283
07/01,0.292,0.343,0.274,0.319,0.273,0.234,0.343,0.319
07/02,0.321,0.378,0.303,0.351,0.303,0.258,0.378,0.341
07/03,0.311,0.367,0.294,0.34,0.294,0.25,0.367,0.323
07/04,0.308,0.364,0.291,0.336,0.291,0.247,0.364,0.314
07/05,0.31,0.364,0.291,0.337,0.291,0.247,0.364,0.307
07/06,0.311,0.365,0.293,0.336,0.293,0.247,0.365,0.293
07/07,0.318,0.376,0.299,0.346,0.299,0.256,0.376,0.297
07/08,0.288,0.339,0.27,0.312,0.27,0.231,0.339,0.252
07/09,0.299,0.352,0.283,0.325,0.283,0.238,0.352,0.251
07/10,0.281,0.331,0.265,0.305,0.265,0.226,0.331,0.224
07/11,0.296,0.348,0.279,0.319,0.279,0.236,0.348,0.249
07/12,0.295,0.346,0.276,0.318,0.276,0.234,0.345,0.233
07/13,0.314,0.368,0.295,0.337,0.295,0.25,0.364,0.24
07/14,0.285,0.334,0.268,0.307,0.268,0.226,0.328,0.202
07/15,0.289,0.34,0.273,0.311,0.273,0.233,0.326,0.177
07/16,0.318,0.372,0.298,0.34,0.298,0.251,0.351,0.199
07/17,0.308,0.363,0.29,0.332,0.29,0.248,0.336,0.18
07/18,0.344,0.404,0.323,0.369,0.323,0.277,0.362,0.193
07/19,0.316,0.371,0.297,0.339,0.297,0.251,0.315,0.163
07/20,0.304,0.36,0.288,0.326,0.288,0.246,0.285,0.158
07/21,0.308,0.364,0.292,0.332,0.292,0.246,0.309,0.148
07/22,0.301,0.355,0.283,0.321,0.283,0.241,0.299,0.135
07/23,0.304,0.359,0.287,0.325,0.287,0.244,0.279,0.128
07/24,0.3,0.353,0.282,0.319,0.282,0.24,0.26,0.116
07/25,0.292,0.343,0.273,0.31,0.273,0.232,0.244,0.022
07/26,0.308,0.363,0.289,0.327,0.289,0.248,0.244,0.2
07/27,0.294,0.345,0.277,0.311,0.277,0.236,0.216,0.19
07/28,0.303,0.356,0.285,0.319,0.285,0.242,0.204,0.16
07/29,0.287,0.338,0.269,0.305,0.269,0.23,0.173,0.12
07/30,0.333,0.39,0.313,0.349,0.313,0.266,0.184,0.13
07/31,0.308,0.362,0.289,0.322,0.289,0.246,0.148,0.08
08/01,0.329,0.387,0.31,0.347,0.31,0.263,0.074,0.0
08/02,0.291,0.341,0.274,0.304,0.274,0.231,0.125,
08/03,0.297,0.348,0.277,0.312,0.277,0.238,0.115,
08/04,0.286,0.334,0.267,0.299,0.267,0.226,0.113,
08/05,0.239,0.28,0.224,0.25,0.224,0.189,0.03,
08/06,0.246,0.289,0.231,0.257,0.231,0.196,0.12,
08/07,0.273,0.32,0.255,0.286,0.255,0.217,0.09,
08/08,0.234,0.275,0.22,0.243,0.22,0.187,0.08,
08/09,0.27,0.318,0.254,0.282,0.254,0.217,0.09,
08/10,0.297,0.348,0.279,0.309,0.279,0.237,0.0,
08/11,0.304,0.358,0.287,0.318,0.287,0.242,,
08/12,0.281,0.332,0.266,0.295,0.266,0.227,,
08/13,0.294,0.346,0.278,0.304,0.278,0.236,,
08/14,0.274,0.32,0.256,0.285,0.256,0.216,,
08/15,0.279,0.329,0.263,0.29,0.263,0.224,,
08/16,0.271,0.318,0.254,0.278,0.254,0.215,,
08/17,0.291,0.343,0.276,0.303,0.276,0.234,,
08/18,0.271,0.318,0.254,0.279,0.254,0.215,,
08/19,0.256,0.301,0.24,0.265,0.24,0.206,,
08/20,0.219,0.258,0.207,0.227,0.207,0.174,,
08/21,0.231,0.272,0.217,0.238,0.217,0.185,,
08/22,0.234,0.276,0.221,0.241,0.221,0.187,,
08/23,0.219,0.257,0.207,0.225,0.207,0.174,,
08/24,0.239,0.282,0.227,0.245,0.227,0.191,,
08/25,0.264,0.308,0.246,0.267,0.246,0.207,,
08/26,0.242,0.282,0.225,0.244,0.225,0.189,,
08/27,0.245,0.285,0.228,0.247,0.228,0.191,,
08/28,0.251,0.297,0.239,0.258,0.239,0.201,,
08/29,0.267,0.311,0.25,0.268,0.25,0.207,,
08/30,0.258,0.301,0.241,0.26,0.241,0.2,,
08/31,0.22,0.259,0.206,0.224,0.207,0.174,,
09/01,0.239,0.279,0.223,0.241,0.224,0.185,,
09/02,0.245,0.289,0.232,0.249,0.233,0.191,,
09/03,0.232,0.272,0.217,0.235,0.217,0.179,,
09/04,0.217,0.255,0.203,0.22,0.203,0.166,,
09/05,0.256,0.302,0.241,0.26,0.242,0.196,,
09/06,0.224,0.263,0.21,0.225,0.21,0.17,,
09/07,0.244,0.286,0.228,0.246,0.228,0.185,,
09/08,0.244,0.285,0.227,0.246,0.228,0.184,,
09/09,0.234,0.275,0.219,0.238,0.22,0.174,,
09/10,0.217,0.256,0.203,0.222,0.204,0.162,,
09/11,0.223,0.262,0.207,0.225,0.21,0.166,,
09/12,0.211,0.248,0.196,0.214,0.197,0.157,,
09/13,0.213,0.25,0.197,0.215,0.199,0.157,,
09/14,0.189,0.221,0.173,0.189,0.177,0.137,,
09/15,0.192,0.225,0.176,0.192,0.181,0.14,,
09/16,0.188,0.221,0.174,0.188,0.176,0.137,,
09/17,0.186,0.217,0.17,0.185,0.173,0.134,,
09/18,0.205,0.241,0.187,0.205,0.192,0.148,,
09/19,0.182,0.213,0.163,0.182,0.171,0.131,,
09/20,0.165,0.193,0.148,0.163,0.154,0.118,,
09/21,0.15,0.176,0.135,0.149,0.142,0.105,,
09/22,0.152,0.179,0.136,0.15,0.143,0.103,,
09/23,0.161,0.188,0.145,0.158,0.151,0.106,,
09/24,0.172,0.203,0.155,0.17,0.162,0.115,,
09/25,0.188,0.221,0.167,0.186,0.175,0.12,,
09/26,0.192,0.226,0.168,0.19,0.182,0.12,,
09/27,0.162,0.191,0.143,0.159,0.153,0.099,,
09/28,0.15,0.176,0.131,0.148,0.141,0.087,,
09/29,0.148,0.174,0.129,0.146,0.14,0.086,,
09/30,0.128,0.149,0.109,0.124,0.121,0.071,,
10/01,0.113,0.133,0.099,0.112,0.107,0.062,,
10/02,0.124,0.146,0.105,0.122,0.117,0.065,,
10/03,0.127,0.149,0.109,0.127,0.118,0.063,,
10/04,0.13,0.15,0.109,0.125,0.12,0.064,,
10/05,0.007,0.008,0.104,0.122,0.007,0.003,,
10/06,0.07,0.08,0.1,0.114,0.06,0.04,,
10/07,0.11,0.13,0.12,0.141,0.1,0.06,,
10/08,0.11,0.13,0.113,0.133,0.1,0.06,,
10/09,0.19,0.22,0.101,0.119,0.18,0.09,,
10/10,,,0.123,0.143,,,,
10/11,,,0.102,0.121,,,,
10/12,,,0.1,0.118,,,,
10/13,,,0.101,0.12,,,,
10/14,,,0.102,0.122,,,,
10/15,,,0.107,0.128,,,,
10/16,,,0.122,0.148,,,,
10/17,,,0.137,0.166,,,,
10/18,,,0.103,0.126,,,,
10/19,,,0.088,0.109,,,,
10/20,,,0.093,0.113,,,,
10/21,,,0.096,0.117,,,,
10/22,,,0.089,0.109,,,,
10/23,,,0.07,0.084,,,,
10/24,,,0.076,0.093,,,,
10/25,,,0.0,0.0,,,,
