# Station Code,legw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BEAN,BLGR,CGRP,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,SCRN,SGRN,WGRN,WGRP
03/15,0.05,0.05,0.021,0.048,,0.059,0.02,,0.062,0.052,0.049,0.017,,0.04,,0.025,0.076,
03/16,0.058,0.058,0.021,0.049,,0.062,0.02,,0.069,0.049,0.055,0.023,,0.04,,0.03,0.086,
03/17,0.062,0.062,0.021,0.046,,0.068,0.015,,0.075,0.048,0.059,0.023,,0.07,,0.028,0.088,
03/18,0.066,0.066,0.024,0.057,,0.081,0.02,,0.079,0.06,0.062,0.023,,0.05,,0.034,0.097,
03/19,0.075,0.075,0.024,0.054,,0.083,0.02,,0.086,0.058,0.067,0.03,,0.03,,0.037,0.105,
03/20,0.07,0.07,0.026,0.052,,0.082,0.018,,0.079,0.055,0.062,0.023,,0.04,,0.035,0.095,
03/21,0.067,0.067,0.026,0.052,,0.077,0.02,,0.078,0.059,0.058,0.03,,0.06,,0.037,0.092,
03/22,0.082,0.082,0.027,0.059,,0.094,0.022,,0.09,0.06,0.071,0.027,,0.04,,0.043,0.11,
03/23,0.091,0.091,0.033,0.067,,0.11,0.027,,0.103,0.075,0.081,0.033,,0.03,,0.055,0.125,
03/24,0.092,0.093,0.033,0.063,,0.104,0.025,,0.1,0.07,0.075,0.04,,0.04,,0.057,0.12,
03/25,0.075,0.076,0.024,0.054,,0.09,0.02,,0.082,0.053,0.062,0.026,,0.045,,0.049,0.098,0.02
03/26,0.102,0.104,0.039,0.07,,0.117,0.028,,0.109,0.07,0.085,0.036,,0.045,,0.068,0.131,0.03
03/27,0.1,0.103,0.033,0.066,,0.113,0.026,,0.109,0.068,0.084,0.031,,0.045,,0.075,0.13,0.03
03/28,0.115,0.118,0.049,0.08,,0.141,0.033,,0.125,0.08,0.096,0.037,,0.035,,0.083,0.148,0.035
03/29,0.107,0.113,0.044,0.067,,0.118,0.031,,0.11,0.07,0.088,0.036,,0.055,,0.084,0.132,0.035
03/30,0.12,0.125,0.046,0.077,,0.138,0.029,,0.125,0.078,0.099,0.039,,0.055,,0.094,0.152,0.03
03/31,0.122,0.128,0.049,0.075,,0.142,0.033,,0.124,0.077,0.1,0.043,,0.07,,0.097,0.154,0.04
04/01,0.136,0.145,0.055,0.086,,0.16,0.035,,0.139,0.092,0.11,0.041,,0.075,,0.111,0.168,0.03
04/02,0.128,0.138,0.052,0.077,,0.146,0.03,,0.13,0.08,0.104,0.049,,0.05,,0.111,0.158,0.033
04/03,0.128,0.138,0.055,0.075,,0.146,0.031,,0.126,0.081,0.103,0.049,,0.085,,0.113,0.155,0.033
04/04,0.124,0.135,0.055,0.076,,0.137,0.031,,0.121,0.08,0.099,0.041,,0.065,,0.117,0.15,0.03
04/05,0.118,0.13,0.05,0.068,,0.137,0.029,,0.118,0.074,0.096,0.039,,0.048,,0.104,0.145,0.026
04/06,0.128,0.142,0.059,0.075,,0.142,0.033,,0.125,0.081,0.103,0.043,,0.057,,0.125,0.156,0.03
04/07,0.143,0.156,0.069,0.085,,0.162,0.038,,0.137,0.093,0.115,0.047,,0.062,,0.142,0.172,0.033
04/08,0.15,0.166,0.074,0.086,,0.166,0.042,,0.144,0.093,0.12,0.051,,0.065,,0.148,0.179,0.033
04/09,0.147,0.165,0.077,0.086,,0.164,0.04,,0.141,0.09,0.117,0.059,,0.07,,0.15,0.175,0.037
04/10,0.145,0.162,0.078,0.088,,0.164,0.043,0.06,0.14,0.091,0.115,0.053,,0.065,0.06,0.144,0.174,0.034
04/11,0.155,0.173,0.087,0.093,,0.174,0.045,0.055,0.147,0.094,0.124,0.059,,0.088,0.08,0.149,0.184,0.037
04/12,0.139,0.158,0.083,0.081,,0.152,0.042,0.04,0.132,0.084,0.109,0.053,,0.072,0.07,0.137,0.165,0.033
04/13,0.146,0.164,0.089,0.09,,0.164,0.045,0.055,0.139,0.092,0.117,0.052,,0.068,0.055,0.147,0.173,0.037
04/14,0.173,0.196,0.112,0.106,,0.2,0.057,0.07,0.164,0.109,0.138,0.07,,0.087,0.07,0.175,0.205,0.045
04/15,0.158,0.181,0.104,0.091,,0.172,0.053,0.046,0.148,0.098,0.124,0.054,,0.076,0.048,0.165,0.186,0.043
04/16,0.146,0.17,0.097,0.087,,0.165,0.05,0.046,0.138,0.091,0.117,0.055,,0.081,0.048,0.151,0.173,0.041
04/17,0.159,0.185,0.12,0.102,,0.19,0.06,0.062,0.152,0.103,0.128,0.067,,0.093,0.062,0.168,0.188,0.049
04/18,0.174,0.204,0.125,0.102,,0.195,0.065,0.056,0.167,0.106,0.139,0.072,,0.094,0.057,0.187,0.207,0.053
04/19,0.168,0.197,0.129,0.102,,0.19,0.065,0.062,0.158,0.103,0.135,0.074,,0.098,0.065,0.181,0.198,0.055
04/20,0.165,0.192,0.122,0.098,,0.188,0.066,0.058,0.154,0.103,0.132,0.074,0.075,0.106,0.062,0.18,0.194,0.057
04/21,0.172,0.202,0.137,0.108,,0.203,0.075,0.066,0.164,0.111,0.138,0.084,0.08,0.114,0.068,0.188,0.204,0.065
04/22,0.178,0.21,0.141,0.107,,0.203,0.073,0.062,0.168,0.112,0.145,0.085,0.08,0.12,0.067,0.195,0.21,0.065
04/23,0.186,0.218,0.153,0.117,,0.216,0.083,0.066,0.175,0.119,0.148,0.093,0.075,0.128,0.072,0.205,0.218,0.072
04/24,0.186,0.218,0.15,0.115,,0.21,0.082,0.062,0.175,0.116,0.148,0.096,0.08,0.127,0.067,0.205,0.218,0.073
04/25,0.173,0.204,0.149,0.112,,0.201,0.082,0.068,0.164,0.115,0.139,0.094,0.062,0.13,0.068,0.195,0.204,0.074
04/26,0.193,0.228,0.162,0.12,,0.219,0.091,0.073,0.184,0.12,0.154,0.11,0.076,0.149,0.073,0.218,0.228,0.083
04/27,0.21,0.247,0.18,0.129,,0.235,0.101,0.074,0.197,0.133,0.167,0.117,0.072,0.15,0.076,0.239,0.247,0.093
04/28,0.198,0.232,0.171,0.122,,0.223,0.095,0.072,0.186,0.125,0.158,0.119,0.072,0.151,0.072,0.222,0.232,0.089
04/29,0.192,0.226,0.172,0.121,,0.216,0.095,0.073,0.18,0.125,0.153,0.114,0.068,0.154,0.074,0.22,0.226,0.093
04/30,0.209,0.245,0.188,0.133,,0.238,0.105,0.073,0.195,0.135,0.167,0.122,0.062,0.157,0.074,0.238,0.245,0.101
05/01,0.205,0.242,0.194,0.133,0.05,0.236,0.112,0.077,0.194,0.137,0.165,0.141,0.078,0.165,0.077,0.236,0.242,0.103
05/02,0.185,0.218,0.173,0.117,0.06,0.206,0.103,0.071,0.176,0.125,0.148,0.126,0.07,0.155,0.072,0.216,0.218,0.096
05/03,0.212,0.248,0.198,0.133,0.05,0.233,0.118,0.082,0.198,0.141,0.168,0.15,0.084,0.183,0.082,0.245,0.248,0.113
05/04,0.22,0.258,0.216,0.143,0.07,0.252,0.127,0.087,0.207,0.154,0.174,0.161,0.09,0.197,0.087,0.255,0.258,0.122
05/05,0.192,0.225,0.188,0.122,0.06,0.216,0.104,0.074,0.179,0.127,0.152,0.147,0.077,0.163,0.071,0.223,0.225,0.107
05/06,0.203,0.239,0.203,0.133,0.067,0.23,0.114,0.078,0.192,0.136,0.163,0.155,0.082,0.176,0.077,0.238,0.239,0.117
05/07,0.215,0.252,0.217,0.142,0.067,0.243,0.125,0.086,0.202,0.152,0.172,0.181,0.09,0.195,0.085,0.251,0.252,0.131
05/08,0.212,0.248,0.219,0.142,0.067,0.24,0.128,0.086,0.199,0.152,0.169,0.185,0.089,0.199,0.085,0.248,0.248,0.134
05/09,0.216,0.253,0.221,0.139,0.063,0.238,0.129,0.086,0.204,0.154,0.172,0.184,0.09,0.196,0.085,0.252,0.253,0.138
05/10,0.213,0.251,0.223,0.142,0.057,0.241,0.13,0.085,0.2,0.156,0.17,0.179,0.087,0.187,0.084,0.25,0.251,0.138
05/11,0.21,0.245,0.222,0.14,0.058,0.235,0.128,0.084,0.196,0.156,0.168,0.183,0.088,0.187,0.084,0.245,0.245,0.138
05/12,0.22,0.258,0.23,0.146,0.067,0.243,0.138,0.088,0.206,0.166,0.175,0.195,0.093,0.198,0.088,0.257,0.258,0.146
05/13,0.217,0.255,0.228,0.145,0.052,0.241,0.137,0.081,0.205,0.164,0.173,0.193,0.086,0.193,0.087,0.255,0.255,0.146
05/14,0.198,0.232,0.208,0.131,0.05,0.218,0.126,0.074,0.184,0.152,0.159,0.172,0.078,0.175,0.078,0.232,0.232,0.133
05/15,0.178,0.211,0.191,0.118,0.045,0.198,0.115,0.074,0.168,0.138,0.143,0.158,0.076,0.159,0.074,0.211,0.211,0.124
05/16,0.205,0.24,0.212,0.133,0.056,0.216,0.133,0.082,0.192,0.159,0.164,0.188,0.086,0.182,0.084,0.24,0.24,0.138
05/17,0.203,0.238,0.217,0.136,0.064,0.218,0.138,0.086,0.191,0.163,0.164,0.194,0.093,0.191,0.087,0.238,0.238,0.143
05/18,0.209,0.248,0.229,0.147,0.065,0.231,0.147,0.091,0.197,0.175,0.168,0.211,0.102,0.204,0.092,0.248,0.248,0.152
05/19,0.211,0.248,0.228,0.145,0.066,0.226,0.146,0.091,0.198,0.175,0.17,0.21,0.101,0.203,0.093,0.248,0.248,0.15
05/20,0.196,0.232,0.213,0.137,0.062,0.211,0.137,0.085,0.185,0.168,0.158,0.198,0.093,0.192,0.087,0.232,0.232,0.139
05/21,0.185,0.216,0.202,0.128,0.06,0.194,0.133,0.084,0.173,0.163,0.147,0.187,0.093,0.185,0.085,0.216,0.216,0.131
05/22,0.208,0.246,0.227,0.148,0.073,0.217,0.152,0.096,0.198,0.186,0.168,0.216,0.108,0.208,0.099,0.246,0.246,0.152
05/23,0.217,0.254,0.246,0.159,0.081,0.234,0.17,0.111,0.204,0.203,0.172,0.226,0.125,0.229,0.114,0.254,0.254,0.167
05/24,0.222,0.26,0.245,0.161,0.082,0.23,0.168,0.11,0.208,0.204,0.176,0.236,0.122,0.229,0.112,0.26,0.26,0.162
05/25,0.199,0.235,0.222,0.147,0.088,0.207,0.157,0.099,0.189,0.189,0.158,0.214,0.113,0.208,0.107,0.235,0.235,0.149
05/26,0.22,0.258,0.236,0.158,0.088,0.215,0.166,0.107,0.206,0.201,0.176,0.231,0.12,0.223,0.111,0.258,0.258,0.156
05/27,0.22,0.259,0.243,0.164,0.094,0.223,0.173,0.108,0.208,0.208,0.177,0.237,0.126,0.231,0.114,0.259,0.259,0.163
05/28,0.238,0.28,0.267,0.179,0.11,0.238,0.193,0.124,0.224,0.233,0.191,0.258,0.142,0.254,0.131,0.28,0.28,0.177
05/29,0.226,0.265,0.249,0.171,0.111,0.218,0.187,0.117,0.212,0.221,0.179,0.238,0.138,0.239,0.127,0.265,0.265,0.168
05/30,0.232,0.272,0.256,0.175,0.115,0.219,0.188,0.124,0.216,0.229,0.186,0.237,0.144,0.246,0.126,0.272,0.272,0.171
05/31,0.212,0.248,0.233,0.164,0.119,0.193,0.176,0.113,0.199,0.21,0.17,0.223,0.134,0.224,0.118,0.248,0.248,0.158
06/01,0.229,0.271,0.258,0.181,0.131,0.21,0.198,0.129,0.218,0.237,0.183,0.238,0.154,0.246,0.132,0.271,0.268,0.174
06/02,0.249,0.292,0.279,0.199,0.149,0.223,0.219,0.145,0.233,0.262,0.198,0.25,0.173,0.268,0.149,0.292,0.29,0.189
06/03,0.242,0.284,0.265,0.188,0.14,0.203,0.204,0.137,0.228,0.246,0.193,0.237,0.164,0.256,0.14,0.284,0.282,0.18
06/04,0.23,0.269,0.251,0.182,0.144,0.177,0.198,0.135,0.216,0.235,0.184,0.217,0.161,0.242,0.137,0.269,0.267,0.169
06/05,0.228,0.266,0.252,0.182,0.151,0.173,0.201,0.139,0.214,0.238,0.182,0.211,0.167,0.24,0.14,0.266,0.262,0.17
06/06,0.237,0.278,0.267,0.196,0.165,0.176,0.214,0.147,0.222,0.255,0.19,0.217,0.176,0.254,0.151,0.278,0.272,0.18
06/07,0.232,0.273,0.262,0.194,0.167,0.156,0.209,0.147,0.218,0.248,0.185,0.2,0.179,0.248,0.15,0.273,0.265,0.175
06/08,0.237,0.279,0.267,0.203,0.189,0.153,0.221,0.158,0.224,0.262,0.188,0.201,0.191,0.254,0.161,0.279,0.265,0.179
06/09,0.215,0.252,0.238,0.182,0.165,0.128,0.195,0.142,0.203,0.231,0.171,0.174,0.171,0.228,0.145,0.252,0.238,0.163
06/10,0.24,0.283,0.271,0.206,0.182,0.139,0.224,0.163,0.228,0.264,0.192,0.193,0.196,0.257,0.165,0.283,0.263,0.183
06/11,0.227,0.266,0.254,0.197,0.175,0.122,0.209,0.155,0.211,0.249,0.182,0.169,0.187,0.242,0.159,0.266,0.243,0.172
06/12,0.222,0.261,0.245,0.188,0.17,0.11,0.203,0.152,0.208,0.241,0.176,0.158,0.182,0.232,0.155,0.261,0.237,0.166
06/13,0.272,0.32,0.313,0.244,0.223,0.137,0.262,0.198,0.256,0.31,0.218,0.199,0.239,0.297,0.201,0.32,0.292,0.211
06/14,0.264,0.31,0.298,0.237,0.226,0.122,0.251,0.19,0.248,0.297,0.211,0.176,0.231,0.283,0.194,0.31,0.273,0.201
06/15,0.212,0.248,0.238,0.19,0.187,0.093,0.201,0.153,0.199,0.237,0.17,0.133,0.188,0.225,0.157,0.248,0.214,0.162
06/16,0.24,0.283,0.274,0.221,0.219,0.102,0.232,0.18,0.226,0.273,0.192,0.143,0.218,0.259,0.184,0.283,0.235,0.186
06/17,0.239,0.28,0.286,0.233,0.231,0.104,0.243,0.191,0.225,0.286,0.189,0.146,0.231,0.267,0.194,0.279,0.229,0.192
06/18,0.222,0.26,0.252,0.207,0.207,0.089,0.215,0.173,0.208,0.253,0.175,0.119,0.209,0.236,0.177,0.257,0.202,0.169
06/19,0.254,0.298,0.283,0.233,0.238,0.097,0.239,0.198,0.239,0.286,0.202,0.126,0.236,0.268,0.201,0.295,0.226,0.191
06/20,0.254,0.297,0.283,0.236,0.242,0.092,0.241,0.202,0.237,0.286,0.201,0.126,0.238,0.264,0.205,0.291,0.218,0.191
06/21,0.244,0.287,0.28,0.234,0.244,0.088,0.238,0.203,0.231,0.283,0.195,0.112,0.238,0.26,0.207,0.278,0.202,0.188
06/22,0.267,0.315,0.306,0.261,0.276,0.095,0.261,0.224,0.252,0.31,0.213,0.109,0.266,0.283,0.228,0.3,0.215,0.205
06/23,0.273,0.32,0.309,0.264,0.28,0.095,0.264,0.231,0.255,0.312,0.218,0.105,0.27,0.289,0.237,0.298,0.208,0.208
06/24,0.259,0.305,0.297,0.255,0.27,0.088,0.253,0.223,0.244,0.3,0.205,0.097,0.261,0.276,0.229,0.281,0.192,0.197
06/25,0.255,0.298,0.297,0.257,0.273,0.079,0.253,0.23,0.239,0.3,0.202,0.059,0.264,0.275,0.233,0.269,0.182,0.198
06/26,0.242,0.285,0.285,0.249,0.263,0.082,0.241,0.223,0.229,0.286,0.195,0.144,0.252,0.262,0.227,0.245,0.167,0.188
06/27,0.262,0.306,0.302,0.265,0.286,0.086,0.258,0.241,0.245,0.304,0.207,0.142,0.27,0.273,0.244,0.26,0.17,0.201
06/28,0.285,0.336,0.327,0.288,0.309,0.093,0.278,0.266,0.269,0.331,0.229,0.148,0.297,0.292,0.269,0.275,0.181,0.217
06/29,0.272,0.322,0.317,0.282,0.302,0.087,0.268,0.254,0.256,0.32,0.218,0.122,0.286,0.28,0.261,0.258,0.165,0.208
06/30,0.274,0.325,0.322,0.289,0.307,0.086,0.27,0.263,0.261,0.324,0.221,0.116,0.292,0.286,0.268,0.248,0.159,0.212
07/01,0.292,0.343,0.336,0.305,0.322,0.076,0.286,0.281,0.275,0.34,0.232,0.098,0.307,0.283,0.286,0.259,0.138,0.222
07/02,0.29,0.34,0.341,0.311,0.326,0.096,0.291,0.293,0.273,0.344,0.23,0.19,0.313,0.311,0.296,0.245,0.173,0.225
07/03,0.308,0.362,0.353,0.322,0.337,0.093,0.299,0.301,0.289,0.356,0.247,0.167,0.323,0.322,0.306,0.252,0.168,0.232
07/04,0.286,0.335,0.333,0.306,0.318,0.087,0.283,0.292,0.266,0.333,0.226,0.133,0.307,0.298,0.297,0.218,0.146,0.218
07/05,0.282,0.332,0.33,0.306,0.312,0.029,0.278,0.292,0.265,0.33,0.224,0.107,0.302,0.298,0.295,0.211,0.14,0.214
07/06,0.283,0.334,0.333,0.311,0.316,0.087,0.28,0.297,0.266,0.334,0.226,0.34,0.305,0.301,0.302,0.201,0.137,0.216
07/07,0.292,0.344,0.346,0.323,0.328,0.09,0.291,0.31,0.276,0.347,0.235,0.36,0.318,0.312,0.316,0.198,0.136,0.226
07/08,0.277,0.326,0.325,0.307,0.308,0.097,0.273,0.294,0.261,0.326,0.222,0.35,0.301,0.292,0.298,0.179,0.122,0.213
07/09,0.298,0.349,0.347,0.332,0.331,0.097,0.294,0.323,0.278,0.348,0.238,0.37,0.321,0.31,0.327,0.175,0.118,0.227
07/10,0.295,0.348,0.344,0.33,0.327,0.0,0.292,0.323,0.277,0.345,0.235,0.3,0.318,0.305,0.328,0.125,0.039,0.223
07/11,0.282,0.332,0.333,0.323,0.318,,0.283,0.315,0.265,0.334,0.225,0.26,0.311,0.296,0.318,0.18,0.107,0.217
07/12,0.278,0.328,0.328,0.317,0.311,,0.276,0.311,0.263,0.328,0.222,0.32,0.303,0.292,0.315,0.174,0.123,0.213
07/13,0.282,0.333,0.335,0.324,0.318,,0.283,0.319,0.267,0.336,0.225,0.35,0.312,0.298,0.324,0.17,0.12,0.218
07/14,0.274,0.32,0.317,0.309,0.302,,0.271,0.307,0.255,0.318,0.216,0.24,0.295,0.277,0.31,0.152,0.1,0.208
07/15,0.302,0.355,0.359,0.352,0.341,,0.306,0.35,0.285,0.36,0.242,0.34,0.334,0.316,0.353,0.107,0.0,0.235
07/16,0.278,0.328,0.323,0.318,0.307,,0.275,0.316,0.262,0.324,0.223,0.2,0.301,0.282,0.319,0.177,,0.212
07/17,0.283,0.335,0.325,0.321,0.307,,0.275,0.319,0.268,0.325,0.228,0.18,0.302,0.276,0.323,0.16,,0.212
07/18,0.269,0.317,0.311,0.307,0.293,,0.264,0.305,0.254,0.31,0.216,0.19,0.289,0.264,0.309,0.158,,0.203
07/19,0.266,0.312,0.302,0.3,0.286,,0.258,0.299,0.248,0.3,0.212,0.28,0.279,0.255,0.302,0.138,,0.196
07/20,0.285,0.336,0.339,0.337,0.318,,0.288,0.337,0.27,0.335,0.229,0.27,0.312,0.285,0.338,0.11,,0.223
07/21,0.292,0.344,0.347,0.345,0.323,,0.295,0.344,0.275,0.343,0.232,0.18,0.319,0.29,0.346,0.167,,0.226
07/22,0.287,0.337,0.343,0.342,0.319,,0.293,0.341,0.269,0.337,0.229,0.19,0.315,0.281,0.342,0.153,,0.224
07/23,0.275,0.322,0.325,0.323,0.299,,0.278,0.323,0.256,0.312,0.219,0.2,0.298,0.267,0.322,0.12,,0.211
07/24,0.279,0.327,0.323,0.321,0.297,,0.276,0.32,0.262,0.308,0.222,0.21,0.293,0.264,0.317,0.123,,0.211
07/25,0.262,0.307,0.309,0.307,0.282,,0.264,0.307,0.245,0.293,0.209,0.19,0.281,0.246,0.302,0.043,,0.203
07/26,0.252,0.295,0.297,0.295,0.268,,0.253,0.295,0.235,0.276,0.199,0.2,0.266,0.237,0.289,0.14,,0.193
07/27,0.261,0.305,0.31,0.309,0.278,,0.265,0.309,0.243,0.284,0.208,0.24,0.278,0.243,0.302,0.11,,0.202
07/28,0.265,0.313,0.313,0.312,0.277,,0.266,0.312,0.25,0.281,0.213,0.18,0.281,0.244,0.303,0.11,,0.204
07/29,0.278,0.325,0.324,0.323,0.283,,0.277,0.323,0.261,0.286,0.221,0.19,0.288,0.253,0.311,0.1,,0.212
07/30,0.286,0.338,0.339,0.338,0.292,,0.288,0.337,0.27,0.292,0.23,0.17,0.298,0.265,0.323,0.09,,0.22
07/31,0.268,0.315,0.318,0.318,0.273,,0.271,0.317,0.253,0.268,0.213,0.15,0.279,0.253,0.301,0.1,,0.208
08/01,0.257,0.3,0.302,0.302,0.253,,0.258,0.3,0.239,0.246,0.204,0.16,0.262,0.234,0.283,0.0,,0.195
08/02,0.278,0.327,0.334,0.334,0.275,,0.285,0.331,0.262,0.26,0.222,0.15,0.286,0.257,0.312,,,0.218
08/03,0.249,0.293,0.296,0.296,0.238,,0.252,0.293,0.235,0.226,0.199,0.12,0.251,0.223,0.274,,,0.193
08/04,0.239,0.279,0.278,0.278,0.22,,0.238,0.273,0.222,0.204,0.189,0.13,0.235,0.205,0.253,,,0.181
08/05,0.232,0.274,0.269,0.269,0.208,,0.228,0.264,0.219,0.167,0.185,0.1,0.227,0.194,0.244,,,0.177
08/06,0.254,0.299,0.292,0.292,0.223,,0.248,0.288,0.239,0.219,0.203,0.12,0.244,0.205,0.264,,,0.19
08/07,0.251,0.294,0.289,0.289,0.213,,0.247,0.283,0.235,0.206,0.198,0.09,0.239,0.197,0.258,,,0.189
08/08,0.265,0.31,0.312,0.312,0.225,,0.267,0.302,0.246,0.219,0.212,0.11,0.258,0.215,0.276,,,0.203
08/09,0.239,0.28,0.28,0.28,0.199,,0.239,0.273,0.225,0.198,0.189,0.11,0.229,0.188,0.247,,,0.183
08/10,0.232,0.272,0.273,0.273,0.188,,0.233,0.263,0.216,0.143,0.185,0.1,0.223,0.179,0.207,,,0.177
08/11,0.249,0.292,0.298,0.298,0.201,,0.255,0.287,0.232,0.206,0.198,0.09,0.24,0.195,0.268,,,0.194
08/12,0.231,0.272,0.273,0.273,0.178,,0.232,0.259,0.218,0.184,0.185,0.1,0.217,0.172,0.231,,,0.178
08/13,0.228,0.269,0.271,0.271,0.168,,0.229,0.258,0.215,0.174,0.185,0.08,0.213,0.166,0.226,,,0.175
08/14,0.232,0.272,0.274,0.274,0.165,,0.234,0.259,0.217,0.18,0.185,0.07,0.212,0.166,0.224,,,0.178
08/15,0.232,0.27,0.275,0.275,0.16,,0.236,0.262,0.215,0.111,0.183,0.07,0.21,0.163,0.144,,,0.18
08/16,0.235,0.274,0.278,0.278,0.158,,0.238,0.261,0.218,0.2,0.186,0.07,0.208,0.164,0.245,,,0.182
08/17,0.238,0.279,0.284,0.284,0.154,,0.243,0.267,0.225,0.185,0.191,0.06,0.211,0.161,0.238,,,0.185
08/18,0.237,0.278,0.282,0.282,0.145,,0.24,0.262,0.222,0.172,0.191,0.07,0.208,0.155,0.245,,,0.184
08/19,0.224,0.264,0.263,0.265,0.13,,0.225,0.244,0.212,0.152,0.18,0.05,0.189,0.14,0.222,,,0.173
08/20,0.23,0.271,0.266,0.268,0.102,,0.228,0.246,0.216,0.055,0.182,0.04,0.158,0.139,0.105,,,0.173
08/21,0.255,0.301,0.297,0.3,0.142,,0.255,0.273,0.241,0.24,0.205,0.05,0.199,0.15,0.19,,,0.195
08/22,0.209,0.245,0.24,0.243,0.121,,0.208,0.223,0.195,0.27,0.168,0.04,0.175,0.118,0.207,,,0.158
08/23,0.212,0.248,0.247,0.252,0.116,,0.215,0.229,0.2,0.25,0.168,0.04,0.181,0.115,0.24,,,0.164
08/24,0.23,0.269,0.264,0.273,0.118,,0.233,0.246,0.215,0.21,0.181,0.05,0.183,0.118,0.223,,,0.178
08/25,0.195,0.229,0.222,0.232,0.053,,0.198,0.209,0.185,0.2,0.155,0.0,0.114,0.084,0.073,,,0.151
08/26,0.203,0.239,0.225,0.239,0.122,,0.203,0.213,0.191,0.19,0.162,,0.164,0.096,0.21,,,0.156
08/27,0.222,0.261,0.241,0.259,0.115,,0.22,0.231,0.208,0.18,0.176,,0.161,0.091,0.21,,,0.168
08/28,0.207,0.243,0.226,0.244,0.118,,0.208,0.217,0.194,0.19,0.163,,0.17,0.083,0.22,,,0.159
08/29,0.218,0.255,0.228,0.252,0.12,,0.214,0.222,0.204,0.23,0.171,,0.17,0.077,0.28,,,0.164
08/30,0.216,0.253,0.228,0.253,0.11,,0.217,0.22,0.202,0.19,0.169,,0.166,0.068,0.24,,,0.166
08/31,0.213,0.249,0.217,0.249,0.095,,0.213,0.216,0.199,0.18,0.168,,0.134,0.057,0.24,,,0.163
09/01,0.202,0.239,0.207,0.239,0.05,,0.203,0.205,0.192,0.15,0.161,,0.063,0.0,0.0,,,0.156
09/02,0.198,0.232,0.195,0.23,0.085,,0.198,0.197,0.186,0.13,0.154,,0.14,,,,,0.148
09/03,0.194,0.226,0.187,0.223,0.075,,0.191,0.191,0.182,0.12,0.15,,0.147,,,,,0.143
