# Station Code,acki
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
06/16,0.235,0.276,0.236,0.264,0.223,0.188,0.276,0.275
06/17,0.223,0.261,0.225,0.247,0.209,0.176,0.261,0.258
06/18,0.227,0.266,0.225,0.251,0.214,0.181,0.266,0.262
06/19,0.264,0.311,0.263,0.294,0.249,0.212,0.311,0.306
06/20,0.25,0.294,0.246,0.278,0.236,0.199,0.294,0.288
06/21,0.265,0.314,0.261,0.295,0.253,0.213,0.314,0.305
06/22,0.256,0.3,0.25,0.282,0.24,0.204,0.3,0.293
06/23,0.269,0.314,0.258,0.295,0.251,0.215,0.314,0.305
06/24,0.276,0.325,0.265,0.305,0.26,0.22,0.325,0.314
06/25,0.268,0.316,0.26,0.296,0.255,0.215,0.316,0.307
06/26,0.269,0.317,0.258,0.296,0.255,0.215,0.317,0.307
06/27,0.269,0.314,0.254,0.293,0.251,0.211,0.314,0.301
06/28,0.257,0.303,0.245,0.282,0.242,0.205,0.303,0.287
06/29,0.267,0.313,0.253,0.29,0.249,0.213,0.313,0.297
06/30,0.238,0.28,0.225,0.261,0.224,0.188,0.28,0.265
07/01,0.279,0.328,0.263,0.305,0.261,0.223,0.328,0.307
07/02,0.28,0.33,0.265,0.305,0.265,0.223,0.33,0.299
07/03,0.284,0.333,0.265,0.31,0.265,0.227,0.333,0.296
07/04,0.285,0.335,0.266,0.311,0.266,0.229,0.335,0.291
07/05,0.277,0.326,0.262,0.303,0.262,0.221,0.326,0.279
07/06,0.28,0.329,0.263,0.304,0.263,0.223,0.329,0.271
07/07,0.286,0.338,0.271,0.313,0.271,0.229,0.338,0.272
07/08,0.272,0.319,0.255,0.295,0.255,0.218,0.319,0.248
07/09,0.276,0.325,0.259,0.299,0.259,0.219,0.325,0.24
07/10,0.265,0.313,0.249,0.289,0.249,0.212,0.313,0.227
07/11,0.296,0.349,0.277,0.322,0.277,0.236,0.349,0.263
07/12,0.292,0.343,0.273,0.315,0.273,0.234,0.342,0.244
07/13,0.295,0.347,0.277,0.319,0.277,0.235,0.345,0.243
07/14,0.266,0.315,0.252,0.29,0.252,0.214,0.31,0.205
07/15,0.287,0.338,0.271,0.31,0.271,0.228,0.325,0.196
07/16,0.292,0.344,0.275,0.314,0.275,0.233,0.326,0.193
07/17,0.28,0.329,0.264,0.3,0.264,0.224,0.307,0.181
07/18,0.301,0.354,0.283,0.323,0.283,0.239,0.321,0.186
07/19,0.299,0.352,0.284,0.321,0.284,0.24,0.302,0.165
07/20,0.299,0.351,0.278,0.318,0.278,0.237,0.281,0.16
07/21,0.285,0.336,0.269,0.306,0.269,0.227,0.282,0.141
07/22,0.285,0.335,0.268,0.304,0.268,0.228,0.286,0.138
07/23,0.28,0.329,0.264,0.297,0.264,0.223,0.268,0.129
07/24,0.291,0.34,0.272,0.307,0.272,0.231,0.263,0.122
07/25,0.275,0.324,0.256,0.291,0.256,0.22,0.249,0.047
07/26,0.263,0.309,0.246,0.28,0.246,0.208,0.217,0.165
07/27,0.253,0.297,0.238,0.27,0.238,0.202,0.196,0.145
07/28,0.241,0.283,0.226,0.255,0.226,0.191,0.172,0.115
07/29,0.244,0.285,0.228,0.256,0.228,0.194,0.161,0.12
07/30,0.256,0.3,0.24,0.268,0.24,0.203,0.149,0.09
07/31,0.252,0.295,0.236,0.264,0.236,0.201,0.13,0.075
08/01,0.262,0.306,0.245,0.276,0.245,0.206,0.081,0.0
08/02,0.244,0.285,0.228,0.256,0.228,0.194,0.126,
08/03,0.257,0.302,0.242,0.271,0.242,0.205,0.114,
08/04,0.262,0.308,0.246,0.277,0.246,0.211,0.122,
08/05,0.223,0.261,0.208,0.234,0.208,0.178,0.052,
08/06,0.224,0.263,0.21,0.235,0.21,0.178,0.135,
08/07,0.243,0.286,0.23,0.255,0.23,0.194,0.125,
08/08,0.221,0.26,0.208,0.231,0.208,0.175,0.09,
08/09,0.252,0.297,0.238,0.265,0.238,0.202,0.1,
08/10,0.266,0.313,0.251,0.279,0.251,0.212,0.0,
08/11,0.262,0.308,0.247,0.275,0.247,0.21,,
08/12,0.275,0.322,0.257,0.287,0.257,0.219,,
08/13,0.248,0.291,0.234,0.257,0.234,0.196,,
08/14,0.234,0.275,0.218,0.244,0.218,0.185,,
08/15,0.249,0.292,0.233,0.26,0.233,0.198,,
08/16,0.234,0.275,0.22,0.244,0.22,0.187,,
08/17,0.25,0.293,0.233,0.259,0.233,0.198,,
08/18,0.244,0.285,0.228,0.252,0.228,0.194,,
08/19,0.232,0.272,0.216,0.239,0.216,0.184,,
08/20,0.212,0.247,0.197,0.218,0.197,0.168,,
08/21,0.216,0.255,0.203,0.225,0.203,0.174,,
08/22,0.218,0.257,0.206,0.226,0.206,0.176,,
08/23,0.209,0.245,0.195,0.215,0.195,0.167,,
08/24,0.215,0.253,0.202,0.221,0.202,0.172,,
08/25,0.228,0.267,0.214,0.231,0.214,0.181,,
08/26,0.201,0.237,0.19,0.206,0.19,0.159,,
08/27,0.22,0.258,0.207,0.225,0.207,0.174,,
08/28,0.235,0.275,0.219,0.24,0.219,0.184,,
08/29,0.244,0.287,0.229,0.25,0.229,0.192,,
08/30,0.239,0.28,0.224,0.244,0.224,0.185,,
08/31,0.215,0.252,0.203,0.22,0.203,0.167,,
09/01,0.236,0.278,0.222,0.24,0.222,0.185,,
09/02,0.232,0.274,0.219,0.237,0.219,0.179,,
09/03,0.221,0.26,0.208,0.224,0.208,0.172,,
09/04,0.192,0.227,0.183,0.196,0.183,0.149,,
09/05,0.212,0.25,0.2,0.215,0.2,0.163,,
09/06,0.201,0.236,0.189,0.205,0.189,0.155,,
09/07,0.217,0.255,0.204,0.219,0.204,0.165,,
09/08,0.225,0.265,0.213,0.227,0.213,0.17,,
09/09,0.215,0.253,0.202,0.217,0.202,0.163,,
09/10,0.198,0.232,0.185,0.2,0.185,0.147,,
09/11,0.197,0.232,0.185,0.199,0.186,0.148,,
09/12,0.18,0.213,0.168,0.182,0.169,0.135,,
09/13,0.191,0.223,0.176,0.192,0.179,0.141,,
09/14,0.173,0.204,0.161,0.173,0.163,0.127,,
09/15,0.171,0.202,0.158,0.171,0.162,0.125,,
09/16,0.175,0.205,0.162,0.175,0.164,0.127,,
09/17,0.15,0.176,0.14,0.15,0.141,0.108,,
09/18,0.192,0.226,0.175,0.192,0.182,0.138,,
09/19,0.169,0.199,0.155,0.169,0.159,0.121,,
09/20,0.154,0.18,0.139,0.153,0.145,0.109,,
09/21,0.137,0.162,0.125,0.137,0.129,0.096,,
09/22,0.13,0.154,0.117,0.13,0.125,0.09,,
09/23,0.147,0.173,0.134,0.145,0.138,0.098,,
09/24,0.166,0.195,0.147,0.164,0.156,0.107,,
09/25,0.184,0.215,0.165,0.18,0.171,0.117,,
09/26,0.167,0.197,0.149,0.165,0.157,0.105,,
09/27,0.14,0.165,0.122,0.138,0.132,0.085,,
09/28,0.142,0.168,0.126,0.141,0.135,0.085,,
09/29,0.137,0.16,0.119,0.135,0.127,0.078,,
09/30,0.115,0.135,0.099,0.113,0.108,0.065,,
10/01,0.106,0.125,0.093,0.106,0.1,0.059,,
10/02,0.118,0.139,0.103,0.117,0.112,0.063,,
10/03,0.116,0.137,0.1,0.116,0.11,0.058,,
10/04,0.122,0.144,0.103,0.121,0.114,0.059,,
10/05,0.009,0.01,0.109,0.124,0.008,0.005,,
10/06,0.08,0.09,0.091,0.106,0.07,0.04,,
10/07,0.14,0.16,0.104,0.12,0.13,0.07,,
10/08,0.12,0.14,0.099,0.115,0.11,0.06,,
10/09,0.16,0.19,0.094,0.109,0.15,0.08,,
10/10,0.0,0.0,0.112,0.132,0.0,0.0,,
10/11,,,0.105,0.125,,,,
10/12,,,0.085,0.103,,,,
10/13,,,0.087,0.105,,,,
10/14,,,0.097,0.117,,,,
10/15,,,0.094,0.114,,,,
10/16,,,0.103,0.125,,,,
10/17,,,0.1,0.121,,,,
10/18,,,0.084,0.101,,,,
10/19,,,0.073,0.089,,,,
10/20,,,0.084,0.103,,,,
10/21,,,0.098,0.122,,,,
10/22,,,0.084,0.101,,,,
10/23,,,0.064,0.077,,,,
10/24,,,0.069,0.086,,,,
10/25,,,0.0,0.0,,,,
