# Station Code,gerw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,HAYM,HAYP,LAWN,PAST,PEAS,POTA,PPMT,SCRN,SGRN,WGRN
05/02,0.181,0.212,0.122,,0.057,0.069,0.202,0.205,0.17,0.145,0.072,0.072,0.11,0.083,0.191,0.213
05/03,0.191,0.222,0.134,,0.062,0.074,0.21,0.212,0.176,0.152,0.08,0.08,0.12,0.077,0.198,0.222
05/04,0.199,0.234,0.143,,0.064,0.073,0.222,0.224,0.186,0.158,0.085,0.075,0.128,0.073,0.212,0.234
05/05,0.178,0.209,0.13,,0.056,0.069,0.198,0.201,0.166,0.142,0.077,0.073,0.117,0.062,0.189,0.209
05/06,0.194,0.228,0.148,,0.062,0.076,0.214,0.218,0.182,0.156,0.088,0.083,0.132,0.068,0.212,0.228
05/07,0.211,0.246,0.165,,0.068,0.082,0.232,0.236,0.197,0.168,0.098,0.089,0.147,0.082,0.232,0.246
05/08,0.21,0.246,0.172,,0.071,0.084,0.231,0.235,0.198,0.168,0.104,0.092,0.152,0.084,0.234,0.246
05/09,0.208,0.244,0.166,,0.066,0.079,0.23,0.234,0.195,0.167,0.104,0.085,0.152,0.072,0.232,0.244
05/10,0.208,0.244,0.174,,0.071,0.077,0.23,0.234,0.196,0.165,0.105,0.086,0.153,0.068,0.233,0.244
05/11,0.205,0.242,0.177,,0.072,0.08,0.226,0.232,0.192,0.165,0.109,0.095,0.156,0.074,0.234,0.242
05/12,0.193,0.225,0.165,,0.067,0.071,0.212,0.216,0.181,0.152,0.104,0.081,0.147,0.066,0.217,0.225
05/13,0.206,0.243,0.182,,0.073,0.079,0.226,0.233,0.195,0.165,0.115,0.09,0.161,0.068,0.235,0.243
05/14,0.183,0.214,0.166,,0.066,0.073,0.197,0.203,0.171,0.146,0.108,0.081,0.145,0.058,0.209,0.214
05/15,0.171,0.199,0.163,0.06,0.062,0.064,0.184,0.192,0.16,0.135,0.105,0.08,0.138,0.07,0.198,0.199
05/16,0.192,0.224,0.189,0.07,0.073,0.075,0.207,0.215,0.18,0.152,0.13,0.096,0.166,0.087,0.222,0.224
05/17,0.195,0.228,0.191,0.06,0.076,0.077,0.209,0.218,0.182,0.157,0.133,0.095,0.169,0.08,0.226,0.228
05/18,0.203,0.238,0.202,0.06,0.081,0.084,0.216,0.228,0.191,0.162,0.145,0.101,0.178,0.081,0.236,0.238
05/19,0.203,0.238,0.199,0.05,0.081,0.084,0.215,0.228,0.191,0.162,0.142,0.098,0.178,0.077,0.235,0.238
05/20,0.201,0.236,0.204,0.04,0.082,0.084,0.214,0.225,0.188,0.161,0.15,0.101,0.182,0.079,0.235,0.236
05/21,0.19,0.225,0.198,0.03,0.082,0.082,0.204,0.215,0.18,0.153,0.151,0.102,0.178,0.077,0.224,0.225
05/22,0.209,0.245,0.218,0.05,0.092,0.091,0.218,0.233,0.196,0.166,0.171,0.115,0.196,0.086,0.244,0.245
05/23,0.231,0.272,0.245,0.07,0.103,0.103,0.242,0.259,0.218,0.185,0.195,0.125,0.218,0.1,0.27,0.272
05/24,0.208,0.246,0.223,0.06,0.095,0.095,0.218,0.235,0.197,0.167,0.181,0.121,0.201,0.09,0.245,0.246
05/25,0.195,0.229,0.212,0.058,0.092,0.089,0.202,0.218,0.182,0.155,0.172,0.107,0.189,0.085,0.229,0.229
05/26,0.215,0.252,0.233,0.055,0.103,0.1,0.221,0.241,0.202,0.172,0.195,0.122,0.211,0.095,0.252,0.252
05/27,0.22,0.258,0.238,0.06,0.107,0.104,0.227,0.245,0.206,0.175,0.201,0.125,0.216,0.095,0.258,0.258
05/28,0.223,0.262,0.244,0.065,0.112,0.108,0.228,0.249,0.21,0.178,0.209,0.131,0.224,0.097,0.262,0.262
05/29,0.227,0.265,0.248,0.073,0.115,0.112,0.23,0.253,0.212,0.18,0.218,0.137,0.228,0.099,0.265,0.265
05/30,0.215,0.253,0.238,0.07,0.114,0.108,0.218,0.242,0.202,0.172,0.211,0.133,0.218,0.095,0.253,0.253
05/31,0.199,0.235,0.22,0.07,0.11,0.104,0.202,0.222,0.189,0.159,0.202,0.129,0.205,0.095,0.235,0.235
06/01,0.231,0.272,0.256,0.07,0.127,0.121,0.232,0.256,0.218,0.185,0.233,0.153,0.238,0.104,0.272,0.272
06/02,0.245,0.289,0.275,0.083,0.139,0.132,0.247,0.274,0.232,0.196,0.256,0.167,0.257,0.111,0.289,0.289
06/03,0.241,0.284,0.269,0.073,0.139,0.132,0.241,0.269,0.228,0.194,0.253,0.166,0.252,0.108,0.284,0.284
06/04,0.249,0.292,0.278,0.068,0.149,0.141,0.247,0.274,0.233,0.198,0.265,0.18,0.262,0.115,0.292,0.291
06/05,0.228,0.268,0.255,0.073,0.14,0.132,0.225,0.253,0.214,0.182,0.247,0.168,0.241,0.109,0.268,0.267
06/06,0.244,0.286,0.274,0.084,0.152,0.144,0.238,0.269,0.229,0.194,0.265,0.182,0.258,0.117,0.286,0.285
06/07,0.247,0.29,0.276,0.085,0.161,0.152,0.242,0.272,0.232,0.195,0.272,0.192,0.265,0.123,0.29,0.288
06/08,0.228,0.269,0.256,0.091,0.152,0.146,0.222,0.253,0.215,0.182,0.258,0.187,0.248,0.118,0.269,0.266
06/09,0.208,0.246,0.234,0.091,0.145,0.138,0.202,0.23,0.197,0.167,0.236,0.175,0.228,0.114,0.246,0.241
06/10,0.242,0.284,0.27,0.106,0.167,0.158,0.233,0.265,0.227,0.193,0.271,0.202,0.263,0.132,0.284,0.277
06/11,0.24,0.28,0.269,0.105,0.168,0.16,0.229,0.262,0.225,0.191,0.265,0.201,0.261,0.13,0.28,0.272
06/12,0.235,0.276,0.265,0.108,0.169,0.16,0.225,0.257,0.22,0.188,0.26,0.202,0.257,0.129,0.276,0.266
06/13,0.269,0.316,0.302,0.122,0.192,0.181,0.258,0.296,0.253,0.215,0.297,0.225,0.295,0.142,0.316,0.306
06/14,0.257,0.302,0.29,0.127,0.19,0.18,0.245,0.282,0.242,0.205,0.284,0.225,0.284,0.142,0.302,0.289
06/15,0.223,0.261,0.249,0.109,0.168,0.158,0.212,0.243,0.21,0.176,0.245,0.198,0.245,0.128,0.261,0.245
06/16,0.215,0.254,0.244,0.11,0.167,0.158,0.204,0.237,0.202,0.172,0.236,0.194,0.239,0.125,0.254,0.239
06/17,0.256,0.299,0.288,0.142,0.197,0.188,0.242,0.278,0.24,0.203,0.277,0.232,0.283,0.152,0.299,0.276
06/18,0.221,0.258,0.248,0.128,0.177,0.168,0.206,0.238,0.205,0.175,0.23,0.204,0.243,0.137,0.258,0.233
06/19,0.252,0.295,0.282,0.151,0.206,0.195,0.236,0.273,0.235,0.2,0.262,0.236,0.279,0.16,0.295,0.264
06/20,0.246,0.288,0.278,0.166,0.208,0.199,0.232,0.268,0.231,0.196,0.242,0.236,0.275,0.164,0.288,0.256
06/21,0.241,0.282,0.272,0.168,0.208,0.198,0.226,0.262,0.226,0.192,0.235,0.236,0.268,0.163,0.282,0.248
06/22,0.249,0.293,0.283,0.182,0.219,0.208,0.235,0.271,0.235,0.199,0.242,0.249,0.278,0.171,0.293,0.251
06/23,0.258,0.303,0.292,0.189,0.232,0.219,0.242,0.282,0.242,0.205,0.245,0.262,0.288,0.18,0.303,0.252
06/24,0.26,0.306,0.297,0.204,0.239,0.225,0.245,0.283,0.245,0.207,0.24,0.265,0.289,0.188,0.306,0.245
06/25,0.248,0.292,0.284,0.199,0.234,0.219,0.234,0.271,0.234,0.198,0.224,0.256,0.278,0.182,0.292,0.227
06/26,0.236,0.276,0.268,0.195,0.227,0.214,0.222,0.255,0.222,0.188,0.198,0.245,0.263,0.177,0.274,0.21
06/27,0.25,0.292,0.284,0.224,0.245,0.23,0.234,0.27,0.234,0.198,0.198,0.262,0.278,0.194,0.29,0.212
06/28,0.274,0.322,0.314,0.25,0.275,0.257,0.258,0.297,0.258,0.218,0.213,0.288,0.306,0.218,0.317,0.226
06/29,0.275,0.323,0.315,0.257,0.28,0.262,0.258,0.296,0.258,0.219,0.212,0.29,0.307,0.222,0.315,0.22
06/30,0.268,0.314,0.308,0.252,0.278,0.258,0.25,0.288,0.25,0.214,0.198,0.283,0.298,0.218,0.3,0.204
07/01,0.295,0.347,0.34,0.287,0.312,0.289,0.278,0.32,0.278,0.236,0.202,0.314,0.33,0.245,0.329,0.209
07/02,0.27,0.318,0.311,0.268,0.29,0.27,0.255,0.292,0.255,0.216,0.19,0.288,0.301,0.228,0.301,0.2
07/03,0.295,0.346,0.34,0.299,0.32,0.302,0.277,0.318,0.277,0.236,0.193,0.315,0.33,0.26,0.317,0.196
07/04,0.264,0.312,0.307,0.275,0.295,0.276,0.252,0.287,0.252,0.212,0.168,0.286,0.297,0.237,0.282,0.174
07/05,0.267,0.313,0.308,0.279,0.298,0.28,0.25,0.285,0.25,0.212,0.163,0.287,0.298,0.242,0.276,0.147
07/06,0.27,0.316,0.312,0.285,0.304,0.285,0.253,0.288,0.253,0.216,0.157,0.291,0.301,0.248,0.276,0.174
07/07,0.274,0.322,0.318,0.289,0.31,0.292,0.256,0.294,0.256,0.218,0.154,0.297,0.305,0.251,0.28,0.173
07/08,0.258,0.303,0.3,0.276,0.294,0.28,0.242,0.276,0.242,0.206,0.133,0.281,0.287,0.245,0.252,0.153
07/09,0.275,0.322,0.319,0.298,0.318,0.303,0.256,0.293,0.256,0.216,0.128,0.298,0.306,0.267,0.257,0.156
07/10,0.292,0.345,0.342,0.32,0.342,0.327,0.276,0.313,0.276,0.235,0.116,0.32,0.327,0.287,0.265,0.158
07/11,0.279,0.328,0.325,0.306,0.325,0.312,0.262,0.298,0.262,0.224,0.148,0.305,0.312,0.273,0.244,0.145
07/12,0.26,0.305,0.305,0.286,0.303,0.293,0.244,0.278,0.244,0.207,0.126,0.285,0.29,0.26,0.219,0.134
07/13,0.278,0.328,0.327,0.308,0.326,0.318,0.264,0.298,0.264,0.223,0.128,0.305,0.312,0.283,0.233,0.139
07/14,0.295,0.348,0.348,0.329,0.348,0.341,0.279,0.316,0.279,0.237,0.123,0.325,0.331,0.305,0.231,0.134
07/15,0.287,0.338,0.338,0.318,0.338,0.333,0.271,0.305,0.271,0.23,0.102,0.315,0.32,0.301,0.191,0.053
07/16,0.283,0.331,0.331,0.314,0.331,0.327,0.265,0.299,0.265,0.224,0.105,0.307,0.315,0.298,0.233,0.187
07/17,0.274,0.32,0.32,0.305,0.32,0.317,0.255,0.288,0.255,0.217,0.092,0.298,0.305,0.293,0.219,0.183
07/18,0.273,0.321,0.321,0.304,0.321,0.318,0.256,0.288,0.256,0.218,0.096,0.298,0.304,0.295,0.217,0.18
07/19,0.268,0.316,0.316,0.301,0.316,0.316,0.252,0.284,0.252,0.215,0.079,0.293,0.301,0.296,0.19,0.15
07/20,0.284,0.334,0.334,0.317,0.334,0.334,0.269,0.301,0.269,0.227,0.045,0.308,0.292,0.317,0.186,0.107
07/21,0.283,0.334,0.334,0.317,0.334,0.334,0.267,0.298,0.267,0.228,0.095,0.308,0.323,0.316,0.203,0.3
07/22,0.278,0.326,0.326,0.31,0.326,0.326,0.261,0.294,0.261,0.222,0.095,0.301,0.312,0.311,0.199,0.32
07/23,0.278,0.327,0.327,0.311,0.327,0.327,0.262,0.293,0.262,0.223,0.087,0.303,0.307,0.316,0.186,0.29
07/24,0.276,0.323,0.323,0.305,0.323,0.323,0.258,0.289,0.258,0.218,0.077,0.298,0.306,0.315,0.172,0.28
07/25,0.25,0.293,0.293,0.276,0.293,0.293,0.235,0.263,0.235,0.199,0.033,0.268,0.212,0.288,0.094,0.28
07/26,0.267,0.312,0.312,0.295,0.312,0.312,0.249,0.281,0.249,0.212,0.08,0.285,0.296,0.308,0.22,0.29
07/27,0.273,0.32,0.32,0.3,0.32,0.32,0.256,0.286,0.256,0.218,0.085,0.291,0.307,0.315,0.225,0.29
07/28,0.256,0.3,0.3,0.28,0.3,0.3,0.24,0.268,0.24,0.203,0.07,0.274,0.286,0.294,0.208,0.31
07/29,0.258,0.303,0.303,0.282,0.303,0.301,0.243,0.272,0.243,0.205,0.06,0.275,0.283,0.297,0.208,0.32
07/30,0.287,0.338,0.338,0.311,0.338,0.335,0.27,0.302,0.27,0.23,0.065,0.305,0.3,0.331,0.203,0.3
07/31,0.279,0.328,0.328,0.3,0.328,0.325,0.262,0.293,0.262,0.222,0.055,0.295,0.302,0.321,0.208,0.33
08/01,0.253,0.297,0.297,0.27,0.297,0.295,0.239,0.265,0.239,0.202,0.0,0.267,0.248,0.29,0.188,0.31
08/02,0.269,0.316,0.316,0.286,0.316,0.313,0.254,0.282,0.254,0.215,,0.282,0.29,0.308,0.215,0.42
08/03,0.255,0.298,0.298,0.267,0.298,0.294,0.238,0.266,0.238,0.202,,0.264,0.279,0.288,0.193,0.38
08/04,0.253,0.297,0.297,0.262,0.297,0.292,0.238,0.263,0.238,0.202,,0.262,0.265,0.285,0.177,0.38
08/05,0.234,0.275,0.275,0.237,0.275,0.269,0.22,0.245,0.22,0.188,,0.24,0.077,0.262,0.072,0.24
08/06,0.252,0.298,0.298,0.256,0.298,0.291,0.238,0.264,0.238,0.202,,0.259,0.257,0.285,0.185,0.25
08/07,0.238,0.279,0.279,0.236,0.278,0.272,0.222,0.248,0.222,0.188,,0.242,0.23,0.267,0.145,0.23
08/08,0.238,0.28,0.28,0.233,0.278,0.272,0.224,0.248,0.224,0.189,,0.241,0.273,0.267,0.165,0.23
08/09,0.221,0.258,0.258,0.214,0.258,0.249,0.207,0.228,0.207,0.175,,0.221,0.243,0.243,0.17,0.22
08/10,0.23,0.27,0.27,0.219,0.268,0.259,0.215,0.237,0.215,0.184,,0.23,0.063,0.222,0.165,0.22
08/11,0.248,0.292,0.292,0.232,0.288,0.28,0.235,0.258,0.235,0.198,,0.246,0.23,0.281,0.185,0.25
08/12,0.238,0.28,0.28,0.215,0.277,0.265,0.224,0.248,0.224,0.19,,0.235,0.21,0.253,0.18,0.25
08/13,0.232,0.272,0.272,0.205,0.267,0.258,0.218,0.241,0.218,0.184,,0.229,0.2,0.258,0.195,0.29
08/14,0.233,0.274,0.274,0.2,0.267,0.256,0.219,0.241,0.219,0.187,,0.228,0.25,0.248,0.14,0.2
08/15,0.23,0.269,0.269,0.195,0.261,0.253,0.215,0.236,0.215,0.182,,0.223,0.0,0.255,0.095,0.19
08/16,0.236,0.275,0.275,0.195,0.268,0.257,0.22,0.242,0.22,0.187,,0.227,,0.262,0.19,0.19
08/17,0.219,0.255,0.255,0.175,0.246,0.236,0.205,0.222,0.205,0.175,,0.21,,0.24,0.22,0.22
08/18,0.238,0.279,0.277,0.183,0.269,0.257,0.223,0.244,0.223,0.19,,0.227,,0.258,0.24,0.24
08/19,0.235,0.275,0.271,0.172,0.263,0.25,0.222,0.239,0.222,0.186,,0.222,,0.236,0.22,0.22
08/20,0.216,0.252,0.248,0.152,0.24,0.229,0.201,0.218,0.201,0.172,,0.202,,0.191,0.19,0.19
08/21,0.225,0.265,0.258,0.152,0.249,0.239,0.211,0.231,0.211,0.18,,0.209,,0.215,0.2,0.2
08/22,0.209,0.245,0.24,0.139,0.232,0.221,0.196,0.214,0.196,0.167,,0.193,,0.215,0.2,0.2
08/23,0.207,0.243,0.235,0.133,0.228,0.217,0.196,0.211,0.196,0.165,,0.19,,0.218,0.2,0.2
08/24,0.202,0.238,0.226,0.122,0.221,0.212,0.189,0.207,0.189,0.162,,0.182,,0.206,0.2,0.2
08/25,0.194,0.228,0.215,0.092,0.213,0.202,0.182,0.199,0.182,0.153,,0.175,,0.16,0.17,0.17
08/26,0.194,0.227,0.211,0.124,0.208,0.2,0.182,0.196,0.182,0.152,,0.172,,0.186,0.25,0.25
08/27,0.215,0.253,0.23,0.124,0.232,0.222,0.204,0.218,0.204,0.171,,0.188,,0.206,0.2,0.2
08/28,0.197,0.231,0.21,0.114,0.21,0.202,0.185,0.199,0.185,0.155,,0.172,,0.2,0.15,0.15
08/29,0.2,0.234,0.208,0.106,0.212,0.202,0.186,0.202,0.186,0.155,,0.168,,0.195,0.13,0.13
08/30,0.211,0.248,0.219,0.117,0.224,0.214,0.201,0.215,0.201,0.165,,0.178,,0.217,0.15,0.15
08/31,0.201,0.236,0.202,0.096,0.21,0.202,0.188,0.204,0.188,0.155,,0.167,,0.188,0.16,0.16
09/01,0.198,0.235,0.198,0.071,0.208,0.185,0.185,0.203,0.186,0.155,,0.163,,0.07,0.19,0.19
09/02,0.202,0.236,0.194,0.089,0.208,0.203,0.188,0.204,0.188,0.156,,0.158,,0.173,0.13,0.13
09/03,0.179,0.211,0.17,0.08,0.185,0.177,0.169,0.182,0.169,0.138,,0.139,,0.183,0.11,0.11
09/04,0.172,0.202,0.162,0.069,0.175,0.17,0.162,0.172,0.162,0.132,,0.131,,0.173,0.15,0.15
09/05,0.178,0.209,0.164,0.0,0.181,0.129,0.166,0.181,0.167,0.137,,0.106,,0.113,0.15,0.15
09/06,0.161,0.188,0.143,,0.163,0.161,0.15,0.162,0.151,0.123,,0.126,,0.14,0.11,0.11
09/07,0.177,0.208,0.155,,0.178,0.172,0.165,0.178,0.167,0.135,,0.131,,0.175,0.18,0.18
09/08,0.179,0.212,0.155,,0.181,0.166,0.167,0.181,0.168,0.138,,0.123,,0.165,0.14,0.14
09/09,0.174,0.205,0.146,,0.174,0.169,0.162,0.175,0.164,0.132,,0.123,,0.15,0.15,0.15
09/10,0.172,0.203,0.143,,0.17,0.124,0.161,0.172,0.162,0.131,,0.073,,0.085,0.11,0.11
09/11,0.158,0.186,0.127,,0.156,0.137,0.148,0.159,0.149,0.119,,0.126,,0.18,0.07,0.07
09/12,0.163,0.192,0.13,,0.159,0.14,0.152,0.164,0.155,0.121,,0.134,,0.19,0.06,0.06
09/13,0.165,0.194,0.128,,0.16,0.143,0.152,0.165,0.155,0.123,,0.128,,0.19,0.07,0.07
09/14,0.133,0.156,0.101,,0.128,0.114,0.124,0.133,0.125,0.098,,0.1,,0.17,0.06,0.06
09/15,0.134,0.158,0.099,,0.128,0.027,0.124,0.133,0.127,0.098,,0.088,,0.18,0.06,0.06
09/16,0.134,0.159,0.099,,0.131,0.14,0.125,0.134,0.127,0.099,,0.09,,0.16,0.09,0.09
09/17,0.127,0.148,0.089,,0.119,0.12,0.114,0.126,0.118,0.092,,0.094,,0.1,0.07,0.07
09/18,0.15,0.175,0.103,,0.139,0.115,0.135,0.15,0.141,0.109,,0.098,,0.12,0.08,0.08
09/19,0.145,0.171,0.098,,0.134,0.105,0.131,0.144,0.137,0.105,,0.086,,0.14,0.06,0.06
09/20,0.14,0.164,0.089,,0.128,0.0,0.126,0.14,0.132,0.1,,0.0,,0.14,0.11,0.11
09/21,0.126,0.148,0.082,,0.115,,0.112,0.125,0.119,0.09,,,,0.13,0.07,0.07
09/22,0.121,0.142,0.073,,0.109,,0.108,0.119,0.114,0.085,,,,0.09,0.1,0.1
09/23,0.112,0.131,0.068,,0.1,,0.098,0.109,0.105,0.078,,,,0.14,0.07,0.07
