# Station Code,bato
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,LAWN,ONYN,PAST,POTA,SGRN,WGRN
04/17,0.077,0.079,,0.096,,0.072,,,0.104
04/18,0.088,0.089,,0.108,,0.084,,,0.116
04/19,0.093,0.094,,0.107,,0.082,,,0.114
04/20,0.083,0.086,,0.1,,0.074,,,0.109
04/21,0.099,0.102,,0.121,,0.089,,,0.128
04/22,0.091,0.094,,0.113,,0.084,,,0.119
04/23,0.096,0.099,,0.119,,0.087,,,0.126
04/24,0.093,0.097,,0.112,,0.084,,,0.119
04/25,0.098,0.103,,0.113,,0.086,,,0.122
04/26,0.108,0.112,,0.122,,0.092,,,0.133
04/27,0.111,0.115,,0.128,,0.097,,,0.136
04/28,0.119,0.125,,0.139,,0.105,,,0.15
04/29,0.125,0.129,,0.142,,0.107,,,0.153
04/30,0.137,0.142,,0.153,,0.118,,,0.167
05/01,0.142,0.149,,0.151,0.06,0.118,,,0.168
05/02,0.138,0.148,,0.146,0.05,0.115,,,0.164
05/03,0.146,0.155,,0.155,0.05,0.122,,,0.172
05/04,0.151,0.16,,0.158,0.05,0.126,,,0.178
05/05,0.138,0.146,,0.142,0.03,0.115,,,0.162
05/06,0.144,0.157,,0.148,0.05,0.118,,,0.171
05/07,0.148,0.162,,0.149,0.07,0.121,,,0.174
05/08,0.142,0.155,,0.142,0.075,0.115,,,0.168
05/09,0.159,0.172,,0.157,0.08,0.129,,,0.185
05/10,0.164,0.178,,0.162,0.067,0.132,,0.03,0.191
05/11,0.158,0.172,,0.155,0.067,0.128,,0.035,0.185
05/12,0.158,0.173,,0.155,0.071,0.128,,0.04,0.185
05/13,0.173,0.189,,0.168,0.08,0.138,,0.05,0.2
05/14,0.16,0.176,,0.155,0.08,0.128,,0.04,0.185
05/15,0.163,0.179,,0.157,0.083,0.131,,0.05,0.188
05/16,0.147,0.164,,0.14,0.083,0.118,,0.04,0.171
05/17,0.166,0.186,,0.158,0.093,0.133,,0.05,0.194
05/18,0.158,0.178,,0.151,0.091,0.126,,0.05,0.185
05/19,0.155,0.175,,0.148,0.092,0.124,,0.047,0.18
05/20,0.156,0.177,,0.148,0.093,0.125,0.053,0.043,0.182
05/21,0.151,0.174,,0.144,0.09,0.122,0.057,0.043,0.177
05/22,0.157,0.182,,0.148,0.092,0.126,0.06,0.047,0.183
05/23,0.159,0.186,,0.151,0.095,0.128,0.057,0.053,0.187
05/24,0.183,0.213,,0.172,0.108,0.144,0.067,0.07,0.213
05/25,0.168,0.195,,0.158,0.102,0.135,0.077,0.046,0.196
05/26,0.165,0.194,,0.155,0.099,0.132,0.068,0.047,0.195
05/27,0.166,0.196,,0.156,0.101,0.133,0.065,0.05,0.196
05/28,0.173,0.204,,0.164,0.105,0.139,0.065,0.052,0.203
05/29,0.198,0.232,,0.185,0.119,0.158,0.07,0.064,0.232
05/30,0.188,0.22,,0.176,0.112,0.15,0.07,0.062,0.22
05/31,0.178,0.21,,0.168,0.108,0.144,0.07,0.064,0.21
06/01,0.188,0.222,0.045,0.177,0.112,0.152,0.068,0.075,0.222
06/02,0.201,0.236,0.045,0.188,0.12,0.161,0.076,0.083,0.236
06/03,0.208,0.245,0.04,0.197,0.125,0.166,0.082,0.089,0.245
06/04,0.195,0.228,0.03,0.182,0.117,0.155,0.076,0.086,0.228
06/05,0.202,0.236,0.054,0.19,0.12,0.162,0.083,0.099,0.236
06/06,0.191,0.223,0.05,0.179,0.115,0.151,0.078,0.102,0.223
06/07,0.198,0.233,0.052,0.188,0.118,0.158,0.078,0.116,0.233
06/08,0.194,0.229,0.055,0.185,0.118,0.157,0.078,0.122,0.229
06/09,0.192,0.227,0.055,0.182,0.116,0.155,0.083,0.131,0.227
06/10,0.204,0.241,0.056,0.192,0.125,0.165,0.089,0.15,0.241
06/11,0.203,0.238,0.056,0.192,0.122,0.162,0.093,0.16,0.238
06/12,0.208,0.243,0.06,0.194,0.127,0.165,0.09,0.172,0.243
06/13,0.208,0.245,0.06,0.195,0.126,0.167,0.09,0.184,0.245
06/14,0.211,0.247,0.062,0.198,0.128,0.167,0.095,0.194,0.247
06/15,0.207,0.242,0.064,0.193,0.126,0.163,0.093,0.199,0.242
06/16,0.205,0.24,0.063,0.192,0.129,0.162,0.094,0.204,0.24
06/17,0.212,0.248,0.065,0.198,0.132,0.168,0.102,0.215,0.248
06/18,0.197,0.232,0.062,0.185,0.127,0.158,0.101,0.206,0.232
06/19,0.221,0.258,0.071,0.206,0.143,0.175,0.113,0.234,0.258
06/20,0.227,0.267,0.075,0.213,0.152,0.183,0.118,0.245,0.267
06/21,0.232,0.272,0.078,0.218,0.156,0.186,0.123,0.256,0.272
06/22,0.23,0.268,0.078,0.215,0.158,0.183,0.126,0.256,0.268
06/23,0.232,0.272,0.082,0.216,0.167,0.184,0.132,0.262,0.272
06/24,0.218,0.255,0.078,0.201,0.161,0.173,0.127,0.248,0.255
06/25,0.212,0.249,0.08,0.199,0.161,0.17,0.128,0.243,0.249
06/26,0.223,0.263,0.087,0.212,0.174,0.178,0.138,0.256,0.263
06/27,0.242,0.282,0.096,0.224,0.189,0.192,0.153,0.275,0.282
06/28,0.23,0.268,0.092,0.215,0.186,0.182,0.15,0.265,0.268
06/29,0.235,0.275,0.097,0.221,0.195,0.186,0.158,0.275,0.275
06/30,0.243,0.285,0.105,0.229,0.205,0.192,0.168,0.285,0.285
07/01,0.248,0.292,0.112,0.234,0.215,0.198,0.175,0.292,0.29
07/02,0.26,0.305,0.122,0.244,0.228,0.207,0.188,0.305,0.302
07/03,0.248,0.291,0.12,0.233,0.222,0.195,0.185,0.291,0.285
07/04,0.248,0.289,0.124,0.23,0.227,0.197,0.182,0.289,0.283
07/05,0.256,0.3,0.133,0.239,0.24,0.203,0.194,0.3,0.292
07/06,0.266,0.312,0.146,0.25,0.253,0.211,0.208,0.312,0.302
07/07,0.256,0.302,0.146,0.243,0.249,0.205,0.203,0.302,0.289
07/08,0.228,0.268,0.135,0.214,0.226,0.182,0.183,0.268,0.261
07/09,0.249,0.293,0.153,0.235,0.252,0.198,0.209,0.293,0.278
07/10,0.234,0.274,0.145,0.219,0.238,0.186,0.202,0.274,0.255
07/11,0.235,0.277,0.152,0.221,0.247,0.188,0.208,0.277,0.253
07/12,0.249,0.292,0.166,0.232,0.264,0.198,0.227,0.292,0.263
07/13,0.243,0.285,0.165,0.231,0.261,0.193,0.227,0.285,0.247
07/14,0.247,0.291,0.173,0.233,0.271,0.198,0.232,0.291,0.247
07/15,0.248,0.293,0.18,0.235,0.276,0.198,0.236,0.293,0.243
07/16,0.248,0.292,0.185,0.235,0.28,0.198,0.242,0.292,0.234
07/17,0.254,0.299,0.195,0.241,0.288,0.202,0.249,0.299,0.233
07/18,0.25,0.293,0.195,0.234,0.283,0.198,0.247,0.293,0.219
07/19,0.248,0.289,0.198,0.231,0.28,0.197,0.249,0.289,0.207
07/20,0.259,0.305,0.215,0.245,0.296,0.208,0.264,0.305,0.209
07/21,0.261,0.308,0.222,0.248,0.303,0.209,0.268,0.308,0.206
07/22,0.255,0.299,0.223,0.239,0.298,0.204,0.261,0.299,0.194
07/23,0.245,0.288,0.221,0.23,0.287,0.195,0.255,0.288,0.175
07/24,0.235,0.277,0.218,0.222,0.276,0.188,0.245,0.277,0.164
07/25,0.249,0.291,0.236,0.232,0.29,0.197,0.262,0.291,0.136
07/26,0.246,0.288,0.243,0.231,0.288,0.196,0.259,0.288,0.184
07/27,0.226,0.266,0.23,0.214,0.266,0.182,0.239,0.266,0.166
07/28,0.248,0.29,0.258,0.232,0.29,0.195,0.263,0.29,0.168
07/29,0.252,0.297,0.269,0.238,0.297,0.202,0.271,0.297,0.162
07/30,0.24,0.281,0.263,0.224,0.281,0.192,0.258,0.281,0.139
07/31,0.23,0.271,0.256,0.216,0.271,0.184,0.25,0.271,0.122
08/01,0.245,0.286,0.278,0.228,0.286,0.194,0.265,0.286,0.109
08/02,0.242,0.284,0.275,0.227,0.284,0.192,0.264,0.284,0.139
08/03,0.228,0.268,0.259,0.214,0.268,0.181,0.247,0.268,0.114
08/04,0.237,0.277,0.277,0.22,0.277,0.188,0.256,0.275,0.107
08/05,0.208,0.245,0.245,0.197,0.245,0.166,0.228,0.243,0.054
08/06,0.215,0.255,0.255,0.205,0.255,0.172,0.235,0.251,0.123
08/07,0.218,0.255,0.255,0.202,0.255,0.173,0.237,0.248,0.107
08/08,0.221,0.26,0.26,0.208,0.26,0.177,0.242,0.247,0.097
08/09,0.207,0.244,0.244,0.195,0.244,0.166,0.226,0.225,0.1
08/10,0.221,0.258,0.258,0.206,0.258,0.178,0.238,0.23,0.04
08/11,0.227,0.268,0.268,0.214,0.268,0.182,0.248,0.232,0.1
08/12,0.225,0.263,0.263,0.209,0.263,0.178,0.244,0.216,0.09
08/13,0.222,0.26,0.26,0.208,0.26,0.178,0.24,0.201,0.08
08/14,0.215,0.252,0.252,0.203,0.252,0.172,0.233,0.182,0.07
08/15,0.235,0.275,0.275,0.218,0.275,0.186,0.254,0.184,0.0
08/16,0.231,0.272,0.272,0.218,0.272,0.182,0.25,0.166,
08/17,0.208,0.245,0.245,0.197,0.244,0.168,0.225,0.143,
08/18,0.205,0.24,0.24,0.193,0.238,0.162,0.22,0.132,
08/19,0.226,0.265,0.265,0.212,0.261,0.181,0.241,0.131,
08/20,0.214,0.251,0.251,0.2,0.245,0.172,0.228,0.095,
08/21,0.197,0.232,0.232,0.187,0.224,0.158,0.209,0.105,
08/22,0.192,0.225,0.225,0.18,0.216,0.154,0.203,0.09,
08/23,0.196,0.232,0.232,0.185,0.215,0.158,0.208,0.083,
08/24,0.199,0.234,0.234,0.188,0.21,0.157,0.209,0.075,
08/25,0.2,0.235,0.235,0.189,0.205,0.158,0.208,0.0,
08/26,0.214,0.249,0.249,0.198,0.21,0.168,0.221,,
08/27,0.212,0.25,0.25,0.199,0.202,0.169,0.218,,
08/28,0.201,0.235,0.235,0.187,0.182,0.157,0.205,,
08/29,0.215,0.252,0.252,0.202,0.188,0.167,0.219,,
08/30,0.195,0.23,0.228,0.184,0.161,0.153,0.196,,
08/31,0.197,0.232,0.23,0.185,0.155,0.152,0.197,,
09/01,0.188,0.222,0.219,0.178,0.121,0.147,0.186,,
09/02,0.208,0.245,0.241,0.196,0.145,0.161,0.205,,
09/03,0.193,0.227,0.219,0.182,0.134,0.148,0.188,,
09/04,0.187,0.219,0.211,0.175,0.119,0.142,0.181,,
09/05,0.193,0.226,0.216,0.181,0.017,0.145,0.186,,
09/06,0.188,0.222,0.211,0.178,0.14,0.143,0.179,,
09/07,0.185,0.218,0.207,0.174,0.1,0.139,0.177,,
09/08,0.181,0.212,0.201,0.171,0.12,0.134,0.17,,
09/09,0.186,0.219,0.207,0.175,0.11,0.14,0.173,,
09/10,0.172,0.201,0.188,0.16,0.0,0.126,0.159,,
09/11,0.17,0.198,0.184,0.159,,0.124,0.155,,
09/12,0.163,0.192,0.175,0.153,,0.119,0.147,,
09/13,0.174,0.203,0.185,0.163,,0.125,0.153,,
09/14,0.166,0.195,0.176,0.156,,0.119,0.147,,
09/15,0.178,0.208,0.187,0.167,,0.125,0.156,,
09/16,0.145,0.17,0.152,0.135,,0.102,0.125,,
09/17,0.153,0.182,0.161,0.145,,0.108,0.129,,
09/18,0.137,0.159,0.14,0.128,,0.095,0.113,,
09/19,0.134,0.158,0.14,0.125,,0.089,0.108,,
09/20,0.138,0.164,0.142,0.132,,0.092,0.095,,
09/21,0.13,0.152,0.13,0.122,,0.081,0.097,,
09/22,0.129,0.152,0.13,0.122,,0.08,0.095,,
09/23,0.137,0.162,0.138,0.13,,0.085,0.097,,
09/24,0.14,0.164,0.139,0.131,,0.08,0.099,,
09/25,0.139,0.164,0.138,0.13,,0.078,0.078,,
09/26,0.138,0.16,0.132,0.128,,0.075,0.099,,
09/27,0.142,0.167,0.137,0.135,,0.074,0.092,,
09/28,0.126,0.148,0.121,0.118,,0.064,0.074,,
09/29,0.124,0.145,0.117,0.116,,0.059,0.07,,
09/30,0.006,0.007,0.109,0.0,,0.0,0.024,,
10/01,0.05,0.06,0.102,,,,0.095,,
10/02,0.08,0.09,0.104,,,,0.09,,
10/03,0.09,0.1,0.099,,,,0.065,,
10/04,0.09,0.1,0.098,,,,0.07,,
10/05,0.05,0.06,0.095,,,,0.025,,
10/06,0.1,0.12,0.1,,,,0.04,,
10/07,0.11,0.13,0.097,,,,0.03,,
10/08,0.09,0.11,0.102,,,,0.05,,
10/09,0.1,0.12,0.101,,,,0.05,,
10/10,0.0,0.0,0.093,,,,0.0,,
10/11,,,0.081,,,,,,
10/12,,,0.081,,,,,,
10/13,,,0.09,,,,,,
10/14,,,0.085,,,,,,
10/15,,,0.0,,,,,,
