# Station Code,omaw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,LAWN,PAST,PEAR
06/29,0.231,0.269,0.257,0.215,0.182,0.242
06/30,0.242,0.283,0.272,0.227,0.192,0.255
07/01,0.253,0.298,0.285,0.238,0.202,0.271
07/02,0.251,0.294,0.284,0.235,0.199,0.268
07/03,0.238,0.279,0.271,0.222,0.191,0.255
07/04,0.25,0.293,0.283,0.234,0.198,0.273
07/05,0.256,0.3,0.289,0.241,0.205,0.281
07/06,0.249,0.292,0.283,0.235,0.198,0.275
07/07,0.241,0.282,0.275,0.225,0.192,0.267
07/08,0.242,0.285,0.278,0.228,0.195,0.272
07/09,0.241,0.285,0.278,0.228,0.194,0.274
07/10,0.245,0.288,0.282,0.231,0.195,0.283
07/11,0.248,0.292,0.285,0.233,0.198,0.288
07/12,0.226,0.266,0.262,0.214,0.182,0.265
07/13,0.245,0.287,0.282,0.23,0.195,0.289
07/14,0.259,0.305,0.296,0.243,0.207,0.308
07/15,0.248,0.291,0.286,0.234,0.196,0.296
07/16,0.245,0.286,0.282,0.229,0.194,0.296
07/17,0.227,0.267,0.263,0.213,0.181,0.277
07/18,0.242,0.283,0.278,0.225,0.191,0.295
07/19,0.235,0.275,0.271,0.221,0.186,0.288
07/20,0.242,0.284,0.279,0.228,0.193,0.298
07/21,0.242,0.283,0.278,0.227,0.192,0.299
07/22,0.226,0.267,0.263,0.214,0.18,0.283
07/23,0.232,0.272,0.268,0.218,0.185,0.289
07/24,0.25,0.295,0.29,0.236,0.199,0.315
07/25,0.237,0.278,0.274,0.222,0.187,0.298
07/26,0.257,0.301,0.298,0.24,0.206,0.323
07/27,0.252,0.295,0.293,0.236,0.2,0.316
07/28,0.25,0.292,0.29,0.233,0.198,0.312
07/29,0.235,0.276,0.274,0.222,0.187,0.296
07/30,0.236,0.278,0.275,0.222,0.188,0.298
07/31,0.257,0.302,0.301,0.242,0.205,0.326
08/01,0.232,0.272,0.271,0.218,0.185,0.293
08/02,0.221,0.261,0.259,0.208,0.178,0.281
08/03,0.233,0.274,0.272,0.219,0.185,0.293
08/04,0.239,0.281,0.279,0.225,0.19,0.302
08/05,0.211,0.248,0.246,0.199,0.168,0.265
08/06,0.205,0.24,0.238,0.192,0.163,0.257
08/07,0.209,0.247,0.245,0.195,0.168,0.262
08/08,0.209,0.245,0.244,0.196,0.166,0.261
08/09,0.186,0.219,0.218,0.176,0.149,0.234
08/10,0.188,0.221,0.22,0.176,0.151,0.235
08/11,0.202,0.236,0.235,0.189,0.162,0.249
08/12,0.234,0.275,0.275,0.221,0.188,0.291
08/13,0.207,0.243,0.242,0.195,0.165,0.253
08/14,0.203,0.238,0.238,0.192,0.162,0.248
08/15,0.202,0.237,0.236,0.19,0.162,0.245
08/16,0.201,0.237,0.236,0.188,0.16,0.243
08/17,0.225,0.265,0.263,0.213,0.181,0.268
08/18,0.224,0.264,0.261,0.212,0.179,0.263
08/19,0.205,0.242,0.238,0.195,0.163,0.24
08/20,0.198,0.232,0.229,0.186,0.159,0.224
08/21,0.184,0.216,0.212,0.172,0.148,0.203
08/22,0.179,0.212,0.208,0.171,0.145,0.2
08/23,0.168,0.197,0.191,0.158,0.134,0.182
08/24,0.183,0.214,0.205,0.171,0.144,0.192
08/25,0.173,0.202,0.192,0.162,0.136,0.175
08/26,0.153,0.18,0.169,0.143,0.122,0.152
08/27,0.177,0.208,0.194,0.166,0.141,0.168
08/28,0.16,0.19,0.174,0.152,0.125,0.148
08/29,0.153,0.182,0.165,0.145,0.12,0.133
08/30,0.15,0.176,0.156,0.141,0.118,0.122
08/31,0.156,0.183,0.16,0.147,0.122,0.124
09/01,0.162,0.191,0.167,0.152,0.127,0.116
09/02,0.164,0.194,0.165,0.155,0.129,0.131
09/03,0.148,0.174,0.147,0.139,0.115,0.114
09/04,0.174,0.205,0.168,0.163,0.135,0.121
09/05,0.16,0.188,0.152,0.149,0.122,0.096
09/06,0.146,0.171,0.135,0.136,0.112,0.092
09/07,0.14,0.167,0.131,0.133,0.108,0.087
09/08,0.142,0.166,0.125,0.133,0.108,0.075
09/09,0.148,0.175,0.13,0.139,0.112,0.066
09/10,0.157,0.183,0.133,0.146,0.119,0.014
09/11,0.138,0.162,0.115,0.129,0.104,0.06
09/12,0.128,0.152,0.106,0.121,0.096,0.07
09/13,0.144,0.169,0.118,0.137,0.108,0.075
09/14,0.124,0.144,0.098,0.115,0.09,0.045
09/15,0.109,0.128,0.085,0.102,0.08,0.015
09/16,0.115,0.133,0.086,0.106,0.083,0.03
09/17,0.112,0.132,0.084,0.106,0.082,0.03
09/18,0.116,0.136,0.083,0.109,0.084,0.04
09/19,0.118,0.138,0.083,0.109,0.086,0.04
09/20,0.123,0.145,0.084,0.115,0.09,0.0
09/21,0.132,0.155,0.086,0.123,0.094,
09/22,0.095,0.112,0.062,0.088,0.067,
09/23,0.082,0.096,0.052,0.077,0.059,
09/24,0.094,0.11,0.057,0.088,0.065,
09/25,0.095,0.112,0.048,0.088,0.065,
09/26,0.098,0.114,0.058,0.092,0.066,
09/27,0.107,0.125,0.053,0.101,0.072,
09/28,0.111,0.131,0.052,0.104,0.071,
09/29,0.092,0.108,0.042,0.087,0.058,
09/30,0.093,0.107,0.025,0.085,0.055,
10/01,0.095,0.111,0.06,0.088,0.058,
10/02,0.094,0.111,0.054,0.088,0.055,
10/03,0.101,0.116,0.066,0.092,0.056,
10/04,0.088,0.104,0.052,0.083,0.048,
10/05,0.073,0.086,0.018,0.07,0.041,
10/06,0.074,0.087,0.035,0.069,0.039,
10/07,0.073,0.085,0.03,0.068,0.037,
10/08,0.068,0.079,0.03,0.062,0.033,
10/09,0.074,0.085,0.03,0.068,0.035,
10/10,0.0,0.0,0.0,0.0,0.0,
