# Station Code,echo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,FCRN,LAWN,ONYN,PAST,PEAS,POTA,PPMT,RAPE,SCRN,SGRN,WGRN
03/09,0.035,0.035,0.03,,,0.059,0.048,0.045,,,0.03,0.03,,0.018,0.063
03/10,0.037,0.037,0.022,,,0.056,0.043,0.042,,,0.016,0.02,,0.023,0.065
03/11,0.037,0.037,0.018,,,0.052,0.037,0.039,,,0.017,0.025,,0.019,0.064
03/12,0.045,0.045,0.025,,,0.058,0.052,0.045,,,0.02,0.027,,0.023,0.071
03/13,0.053,0.053,0.033,,,0.072,0.067,0.052,,,0.021,0.027,,0.025,0.082
03/14,0.046,0.046,0.022,,,0.058,0.055,0.042,,,0.017,0.022,,0.023,0.071
03/15,0.042,0.042,0.018,,,0.056,0.038,0.043,,,0.016,0.02,,0.023,0.07
03/16,0.049,0.049,0.019,,,0.065,0.046,0.05,,,0.017,0.024,,0.026,0.082
03/17,0.06,0.06,0.022,,,0.075,0.046,0.058,,,0.017,0.026,,0.03,0.092
03/18,0.065,0.065,0.024,,,0.08,0.056,0.059,,,0.02,0.028,,0.033,0.098
03/19,0.064,0.064,0.027,,,0.08,0.058,0.061,,,0.023,0.028,,0.036,0.097
03/20,0.065,0.065,0.024,,,0.078,0.053,0.06,,,0.021,0.031,,0.035,0.098
03/21,0.065,0.065,0.025,,,0.078,0.05,0.057,,,0.024,0.028,,0.034,0.091
03/22,0.078,0.078,0.032,,,0.095,0.067,0.071,,,0.029,0.039,,0.048,0.115
03/23,0.087,0.087,0.034,,,0.103,0.074,0.078,,,0.032,0.041,,0.057,0.125
03/24,0.084,0.084,0.031,,,0.097,0.07,0.072,,,0.03,0.039,,0.057,0.116
03/25,0.074,0.074,0.029,,0.035,0.084,0.059,0.063,0.03,,0.026,0.04,0.035,0.052,0.1
03/26,0.091,0.091,0.035,,0.045,0.1,0.071,0.075,0.03,,0.034,0.047,0.045,0.06,0.118
03/27,0.088,0.088,0.035,,0.055,0.099,0.069,0.078,0.04,,0.031,0.05,0.055,0.068,0.122
03/28,0.106,0.108,0.046,,0.06,0.115,0.085,0.088,0.03,,0.044,0.067,0.06,0.079,0.14
03/29,0.1,0.103,0.041,,0.055,0.105,0.073,0.083,0.04,,0.041,0.062,0.055,0.079,0.127
03/30,0.119,0.122,0.049,,0.045,0.125,0.085,0.098,0.04,,0.044,0.08,0.045,0.097,0.151
03/31,0.112,0.115,0.05,,0.06,0.117,0.077,0.092,0.04,,0.043,0.082,0.06,0.097,0.144
04/01,0.118,0.122,0.056,,0.05,0.123,0.081,0.095,0.04,,0.043,0.091,0.05,0.105,0.148
04/02,0.138,0.145,0.066,,0.06,0.142,0.092,0.111,0.06,,0.048,0.114,0.06,0.131,0.173
04/03,0.124,0.128,0.062,,0.053,0.125,0.08,0.099,0.05,,0.043,0.106,0.051,0.115,0.152
04/04,0.115,0.122,0.058,,0.047,0.116,0.082,0.095,0.06,,0.043,0.098,0.047,0.108,0.142
04/05,0.113,0.121,0.057,,0.035,0.113,0.072,0.09,0.05,,0.04,0.103,0.04,0.107,0.139
04/06,0.122,0.133,0.062,,0.045,0.118,0.076,0.097,0.05,,0.045,0.108,0.044,0.118,0.146
04/07,0.142,0.153,0.079,,0.05,0.138,0.092,0.113,0.05,,0.056,0.137,0.05,0.143,0.171
04/08,0.139,0.153,0.079,,0.05,0.135,0.088,0.111,0.06,,0.058,0.136,0.053,0.142,0.169
04/09,0.148,0.164,0.086,,0.052,0.142,0.09,0.118,0.07,,0.062,0.147,0.056,0.153,0.178
04/10,0.152,0.168,0.092,,0.059,0.145,0.089,0.12,0.038,,0.067,0.154,0.059,0.158,0.18
04/11,0.155,0.171,0.095,,0.06,0.147,0.091,0.123,0.043,,0.071,0.161,0.055,0.164,0.184
04/12,0.135,0.153,0.088,,0.053,0.129,0.08,0.108,0.042,,0.066,0.143,0.051,0.145,0.161
04/13,0.135,0.15,0.085,,0.051,0.129,0.082,0.108,0.03,,0.061,0.142,0.048,0.144,0.161
04/14,0.168,0.189,0.118,,0.071,0.158,0.105,0.132,0.04,,0.084,0.183,0.067,0.182,0.198
04/15,0.157,0.179,0.106,0.05,0.056,0.147,0.089,0.125,0.04,,0.08,0.161,0.06,0.172,0.185
04/16,0.138,0.161,0.097,0.04,0.051,0.131,0.081,0.111,0.035,,0.071,0.15,0.053,0.153,0.164
04/17,0.168,0.194,0.133,0.045,0.067,0.158,0.106,0.132,0.05,,0.098,0.2,0.068,0.185,0.197
04/18,0.164,0.192,0.125,0.05,0.06,0.155,0.097,0.131,0.046,,0.092,0.184,0.061,0.185,0.195
04/19,0.152,0.178,0.125,0.05,0.059,0.143,0.09,0.121,0.045,,0.089,0.175,0.06,0.173,0.179
04/20,0.159,0.187,0.135,0.037,0.062,0.152,0.097,0.127,0.049,0.075,0.098,0.185,0.065,0.183,0.188
04/21,0.189,0.222,0.169,0.047,0.075,0.178,0.118,0.151,0.062,0.085,0.123,0.227,0.075,0.218,0.223
04/22,0.18,0.214,0.158,0.047,0.068,0.171,0.109,0.145,0.057,0.085,0.116,0.208,0.071,0.209,0.214
04/23,0.189,0.223,0.176,0.053,0.073,0.177,0.121,0.152,0.068,0.085,0.131,0.228,0.076,0.218,0.223
04/24,0.176,0.208,0.158,0.053,0.068,0.167,0.108,0.141,0.061,0.08,0.121,0.207,0.071,0.205,0.208
04/25,0.167,0.195,0.154,0.046,0.064,0.156,0.104,0.132,0.057,0.057,0.117,0.197,0.065,0.192,0.195
04/26,0.199,0.234,0.181,0.054,0.075,0.187,0.121,0.158,0.068,0.07,0.138,0.229,0.076,0.232,0.234
04/27,0.215,0.253,0.204,0.062,0.087,0.202,0.135,0.172,0.076,0.073,0.157,0.252,0.091,0.251,0.253
04/28,0.207,0.243,0.2,0.06,0.082,0.195,0.131,0.165,0.077,0.073,0.155,0.242,0.084,0.241,0.243
04/29,0.197,0.232,0.192,0.059,0.079,0.185,0.126,0.158,0.076,0.073,0.15,0.231,0.08,0.231,0.232
04/30,0.224,0.262,0.218,0.063,0.092,0.209,0.142,0.179,0.087,0.067,0.169,0.262,0.094,0.261,0.262
05/01,0.201,0.236,0.202,0.064,0.083,0.191,0.133,0.161,0.083,0.076,0.161,0.236,0.084,0.235,0.236
05/02,0.195,0.228,0.193,0.066,0.08,0.182,0.127,0.154,0.086,0.07,0.158,0.223,0.08,0.228,0.228
05/03,0.222,0.26,0.226,0.077,0.094,0.209,0.147,0.176,0.1,0.081,0.184,0.258,0.096,0.26,0.26
05/04,0.226,0.266,0.241,0.082,0.101,0.212,0.159,0.182,0.108,0.086,0.194,0.272,0.101,0.265,0.266
05/05,0.191,0.224,0.195,0.067,0.083,0.178,0.129,0.152,0.092,0.073,0.16,0.218,0.083,0.224,0.224
05/06,0.204,0.238,0.209,0.075,0.088,0.19,0.139,0.162,0.098,0.074,0.171,0.234,0.088,0.238,0.238
05/07,0.217,0.254,0.228,0.086,0.097,0.205,0.153,0.172,0.114,0.085,0.188,0.251,0.097,0.254,0.254
05/08,0.218,0.255,0.239,0.097,0.105,0.204,0.164,0.174,0.129,0.092,0.201,0.26,0.105,0.255,0.255
05/09,0.218,0.257,0.237,0.1,0.103,0.205,0.167,0.175,0.131,0.091,0.2,0.255,0.104,0.257,0.257
05/10,0.214,0.253,0.239,0.092,0.102,0.201,0.166,0.171,0.133,0.09,0.2,0.254,0.103,0.253,0.253
05/11,0.204,0.239,0.223,0.091,0.1,0.191,0.158,0.163,0.131,0.085,0.19,0.237,0.101,0.239,0.239
05/12,0.198,0.233,0.215,0.094,0.098,0.187,0.156,0.158,0.135,0.084,0.188,0.23,0.099,0.233,0.233
05/13,0.208,0.245,0.229,0.103,0.104,0.196,0.167,0.165,0.147,0.09,0.2,0.243,0.105,0.245,0.245
05/14,0.184,0.215,0.198,0.088,0.093,0.172,0.148,0.147,0.126,0.075,0.173,0.21,0.093,0.215,0.215
05/15,0.192,0.223,0.209,0.097,0.097,0.178,0.156,0.152,0.137,0.08,0.181,0.219,0.098,0.223,0.223
05/16,0.223,0.263,0.234,0.122,0.114,0.21,0.179,0.178,0.168,0.099,0.209,0.247,0.115,0.263,0.263
05/17,0.237,0.28,0.258,0.138,0.129,0.225,0.204,0.192,0.197,0.111,0.233,0.272,0.131,0.28,0.28
05/18,0.217,0.255,0.239,0.133,0.123,0.202,0.19,0.174,0.19,0.106,0.217,0.252,0.124,0.255,0.255
05/19,0.218,0.256,0.238,0.134,0.122,0.205,0.19,0.174,0.192,0.106,0.217,0.25,0.124,0.256,0.256
05/20,0.21,0.246,0.23,0.133,0.118,0.198,0.188,0.168,0.188,0.103,0.209,0.242,0.121,0.246,0.246
05/21,0.205,0.241,0.223,0.131,0.117,0.192,0.182,0.163,0.185,0.101,0.203,0.233,0.118,0.241,0.241
05/22,0.209,0.247,0.229,0.144,0.126,0.198,0.19,0.168,0.203,0.113,0.214,0.242,0.126,0.247,0.247
05/23,0.25,0.294,0.282,0.186,0.159,0.235,0.243,0.199,0.256,0.141,0.263,0.294,0.16,0.294,0.294
05/24,0.264,0.311,0.288,0.198,0.168,0.249,0.25,0.212,0.273,0.15,0.273,0.303,0.169,0.311,0.311
05/25,0.225,0.266,0.25,0.188,0.149,0.214,0.225,0.182,0.242,0.137,0.238,0.263,0.152,0.266,0.266
05/26,0.235,0.278,0.258,0.191,0.156,0.224,0.228,0.19,0.254,0.142,0.248,0.271,0.155,0.278,0.278
05/27,0.232,0.271,0.256,0.195,0.158,0.216,0.228,0.184,0.255,0.143,0.245,0.268,0.156,0.271,0.271
05/28,0.271,0.318,0.297,0.23,0.184,0.254,0.27,0.215,0.297,0.169,0.284,0.31,0.183,0.318,0.318
05/29,0.257,0.302,0.284,0.225,0.182,0.241,0.263,0.205,0.288,0.168,0.275,0.298,0.182,0.302,0.302
05/30,0.258,0.302,0.283,0.227,0.182,0.241,0.262,0.205,0.289,0.168,0.276,0.297,0.181,0.302,0.302
05/31,0.238,0.281,0.265,0.224,0.173,0.225,0.248,0.192,0.272,0.161,0.258,0.278,0.173,0.281,0.281
06/01,0.263,0.312,0.292,0.255,0.197,0.249,0.281,0.212,0.302,0.188,0.286,0.306,0.197,0.312,0.309
06/02,0.274,0.32,0.304,0.267,0.208,0.256,0.294,0.218,0.313,0.2,0.299,0.318,0.208,0.32,0.318
06/03,0.301,0.354,0.326,0.29,0.227,0.283,0.316,0.241,0.335,0.217,0.319,0.34,0.226,0.354,0.351
06/04,0.298,0.351,0.327,0.292,0.228,0.281,0.319,0.238,0.335,0.22,0.321,0.34,0.228,0.351,0.348
06/05,0.262,0.309,0.291,0.266,0.208,0.248,0.288,0.21,0.294,0.205,0.283,0.3,0.208,0.309,0.305
06/06,0.263,0.31,0.293,0.273,0.213,0.248,0.293,0.211,0.293,0.211,0.291,0.3,0.215,0.31,0.302
06/07,0.265,0.312,0.296,0.275,0.217,0.248,0.293,0.212,0.289,0.219,0.291,0.295,0.217,0.312,0.3
06/08,0.272,0.321,0.303,0.288,0.228,0.257,0.305,0.218,0.291,0.228,0.298,0.302,0.23,0.321,0.304
06/09,0.248,0.293,0.271,0.259,0.205,0.235,0.273,0.199,0.256,0.208,0.268,0.268,0.206,0.293,0.275
06/10,0.272,0.32,0.298,0.286,0.231,0.256,0.301,0.217,0.274,0.23,0.294,0.289,0.231,0.32,0.295
06/11,0.26,0.304,0.289,0.277,0.228,0.243,0.292,0.207,0.254,0.232,0.286,0.268,0.228,0.304,0.275
06/12,0.267,0.312,0.295,0.282,0.236,0.25,0.297,0.212,0.249,0.236,0.291,0.267,0.234,0.312,0.282
06/13,0.316,0.372,0.369,0.356,0.292,0.297,0.373,0.253,0.301,0.298,0.363,0.323,0.293,0.372,0.339
06/14,0.317,0.371,0.353,0.339,0.282,0.296,0.356,0.251,0.273,0.289,0.345,0.297,0.283,0.371,0.325
06/15,0.256,0.299,0.283,0.276,0.231,0.24,0.287,0.204,0.207,0.237,0.278,0.228,0.232,0.299,0.252
06/16,0.268,0.315,0.302,0.297,0.251,0.252,0.307,0.215,0.209,0.258,0.297,0.229,0.252,0.315,0.258
06/17,0.294,0.345,0.348,0.339,0.292,0.277,0.354,0.235,0.233,0.296,0.341,0.259,0.293,0.343,0.282
06/18,0.257,0.301,0.285,0.276,0.243,0.24,0.289,0.204,0.177,0.244,0.278,0.202,0.243,0.297,0.232
06/19,0.296,0.349,0.332,0.325,0.287,0.28,0.338,0.238,0.194,0.29,0.325,0.214,0.288,0.344,0.259
06/20,0.302,0.354,0.336,0.327,0.293,0.282,0.343,0.24,0.183,0.297,0.328,0.193,0.296,0.345,0.257
06/21,0.286,0.338,0.331,0.323,0.292,0.272,0.336,0.229,0.163,0.294,0.323,0.185,0.294,0.323,0.235
06/22,0.312,0.365,0.357,0.347,0.321,0.292,0.36,0.248,0.165,0.32,0.347,0.192,0.323,0.343,0.245
06/23,0.312,0.368,0.358,0.349,0.328,0.295,0.362,0.251,0.155,0.326,0.349,0.175,0.328,0.336,0.235
06/24,0.305,0.359,0.348,0.338,0.32,0.286,0.353,0.245,0.14,0.317,0.338,0.155,0.323,0.323,0.223
06/25,0.282,0.333,0.335,0.322,0.31,0.266,0.337,0.225,0.118,0.305,0.322,0.095,0.312,0.291,0.203
06/26,0.292,0.343,0.333,0.32,0.309,0.275,0.333,0.233,0.118,0.301,0.32,0.167,0.311,0.285,0.195
06/27,0.315,0.369,0.371,0.357,0.348,0.295,0.367,0.252,0.122,0.337,0.357,0.182,0.351,0.299,0.206
06/28,0.328,0.385,0.381,0.365,0.36,0.308,0.373,0.262,0.11,0.348,0.365,0.162,0.363,0.297,0.204
06/29,0.335,0.395,0.386,0.37,0.367,0.315,0.378,0.268,0.104,0.354,0.37,0.147,0.37,0.293,0.198
06/30,0.333,0.392,0.392,0.376,0.376,0.315,0.384,0.268,0.096,0.361,0.376,0.133,0.378,0.28,0.187
07/01,0.357,0.419,0.417,0.399,0.403,0.335,0.387,0.285,0.065,0.387,0.399,0.035,0.405,0.291,0.163
07/02,0.348,0.408,0.409,0.391,0.401,0.325,0.413,0.275,0.095,0.379,0.391,0.13,0.403,0.267,0.194
07/03,0.38,0.446,0.428,0.408,0.419,0.355,0.43,0.304,0.095,0.397,0.408,0.12,0.422,0.272,0.188
07/04,0.336,0.395,0.391,0.37,0.385,0.317,0.386,0.268,0.082,0.362,0.372,0.09,0.386,0.23,0.162
07/05,0.329,0.388,0.378,0.357,0.374,0.311,0.375,0.264,0.015,0.35,0.358,0.0,0.375,0.214,0.156
07/06,0.342,0.402,0.398,0.377,0.394,0.322,0.397,0.273,0.08,0.371,0.379,,0.395,0.21,0.156
07/07,0.366,0.431,0.434,0.41,0.431,0.345,0.435,0.295,0.09,0.403,0.413,,0.432,0.208,0.163
07/08,0.327,0.384,0.381,0.358,0.378,0.308,0.378,0.262,0.08,0.355,0.362,,0.379,0.178,0.136
07/09,0.343,0.405,0.396,0.37,0.396,0.325,0.39,0.276,0.07,0.367,0.376,,0.395,0.173,0.138
07/10,0.377,0.443,0.435,0.405,0.435,0.355,0.425,0.302,0.0,0.406,0.413,,0.433,0.119,0.044
07/11,0.342,0.403,0.403,0.372,0.403,0.322,0.388,0.275,,0.375,0.383,,0.401,0.189,0.155
07/12,0.345,0.406,0.402,0.369,0.402,0.325,0.393,0.276,,0.375,0.381,,0.399,0.179,0.17
07/13,0.365,0.43,0.429,0.39,0.429,0.345,0.43,0.292,,0.399,0.409,,0.427,0.181,0.16
07/14,0.327,0.386,0.384,0.348,0.384,0.309,0.38,0.263,,0.355,0.364,,0.378,0.139,0.115
07/15,0.382,0.449,0.452,0.405,0.452,0.361,0.455,0.307,,0.421,0.353,,0.443,0.053,0.0
07/16,0.352,0.414,0.403,0.359,0.403,0.332,0.411,0.282,,0.375,0.382,,0.395,0.18,
07/17,0.39,0.458,0.423,0.369,0.423,0.368,0.405,0.312,,0.392,0.415,,0.412,0.235,
07/18,0.339,0.398,0.382,0.33,0.381,0.317,0.373,0.269,,0.353,0.381,,0.369,0.15,
07/19,0.342,0.401,0.378,0.326,0.377,0.322,0.371,0.273,,0.35,0.365,,0.362,0.145,
07/20,0.375,0.441,0.439,0.369,0.437,0.353,0.428,0.3,,0.404,0.213,,0.418,0.075,
07/21,0.384,0.451,0.456,0.379,0.453,0.36,0.438,0.306,,0.416,0.474,,0.434,0.22,
07/22,0.375,0.441,0.45,0.366,0.447,0.351,0.431,0.298,,0.412,0.382,,0.424,0.18,
07/23,0.355,0.416,0.423,0.338,0.418,0.333,0.402,0.283,,0.385,0.362,,0.394,0.12,
07/24,0.338,0.398,0.396,0.315,0.392,0.318,0.365,0.271,,0.359,0.38,,0.367,0.16,
07/25,0.308,0.362,0.363,0.284,0.357,0.29,0.324,0.246,,0.327,0.204,,0.333,0.0,
07/26,0.318,0.375,0.376,0.283,0.368,0.299,0.332,0.255,,0.333,0.307,,0.338,,
07/27,0.339,0.398,0.403,0.302,0.395,0.318,0.352,0.271,,0.357,0.407,,0.365,,
07/28,0.324,0.379,0.379,0.278,0.371,0.303,0.318,0.258,,0.336,0.343,,0.341,,
07/29,0.341,0.399,0.397,0.285,0.387,0.321,0.334,0.271,,0.348,0.4,,0.353,,
07/30,0.385,0.453,0.452,0.31,0.438,0.363,0.371,0.308,,0.392,0.383,,0.396,,
07/31,0.348,0.409,0.412,0.279,0.396,0.325,0.345,0.278,,0.355,0.37,,0.358,,
08/01,0.326,0.383,0.385,0.253,0.369,0.306,0.304,0.26,,0.328,0.0,,0.283,,
08/02,0.365,0.429,0.436,0.278,0.417,0.342,0.331,0.292,,0.367,,,0.381,,
08/03,0.313,0.368,0.372,0.23,0.352,0.296,0.275,0.249,,0.312,,,0.316,,
08/04,0.297,0.348,0.347,0.208,0.328,0.278,0.244,0.235,,0.288,,,0.28,,
08/05,0.321,0.378,0.362,0.21,0.339,0.302,0.204,0.257,,0.297,,,0.187,,
08/06,0.325,0.382,0.365,0.203,0.341,0.305,0.244,0.259,,0.297,,,0.32,,
08/07,0.313,0.369,0.35,0.188,0.325,0.296,0.228,0.252,,0.285,,,0.29,,
08/08,0.338,0.395,0.386,0.203,0.357,0.316,0.253,0.268,,0.312,,,0.315,,
08/09,0.288,0.339,0.337,0.172,0.311,0.272,0.228,0.23,,0.27,,,0.303,,
08/10,0.288,0.339,0.337,0.149,0.31,0.272,0.141,0.231,,0.268,,,0.167,,
08/11,0.312,0.365,0.371,0.187,0.338,0.293,0.266,0.248,,0.292,,,0.3,,
08/12,0.302,0.353,0.355,0.169,0.321,0.283,0.244,0.24,,0.275,,,0.34,,
08/13,0.291,0.342,0.347,0.156,0.312,0.272,0.232,0.233,,0.265,,,0.33,,
08/14,0.285,0.335,0.338,0.136,0.302,0.269,0.214,0.227,,0.253,,,0.303,,
08/15,0.286,0.337,0.344,0.094,0.307,0.271,0.1,0.23,,0.254,,,0.183,,
08/16,0.308,0.361,0.366,0.167,0.324,0.289,0.235,0.245,,0.268,,,0.295,,
08/17,0.305,0.36,0.367,0.153,0.323,0.288,0.235,0.243,,0.264,,,0.33,,
08/18,0.294,0.345,0.349,0.153,0.306,0.275,0.26,0.234,,0.248,,,0.33,,
08/19,0.282,0.333,0.325,0.118,0.286,0.267,0.16,0.225,,0.224,,,0.25,,
08/20,0.298,0.35,0.334,0.04,0.291,0.281,0.11,0.239,,0.18,,,0.11,,
08/21,0.313,0.367,0.354,0.115,0.308,0.294,0.21,0.248,,0.213,,,0.22,,
08/22,0.251,0.296,0.29,0.14,0.253,0.237,0.34,0.202,,0.193,,,0.21,,
08/23,0.27,0.318,0.313,0.11,0.275,0.254,0.22,0.215,,0.21,,,0.24,,
08/24,0.284,0.334,0.323,0.115,0.285,0.268,0.16,0.228,,0.208,,,0.38,,
08/25,0.232,0.273,0.258,0.0,0.188,0.219,0.18,0.185,,0.087,,,0.22,,
08/26,0.253,0.296,0.275,,0.255,0.237,0.17,0.2,,0.186,,,0.25,,
08/27,0.272,0.318,0.289,,0.236,0.255,0.15,0.212,,0.178,,,0.24,,
08/28,0.246,0.289,0.251,,0.226,0.23,0.15,0.195,,0.18,,,0.25,,
08/29,0.286,0.334,0.288,,0.273,0.265,0.23,0.223,,0.196,,,0.24,,
08/30,0.285,0.335,0.293,,0.289,0.266,0.0,0.226,,0.214,,,0.37,,
08/31,0.279,0.329,0.275,,0.264,0.263,,0.22,,0.152,,,0.31,,
09/01,0.237,0.278,0.231,,0.124,0.225,,0.185,,0.02,,,0.0,,
09/02,0.233,0.275,0.215,,0.205,0.219,,0.182,,0.11,,,,,
09/03,0.234,0.276,0.222,,0.235,0.22,,0.184,,0.18,,,,,
09/04,0.216,0.255,0.205,,0.23,0.204,,0.168,,0.17,,,,,
09/05,0.227,0.267,0.209,,0.065,0.215,,0.177,,0.0,,,,,
09/06,0.19,0.223,0.168,,0.17,0.18,,0.147,,,,,,,
09/07,0.213,0.25,0.19,,0.195,0.199,,0.164,,,,,,,
09/08,0.238,0.28,0.2,,0.17,0.224,,0.185,,,,,,,
09/09,0.224,0.262,0.188,,0.18,0.212,,0.172,,,,,,,
09/10,0.208,0.245,0.172,,0.0,0.195,,0.161,,,,,,,
09/11,0.198,0.232,0.163,,,0.186,,0.152,,,,,,,
09/12,0.191,0.223,0.154,,,0.178,,0.145,,,,,,,
09/13,0.222,0.259,0.178,,,0.208,,0.167,,,,,,,
09/14,0.175,0.205,0.137,,,0.165,,0.131,,,,,,,
09/15,0.199,0.235,0.158,,,0.188,,0.15,,,,,,,
09/16,0.185,0.218,0.142,,,0.174,,0.138,,,,,,,
09/17,0.167,0.195,0.128,,,0.157,,0.125,,,,,,,
09/18,0.168,0.198,0.117,,,0.158,,0.124,,,,,,,
09/19,0.172,0.202,0.119,,,0.161,,0.127,,,,,,,
09/20,0.172,0.202,0.118,,,0.162,,0.127,,,,,,,
09/21,0.142,0.166,0.094,,,0.134,,0.103,,,,,,,
09/22,0.172,0.202,0.114,,,0.161,,0.125,,,,,,,
09/23,0.16,0.188,0.108,,,0.15,,0.117,,,,,,,
09/24,0.148,0.173,0.093,,,0.139,,0.107,,,,,,,
09/25,0.142,0.167,0.092,,,0.133,,0.105,,,,,,,
09/26,0.158,0.185,0.094,,,0.148,,0.113,,,,,,,
09/27,0.147,0.172,0.091,,,0.138,,0.106,,,,,,,
09/28,0.138,0.162,0.077,,,0.128,,0.098,,,,,,,
09/29,0.138,0.164,0.072,,,0.132,,0.095,,,,,,,
09/30,0.145,0.171,0.072,,,0.137,,0.097,,,,,,,
10/01,0.131,0.153,0.046,,,0.123,,0.087,,,,,,,
10/02,0.14,0.165,0.07,,,0.132,,0.092,,,,,,,
10/03,0.122,0.143,0.058,,,0.114,,0.078,,,,,,,
10/04,0.131,0.153,0.066,,,0.123,,0.083,,,,,,,
10/05,0.108,0.128,0.008,,,0.103,,0.07,,,,,,,
10/06,0.122,0.142,0.06,,,0.114,,0.072,,,,,,,
10/07,0.122,0.143,0.06,,,0.115,,0.073,,,,,,,
10/08,0.115,0.135,0.06,,,0.109,,0.067,,,,,,,
10/09,0.099,0.117,0.06,,,0.094,,0.057,,,,,,,
10/10,0.116,0.135,0.05,,,0.108,,0.063,,,,,,,
10/11,0.123,0.144,0.05,,,0.113,,0.066,,,,,,,
10/12,0.109,0.127,0.06,,,0.101,,0.057,,,,,,,
10/13,0.102,0.118,0.04,,,0.095,,0.053,,,,,,,
10/14,0.106,0.124,0.02,,,0.099,,0.052,,,,,,,
10/15,0.013,0.016,0.0,,,0.012,,0.009,,,,,,,
10/16,0.075,0.085,,,,0.065,,0.05,,,,,,,
10/17,0.105,0.12,,,,0.095,,0.065,,,,,,,
10/18,0.09,0.105,,,,0.08,,0.055,,,,,,,
10/19,0.085,0.1,,,,0.08,,0.05,,,,,,,
10/20,0.08,0.095,,,,0.08,,0.05,,,,,,,
10/21,0.07,0.085,,,,0.07,,0.045,,,,,,,
10/22,0.13,0.155,,,,0.125,,0.075,,,,,,,
10/23,0.06,0.07,,,,0.055,,0.035,,,,,,,
10/24,0.07,0.08,,,,0.06,,0.04,,,,,,,
10/25,0.125,0.145,,,,0.115,,0.07,,,,,,,
10/26,0.075,0.09,,,,0.075,,0.04,,,,,,,
10/27,0.055,0.065,,,,0.055,,0.03,,,,,,,
10/28,0.07,0.08,,,,0.065,,0.035,,,,,,,
10/29,0.075,0.085,,,,0.07,,0.035,,,,,,,
