# Station Code,chaw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALHM,ALHP,FCRN,GRSD,GRSF,HAYM,HAYP,LAWN,PAST,POP1,POP2,POP3,RAPE,RAPF,SGRN,WGRN
05/04,0.136,0.142,0.096,0.083,,0.164,0.128,0.177,0.177,0.151,0.119,0.033,0.04,0.043,0.039,0.1,0.075,0.165
05/05,0.113,0.119,0.08,0.07,,0.14,0.107,0.138,0.138,0.118,0.095,0.029,0.032,0.035,0.037,0.08,0.063,0.135
05/06,0.122,0.128,0.088,0.077,,0.152,0.117,0.149,0.149,0.127,0.102,0.031,0.035,0.041,0.041,0.086,0.066,0.145
05/07,0.126,0.133,0.093,0.083,,0.155,0.117,0.152,0.153,0.13,0.104,0.032,0.038,0.045,0.042,0.093,0.074,0.15
05/08,0.136,0.145,0.105,0.091,,0.166,0.132,0.165,0.165,0.138,0.112,0.035,0.045,0.055,0.05,0.11,0.084,0.162
05/09,0.139,0.147,0.102,0.09,,0.163,0.129,0.151,0.151,0.139,0.113,0.035,0.045,0.056,0.054,0.115,0.084,0.163
05/10,0.152,0.163,0.113,0.101,,0.175,0.142,0.168,0.168,0.152,0.123,0.038,0.05,0.061,0.063,0.128,0.096,0.177
05/11,0.152,0.162,0.117,0.103,,0.172,0.143,0.167,0.167,0.148,0.123,0.039,0.051,0.063,0.067,0.128,0.102,0.175
05/12,0.14,0.149,0.108,0.095,,0.159,0.136,0.154,0.155,0.138,0.112,0.037,0.048,0.063,0.062,0.119,0.095,0.162
05/13,0.146,0.16,0.114,0.102,,0.168,0.144,0.161,0.163,0.143,0.119,0.04,0.054,0.069,0.071,0.127,0.098,0.172
05/14,0.152,0.165,0.122,0.108,,0.172,0.151,0.167,0.167,0.148,0.123,0.043,0.06,0.075,0.081,0.136,0.108,0.176
05/15,0.148,0.162,0.121,0.107,,0.171,0.149,0.163,0.164,0.144,0.119,0.043,0.06,0.08,0.081,0.135,0.111,0.172
05/16,0.137,0.152,0.119,0.108,,0.163,0.146,0.156,0.156,0.129,0.11,0.043,0.063,0.082,0.082,0.129,0.114,0.16
05/17,0.138,0.153,0.114,0.103,,0.156,0.142,0.147,0.15,0.132,0.113,0.041,0.06,0.08,0.086,0.127,0.111,0.162
05/18,0.141,0.155,0.118,0.107,,0.156,0.143,0.149,0.15,0.133,0.112,0.042,0.064,0.085,0.088,0.128,0.115,0.162
05/19,0.146,0.165,0.128,0.115,,0.163,0.152,0.157,0.158,0.138,0.116,0.047,0.07,0.093,0.096,0.138,0.125,0.17
05/20,0.14,0.158,0.122,0.112,0.058,0.155,0.147,0.149,0.151,0.133,0.112,0.046,0.068,0.093,0.096,0.131,0.122,0.163
05/21,0.148,0.171,0.138,0.126,0.056,0.17,0.164,0.168,0.168,0.142,0.12,0.051,0.077,0.107,0.111,0.146,0.138,0.175
05/22,0.147,0.171,0.141,0.128,0.05,0.17,0.163,0.166,0.166,0.137,0.116,0.051,0.082,0.112,0.115,0.145,0.141,0.171
05/23,0.151,0.177,0.142,0.13,0.048,0.168,0.164,0.166,0.167,0.144,0.122,0.052,0.083,0.113,0.121,0.15,0.149,0.177
05/24,0.139,0.162,0.14,0.128,0.052,0.163,0.159,0.16,0.161,0.132,0.111,0.052,0.083,0.116,0.128,0.147,0.143,0.164
05/25,0.129,0.151,0.123,0.114,0.04,0.146,0.142,0.141,0.141,0.122,0.105,0.048,0.079,0.106,0.114,0.133,0.13,0.151
05/26,0.154,0.182,0.158,0.145,0.052,0.179,0.176,0.177,0.177,0.146,0.125,0.06,0.097,0.137,0.147,0.168,0.161,0.182
05/27,0.155,0.182,0.158,0.146,0.046,0.177,0.171,0.173,0.173,0.146,0.125,0.06,0.1,0.139,0.15,0.166,0.165,0.182
05/28,0.165,0.192,0.17,0.157,0.052,0.187,0.182,0.184,0.184,0.153,0.132,0.067,0.11,0.153,0.162,0.178,0.175,0.192
05/29,0.178,0.208,0.183,0.17,0.052,0.198,0.195,0.197,0.197,0.167,0.142,0.072,0.12,0.169,0.177,0.193,0.192,0.208
05/30,0.172,0.202,0.179,0.166,0.058,0.192,0.188,0.191,0.192,0.162,0.138,0.072,0.119,0.168,0.176,0.188,0.188,0.202
05/31,0.158,0.185,0.168,0.156,0.066,0.174,0.172,0.177,0.177,0.148,0.126,0.066,0.115,0.158,0.165,0.177,0.175,0.185
06/01,0.16,0.188,0.177,0.164,0.06,0.181,0.179,0.183,0.184,0.151,0.128,0.072,0.122,0.171,0.175,0.185,0.18,0.188
06/02,0.167,0.196,0.189,0.175,0.064,0.191,0.189,0.194,0.195,0.156,0.134,0.078,0.133,0.188,0.19,0.198,0.189,0.196
06/03,0.182,0.214,0.198,0.185,0.066,0.2,0.197,0.203,0.205,0.171,0.146,0.083,0.141,0.2,0.201,0.208,0.206,0.214
06/04,0.179,0.21,0.193,0.179,0.065,0.193,0.186,0.196,0.198,0.167,0.144,0.079,0.138,0.197,0.194,0.201,0.203,0.21
06/05,0.178,0.209,0.191,0.179,0.066,0.193,0.187,0.195,0.198,0.168,0.142,0.083,0.142,0.201,0.198,0.201,0.202,0.209
06/06,0.166,0.196,0.185,0.173,0.063,0.182,0.179,0.187,0.188,0.158,0.133,0.078,0.137,0.194,0.192,0.194,0.192,0.196
06/07,0.18,0.212,0.201,0.191,0.069,0.196,0.194,0.203,0.207,0.169,0.143,0.088,0.15,0.212,0.209,0.211,0.208,0.212
06/08,0.165,0.194,0.185,0.176,0.064,0.178,0.177,0.185,0.19,0.155,0.133,0.08,0.139,0.197,0.194,0.195,0.192,0.194
06/09,0.135,0.16,0.15,0.142,0.053,0.142,0.14,0.148,0.153,0.127,0.108,0.063,0.112,0.158,0.155,0.158,0.159,0.16
06/10,0.152,0.178,0.168,0.16,0.06,0.158,0.153,0.166,0.171,0.144,0.122,0.073,0.127,0.179,0.177,0.179,0.177,0.178
06/11,0.178,0.209,0.2,0.19,0.072,0.186,0.182,0.195,0.201,0.166,0.142,0.087,0.151,0.212,0.209,0.212,0.208,0.209
06/12,0.18,0.212,0.199,0.189,0.072,0.182,0.178,0.193,0.2,0.168,0.145,0.089,0.15,0.21,0.208,0.21,0.21,0.212
06/13,0.155,0.181,0.174,0.166,0.063,0.156,0.152,0.167,0.175,0.145,0.123,0.077,0.133,0.183,0.182,0.183,0.18,0.181
06/14,0.165,0.193,0.179,0.172,0.067,0.154,0.154,0.173,0.181,0.154,0.132,0.079,0.138,0.19,0.188,0.19,0.193,0.193
06/15,0.151,0.178,0.172,0.163,0.066,0.143,0.149,0.164,0.174,0.143,0.122,0.078,0.133,0.182,0.181,0.182,0.178,0.178
06/16,0.159,0.187,0.184,0.176,0.072,0.152,0.159,0.177,0.187,0.149,0.128,0.083,0.141,0.196,0.195,0.195,0.187,0.187
06/17,0.179,0.211,0.205,0.195,0.079,0.163,0.171,0.193,0.207,0.17,0.142,0.093,0.159,0.217,0.216,0.215,0.211,0.211
06/18,0.151,0.177,0.173,0.167,0.069,0.128,0.14,0.165,0.174,0.141,0.121,0.08,0.133,0.184,0.183,0.182,0.177,0.177
06/19,0.167,0.195,0.19,0.182,0.08,0.14,0.152,0.18,0.192,0.158,0.133,0.089,0.148,0.202,0.201,0.199,0.195,0.195
06/20,0.177,0.208,0.193,0.186,0.083,0.141,0.157,0.183,0.198,0.167,0.143,0.09,0.152,0.207,0.207,0.204,0.208,0.208
06/21,0.187,0.218,0.204,0.197,0.088,0.14,0.161,0.191,0.207,0.174,0.15,0.095,0.161,0.217,0.217,0.213,0.218,0.218
06/22,0.203,0.239,0.223,0.217,0.102,0.152,0.172,0.208,0.228,0.191,0.162,0.106,0.178,0.238,0.238,0.233,0.239,0.239
06/23,0.19,0.224,0.208,0.2,0.097,0.134,0.158,0.193,0.21,0.179,0.153,0.099,0.165,0.222,0.222,0.214,0.224,0.224
06/24,0.173,0.204,0.188,0.181,0.085,0.113,0.137,0.175,0.193,0.162,0.138,0.09,0.149,0.201,0.201,0.192,0.204,0.204
06/25,0.205,0.24,0.225,0.217,0.11,0.129,0.161,0.207,0.229,0.192,0.164,0.108,0.182,0.241,0.241,0.231,0.24,0.24
06/26,0.193,0.227,0.211,0.202,0.107,0.113,0.146,0.192,0.213,0.181,0.154,0.102,0.168,0.225,0.225,0.215,0.227,0.227
06/27,0.196,0.231,0.217,0.211,0.113,0.11,0.15,0.198,0.22,0.184,0.156,0.106,0.177,0.233,0.233,0.223,0.231,0.231
06/28,0.212,0.249,0.236,0.228,0.128,0.115,0.16,0.213,0.238,0.201,0.168,0.117,0.192,0.253,0.253,0.241,0.249,0.249
06/29,0.201,0.236,0.219,0.212,0.121,0.105,0.142,0.198,0.223,0.188,0.161,0.11,0.179,0.237,0.237,0.222,0.236,0.236
06/30,0.212,0.248,0.228,0.223,0.133,0.106,0.146,0.206,0.229,0.198,0.168,0.113,0.187,0.246,0.246,0.229,0.248,0.248
07/01,0.227,0.268,0.249,0.243,0.15,0.113,0.155,0.224,0.25,0.214,0.182,0.126,0.204,0.268,0.268,0.239,0.268,0.267
07/02,0.219,0.257,0.237,0.228,0.145,0.099,0.142,0.212,0.238,0.207,0.174,0.118,0.194,0.255,0.255,0.252,0.257,0.256
07/03,0.228,0.267,0.247,0.238,0.157,0.101,0.142,0.22,0.248,0.214,0.181,0.124,0.204,0.265,0.265,0.261,0.267,0.264
07/04,0.215,0.252,0.23,0.224,0.15,0.092,0.126,0.205,0.233,0.201,0.172,0.117,0.193,0.249,0.248,0.245,0.252,0.249
07/05,0.234,0.272,0.25,0.242,0.166,0.097,0.136,0.222,0.252,0.217,0.185,0.126,0.208,0.27,0.269,0.264,0.272,0.268
07/06,0.227,0.266,0.245,0.235,0.165,0.091,0.126,0.213,0.246,0.212,0.182,0.126,0.206,0.263,0.261,0.257,0.266,0.26
07/07,0.216,0.252,0.229,0.219,0.158,0.086,0.116,0.199,0.23,0.2,0.172,0.118,0.192,0.247,0.242,0.237,0.252,0.245
07/08,0.215,0.253,0.23,0.223,0.163,0.086,0.114,0.202,0.231,0.202,0.172,0.12,0.193,0.248,0.242,0.237,0.253,0.241
07/09,0.226,0.265,0.243,0.236,0.175,0.088,0.115,0.212,0.246,0.21,0.18,0.128,0.206,0.263,0.255,0.252,0.265,0.247
07/10,0.205,0.242,0.224,0.216,0.169,0.068,0.101,0.197,0.226,0.193,0.164,0.118,0.189,0.242,0.237,0.24,0.242,0.223
07/11,0.215,0.252,0.236,0.228,0.18,0.079,0.103,0.208,0.237,0.202,0.172,0.125,0.203,0.256,0.247,0.245,0.252,0.23
07/12,0.221,0.259,0.243,0.235,0.189,0.082,0.101,0.214,0.245,0.208,0.175,0.128,0.208,0.263,0.252,0.247,0.259,0.232
07/13,0.217,0.255,0.244,0.238,0.197,0.081,0.098,0.217,0.247,0.205,0.173,0.131,0.213,0.266,0.254,0.253,0.255,0.222
07/14,0.225,0.263,0.25,0.241,0.206,0.08,0.097,0.22,0.253,0.211,0.178,0.137,0.217,0.272,0.258,0.255,0.263,0.222
07/15,0.212,0.248,0.23,0.224,0.193,0.052,0.072,0.203,0.232,0.199,0.169,0.126,0.201,0.25,0.223,0.218,0.248,0.208
07/16,0.218,0.255,0.241,0.232,0.203,0.08,0.105,0.211,0.243,0.205,0.175,0.132,0.209,0.26,0.256,0.25,0.253,0.207
07/17,0.211,0.247,0.228,0.221,0.198,0.077,0.101,0.2,0.228,0.198,0.167,0.127,0.199,0.248,0.235,0.232,0.245,0.195
07/18,0.228,0.266,0.245,0.237,0.217,0.074,0.089,0.214,0.247,0.212,0.182,0.136,0.214,0.267,0.265,0.26,0.262,0.199
07/19,0.205,0.242,0.232,0.224,0.211,0.076,0.09,0.205,0.234,0.195,0.165,0.128,0.205,0.253,0.245,0.237,0.234,0.174
07/20,0.236,0.278,0.258,0.252,0.24,0.017,0.048,0.228,0.26,0.224,0.188,0.144,0.227,0.282,0.273,0.264,0.265,0.189
07/21,0.238,0.278,0.266,0.259,0.253,0.13,0.19,0.235,0.268,0.222,0.189,0.151,0.238,0.292,0.276,0.266,0.259,0.18
07/22,0.22,0.26,0.241,0.234,0.232,0.13,0.19,0.213,0.242,0.209,0.178,0.138,0.217,0.264,0.244,0.229,0.242,0.168
07/23,0.238,0.278,0.253,0.248,0.249,0.1,0.15,0.225,0.255,0.223,0.189,0.145,0.23,0.279,0.259,0.251,0.252,0.172
07/24,0.235,0.275,0.251,0.245,0.251,0.12,0.175,0.223,0.251,0.222,0.186,0.145,0.227,0.276,0.248,0.24,0.245,0.162
07/25,0.22,0.258,0.241,0.233,0.244,0.09,0.16,0.212,0.241,0.207,0.175,0.139,0.218,0.264,0.233,0.228,0.222,0.124
07/26,0.228,0.267,0.247,0.24,0.253,0.08,0.15,0.217,0.247,0.214,0.182,0.142,0.225,0.271,0.235,0.228,0.223,0.173
07/27,0.226,0.264,0.242,0.237,0.253,0.08,0.15,0.214,0.243,0.211,0.18,0.141,0.222,0.267,0.222,0.215,0.208,0.161
07/28,0.236,0.277,0.253,0.248,0.266,0.08,0.155,0.223,0.253,0.222,0.188,0.149,0.233,0.278,0.222,0.212,0.205,0.156
07/29,0.247,0.288,0.263,0.258,0.283,0.09,0.165,0.231,0.261,0.229,0.196,0.156,0.241,0.29,0.219,0.21,0.201,0.15
07/30,0.248,0.291,0.264,0.259,0.284,0.09,0.16,0.233,0.264,0.232,0.198,0.158,0.244,0.292,0.207,0.192,0.188,0.141
07/31,0.255,0.298,0.271,0.265,0.296,0.09,0.165,0.239,0.27,0.238,0.203,0.161,0.253,0.299,0.201,0.188,0.181,0.134
08/01,0.211,0.247,0.22,0.217,0.243,0.09,0.165,0.196,0.221,0.198,0.168,0.135,0.208,0.245,0.154,0.134,0.128,0.092
08/02,0.217,0.255,0.227,0.223,0.25,0.09,0.15,0.202,0.226,0.204,0.173,0.138,0.213,0.252,0.151,0.141,0.156,0.11
08/03,0.216,0.254,0.228,0.223,0.252,0.08,0.155,0.203,0.226,0.204,0.172,0.14,0.214,0.253,0.136,0.129,0.146,0.104
08/04,0.222,0.262,0.238,0.231,0.262,0.09,0.15,0.208,0.236,0.208,0.178,0.143,0.222,0.262,0.13,0.123,0.134,0.099
08/05,0.207,0.243,0.218,0.212,0.242,0.06,0.105,0.193,0.217,0.195,0.165,0.134,0.206,0.242,0.096,0.092,0.09,0.037
08/06,0.198,0.231,0.206,0.201,0.228,0.06,0.1,0.182,0.205,0.185,0.158,0.128,0.196,0.228,0.116,0.107,0.124,0.12
08/07,0.203,0.238,0.212,0.208,0.236,0.05,0.105,0.188,0.212,0.19,0.162,0.133,0.203,0.236,0.106,0.091,0.113,0.105
08/08,0.203,0.239,0.214,0.21,0.238,0.06,0.115,0.19,0.214,0.191,0.164,0.134,0.207,0.238,0.094,0.08,0.104,0.105
08/09,0.178,0.208,0.183,0.181,0.204,0.05,0.09,0.163,0.183,0.167,0.142,0.115,0.176,0.204,0.065,0.059,0.091,0.095
08/10,0.208,0.246,0.222,0.217,0.247,0.06,0.075,0.198,0.222,0.198,0.167,0.141,0.213,0.247,0.018,0.0,0.034,0.055
08/11,0.203,0.239,0.215,0.212,0.24,0.07,0.14,0.192,0.214,0.191,0.162,0.137,0.21,0.24,0.05,,0.11,0.09
08/12,0.193,0.227,0.203,0.2,0.227,0.05,0.13,0.182,0.202,0.182,0.155,0.131,0.198,0.227,0.1,,0.09,0.09
08/13,0.192,0.225,0.201,0.199,0.225,0.07,0.15,0.179,0.202,0.179,0.154,0.129,0.198,0.225,0.12,,0.085,0.08
08/14,0.206,0.242,0.217,0.215,0.243,0.07,0.14,0.194,0.216,0.193,0.165,0.139,0.213,0.243,0.12,,0.08,0.07
08/15,0.201,0.234,0.212,0.207,0.236,0.0,0.13,0.188,0.209,0.187,0.16,0.137,0.207,0.236,0.11,,0.0,0.0
08/16,0.203,0.24,0.214,0.211,0.24,,0.13,0.192,0.213,0.192,0.162,0.141,0.212,0.24,0.08,,,
08/17,0.192,0.226,0.201,0.196,0.224,,0.15,0.181,0.201,0.182,0.154,0.13,0.2,0.224,0.09,,,
08/18,0.215,0.251,0.226,0.224,0.254,,0.15,0.203,0.225,0.2,0.172,0.151,0.225,0.255,0.08,,,
08/19,0.18,0.211,0.188,0.185,0.209,,0.11,0.17,0.186,0.17,0.142,0.123,0.188,0.211,0.07,,,
08/20,0.178,0.209,0.187,0.18,0.204,,0.11,0.166,0.183,0.167,0.143,0.122,0.187,0.208,0.0,,,
08/21,0.182,0.212,0.188,0.185,0.208,,0.14,0.168,0.187,0.169,0.145,0.127,0.188,0.211,,,,
08/22,0.167,0.196,0.17,0.168,0.188,,0.1,0.152,0.169,0.156,0.134,0.115,0.172,0.192,,,,
08/23,0.166,0.195,0.17,0.167,0.187,,0.1,0.154,0.167,0.157,0.132,0.116,0.172,0.192,,,,
08/24,0.171,0.201,0.174,0.173,0.19,,0.09,0.157,0.174,0.159,0.135,0.118,0.178,0.198,,,,
08/25,0.167,0.196,0.172,0.169,0.185,,0.1,0.154,0.169,0.156,0.132,0.117,0.175,0.193,,,,
08/26,0.17,0.2,0.173,0.172,0.188,,0.11,0.158,0.172,0.16,0.135,0.121,0.177,0.197,,,,
08/27,0.18,0.211,0.182,0.179,0.197,,0.07,0.167,0.179,0.169,0.142,0.126,0.189,0.208,,,,
08/28,0.171,0.202,0.177,0.176,0.191,,0.09,0.161,0.175,0.162,0.134,0.122,0.183,0.201,,,,
08/29,0.173,0.202,0.177,0.176,0.189,,0.09,0.16,0.176,0.162,0.135,0.123,0.183,0.201,,,,
08/30,0.158,0.185,0.161,0.155,0.17,,0.1,0.144,0.157,0.147,0.123,0.111,0.164,0.181,,,,
08/31,0.161,0.189,0.168,0.165,0.179,,0.11,0.152,0.165,0.152,0.125,0.119,0.177,0.191,,,,
09/01,0.169,0.198,0.175,0.172,0.183,,0.1,0.158,0.172,0.158,0.13,0.124,0.183,0.198,,,,
09/02,0.162,0.193,0.172,0.168,0.179,,0.11,0.156,0.168,0.155,0.127,0.122,0.181,0.194,,,,
09/03,0.136,0.162,0.14,0.138,0.146,,0.06,0.127,0.139,0.128,0.106,0.098,0.149,0.159,,,,
09/04,0.15,0.177,0.155,0.153,0.159,,0.08,0.141,0.152,0.142,0.115,0.111,0.165,0.176,,,,
09/05,0.149,0.175,0.151,0.15,0.158,,0.09,0.137,0.151,0.138,0.112,0.11,0.163,0.173,,,,
09/06,0.135,0.158,0.135,0.135,0.139,,0.09,0.124,0.134,0.127,0.102,0.098,0.147,0.155,,,,
09/07,0.147,0.172,0.147,0.147,0.152,,0.1,0.136,0.147,0.138,0.112,0.11,0.16,0.17,,,,
09/08,0.138,0.162,0.138,0.136,0.14,,0.07,0.126,0.135,0.129,0.102,0.102,0.148,0.158,,,,
09/09,0.142,0.169,0.146,0.145,0.147,,0.07,0.133,0.144,0.135,0.108,0.108,0.158,0.167,,,,
09/10,0.15,0.177,0.153,0.15,0.153,,0.07,0.139,0.148,0.142,0.111,0.113,0.165,0.174,,,,
09/11,0.14,0.166,0.141,0.138,0.144,,0.05,0.129,0.138,0.133,0.104,0.105,0.152,0.163,,,,
09/12,0.136,0.161,0.138,0.136,0.138,,0.04,0.126,0.136,0.128,0.101,0.102,0.149,0.159,,,,
09/13,0.133,0.157,0.138,0.135,0.136,,0.05,0.124,0.135,0.125,0.096,0.104,0.148,0.158,,,,
09/14,0.117,0.138,0.116,0.114,0.114,,0.02,0.107,0.114,0.111,0.085,0.09,0.128,0.134,,,,
09/15,0.129,0.152,0.133,0.132,0.13,,0.03,0.12,0.132,0.122,0.092,0.101,0.146,0.153,,,,
09/16,0.112,0.133,0.113,0.113,0.112,,0.04,0.102,0.113,0.106,0.079,0.088,0.128,0.133,,,,
09/17,0.101,0.119,0.103,0.103,0.1,,0.03,0.091,0.101,0.096,0.071,0.078,0.115,0.118,,,,
09/18,0.104,0.123,0.11,0.109,0.105,,0.04,0.1,0.107,0.097,0.072,0.085,0.124,0.127,,,,
09/19,0.106,0.124,0.106,0.106,0.103,,0.05,0.096,0.106,0.099,0.071,0.084,0.123,0.125,,,,
09/20,0.112,0.131,0.113,0.113,0.107,,0.05,0.1,0.112,0.106,0.072,0.085,0.128,0.13,,,,
09/21,0.109,0.129,0.111,0.11,0.107,,0.05,0.1,0.108,0.102,0.07,0.086,0.128,0.129,,,,
09/22,0.107,0.125,0.107,0.107,0.103,,0.05,0.094,0.105,0.1,0.067,0.085,0.125,0.125,,,,
09/23,0.093,0.108,0.089,0.089,0.084,,0.03,0.08,0.089,0.087,0.056,0.071,0.105,0.105,,,,
09/24,0.102,0.119,0.1,0.099,0.092,,0.03,0.088,0.096,0.095,0.058,0.079,0.115,0.115,,,,
09/25,0.111,0.13,0.11,0.11,0.011,,0.04,0.096,0.107,0.105,0.062,0.088,0.128,0.128,,,,
