# Station Code,hami
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
04/18,0.131,0.131,0.176,0.176,0.163,0.12,,0.055,0.172
04/19,0.129,0.129,0.179,0.179,0.163,0.12,,0.048,0.172
04/20,0.137,0.138,0.186,0.186,0.17,0.123,,0.053,0.181
04/21,0.139,0.14,0.182,0.182,0.167,0.124,,0.053,0.181
04/22,0.158,0.159,0.204,0.204,0.186,0.139,,0.065,0.202
04/23,0.127,0.129,0.157,0.157,0.142,0.109,,0.057,0.156
04/24,0.12,0.122,0.154,0.154,0.138,0.103,,0.053,0.151
04/25,0.116,0.118,0.149,0.149,0.134,0.098,,0.046,0.148
04/26,0.132,0.133,0.161,0.161,0.147,0.112,,0.051,0.168
04/27,0.149,0.153,0.183,0.183,0.164,0.127,,0.06,0.184
04/28,0.159,0.166,0.193,0.193,0.174,0.133,,0.069,0.197
04/29,0.17,0.18,0.201,0.201,0.182,0.141,,0.08,0.207
04/30,0.159,0.167,0.186,0.186,0.17,0.133,,0.07,0.194
05/01,0.179,0.189,0.22,0.22,0.196,0.151,,0.088,0.223
05/02,0.185,0.196,0.223,0.223,0.198,0.154,,0.098,0.225
05/03,0.189,0.202,0.225,0.225,0.199,0.158,,0.103,0.231
05/04,0.194,0.208,0.223,0.223,0.198,0.161,,0.117,0.232
05/05,0.188,0.202,0.222,0.223,0.197,0.157,,0.108,0.229
05/06,0.2,0.215,0.234,0.234,0.205,0.165,,0.119,0.24
05/07,0.173,0.189,0.202,0.202,0.178,0.144,,0.105,0.211
05/08,0.18,0.194,0.207,0.208,0.18,0.147,,0.111,0.214
05/09,0.178,0.195,0.205,0.205,0.178,0.146,,0.119,0.214
05/10,0.174,0.191,0.199,0.2,0.172,0.141,0.07,0.123,0.207
05/11,0.194,0.215,0.219,0.22,0.188,0.157,0.1,0.144,0.23
05/12,0.219,0.24,0.251,0.251,0.216,0.178,0.08,0.159,0.26
05/13,0.223,0.25,0.253,0.257,0.215,0.181,0.085,0.174,0.264
05/14,0.222,0.248,0.252,0.255,0.214,0.178,0.07,0.177,0.261
05/15,0.188,0.21,0.213,0.213,0.179,0.151,0.06,0.154,0.22
05/16,0.195,0.218,0.22,0.222,0.187,0.156,0.08,0.161,0.23
05/17,0.192,0.215,0.213,0.218,0.18,0.152,0.08,0.169,0.224
05/18,0.217,0.243,0.243,0.243,0.204,0.172,0.08,0.191,0.252
05/19,0.201,0.228,0.225,0.227,0.189,0.162,0.1,0.182,0.236
05/20,0.169,0.193,0.191,0.191,0.162,0.137,0.062,0.154,0.199
05/21,0.182,0.208,0.204,0.207,0.173,0.144,0.054,0.171,0.214
05/22,0.188,0.217,0.21,0.212,0.176,0.148,0.05,0.18,0.22
05/23,0.173,0.202,0.195,0.197,0.164,0.139,0.046,0.177,0.204
05/24,0.197,0.23,0.219,0.22,0.187,0.158,0.06,0.208,0.231
05/25,0.202,0.235,0.225,0.227,0.189,0.162,0.077,0.211,0.236
05/26,0.198,0.232,0.222,0.223,0.187,0.159,0.072,0.213,0.233
05/27,0.213,0.25,0.237,0.24,0.203,0.171,0.088,0.231,0.251
05/28,0.233,0.273,0.26,0.261,0.219,0.186,0.095,0.253,0.273
05/29,0.227,0.264,0.253,0.254,0.211,0.18,0.086,0.249,0.264
05/30,0.212,0.25,0.238,0.24,0.201,0.171,0.084,0.238,0.25
05/31,0.221,0.261,0.248,0.251,0.209,0.177,0.092,0.249,0.261
06/01,0.241,0.283,0.27,0.272,0.226,0.192,0.1,0.273,0.283
06/02,0.238,0.279,0.263,0.269,0.222,0.189,0.102,0.272,0.279
06/03,0.254,0.299,0.282,0.288,0.24,0.202,0.116,0.293,0.299
06/04,0.269,0.316,0.298,0.304,0.253,0.215,0.129,0.311,0.316
06/05,0.294,0.346,0.326,0.332,0.277,0.234,0.132,0.339,0.346
06/06,0.272,0.321,0.302,0.309,0.256,0.218,0.13,0.316,0.321
06/07,0.253,0.296,0.279,0.284,0.236,0.201,0.117,0.29,0.296
06/08,0.25,0.292,0.273,0.28,0.233,0.199,0.127,0.288,0.292
06/09,0.268,0.313,0.293,0.298,0.25,0.214,0.127,0.31,0.313
06/10,0.257,0.299,0.278,0.287,0.238,0.202,0.13,0.298,0.299
06/11,0.245,0.287,0.266,0.276,0.229,0.193,0.15,0.286,0.287
06/12,0.258,0.303,0.281,0.289,0.242,0.207,0.144,0.302,0.303
06/13,0.286,0.337,0.31,0.322,0.268,0.231,0.157,0.337,0.337
06/14,0.282,0.332,0.303,0.318,0.266,0.225,0.183,0.331,0.332
06/15,0.257,0.302,0.273,0.289,0.242,0.207,0.177,0.302,0.302
06/16,0.256,0.301,0.27,0.287,0.239,0.205,0.18,0.301,0.301
06/17,0.259,0.302,0.269,0.289,0.241,0.205,0.183,0.302,0.302
06/18,0.25,0.294,0.261,0.28,0.236,0.199,0.171,0.294,0.294
06/19,0.287,0.336,0.296,0.32,0.268,0.228,0.2,0.336,0.336
06/20,0.276,0.324,0.284,0.308,0.259,0.221,0.186,0.324,0.324
06/21,0.281,0.333,0.292,0.318,0.266,0.228,0.2,0.333,0.333
06/22,0.288,0.338,0.295,0.321,0.27,0.229,0.223,0.338,0.338
06/23,0.296,0.35,0.301,0.33,0.28,0.238,0.23,0.35,0.35
06/24,0.304,0.357,0.307,0.338,0.285,0.243,0.241,0.357,0.357
06/25,0.28,0.329,0.282,0.311,0.263,0.223,0.237,0.329,0.329
06/26,0.321,0.377,0.319,0.357,0.301,0.256,0.283,0.377,0.377
06/27,0.293,0.344,0.291,0.324,0.275,0.235,0.29,0.344,0.344
06/28,0.3,0.352,0.294,0.331,0.28,0.24,0.259,0.352,0.352
06/29,0.287,0.339,0.283,0.319,0.273,0.231,0.236,0.339,0.339
06/30,0.271,0.319,0.265,0.299,0.255,0.216,0.243,0.319,0.318
07/01,0.328,0.385,0.316,0.361,0.307,0.259,0.32,0.385,0.384
07/02,0.332,0.391,0.32,0.367,0.313,0.266,0.314,0.391,0.387
07/03,0.344,0.404,0.329,0.376,0.323,0.276,0.326,0.404,0.399
07/04,0.332,0.392,0.318,0.365,0.313,0.267,0.313,0.392,0.385
07/05,0.327,0.384,0.31,0.358,0.308,0.262,0.324,0.384,0.374
07/06,0.344,0.403,0.323,0.375,0.322,0.273,0.357,0.403,0.387
07/07,0.345,0.407,0.326,0.378,0.325,0.279,0.371,0.407,0.382
07/08,0.326,0.382,0.305,0.354,0.304,0.259,0.331,0.382,0.348
07/09,0.339,0.397,0.318,0.369,0.318,0.269,0.357,0.397,0.354
07/10,0.317,0.371,0.296,0.345,0.295,0.253,0.383,0.371,0.329
07/11,0.326,0.384,0.306,0.355,0.306,0.264,0.376,0.384,0.332
07/12,0.333,0.394,0.315,0.365,0.315,0.268,0.374,0.394,0.326
07/13,0.321,0.378,0.303,0.349,0.303,0.257,0.356,0.378,0.304
07/14,0.317,0.373,0.299,0.344,0.299,0.254,0.35,0.373,0.29
07/15,0.336,0.395,0.317,0.364,0.317,0.27,0.367,0.394,0.296
07/16,0.358,0.42,0.337,0.388,0.337,0.287,0.378,0.417,0.287
07/17,0.333,0.392,0.312,0.362,0.312,0.267,0.395,0.387,0.252
07/18,0.357,0.419,0.336,0.386,0.336,0.286,0.403,0.407,0.258
07/19,0.349,0.411,0.329,0.376,0.329,0.28,0.382,0.393,0.239
07/20,0.344,0.404,0.323,0.371,0.323,0.274,0.361,0.374,0.22
07/21,0.34,0.401,0.321,0.368,0.321,0.274,0.367,0.364,0.237
07/22,0.369,0.434,0.347,0.397,0.347,0.295,0.397,0.39,0.248
07/23,0.338,0.398,0.319,0.365,0.319,0.273,0.37,0.339,0.213
07/24,0.34,0.401,0.321,0.367,0.321,0.272,0.367,0.328,0.197
07/25,0.311,0.367,0.293,0.333,0.293,0.249,0.324,0.284,0.132
07/26,0.323,0.383,0.306,0.35,0.306,0.26,0.341,0.32,0.24
07/27,0.292,0.342,0.274,0.311,0.274,0.233,0.32,0.279,0.2
07/28,0.296,0.35,0.28,0.316,0.28,0.24,0.33,0.271,0.208
07/29,0.295,0.345,0.276,0.311,0.276,0.235,0.329,0.24,0.182
07/30,0.316,0.374,0.298,0.337,0.298,0.255,0.356,0.243,0.178
07/31,0.301,0.354,0.284,0.319,0.284,0.241,0.314,0.201,0.128
08/01,0.318,0.375,0.301,0.337,0.301,0.257,0.34,0.174,0.092
08/02,0.288,0.337,0.271,0.303,0.271,0.228,0.284,0.167,0.097
08/03,0.299,0.352,0.283,0.317,0.283,0.241,0.326,0.181,0.11
08/04,0.275,0.324,0.26,0.291,0.26,0.22,0.324,0.144,0.093
08/05,0.251,0.294,0.236,0.265,0.236,0.2,0.296,0.09,0.04
08/06,0.248,0.292,0.233,0.263,0.233,0.199,0.279,0.113,0.1
08/07,0.275,0.323,0.257,0.289,0.257,0.22,0.299,0.13,0.09
08/08,0.242,0.285,0.227,0.254,0.227,0.194,0.269,0.13,0.07
08/09,0.251,0.293,0.235,0.262,0.235,0.2,0.263,0.11,0.09
08/10,0.296,0.346,0.277,0.309,0.277,0.234,0.32,0.08,0.0
08/11,0.308,0.361,0.289,0.322,0.289,0.244,0.339,0.145,
08/12,0.295,0.346,0.278,0.309,0.278,0.235,0.326,0.125,
08/13,0.316,0.37,0.297,0.329,0.297,0.252,0.354,0.125,
08/14,0.276,0.325,0.26,0.29,0.26,0.221,0.296,0.09,
08/15,0.303,0.357,0.286,0.317,0.286,0.243,0.314,0.0,
08/16,0.292,0.345,0.275,0.306,0.275,0.234,0.307,,
08/17,0.31,0.365,0.292,0.323,0.292,0.247,0.334,,
08/18,0.277,0.324,0.259,0.286,0.259,0.221,0.294,,
08/19,0.265,0.312,0.25,0.276,0.25,0.211,0.257,,
08/20,0.234,0.274,0.219,0.24,0.219,0.186,0.23,,
08/21,0.249,0.294,0.236,0.258,0.236,0.2,0.244,,
08/22,0.247,0.29,0.232,0.254,0.232,0.197,0.24,,
08/23,0.235,0.276,0.223,0.242,0.223,0.187,0.253,,
08/24,0.267,0.313,0.249,0.274,0.249,0.211,0.27,,
08/25,0.269,0.316,0.253,0.275,0.253,0.213,0.276,,
08/26,0.26,0.304,0.242,0.265,0.242,0.204,0.266,,
08/27,0.241,0.283,0.227,0.248,0.227,0.189,0.24,,
08/28,0.256,0.3,0.241,0.261,0.241,0.201,0.236,,
08/29,0.274,0.321,0.255,0.278,0.255,0.212,0.261,,
08/30,0.271,0.316,0.252,0.273,0.252,0.209,0.263,,
08/31,0.239,0.28,0.226,0.242,0.226,0.186,0.224,,
09/01,0.254,0.297,0.238,0.257,0.238,0.196,0.24,,
09/02,0.274,0.322,0.256,0.278,0.256,0.209,0.254,,
09/03,0.253,0.298,0.24,0.258,0.24,0.195,0.239,,
09/04,0.247,0.29,0.232,0.252,0.232,0.191,0.26,,
09/05,0.265,0.313,0.25,0.272,0.25,0.201,0.269,,
09/06,0.235,0.276,0.221,0.237,0.221,0.177,0.227,,
09/07,0.253,0.298,0.239,0.257,0.239,0.192,0.24,,
09/08,0.267,0.313,0.251,0.269,0.251,0.199,0.246,,
09/09,0.253,0.298,0.238,0.256,0.238,0.188,0.23,,
09/10,0.229,0.27,0.216,0.232,0.216,0.171,0.204,,
09/11,0.239,0.279,0.223,0.24,0.223,0.174,0.194,,
09/12,0.226,0.266,0.213,0.23,0.214,0.165,0.204,,
09/13,0.231,0.272,0.216,0.232,0.218,0.169,0.187,,
09/14,0.193,0.229,0.18,0.195,0.183,0.141,0.154,,
09/15,0.206,0.242,0.189,0.206,0.194,0.147,0.176,,
09/16,0.196,0.231,0.181,0.196,0.185,0.139,0.159,,
09/17,0.196,0.23,0.179,0.196,0.184,0.137,0.154,,
09/18,0.217,0.255,0.198,0.217,0.203,0.15,0.171,,
09/19,0.186,0.219,0.168,0.185,0.176,0.125,0.13,,
09/20,0.172,0.202,0.155,0.169,0.16,0.112,0.073,,
09/21,0.157,0.183,0.14,0.154,0.146,0.098,0.07,,
09/22,0.15,0.176,0.134,0.147,0.14,0.093,0.094,,
09/23,0.161,0.189,0.143,0.158,0.151,0.098,0.1,,
09/24,0.186,0.219,0.166,0.182,0.174,0.108,0.104,,
09/25,0.184,0.217,0.162,0.183,0.172,0.104,0.042,,
09/26,0.202,0.237,0.179,0.2,0.19,0.112,0.125,,
09/27,0.174,0.204,0.151,0.17,0.164,0.091,0.125,,
09/28,0.156,0.185,0.136,0.155,0.148,0.08,0.095,,
09/29,0.157,0.184,0.135,0.155,0.149,0.078,0.085,,
09/30,0.0,0.0,0.117,0.135,0.0,0.0,0.0,,
10/01,,,0.105,0.123,,,,,
10/02,,,0.096,0.111,,,,,
10/03,,,0.113,0.131,,,,,
10/04,,,0.111,0.127,,,,,
10/05,,,0.099,0.116,,,,,
10/06,,,0.094,0.111,,,,,
10/07,,,0.118,0.138,,,,,
10/08,,,0.113,0.137,,,,,
10/09,,,0.102,0.121,,,,,
10/10,,,0.115,0.139,,,,,
10/11,,,0.096,0.118,,,,,
10/12,,,0.091,0.112,,,,,
10/13,,,0.09,0.111,,,,,
10/14,,,0.101,0.123,,,,,
10/15,,,0.1,0.122,,,,,
10/16,,,0.102,0.124,,,,,
10/17,,,0.114,0.14,,,,,
10/18,,,0.089,0.108,,,,,
10/19,,,0.084,0.106,,,,,
10/20,,,0.0,0.0,,,,,
