# Station Code,mdfo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,CBBG,FCRN,HAYM,HAYP,HOPS,LAWN,LETC,PAST,PEAR,PECH,POTA,SBRY,SCRN,SGRN,TBER,WGRN,WGRP
03/11,0.041,0.041,0.02,,,0.04,0.04,,0.048,,0.038,0.01,0.01,,0.021,,0.019,0.01,0.061,
03/12,0.049,0.049,0.02,,,0.08,0.08,,0.056,,0.043,0.02,0.015,,0.024,,0.022,0.01,0.07,
03/13,0.039,0.039,0.02,,,0.06,0.06,,0.047,,0.035,0.01,0.01,,0.019,,0.019,0.01,0.056,
03/14,0.037,0.037,0.02,,,0.04,0.04,,0.039,,0.03,0.01,0.015,,0.017,,0.015,0.01,0.049,
03/15,0.038,0.038,0.03,,,0.04,0.04,0.01,0.045,,0.034,0.015,0.013,,0.02,,0.017,0.01,0.054,
03/16,0.045,0.045,0.02,,,0.06,0.06,0.01,0.057,,0.042,0.015,0.018,,0.026,,0.022,0.01,0.068,
03/17,0.052,0.052,0.02,,,0.1,0.1,0.01,0.065,,0.049,0.018,0.02,,0.033,,0.025,0.02,0.076,
03/18,0.059,0.059,0.02,,,0.11,0.11,0.01,0.072,,0.054,0.022,0.022,,0.037,,0.03,0.02,0.084,
03/19,0.053,0.053,0.01,,,0.11,0.11,0.01,0.065,,0.049,0.025,0.02,,0.034,,0.029,0.02,0.075,
03/20,0.051,0.051,0.02,,,0.07,0.07,0.01,0.062,,0.046,0.023,0.017,0.02,0.033,,0.027,0.02,0.072,
03/21,0.055,0.055,0.02,,,0.09,0.09,0.01,0.065,,0.046,0.022,0.017,0.03,0.035,,0.03,0.02,0.076,
03/22,0.055,0.055,0.02,,,0.06,0.06,0.01,0.065,,0.048,0.015,0.019,0.02,0.038,,0.031,0.01,0.075,
03/23,0.063,0.063,0.03,,,0.06,0.06,0.01,0.072,,0.054,0.017,0.019,0.02,0.042,,0.037,0.02,0.083,
03/24,0.062,0.062,0.02,,,0.05,0.05,0.01,0.067,,0.048,0.015,0.019,0.02,0.043,,0.038,0.01,0.079,
03/25,0.061,0.062,0.02,,0.04,0.11,0.11,0.01,0.065,,0.049,0.02,0.02,0.04,0.045,0.035,0.04,0.03,0.079,0.015
03/26,0.074,0.075,0.02,,0.05,0.14,0.14,0.02,0.078,,0.06,0.022,0.021,0.05,0.054,0.035,0.048,0.04,0.093,0.015
03/27,0.072,0.074,0.02,,0.05,0.17,0.17,0.02,0.075,,0.058,0.023,0.023,0.05,0.057,0.04,0.052,0.05,0.091,0.025
03/28,0.082,0.085,0.02,,0.04,0.13,0.13,0.01,0.087,,0.066,0.027,0.024,0.04,0.068,0.04,0.059,0.04,0.103,0.02
03/29,0.077,0.079,0.04,,0.04,0.13,0.13,0.01,0.08,,0.062,0.027,0.023,0.04,0.063,0.04,0.061,0.04,0.097,0.02
03/30,0.084,0.088,0.04,,0.04,0.13,0.13,0.01,0.084,,0.068,0.028,0.026,0.04,0.072,0.04,0.066,0.05,0.105,0.02
03/31,0.092,0.095,0.02,,0.03,0.09,0.1,0.01,0.092,,0.073,0.025,0.024,0.03,0.082,0.04,0.074,0.04,0.114,0.025
04/01,0.091,0.096,0.02,,0.037,0.12,0.12,0.01,0.092,,0.071,0.022,0.023,0.04,0.081,0.035,0.074,0.05,0.112,0.018
04/02,0.108,0.115,0.04,,0.043,0.13,0.13,0.01,0.108,,0.085,0.028,0.028,0.05,0.098,0.042,0.092,0.06,0.13,0.024
04/03,0.092,0.099,0.03,,0.03,0.1,0.11,0.01,0.092,,0.072,0.027,0.026,0.04,0.088,0.035,0.082,0.05,0.111,0.02
04/04,0.079,0.086,0.04,,0.027,0.11,0.11,0.01,0.079,,0.065,0.023,0.022,0.04,0.078,0.03,0.075,0.05,0.097,0.019
04/05,0.084,0.094,0.03,,0.03,0.1,0.11,0.01,0.085,,0.068,0.023,0.024,0.04,0.086,0.03,0.081,0.05,0.103,0.02
04/06,0.099,0.111,0.03,,0.037,0.07,0.07,0.01,0.096,,0.079,0.026,0.027,0.03,0.096,0.04,0.1,0.03,0.12,0.023
04/07,0.104,0.116,0.05,,0.03,0.04,0.04,0.0,0.102,,0.082,0.028,0.029,0.01,0.103,0.037,0.106,0.02,0.125,0.024
04/08,0.109,0.123,0.05,,0.04,0.1,0.11,0.01,0.105,,0.087,0.029,0.031,0.04,0.111,0.038,0.112,0.06,0.131,0.024
04/09,0.116,0.131,0.06,,0.043,0.14,0.14,0.02,0.113,,0.092,0.031,0.032,0.06,0.122,0.043,0.122,0.08,0.138,0.029
04/10,0.107,0.118,0.03,,0.04,0.13,0.13,0.01,0.099,,0.084,0.033,0.031,0.05,0.108,0.038,0.105,0.08,0.125,0.025
04/11,0.093,0.105,0.06,,0.034,0.06,0.06,0.01,0.088,,0.073,0.028,0.028,0.02,0.095,0.033,0.093,0.03,0.111,0.022
04/12,0.115,0.132,0.07,,0.043,0.15,0.15,0.02,0.11,,0.092,0.034,0.035,0.06,0.12,0.04,0.115,0.1,0.137,0.025
04/13,0.113,0.129,0.08,,0.04,0.15,0.15,0.02,0.106,,0.089,0.036,0.036,0.07,0.119,0.039,0.114,0.1,0.135,0.028
04/14,0.104,0.118,0.05,,0.037,0.09,0.09,0.01,0.098,,0.083,0.032,0.034,0.04,0.112,0.036,0.106,0.06,0.123,0.025
04/15,0.104,0.118,0.037,0.02,0.039,0.14,0.14,0.02,0.099,,0.082,0.033,0.035,0.07,0.111,0.038,0.111,0.1,0.123,0.031
04/16,0.109,0.128,0.043,0.03,0.041,0.17,0.17,0.02,0.104,,0.089,0.038,0.039,0.08,0.12,0.044,0.118,0.12,0.13,0.032
04/17,0.118,0.135,0.057,0.04,0.046,0.2,0.2,0.02,0.109,,0.092,0.043,0.047,0.1,0.134,0.05,0.126,0.15,0.136,0.038
04/18,0.13,0.151,0.057,0.04,0.048,0.17,0.17,0.02,0.122,,0.102,0.043,0.052,0.09,0.143,0.048,0.138,0.13,0.152,0.041
04/19,0.125,0.145,0.05,0.04,0.046,0.2,0.2,0.02,0.118,,0.098,0.044,0.053,0.1,0.137,0.046,0.132,0.15,0.147,0.041
04/20,0.117,0.138,0.043,0.04,0.042,0.18,0.18,0.02,0.112,0.02,0.095,0.042,0.051,0.1,0.129,0.046,0.134,0.14,0.139,0.041
04/21,0.138,0.162,0.045,0.05,0.052,0.21,0.21,0.02,0.129,0.03,0.112,0.049,0.062,0.11,0.155,0.055,0.151,0.17,0.162,0.05
04/22,0.133,0.156,0.047,0.05,0.048,0.17,0.17,0.02,0.124,0.03,0.106,0.045,0.062,0.1,0.148,0.051,0.146,0.14,0.156,0.049
04/23,0.129,0.152,0.052,0.02,0.046,0.08,0.08,0.01,0.122,0.01,0.103,0.048,0.064,0.04,0.147,0.053,0.146,0.06,0.152,0.052
04/24,0.127,0.148,0.053,0.03,0.044,0.09,0.09,0.01,0.118,0.01,0.1,0.045,0.066,0.05,0.145,0.05,0.142,0.07,0.148,0.052
04/25,0.129,0.152,0.044,0.05,0.046,0.14,0.14,0.02,0.122,0.03,0.103,0.048,0.071,0.09,0.145,0.052,0.145,0.13,0.152,0.054
04/26,0.142,0.167,0.05,0.04,0.053,0.13,0.13,0.01,0.133,0.03,0.113,0.055,0.076,0.08,0.161,0.058,0.161,0.12,0.167,0.061
04/27,0.143,0.168,0.051,0.07,0.057,0.21,0.21,0.02,0.135,0.04,0.115,0.058,0.077,0.13,0.163,0.056,0.161,0.19,0.168,0.064
04/28,0.155,0.182,0.056,0.08,0.062,0.22,0.22,0.03,0.145,0.05,0.124,0.065,0.082,0.14,0.174,0.064,0.176,0.21,0.182,0.075
04/29,0.148,0.176,0.052,0.07,0.061,0.18,0.18,0.02,0.139,0.04,0.12,0.062,0.077,0.12,0.167,0.061,0.172,0.17,0.176,0.074
04/30,0.158,0.188,0.059,0.07,0.063,0.19,0.19,0.03,0.151,0.04,0.128,0.066,0.087,0.13,0.173,0.065,0.184,0.18,0.188,0.078
05/01,0.162,0.189,0.058,0.09,0.064,0.24,0.24,0.04,0.152,0.06,0.13,0.069,0.093,0.16,0.177,0.066,0.186,0.23,0.189,0.083
05/02,0.147,0.175,0.055,0.09,0.057,0.22,0.23,0.04,0.14,0.06,0.118,0.067,0.089,0.16,0.162,0.063,0.173,0.23,0.175,0.078
05/03,0.159,0.188,0.061,0.09,0.062,0.22,0.23,0.04,0.15,0.06,0.128,0.071,0.096,0.16,0.177,0.067,0.185,0.23,0.188,0.085
05/04,0.165,0.194,0.069,0.09,0.068,0.23,0.24,0.05,0.155,0.07,0.133,0.076,0.102,0.17,0.188,0.073,0.192,0.24,0.194,0.093
05/05,0.151,0.176,0.061,0.08,0.06,0.2,0.21,0.04,0.142,0.06,0.12,0.073,0.097,0.15,0.17,0.065,0.175,0.21,0.176,0.087
05/06,0.152,0.179,0.065,0.07,0.063,0.17,0.18,0.04,0.144,0.05,0.122,0.075,0.099,0.13,0.171,0.073,0.178,0.19,0.179,0.095
05/07,0.159,0.185,0.068,0.08,0.064,0.18,0.19,0.04,0.148,0.06,0.127,0.08,0.107,0.14,0.176,0.075,0.185,0.2,0.185,0.1
05/08,0.161,0.188,0.077,0.1,0.074,0.21,0.22,0.06,0.15,0.07,0.128,0.087,0.111,0.17,0.188,0.081,0.188,0.23,0.188,0.109
05/09,0.172,0.203,0.084,0.1,0.077,0.22,0.23,0.07,0.163,0.08,0.138,0.093,0.118,0.18,0.195,0.085,0.202,0.24,0.203,0.113
05/10,0.173,0.203,0.083,0.1,0.08,0.2,0.21,0.07,0.162,0.07,0.138,0.094,0.119,0.17,0.198,0.085,0.202,0.22,0.203,0.117
05/11,0.165,0.193,0.082,0.04,0.074,0.08,0.09,0.03,0.154,0.03,0.132,0.086,0.112,0.07,0.182,0.084,0.193,0.09,0.193,0.11
05/12,0.172,0.202,0.089,0.05,0.077,0.11,0.11,0.05,0.162,0.04,0.138,0.093,0.12,0.09,0.191,0.085,0.201,0.12,0.202,0.117
05/13,0.175,0.205,0.092,0.06,0.08,0.11,0.11,0.05,0.165,0.04,0.141,0.093,0.12,0.1,0.193,0.088,0.205,0.12,0.205,0.119
05/14,0.162,0.19,0.088,0.08,0.078,0.14,0.15,0.07,0.154,0.06,0.128,0.091,0.11,0.13,0.174,0.085,0.19,0.16,0.19,0.11
05/15,0.155,0.183,0.085,0.05,0.078,0.1,0.1,0.06,0.147,0.04,0.124,0.09,0.106,0.09,0.169,0.084,0.183,0.11,0.183,0.11
05/16,0.15,0.175,0.083,0.08,0.08,0.14,0.15,0.09,0.14,0.06,0.119,0.079,0.097,0.13,0.158,0.079,0.175,0.16,0.175,0.1
05/17,0.167,0.197,0.102,0.09,0.09,0.15,0.16,0.1,0.158,0.07,0.134,0.099,0.118,0.14,0.182,0.096,0.197,0.17,0.197,0.12
05/18,0.163,0.193,0.107,0.09,0.091,0.15,0.16,0.1,0.154,0.07,0.131,0.098,0.119,0.14,0.181,0.097,0.193,0.17,0.193,0.118
05/19,0.171,0.2,0.114,0.08,0.096,0.12,0.13,0.09,0.16,0.06,0.135,0.105,0.128,0.12,0.189,0.098,0.2,0.14,0.2,0.123
05/20,0.162,0.188,0.109,0.05,0.091,0.08,0.09,0.06,0.152,0.04,0.128,0.093,0.12,0.08,0.177,0.093,0.188,0.09,0.188,0.116
05/21,0.152,0.181,0.105,0.07,0.089,0.1,0.11,0.08,0.145,0.06,0.123,0.089,0.114,0.1,0.167,0.087,0.181,0.12,0.181,0.107
05/22,0.162,0.191,0.117,0.07,0.092,0.1,0.11,0.08,0.153,0.06,0.131,0.098,0.127,0.1,0.176,0.097,0.191,0.12,0.191,0.115
05/23,0.178,0.21,0.14,0.12,0.111,0.16,0.18,0.13,0.168,0.1,0.145,0.117,0.144,0.17,0.2,0.115,0.21,0.19,0.21,0.133
05/24,0.186,0.218,0.145,0.1,0.11,0.14,0.15,0.11,0.175,0.09,0.147,0.119,0.15,0.14,0.203,0.117,0.218,0.16,0.218,0.135
05/25,0.163,0.191,0.133,0.18,0.097,0.24,0.26,0.2,0.153,0.15,0.13,0.108,0.128,0.25,0.176,0.102,0.191,0.28,0.191,0.117
05/26,0.185,0.218,0.158,0.18,0.113,0.23,0.25,0.2,0.174,0.15,0.147,0.127,0.152,0.24,0.203,0.121,0.218,0.27,0.218,0.136
05/27,0.173,0.202,0.143,0.2,0.102,0.24,0.27,0.22,0.162,0.17,0.138,0.117,0.142,0.26,0.187,0.112,0.202,0.29,0.202,0.123
05/28,0.195,0.23,0.177,0.18,0.122,0.22,0.24,0.2,0.184,0.16,0.156,0.142,0.172,0.23,0.219,0.135,0.23,0.26,0.23,0.147
05/29,0.205,0.242,0.19,0.2,0.129,0.23,0.26,0.22,0.194,0.17,0.165,0.15,0.178,0.25,0.228,0.143,0.242,0.27,0.242,0.152
05/30,0.197,0.23,0.182,0.17,0.122,0.19,0.22,0.18,0.184,0.15,0.156,0.14,0.171,0.21,0.216,0.137,0.23,0.22,0.23,0.145
05/31,0.198,0.233,0.192,0.19,0.131,0.21,0.24,0.21,0.187,0.17,0.159,0.147,0.173,0.24,0.218,0.142,0.233,0.25,0.233,0.148
06/01,0.212,0.247,0.204,0.06,0.136,0.07,0.07,0.06,0.196,0.05,0.168,0.159,0.188,0.07,0.233,0.152,0.247,0.08,0.245,0.157
06/02,0.222,0.261,0.221,0.12,0.145,0.12,0.14,0.12,0.208,0.1,0.177,0.169,0.203,0.14,0.246,0.163,0.261,0.14,0.259,0.167
06/03,0.222,0.26,0.222,0.15,0.144,0.15,0.18,0.15,0.208,0.13,0.177,0.174,0.204,0.18,0.243,0.165,0.26,0.18,0.258,0.165
06/04,0.202,0.239,0.205,0.2,0.133,0.2,0.23,0.2,0.192,0.18,0.163,0.162,0.186,0.23,0.219,0.152,0.239,0.24,0.237,0.149
06/05,0.22,0.258,0.226,0.23,0.152,0.23,0.26,0.23,0.208,0.2,0.175,0.175,0.204,0.26,0.238,0.17,0.258,0.27,0.254,0.163
06/06,0.225,0.265,0.233,0.26,0.162,0.25,0.29,0.25,0.212,0.23,0.181,0.179,0.211,0.29,0.247,0.177,0.265,0.29,0.258,0.168
06/07,0.194,0.229,0.199,0.27,0.138,0.26,0.3,0.26,0.185,0.24,0.155,0.155,0.184,0.3,0.209,0.152,0.229,0.3,0.22,0.143
06/08,0.212,0.251,0.225,0.29,0.158,0.27,0.32,0.28,0.2,0.26,0.17,0.173,0.204,0.32,0.233,0.172,0.251,0.32,0.24,0.16
06/09,0.208,0.245,0.217,0.27,0.156,0.25,0.29,0.26,0.198,0.24,0.166,0.167,0.198,0.29,0.226,0.167,0.245,0.29,0.231,0.154
06/10,0.217,0.255,0.229,0.31,0.165,0.28,0.32,0.29,0.205,0.28,0.173,0.181,0.208,0.33,0.234,0.179,0.255,0.33,0.236,0.163
06/11,0.199,0.235,0.21,0.27,0.147,0.25,0.29,0.26,0.19,0.25,0.16,0.165,0.193,0.29,0.212,0.165,0.235,0.29,0.212,0.147
06/12,0.21,0.245,0.223,0.29,0.154,0.26,0.3,0.27,0.195,0.26,0.167,0.176,0.206,0.3,0.222,0.177,0.245,0.29,0.22,0.155
06/13,0.216,0.254,0.242,0.31,0.172,0.27,0.31,0.29,0.204,0.28,0.171,0.188,0.223,0.32,0.24,0.194,0.254,0.31,0.227,0.168
06/14,0.209,0.246,0.228,0.28,0.165,0.25,0.29,0.27,0.197,0.26,0.167,0.179,0.213,0.29,0.225,0.182,0.246,0.28,0.214,0.158
06/15,0.211,0.247,0.23,0.31,0.171,0.27,0.31,0.3,0.198,0.29,0.168,0.182,0.212,0.32,0.226,0.188,0.247,0.31,0.211,0.159
06/16,0.217,0.254,0.235,0.31,0.177,0.26,0.31,0.29,0.202,0.28,0.173,0.19,0.219,0.31,0.231,0.194,0.254,0.3,0.211,0.162
06/17,0.213,0.251,0.234,0.31,0.181,0.26,0.3,0.3,0.2,0.29,0.17,0.191,0.217,0.31,0.229,0.195,0.248,0.3,0.203,0.16
06/18,0.225,0.264,0.246,0.33,0.191,0.28,0.32,0.32,0.212,0.31,0.179,0.206,0.228,0.33,0.236,0.212,0.261,0.31,0.205,0.168
06/19,0.234,0.275,0.256,0.29,0.199,0.25,0.29,0.28,0.221,0.28,0.187,0.211,0.24,0.29,0.243,0.222,0.272,0.28,0.205,0.176
06/20,0.238,0.279,0.263,0.29,0.208,0.24,0.28,0.28,0.223,0.27,0.191,0.216,0.247,0.28,0.248,0.228,0.273,0.27,0.2,0.181
06/21,0.256,0.301,0.284,0.31,0.231,0.26,0.3,0.31,0.241,0.3,0.203,0.238,0.268,0.31,0.267,0.251,0.292,0.29,0.209,0.195
06/22,0.252,0.296,0.276,0.31,0.228,0.26,0.3,0.31,0.235,0.3,0.201,0.233,0.262,0.31,0.26,0.248,0.279,0.29,0.198,0.188
06/23,0.249,0.293,0.274,0.31,0.228,0.26,0.3,0.31,0.234,0.3,0.198,0.234,0.262,0.31,0.255,0.249,0.271,0.29,0.189,0.188
06/24,0.242,0.284,0.268,0.29,0.225,0.25,0.29,0.3,0.226,0.28,0.192,0.228,0.256,0.29,0.248,0.248,0.258,0.27,0.177,0.183
06/25,0.231,0.269,0.268,0.3,0.231,0.26,0.29,0.31,0.216,0.29,0.184,0.229,0.257,0.3,0.244,0.251,0.242,0.28,0.165,0.185
06/26,0.242,0.285,0.279,0.3,0.248,0.26,0.29,0.31,0.228,0.29,0.193,0.243,0.273,0.3,0.255,0.267,0.246,0.28,0.167,0.193
06/27,0.249,0.295,0.283,0.25,0.254,0.22,0.25,0.27,0.236,0.24,0.198,0.249,0.274,0.25,0.256,0.275,0.248,0.23,0.165,0.196
06/28,0.243,0.286,0.268,0.23,0.243,0.2,0.23,0.25,0.229,0.23,0.195,0.243,0.263,0.23,0.241,0.265,0.229,0.22,0.152,0.185
06/29,0.259,0.303,0.286,0.33,0.263,0.29,0.33,0.36,0.243,0.32,0.205,0.26,0.282,0.33,0.255,0.283,0.235,0.31,0.152,0.198
06/30,0.268,0.315,0.293,0.33,0.275,0.29,0.33,0.36,0.251,0.32,0.213,0.268,0.292,0.33,0.261,0.297,0.238,0.31,0.152,0.204
07/01,0.273,0.32,0.295,0.34,0.278,0.3,0.34,0.38,0.256,0.33,0.217,0.269,0.294,0.34,0.26,0.298,0.232,0.31,0.121,0.205
07/02,0.272,0.319,0.294,0.36,0.283,0.31,0.36,0.4,0.255,0.35,0.216,0.272,0.296,0.35,0.258,0.302,0.221,0.33,0.151,0.205
07/03,0.268,0.316,0.29,0.28,0.284,0.25,0.28,0.32,0.254,0.28,0.215,0.269,0.293,0.28,0.252,0.301,0.21,0.26,0.145,0.203
07/04,0.275,0.322,0.294,0.35,0.294,0.3,0.35,0.39,0.258,0.34,0.218,0.278,0.302,0.34,0.254,0.31,0.205,0.32,0.138,0.208
07/05,0.267,0.312,0.283,0.24,0.283,0.21,0.24,0.27,0.25,0.0,0.212,0.269,0.293,0.23,0.243,0.3,0.19,0.21,0.131,0.199
07/06,0.275,0.324,0.296,0.31,0.299,0.27,0.31,0.35,0.259,,0.22,0.283,0.306,0.3,0.249,0.313,0.186,0.28,0.127,0.209
07/07,0.271,0.317,0.283,0.27,0.292,0.24,0.27,0.31,0.252,,0.215,0.278,0.302,0.26,0.24,0.307,0.173,0.24,0.118,0.203
07/08,0.238,0.278,0.259,0.09,0.265,0.08,0.09,0.1,0.223,,0.189,0.256,0.276,0.09,0.217,0.281,0.148,0.08,0.112,0.187
07/09,0.259,0.304,0.269,0.18,0.283,0.16,0.18,0.21,0.242,,0.206,0.268,0.289,0.17,0.225,0.294,0.148,0.16,0.104,0.192
07/10,0.257,0.302,0.265,0.15,0.278,0.14,0.15,0.18,0.242,,0.205,0.267,0.287,0.15,0.217,0.292,0.108,0.0,0.026,0.193
07/11,0.258,0.304,0.273,0.2,0.293,0.18,0.2,0.23,0.244,,0.205,0.286,0.307,0.19,0.223,0.304,0.166,,0.125,0.199
07/12,0.26,0.306,0.264,0.15,0.285,0.14,0.15,0.18,0.246,,0.208,0.285,0.302,0.14,0.216,0.298,0.145,,0.11,0.198
07/13,0.263,0.312,0.268,0.21,0.291,0.19,0.22,0.25,0.25,,0.211,0.292,0.309,0.2,0.217,0.303,0.141,,0.105,0.198
07/14,0.273,0.322,0.277,0.24,0.305,0.22,0.24,0.29,0.259,,0.218,0.304,0.324,0.22,0.219,0.316,0.136,,0.1,0.208
07/15,0.277,0.325,0.276,0.28,0.311,0.25,0.28,0.33,0.262,,0.221,0.307,0.328,0.25,0.22,0.316,0.072,,0.0,0.209
07/16,0.267,0.312,0.263,0.27,0.298,0.24,0.27,0.32,0.249,,0.212,0.305,0.321,0.24,0.207,0.304,0.17,,,0.203
07/17,0.252,0.298,0.24,0.27,0.279,0.25,0.28,0.33,0.239,,0.203,0.29,0.3,0.25,0.19,0.284,0.133,,,0.189
07/18,0.258,0.304,0.241,0.28,0.285,0.26,0.29,0.34,0.244,,0.206,0.296,0.307,0.26,0.189,0.288,0.123,,,0.193
07/19,0.273,0.319,0.253,0.31,0.305,0.28,0.31,0.37,0.256,,0.215,0.318,0.331,0.28,0.199,0.302,0.127,,,0.206
07/20,0.276,0.325,0.246,0.31,0.312,0.28,0.31,0.37,0.261,,0.221,0.323,0.337,0.28,0.198,0.306,0.103,,,0.208
07/21,0.278,0.327,0.27,0.32,0.32,0.29,0.32,0.38,0.262,,0.222,0.332,0.347,0.29,0.198,0.312,0.145,,,0.214
07/22,0.272,0.32,0.259,0.28,0.314,0.26,0.29,0.34,0.256,,0.218,0.328,0.342,0.25,0.19,0.303,0.14,,,0.211
07/23,0.258,0.303,0.255,0.27,0.302,0.25,0.28,0.33,0.242,,0.205,0.316,0.328,0.24,0.179,0.29,0.135,,,0.202
07/24,0.267,0.314,0.248,0.28,0.308,0.26,0.29,0.34,0.251,,0.213,0.323,0.336,0.25,0.177,0.292,0.125,,,0.205
07/25,0.268,0.315,0.241,0.27,0.307,0.25,0.28,0.33,0.252,,0.215,0.324,0.335,0.24,0.172,0.29,0.065,,,0.205
07/26,0.272,0.322,0.24,0.23,0.313,0.22,0.24,0.29,0.258,,0.218,0.332,0.342,0.21,0.171,0.291,0.12,,,0.208
07/27,0.242,0.285,0.21,0.23,0.282,0.22,0.24,0.29,0.228,,0.192,0.297,0.307,0.2,0.149,0.259,0.11,,,0.188
07/28,0.265,0.309,0.219,0.27,0.298,0.25,0.28,0.33,0.248,,0.208,0.316,0.326,0.23,0.153,0.273,0.1,,,0.2
07/29,0.27,0.316,0.223,0.26,0.303,0.24,0.27,0.32,0.253,,0.212,0.324,0.333,0.22,0.152,0.278,0.1,,,0.203
07/30,0.252,0.296,0.208,0.27,0.286,0.26,0.28,0.34,0.238,,0.201,0.307,0.313,0.23,0.137,0.258,0.09,,,0.193
07/31,0.254,0.298,0.204,0.25,0.287,0.23,0.26,0.31,0.238,,0.203,0.306,0.312,0.2,0.133,0.254,0.09,,,0.192
08/01,0.245,0.289,0.195,0.0,0.277,0.21,0.23,0.28,0.232,,0.196,0.299,0.303,0.18,0.127,0.208,0.0,,,0.186
08/02,0.242,0.284,0.184,,0.273,0.09,0.1,0.12,0.228,,0.192,0.294,0.299,0.07,0.121,0.258,,,,0.185
08/03,0.247,0.288,0.183,,0.283,0.21,0.23,0.27,0.23,,0.197,0.307,0.312,0.17,0.118,0.253,,,,0.191
08/04,0.246,0.288,0.175,,0.278,0.22,0.25,0.29,0.232,,0.195,0.304,0.307,0.18,0.113,0.244,,,,0.19
08/05,0.235,0.277,0.16,,0.267,0.25,0.27,0.32,0.222,,0.188,0.292,0.295,0.19,0.103,0.134,,,,0.182
08/06,0.235,0.275,0.153,,0.259,0.19,0.21,0.25,0.22,,0.186,0.286,0.288,0.14,0.097,0.228,,,,0.179
08/07,0.242,0.283,0.154,,0.263,0.22,0.25,0.29,0.227,,0.192,0.292,0.293,0.16,0.095,0.223,,,,0.182
08/08,0.24,0.283,0.149,,0.263,0.25,0.27,0.32,0.227,,0.192,0.293,0.295,0.17,0.091,0.232,,,,0.182
08/09,0.217,0.254,0.128,,0.233,0.21,0.23,0.27,0.202,,0.173,0.261,0.263,0.14,0.077,0.208,,,,0.163
08/10,0.218,0.254,0.112,,0.24,0.18,0.19,0.22,0.203,,0.173,0.267,0.268,0.0,0.071,0.08,,,,0.17
08/11,0.222,0.262,0.131,,0.247,0.19,0.21,0.24,0.208,,0.177,0.274,0.273,,0.082,0.24,,,,0.173
08/12,0.235,0.277,0.128,,0.258,0.22,0.25,0.28,0.222,,0.188,0.289,0.285,,0.081,0.24,,,,0.182
