# Station Code,evty
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
05/11,0.152,0.166,0.151,0.125,0.052
05/12,0.186,0.204,0.184,0.149,0.065
05/13,0.188,0.207,0.185,0.152,0.06
05/14,0.186,0.208,0.181,0.15,0.065
05/15,0.174,0.191,0.168,0.14,0.057
05/16,0.181,0.201,0.176,0.147,0.067
05/17,0.154,0.171,0.147,0.122,0.07
05/18,0.173,0.195,0.163,0.138,0.087
05/19,0.182,0.206,0.173,0.146,0.094
05/20,0.16,0.181,0.152,0.129,0.073
05/21,0.141,0.163,0.135,0.113,0.067
05/22,0.155,0.179,0.147,0.126,0.079
05/23,0.136,0.156,0.129,0.107,0.064
05/24,0.171,0.199,0.161,0.136,0.083
05/25,0.174,0.204,0.164,0.139,0.098
05/26,0.177,0.209,0.169,0.143,0.11
05/27,0.181,0.21,0.169,0.145,0.114
05/28,0.174,0.203,0.161,0.14,0.119
05/29,0.184,0.216,0.173,0.146,0.134
05/30,0.194,0.229,0.181,0.155,0.141
05/31,0.208,0.244,0.196,0.166,0.161
06/01,0.199,0.233,0.185,0.159,0.166
06/02,0.208,0.246,0.196,0.166,0.18
06/03,0.24,0.283,0.225,0.191,0.21
06/04,0.243,0.284,0.229,0.191,0.207
06/05,0.242,0.286,0.228,0.195,0.229
06/06,0.223,0.264,0.212,0.18,0.212
06/07,0.239,0.28,0.224,0.191,0.23
06/08,0.225,0.268,0.214,0.182,0.219
06/09,0.247,0.29,0.231,0.196,0.245
06/10,0.229,0.265,0.212,0.179,0.234
06/11,0.223,0.261,0.211,0.177,0.236
06/12,0.238,0.281,0.226,0.193,0.259
06/13,0.214,0.251,0.2,0.171,0.239
06/14,0.23,0.27,0.217,0.186,0.254
06/15,0.259,0.305,0.245,0.206,0.289
06/16,0.245,0.289,0.23,0.196,0.276
06/17,0.221,0.26,0.209,0.176,0.251
06/18,0.229,0.27,0.215,0.184,0.261
06/19,0.241,0.284,0.228,0.193,0.276
06/20,0.235,0.278,0.223,0.19,0.271
06/21,0.256,0.301,0.241,0.204,0.297
06/22,0.247,0.291,0.233,0.198,0.289
06/23,0.247,0.291,0.234,0.199,0.289
06/24,0.233,0.273,0.217,0.186,0.271
06/25,0.239,0.28,0.224,0.19,0.279
06/26,0.274,0.323,0.256,0.219,0.321
06/27,0.297,0.349,0.277,0.236,0.347
06/28,0.294,0.341,0.273,0.231,0.34
06/29,0.233,0.273,0.217,0.185,0.273
06/30,0.181,0.212,0.17,0.145,0.212
07/01,0.244,0.286,0.23,0.196,0.286
07/02,0.268,0.314,0.253,0.214,0.314
07/03,0.279,0.328,0.263,0.223,0.328
07/04,0.283,0.333,0.266,0.225,0.333
07/05,0.27,0.316,0.253,0.214,0.316
07/06,0.276,0.324,0.26,0.221,0.324
07/07,0.309,0.362,0.291,0.245,0.362
07/08,0.296,0.348,0.278,0.236,0.348
07/09,0.299,0.351,0.281,0.239,0.351
07/10,0.297,0.352,0.282,0.239,0.352
07/11,0.279,0.329,0.263,0.221,0.329
07/12,0.29,0.341,0.273,0.231,0.341
07/13,0.306,0.36,0.286,0.245,0.36
07/14,0.277,0.326,0.26,0.221,0.326
07/15,0.266,0.311,0.249,0.21,0.311
07/16,0.286,0.336,0.27,0.228,0.336
07/17,0.3,0.351,0.28,0.238,0.351
07/18,0.302,0.355,0.284,0.24,0.355
07/19,0.276,0.325,0.26,0.223,0.325
07/20,0.259,0.306,0.245,0.207,0.306
07/21,0.269,0.315,0.253,0.212,0.315
07/22,0.258,0.302,0.24,0.205,0.302
07/23,0.265,0.31,0.247,0.21,0.31
07/24,0.255,0.299,0.239,0.203,0.299
07/25,0.264,0.311,0.249,0.212,0.31
07/26,0.264,0.309,0.247,0.21,0.307
07/27,0.268,0.314,0.25,0.211,0.311
07/28,0.26,0.305,0.244,0.208,0.301
07/29,0.263,0.309,0.247,0.21,0.301
07/30,0.254,0.299,0.24,0.201,0.287
07/31,0.224,0.263,0.211,0.18,0.249
08/01,0.224,0.264,0.211,0.18,0.246
08/02,0.211,0.25,0.2,0.173,0.226
08/03,0.266,0.312,0.251,0.212,0.276
08/04,0.269,0.318,0.255,0.215,0.274
08/05,0.249,0.294,0.235,0.199,0.249
08/06,0.264,0.309,0.247,0.21,0.245
08/07,0.23,0.27,0.215,0.182,0.207
08/08,0.24,0.283,0.226,0.193,0.199
08/09,0.271,0.319,0.256,0.217,0.209
08/10,0.266,0.312,0.251,0.21,0.18
08/11,0.259,0.304,0.244,0.206,0.189
08/12,0.261,0.307,0.245,0.21,0.18
08/13,0.27,0.316,0.251,0.212,0.166
08/14,0.264,0.31,0.247,0.21,0.15
08/15,0.265,0.309,0.247,0.208,0.107
08/16,0.245,0.29,0.233,0.198,0.128
08/17,0.274,0.321,0.258,0.219,0.138
08/18,0.229,0.268,0.216,0.181,0.102
08/19,0.224,0.263,0.211,0.177,0.086
08/20,0.225,0.265,0.213,0.18,0.034
08/21,0.244,0.285,0.229,0.193,0.14
08/22,0.231,0.271,0.216,0.184,0.12
08/23,0.237,0.279,0.223,0.189,0.07
08/24,0.247,0.29,0.231,0.195,0.1
08/25,0.253,0.299,0.24,0.201,0.0
08/26,0.251,0.292,0.233,0.198,
08/27,0.254,0.297,0.238,0.2,
08/28,0.247,0.291,0.235,0.196,
08/29,0.269,0.313,0.25,0.207,
08/30,0.266,0.311,0.249,0.206,
08/31,0.23,0.271,0.217,0.18,
09/01,0.225,0.264,0.21,0.175,
09/02,0.245,0.289,0.233,0.189,
09/03,0.221,0.259,0.208,0.17,
09/04,0.233,0.274,0.219,0.177,
09/05,0.24,0.28,0.225,0.181,
09/06,0.242,0.286,0.229,0.185,
09/07,0.251,0.294,0.236,0.186,
09/08,0.212,0.249,0.199,0.16,
09/09,0.205,0.242,0.194,0.154,
09/10,0.196,0.23,0.184,0.145,
09/11,0.204,0.24,0.193,0.15,
09/12,0.228,0.266,0.212,0.165,
09/13,0.182,0.214,0.171,0.134,
09/14,0.189,0.221,0.176,0.134,
09/15,0.191,0.226,0.181,0.139,
09/16,0.189,0.223,0.179,0.134,
09/17,0.199,0.233,0.186,0.139,
09/18,0.217,0.258,0.206,0.151,
09/19,0.185,0.217,0.174,0.125,
09/20,0.177,0.208,0.166,0.116,
09/21,0.17,0.201,0.163,0.107,
09/22,0.171,0.201,0.16,0.105,
09/23,0.156,0.182,0.146,0.092,
09/24,0.169,0.198,0.156,0.096,
09/25,0.18,0.211,0.169,0.101,
09/26,0.19,0.226,0.18,0.104,
09/27,0.184,0.215,0.172,0.095,
09/28,0.169,0.198,0.159,0.084,
09/29,0.16,0.189,0.15,0.08,
09/30,0.0,0.0,0.0,0.0,
