# Station Code,bkvo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,FCRN,LAWN,PAST,POTA,PPMT,SGRN,WGRN
05/23,0.147,0.166,,,0.14,0.117,,0.03,0.115,0.169
05/24,0.155,0.175,,,0.146,0.125,,0.037,0.122,0.175
05/25,0.147,0.166,0.04,,0.137,0.117,,0.031,0.122,0.167
05/26,0.168,0.192,0.04,,0.158,0.134,,0.036,0.144,0.19
05/27,0.159,0.185,0.04,,0.148,0.128,,0.037,0.142,0.181
05/28,0.16,0.188,0.04,,0.152,0.128,,0.038,0.145,0.185
05/29,0.173,0.202,0.055,,0.162,0.138,,0.043,0.159,0.195
05/30,0.169,0.197,0.045,,0.158,0.135,,0.042,0.159,0.193
05/31,0.168,0.196,0.05,,0.158,0.135,,0.042,0.159,0.192
06/01,0.168,0.196,0.04,0.04,0.158,0.135,0.075,0.045,0.163,0.193
06/02,0.178,0.207,0.037,0.06,0.165,0.142,0.055,0.052,0.176,0.205
06/03,0.185,0.218,0.04,0.04,0.175,0.148,0.06,0.055,0.188,0.214
06/04,0.185,0.218,0.048,0.045,0.175,0.147,0.07,0.059,0.192,0.214
06/05,0.205,0.241,0.056,0.072,0.194,0.165,0.076,0.067,0.218,0.238
06/06,0.187,0.219,0.053,0.07,0.175,0.148,0.076,0.066,0.198,0.217
06/07,0.186,0.218,0.051,0.064,0.175,0.148,0.066,0.068,0.199,0.215
06/08,0.176,0.208,0.053,0.066,0.167,0.142,0.068,0.071,0.194,0.206
06/09,0.168,0.198,0.047,0.059,0.159,0.135,0.068,0.072,0.186,0.195
06/10,0.175,0.205,0.047,0.059,0.165,0.139,0.064,0.075,0.193,0.204
06/11,0.179,0.212,0.051,0.064,0.168,0.145,0.066,0.082,0.202,0.21
06/12,0.192,0.225,0.06,0.068,0.178,0.153,0.07,0.091,0.215,0.222
06/13,0.185,0.217,0.058,0.066,0.173,0.148,0.064,0.095,0.208,0.215
06/14,0.19,0.224,0.058,0.07,0.179,0.152,0.06,0.103,0.215,0.222
06/15,0.178,0.212,0.054,0.065,0.17,0.143,0.066,0.1,0.206,0.21
06/16,0.18,0.212,0.057,0.067,0.168,0.144,0.068,0.105,0.208,0.21
06/17,0.188,0.219,0.063,0.069,0.175,0.148,0.07,0.114,0.215,0.218
06/18,0.156,0.183,0.062,0.058,0.148,0.125,0.059,0.098,0.181,0.183
06/19,0.183,0.213,0.073,0.07,0.169,0.145,0.071,0.12,0.212,0.212
06/20,0.197,0.232,0.078,0.076,0.185,0.157,0.077,0.134,0.231,0.232
06/21,0.191,0.225,0.079,0.075,0.181,0.153,0.077,0.138,0.223,0.224
06/22,0.207,0.243,0.089,0.081,0.193,0.165,0.086,0.152,0.242,0.242
06/23,0.218,0.255,0.099,0.089,0.203,0.174,0.093,0.166,0.254,0.255
06/24,0.212,0.249,0.099,0.088,0.198,0.169,0.094,0.167,0.249,0.248
06/25,0.205,0.242,0.106,0.087,0.193,0.165,0.093,0.166,0.242,0.242
06/26,0.194,0.228,0.114,0.084,0.182,0.155,0.09,0.162,0.228,0.228
06/27,0.219,0.257,0.123,0.098,0.206,0.174,0.105,0.185,0.257,0.257
06/28,0.235,0.275,0.134,0.106,0.22,0.187,0.116,0.204,0.275,0.275
06/29,0.205,0.241,0.126,0.095,0.193,0.164,0.105,0.178,0.241,0.241
06/30,0.231,0.272,0.147,0.11,0.219,0.185,0.122,0.205,0.272,0.272
07/01,0.229,0.271,0.143,0.114,0.216,0.183,0.125,0.21,0.271,0.271
07/02,0.244,0.286,0.15,0.125,0.229,0.195,0.136,0.227,0.286,0.286
07/03,0.242,0.287,0.158,0.128,0.23,0.194,0.141,0.231,0.287,0.287
07/04,0.231,0.271,0.153,0.125,0.216,0.185,0.139,0.222,0.271,0.271
07/05,0.24,0.282,0.168,0.136,0.225,0.191,0.149,0.233,0.282,0.282
07/06,0.237,0.278,0.167,0.138,0.223,0.189,0.152,0.236,0.278,0.278
07/07,0.238,0.278,0.179,0.141,0.222,0.189,0.155,0.238,0.278,0.278
07/08,0.231,0.271,0.169,0.142,0.216,0.183,0.157,0.235,0.271,0.271
07/09,0.23,0.27,0.173,0.146,0.216,0.184,0.16,0.235,0.27,0.268
07/10,0.227,0.266,0.173,0.149,0.212,0.181,0.163,0.238,0.266,0.263
07/11,0.231,0.272,0.186,0.156,0.218,0.185,0.172,0.243,0.272,0.268
07/12,0.228,0.27,0.183,0.158,0.217,0.183,0.176,0.245,0.27,0.265
07/13,0.23,0.271,0.203,0.164,0.215,0.185,0.182,0.247,0.271,0.259
07/14,0.235,0.276,0.214,0.172,0.222,0.188,0.192,0.254,0.276,0.259
07/15,0.238,0.278,0.216,0.178,0.222,0.188,0.198,0.26,0.278,0.259
07/16,0.224,0.262,0.218,0.172,0.208,0.178,0.19,0.244,0.262,0.238
07/17,0.238,0.28,0.221,0.187,0.223,0.191,0.208,0.263,0.28,0.251
07/18,0.242,0.284,0.234,0.195,0.228,0.192,0.216,0.268,0.284,0.248
07/19,0.226,0.265,0.218,0.185,0.213,0.18,0.205,0.251,0.265,0.228
07/20,0.245,0.288,0.237,0.207,0.229,0.195,0.227,0.274,0.288,0.243
07/21,0.253,0.296,0.266,0.219,0.238,0.2,0.237,0.282,0.296,0.249
07/22,0.25,0.294,0.253,0.222,0.234,0.198,0.239,0.279,0.291,0.244
07/23,0.241,0.284,0.25,0.218,0.227,0.193,0.234,0.27,0.281,0.227
07/24,0.248,0.29,0.273,0.226,0.232,0.197,0.243,0.278,0.284,0.227
07/25,0.246,0.288,0.263,0.232,0.231,0.196,0.244,0.277,0.277,0.223
07/26,0.234,0.275,0.247,0.225,0.22,0.188,0.236,0.262,0.257,0.201
07/27,0.266,0.312,0.287,0.261,0.251,0.212,0.272,0.297,0.285,0.224
07/28,0.256,0.3,0.273,0.257,0.238,0.204,0.263,0.285,0.27,0.205
07/29,0.245,0.287,0.27,0.249,0.229,0.195,0.254,0.274,0.253,0.191
07/30,0.262,0.305,0.294,0.272,0.244,0.206,0.272,0.291,0.257,0.189
07/31,0.252,0.295,0.291,0.268,0.237,0.2,0.265,0.282,0.239,0.175
08/01,0.238,0.28,0.272,0.258,0.225,0.192,0.252,0.265,0.218,0.124
08/02,0.252,0.295,0.296,0.276,0.235,0.2,0.268,0.282,0.221,0.205
08/03,0.244,0.287,0.273,0.272,0.231,0.195,0.26,0.273,0.215,0.2
08/04,0.227,0.265,0.252,0.258,0.212,0.18,0.244,0.255,0.18,0.164
08/05,0.235,0.274,0.261,0.268,0.218,0.185,0.252,0.263,0.148,0.152
08/06,0.231,0.272,0.252,0.266,0.218,0.183,0.25,0.259,0.231,0.164
08/07,0.228,0.268,0.242,0.264,0.214,0.181,0.248,0.256,0.223,0.163
08/08,0.22,0.258,0.241,0.255,0.207,0.175,0.239,0.248,0.221,0.157
08/09,0.229,0.269,0.247,0.268,0.216,0.183,0.25,0.257,0.217,0.153
08/10,0.222,0.261,0.236,0.261,0.209,0.175,0.243,0.249,0.2,0.154
08/11,0.236,0.278,0.262,0.278,0.224,0.188,0.258,0.265,0.22,0.144
08/12,0.225,0.265,0.242,0.265,0.212,0.18,0.246,0.253,0.189,0.126
08/13,0.226,0.265,0.252,0.265,0.211,0.179,0.246,0.252,0.171,0.116
08/14,0.235,0.277,0.274,0.277,0.222,0.188,0.258,0.265,0.169,0.113
08/15,0.224,0.262,0.257,0.262,0.209,0.178,0.243,0.249,0.153,0.05
08/16,0.235,0.276,0.264,0.276,0.221,0.186,0.256,0.263,0.146,0.175
08/17,0.235,0.275,0.264,0.275,0.22,0.185,0.255,0.262,0.124,0.165
08/18,0.226,0.267,0.247,0.267,0.213,0.181,0.248,0.254,0.106,0.16
08/19,0.218,0.255,0.231,0.255,0.205,0.171,0.236,0.241,0.1,0.15
08/20,0.213,0.252,0.224,0.252,0.2,0.169,0.234,0.238,0.039,0.11
08/21,0.204,0.239,0.209,0.239,0.191,0.162,0.222,0.223,0.11,0.2
08/22,0.201,0.235,0.207,0.235,0.187,0.159,0.217,0.217,0.1,0.21
08/23,0.199,0.232,0.196,0.231,0.185,0.155,0.214,0.214,0.08,0.18
08/24,0.198,0.233,0.193,0.232,0.187,0.156,0.215,0.215,0.08,0.17
08/25,0.199,0.234,0.186,0.232,0.188,0.156,0.215,0.213,0.0,0.15
08/26,0.195,0.228,0.174,0.225,0.181,0.152,0.208,0.205,,0.15
08/27,0.2,0.236,0.178,0.232,0.189,0.156,0.218,0.208,,0.16
08/28,0.209,0.245,0.17,0.238,0.196,0.163,0.222,0.217,,0.15
08/29,0.237,0.277,0.2,0.268,0.22,0.18,0.25,0.242,,0.12
08/30,0.189,0.222,0.159,0.213,0.178,0.146,0.201,0.189,,0.12
08/31,0.202,0.237,0.154,0.226,0.191,0.155,0.212,0.199,,0.1
09/01,0.179,0.21,0.132,0.201,0.168,0.135,0.187,0.175,,0.09
09/02,0.187,0.22,0.137,0.208,0.176,0.143,0.194,0.18,,0.08
09/03,0.186,0.22,0.127,0.206,0.176,0.143,0.192,0.178,,0.07
09/04,0.177,0.207,0.111,0.194,0.167,0.131,0.178,0.164,,0.07
09/05,0.167,0.196,0.083,0.183,0.157,0.124,0.167,0.118,,0.0
09/06,0.162,0.188,0.107,0.173,0.15,0.117,0.159,0.143,,
09/07,0.187,0.22,0.118,0.202,0.176,0.136,0.185,0.16,,
09/08,0.175,0.206,0.082,0.19,0.166,0.126,0.171,0.153,,
09/09,0.173,0.205,0.075,0.187,0.165,0.122,0.168,0.147,,
09/10,0.159,0.188,0.023,0.165,0.149,0.112,0.153,0.087,,
09/11,0.168,0.196,0.15,0.183,0.157,0.115,0.161,0.165,,
09/12,0.156,0.183,0.08,0.168,0.146,0.105,0.148,0.168,,
09/13,0.16,0.188,0.11,0.172,0.152,0.107,0.151,0.155,,
09/14,0.151,0.178,0.1,0.159,0.142,0.101,0.142,0.128,,
09/15,0.136,0.16,0.09,0.169,0.162,0.098,0.161,0.0,,
09/16,0.148,0.175,0.09,0.167,0.144,0.107,0.142,,,
09/17,0.15,0.176,0.06,0.151,0.136,0.106,0.132,,,
09/18,0.111,0.13,0.07,0.128,0.112,0.078,0.109,,,
09/19,0.124,0.145,0.04,0.132,0.121,0.086,0.115,,,
09/20,0.13,0.153,0.06,0.14,0.128,0.087,0.119,,,
09/21,0.128,0.151,0.07,0.136,0.125,0.082,0.115,,,
09/22,0.117,0.138,0.05,0.121,0.115,0.075,0.105,,,
09/23,0.123,0.144,0.06,0.13,0.121,0.076,0.106,,,
09/24,0.121,0.143,0.04,0.135,0.13,0.073,0.11,,,
09/25,0.127,0.149,0.0,0.109,0.12,0.073,0.102,,,
09/26,0.13,0.152,,0.14,0.131,0.072,0.105,,,
09/27,0.141,0.166,,0.144,0.138,0.075,0.107,,,
09/28,0.116,0.134,,0.108,0.112,0.057,0.085,,,
09/29,0.103,0.121,,0.116,0.105,0.051,0.076,,,
09/30,0.0,0.0,,0.03,0.0,0.0,0.046,,,
10/01,,,,0.115,,,0.086,,,
10/02,,,,0.135,,,0.074,,,
10/03,,,,0.135,,,0.076,,,
10/04,,,,0.07,,,0.06,,,
10/05,,,,0.0,,,0.013,,,
10/06,,,,,,,0.03,,,
10/07,,,,,,,0.03,,,
10/08,,,,,,,0.04,,,
10/09,,,,,,,0.04,,,
10/10,,,,,,,0.0,,,
