# Station Code,drpw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALHM,ALHP,FCRN,GRSD,GRSF,HAYM,HAYP,LAWN,PAST,RAPE,RAPF,SGRN,WGRN
03/23,0.015,0.015,0.02,0.01,,0.038,0.033,,,0.02,0.023,,0.03,,0.028
03/24,0.035,0.035,0.05,0.03,,0.032,0.018,,,0.037,0.04,,0.025,,0.04
03/25,0.013,0.013,0.02,0.02,,0.038,0.024,,,0.013,0.017,,0.025,,0.027
03/26,0.023,0.023,0.02,0.01,,0.038,0.028,,,0.018,0.023,,0.025,,0.035
03/27,0.03,0.03,0.02,0.01,,0.058,0.038,,,0.023,0.028,,0.035,,0.037
03/28,0.03,0.03,0.02,0.01,,0.056,0.034,,,0.023,0.03,,0.04,,0.035
03/29,0.04,0.04,0.05,0.03,,0.066,0.042,,,0.038,0.037,,0.045,,0.052
03/30,0.047,0.047,0.04,0.03,,0.074,0.048,,,0.038,0.035,,0.05,,0.053
03/31,0.047,0.047,0.04,0.03,,0.06,0.034,,,0.043,0.037,,0.035,,0.057
04/01,0.028,0.028,0.02,0.015,,0.068,0.04,0.057,0.057,0.043,0.037,,0.035,,0.049
04/02,0.032,0.032,0.022,0.018,,0.08,0.048,0.053,0.053,0.053,0.043,,0.04,,0.052
04/03,0.03,0.03,0.022,0.015,,0.06,0.034,0.06,0.06,0.052,0.038,,0.045,,0.048
04/04,0.033,0.033,0.023,0.018,,0.068,0.04,0.07,0.07,0.057,0.04,,0.06,,0.048
04/05,0.038,0.038,0.025,0.018,,0.051,0.036,0.06,0.06,0.044,0.037,,0.055,0.02,0.052
04/06,0.033,0.033,0.027,0.02,,0.057,0.038,0.062,0.062,0.043,0.034,,0.065,0.017,0.052
04/07,0.05,0.05,0.035,0.028,,0.069,0.046,0.076,0.076,0.059,0.048,,0.085,0.023,0.069
04/08,0.06,0.06,0.04,0.032,,0.07,0.047,0.079,0.079,0.063,0.051,,0.095,0.03,0.073
04/09,0.057,0.057,0.038,0.028,,0.072,0.048,0.082,0.082,0.063,0.051,,0.085,0.023,0.074
04/10,0.049,0.049,0.034,0.027,,0.072,0.049,0.082,0.082,0.069,0.053,,0.053,0.027,0.071
04/11,0.053,0.053,0.036,0.027,,0.08,0.054,0.092,0.092,0.076,0.057,,0.06,0.03,0.079
04/12,0.048,0.048,0.038,0.026,,0.079,0.051,0.083,0.083,0.07,0.053,,0.07,0.023,0.073
04/13,0.053,0.053,0.04,0.027,,0.088,0.056,0.09,0.09,0.078,0.056,,0.08,0.03,0.077
04/14,0.049,0.049,0.037,0.028,,0.09,0.058,0.089,0.089,0.077,0.053,,0.07,0.027,0.075
04/15,0.053,0.053,0.038,0.028,,0.092,0.058,0.094,0.094,0.075,0.055,,0.073,0.023,0.081
04/16,0.056,0.056,0.038,0.03,,0.093,0.057,0.094,0.094,0.077,0.055,,0.077,0.022,0.083
04/17,0.069,0.069,0.044,0.033,,0.103,0.062,0.099,0.099,0.084,0.065,,0.083,0.032,0.092
04/18,0.087,0.087,0.054,0.044,,0.122,0.074,0.122,0.122,0.104,0.076,,0.087,0.037,0.115
04/19,0.08,0.08,0.051,0.039,,0.117,0.071,0.113,0.113,0.095,0.072,,0.073,0.028,0.103
04/20,0.076,0.077,0.052,0.041,,0.116,0.07,0.113,0.113,0.098,0.074,,0.077,0.035,0.108
04/21,0.078,0.079,0.055,0.044,,0.121,0.074,0.115,0.115,0.101,0.075,,0.087,0.035,0.11
04/22,0.082,0.083,0.057,0.045,,0.124,0.076,0.121,0.121,0.106,0.078,,0.087,0.037,0.114
04/23,0.074,0.075,0.053,0.042,,0.12,0.074,0.109,0.109,0.097,0.07,,0.09,0.035,0.105
04/24,0.073,0.074,0.049,0.04,,0.107,0.068,0.101,0.101,0.089,0.067,,0.1,0.038,0.097
04/25,0.067,0.068,0.048,0.04,,0.1,0.066,0.097,0.097,0.084,0.062,0.02,0.093,0.03,0.093
04/26,0.087,0.09,0.059,0.05,,0.123,0.082,0.12,0.12,0.106,0.077,0.02,0.113,0.042,0.116
04/27,0.1,0.103,0.069,0.054,,0.14,0.1,0.136,0.136,0.12,0.089,0.02,0.15,0.049,0.132
04/28,0.102,0.107,0.071,0.059,,0.134,0.094,0.132,0.132,0.117,0.089,0.02,0.127,0.052,0.131
04/29,0.108,0.112,0.072,0.062,,0.142,0.101,0.139,0.139,0.122,0.093,0.03,0.143,0.059,0.136
04/30,0.109,0.114,0.075,0.065,,0.141,0.102,0.138,0.138,0.124,0.095,0.02,0.137,0.059,0.139
05/01,0.122,0.127,0.086,0.071,,0.148,0.112,0.149,0.149,0.135,0.102,0.033,0.069,0.067,0.151
05/02,0.133,0.141,0.093,0.08,,0.156,0.123,0.165,0.165,0.145,0.112,0.036,0.085,0.076,0.166
05/03,0.131,0.137,0.092,0.078,,0.152,0.12,0.158,0.158,0.139,0.109,0.036,0.082,0.076,0.159
05/04,0.14,0.148,0.1,0.086,,0.164,0.133,0.173,0.173,0.152,0.119,0.036,0.095,0.08,0.174
05/05,0.119,0.127,0.086,0.074,,0.142,0.114,0.137,0.138,0.12,0.098,0.033,0.07,0.077,0.144
05/06,0.132,0.141,0.098,0.085,,0.159,0.131,0.154,0.154,0.134,0.109,0.037,0.073,0.078,0.16
05/07,0.131,0.141,0.097,0.088,,0.151,0.118,0.15,0.15,0.131,0.106,0.034,0.079,0.085,0.157
05/08,0.142,0.157,0.109,0.098,,0.166,0.139,0.166,0.168,0.143,0.117,0.041,0.099,0.1,0.173
05/09,0.134,0.146,0.101,0.091,,0.152,0.131,0.153,0.154,0.131,0.109,0.039,0.098,0.096,0.16
05/10,0.15,0.165,0.116,0.102,,0.171,0.147,0.17,0.17,0.148,0.122,0.051,0.119,0.111,0.177
05/11,0.161,0.176,0.125,0.113,,0.18,0.155,0.181,0.182,0.156,0.128,0.058,0.126,0.122,0.188
05/12,0.148,0.165,0.12,0.108,,0.169,0.148,0.169,0.171,0.145,0.12,0.054,0.115,0.115,0.177
05/13,0.156,0.175,0.129,0.114,,0.18,0.158,0.18,0.182,0.155,0.128,0.061,0.127,0.117,0.187
05/14,0.153,0.17,0.127,0.114,,0.175,0.155,0.176,0.177,0.151,0.124,0.061,0.129,0.119,0.182
05/15,0.144,0.161,0.12,0.11,,0.166,0.15,0.166,0.166,0.141,0.117,0.064,0.124,0.118,0.172
05/16,0.141,0.158,0.121,0.109,,0.159,0.148,0.159,0.159,0.135,0.113,0.067,0.121,0.124,0.166
05/17,0.125,0.14,0.108,0.099,,0.142,0.13,0.139,0.141,0.118,0.1,0.068,0.109,0.11,0.147
05/18,0.143,0.158,0.126,0.114,,0.161,0.148,0.158,0.16,0.135,0.113,0.08,0.124,0.127,0.166
05/19,0.155,0.176,0.139,0.126,,0.175,0.164,0.172,0.173,0.147,0.124,0.086,0.138,0.142,0.182
05/20,0.148,0.167,0.134,0.122,0.06,0.166,0.16,0.164,0.165,0.137,0.118,0.094,0.133,0.136,0.173
05/21,0.168,0.193,0.156,0.142,0.055,0.19,0.184,0.189,0.19,0.159,0.135,0.113,0.158,0.163,0.198
05/22,0.164,0.19,0.153,0.141,0.055,0.184,0.177,0.183,0.184,0.155,0.131,0.114,0.152,0.162,0.191
05/23,0.15,0.175,0.146,0.132,0.048,0.17,0.164,0.169,0.17,0.142,0.121,0.111,0.147,0.152,0.176
05/24,0.15,0.174,0.146,0.132,0.053,0.168,0.163,0.167,0.168,0.141,0.119,0.124,0.148,0.155,0.175
05/25,0.126,0.145,0.122,0.112,0.037,0.142,0.136,0.139,0.141,0.119,0.1,0.104,0.124,0.128,0.147
05/26,0.165,0.193,0.166,0.151,0.048,0.184,0.18,0.184,0.184,0.155,0.132,0.142,0.17,0.174,0.194
05/27,0.165,0.193,0.169,0.155,0.048,0.184,0.179,0.184,0.185,0.155,0.133,0.148,0.169,0.177,0.194
05/28,0.169,0.198,0.173,0.16,0.05,0.188,0.183,0.188,0.188,0.159,0.136,0.157,0.176,0.186,0.198
05/29,0.183,0.216,0.19,0.177,0.06,0.204,0.2,0.206,0.207,0.173,0.146,0.177,0.195,0.202,0.216
05/30,0.178,0.209,0.187,0.173,0.058,0.198,0.193,0.199,0.2,0.168,0.143,0.176,0.191,0.196,0.209
05/31,0.163,0.191,0.173,0.161,0.068,0.178,0.175,0.181,0.182,0.152,0.13,0.165,0.179,0.184,0.191
06/01,0.162,0.191,0.174,0.162,0.058,0.176,0.176,0.181,0.182,0.153,0.131,0.17,0.18,0.184,0.191
06/02,0.183,0.215,0.198,0.183,0.064,0.199,0.195,0.205,0.206,0.172,0.146,0.194,0.205,0.209,0.215
06/03,0.19,0.223,0.205,0.192,0.068,0.206,0.201,0.212,0.213,0.179,0.151,0.202,0.213,0.217,0.223
06/04,0.181,0.212,0.196,0.184,0.064,0.197,0.189,0.201,0.204,0.169,0.144,0.195,0.204,0.207,0.212
06/05,0.183,0.215,0.199,0.188,0.067,0.199,0.193,0.204,0.207,0.173,0.146,0.204,0.208,0.209,0.215
06/06,0.181,0.212,0.196,0.186,0.068,0.195,0.191,0.2,0.202,0.168,0.145,0.203,0.207,0.209,0.212
06/07,0.183,0.214,0.199,0.188,0.067,0.196,0.192,0.201,0.206,0.171,0.145,0.207,0.208,0.211,0.214
06/08,0.169,0.199,0.186,0.175,0.063,0.177,0.174,0.187,0.19,0.159,0.136,0.194,0.195,0.198,0.199
06/09,0.137,0.161,0.152,0.145,0.052,0.144,0.141,0.151,0.155,0.128,0.109,0.157,0.16,0.161,0.161
06/10,0.147,0.172,0.161,0.154,0.055,0.148,0.145,0.159,0.164,0.138,0.116,0.169,0.172,0.171,0.172
06/11,0.175,0.207,0.195,0.186,0.07,0.179,0.175,0.191,0.197,0.166,0.141,0.204,0.207,0.206,0.207
06/12,0.183,0.215,0.202,0.192,0.073,0.183,0.183,0.198,0.206,0.172,0.146,0.212,0.215,0.214,0.215
06/13,0.167,0.196,0.185,0.178,0.067,0.166,0.162,0.18,0.188,0.156,0.133,0.193,0.196,0.195,0.196
06/14,0.168,0.196,0.184,0.176,0.068,0.157,0.158,0.178,0.187,0.156,0.133,0.194,0.196,0.196,0.196
06/15,0.155,0.182,0.173,0.163,0.065,0.142,0.147,0.164,0.173,0.146,0.123,0.181,0.181,0.182,0.182
06/16,0.162,0.19,0.179,0.172,0.068,0.142,0.151,0.17,0.181,0.152,0.13,0.189,0.189,0.19,0.19
06/17,0.184,0.217,0.206,0.198,0.079,0.155,0.167,0.194,0.207,0.172,0.147,0.216,0.215,0.217,0.217
06/18,0.169,0.199,0.187,0.18,0.075,0.134,0.148,0.177,0.189,0.158,0.135,0.198,0.196,0.199,0.199
06/19,0.18,0.212,0.2,0.192,0.083,0.143,0.158,0.188,0.202,0.169,0.145,0.211,0.209,0.212,0.212
06/20,0.192,0.226,0.212,0.205,0.091,0.15,0.166,0.198,0.214,0.18,0.155,0.226,0.223,0.226,0.226
06/21,0.188,0.221,0.207,0.201,0.091,0.14,0.161,0.192,0.211,0.177,0.149,0.221,0.217,0.221,0.221
06/22,0.206,0.242,0.226,0.22,0.102,0.148,0.175,0.209,0.232,0.193,0.164,0.242,0.234,0.242,0.242
06/23,0.204,0.242,0.225,0.218,0.105,0.143,0.17,0.21,0.23,0.193,0.164,0.242,0.232,0.242,0.242
06/24,0.191,0.226,0.212,0.203,0.096,0.121,0.151,0.195,0.214,0.182,0.153,0.226,0.215,0.226,0.226
06/25,0.213,0.25,0.232,0.225,0.113,0.129,0.165,0.213,0.237,0.2,0.169,0.25,0.239,0.25,0.25
06/26,0.212,0.25,0.233,0.226,0.119,0.119,0.161,0.212,0.237,0.199,0.17,0.25,0.238,0.25,0.25
06/27,0.204,0.238,0.222,0.215,0.115,0.111,0.152,0.201,0.224,0.188,0.162,0.238,0.226,0.238,0.238
06/28,0.215,0.253,0.236,0.228,0.127,0.114,0.157,0.212,0.239,0.202,0.172,0.253,0.239,0.253,0.253
06/29,0.21,0.248,0.23,0.223,0.126,0.106,0.147,0.206,0.232,0.198,0.168,0.248,0.231,0.248,0.248
06/30,0.222,0.26,0.241,0.235,0.14,0.11,0.152,0.216,0.243,0.209,0.176,0.26,0.24,0.26,0.26
07/01,0.228,0.269,0.25,0.243,0.15,0.112,0.154,0.221,0.251,0.215,0.183,0.269,0.236,0.269,0.268
07/02,0.212,0.25,0.232,0.224,0.142,0.098,0.139,0.205,0.233,0.201,0.17,0.25,0.247,0.25,0.248
07/03,0.216,0.255,0.237,0.228,0.148,0.098,0.137,0.21,0.238,0.204,0.174,0.255,0.252,0.255,0.251
07/04,0.213,0.251,0.233,0.225,0.151,0.096,0.124,0.204,0.233,0.202,0.172,0.25,0.247,0.251,0.246
07/05,0.232,0.273,0.252,0.244,0.166,0.099,0.134,0.221,0.253,0.22,0.186,0.272,0.273,0.273,0.267
07/06,0.225,0.264,0.244,0.235,0.164,0.092,0.125,0.21,0.245,0.21,0.181,0.261,0.264,0.264,0.255
07/07,0.22,0.259,0.24,0.231,0.163,0.096,0.121,0.208,0.242,0.207,0.177,0.251,0.246,0.259,0.248
07/08,0.213,0.25,0.231,0.224,0.163,0.091,0.116,0.201,0.232,0.201,0.17,0.24,0.239,0.25,0.235
07/09,0.213,0.249,0.23,0.223,0.164,0.085,0.108,0.199,0.232,0.199,0.169,0.239,0.243,0.249,0.228
07/10,0.198,0.232,0.215,0.206,0.159,0.066,0.091,0.186,0.215,0.186,0.157,0.226,0.239,0.232,0.208
07/11,0.205,0.24,0.222,0.214,0.167,0.077,0.099,0.191,0.223,0.191,0.163,0.23,0.242,0.24,0.212
07/12,0.218,0.256,0.237,0.227,0.183,0.079,0.103,0.204,0.237,0.204,0.175,0.242,0.253,0.256,0.22
07/13,0.218,0.255,0.234,0.227,0.186,0.079,0.102,0.204,0.235,0.204,0.175,0.24,0.252,0.255,0.215
07/14,0.225,0.266,0.245,0.236,0.2,0.081,0.1,0.213,0.245,0.213,0.181,0.249,0.262,0.266,0.218
07/15,0.22,0.258,0.237,0.229,0.198,0.05,0.078,0.207,0.238,0.207,0.176,0.229,0.249,0.258,0.206
07/16,0.219,0.259,0.239,0.23,0.202,0.08,0.108,0.209,0.241,0.209,0.178,0.259,0.252,0.256,0.199
07/17,0.218,0.255,0.236,0.228,0.206,0.086,0.115,0.204,0.236,0.204,0.173,0.247,0.239,0.252,0.189
07/18,0.229,0.27,0.249,0.239,0.219,0.078,0.1,0.217,0.249,0.217,0.183,0.272,0.264,0.264,0.189
07/19,0.214,0.251,0.229,0.223,0.208,0.078,0.097,0.201,0.231,0.201,0.171,0.25,0.241,0.239,0.166
07/20,0.235,0.275,0.252,0.244,0.232,0.022,0.06,0.219,0.253,0.219,0.186,0.276,0.264,0.259,0.177
07/21,0.239,0.28,0.258,0.248,0.24,0.11,0.175,0.225,0.258,0.225,0.19,0.278,0.268,0.256,0.168
07/22,0.218,0.257,0.235,0.228,0.224,0.13,0.185,0.206,0.235,0.206,0.174,0.246,0.233,0.232,0.153
07/23,0.222,0.261,0.236,0.232,0.231,0.09,0.15,0.21,0.239,0.21,0.177,0.257,0.246,0.227,0.145
07/24,0.219,0.257,0.236,0.227,0.234,0.1,0.16,0.205,0.236,0.205,0.176,0.248,0.236,0.222,0.138
07/25,0.215,0.251,0.228,0.221,0.231,0.09,0.15,0.2,0.23,0.2,0.171,0.237,0.224,0.205,0.1
07/26,0.214,0.252,0.231,0.223,0.235,0.08,0.15,0.202,0.23,0.202,0.17,0.233,0.221,0.196,0.152
07/27,0.222,0.261,0.236,0.232,0.247,0.08,0.145,0.207,0.236,0.207,0.177,0.238,0.224,0.191,0.137
07/28,0.23,0.27,0.245,0.237,0.257,0.08,0.135,0.216,0.244,0.216,0.183,0.231,0.218,0.186,0.137
07/29,0.231,0.273,0.247,0.242,0.264,0.08,0.155,0.219,0.247,0.219,0.185,0.22,0.203,0.176,0.133
07/30,0.249,0.29,0.261,0.258,0.282,0.09,0.15,0.23,0.26,0.23,0.196,0.221,0.204,0.173,0.128
07/31,0.261,0.307,0.276,0.272,0.303,0.08,0.15,0.245,0.276,0.245,0.21,0.223,0.202,0.169,0.127
08/01,0.213,0.251,0.226,0.221,0.249,0.07,0.135,0.201,0.226,0.201,0.17,0.171,0.144,0.11,0.073
08/02,0.239,0.28,0.251,0.248,0.279,0.07,0.14,0.225,0.251,0.225,0.19,0.18,0.171,0.159,0.113
08/03,0.221,0.259,0.234,0.227,0.258,0.07,0.14,0.207,0.233,0.207,0.178,0.153,0.144,0.137,0.103
08/04,0.23,0.27,0.244,0.238,0.27,0.08,0.125,0.217,0.242,0.217,0.183,0.153,0.141,0.13,0.092
08/05,0.204,0.239,0.216,0.209,0.239,0.06,0.1,0.191,0.214,0.191,0.163,0.118,0.106,0.069,0.022
08/06,0.197,0.232,0.209,0.203,0.232,0.06,0.1,0.186,0.209,0.186,0.158,0.12,0.111,0.122,0.09
08/07,0.188,0.218,0.197,0.191,0.218,0.05,0.095,0.173,0.197,0.173,0.15,0.099,0.087,0.095,0.08
08/08,0.18,0.211,0.189,0.185,0.211,0.05,0.105,0.169,0.189,0.169,0.145,0.087,0.079,0.085,0.07
08/09,0.154,0.182,0.162,0.161,0.182,0.05,0.085,0.146,0.162,0.146,0.123,0.062,0.054,0.073,0.06
08/10,0.184,0.217,0.194,0.191,0.217,0.06,0.065,0.174,0.194,0.174,0.148,0.019,0.0,0.025,0.0
08/11,0.202,0.237,0.213,0.209,0.237,0.06,0.15,0.19,0.212,0.19,0.161,0.05,,0.1,
08/12,0.193,0.226,0.201,0.199,0.226,0.06,0.15,0.182,0.201,0.182,0.155,0.09,,0.09,
08/13,0.179,0.21,0.187,0.185,0.21,0.07,0.14,0.168,0.187,0.168,0.142,0.12,,0.1,
08/14,0.187,0.22,0.198,0.193,0.22,0.06,0.12,0.177,0.198,0.177,0.15,0.11,,0.07,
08/15,0.18,0.211,0.188,0.186,0.211,0.0,0.12,0.168,0.187,0.168,0.145,0.1,,0.0,
08/16,0.199,0.232,0.208,0.203,0.232,,0.13,0.185,0.206,0.185,0.159,0.09,,,
08/17,0.185,0.219,0.195,0.193,0.219,,0.15,0.173,0.194,0.173,0.148,0.08,,,
08/18,0.219,0.256,0.227,0.223,0.254,,0.17,0.205,0.225,0.205,0.174,0.08,,,
08/19,0.187,0.218,0.194,0.19,0.217,,0.12,0.176,0.192,0.176,0.148,0.07,,,
08/20,0.182,0.213,0.189,0.186,0.21,,0.12,0.17,0.187,0.17,0.144,0.0,,,
08/21,0.186,0.219,0.194,0.191,0.215,,0.12,0.175,0.191,0.175,0.148,,,,
08/22,0.154,0.182,0.161,0.158,0.178,,0.09,0.146,0.16,0.146,0.125,,,,
08/23,0.161,0.188,0.166,0.163,0.184,,0.1,0.151,0.165,0.151,0.127,,,,
08/24,0.185,0.218,0.193,0.189,0.209,,0.13,0.175,0.191,0.175,0.146,,,,
08/25,0.172,0.202,0.177,0.175,0.194,,0.12,0.162,0.175,0.162,0.136,,,,
08/26,0.161,0.189,0.168,0.164,0.181,,0.1,0.151,0.164,0.151,0.126,,,,
08/27,0.169,0.199,0.175,0.173,0.189,,0.08,0.159,0.173,0.159,0.134,,,,
08/28,0.164,0.192,0.169,0.168,0.181,,0.08,0.154,0.168,0.154,0.129,,,,
08/29,0.163,0.192,0.169,0.167,0.182,,0.08,0.155,0.167,0.155,0.128,,,,
08/30,0.139,0.164,0.145,0.143,0.155,,0.08,0.132,0.143,0.132,0.109,,,,
08/31,0.158,0.186,0.164,0.162,0.175,,0.12,0.148,0.162,0.148,0.123,,,,
09/01,0.162,0.192,0.17,0.166,0.177,,0.09,0.154,0.166,0.154,0.125,,,,
09/02,0.159,0.189,0.168,0.164,0.175,,0.1,0.15,0.165,0.15,0.123,,,,
09/03,0.12,0.142,0.125,0.123,0.132,,0.05,0.114,0.124,0.114,0.092,,,,
09/04,0.152,0.179,0.156,0.154,0.162,,0.08,0.143,0.153,0.143,0.115,,,,
09/05,0.153,0.179,0.157,0.153,0.161,,0.08,0.143,0.153,0.143,0.116,,,,
09/06,0.12,0.141,0.125,0.122,0.125,,0.08,0.111,0.122,0.111,0.091,,,,
09/07,0.14,0.165,0.144,0.141,0.149,,0.08,0.132,0.141,0.132,0.106,,,,
09/08,0.124,0.146,0.128,0.125,0.131,,0.07,0.116,0.126,0.116,0.093,,,,
09/09,0.135,0.158,0.137,0.136,0.139,,0.08,0.127,0.136,0.127,0.101,,,,
09/10,0.151,0.177,0.154,0.153,0.156,,0.09,0.142,0.153,0.142,0.11,,,,
09/11,0.132,0.154,0.135,0.133,0.134,,0.04,0.123,0.132,0.124,0.096,,,,
09/12,0.126,0.148,0.129,0.127,0.13,,0.05,0.117,0.127,0.118,0.093,,,,
09/13,0.129,0.153,0.132,0.13,0.13,,0.04,0.12,0.13,0.123,0.094,,,,
09/14,0.105,0.124,0.106,0.105,0.106,,0.03,0.097,0.105,0.098,0.076,,,,
09/15,0.118,0.139,0.119,0.118,0.117,,0.03,0.11,0.118,0.11,0.086,,,,
09/16,0.104,0.123,0.105,0.105,0.102,,0.03,0.097,0.104,0.1,0.076,,,,
09/17,0.091,0.106,0.091,0.091,0.089,,0.04,0.082,0.091,0.086,0.062,,,,
09/18,0.097,0.112,0.098,0.098,0.095,,0.05,0.087,0.096,0.09,0.066,,,,
09/19,0.093,0.109,0.094,0.094,0.09,,0.04,0.086,0.092,0.087,0.061,,,,
09/20,0.111,0.131,0.111,0.111,0.11,,0.07,0.101,0.11,0.103,0.073,,,,
09/21,0.129,0.153,0.133,0.132,0.127,,0.08,0.118,0.128,0.123,0.083,,,,
09/22,0.101,0.119,0.101,0.101,0.098,,0.04,0.09,0.1,0.096,0.062,,,,
09/23,0.092,0.108,0.092,0.092,0.089,,0.03,0.082,0.091,0.086,0.058,,,,
09/24,0.092,0.109,0.093,0.092,0.088,,0.03,0.082,0.091,0.087,0.051,,,,
09/25,0.09,0.107,0.091,0.09,0.013,,0.03,0.079,0.09,0.086,0.051,,,,
09/26,0.101,0.117,0.101,0.101,0.05,,0.03,0.086,0.097,0.093,0.056,,,,
09/27,0.106,0.124,0.106,0.106,0.03,,0.04,0.092,0.104,0.099,0.056,,,,
09/28,0.11,0.131,0.111,0.11,0.04,,0.03,0.099,0.11,0.104,0.057,,,,
09/29,0.094,0.111,0.094,0.094,0.05,,0.01,0.082,0.092,0.088,0.047,,,,
09/30,0.0,0.0,0.013,0.013,0.0,,0.0,0.08,0.092,0.0,0.0,,,,
10/01,,,0.11,0.105,,,,0.068,0.08,,,,,,
10/02,,,0.07,0.07,,,,0.067,0.079,,,,,,
10/03,,,0.075,0.075,,,,0.062,0.072,,,,,,
10/04,,,0.085,0.085,,,,0.069,0.079,,,,,,
10/05,,,0.085,0.085,,,,0.059,0.068,,,,,,
10/06,,,0.115,0.115,,,,0.068,0.08,,,,,,
10/07,,,0.125,0.125,,,,0.06,0.071,,,,,,
10/08,,,0.08,0.08,,,,0.052,0.061,,,,,,
10/09,,,0.07,0.07,,,,0.059,0.07,,,,,,
10/10,,,0.06,0.06,,,,0.059,0.07,,,,,,
10/11,,,0.085,0.085,,,,0.061,0.077,,,,,,
10/12,,,0.06,0.06,,,,0.047,0.056,,,,,,
10/13,,,0.07,0.07,,,,0.039,0.052,,,,,,
10/14,,,0.05,0.05,,,,0.044,0.053,,,,,,
10/15,,,0.105,0.105,,,,0.053,0.066,,,,,,
10/16,,,0.095,0.095,,,,0.06,0.073,,,,,,
10/17,,,0.055,0.055,,,,0.052,0.066,,,,,,
10/18,,,0.05,0.05,,,,0.028,0.034,,,,,,
10/19,,,0.045,0.045,,,,0.032,0.04,,,,,,
10/20,,,0.0,0.0,,,,0.0,0.0,,,,,,
