# Station Code,crsm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,CHRY,LAWN,PAST,PEAS,POTA,PPMT,SGRN,SPMT,WGRN
05/17,0.144,0.162,0.045,0.137,0.116,0.053,0.062,0.042,0.128,0.036,0.167
05/18,0.139,0.154,0.042,0.131,0.108,0.048,0.045,0.037,0.115,0.033,0.159
05/19,0.132,0.149,0.045,0.127,0.105,0.049,0.05,0.033,0.115,0.032,0.154
05/20,0.136,0.154,0.052,0.128,0.108,0.055,0.049,0.038,0.118,0.036,0.158
05/21,0.145,0.164,0.06,0.134,0.115,0.055,0.05,0.042,0.128,0.038,0.166
05/22,0.143,0.165,0.064,0.133,0.114,0.059,0.055,0.045,0.135,0.04,0.165
05/23,0.142,0.165,0.07,0.133,0.115,0.061,0.055,0.046,0.138,0.042,0.165
05/24,0.132,0.153,0.068,0.124,0.106,0.056,0.052,0.044,0.132,0.04,0.153
05/25,0.135,0.158,0.075,0.128,0.108,0.063,0.053,0.045,0.133,0.042,0.158
05/26,0.135,0.158,0.082,0.128,0.108,0.068,0.057,0.049,0.138,0.046,0.158
05/27,0.128,0.15,0.085,0.119,0.102,0.064,0.055,0.048,0.134,0.046,0.15
05/28,0.138,0.163,0.096,0.131,0.111,0.07,0.06,0.052,0.148,0.051,0.163
05/29,0.156,0.183,0.107,0.147,0.125,0.082,0.068,0.063,0.163,0.061,0.183
05/30,0.161,0.189,0.119,0.152,0.128,0.085,0.068,0.065,0.17,0.062,0.189
05/31,0.148,0.173,0.112,0.139,0.118,0.078,0.066,0.067,0.157,0.062,0.173
06/01,0.134,0.157,0.106,0.125,0.108,0.078,0.06,0.065,0.148,0.061,0.157
06/02,0.145,0.169,0.128,0.136,0.115,0.09,0.066,0.069,0.162,0.067,0.169
06/03,0.152,0.179,0.132,0.143,0.122,0.093,0.07,0.074,0.172,0.072,0.179
06/04,0.185,0.219,0.161,0.175,0.148,0.118,0.088,0.092,0.203,0.09,0.219
06/05,0.171,0.199,0.148,0.159,0.136,0.11,0.082,0.091,0.186,0.085,0.199
06/06,0.151,0.177,0.132,0.142,0.12,0.104,0.074,0.086,0.167,0.078,0.177
06/07,0.162,0.189,0.149,0.152,0.129,0.118,0.08,0.092,0.183,0.088,0.189
06/08,0.147,0.172,0.137,0.137,0.116,0.109,0.079,0.092,0.168,0.086,0.172
06/09,0.159,0.188,0.154,0.151,0.127,0.119,0.092,0.105,0.184,0.098,0.188
06/10,0.132,0.155,0.128,0.123,0.105,0.098,0.075,0.087,0.149,0.081,0.155
06/11,0.165,0.193,0.165,0.155,0.132,0.13,0.098,0.112,0.188,0.104,0.193
06/12,0.181,0.212,0.181,0.171,0.145,0.145,0.109,0.126,0.207,0.119,0.212
06/13,0.14,0.164,0.142,0.132,0.112,0.118,0.086,0.098,0.162,0.095,0.164
06/14,0.14,0.165,0.144,0.132,0.111,0.125,0.088,0.101,0.162,0.1,0.165
06/15,0.145,0.169,0.147,0.136,0.115,0.135,0.093,0.108,0.167,0.105,0.169
06/16,0.138,0.162,0.145,0.13,0.111,0.132,0.094,0.109,0.162,0.106,0.162
06/17,0.143,0.168,0.15,0.135,0.114,0.143,0.099,0.113,0.167,0.112,0.168
06/18,0.131,0.153,0.136,0.122,0.104,0.128,0.089,0.104,0.152,0.104,0.153
06/19,0.129,0.153,0.136,0.124,0.105,0.128,0.096,0.11,0.153,0.108,0.153
06/20,0.136,0.158,0.142,0.125,0.108,0.138,0.099,0.117,0.158,0.112,0.158
06/21,0.158,0.185,0.166,0.148,0.126,0.165,0.12,0.138,0.184,0.135,0.185
06/22,0.178,0.208,0.189,0.166,0.144,0.188,0.138,0.158,0.207,0.153,0.208
06/23,0.17,0.2,0.182,0.158,0.136,0.183,0.138,0.155,0.199,0.151,0.2
06/24,0.148,0.175,0.16,0.14,0.119,0.163,0.118,0.136,0.174,0.134,0.175
06/25,0.169,0.199,0.183,0.159,0.135,0.187,0.142,0.158,0.198,0.155,0.199
06/26,0.173,0.204,0.188,0.163,0.138,0.192,0.147,0.165,0.203,0.162,0.204
06/27,0.175,0.206,0.191,0.165,0.139,0.195,0.151,0.168,0.205,0.164,0.206
06/28,0.18,0.212,0.197,0.171,0.145,0.199,0.159,0.175,0.212,0.172,0.212
06/29,0.155,0.182,0.168,0.146,0.123,0.173,0.137,0.152,0.182,0.148,0.182
06/30,0.186,0.218,0.204,0.174,0.148,0.205,0.17,0.185,0.218,0.181,0.218
07/01,0.195,0.229,0.214,0.183,0.157,0.214,0.179,0.195,0.229,0.192,0.228
07/02,0.195,0.23,0.216,0.184,0.158,0.21,0.183,0.198,0.23,0.193,0.228
07/03,0.19,0.223,0.21,0.178,0.152,0.203,0.181,0.195,0.223,0.19,0.218
07/04,0.203,0.238,0.225,0.19,0.162,0.21,0.195,0.211,0.238,0.204,0.232
07/05,0.192,0.225,0.212,0.182,0.153,0.195,0.187,0.2,0.225,0.195,0.219
07/06,0.192,0.225,0.213,0.18,0.154,0.192,0.189,0.2,0.225,0.196,0.217
07/07,0.195,0.229,0.22,0.182,0.156,0.191,0.195,0.205,0.229,0.199,0.22
07/08,0.186,0.22,0.21,0.175,0.148,0.182,0.189,0.201,0.22,0.196,0.208
07/09,0.199,0.234,0.224,0.187,0.159,0.192,0.202,0.213,0.234,0.208,0.218
07/10,0.202,0.238,0.231,0.191,0.163,0.185,0.21,0.219,0.238,0.215,0.216
07/11,0.179,0.209,0.205,0.167,0.142,0.154,0.184,0.192,0.209,0.19,0.19
07/12,0.196,0.232,0.225,0.185,0.158,0.171,0.207,0.215,0.232,0.212,0.205
07/13,0.185,0.217,0.213,0.173,0.149,0.154,0.193,0.201,0.217,0.198,0.188
07/14,0.181,0.212,0.209,0.17,0.144,0.144,0.192,0.198,0.212,0.196,0.177
07/15,0.185,0.219,0.216,0.176,0.149,0.146,0.2,0.205,0.219,0.203,0.177
07/16,0.195,0.228,0.227,0.183,0.155,0.14,0.207,0.215,0.226,0.212,0.184
07/17,0.179,0.21,0.207,0.168,0.142,0.125,0.191,0.198,0.208,0.196,0.165
07/18,0.207,0.242,0.239,0.193,0.165,0.135,0.222,0.229,0.237,0.226,0.178
07/19,0.195,0.23,0.228,0.184,0.156,0.125,0.21,0.218,0.223,0.215,0.162
07/20,0.188,0.222,0.219,0.178,0.15,0.105,0.205,0.212,0.213,0.208,0.15
07/21,0.216,0.253,0.251,0.202,0.172,0.128,0.233,0.242,0.235,0.239,0.161
07/22,0.205,0.242,0.239,0.193,0.164,0.114,0.223,0.23,0.222,0.228,0.15
07/23,0.224,0.262,0.26,0.212,0.178,0.12,0.243,0.252,0.235,0.249,0.156
07/24,0.215,0.252,0.25,0.202,0.172,0.113,0.234,0.24,0.22,0.239,0.142
07/25,0.202,0.236,0.234,0.188,0.161,0.087,0.218,0.226,0.197,0.225,0.107
07/26,0.192,0.225,0.223,0.181,0.153,0.099,0.208,0.215,0.182,0.215,0.134
07/27,0.194,0.226,0.225,0.18,0.155,0.094,0.208,0.216,0.177,0.215,0.132
07/28,0.194,0.228,0.226,0.182,0.155,0.091,0.212,0.218,0.168,0.218,0.127
07/29,0.211,0.248,0.246,0.199,0.169,0.094,0.228,0.238,0.171,0.238,0.134
07/30,0.214,0.251,0.248,0.2,0.171,0.09,0.232,0.241,0.163,0.24,0.124
07/31,0.219,0.258,0.256,0.207,0.175,0.089,0.239,0.247,0.155,0.247,0.117
08/01,0.205,0.24,0.238,0.192,0.163,0.073,0.222,0.229,0.118,0.229,0.084
08/02,0.194,0.227,0.225,0.182,0.155,0.077,0.21,0.218,0.136,0.218,0.103
08/03,0.194,0.228,0.227,0.182,0.156,0.064,0.212,0.218,0.13,0.218,0.1
08/04,0.195,0.229,0.228,0.184,0.155,0.059,0.212,0.219,0.124,0.219,0.093
08/05,0.185,0.216,0.216,0.172,0.147,0.051,0.2,0.206,0.072,0.206,0.035
08/06,0.186,0.219,0.219,0.176,0.149,0.049,0.202,0.209,0.127,0.209,0.105
08/07,0.197,0.231,0.231,0.185,0.158,0.049,0.213,0.221,0.132,0.221,0.11
08/08,0.173,0.205,0.205,0.162,0.139,0.041,0.19,0.195,0.105,0.195,0.09
08/09,0.168,0.198,0.198,0.157,0.135,0.031,0.182,0.188,0.097,0.188,0.08
08/10,0.17,0.201,0.201,0.162,0.137,0.0,0.185,0.192,0.053,0.192,0.045
08/11,0.175,0.204,0.204,0.163,0.138,,0.186,0.195,0.16,0.195,0.09
08/12,0.167,0.197,0.197,0.157,0.133,,0.18,0.188,0.15,0.188,0.09
08/13,0.168,0.2,0.2,0.159,0.135,,0.182,0.192,0.165,0.192,0.09
08/14,0.178,0.209,0.209,0.168,0.142,,0.189,0.199,0.165,0.199,0.08
08/15,0.18,0.211,0.211,0.168,0.144,,0.19,0.202,0.11,0.202,0.0
08/16,0.182,0.212,0.212,0.171,0.144,,0.193,0.202,0.23,0.202,
08/17,0.172,0.202,0.202,0.16,0.138,,0.181,0.192,0.26,0.192,
08/18,0.183,0.215,0.215,0.172,0.147,,0.192,0.205,0.19,0.205,
08/19,0.181,0.212,0.212,0.169,0.145,,0.185,0.202,0.18,0.202,
08/20,0.158,0.185,0.185,0.148,0.125,,0.162,0.176,0.17,0.176,
08/21,0.153,0.18,0.18,0.145,0.123,,0.157,0.172,0.18,0.172,
08/22,0.158,0.187,0.183,0.15,0.127,,0.163,0.177,0.2,0.177,
08/23,0.158,0.185,0.18,0.147,0.125,,0.158,0.175,0.17,0.175,
08/24,0.148,0.174,0.168,0.138,0.118,,0.148,0.165,0.14,0.165,
08/25,0.149,0.175,0.166,0.14,0.117,,0.148,0.165,0.12,0.165,
08/26,0.148,0.175,0.166,0.141,0.118,,0.146,0.166,0.09,0.166,
08/27,0.158,0.185,0.173,0.148,0.125,,0.153,0.176,0.11,0.176,
08/28,0.156,0.183,0.169,0.148,0.122,,0.152,0.173,0.09,0.173,
08/29,0.162,0.19,0.17,0.151,0.125,,0.157,0.181,0.06,0.181,
08/30,0.151,0.175,0.155,0.141,0.115,,0.143,0.166,0.0,0.166,
08/31,0.14,0.165,0.14,0.132,0.109,,0.132,0.156,,0.156,
09/01,0.165,0.193,0.164,0.154,0.127,,0.156,0.165,,0.184,
09/02,0.158,0.185,0.153,0.148,0.122,,0.146,0.19,,0.176,
09/03,0.125,0.148,0.119,0.118,0.097,,0.119,0.155,,0.14,
09/04,0.138,0.164,0.13,0.131,0.106,,0.13,0.171,,0.155,
09/05,0.135,0.159,0.123,0.127,0.104,,0.125,0.055,,0.048,
09/06,0.123,0.145,0.112,0.117,0.094,,0.112,0.135,,0.113,
09/07,0.133,0.156,0.118,0.125,0.1,,0.119,0.16,,0.128,
09/08,0.112,0.131,0.095,0.105,0.082,,0.099,0.122,,0.102,
09/09,0.121,0.142,0.104,0.114,0.09,,0.109,0.13,,0.123,
09/10,0.128,0.149,0.108,0.12,0.093,,0.11,0.0,,0.03,
09/11,0.123,0.145,0.102,0.115,0.09,,0.105,,,0.18,
09/12,0.122,0.144,0.097,0.115,0.089,,0.103,,,0.17,
09/13,0.112,0.129,0.085,0.104,0.079,,0.091,,,0.15,
09/14,0.107,0.126,0.08,0.102,0.078,,0.088,,,0.15,
09/15,0.121,0.14,0.085,0.112,0.085,,0.082,,,0.08,
09/16,0.113,0.135,0.079,0.108,0.081,,0.096,,,0.16,
09/17,0.108,0.125,0.071,0.099,0.076,,0.085,,,0.14,
09/18,0.092,0.108,0.059,0.088,0.064,,0.07,,,0.06,
09/19,0.089,0.104,0.055,0.085,0.059,,0.061,,,0.07,
09/20,0.098,0.115,0.041,0.092,0.065,,0.055,,,0.11,
09/21,0.1,0.116,0.07,0.092,0.062,,0.064,,,0.13,
09/22,0.079,0.092,0.054,0.073,0.05,,0.057,,,0.14,
09/23,0.092,0.108,0.066,0.087,0.055,,0.062,,,0.15,
09/24,0.103,0.121,0.069,0.095,0.058,,0.057,,,0.15,
09/25,0.092,0.107,0.047,0.086,0.051,,0.017,,,0.0,
09/26,0.097,0.114,0.062,0.091,0.055,,0.075,,,,
09/27,0.084,0.099,0.047,0.081,0.044,,0.04,,,,
09/28,0.091,0.107,0.053,0.087,0.046,,0.06,,,,
09/29,0.085,0.099,0.047,0.081,0.042,,0.055,,,,
09/30,0.0,0.0,0.018,0.0,0.0,,0.0,,,,
10/01,,,0.03,,,,,,,,
10/02,,,0.05,,,,,,,,
10/03,,,0.04,,,,,,,,
10/04,,,0.02,,,,,,,,
10/05,,,0.0,,,,,,,,
