# Station Code,libw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
06/16,0.168,0.196,0.159,0.134,0.196,0.196
06/17,0.195,0.229,0.182,0.155,0.229,0.229
06/18,0.18,0.211,0.169,0.144,0.211,0.211
06/19,0.175,0.206,0.165,0.14,0.206,0.206
06/20,0.18,0.21,0.168,0.144,0.21,0.21
06/21,0.172,0.203,0.161,0.14,0.203,0.203
06/22,0.201,0.236,0.188,0.161,0.236,0.236
06/23,0.195,0.23,0.185,0.156,0.23,0.23
06/24,0.191,0.224,0.179,0.152,0.224,0.224
06/25,0.211,0.249,0.199,0.169,0.249,0.249
06/26,0.225,0.265,0.214,0.179,0.265,0.265
06/27,0.221,0.26,0.208,0.176,0.26,0.26
06/28,0.221,0.26,0.209,0.177,0.26,0.26
06/29,0.216,0.254,0.203,0.173,0.254,0.254
06/30,0.22,0.258,0.206,0.174,0.258,0.258
07/01,0.215,0.254,0.204,0.174,0.254,0.253
07/02,0.209,0.246,0.196,0.166,0.246,0.245
07/03,0.2,0.235,0.188,0.159,0.235,0.233
07/04,0.209,0.245,0.195,0.166,0.245,0.241
07/05,0.251,0.295,0.236,0.201,0.295,0.289
07/06,0.228,0.269,0.216,0.181,0.269,0.259
07/07,0.217,0.256,0.205,0.174,0.256,0.246
07/08,0.212,0.251,0.201,0.171,0.251,0.236
07/09,0.211,0.247,0.198,0.169,0.247,0.231
07/10,0.189,0.221,0.176,0.151,0.22,0.203
07/11,0.191,0.224,0.179,0.151,0.223,0.205
07/12,0.212,0.25,0.201,0.169,0.246,0.223
07/13,0.205,0.242,0.195,0.164,0.239,0.212
07/14,0.21,0.249,0.199,0.168,0.242,0.21
07/15,0.214,0.25,0.201,0.17,0.241,0.206
07/16,0.224,0.26,0.209,0.174,0.246,0.204
07/17,0.214,0.25,0.199,0.17,0.237,0.195
07/18,0.22,0.258,0.205,0.175,0.242,0.19
07/19,0.196,0.23,0.185,0.158,0.211,0.161
07/20,0.22,0.259,0.207,0.175,0.234,0.174
07/21,0.241,0.283,0.226,0.193,0.25,0.179
07/22,0.215,0.253,0.2,0.17,0.217,0.154
07/23,0.216,0.253,0.201,0.174,0.216,0.15
07/24,0.22,0.26,0.208,0.175,0.216,0.146
07/25,0.214,0.251,0.201,0.17,0.195,0.117
07/26,0.212,0.249,0.199,0.17,0.21,0.138
07/27,0.209,0.244,0.194,0.165,0.197,0.128
07/28,0.221,0.259,0.206,0.176,0.203,0.132
07/29,0.231,0.27,0.216,0.184,0.196,0.125
07/30,0.247,0.289,0.23,0.196,0.197,0.123
07/31,0.253,0.295,0.235,0.199,0.184,0.112
08/01,0.194,0.23,0.185,0.155,0.127,0.05
08/02,0.217,0.255,0.205,0.172,0.153,0.097
08/03,0.199,0.234,0.188,0.159,0.128,0.087
08/04,0.211,0.247,0.198,0.169,0.125,0.083
08/05,0.195,0.23,0.185,0.155,0.072,0.023
08/06,0.186,0.217,0.172,0.149,0.103,0.06
08/07,0.185,0.216,0.172,0.146,0.09,0.07
08/08,0.18,0.214,0.17,0.144,0.088,0.06
08/09,0.158,0.186,0.147,0.126,0.073,0.06
08/10,0.191,0.225,0.177,0.152,0.028,0.0
08/11,0.198,0.23,0.184,0.156,0.1,
08/12,0.172,0.204,0.163,0.139,0.09,
08/13,0.18,0.212,0.168,0.145,0.08,
08/14,0.199,0.231,0.185,0.158,0.07,
08/15,0.198,0.231,0.185,0.159,0.0,
08/16,0.203,0.239,0.19,0.163,,
08/17,0.189,0.221,0.176,0.15,,
08/18,0.201,0.236,0.19,0.161,,
08/19,0.172,0.201,0.16,0.136,,
08/20,0.181,0.212,0.169,0.145,,
08/21,0.188,0.22,0.176,0.151,,
08/22,0.159,0.186,0.15,0.125,,
08/23,0.161,0.191,0.154,0.131,,
08/24,0.176,0.209,0.166,0.139,,
08/25,0.16,0.189,0.152,0.128,,
08/26,0.159,0.186,0.149,0.125,,
08/27,0.161,0.19,0.15,0.126,,
08/28,0.156,0.185,0.147,0.124,,
08/29,0.176,0.207,0.166,0.139,,
08/30,0.135,0.16,0.129,0.107,,
08/31,0.156,0.182,0.145,0.121,,
09/01,0.149,0.176,0.139,0.115,,
09/02,0.149,0.174,0.139,0.114,,
09/03,0.13,0.151,0.122,0.099,,
09/04,0.148,0.174,0.14,0.113,,
09/05,0.145,0.17,0.135,0.11,,
09/06,0.115,0.136,0.109,0.087,,
09/07,0.139,0.164,0.13,0.107,,
09/08,0.122,0.146,0.116,0.095,,
09/09,0.133,0.156,0.124,0.1,,
09/10,0.14,0.166,0.133,0.106,,
09/11,0.13,0.152,0.122,0.095,,
09/12,0.12,0.14,0.114,0.088,,
09/13,0.122,0.144,0.116,0.089,,
09/14,0.107,0.126,0.101,0.077,,
09/15,0.118,0.141,0.114,0.086,,
09/16,0.111,0.131,0.104,0.079,,
09/17,0.095,0.111,0.089,0.068,,
09/18,0.096,0.114,0.091,0.066,,
09/19,0.092,0.109,0.085,0.061,,
09/20,0.1,0.118,0.096,0.066,,
09/21,0.121,0.143,0.115,0.079,,
09/22,0.095,0.113,0.09,0.061,,
09/23,0.094,0.11,0.09,0.058,,
09/24,0.103,0.12,0.095,0.059,,
09/25,0.105,0.123,0.098,0.061,,
09/26,0.109,0.129,0.104,0.062,,
09/27,0.094,0.11,0.089,0.05,,
09/28,0.104,0.121,0.096,0.052,,
09/29,0.09,0.106,0.085,0.048,,
09/30,0.018,0.02,0.016,0.01,,
10/01,0.06,0.07,0.06,0.04,,
10/02,0.11,0.13,0.1,0.07,,
10/03,0.05,0.06,0.05,0.03,,
10/04,0.02,0.02,0.02,0.01,,
10/05,0.03,0.04,0.03,0.02,,
10/06,0.04,0.05,0.04,0.02,,
10/07,0.06,0.07,0.06,0.03,,
10/08,0.07,0.08,0.06,0.03,,
10/09,0.05,0.06,0.05,0.02,,
