# Station Code,ahti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,RAPE,SGRN,WGRN
05/08,0.121,0.113,0.152,0.112,,0.04,0.05,0.171
05/09,0.125,0.112,0.154,0.112,,0.06,0.05,0.173
05/10,0.127,0.127,0.155,0.115,,0.045,0.046,0.162
05/11,0.148,0.147,0.173,0.129,,0.045,0.054,0.181
05/12,0.191,0.19,0.216,0.163,,0.055,0.069,0.227
05/13,0.198,0.196,0.223,0.17,,0.065,0.078,0.235
05/14,0.195,0.189,0.217,0.168,,0.07,0.078,0.229
05/15,0.166,0.17,0.186,0.144,,0.043,0.066,0.194
05/16,0.169,0.191,0.185,0.145,,0.04,0.068,0.199
05/17,0.155,0.148,0.163,0.131,,0.057,0.063,0.178
05/18,0.159,0.15,0.169,0.133,,0.063,0.068,0.182
05/19,0.168,0.176,0.178,0.141,,0.057,0.074,0.192
05/20,0.145,0.147,0.152,0.121,,0.05,0.062,0.169
05/21,0.155,0.159,0.16,0.13,,0.057,0.076,0.184
05/22,0.176,0.182,0.178,0.145,,0.067,0.088,0.205
05/23,0.14,0.135,0.14,0.116,,0.063,0.077,0.162
05/24,0.158,0.162,0.155,0.129,,0.08,0.093,0.187
05/25,0.168,0.181,0.164,0.137,0.1,0.087,0.102,0.194
05/26,0.167,0.169,0.162,0.135,0.11,0.097,0.117,0.191
05/27,0.173,0.18,0.165,0.138,0.11,0.097,0.124,0.197
05/28,0.182,0.189,0.173,0.145,0.05,0.093,0.136,0.208
05/29,0.182,0.185,0.172,0.144,0.02,0.113,0.139,0.21
05/30,0.185,0.197,0.175,0.15,0.01,0.11,0.147,0.214
05/31,0.207,0.232,0.195,0.166,0.04,0.143,0.172,0.239
06/01,0.212,0.238,0.2,0.168,0.073,0.112,0.174,0.242
06/02,0.222,0.252,0.21,0.177,0.085,0.118,0.192,0.255
06/03,0.228,0.267,0.215,0.183,0.083,0.13,0.203,0.263
06/04,0.255,0.307,0.24,0.205,0.09,0.135,0.226,0.294
06/05,0.243,0.279,0.228,0.194,0.085,0.116,0.222,0.28
06/06,0.237,0.283,0.223,0.189,0.083,0.113,0.218,0.273
06/07,0.218,0.246,0.205,0.175,0.083,0.127,0.203,0.255
06/08,0.202,0.223,0.189,0.161,0.082,0.13,0.2,0.235
06/09,0.238,0.263,0.225,0.191,0.11,0.161,0.236,0.278
06/10,0.233,0.258,0.221,0.188,0.088,0.134,0.239,0.272
06/11,0.215,0.26,0.202,0.172,0.081,0.111,0.22,0.252
06/12,0.215,0.249,0.202,0.172,0.078,0.113,0.226,0.252
06/13,0.232,0.26,0.217,0.185,0.089,0.136,0.245,0.272
06/14,0.232,0.279,0.217,0.185,0.095,0.138,0.245,0.27
06/15,0.218,0.26,0.203,0.173,0.085,0.128,0.232,0.253
06/16,0.219,0.271,0.205,0.175,0.089,0.143,0.235,0.255
06/17,0.227,0.272,0.213,0.182,0.095,0.166,0.249,0.265
06/18,0.212,0.239,0.199,0.17,0.09,0.155,0.24,0.248
06/19,0.218,0.24,0.202,0.175,0.093,0.169,0.243,0.255
06/20,0.212,0.226,0.199,0.168,0.092,0.17,0.238,0.248
06/21,0.223,0.242,0.208,0.178,0.101,0.189,0.248,0.259
06/22,0.223,0.258,0.212,0.179,0.105,0.205,0.252,0.263
06/23,0.228,0.254,0.212,0.181,0.112,0.211,0.261,0.267
06/24,0.248,0.285,0.235,0.198,0.123,0.233,0.283,0.291
06/25,0.232,0.277,0.218,0.185,0.118,0.219,0.265,0.269
06/26,0.246,0.293,0.233,0.196,0.131,0.249,0.282,0.281
06/27,0.241,0.289,0.226,0.192,0.132,0.249,0.279,0.268
06/28,0.238,0.274,0.223,0.188,0.134,0.238,0.276,0.265
06/29,0.247,0.275,0.232,0.195,0.142,0.248,0.287,0.273
06/30,0.221,0.261,0.208,0.177,0.13,0.227,0.258,0.244
07/01,0.248,0.294,0.23,0.196,0.153,0.27,0.288,0.247
07/02,0.261,0.303,0.245,0.206,0.165,0.289,0.304,0.311
07/03,0.256,0.301,0.24,0.204,0.168,0.281,0.298,0.304
07/04,0.246,0.284,0.232,0.196,0.166,0.281,0.288,0.292
07/05,0.229,0.276,0.216,0.183,0.161,0.272,0.269,0.269
07/06,0.253,0.299,0.236,0.199,0.179,0.292,0.294,0.294
07/07,0.254,0.308,0.239,0.203,0.186,0.292,0.298,0.295
07/08,0.247,0.29,0.231,0.195,0.187,0.278,0.288,0.302
07/09,0.251,0.305,0.235,0.199,0.195,0.287,0.294,0.299
07/10,0.236,0.303,0.222,0.188,0.188,0.263,0.277,0.275
07/11,0.239,0.294,0.225,0.19,0.194,0.284,0.28,0.272
07/12,0.25,0.297,0.234,0.199,0.208,0.298,0.292,0.282
07/13,0.249,0.3,0.234,0.199,0.212,0.295,0.292,0.286
07/14,0.229,0.27,0.215,0.182,0.199,0.278,0.27,0.263
07/15,0.242,0.291,0.227,0.192,0.216,0.287,0.285,0.277
07/16,0.244,0.28,0.227,0.193,0.218,0.3,0.285,0.276
07/17,0.247,0.3,0.232,0.196,0.227,0.29,0.288,0.273
07/18,0.252,0.303,0.238,0.201,0.236,0.3,0.296,0.284
07/19,0.252,0.296,0.236,0.2,0.239,0.289,0.295,0.282
07/20,0.253,0.291,0.237,0.202,0.242,0.29,0.296,0.286
07/21,0.248,0.285,0.229,0.197,0.241,0.286,0.288,0.271
07/22,0.264,0.306,0.249,0.21,0.262,0.31,0.308,0.288
07/23,0.249,0.295,0.234,0.199,0.251,0.29,0.288,0.264
07/24,0.255,0.299,0.238,0.202,0.257,0.306,0.292,0.259
07/25,0.24,0.273,0.225,0.192,0.245,0.279,0.276,0.24
07/26,0.265,0.306,0.248,0.211,0.272,0.308,0.304,0.289
07/27,0.235,0.277,0.222,0.188,0.244,0.274,0.269,0.248
07/28,0.221,0.254,0.208,0.176,0.229,0.249,0.248,0.228
07/29,0.223,0.273,0.208,0.177,0.235,0.247,0.248,0.22
07/30,0.248,0.299,0.232,0.197,0.264,0.278,0.277,0.224
07/31,0.254,0.292,0.238,0.201,0.272,0.295,0.28,0.212
08/01,0.252,0.293,0.238,0.202,0.271,0.296,0.268,0.2
08/02,0.233,0.255,0.218,0.185,0.248,0.25,0.265,0.171
08/03,0.225,0.267,0.211,0.178,0.244,0.253,0.256,0.162
08/04,0.223,0.276,0.21,0.178,0.241,0.24,0.245,0.154
08/05,0.21,0.267,0.198,0.168,0.229,0.216,0.227,0.142
08/06,0.206,0.249,0.192,0.162,0.223,0.212,0.216,0.133
08/07,0.229,0.27,0.213,0.182,0.249,0.237,0.236,0.14
08/08,0.226,0.276,0.212,0.179,0.247,0.232,0.24,0.138
08/09,0.233,0.278,0.218,0.185,0.253,0.236,0.234,0.132
08/10,0.244,0.288,0.23,0.195,0.266,0.238,0.236,0.109
08/11,0.255,0.299,0.239,0.203,0.279,0.272,0.229,0.15
08/12,0.251,0.3,0.235,0.199,0.272,0.252,0.22,0.141
08/13,0.262,0.317,0.248,0.209,0.287,0.259,0.219,0.139
08/14,0.241,0.281,0.225,0.192,0.262,0.211,0.193,0.126
08/15,0.242,0.278,0.228,0.193,0.266,0.219,0.151,0.049
08/16,0.263,0.307,0.248,0.21,0.288,0.233,0.221,0.19
08/17,0.266,0.319,0.25,0.213,0.292,0.231,0.211,0.21
08/18,0.238,0.28,0.222,0.189,0.26,0.197,0.168,0.195
08/19,0.222,0.255,0.209,0.178,0.242,0.17,0.126,0.15
08/20,0.211,0.243,0.197,0.168,0.231,0.118,0.086,0.135
08/21,0.227,0.255,0.213,0.181,0.245,0.149,0.135,0.26
08/22,0.22,0.261,0.205,0.174,0.237,0.126,0.118,0.28
08/23,0.223,0.27,0.208,0.177,0.242,0.117,0.125,0.26
08/24,0.251,0.299,0.236,0.198,0.271,0.136,0.118,0.24
08/25,0.239,0.285,0.226,0.19,0.259,0.091,0.042,0.21
08/26,0.227,0.275,0.215,0.18,0.242,0.145,0.2,0.19
08/27,0.222,0.261,0.208,0.174,0.234,0.16,0.22,0.2
08/28,0.24,0.275,0.225,0.185,0.254,0.16,0.25,0.16
08/29,0.287,0.334,0.27,0.224,0.305,0.163,0.36,0.21
08/30,0.26,0.311,0.245,0.203,0.274,0.107,0.28,0.18
08/31,0.236,0.269,0.22,0.182,0.246,0.092,0.19,0.18
09/01,0.23,0.261,0.216,0.175,0.237,0.035,0.18,0.12
09/02,0.248,0.277,0.232,0.188,0.255,0.17,0.13,0.13
09/03,0.238,0.279,0.223,0.18,0.242,0.18,0.07,0.11
09/04,0.225,0.291,0.212,0.173,0.228,0.11,0.02,0.11
09/05,0.242,0.305,0.227,0.182,0.241,0.12,0.07,0.11
09/06,0.222,0.267,0.209,0.165,0.221,0.12,0.1,0.09
09/07,0.229,0.272,0.215,0.171,0.226,0.11,0.1,0.07
09/08,0.238,0.274,0.222,0.175,0.232,0.11,0.11,0.08
09/09,0.219,0.256,0.205,0.158,0.214,0.09,0.08,0.06
09/10,0.223,0.259,0.211,0.162,0.216,0.0,0.0,0.0
09/11,0.223,0.246,0.212,0.162,0.215,,,
09/12,0.209,0.253,0.197,0.149,0.202,,,
09/13,0.217,0.246,0.204,0.153,0.205,,,
09/14,0.192,0.223,0.18,0.132,0.181,,,
09/15,0.195,0.24,0.182,0.133,0.18,,,
09/16,0.177,0.211,0.165,0.116,0.161,,,
09/17,0.197,0.23,0.185,0.124,0.18,,,
09/18,0.195,0.229,0.186,0.122,0.178,,,
09/19,0.174,0.195,0.164,0.103,0.155,,,
09/20,0.163,0.172,0.152,0.092,0.143,,,
09/21,0.162,0.169,0.15,0.089,0.138,,,
09/22,0.153,0.183,0.142,0.079,0.129,,,
09/23,0.149,0.181,0.141,0.075,0.127,,,
09/24,0.172,0.197,0.161,0.085,0.142,,,
09/25,0.0,0.0,0.0,0.0,0.132,,,
09/26,,,,,0.142,,,
09/27,,,,,0.119,,,
09/28,,,,,0.11,,,
09/29,,,,,0.097,,,
09/30,,,,,0.081,,,
10/01,,,,,0.089,,,
10/02,,,,,0.079,,,
10/03,,,,,0.079,,,
10/04,,,,,0.067,,,
10/05,,,,,0.046,,,
10/06,,,,,0.08,,,
10/07,,,,,0.063,,,
10/08,,,,,0.067,,,
10/09,,,,,0.087,,,
10/10,,,,,0.0,,,
