# Station Code,lako
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
05/06,0.146,0.153,0.162,0.125,0.043,0.18
05/07,0.145,0.153,0.157,0.124,0.043,0.179
05/08,0.16,0.171,0.171,0.135,0.045,0.193
05/09,0.168,0.181,0.179,0.145,0.048,0.205
05/10,0.174,0.184,0.184,0.147,0.047,0.198
05/11,0.17,0.182,0.178,0.143,0.049,0.191
05/12,0.182,0.194,0.189,0.152,0.05,0.206
05/13,0.185,0.197,0.192,0.153,0.053,0.205
05/14,0.173,0.186,0.177,0.143,0.05,0.193
05/15,0.168,0.178,0.171,0.137,0.046,0.193
05/16,0.15,0.161,0.15,0.122,0.044,0.167
05/17,0.15,0.165,0.149,0.122,0.046,0.172
05/18,0.153,0.166,0.151,0.124,0.048,0.176
05/19,0.15,0.16,0.146,0.12,0.047,0.166
05/20,0.154,0.167,0.149,0.122,0.054,0.169
05/21,0.174,0.191,0.167,0.139,0.064,0.193
05/22,0.157,0.17,0.148,0.124,0.06,0.172
05/23,0.159,0.176,0.15,0.125,0.065,0.177
05/24,0.188,0.212,0.177,0.152,0.085,0.209
05/25,0.158,0.179,0.146,0.126,0.082,0.18
05/26,0.165,0.189,0.154,0.133,0.088,0.189
05/27,0.178,0.21,0.171,0.144,0.102,0.205
05/28,0.19,0.221,0.178,0.152,0.11,0.217
05/29,0.201,0.235,0.187,0.16,0.122,0.232
05/30,0.207,0.243,0.194,0.165,0.133,0.239
05/31,0.201,0.235,0.188,0.159,0.14,0.229
06/01,0.201,0.235,0.188,0.158,0.143,0.232
06/02,0.214,0.253,0.203,0.172,0.163,0.248
06/03,0.24,0.283,0.227,0.193,0.188,0.278
06/04,0.227,0.268,0.214,0.181,0.191,0.263
06/05,0.243,0.285,0.228,0.194,0.214,0.282
06/06,0.219,0.258,0.208,0.176,0.196,0.256
06/07,0.219,0.258,0.206,0.175,0.203,0.254
06/08,0.239,0.28,0.223,0.19,0.229,0.276
06/09,0.218,0.258,0.207,0.175,0.223,0.255
06/10,0.217,0.253,0.203,0.172,0.218,0.251
06/11,0.217,0.257,0.206,0.173,0.228,0.256
06/12,0.239,0.282,0.225,0.191,0.251,0.279
06/13,0.227,0.266,0.212,0.18,0.238,0.263
06/14,0.248,0.291,0.232,0.196,0.264,0.288
06/15,0.228,0.27,0.217,0.183,0.248,0.268
06/16,0.241,0.285,0.228,0.193,0.263,0.283
06/17,0.232,0.271,0.217,0.182,0.256,0.269
06/18,0.235,0.276,0.22,0.187,0.262,0.275
06/19,0.253,0.297,0.238,0.202,0.287,0.297
06/20,0.255,0.299,0.239,0.202,0.29,0.298
06/21,0.263,0.31,0.249,0.21,0.302,0.309
06/22,0.255,0.301,0.242,0.204,0.295,0.3
06/23,0.26,0.307,0.246,0.208,0.302,0.307
06/24,0.255,0.3,0.239,0.203,0.296,0.299
06/25,0.247,0.289,0.231,0.196,0.285,0.288
06/26,0.263,0.31,0.248,0.211,0.306,0.31
06/27,0.273,0.321,0.258,0.217,0.317,0.321
06/28,0.255,0.3,0.24,0.202,0.296,0.3
06/29,0.257,0.302,0.24,0.203,0.301,0.302
06/30,0.282,0.332,0.265,0.226,0.332,0.332
07/01,0.289,0.34,0.271,0.23,0.34,0.34
07/02,0.29,0.34,0.272,0.23,0.34,0.34
07/03,0.281,0.332,0.265,0.225,0.332,0.332
07/04,0.297,0.349,0.279,0.237,0.349,0.349
07/05,0.295,0.348,0.279,0.237,0.348,0.348
07/06,0.298,0.35,0.279,0.238,0.35,0.35
07/07,0.293,0.347,0.278,0.236,0.347,0.347
07/08,0.284,0.335,0.269,0.228,0.335,0.333
07/09,0.294,0.345,0.277,0.233,0.345,0.342
07/10,0.274,0.323,0.258,0.22,0.323,0.32
07/11,0.28,0.329,0.262,0.223,0.329,0.325
07/12,0.287,0.336,0.268,0.228,0.336,0.329
07/13,0.295,0.346,0.277,0.234,0.346,0.332
07/14,0.289,0.34,0.272,0.231,0.34,0.323
07/15,0.297,0.346,0.278,0.233,0.346,0.322
07/16,0.299,0.351,0.281,0.238,0.351,0.322
07/17,0.296,0.348,0.279,0.234,0.348,0.314
07/18,0.301,0.355,0.285,0.24,0.355,0.315
07/19,0.296,0.348,0.279,0.235,0.348,0.303
07/20,0.294,0.347,0.278,0.236,0.347,0.299
07/21,0.299,0.351,0.281,0.239,0.351,0.298
07/22,0.283,0.334,0.268,0.228,0.334,0.282
07/23,0.292,0.344,0.275,0.234,0.344,0.276
07/24,0.289,0.341,0.273,0.232,0.341,0.27
07/25,0.289,0.339,0.271,0.23,0.339,0.262
07/26,0.277,0.325,0.26,0.222,0.325,0.242
07/27,0.272,0.318,0.253,0.215,0.318,0.228
07/28,0.288,0.338,0.272,0.23,0.338,0.237
07/29,0.292,0.343,0.275,0.232,0.343,0.23
07/30,0.292,0.343,0.275,0.234,0.343,0.215
07/31,0.279,0.328,0.262,0.222,0.328,0.195
08/01,0.274,0.322,0.258,0.217,0.319,0.157
08/02,0.271,0.317,0.253,0.215,0.314,0.221
08/03,0.264,0.31,0.248,0.209,0.304,0.206
08/04,0.278,0.326,0.26,0.222,0.312,0.201
08/05,0.232,0.273,0.219,0.185,0.256,0.141
08/06,0.232,0.271,0.216,0.185,0.248,0.177
08/07,0.252,0.296,0.238,0.201,0.261,0.173
08/08,0.248,0.291,0.232,0.196,0.252,0.169
08/09,0.243,0.286,0.228,0.193,0.236,0.157
08/10,0.257,0.302,0.242,0.205,0.242,0.157
08/11,0.259,0.305,0.244,0.208,0.235,0.156
08/12,0.243,0.286,0.229,0.194,0.208,0.137
08/13,0.258,0.305,0.245,0.208,0.205,0.134
08/14,0.244,0.286,0.228,0.193,0.178,0.12
08/15,0.245,0.288,0.23,0.196,0.134,0.051
08/16,0.26,0.307,0.246,0.207,0.197,0.19
08/17,0.242,0.283,0.226,0.192,0.168,0.18
08/18,0.239,0.282,0.226,0.189,0.144,0.155
08/19,0.249,0.292,0.234,0.198,0.146,0.185
08/20,0.24,0.282,0.225,0.191,0.092,0.145
08/21,0.235,0.275,0.219,0.185,0.117,0.24
08/22,0.227,0.267,0.214,0.181,0.103,0.23
08/23,0.228,0.268,0.212,0.181,0.093,0.2
08/24,0.238,0.28,0.225,0.188,0.087,0.18
08/25,0.245,0.288,0.232,0.193,0.0,0.19
08/26,0.258,0.304,0.244,0.202,,0.2
08/27,0.252,0.294,0.235,0.196,,0.19
08/28,0.245,0.288,0.229,0.194,,0.17
08/29,0.257,0.303,0.244,0.202,,0.14
08/30,0.235,0.276,0.222,0.182,,0.14
08/31,0.235,0.278,0.222,0.182,,0.12
09/01,0.219,0.257,0.206,0.17,,0.12
09/02,0.216,0.255,0.202,0.168,,0.09
09/03,0.231,0.271,0.217,0.175,,0.1
09/04,0.228,0.268,0.215,0.174,,0.08
09/05,0.223,0.263,0.212,0.169,,0.0
09/06,0.225,0.265,0.211,0.169,,
09/07,0.242,0.283,0.225,0.18,,
09/08,0.23,0.269,0.215,0.171,,
09/09,0.235,0.278,0.224,0.173,,
09/10,0.208,0.245,0.196,0.152,,
09/11,0.218,0.255,0.203,0.157,,
09/12,0.182,0.214,0.172,0.13,,
09/13,0.193,0.227,0.181,0.137,,
09/14,0.192,0.225,0.181,0.137,,
09/15,0.166,0.196,0.198,0.141,,
09/16,0.172,0.201,0.16,0.118,,
09/17,0.175,0.204,0.167,0.125,,
09/18,0.151,0.177,0.149,0.107,,
09/19,0.135,0.159,0.139,0.098,,
09/20,0.144,0.169,0.154,0.102,,
09/21,0.14,0.164,0.142,0.091,,
09/22,0.145,0.171,0.142,0.099,,
09/23,0.168,0.196,0.156,0.105,,
09/24,0.168,0.197,0.165,0.106,,
09/25,0.177,0.209,0.172,0.101,,
09/26,0.167,0.196,0.157,0.089,,
09/27,0.171,0.201,0.152,0.085,,
09/28,0.157,0.183,0.148,0.078,,
09/29,0.141,0.167,0.148,0.072,,
09/30,0.0,0.0,0.0,0.0,,
