# Station Code,abei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
06/03,0.249,0.293,0.079,0.102,0.236,0.199,0.119,0.216,0.279,0.291,0.293
06/04,0.273,0.321,0.088,0.11,0.258,0.218,0.123,0.239,0.308,0.319,0.321
06/05,0.271,0.318,0.089,0.11,0.254,0.216,0.116,0.241,0.306,0.316,0.318
06/06,0.254,0.297,0.084,0.104,0.239,0.201,0.114,0.234,0.291,0.296,0.297
06/07,0.241,0.283,0.082,0.102,0.225,0.191,0.111,0.233,0.278,0.282,0.283
06/08,0.241,0.282,0.084,0.104,0.226,0.193,0.115,0.236,0.278,0.281,0.282
06/09,0.244,0.286,0.087,0.11,0.229,0.194,0.119,0.241,0.282,0.286,0.286
06/10,0.263,0.308,0.096,0.119,0.247,0.21,0.131,0.258,0.305,0.308,0.308
06/11,0.254,0.299,0.095,0.114,0.238,0.202,0.125,0.251,0.296,0.299,0.299
06/12,0.226,0.266,0.087,0.105,0.212,0.181,0.117,0.226,0.266,0.266,0.266
06/13,0.269,0.316,0.106,0.13,0.251,0.214,0.149,0.276,0.315,0.316,0.316
06/14,0.27,0.318,0.107,0.13,0.255,0.216,0.151,0.281,0.317,0.318,0.317
06/15,0.253,0.298,0.104,0.124,0.238,0.204,0.144,0.264,0.297,0.298,0.297
06/16,0.254,0.299,0.108,0.13,0.24,0.203,0.153,0.267,0.298,0.299,0.298
06/17,0.264,0.309,0.114,0.141,0.248,0.21,0.166,0.281,0.307,0.309,0.307
06/18,0.242,0.284,0.106,0.131,0.227,0.194,0.155,0.256,0.281,0.284,0.28
06/19,0.271,0.316,0.124,0.15,0.252,0.215,0.177,0.287,0.312,0.316,0.313
06/20,0.266,0.314,0.126,0.154,0.251,0.214,0.181,0.286,0.309,0.314,0.309
06/21,0.276,0.326,0.134,0.164,0.261,0.221,0.194,0.299,0.317,0.326,0.319
06/22,0.264,0.308,0.132,0.16,0.246,0.209,0.189,0.282,0.298,0.308,0.302
06/23,0.274,0.321,0.141,0.167,0.257,0.219,0.198,0.295,0.311,0.321,0.314
06/24,0.283,0.333,0.151,0.179,0.266,0.227,0.216,0.306,0.317,0.333,0.325
06/25,0.28,0.328,0.154,0.181,0.262,0.221,0.218,0.3,0.309,0.328,0.318
06/26,0.281,0.33,0.159,0.186,0.264,0.224,0.222,0.304,0.314,0.33,0.319
06/27,0.28,0.329,0.161,0.186,0.261,0.224,0.224,0.301,0.317,0.329,0.316
06/28,0.276,0.325,0.165,0.194,0.259,0.221,0.233,0.3,0.303,0.325,0.306
06/29,0.28,0.33,0.171,0.202,0.264,0.224,0.241,0.304,0.302,0.33,0.311
06/30,0.263,0.309,0.165,0.193,0.248,0.211,0.23,0.285,0.286,0.309,0.288
07/01,0.278,0.326,0.181,0.208,0.261,0.22,0.246,0.3,0.296,0.326,0.299
07/02,0.284,0.334,0.189,0.219,0.268,0.226,0.259,0.306,0.301,0.334,0.295
07/03,0.287,0.338,0.195,0.226,0.271,0.229,0.265,0.312,0.304,0.338,0.295
07/04,0.296,0.347,0.206,0.24,0.276,0.235,0.279,0.319,0.306,0.347,0.296
07/05,0.27,0.316,0.191,0.221,0.253,0.215,0.259,0.291,0.264,0.316,0.266
07/06,0.283,0.332,0.206,0.236,0.265,0.225,0.272,0.306,0.332,0.332,0.271
07/07,0.284,0.333,0.211,0.24,0.267,0.226,0.276,0.306,0.331,0.333,0.259
07/08,0.271,0.319,0.208,0.236,0.255,0.216,0.271,0.293,0.327,0.319,0.241
07/09,0.284,0.333,0.222,0.252,0.266,0.225,0.285,0.306,0.336,0.332,0.24
07/10,0.27,0.317,0.216,0.239,0.254,0.215,0.274,0.291,0.329,0.316,0.222
07/11,0.28,0.329,0.229,0.255,0.264,0.226,0.285,0.303,0.338,0.328,0.234
07/12,0.289,0.34,0.243,0.271,0.272,0.231,0.299,0.312,0.346,0.335,0.228
07/13,0.289,0.339,0.246,0.274,0.271,0.231,0.299,0.312,0.344,0.33,0.218
07/14,0.266,0.313,0.233,0.259,0.251,0.212,0.279,0.286,0.312,0.299,0.188
07/15,0.284,0.333,0.255,0.28,0.265,0.226,0.299,0.306,0.333,0.31,0.164
07/16,0.265,0.313,0.246,0.271,0.25,0.213,0.285,0.287,0.31,0.285,0.178
07/17,0.288,0.339,0.272,0.298,0.271,0.232,0.31,0.308,0.341,0.305,0.186
07/18,0.304,0.357,0.293,0.316,0.286,0.242,0.326,0.325,0.362,0.316,0.192
07/19,0.305,0.359,0.305,0.33,0.287,0.244,0.331,0.326,0.356,0.3,0.167
07/20,0.299,0.352,0.302,0.322,0.282,0.238,0.325,0.316,0.345,0.278,0.16
07/21,0.298,0.35,0.309,0.325,0.279,0.24,0.325,0.314,0.336,0.288,0.144
07/22,0.284,0.334,0.296,0.311,0.267,0.226,0.31,0.297,0.328,0.279,0.136
07/23,0.281,0.33,0.301,0.312,0.264,0.223,0.306,0.294,0.31,0.257,0.125
07/24,0.279,0.329,0.306,0.313,0.264,0.224,0.305,0.291,0.293,0.242,0.117
07/25,0.286,0.335,0.317,0.321,0.267,0.226,0.311,0.295,0.278,0.224,0.035
07/26,0.278,0.326,0.311,0.317,0.259,0.22,0.304,0.283,0.256,0.236,0.145
07/27,0.274,0.323,0.311,0.314,0.259,0.219,0.301,0.28,0.243,0.224,0.125
07/28,0.262,0.307,0.299,0.301,0.246,0.207,0.284,0.261,0.227,0.203,0.11
07/29,0.271,0.318,0.31,0.312,0.254,0.215,0.294,0.269,0.224,0.197,0.125
07/30,0.269,0.316,0.31,0.311,0.253,0.214,0.294,0.263,0.199,0.168,0.095
07/31,0.253,0.297,0.297,0.295,0.237,0.203,0.276,0.241,0.176,0.14,0.075
08/01,0.281,0.33,0.33,0.329,0.264,0.223,0.309,0.26,0.177,0.12,0.0
08/02,0.257,0.302,0.302,0.301,0.242,0.204,0.281,0.253,0.145,0.129,
08/03,0.27,0.316,0.316,0.315,0.251,0.214,0.294,0.257,0.147,0.116,
08/04,0.266,0.314,0.314,0.313,0.252,0.213,0.291,0.261,0.127,0.115,
08/05,0.244,0.287,0.287,0.286,0.229,0.195,0.266,0.24,0.028,0.033,
08/06,0.243,0.287,0.287,0.286,0.231,0.195,0.266,0.237,0.175,0.145,
08/07,0.254,0.3,0.3,0.299,0.241,0.204,0.279,0.242,0.225,0.115,
08/08,0.228,0.267,0.267,0.266,0.214,0.181,0.249,0.212,0.185,0.085,
08/09,0.263,0.31,0.31,0.309,0.248,0.21,0.286,0.242,0.21,0.1,
08/10,0.269,0.316,0.316,0.314,0.252,0.215,0.291,0.247,0.12,0.0,
08/11,0.286,0.337,0.337,0.334,0.269,0.23,0.309,0.259,0.24,,
08/12,0.28,0.328,0.328,0.325,0.263,0.224,0.299,0.251,0.21,,
08/13,0.266,0.312,0.312,0.309,0.25,0.212,0.286,0.234,0.18,,
08/14,0.274,0.323,0.323,0.319,0.258,0.219,0.295,0.238,0.18,,
08/15,0.279,0.326,0.326,0.32,0.26,0.222,0.295,0.235,0.17,,
08/16,0.261,0.308,0.308,0.301,0.246,0.208,0.276,0.218,0.14,,
08/17,0.269,0.316,0.316,0.309,0.254,0.215,0.284,0.223,0.1,,
08/18,0.259,0.304,0.304,0.296,0.244,0.207,0.271,0.211,0.09,,
08/19,0.243,0.287,0.287,0.276,0.23,0.196,0.254,0.189,0.11,,
08/20,0.228,0.267,0.267,0.257,0.214,0.181,0.235,0.172,0.0,,
08/21,0.228,0.266,0.266,0.254,0.212,0.182,0.233,0.161,,,
08/22,0.23,0.27,0.27,0.259,0.215,0.182,0.234,0.162,,,
08/23,0.234,0.276,0.275,0.264,0.22,0.188,0.24,0.158,,,
08/24,0.234,0.274,0.272,0.259,0.218,0.186,0.235,0.158,,,
08/25,0.251,0.295,0.294,0.278,0.235,0.199,0.251,0.158,,,
08/26,0.231,0.271,0.27,0.253,0.218,0.183,0.229,0.165,,,
08/27,0.243,0.286,0.284,0.266,0.229,0.194,0.239,0.16,,,
08/28,0.247,0.292,0.29,0.269,0.234,0.196,0.244,0.156,,,
08/29,0.274,0.321,0.315,0.296,0.258,0.214,0.266,0.173,,,
08/30,0.259,0.302,0.293,0.277,0.241,0.201,0.249,0.155,,,
08/31,0.243,0.285,0.276,0.257,0.229,0.189,0.232,0.125,,,
09/01,0.242,0.284,0.274,0.226,0.229,0.189,0.231,0.11,,,
09/02,0.231,0.274,0.262,0.248,0.221,0.181,0.219,0.115,,,
09/03,0.234,0.276,0.264,0.243,0.22,0.182,0.221,0.101,,,
09/04,0.214,0.251,0.239,0.227,0.199,0.164,0.198,0.083,,,
09/05,0.22,0.259,0.246,0.23,0.207,0.169,0.204,0.052,,,
09/06,0.211,0.249,0.234,0.224,0.199,0.162,0.194,0.125,,,
09/07,0.23,0.271,0.255,0.237,0.217,0.176,0.209,0.135,,,
09/08,0.224,0.261,0.243,0.228,0.21,0.169,0.198,0.088,,,
09/09,0.221,0.26,0.239,0.217,0.209,0.167,0.196,0.088,,,
09/10,0.218,0.256,0.234,0.217,0.205,0.163,0.189,0.038,,,
09/11,0.222,0.261,0.236,0.228,0.208,0.167,0.191,0.11,,,
09/12,0.205,0.239,0.215,0.204,0.191,0.151,0.172,0.075,,,
09/13,0.196,0.231,0.206,0.192,0.187,0.146,0.164,0.065,,,
09/14,0.184,0.216,0.191,0.176,0.172,0.134,0.151,0.065,,,
09/15,0.191,0.224,0.197,0.198,0.179,0.139,0.142,0.0,,,
09/16,0.186,0.219,0.191,0.188,0.174,0.135,0.153,,,,
09/17,0.167,0.197,0.172,0.166,0.159,0.121,0.133,,,,
09/18,0.203,0.238,0.206,0.204,0.189,0.146,0.163,,,,
09/19,0.18,0.213,0.184,0.174,0.17,0.129,0.137,,,,
09/20,0.173,0.203,0.174,0.131,0.161,0.122,0.103,,,,
09/21,0.153,0.179,0.152,0.133,0.143,0.107,0.105,,,,
09/22,0.149,0.178,0.149,0.155,0.142,0.104,0.117,,,,
09/23,0.159,0.187,0.156,0.161,0.149,0.106,0.119,,,,
09/24,0.166,0.194,0.162,0.153,0.156,0.109,0.113,,,,
09/25,0.178,0.211,0.175,0.021,0.169,0.114,0.068,,,,
09/26,0.171,0.202,0.166,0.24,0.162,0.107,0.158,,,,
09/27,0.154,0.181,0.146,0.16,0.145,0.093,0.115,,,,
09/28,0.156,0.184,0.149,0.03,0.147,0.094,0.09,,,,
09/29,0.153,0.179,0.144,0.06,0.142,0.09,0.11,,,,
09/30,0.139,0.165,0.131,0.0,0.133,0.079,0.035,,,,
10/01,0.121,0.144,0.111,,0.115,0.068,0.075,,,,
10/02,0.133,0.158,0.124,,0.127,0.07,0.08,,,,
10/03,0.134,0.157,0.121,,0.125,0.069,0.085,,,,
10/04,0.138,0.161,0.124,,0.129,0.066,0.085,,,,
10/05,0.007,0.009,0.119,,0.007,0.004,0.0,,,,
10/06,0.08,0.09,0.102,,0.07,0.04,,,,,
10/07,0.12,0.14,0.104,,0.11,0.06,,,,,
10/08,0.14,0.16,0.105,,0.13,0.07,,,,,
10/09,0.17,0.2,0.096,,0.16,0.08,,,,,
10/10,0.0,0.0,0.099,,0.0,0.0,,,,,
10/11,,,0.096,,,,,,,,
10/12,,,0.092,,,,,,,,
10/13,,,0.09,,,,,,,,
10/14,,,0.097,,,,,,,,
10/15,,,0.0,,,,,,,,
