# Station Code,ckvy
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
06/27,0.231,0.271,0.216,0.183,0.27
06/28,0.24,0.281,0.226,0.191,0.281
06/29,0.223,0.261,0.209,0.179,0.261
06/30,0.201,0.237,0.19,0.163,0.237
07/01,0.22,0.259,0.207,0.176,0.259
07/02,0.257,0.3,0.239,0.204,0.3
07/03,0.239,0.28,0.224,0.19,0.28
07/04,0.246,0.289,0.23,0.196,0.289
07/05,0.232,0.27,0.215,0.183,0.27
07/06,0.24,0.284,0.227,0.193,0.284
07/07,0.259,0.304,0.246,0.207,0.304
07/08,0.257,0.301,0.241,0.206,0.301
07/09,0.261,0.307,0.246,0.209,0.307
07/10,0.261,0.307,0.244,0.207,0.307
07/11,0.237,0.277,0.22,0.189,0.277
07/12,0.247,0.289,0.23,0.196,0.289
07/13,0.244,0.287,0.229,0.196,0.287
07/14,0.234,0.276,0.221,0.187,0.276
07/15,0.244,0.284,0.226,0.191,0.284
07/16,0.26,0.306,0.246,0.209,0.306
07/17,0.241,0.284,0.229,0.193,0.284
07/18,0.256,0.3,0.241,0.204,0.3
07/19,0.251,0.294,0.234,0.2,0.294
07/20,0.241,0.284,0.227,0.193,0.284
07/21,0.234,0.274,0.22,0.184,0.274
07/22,0.25,0.291,0.233,0.197,0.291
07/23,0.254,0.297,0.237,0.2,0.297
07/24,0.229,0.267,0.213,0.18,0.267
07/25,0.223,0.261,0.21,0.177,0.261
07/26,0.221,0.26,0.206,0.176,0.26
07/27,0.223,0.263,0.21,0.18,0.263
07/28,0.244,0.289,0.231,0.197,0.289
07/29,0.227,0.267,0.216,0.181,0.267
07/30,0.24,0.28,0.223,0.19,0.269
07/31,0.214,0.25,0.198,0.171,0.236
08/01,0.235,0.275,0.221,0.186,0.255
08/02,0.189,0.221,0.177,0.15,0.198
08/03,0.219,0.258,0.206,0.174,0.225
08/04,0.223,0.263,0.209,0.177,0.22
08/05,0.225,0.264,0.211,0.181,0.217
08/06,0.21,0.246,0.196,0.169,0.191
08/07,0.181,0.213,0.169,0.145,0.159
08/08,0.198,0.233,0.186,0.159,0.158
08/09,0.233,0.271,0.216,0.184,0.173
08/10,0.221,0.259,0.206,0.176,0.147
08/11,0.229,0.268,0.214,0.18,0.164
08/12,0.216,0.255,0.204,0.175,0.147
08/13,0.214,0.251,0.201,0.173,0.133
08/14,0.219,0.258,0.208,0.175,0.123
08/15,0.223,0.26,0.209,0.176,0.08
08/16,0.219,0.255,0.205,0.174,0.128
08/17,0.225,0.265,0.212,0.181,0.128
08/18,0.198,0.231,0.186,0.158,0.092
08/19,0.196,0.229,0.184,0.156,0.08
08/20,0.173,0.203,0.161,0.138,0.035
08/21,0.188,0.221,0.179,0.151,0.12
08/22,0.185,0.216,0.173,0.147,0.11
08/23,0.211,0.246,0.198,0.166,0.05
08/24,0.201,0.237,0.19,0.163,0.08
08/25,0.229,0.269,0.215,0.181,0.0
08/26,0.201,0.238,0.19,0.16,
08/27,0.209,0.244,0.193,0.164,
08/28,0.207,0.242,0.195,0.164,
08/29,0.209,0.247,0.199,0.165,
08/30,0.209,0.246,0.196,0.161,
08/31,0.188,0.221,0.177,0.145,
09/01,0.209,0.246,0.196,0.163,
09/02,0.194,0.226,0.18,0.147,
09/03,0.204,0.241,0.193,0.156,
09/04,0.194,0.228,0.181,0.149,
09/05,0.185,0.217,0.175,0.143,
09/06,0.186,0.219,0.174,0.14,
09/07,0.2,0.235,0.188,0.151,
09/08,0.174,0.203,0.161,0.129,
09/09,0.188,0.217,0.175,0.136,
09/10,0.171,0.203,0.161,0.128,
09/11,0.168,0.195,0.156,0.121,
09/12,0.175,0.206,0.164,0.128,
09/13,0.154,0.181,0.145,0.11,
09/14,0.153,0.181,0.144,0.111,
09/15,0.158,0.185,0.149,0.114,
09/16,0.151,0.179,0.144,0.107,
09/17,0.151,0.179,0.143,0.106,
09/18,0.18,0.211,0.168,0.125,
09/19,0.151,0.176,0.14,0.101,
09/20,0.126,0.149,0.119,0.083,
09/21,0.123,0.145,0.118,0.079,
09/22,0.128,0.15,0.12,0.079,
09/23,0.119,0.14,0.111,0.072,
09/24,0.126,0.149,0.119,0.074,
09/25,0.134,0.156,0.125,0.075,
09/26,0.143,0.165,0.133,0.075,
09/27,0.141,0.166,0.133,0.076,
09/28,0.131,0.152,0.121,0.066,
09/29,0.126,0.147,0.117,0.061,
09/30,0.0,0.0,0.0,0.0,
