# Station Code,hero
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,FCRN,LAWN,MELN,ONYN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
03/08,0.027,0.027,0.02,,,0.042,,0.02,0.033,,,,0.015,0.05,,0.016,0.047,
03/09,0.04,0.04,0.02,,,0.059,,0.04,0.044,,,,0.025,0.03,,0.02,0.065,
03/10,0.045,0.045,0.025,,,0.062,,0.04,0.048,,,,0.017,0.025,,0.023,0.073,
03/11,0.045,0.045,0.018,,,0.064,,0.04,0.046,,,,0.017,0.03,,0.021,0.073,
03/12,0.05,0.05,0.025,,,0.062,,0.07,0.047,,,,0.02,0.025,,0.024,0.075,
03/13,0.059,0.059,0.033,,,0.072,,0.08,0.054,,,,0.021,0.027,,0.025,0.084,
03/14,0.059,0.059,0.022,,,0.065,,0.05,0.05,,,,0.02,0.022,,0.025,0.079,
03/15,0.052,0.052,0.021,,,0.067,,0.04,0.05,,,,0.017,0.024,,0.025,0.079,
03/16,0.06,0.06,0.024,,,0.078,,0.052,0.058,,,,0.02,0.027,,0.031,0.092,
03/17,0.073,0.073,0.024,,,0.092,,0.042,0.068,,,,0.021,0.029,,0.034,0.105,
03/18,0.071,0.071,0.028,,,0.09,,0.044,0.065,,,,0.023,0.03,,0.035,0.105,
03/19,0.072,0.072,0.029,,,0.09,,0.06,0.067,,,,0.026,0.032,,0.039,0.106,
03/20,0.072,0.073,0.025,,,0.085,,0.048,0.065,,,,0.023,0.031,,0.037,0.102,
03/21,0.072,0.072,0.025,,,0.086,,0.034,0.064,,,,0.027,0.032,,0.038,0.099,
03/22,0.087,0.087,0.033,,,0.104,,0.06,0.075,,,,0.028,0.042,,0.049,0.122,
03/23,0.097,0.098,0.036,,,0.115,,0.078,0.086,,,,0.033,0.044,,0.062,0.132,
03/24,0.092,0.092,0.033,,,0.104,,0.066,0.078,,,,0.031,0.043,,0.057,0.122,
03/25,0.085,0.085,0.032,,0.035,0.095,,0.054,0.071,0.03,,,0.029,0.043,,0.056,0.111,0.02
03/26,0.097,0.097,0.038,,0.04,0.106,,0.059,0.08,0.035,,,0.036,0.05,,0.065,0.125,0.02
03/27,0.103,0.105,0.039,,0.065,0.114,,0.065,0.085,0.03,,,0.036,0.055,,0.075,0.134,0.035
03/28,0.122,0.125,0.052,,0.065,0.131,,0.075,0.102,0.03,,,0.05,0.076,,0.088,0.155,0.04
03/29,0.112,0.117,0.047,,0.065,0.118,,0.07,0.092,0.03,,,0.047,0.066,,0.088,0.141,0.04
03/30,0.125,0.129,0.049,,0.045,0.128,,0.075,0.101,0.03,,,0.048,0.083,,0.098,0.155,0.025
03/31,0.127,0.132,0.055,,0.07,0.128,,0.074,0.102,0.03,,,0.049,0.092,,0.105,0.156,0.04
04/01,0.132,0.138,0.058,,0.052,0.132,,0.082,0.105,0.045,0.035,,0.045,0.098,,0.109,0.162,0.028
04/02,0.151,0.162,0.068,,0.052,0.148,,0.085,0.12,0.05,0.045,,0.053,0.122,,0.135,0.182,0.033
04/03,0.131,0.142,0.062,,0.045,0.131,,0.081,0.105,0.045,0.035,,0.048,0.113,,0.118,0.158,0.029
04/04,0.135,0.146,0.065,,0.052,0.132,,0.087,0.108,0.055,0.05,,0.049,0.111,,0.123,0.162,0.03
04/05,0.127,0.139,0.062,,0.043,0.125,,0.078,0.102,0.05,0.03,,0.047,0.115,,0.119,0.152,0.026
04/06,0.138,0.155,0.069,,0.048,0.135,,0.084,0.112,0.045,0.04,,0.051,0.122,,0.134,0.165,0.03
04/07,0.141,0.156,0.075,,0.045,0.137,,0.091,0.114,0.05,0.037,,0.057,0.136,,0.139,0.168,0.033
04/08,0.143,0.161,0.077,,0.048,0.136,,0.088,0.115,0.05,0.045,,0.059,0.138,,0.145,0.172,0.035
04/09,0.157,0.177,0.087,,0.048,0.151,,0.094,0.123,0.05,0.058,,0.066,0.154,,0.158,0.186,0.036
04/10,0.159,0.18,0.095,,0.063,0.151,,0.098,0.126,0.045,0.062,,0.073,0.166,0.08,0.165,0.189,0.037
04/11,0.174,0.196,0.107,,0.071,0.164,,0.105,0.136,0.052,0.098,,0.082,0.182,0.13,0.182,0.204,0.044
04/12,0.149,0.169,0.095,,0.059,0.14,,0.091,0.118,0.047,0.075,,0.073,0.159,0.09,0.158,0.176,0.037
04/13,0.152,0.172,0.099,,0.067,0.145,,0.095,0.122,0.035,0.073,,0.068,0.16,0.07,0.162,0.182,0.039
04/14,0.197,0.224,0.139,,0.089,0.188,,0.125,0.156,0.048,0.085,,0.097,0.217,0.05,0.215,0.233,0.054
04/15,0.168,0.193,0.113,0.045,0.062,0.158,,0.096,0.132,0.043,0.07,,0.084,0.172,0.055,0.183,0.198,0.045
04/16,0.158,0.184,0.11,0.04,0.057,0.149,,0.091,0.125,0.044,0.083,,0.082,0.172,0.047,0.175,0.187,0.044
04/17,0.171,0.198,0.138,0.05,0.063,0.162,,0.105,0.137,0.052,0.103,,0.099,0.204,0.063,0.189,0.202,0.053
04/18,0.181,0.209,0.137,0.05,0.066,0.17,,0.104,0.144,0.053,0.103,,0.099,0.2,0.053,0.202,0.212,0.055
04/19,0.169,0.198,0.135,0.055,0.06,0.158,,0.1,0.134,0.054,0.105,,0.101,0.193,0.057,0.192,0.199,0.055
04/20,0.182,0.211,0.151,0.04,0.069,0.17,,0.109,0.145,0.058,0.073,0.075,0.112,0.211,0.063,0.206,0.213,0.065
04/21,0.206,0.243,0.185,0.05,0.079,0.195,,0.128,0.166,0.073,0.094,0.085,0.138,0.249,0.067,0.238,0.245,0.076
04/22,0.208,0.244,0.177,0.053,0.077,0.196,,0.122,0.165,0.068,0.089,0.085,0.132,0.238,0.067,0.24,0.245,0.077
04/23,0.213,0.252,0.198,0.06,0.084,0.202,,0.133,0.171,0.077,0.109,0.095,0.149,0.258,0.08,0.247,0.252,0.089
04/24,0.2,0.236,0.184,0.057,0.077,0.188,,0.123,0.162,0.076,0.104,0.085,0.138,0.238,0.07,0.233,0.236,0.084
04/25,0.192,0.225,0.177,0.052,0.077,0.18,,0.117,0.152,0.068,0.096,0.061,0.134,0.228,0.07,0.222,0.225,0.084
04/26,0.226,0.266,0.207,0.061,0.082,0.212,,0.135,0.18,0.082,0.12,0.077,0.158,0.263,0.083,0.264,0.266,0.097
04/27,0.241,0.284,0.229,0.069,0.093,0.226,,0.145,0.193,0.089,0.126,0.081,0.176,0.283,0.091,0.282,0.284,0.114
04/28,0.233,0.275,0.225,0.068,0.091,0.22,,0.141,0.187,0.09,0.142,0.081,0.172,0.274,0.082,0.272,0.275,0.111
04/29,0.219,0.258,0.217,0.068,0.087,0.208,,0.133,0.175,0.09,0.137,0.077,0.167,0.259,0.077,0.255,0.258,0.106
04/30,0.239,0.282,0.235,0.067,0.099,0.226,,0.146,0.192,0.096,0.148,0.071,0.181,0.283,0.086,0.279,0.282,0.123
05/01,0.222,0.26,0.224,0.071,0.089,0.207,0.04,0.135,0.178,0.1,0.139,0.083,0.178,0.263,0.08,0.259,0.26,0.114
05/02,0.214,0.252,0.215,0.073,0.084,0.201,0.05,0.131,0.171,0.102,0.145,0.077,0.174,0.248,0.083,0.252,0.252,0.113
05/03,0.242,0.284,0.245,0.08,0.099,0.227,0.06,0.151,0.194,0.114,0.171,0.086,0.198,0.282,0.091,0.283,0.284,0.131
05/04,0.242,0.285,0.258,0.085,0.104,0.228,0.04,0.153,0.193,0.121,0.175,0.094,0.206,0.289,0.091,0.285,0.285,0.139
05/05,0.205,0.24,0.212,0.073,0.087,0.193,0.034,0.124,0.163,0.104,0.156,0.078,0.172,0.237,0.075,0.24,0.24,0.118
05/06,0.217,0.255,0.228,0.079,0.1,0.203,0.032,0.136,0.173,0.113,0.166,0.081,0.183,0.253,0.081,0.255,0.255,0.126
05/07,0.223,0.262,0.24,0.09,0.1,0.208,0.044,0.143,0.178,0.13,0.187,0.089,0.199,0.263,0.084,0.262,0.262,0.138
05/08,0.229,0.269,0.256,0.103,0.111,0.216,0.052,0.156,0.183,0.148,0.207,0.096,0.215,0.278,0.093,0.269,0.269,0.152
05/09,0.243,0.285,0.266,0.113,0.113,0.228,0.054,0.163,0.192,0.159,0.214,0.102,0.224,0.287,0.097,0.285,0.285,0.161
05/10,0.228,0.268,0.251,0.094,0.108,0.215,0.047,0.153,0.183,0.14,0.193,0.093,0.212,0.268,0.091,0.268,0.268,0.149
05/11,0.222,0.262,0.245,0.098,0.107,0.21,0.045,0.153,0.178,0.143,0.192,0.093,0.21,0.261,0.087,0.262,0.262,0.149
05/12,0.23,0.271,0.253,0.111,0.102,0.217,0.047,0.157,0.185,0.158,0.202,0.098,0.22,0.271,0.097,0.271,0.271,0.158
05/13,0.24,0.282,0.268,0.117,0.112,0.226,0.049,0.168,0.192,0.17,0.214,0.103,0.23,0.284,0.105,0.282,0.282,0.169
05/14,0.203,0.24,0.224,0.1,0.099,0.192,0.04,0.144,0.164,0.141,0.179,0.085,0.195,0.238,0.086,0.24,0.24,0.145
05/15,0.207,0.242,0.231,0.107,0.11,0.195,0.046,0.152,0.163,0.149,0.189,0.091,0.2,0.243,0.084,0.242,0.242,0.148
05/16,0.25,0.294,0.263,0.134,0.135,0.235,0.054,0.177,0.199,0.192,0.226,0.111,0.236,0.278,0.095,0.294,0.294,0.168
05/17,0.255,0.3,0.281,0.152,0.128,0.24,0.059,0.191,0.204,0.209,0.247,0.12,0.253,0.295,0.109,0.3,0.3,0.184
05/18,0.237,0.278,0.263,0.147,0.136,0.223,0.058,0.183,0.188,0.203,0.238,0.117,0.238,0.276,0.102,0.278,0.278,0.172
05/19,0.228,0.268,0.251,0.142,0.134,0.214,0.056,0.177,0.182,0.195,0.232,0.112,0.227,0.264,0.1,0.268,0.268,0.162
05/20,0.221,0.259,0.248,0.14,0.126,0.208,0.056,0.177,0.177,0.191,0.237,0.108,0.225,0.259,0.097,0.259,0.259,0.162
05/21,0.214,0.249,0.234,0.139,0.125,0.198,0.057,0.169,0.169,0.186,0.228,0.107,0.213,0.245,0.095,0.249,0.249,0.151
05/22,0.23,0.269,0.255,0.159,0.14,0.215,0.063,0.191,0.183,0.213,0.249,0.125,0.238,0.268,0.106,0.269,0.269,0.166
05/23,0.264,0.309,0.299,0.196,0.17,0.247,0.078,0.229,0.209,0.251,0.288,0.147,0.278,0.312,0.125,0.309,0.309,0.198
05/24,0.277,0.325,0.308,0.211,0.171,0.26,0.084,0.236,0.222,0.272,0.303,0.158,0.289,0.323,0.131,0.325,0.325,0.203
05/25,0.241,0.283,0.268,0.199,0.145,0.228,0.077,0.212,0.193,0.249,0.263,0.143,0.257,0.281,0.119,0.283,0.283,0.18
05/26,0.246,0.289,0.271,0.2,0.148,0.232,0.084,0.217,0.198,0.255,0.273,0.148,0.258,0.284,0.12,0.289,0.289,0.179
05/27,0.242,0.284,0.268,0.203,0.148,0.228,0.086,0.22,0.192,0.253,0.262,0.151,0.259,0.283,0.121,0.284,0.284,0.18
05/28,0.278,0.326,0.31,0.241,0.168,0.262,0.102,0.253,0.222,0.297,0.304,0.176,0.298,0.324,0.144,0.326,0.326,0.206
05/29,0.259,0.307,0.294,0.236,0.168,0.245,0.103,0.249,0.208,0.283,0.29,0.172,0.284,0.308,0.139,0.307,0.307,0.197
05/30,0.265,0.311,0.297,0.238,0.177,0.248,0.105,0.253,0.211,0.283,0.296,0.177,0.29,0.312,0.138,0.311,0.311,0.2
05/31,0.249,0.292,0.279,0.234,0.163,0.235,0.108,0.241,0.2,0.277,0.281,0.171,0.271,0.292,0.133,0.292,0.292,0.188
06/01,0.274,0.322,0.304,0.263,0.182,0.258,0.125,0.269,0.218,0.3,0.306,0.193,0.297,0.318,0.153,0.322,0.319,0.205
06/02,0.286,0.336,0.322,0.284,0.195,0.269,0.137,0.288,0.228,0.318,0.323,0.211,0.317,0.336,0.164,0.336,0.334,0.218
06/03,0.309,0.363,0.339,0.3,0.205,0.291,0.15,0.303,0.245,0.333,0.345,0.226,0.33,0.353,0.176,0.363,0.36,0.228
06/04,0.295,0.348,0.327,0.292,0.198,0.279,0.149,0.297,0.235,0.32,0.338,0.22,0.319,0.338,0.173,0.348,0.345,0.219
06/05,0.258,0.303,0.286,0.264,0.177,0.242,0.137,0.265,0.205,0.277,0.291,0.201,0.283,0.295,0.156,0.303,0.298,0.193
06/06,0.268,0.316,0.303,0.283,0.198,0.252,0.15,0.286,0.214,0.289,0.302,0.217,0.297,0.309,0.17,0.316,0.309,0.206
06/07,0.268,0.313,0.302,0.281,0.198,0.249,0.158,0.285,0.214,0.287,0.312,0.223,0.298,0.302,0.168,0.313,0.302,0.204
06/08,0.275,0.323,0.309,0.295,0.203,0.259,0.169,0.298,0.219,0.287,0.313,0.233,0.305,0.307,0.18,0.323,0.308,0.209
06/09,0.255,0.301,0.282,0.269,0.198,0.242,0.153,0.273,0.205,0.254,0.284,0.215,0.279,0.277,0.165,0.301,0.283,0.192
06/10,0.287,0.336,0.318,0.305,0.226,0.268,0.177,0.308,0.229,0.28,0.318,0.247,0.314,0.305,0.186,0.336,0.309,0.216
06/11,0.262,0.305,0.296,0.283,0.209,0.245,0.172,0.289,0.208,0.251,0.298,0.234,0.292,0.271,0.173,0.305,0.278,0.2
06/12,0.268,0.315,0.298,0.286,0.213,0.252,0.177,0.295,0.215,0.244,0.298,0.238,0.293,0.265,0.182,0.315,0.287,0.201
06/13,0.312,0.368,0.366,0.351,0.257,0.295,0.223,0.362,0.249,0.288,0.363,0.292,0.358,0.311,0.231,0.368,0.336,0.245
06/14,0.311,0.365,0.35,0.338,0.248,0.292,0.219,0.35,0.247,0.27,0.352,0.286,0.344,0.288,0.224,0.365,0.321,0.237
06/15,0.253,0.298,0.283,0.278,0.205,0.238,0.18,0.283,0.202,0.204,0.283,0.236,0.28,0.225,0.185,0.298,0.254,0.192
06/16,0.275,0.323,0.311,0.302,0.232,0.258,0.199,0.311,0.218,0.213,0.311,0.263,0.304,0.232,0.204,0.323,0.265,0.208
06/17,0.302,0.356,0.357,0.348,0.27,0.285,0.232,0.359,0.242,0.236,0.354,0.302,0.35,0.259,0.238,0.354,0.291,0.24
06/18,0.263,0.31,0.295,0.287,0.232,0.248,0.193,0.297,0.212,0.186,0.292,0.252,0.288,0.203,0.199,0.306,0.24,0.198
06/19,0.296,0.348,0.33,0.324,0.258,0.278,0.219,0.337,0.236,0.198,0.331,0.288,0.324,0.209,0.232,0.343,0.26,0.221
06/20,0.292,0.342,0.325,0.317,0.258,0.273,0.216,0.332,0.232,0.186,0.326,0.285,0.317,0.182,0.235,0.333,0.248,0.217
06/21,0.285,0.333,0.328,0.323,0.259,0.267,0.219,0.335,0.226,0.172,0.329,0.291,0.323,0.178,0.241,0.318,0.233,0.22
06/22,0.295,0.345,0.341,0.331,0.27,0.277,0.226,0.347,0.234,0.166,0.341,0.305,0.331,0.177,0.252,0.325,0.234,0.227
06/23,0.311,0.365,0.357,0.347,0.293,0.292,0.237,0.364,0.248,0.165,0.359,0.323,0.347,0.17,0.267,0.334,0.233,0.238
06/24,0.305,0.36,0.353,0.34,0.294,0.288,0.234,0.357,0.245,0.154,0.351,0.318,0.34,0.154,0.268,0.324,0.224,0.234
06/25,0.272,0.319,0.323,0.311,0.267,0.254,0.213,0.328,0.215,0.124,0.322,0.294,0.311,0.075,0.252,0.282,0.195,0.213
06/26,0.285,0.335,0.332,0.318,0.285,0.268,0.218,0.334,0.228,0.149,0.328,0.303,0.318,0.17,0.259,0.28,0.193,0.218
06/27,0.302,0.357,0.356,0.342,0.309,0.286,0.233,0.36,0.242,0.153,0.355,0.324,0.342,0.186,0.284,0.291,0.199,0.233
06/28,0.318,0.375,0.369,0.354,0.322,0.301,0.243,0.372,0.255,0.144,0.367,0.338,0.354,0.164,0.302,0.292,0.201,0.243
06/29,0.332,0.39,0.384,0.369,0.346,0.312,0.252,0.388,0.265,0.131,0.382,0.353,0.369,0.154,0.314,0.292,0.195,0.252
06/30,0.332,0.39,0.393,0.375,0.351,0.312,0.257,0.395,0.265,0.128,0.392,0.361,0.375,0.154,0.326,0.28,0.188,0.257
07/01,0.35,0.412,0.415,0.397,0.375,0.329,0.272,0.417,0.278,0.1,0.411,0.383,0.397,0.05,0.35,0.29,0.165,0.272
07/02,0.339,0.4,0.403,0.384,0.366,0.321,0.263,0.406,0.272,0.157,0.399,0.374,0.385,0.14,0.347,0.263,0.196,0.263
07/03,0.369,0.434,0.417,0.398,0.387,0.348,0.273,0.42,0.295,0.153,0.414,0.388,0.4,0.13,0.362,0.268,0.19,0.273
07/04,0.332,0.39,0.384,0.365,0.355,0.312,0.251,0.385,0.265,0.123,0.382,0.356,0.367,0.1,0.336,0.231,0.162,0.251
07/05,0.32,0.377,0.371,0.349,0.342,0.302,0.243,0.371,0.258,0.073,0.367,0.346,0.351,0.0,0.33,0.212,0.155,0.243
07/06,0.318,0.375,0.373,0.353,0.343,0.298,0.243,0.373,0.255,0.23,0.37,0.347,0.355,,0.337,0.2,0.149,0.243
07/07,0.338,0.396,0.4,0.377,0.375,0.317,0.261,0.4,0.27,0.235,0.397,0.373,0.38,,0.363,0.192,0.15,0.261
07/08,0.314,0.369,0.367,0.346,0.347,0.294,0.238,0.367,0.252,0.215,0.365,0.342,0.349,,0.337,0.172,0.134,0.238
07/09,0.332,0.389,0.383,0.358,0.362,0.31,0.25,0.383,0.263,0.27,0.382,0.357,0.364,,0.36,0.169,0.128,0.25
07/10,0.357,0.418,0.413,0.383,0.394,0.334,0.268,0.413,0.284,0.22,0.41,0.384,0.393,,0.391,0.115,0.038,0.268
07/11,0.331,0.388,0.388,0.359,0.372,0.309,0.253,0.388,0.264,0.33,0.387,0.361,0.369,,0.371,0.187,0.15,0.253
07/12,0.319,0.377,0.374,0.343,0.358,0.302,0.243,0.374,0.257,0.34,0.372,0.348,0.355,,0.361,0.17,0.145,0.243
07/13,0.338,0.398,0.403,0.369,0.383,0.318,0.262,0.403,0.271,0.43,0.402,0.373,0.382,,0.392,0.167,0.155,0.262
07/14,0.315,0.372,0.372,0.335,0.357,0.299,0.243,0.372,0.253,0.28,0.372,0.346,0.352,,0.366,0.134,0.105,0.243
07/15,0.355,0.418,0.421,0.378,0.408,0.334,0.273,0.421,0.285,0.43,0.421,0.391,0.334,,0.417,0.053,0.0,0.273
07/16,0.332,0.39,0.385,0.342,0.372,0.312,0.253,0.385,0.265,0.3,0.385,0.358,0.372,,0.382,0.18,,0.253
07/17,0.355,0.417,0.393,0.346,0.378,0.333,0.256,0.393,0.284,0.21,0.393,0.363,0.391,,0.391,0.23,,0.256
07/18,0.334,0.391,0.378,0.328,0.361,0.312,0.247,0.378,0.265,0.23,0.378,0.35,0.38,,0.376,0.145,,0.247
07/19,0.315,0.372,0.354,0.305,0.339,0.297,0.23,0.354,0.253,0.34,0.354,0.328,0.346,,0.354,0.135,,0.23
07/20,0.355,0.418,0.413,0.349,0.401,0.333,0.269,0.413,0.285,0.31,0.413,0.38,0.199,,0.412,0.075,,0.269
07/21,0.357,0.418,0.418,0.349,0.408,0.335,0.273,0.417,0.284,0.2,0.418,0.383,0.442,,0.417,0.21,,0.273
07/22,0.355,0.416,0.426,0.347,0.415,0.333,0.278,0.424,0.283,0.19,0.426,0.39,0.352,,0.424,0.16,,0.278
07/23,0.33,0.387,0.392,0.315,0.381,0.309,0.253,0.39,0.262,0.23,0.392,0.355,0.336,,0.389,0.12,,0.253
07/24,0.327,0.384,0.382,0.302,0.372,0.307,0.247,0.379,0.261,0.21,0.382,0.345,0.356,,0.377,0.16,,0.247
07/25,0.291,0.342,0.342,0.266,0.332,0.274,0.221,0.338,0.232,0.19,0.342,0.308,0.198,,0.337,0.0,,0.221
07/26,0.297,0.351,0.353,0.267,0.342,0.279,0.228,0.347,0.238,0.2,0.353,0.314,0.307,,0.346,,,0.228
07/27,0.315,0.37,0.375,0.282,0.365,0.296,0.243,0.365,0.25,0.31,0.375,0.334,0.387,,0.367,,,0.243
07/28,0.305,0.358,0.357,0.263,0.347,0.286,0.233,0.344,0.242,0.21,0.357,0.317,0.33,,0.347,,,0.233
07/29,0.317,0.373,0.372,0.265,0.361,0.298,0.242,0.354,0.255,0.21,0.372,0.326,0.377,,0.357,,,0.242
07/30,0.361,0.422,0.422,0.289,0.407,0.337,0.273,0.397,0.285,0.19,0.422,0.364,0.38,,0.404,,,0.273
07/31,0.332,0.39,0.392,0.267,0.378,0.311,0.255,0.365,0.264,0.17,0.392,0.336,0.373,,0.372,,,0.255
08/01,0.331,0.389,0.393,0.258,0.381,0.312,0.257,0.355,0.265,0.17,0.393,0.335,0.0,,0.371,,,0.257
08/02,0.365,0.428,0.439,0.279,0.424,0.343,0.285,0.383,0.292,0.15,0.439,0.371,,,0.409,,,0.285
08/03,0.298,0.35,0.353,0.223,0.34,0.28,0.229,0.303,0.238,0.15,0.353,0.297,,,0.328,,,0.229
08/04,0.292,0.342,0.343,0.204,0.328,0.272,0.223,0.283,0.232,0.17,0.343,0.285,,,0.315,,,0.223
08/05,0.308,0.361,0.347,0.201,0.33,0.288,0.203,0.287,0.244,0.13,0.347,0.286,,,0.318,,,0.227
08/06,0.318,0.375,0.362,0.202,0.343,0.3,0.225,0.288,0.253,0.1,0.362,0.295,,,0.327,,,0.238
08/07,0.311,0.366,0.348,0.188,0.327,0.294,0.217,0.27,0.248,0.1,0.348,0.284,,,0.312,,,0.228
08/08,0.337,0.395,0.389,0.203,0.364,0.315,0.255,0.293,0.269,0.13,0.389,0.312,,,0.347,,,0.253
08/09,0.293,0.345,0.345,0.174,0.323,0.277,0.226,0.258,0.235,0.11,0.345,0.275,,,0.306,,,0.225
08/10,0.303,0.355,0.354,0.159,0.331,0.285,0.147,0.238,0.241,0.12,0.354,0.281,,,0.291,,,0.231
08/11,0.322,0.377,0.379,0.191,0.352,0.302,0.229,0.261,0.256,0.12,0.379,0.298,,,0.335,,,0.248
08/12,0.318,0.373,0.377,0.183,0.345,0.299,0.251,0.243,0.252,0.19,0.377,0.292,,,0.327,,,0.245
08/13,0.29,0.342,0.347,0.155,0.318,0.273,0.229,0.216,0.232,0.12,0.347,0.265,,,0.3,,,0.225
08/14,0.282,0.332,0.335,0.134,0.304,0.265,0.231,0.213,0.226,0.08,0.335,0.253,,,0.28,,,0.218
08/15,0.292,0.342,0.353,0.096,0.321,0.274,0.033,0.146,0.232,0.08,0.321,0.261,,,0.208,,,0.229
08/16,0.302,0.354,0.362,0.168,0.328,0.283,0.27,0.226,0.242,0.11,0.366,0.264,,,0.303,,,0.237
08/17,0.311,0.366,0.377,0.158,0.342,0.293,0.26,0.237,0.248,0.09,0.383,0.271,,,0.3,,,0.245
08/18,0.302,0.355,0.362,0.158,0.326,0.285,0.39,0.209,0.241,0.11,0.373,0.258,,,0.299,,,0.236
08/19,0.285,0.336,0.336,0.128,0.302,0.27,0.17,0.179,0.228,0.07,0.341,0.232,,,0.286,,,0.221
08/20,0.301,0.355,0.343,0.035,0.305,0.285,0.0,0.027,0.242,0.05,0.344,0.186,,,0.056,,,0.226
08/21,0.32,0.376,0.366,0.11,0.327,0.302,,0.2,0.256,0.05,0.372,0.222,,,0.195,,,0.242
08/22,0.271,0.318,0.318,0.14,0.285,0.257,,0.33,0.216,0.05,0.32,0.221,,,0.315,,,0.212
08/23,0.284,0.336,0.335,0.12,0.301,0.268,,0.25,0.228,0.06,0.334,0.23,,,0.305,,,0.224
08/24,0.304,0.357,0.347,0.12,0.316,0.285,,0.17,0.243,0.09,0.37,0.23,,,0.245,,,0.237
08/25,0.244,0.287,0.277,0.0,0.208,0.231,,0.17,0.194,0.0,0.297,0.101,,,0.115,,,0.192
08/26,0.264,0.31,0.292,,0.281,0.247,,0.15,0.209,,0.324,0.21,,,0.21,,,0.208
08/27,0.273,0.319,0.295,,0.257,0.256,,0.15,0.214,,0.325,0.186,,,0.22,,,0.213
08/28,0.246,0.289,0.258,,0.248,0.232,,0.16,0.193,,0.286,0.196,,,0.24,,,0.188
08/29,0.282,0.33,0.293,,0.284,0.264,,0.23,0.222,,0.335,0.2,,,0.35,,,0.216
08/30,0.299,0.353,0.312,,0.319,0.283,,0.0,0.238,,0.373,0.244,,,0.31,,,0.235
08/31,0.287,0.335,0.284,,0.272,0.268,,,0.223,,0.339,0.158,,,0.3,,,0.216
09/01,0.246,0.288,0.243,,0.199,0.232,,,0.191,,0.294,0.02,,,0.0,,,0.19
09/02,0.238,0.28,0.225,,0.22,0.225,,,0.185,,0.274,0.13,,,,,,0.179
09/03,0.25,0.292,0.236,,0.258,0.233,,,0.193,,0.295,0.24,,,,,,0.188
09/04,0.229,0.27,0.22,,0.251,0.216,,,0.178,,0.279,0.21,,,,,,0.178
09/05,0.259,0.305,0.243,,0.111,0.246,,,0.2,,0.318,0.0,,,,,,0.202
09/06,0.206,0.243,0.187,,0.2,0.195,,,0.16,,0.245,,,,,,,0.158
09/07,0.222,0.261,0.2,,0.255,0.208,,,0.172,,0.268,,,,,,,0.173
09/08,0.254,0.298,0.218,,0.26,0.238,,,0.198,,0.304,,,,,,,0.191
09/09,0.23,0.27,0.196,,0.215,0.216,,,0.178,,0.259,,,,,,,0.177
09/10,0.221,0.261,0.184,,0.122,0.209,,,0.169,,0.253,,,,,,,0.153
