# Station Code,efhw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAR,WGRP
04/26,0.154,0.177,0.094,0.072,0.146,0.123,0.053,0.047
04/27,0.148,0.172,0.096,0.072,0.14,0.118,0.053,0.046
04/28,0.142,0.164,0.1,0.075,0.133,0.114,0.053,0.049
04/29,0.15,0.173,0.107,0.079,0.141,0.12,0.057,0.052
04/30,0.152,0.177,0.11,0.085,0.143,0.121,0.058,0.054
05/01,0.156,0.181,0.12,0.094,0.144,0.124,0.063,0.058
05/02,0.16,0.188,0.126,0.096,0.15,0.128,0.066,0.061
05/03,0.163,0.192,0.133,0.102,0.153,0.129,0.067,0.063
05/04,0.164,0.194,0.133,0.104,0.156,0.133,0.068,0.063
05/05,0.129,0.152,0.101,0.088,0.121,0.104,0.057,0.055
05/06,0.151,0.178,0.12,0.106,0.141,0.122,0.065,0.066
05/07,0.174,0.205,0.142,0.127,0.164,0.14,0.081,0.079
05/08,0.156,0.184,0.131,0.117,0.147,0.124,0.075,0.072
05/09,0.171,0.199,0.146,0.129,0.159,0.136,0.081,0.08
05/10,0.183,0.215,0.157,0.141,0.172,0.146,0.089,0.088
05/11,0.173,0.203,0.151,0.136,0.163,0.14,0.086,0.087
05/12,0.165,0.194,0.142,0.131,0.154,0.132,0.081,0.083
05/13,0.168,0.199,0.153,0.137,0.16,0.135,0.087,0.09
05/14,0.144,0.168,0.135,0.119,0.135,0.115,0.077,0.08
05/15,0.151,0.179,0.146,0.13,0.143,0.122,0.084,0.086
05/16,0.155,0.182,0.158,0.142,0.146,0.123,0.093,0.096
05/17,0.152,0.178,0.15,0.137,0.143,0.123,0.088,0.093
05/18,0.154,0.182,0.155,0.143,0.145,0.125,0.096,0.097
05/19,0.165,0.195,0.168,0.157,0.155,0.133,0.103,0.107
05/20,0.159,0.188,0.167,0.156,0.15,0.128,0.103,0.106
05/21,0.171,0.202,0.179,0.167,0.162,0.137,0.11,0.113
05/22,0.175,0.206,0.185,0.176,0.165,0.141,0.117,0.12
05/23,0.198,0.233,0.206,0.199,0.186,0.159,0.133,0.137
05/24,0.172,0.2,0.186,0.175,0.16,0.137,0.119,0.121
05/25,0.155,0.182,0.169,0.161,0.145,0.124,0.111,0.111
05/26,0.173,0.203,0.189,0.179,0.163,0.141,0.124,0.125
05/27,0.189,0.222,0.205,0.197,0.178,0.151,0.138,0.136
05/28,0.188,0.222,0.203,0.198,0.177,0.151,0.137,0.137
05/29,0.197,0.231,0.214,0.207,0.185,0.157,0.147,0.143
05/30,0.189,0.223,0.208,0.204,0.179,0.152,0.145,0.14
05/31,0.188,0.223,0.209,0.204,0.178,0.152,0.147,0.142
06/01,0.196,0.231,0.217,0.214,0.185,0.158,0.156,0.148
06/02,0.2,0.234,0.219,0.216,0.188,0.159,0.159,0.149
06/03,0.198,0.233,0.219,0.216,0.188,0.158,0.163,0.149
06/04,0.209,0.246,0.233,0.23,0.196,0.166,0.173,0.16
06/05,0.189,0.223,0.212,0.208,0.179,0.152,0.162,0.146
06/06,0.204,0.24,0.229,0.224,0.192,0.163,0.176,0.157
06/07,0.219,0.257,0.246,0.242,0.207,0.173,0.192,0.168
06/08,0.193,0.226,0.214,0.212,0.181,0.153,0.171,0.146
06/09,0.164,0.191,0.184,0.182,0.152,0.131,0.148,0.125
06/10,0.175,0.203,0.194,0.192,0.162,0.139,0.156,0.131
06/11,0.197,0.229,0.219,0.217,0.181,0.157,0.177,0.149
06/12,0.197,0.231,0.221,0.218,0.184,0.156,0.18,0.151
06/13,0.196,0.229,0.219,0.216,0.182,0.157,0.181,0.148
06/14,0.178,0.21,0.2,0.198,0.168,0.145,0.166,0.136
06/15,0.165,0.194,0.185,0.184,0.156,0.133,0.156,0.127
06/16,0.177,0.209,0.2,0.199,0.167,0.143,0.169,0.136
06/17,0.201,0.234,0.225,0.223,0.187,0.16,0.191,0.153
06/18,0.199,0.233,0.224,0.223,0.188,0.159,0.19,0.151
06/19,0.215,0.252,0.242,0.242,0.202,0.171,0.209,0.164
06/20,0.201,0.235,0.225,0.225,0.188,0.161,0.199,0.152
06/21,0.208,0.245,0.235,0.235,0.196,0.166,0.208,0.16
06/22,0.224,0.264,0.254,0.254,0.21,0.178,0.226,0.172
06/23,0.23,0.271,0.261,0.261,0.217,0.183,0.233,0.177
06/24,0.222,0.259,0.252,0.25,0.206,0.175,0.225,0.17
06/25,0.228,0.269,0.261,0.26,0.216,0.182,0.235,0.176
06/26,0.233,0.274,0.266,0.266,0.219,0.185,0.242,0.178
06/27,0.22,0.258,0.252,0.251,0.207,0.174,0.231,0.169
06/28,0.221,0.26,0.254,0.254,0.209,0.177,0.232,0.17
06/29,0.225,0.264,0.258,0.259,0.212,0.18,0.237,0.173
06/30,0.228,0.268,0.263,0.262,0.214,0.182,0.242,0.174
07/01,0.234,0.274,0.269,0.269,0.221,0.184,0.251,0.18
07/02,0.219,0.257,0.254,0.252,0.204,0.175,0.236,0.168
07/03,0.214,0.251,0.248,0.247,0.201,0.17,0.232,0.164
07/04,0.21,0.247,0.244,0.243,0.198,0.169,0.23,0.16
07/05,0.216,0.254,0.252,0.25,0.205,0.173,0.238,0.166
07/06,0.214,0.251,0.249,0.248,0.2,0.17,0.238,0.164
07/07,0.212,0.25,0.248,0.249,0.199,0.169,0.238,0.164
07/08,0.215,0.251,0.249,0.25,0.2,0.169,0.243,0.165
07/09,0.221,0.261,0.26,0.26,0.209,0.177,0.255,0.17
07/10,0.208,0.246,0.245,0.245,0.197,0.167,0.242,0.16
07/11,0.217,0.256,0.255,0.255,0.206,0.174,0.253,0.168
07/12,0.222,0.26,0.26,0.259,0.209,0.178,0.259,0.17
07/13,0.237,0.28,0.279,0.279,0.225,0.19,0.283,0.183
07/14,0.248,0.29,0.289,0.289,0.232,0.197,0.294,0.19
07/15,0.248,0.291,0.291,0.29,0.234,0.198,0.298,0.191
07/16,0.233,0.275,0.275,0.274,0.22,0.187,0.284,0.178
07/17,0.218,0.257,0.257,0.256,0.207,0.174,0.267,0.167
07/18,0.22,0.258,0.258,0.258,0.207,0.175,0.268,0.169
07/19,0.231,0.27,0.27,0.27,0.214,0.184,0.282,0.174
07/20,0.235,0.276,0.276,0.276,0.22,0.188,0.291,0.18
07/21,0.239,0.28,0.28,0.28,0.225,0.19,0.296,0.183
07/22,0.205,0.242,0.242,0.242,0.193,0.164,0.257,0.158
07/23,0.226,0.266,0.266,0.266,0.213,0.18,0.282,0.174
07/24,0.223,0.262,0.262,0.262,0.21,0.177,0.278,0.171
07/25,0.223,0.263,0.263,0.263,0.211,0.179,0.279,0.172
07/26,0.241,0.283,0.283,0.283,0.227,0.194,0.302,0.184
07/27,0.228,0.27,0.27,0.27,0.217,0.182,0.29,0.176
07/28,0.24,0.283,0.283,0.283,0.227,0.193,0.304,0.183
07/29,0.269,0.315,0.315,0.315,0.253,0.213,0.337,0.206
07/30,0.258,0.304,0.304,0.304,0.243,0.206,0.328,0.198
07/31,0.252,0.295,0.295,0.295,0.236,0.199,0.319,0.191
08/01,0.234,0.275,0.275,0.275,0.221,0.185,0.296,0.179
08/02,0.234,0.275,0.275,0.275,0.22,0.186,0.295,0.179
08/03,0.215,0.251,0.251,0.251,0.2,0.172,0.27,0.163
08/04,0.222,0.26,0.26,0.26,0.208,0.177,0.28,0.171
08/05,0.218,0.256,0.256,0.256,0.205,0.174,0.275,0.168
08/06,0.212,0.25,0.25,0.25,0.201,0.169,0.268,0.164
08/07,0.217,0.253,0.253,0.253,0.201,0.173,0.269,0.165
08/08,0.204,0.239,0.239,0.239,0.192,0.163,0.255,0.155
08/09,0.191,0.225,0.225,0.225,0.18,0.154,0.24,0.147
08/10,0.21,0.246,0.246,0.246,0.198,0.168,0.261,0.159
08/11,0.212,0.252,0.252,0.252,0.201,0.17,0.266,0.166
08/12,0.191,0.225,0.225,0.224,0.18,0.152,0.236,0.146
08/13,0.194,0.227,0.227,0.226,0.181,0.155,0.238,0.148
08/14,0.209,0.245,0.245,0.241,0.196,0.166,0.254,0.16
08/15,0.208,0.246,0.246,0.241,0.199,0.166,0.255,0.161
08/16,0.21,0.246,0.246,0.237,0.197,0.168,0.255,0.16
08/17,0.212,0.248,0.248,0.238,0.197,0.169,0.254,0.161
08/18,0.209,0.246,0.243,0.232,0.196,0.167,0.248,0.161
08/19,0.199,0.233,0.23,0.216,0.186,0.159,0.231,0.152
08/20,0.177,0.208,0.204,0.189,0.165,0.142,0.203,0.136
08/21,0.183,0.214,0.207,0.187,0.172,0.146,0.205,0.139
08/22,0.18,0.212,0.206,0.185,0.169,0.145,0.201,0.138
08/23,0.181,0.212,0.202,0.181,0.17,0.145,0.194,0.138
08/24,0.175,0.207,0.196,0.177,0.166,0.141,0.186,0.135
08/25,0.179,0.211,0.196,0.172,0.169,0.142,0.181,0.138
08/26,0.189,0.221,0.203,0.177,0.175,0.147,0.184,0.145
08/27,0.192,0.228,0.206,0.182,0.182,0.153,0.184,0.15
08/28,0.182,0.214,0.193,0.166,0.172,0.144,0.171,0.139
08/29,0.187,0.219,0.192,0.164,0.174,0.145,0.164,0.144
08/30,0.163,0.193,0.165,0.141,0.155,0.129,0.14,0.126
08/31,0.156,0.184,0.156,0.132,0.147,0.123,0.127,0.12
09/01,0.157,0.185,0.155,0.13,0.148,0.123,0.124,0.12
09/02,0.179,0.21,0.172,0.144,0.167,0.14,0.133,0.136
09/03,0.164,0.193,0.154,0.13,0.153,0.127,0.117,0.125
09/04,0.163,0.193,0.151,0.126,0.154,0.127,0.108,0.126
09/05,0.168,0.198,0.151,0.126,0.158,0.129,0.081,0.128
09/06,0.158,0.185,0.139,0.115,0.147,0.12,0.111,0.12
09/07,0.166,0.194,0.143,0.118,0.155,0.126,0.1,0.126
09/08,0.14,0.166,0.119,0.097,0.133,0.107,0.08,0.107
09/09,0.157,0.184,0.129,0.105,0.148,0.118,0.08,0.12
09/10,0.144,0.169,0.116,0.095,0.136,0.109,0.024,0.096
09/11,0.138,0.162,0.108,0.087,0.129,0.103,0.085,0.108
09/12,0.146,0.172,0.113,0.089,0.136,0.109,0.095,0.109
09/13,0.131,0.156,0.099,0.078,0.126,0.099,0.055,0.099
09/14,0.12,0.141,0.089,0.067,0.115,0.089,0.05,0.087
09/15,0.124,0.145,0.09,0.046,0.117,0.092,0.01,0.07
09/16,0.127,0.148,0.09,0.07,0.118,0.092,0.04,0.096
09/17,0.102,0.119,0.069,0.053,0.095,0.073,0.02,0.077
09/18,0.104,0.123,0.07,0.05,0.1,0.076,0.03,0.077
09/19,0.114,0.133,0.075,0.056,0.107,0.081,0.04,0.089
09/20,0.11,0.13,0.07,0.0,0.104,0.08,0.0,0.017
09/21,0.121,0.141,0.074,,0.113,0.085,,0.095
09/22,0.109,0.129,0.066,,0.101,0.079,,0.055
09/23,0.099,0.115,0.059,,0.091,0.07,,0.06
09/24,0.104,0.122,0.059,,0.097,0.073,,0.065
09/25,0.096,0.112,0.042,,0.09,0.065,,0.0
09/26,0.115,0.135,0.064,,0.108,0.078,,
09/27,0.113,0.132,0.057,,0.106,0.073,,
09/28,0.108,0.125,0.049,,0.099,0.068,,
09/29,0.109,0.126,0.046,,0.1,0.067,,
09/30,0.095,0.113,0.011,,0.089,0.059,,
10/01,0.11,0.129,0.05,,0.102,0.067,,
10/02,0.104,0.122,0.035,,0.099,0.062,,
10/03,0.099,0.116,0.04,,0.091,0.055,,
10/04,0.099,0.116,0.04,,0.094,0.055,,
10/05,0.099,0.116,0.0,,0.093,0.055,,
10/06,0.099,0.114,,,0.09,0.051,,
10/07,0.091,0.107,,,0.085,0.048,,
10/08,0.078,0.091,,,0.073,0.04,,
10/09,0.076,0.089,,,0.071,0.036,,
10/10,0.0,0.0,,,0.0,0.0,,
