# Station Code,tlkc
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,CHRY,LAWN,ONYN,PAST,POTA,PPMT,SGRN,WGRN,WGRP
05/16,0.17,0.17,0.05,,,0.05,0.18,0.1,0.15,,,,0.21,0.05
05/17,0.19,0.19,0.05,,,0.05,0.19,0.11,0.15,,,,0.22,0.05
05/18,0.2,0.2,0.05,,,0.05,0.2,0.12,0.16,,,,0.24,0.06
05/19,0.25,0.25,0.06,,,0.06,0.25,0.16,0.2,,,,0.29,0.08
05/20,0.25,0.26,0.07,,,0.07,0.25,0.16,0.2,,0.05,,0.29,0.08
05/21,0.19,0.2,0.05,,,0.05,0.18,0.12,0.15,,0.04,,0.22,0.06
05/22,0.18,0.19,0.05,,,0.06,0.18,0.11,0.15,,0.04,,0.21,0.06
05/23,0.23,0.24,0.07,,,0.07,0.22,0.14,0.18,,0.04,,0.26,0.08
05/24,0.2,0.22,0.06,,,0.07,0.19,0.12,0.16,,0.04,,0.23,0.08
05/25,0.21,0.23,0.07,,,0.08,0.2,0.13,0.17,,0.04,0.05,0.24,0.09
05/26,0.19,0.21,0.07,,,0.08,0.18,0.11,0.15,,0.04,0.04,0.22,0.08
05/27,0.17,0.19,0.07,,,0.08,0.16,0.1,0.14,,0.04,0.04,0.2,0.08
05/28,0.13,0.15,0.06,,,0.07,0.12,0.08,0.1,,0.03,0.03,0.15,0.06
05/29,0.16,0.19,0.08,,,0.09,0.15,0.1,0.13,,0.04,0.04,0.19,0.08
05/30,0.13,0.15,0.07,,,0.08,0.12,0.08,0.1,,0.03,0.03,0.15,0.07
05/31,0.16,0.19,0.09,,,0.1,0.15,0.1,0.13,,0.04,0.04,0.19,0.09
06/01,0.11,0.13,0.06,,,0.08,0.1,0.07,0.09,,0.03,0.03,0.13,0.06
06/02,0.14,0.17,0.09,,,0.11,0.14,0.09,0.12,,0.04,0.04,0.17,0.09
06/03,0.18,0.21,0.12,,,0.14,0.17,0.11,0.14,,0.06,0.05,0.21,0.11
06/04,0.19,0.22,0.13,,,0.16,0.18,0.11,0.15,,0.06,0.06,0.22,0.12
06/05,0.14,0.16,0.1,,,0.12,0.13,0.08,0.11,,0.05,0.05,0.16,0.09
06/06,0.19,0.22,0.15,,,0.17,0.18,0.11,0.15,,0.07,0.08,0.22,0.13
06/07,0.2,0.23,0.16,,,0.18,0.18,0.12,0.16,,0.08,0.09,0.23,0.14
06/08,0.15,0.18,0.13,,,0.15,0.14,0.09,0.12,,0.06,0.08,0.18,0.11
06/09,0.09,0.1,0.08,,,0.08,0.08,0.05,0.07,,0.04,0.05,0.1,0.06
06/10,0.18,0.21,0.16,,0.05,0.18,0.17,0.11,0.14,,0.08,0.12,0.21,0.13
06/11,0.14,0.16,0.13,,0.04,0.14,0.13,0.08,0.11,,0.07,0.1,0.16,0.1
06/12,0.18,0.21,0.17,,0.05,0.19,0.17,0.11,0.14,,0.09,0.14,0.21,0.14
06/13,0.22,0.26,0.22,,0.06,0.24,0.21,0.13,0.18,,0.12,0.18,0.26,0.17
06/14,0.2,0.24,0.21,,0.06,0.22,0.19,0.12,0.16,,0.11,0.18,0.24,0.16
06/15,0.2,0.23,0.2,0.05,0.05,0.22,0.18,0.12,0.16,0.07,0.11,0.18,0.23,0.15
06/16,0.23,0.27,0.24,0.06,0.07,0.26,0.22,0.14,0.18,0.08,0.14,0.22,0.27,0.18
06/17,0.22,0.26,0.23,0.05,0.06,0.25,0.21,0.14,0.18,0.08,0.14,0.22,0.26,0.17
06/18,0.23,0.27,0.25,0.06,0.07,0.26,0.22,0.14,0.18,0.08,0.15,0.23,0.27,0.18
06/19,0.18,0.21,0.2,0.05,0.05,0.2,0.17,0.11,0.14,0.06,0.12,0.19,0.21,0.14
06/20,0.12,0.14,0.13,0.03,0.04,0.13,0.11,0.08,0.1,0.04,0.08,0.13,0.14,0.09
06/21,0.19,0.22,0.21,0.05,0.06,0.21,0.18,0.12,0.15,0.07,0.14,0.2,0.22,0.14
06/22,0.17,0.2,0.19,0.05,0.05,0.19,0.16,0.12,0.14,0.06,0.13,0.19,0.2,0.13
06/23,0.17,0.2,0.19,0.05,0.05,0.19,0.16,0.12,0.14,0.07,0.13,0.19,0.2,0.13
06/24,0.16,0.19,0.18,0.05,0.05,0.18,0.15,0.12,0.13,0.06,0.13,0.18,0.19,0.12
06/25,0.13,0.15,0.14,0.04,0.04,0.14,0.12,0.09,0.1,0.05,0.11,0.14,0.15,0.1
06/26,0.19,0.22,0.21,0.07,0.06,0.21,0.18,0.14,0.15,0.08,0.16,0.21,0.22,0.14
06/27,0.17,0.2,0.19,0.06,0.06,0.19,0.16,0.13,0.14,0.07,0.15,0.2,0.2,0.13
06/28,0.21,0.25,0.24,0.08,0.08,0.24,0.2,0.17,0.17,0.09,0.19,0.25,0.25,0.16
06/29,0.23,0.27,0.26,0.1,0.09,0.26,0.22,0.19,0.18,0.1,0.21,0.27,0.27,0.18
06/30,0.24,0.28,0.27,0.11,0.09,0.27,0.22,0.2,0.19,0.11,0.22,0.28,0.28,0.18
07/01,0.25,0.29,0.28,0.12,0.1,0.28,0.23,0.21,0.2,0.12,0.23,0.29,0.29,0.19
07/02,0.25,0.29,0.28,0.13,0.1,0.28,0.23,0.21,0.2,0.13,0.24,0.29,0.29,0.19
07/03,0.26,0.3,0.29,0.15,0.11,0.29,0.24,0.23,0.2,0.14,0.25,0.3,0.3,0.2
07/04,0.24,0.28,0.27,0.14,0.11,0.27,0.22,0.22,0.19,0.13,0.24,0.28,0.28,0.18
07/05,0.22,0.26,0.25,0.14,0.1,0.25,0.21,0.2,0.18,0.13,0.22,0.26,0.26,0.17
07/06,0.24,0.28,0.27,0.16,0.12,0.27,0.22,0.22,0.19,0.14,0.24,0.28,0.28,0.18
07/07,0.23,0.27,0.26,0.17,0.12,0.26,0.22,0.22,0.18,0.14,0.23,0.27,0.27,0.18
07/08,0.21,0.25,0.24,0.16,0.11,0.24,0.2,0.21,0.17,0.14,0.22,0.25,0.25,0.16
07/09,0.25,0.29,0.28,0.2,0.14,0.28,0.23,0.25,0.2,0.17,0.26,0.29,0.29,0.19
07/10,0.24,0.28,0.27,0.2,0.14,0.27,0.22,0.24,0.19,0.17,0.25,0.28,0.28,0.18
07/11,0.23,0.27,0.26,0.2,0.14,0.26,0.22,0.24,0.18,0.16,0.24,0.27,0.27,0.18
07/12,0.19,0.22,0.21,0.17,0.11,0.21,0.18,0.2,0.15,0.14,0.2,0.22,0.22,0.14
07/13,0.22,0.26,0.25,0.21,0.14,0.25,0.21,0.24,0.18,0.17,0.24,0.26,0.26,0.17
07/14,0.22,0.26,0.25,0.21,0.14,0.25,0.21,0.24,0.18,0.17,0.24,0.26,0.26,0.17
07/15,0.26,0.3,0.29,0.26,0.17,0.29,0.24,0.28,0.2,0.21,0.28,0.3,0.3,0.2
07/16,0.26,0.3,0.29,0.26,0.18,0.29,0.24,0.29,0.2,0.21,0.28,0.3,0.3,0.2
07/17,0.26,0.31,0.3,0.28,0.19,0.3,0.25,0.3,0.21,0.23,0.29,0.31,0.31,0.2
07/18,0.24,0.28,0.27,0.26,0.18,0.28,0.22,0.27,0.19,0.21,0.26,0.28,0.28,0.18
07/19,0.24,0.28,0.27,0.26,0.18,0.28,0.22,0.27,0.19,0.21,0.26,0.28,0.28,0.18
07/20,0.26,0.3,0.29,0.28,0.2,0.3,0.24,0.29,0.2,0.24,0.28,0.3,0.29,0.2
07/21,0.26,0.31,0.3,0.29,0.21,0.31,0.25,0.3,0.21,0.25,0.29,0.31,0.3,0.2
07/22,0.26,0.3,0.29,0.29,0.21,0.3,0.24,0.3,0.2,0.24,0.29,0.3,0.29,0.2
07/23,0.23,0.27,0.27,0.26,0.2,0.27,0.22,0.27,0.18,0.22,0.26,0.27,0.25,0.18
07/24,0.25,0.29,0.29,0.28,0.22,0.29,0.23,0.29,0.2,0.24,0.28,0.29,0.26,0.19
07/25,0.21,0.25,0.25,0.24,0.19,0.25,0.2,0.25,0.17,0.21,0.24,0.25,0.21,0.16
07/26,0.23,0.27,0.27,0.26,0.22,0.27,0.22,0.27,0.18,0.23,0.26,0.27,0.22,0.18
07/27,0.21,0.25,0.25,0.24,0.21,0.25,0.2,0.25,0.17,0.22,0.24,0.25,0.19,0.16
07/28,0.26,0.31,0.31,0.29,0.27,0.31,0.25,0.31,0.21,0.27,0.29,0.31,0.23,0.2
07/29,0.29,0.34,0.34,0.32,0.3,0.34,0.27,0.34,0.23,0.3,0.32,0.34,0.24,0.22
07/30,0.26,0.31,0.31,0.29,0.28,0.31,0.25,0.31,0.21,0.28,0.29,0.31,0.21,0.2
07/31,0.24,0.28,0.28,0.27,0.26,0.28,0.22,0.28,0.19,0.25,0.27,0.28,0.18,0.18
08/01,0.25,0.29,0.29,0.28,0.28,0.29,0.23,0.29,0.2,0.26,0.28,0.29,0.17,0.19
08/02,0.26,0.31,0.31,0.29,0.3,0.31,0.25,0.31,0.21,0.28,0.29,0.31,0.17,0.2
08/03,0.21,0.25,0.25,0.24,0.24,0.25,0.2,0.25,0.17,0.23,0.24,0.25,0.13,0.16
08/04,0.21,0.25,0.25,0.24,0.25,0.25,0.2,0.25,0.17,0.23,0.24,0.25,0.12,0.16
08/05,0.2,0.23,0.23,0.22,0.23,0.23,0.18,0.23,0.16,0.21,0.22,0.23,0.1,0.15
08/06,0.2,0.24,0.24,0.23,0.24,0.24,0.19,0.24,0.16,0.22,0.23,0.24,0.1,0.16
08/07,0.2,0.24,0.24,0.23,0.24,0.24,0.19,0.24,0.16,0.22,0.23,0.24,0.09,0.16
08/08,0.24,0.28,0.28,0.27,0.28,0.28,0.22,0.28,0.19,0.26,0.27,0.28,0.1,0.18
08/09,0.24,0.28,0.28,0.27,0.28,0.28,0.22,0.28,0.19,0.26,0.27,0.27,0.09,0.18
08/10,0.21,0.25,0.25,0.24,0.25,0.25,0.2,0.25,0.17,0.23,0.24,0.24,0.0,0.16
08/11,0.24,0.28,0.28,0.27,0.28,0.28,0.22,0.28,0.19,0.26,0.27,0.26,,0.18
08/12,0.25,0.29,0.29,0.27,0.29,0.29,0.23,0.29,0.2,0.27,0.28,0.26,,0.19
08/13,0.23,0.27,0.27,0.25,0.27,0.27,0.22,0.27,0.18,0.25,0.26,0.22,,0.18
08/14,0.24,0.28,0.28,0.26,0.28,0.28,0.22,0.28,0.19,0.26,0.27,0.22,,0.18
08/15,0.25,0.29,0.29,0.26,0.29,0.29,0.23,0.29,0.2,0.27,0.28,0.21,,0.19
08/16,0.19,0.22,0.22,0.19,0.22,0.22,0.18,0.22,0.15,0.2,0.21,0.15,,0.14
08/17,0.14,0.17,0.17,0.15,0.17,0.17,0.14,0.17,0.12,0.16,0.16,0.11,,0.11
08/18,0.16,0.19,0.19,0.16,0.19,0.19,0.15,0.19,0.13,0.18,0.18,0.11,,0.12
08/19,0.21,0.25,0.25,0.21,0.25,0.25,0.2,0.25,0.17,0.23,0.24,0.14,,0.16
08/20,0.12,0.14,0.14,0.11,0.14,0.14,0.11,0.14,0.1,0.13,0.13,0.07,,0.09
08/21,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.02,,0.03
08/22,0.09,0.11,0.11,0.08,0.11,0.11,0.09,0.11,0.07,0.1,0.1,0.04,,0.07
08/23,0.15,0.18,0.18,0.13,0.18,0.18,0.14,0.17,0.12,0.17,0.17,0.07,,0.12
08/24,0.2,0.24,0.24,0.17,0.24,0.24,0.19,0.22,0.16,0.22,0.23,0.08,,0.16
08/25,0.22,0.26,0.26,0.18,0.26,0.26,0.21,0.23,0.18,0.24,0.25,0.0,,0.17
08/26,0.21,0.25,0.25,0.16,0.25,0.25,0.2,0.21,0.17,0.23,0.24,,,0.16
08/27,0.2,0.24,0.24,0.15,0.24,0.23,0.19,0.2,0.16,0.22,0.23,,,0.16
08/28,0.19,0.22,0.22,0.13,0.22,0.21,0.18,0.17,0.15,0.2,0.21,,,0.14
08/29,0.2,0.24,0.24,0.13,0.24,0.22,0.19,0.18,0.16,0.22,0.23,,,0.16
08/30,0.18,0.21,0.21,0.11,0.21,0.19,0.17,0.15,0.14,0.19,0.2,,,0.14
08/31,0.17,0.2,0.2,0.1,0.2,0.18,0.16,0.14,0.13,0.18,0.19,,,0.13
09/01,0.06,0.07,0.07,0.03,0.07,0.06,0.06,0.04,0.05,0.06,0.07,,,0.05
09/02,0.14,0.16,0.15,0.07,0.16,0.13,0.13,0.1,0.11,0.14,0.15,,,0.1
09/03,0.12,0.14,0.13,0.05,0.14,0.11,0.11,0.08,0.09,0.12,0.13,,,0.09
09/04,0.13,0.15,0.14,0.05,0.15,0.12,0.12,0.08,0.1,0.13,0.14,,,0.1
09/05,0.15,0.18,0.16,0.0,0.17,0.14,0.14,0.0,0.12,0.16,0.17,,,0.12
09/06,0.14,0.17,0.15,,0.16,0.13,0.14,,0.11,0.15,0.16,,,0.11
09/07,0.19,0.22,0.18,,0.21,0.16,0.18,,0.14,0.19,0.21,,,0.14
09/08,0.18,0.21,0.17,,0.2,0.15,0.17,,0.14,0.18,0.2,,,0.14
09/09,0.17,0.2,0.16,,0.19,0.14,0.16,,0.13,0.17,0.19,,,0.13
09/10,0.17,0.2,0.15,,0.19,0.14,0.16,,0.13,0.16,0.0,,,0.13
09/11,0.17,0.2,0.15,,0.19,0.13,0.16,,0.13,0.16,,,,0.13
09/12,0.18,0.21,0.15,,0.19,0.14,0.17,,0.13,0.17,,,,0.14
09/13,0.15,0.18,0.13,,0.16,0.11,0.14,,0.11,0.15,,,,0.12
09/14,0.17,0.2,0.14,,0.18,0.12,0.16,,0.12,0.16,,,,0.13
09/15,0.19,0.22,0.15,,0.2,0.13,0.18,,0.14,0.18,,,,0.14
09/16,0.18,0.21,0.14,,0.19,0.12,0.17,,0.13,0.17,,,,0.14
09/17,0.17,0.2,0.13,,0.18,0.11,0.16,,0.12,0.16,,,,0.13
09/18,0.19,0.22,0.14,,0.19,0.12,0.18,,0.13,0.17,,,,0.14
09/19,0.16,0.19,0.12,,0.17,0.1,0.15,,0.11,0.15,,,,0.12
09/20,0.16,0.19,0.11,,0.17,0.09,0.15,,0.11,0.15,,,,0.12
09/21,0.11,0.13,0.07,,0.11,0.06,0.1,,0.07,0.1,,,,0.08
09/22,0.12,0.14,0.08,,0.12,0.06,0.11,,0.08,0.11,,,,0.09
09/23,0.17,0.2,0.11,,0.17,0.09,0.16,,0.1,0.15,,,,0.13
09/24,0.18,0.21,0.11,,0.18,0.09,0.17,,0.11,0.15,,,,0.14
09/25,0.21,0.25,0.12,,0.21,0.0,0.2,,0.12,0.18,,,,0.0
09/26,0.11,0.13,0.06,,0.11,,0.1,,0.06,0.09,,,,
09/27,0.13,0.15,0.07,,0.12,,0.12,,0.07,0.1,,,,
09/28,0.11,0.13,0.06,,0.11,,0.1,,0.06,0.09,,,,
09/29,0.09,0.1,0.04,,0.08,,0.08,,0.04,0.06,,,,
09/30,0.0,0.0,0.0,,0.08,,0.0,,0.0,0.06,,,,
10/01,,,,,0.13,,,,,0.1,,,,
10/02,,,,,0.09,,,,,0.06,,,,
10/03,,,,,0.1,,,,,0.07,,,,
10/04,,,,,0.12,,,,,0.08,,,,
10/05,,,,,0.14,,,,,0.0,,,,
10/06,,,,,0.12,,,,,,,,,
10/07,,,,,0.14,,,,,,,,,
10/08,,,,,0.16,,,,,,,,,
10/09,,,,,0.15,,,,,,,,,
10/10,,,,,0.09,,,,,,,,,
10/11,,,,,0.05,,,,,,,,,
10/12,,,,,0.06,,,,,,,,,
10/13,,,,,0.07,,,,,,,,,
10/14,,,,,0.08,,,,,,,,,
10/15,,,,,0.0,,,,,,,,,
