# Station Code,drlm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN
07/01,0.244,0.287,0.23,0.195,0.275,0.11,0.277
07/02,0.265,0.312,0.249,0.212,0.302,0.122,0.3
07/03,0.255,0.3,0.24,0.205,0.293,0.12,0.29
07/04,0.245,0.288,0.231,0.193,0.283,0.119,0.282
07/05,0.242,0.285,0.229,0.195,0.282,0.122,0.28
07/06,0.253,0.298,0.239,0.203,0.295,0.132,0.294
07/07,0.24,0.281,0.225,0.191,0.278,0.13,0.276
07/08,0.252,0.295,0.235,0.2,0.292,0.141,0.291
07/09,0.244,0.287,0.23,0.195,0.285,0.142,0.284
07/10,0.239,0.281,0.226,0.191,0.275,0.145,0.28
07/11,0.238,0.278,0.222,0.188,0.27,0.148,0.278
07/12,0.25,0.295,0.236,0.2,0.282,0.165,0.294
07/13,0.237,0.28,0.225,0.19,0.265,0.161,0.279
07/14,0.244,0.287,0.229,0.195,0.265,0.172,0.287
07/15,0.231,0.272,0.215,0.184,0.245,0.168,0.272
07/16,0.243,0.284,0.226,0.192,0.249,0.18,0.284
07/17,0.248,0.292,0.235,0.199,0.251,0.191,0.292
07/18,0.279,0.329,0.264,0.224,0.271,0.222,0.329
07/19,0.272,0.319,0.257,0.216,0.255,0.218,0.319
07/20,0.285,0.336,0.268,0.228,0.259,0.236,0.336
07/21,0.272,0.318,0.254,0.216,0.234,0.232,0.318
07/22,0.281,0.332,0.265,0.225,0.234,0.246,0.332
07/23,0.27,0.317,0.252,0.215,0.212,0.241,0.317
07/24,0.286,0.336,0.268,0.228,0.219,0.261,0.335
07/25,0.271,0.317,0.252,0.215,0.194,0.252,0.316
07/26,0.265,0.312,0.249,0.212,0.18,0.252,0.311
07/27,0.244,0.287,0.228,0.195,0.159,0.238,0.284
07/28,0.233,0.275,0.22,0.186,0.145,0.23,0.268
07/29,0.262,0.307,0.246,0.207,0.152,0.258,0.3
07/30,0.266,0.312,0.249,0.212,0.145,0.266,0.302
07/31,0.273,0.321,0.258,0.218,0.138,0.278,0.311
08/01,0.258,0.305,0.245,0.205,0.124,0.266,0.292
08/02,0.262,0.308,0.246,0.208,0.122,0.271,0.293
08/03,0.262,0.307,0.245,0.208,0.108,0.273,0.293
08/04,0.241,0.283,0.227,0.192,0.092,0.252,0.266
08/05,0.221,0.258,0.206,0.177,0.075,0.234,0.238
08/06,0.223,0.262,0.21,0.177,0.076,0.238,0.262
08/07,0.235,0.275,0.219,0.186,0.076,0.252,0.274
08/08,0.229,0.268,0.215,0.182,0.071,0.247,0.266
08/09,0.215,0.252,0.201,0.172,0.058,0.232,0.253
08/10,0.22,0.258,0.207,0.176,0.035,0.24,0.257
08/11,0.232,0.272,0.218,0.184,0.058,0.252,0.269
08/12,0.244,0.286,0.228,0.195,0.062,0.267,0.283
08/13,0.232,0.272,0.218,0.186,0.048,0.253,0.276
08/14,0.235,0.278,0.223,0.188,0.05,0.258,0.272
08/15,0.235,0.275,0.219,0.187,0.012,0.256,0.262
08/16,0.239,0.281,0.225,0.191,0.06,0.261,0.262
08/17,0.229,0.269,0.215,0.183,0.05,0.25,0.246
08/18,0.213,0.251,0.2,0.171,0.05,0.234,0.22
08/19,0.221,0.259,0.208,0.178,0.07,0.239,0.214
08/20,0.192,0.227,0.182,0.154,0.0,0.21,0.183
08/21,0.206,0.242,0.193,0.163,,0.225,0.19
08/22,0.207,0.243,0.194,0.165,,0.226,0.193
08/23,0.198,0.234,0.188,0.157,,0.218,0.18
08/24,0.212,0.248,0.199,0.165,,0.231,0.18
08/25,0.195,0.228,0.182,0.153,,0.212,0.133
08/26,0.194,0.228,0.183,0.153,,0.211,0.177
08/27,0.205,0.24,0.193,0.16,,0.222,0.185
08/28,0.218,0.257,0.205,0.169,,0.238,0.154
08/29,0.231,0.269,0.217,0.178,,0.248,0.179
08/30,0.221,0.258,0.207,0.169,,0.238,0.149
08/31,0.206,0.241,0.191,0.158,,0.221,0.135
09/01,0.215,0.253,0.202,0.165,,0.232,0.095
09/02,0.217,0.255,0.205,0.165,,0.231,0.103
09/03,0.198,0.233,0.186,0.152,,0.208,0.083
09/04,0.182,0.213,0.17,0.14,,0.192,0.075
09/05,0.18,0.212,0.17,0.135,,0.188,0.015
09/06,0.185,0.219,0.175,0.138,,0.193,0.11
09/07,0.173,0.202,0.162,0.128,,0.176,0.06
09/08,0.195,0.228,0.181,0.142,,0.198,0.06
09/09,0.164,0.19,0.152,0.118,,0.165,0.05
09/10,0.18,0.212,0.17,0.132,,0.181,0.0
09/11,0.168,0.197,0.156,0.121,,0.166,
09/12,0.161,0.189,0.15,0.116,,0.158,
09/13,0.167,0.195,0.156,0.118,,0.161,
09/14,0.142,0.168,0.135,0.099,,0.138,
09/15,0.154,0.181,0.145,0.104,,0.148,
09/16,0.149,0.175,0.14,0.098,,0.142,
09/17,0.162,0.191,0.153,0.103,,0.156,
09/18,0.168,0.198,0.157,0.104,,0.158,
09/19,0.119,0.14,0.112,0.072,,0.112,
09/20,0.121,0.143,0.115,0.068,,0.113,
09/21,0.147,0.171,0.136,0.082,,0.134,
09/22,0.131,0.154,0.124,0.071,,0.121,
09/23,0.123,0.145,0.117,0.062,,0.111,
09/24,0.14,0.164,0.132,0.069,,0.125,
09/25,0.0,0.0,0.0,0.0,,0.136,
09/26,,,,,,0.128,
09/27,,,,,,0.114,
09/28,,,,,,0.098,
09/29,,,,,,0.102,
09/30,,,,,,0.094,
10/01,,,,,,0.07,
10/02,,,,,,0.078,
10/03,,,,,,0.072,
10/04,,,,,,0.066,
10/05,,,,,,0.046,
10/06,,,,,,0.075,
10/07,,,,,,0.077,
10/08,,,,,,0.068,
10/09,,,,,,0.072,
10/10,,,,,,0.015,
10/11,,,,,,0.07,
10/12,,,,,,0.05,
10/13,,,,,,0.04,
10/14,,,,,,0.04,
10/15,,,,,,0.0,
