# Station Code,robi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SCRN,SGRN,WGRN
09/05,0.223,0.261,0.209,0.224,0.209,0.169,0.213,0.164,,
09/06,0.204,0.239,0.192,0.207,0.192,0.155,0.195,0.13,,
09/07,0.21,0.248,0.198,0.215,0.198,0.159,0.2,0.13,,
09/08,0.236,0.277,0.222,0.24,0.222,0.178,0.222,0.131,,
09/09,0.224,0.262,0.209,0.225,0.209,0.168,0.211,0.111,,
09/10,0.198,0.231,0.186,0.2,0.186,0.146,0.185,0.038,,
09/11,0.215,0.252,0.202,0.217,0.202,0.158,0.199,0.117,,
09/12,0.204,0.238,0.19,0.204,0.19,0.148,0.187,0.12,,
09/13,0.197,0.23,0.184,0.197,0.184,0.142,0.179,0.1,,
09/14,0.173,0.203,0.16,0.173,0.162,0.125,0.157,0.07,,
09/15,0.17,0.199,0.168,0.181,0.169,0.128,0.162,0.02,,
09/16,0.176,0.206,0.158,0.173,0.163,0.123,0.153,0.06,,
09/17,0.161,0.188,0.152,0.168,0.158,0.118,0.145,0.05,,
09/18,0.18,0.211,0.181,0.198,0.186,0.137,0.168,0.1,,
09/19,0.174,0.206,0.167,0.18,0.17,0.122,0.15,0.11,,
09/20,0.158,0.183,0.15,0.164,0.153,0.107,0.13,0.09,,
09/21,0.138,0.16,0.126,0.138,0.13,0.088,0.108,0.09,,
09/22,0.152,0.179,0.128,0.14,0.134,0.089,0.11,0.06,,
09/23,0.161,0.19,0.131,0.147,0.139,0.091,0.113,0.07,,
09/24,0.171,0.203,0.15,0.165,0.158,0.099,0.124,0.05,,
09/25,0.182,0.214,0.156,0.173,0.165,0.099,0.111,0.0,,
09/26,0.197,0.231,0.165,0.187,0.179,0.104,0.14,,,
09/27,0.152,0.179,0.133,0.151,0.143,0.079,0.1,,,
09/28,0.137,0.161,0.123,0.138,0.132,0.072,0.084,,,
09/29,0.131,0.154,0.117,0.131,0.125,0.065,0.077,,,
09/30,0.0,0.0,0.105,0.119,0.0,0.0,0.0,,,
10/01,,,0.09,0.104,,,,,,
10/02,,,0.096,0.112,,,,,,
10/03,,,0.099,0.116,,,,,,
10/04,,,0.089,0.104,,,,,,
10/05,,,0.09,0.106,,,,,,
10/06,,,0.087,0.102,,,,,,
10/07,,,0.104,0.122,,,,,,
10/08,,,0.104,0.124,,,,,,
10/09,,,0.093,0.111,,,,,,
10/10,,,0.109,0.131,,,,,,
10/11,,,0.093,0.111,,,,,,
10/12,,,0.09,0.108,,,,,,
10/13,,,0.085,0.106,,,,,,
10/14,,,0.088,0.11,,,,,,
10/15,,,0.091,0.111,,,,,,
10/16,,,0.093,0.114,,,,,,
10/17,,,0.11,0.134,,,,,,
10/18,,,0.091,0.112,,,,,,
10/19,,,0.073,0.092,,,,,,
10/20,,,0.0,0.0,,,,,,
