# Station Code,pcyo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST
07/07,0.25,0.295,0.236,0.201
07/08,0.251,0.294,0.235,0.2
07/09,0.255,0.301,0.242,0.205
07/10,0.231,0.269,0.215,0.183
07/11,0.246,0.288,0.229,0.195
07/12,0.242,0.284,0.227,0.193
07/13,0.245,0.288,0.231,0.196
07/14,0.252,0.296,0.237,0.2
07/15,0.249,0.294,0.236,0.202
07/16,0.243,0.287,0.231,0.195
07/17,0.254,0.298,0.238,0.202
07/18,0.256,0.301,0.241,0.205
07/19,0.239,0.28,0.222,0.189
07/20,0.252,0.297,0.238,0.201
07/21,0.269,0.317,0.255,0.216
07/22,0.253,0.298,0.238,0.202
07/23,0.255,0.298,0.239,0.202
07/24,0.255,0.298,0.238,0.203
07/25,0.268,0.317,0.253,0.215
07/26,0.245,0.287,0.228,0.196
07/27,0.257,0.302,0.242,0.205
07/28,0.262,0.308,0.246,0.209
07/29,0.256,0.3,0.24,0.203
07/30,0.267,0.313,0.25,0.212
07/31,0.238,0.281,0.225,0.192
08/01,0.242,0.286,0.23,0.195
08/02,0.249,0.292,0.234,0.2
08/03,0.232,0.272,0.218,0.184
08/04,0.226,0.265,0.212,0.181
08/05,0.237,0.278,0.224,0.189
08/06,0.218,0.256,0.206,0.175
08/07,0.218,0.255,0.203,0.172
08/08,0.212,0.248,0.199,0.168
08/09,0.218,0.255,0.205,0.173
08/10,0.214,0.252,0.202,0.171
08/11,0.226,0.266,0.214,0.18
08/12,0.214,0.252,0.202,0.172
08/13,0.212,0.25,0.201,0.169
08/14,0.221,0.258,0.207,0.175
08/15,0.221,0.26,0.208,0.176
08/16,0.232,0.27,0.216,0.182
08/17,0.207,0.243,0.192,0.164
08/18,0.203,0.239,0.19,0.162
08/19,0.203,0.24,0.192,0.161
08/20,0.197,0.232,0.186,0.155
08/21,0.198,0.232,0.185,0.155
08/22,0.19,0.223,0.178,0.151
08/23,0.196,0.23,0.183,0.155
08/24,0.196,0.23,0.184,0.155
08/25,0.191,0.224,0.178,0.149
08/26,0.19,0.222,0.178,0.148
08/27,0.195,0.228,0.182,0.15
08/28,0.21,0.248,0.198,0.164
08/29,0.207,0.243,0.195,0.16
08/30,0.185,0.217,0.175,0.144
08/31,0.188,0.222,0.176,0.144
09/01,0.182,0.215,0.173,0.14
09/02,0.188,0.222,0.178,0.145
09/03,0.192,0.225,0.18,0.145
09/04,0.17,0.201,0.16,0.128
09/05,0.178,0.209,0.168,0.133
09/06,0.164,0.193,0.154,0.121
09/07,0.172,0.202,0.163,0.124
09/08,0.168,0.198,0.157,0.122
09/09,0.176,0.205,0.164,0.123
09/10,0.168,0.197,0.158,0.117
09/11,0.16,0.188,0.15,0.111
09/12,0.154,0.182,0.147,0.106
09/13,0.166,0.195,0.154,0.112
09/14,0.156,0.183,0.148,0.105
09/15,0.126,0.148,0.152,0.092
09/16,0.141,0.167,0.135,0.103
09/17,0.134,0.158,0.122,0.096
09/18,0.116,0.135,0.112,0.08
09/19,0.11,0.13,0.111,0.077
09/20,0.123,0.146,0.118,0.083
09/21,0.116,0.136,0.112,0.074
09/22,0.112,0.132,0.105,0.072
09/23,0.117,0.138,0.109,0.071
09/24,0.125,0.146,0.122,0.073
09/25,0.127,0.151,0.121,0.071
09/26,0.126,0.148,0.121,0.068
09/27,0.139,0.163,0.125,0.073
09/28,0.113,0.134,0.106,0.06
09/29,0.103,0.119,0.1,0.05
09/30,0.0,0.0,0.0,0.0
