# Station Code,rrci
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
05/02,0.131,0.131,0.196,0.196,0.166,0.121,,,0.053,0.174
05/03,0.14,0.14,0.2,0.2,0.169,0.124,,,0.058,0.181
05/04,0.15,0.153,0.2,0.2,0.176,0.133,,,0.068,0.19
05/05,0.154,0.157,0.201,0.201,0.181,0.134,,,0.073,0.194
05/06,0.176,0.18,0.227,0.227,0.197,0.151,,,0.083,0.217
05/07,0.159,0.16,0.207,0.207,0.18,0.136,,,0.075,0.196
05/08,0.15,0.154,0.186,0.186,0.163,0.129,,,0.077,0.18
05/09,0.15,0.156,0.189,0.189,0.166,0.13,,,0.077,0.184
05/10,0.153,0.16,0.19,0.191,0.166,0.129,,0.04,0.076,0.186
05/11,0.163,0.17,0.193,0.193,0.167,0.137,,0.07,0.087,0.193
05/12,0.172,0.177,0.21,0.21,0.18,0.142,,0.09,0.085,0.203
05/13,0.181,0.194,0.219,0.219,0.189,0.15,,0.09,0.107,0.217
05/14,0.18,0.193,0.213,0.216,0.184,0.15,,0.08,0.104,0.213
05/15,0.174,0.184,0.201,0.203,0.174,0.14,,0.07,0.099,0.203
05/16,0.193,0.206,0.227,0.227,0.194,0.159,,0.083,0.116,0.226
05/17,0.173,0.189,0.2,0.201,0.173,0.141,,0.095,0.111,0.204
05/18,0.184,0.2,0.213,0.213,0.183,0.151,,0.098,0.123,0.214
05/19,0.183,0.199,0.207,0.21,0.177,0.147,,0.098,0.124,0.211
05/20,0.154,0.167,0.177,0.179,0.151,0.124,0.08,0.066,0.103,0.177
05/21,0.147,0.161,0.167,0.17,0.143,0.119,0.06,0.066,0.106,0.17
05/22,0.164,0.176,0.187,0.189,0.156,0.13,0.02,0.07,0.109,0.187
05/23,0.154,0.171,0.173,0.176,0.147,0.126,0.05,0.071,0.12,0.179
05/24,0.177,0.201,0.199,0.199,0.169,0.143,0.07,0.087,0.147,0.207
05/25,0.179,0.204,0.203,0.204,0.17,0.143,0.09,0.101,0.15,0.211
05/26,0.189,0.214,0.21,0.213,0.176,0.151,0.1,0.111,0.169,0.22
05/27,0.197,0.229,0.22,0.221,0.184,0.157,0.1,0.121,0.18,0.23
05/28,0.219,0.254,0.246,0.247,0.206,0.174,0.08,0.136,0.2,0.256
05/29,0.203,0.237,0.23,0.231,0.193,0.163,0.02,0.126,0.191,0.239
05/30,0.187,0.221,0.211,0.214,0.179,0.151,0.01,0.121,0.186,0.221
05/31,0.194,0.226,0.217,0.221,0.183,0.154,0.02,0.133,0.191,0.227
06/01,0.21,0.247,0.237,0.239,0.199,0.169,0.075,0.159,0.214,0.247
06/02,0.219,0.257,0.244,0.247,0.204,0.173,0.088,0.174,0.227,0.257
06/03,0.223,0.261,0.249,0.251,0.21,0.179,0.098,0.186,0.234,0.261
06/04,0.266,0.31,0.296,0.297,0.249,0.21,0.1,0.227,0.281,0.31
06/05,0.259,0.306,0.289,0.294,0.244,0.207,0.094,0.23,0.281,0.306
06/06,0.25,0.295,0.28,0.285,0.238,0.202,0.09,0.225,0.27,0.295
06/07,0.213,0.252,0.238,0.243,0.202,0.17,0.077,0.2,0.232,0.252
06/08,0.214,0.254,0.24,0.244,0.204,0.174,0.08,0.209,0.241,0.254
06/09,0.227,0.266,0.251,0.254,0.211,0.181,0.087,0.229,0.254,0.266
06/10,0.223,0.261,0.249,0.251,0.21,0.177,0.089,0.226,0.251,0.261
06/11,0.229,0.267,0.251,0.257,0.213,0.18,0.091,0.234,0.26,0.267
06/12,0.2,0.236,0.22,0.226,0.187,0.16,0.08,0.209,0.227,0.236
06/13,0.23,0.271,0.251,0.259,0.216,0.187,0.099,0.244,0.267,0.271
06/14,0.267,0.313,0.293,0.301,0.25,0.211,0.119,0.284,0.306,0.313
06/15,0.253,0.294,0.273,0.283,0.236,0.2,0.116,0.269,0.29,0.294
06/16,0.257,0.304,0.281,0.291,0.243,0.206,0.126,0.279,0.3,0.304
06/17,0.251,0.293,0.271,0.28,0.233,0.199,0.126,0.269,0.29,0.293
06/18,0.24,0.284,0.261,0.271,0.229,0.193,0.126,0.259,0.281,0.284
06/19,0.257,0.303,0.276,0.29,0.243,0.207,0.136,0.279,0.301,0.303
06/20,0.243,0.284,0.259,0.271,0.227,0.191,0.134,0.261,0.283,0.284
06/21,0.264,0.311,0.281,0.297,0.25,0.21,0.154,0.286,0.31,0.311
06/22,0.266,0.311,0.277,0.297,0.249,0.211,0.161,0.286,0.311,0.311
06/23,0.271,0.32,0.283,0.306,0.257,0.22,0.167,0.293,0.32,0.32
06/24,0.271,0.319,0.28,0.303,0.254,0.216,0.171,0.293,0.319,0.319
06/25,0.251,0.294,0.26,0.279,0.233,0.197,0.166,0.271,0.294,0.294
06/26,0.28,0.329,0.286,0.311,0.264,0.224,0.189,0.303,0.329,0.329
06/27,0.273,0.32,0.277,0.303,0.256,0.219,0.184,0.296,0.32,0.32
06/28,0.277,0.329,0.281,0.313,0.263,0.223,0.199,0.303,0.329,0.329
06/29,0.241,0.286,0.244,0.271,0.229,0.194,0.18,0.261,0.286,0.286
06/30,0.257,0.301,0.257,0.284,0.241,0.204,0.194,0.279,0.301,0.301
07/01,0.284,0.333,0.281,0.314,0.266,0.224,0.216,0.307,0.333,0.333
07/02,0.299,0.353,0.294,0.333,0.283,0.239,0.233,0.324,0.353,0.353
07/03,0.294,0.347,0.289,0.327,0.277,0.234,0.233,0.32,0.347,0.347
07/04,0.297,0.35,0.29,0.327,0.28,0.24,0.244,0.323,0.35,0.35
07/05,0.299,0.353,0.291,0.33,0.283,0.24,0.25,0.326,0.353,0.353
07/06,0.296,0.347,0.284,0.326,0.28,0.236,0.254,0.319,0.347,0.347
07/07,0.333,0.393,0.319,0.367,0.314,0.269,0.287,0.36,0.393,0.393
07/08,0.309,0.364,0.294,0.34,0.291,0.247,0.273,0.336,0.364,0.363
07/09,0.299,0.351,0.284,0.326,0.283,0.239,0.271,0.324,0.351,0.347
07/10,0.321,0.379,0.306,0.353,0.304,0.259,0.294,0.349,0.379,0.373
07/11,0.329,0.387,0.311,0.359,0.31,0.263,0.304,0.357,0.387,0.376
07/12,0.331,0.391,0.314,0.363,0.313,0.266,0.313,0.36,0.391,0.373
07/13,0.323,0.381,0.306,0.354,0.306,0.26,0.31,0.35,0.381,0.351
07/14,0.29,0.34,0.274,0.317,0.274,0.23,0.281,0.311,0.34,0.311
07/15,0.303,0.357,0.287,0.331,0.287,0.243,0.299,0.327,0.357,0.314
07/16,0.322,0.378,0.303,0.35,0.303,0.26,0.323,0.347,0.378,0.318
07/17,0.317,0.372,0.297,0.343,0.297,0.252,0.318,0.342,0.372,0.293
07/18,0.33,0.39,0.312,0.358,0.312,0.265,0.338,0.357,0.39,0.305
07/19,0.33,0.388,0.312,0.358,0.312,0.264,0.34,0.354,0.388,0.292
07/20,0.341,0.401,0.321,0.369,0.321,0.273,0.353,0.364,0.401,0.289
07/21,0.321,0.377,0.301,0.346,0.301,0.256,0.331,0.341,0.374,0.308
07/22,0.316,0.37,0.294,0.34,0.294,0.253,0.329,0.333,0.357,0.31
07/23,0.32,0.376,0.301,0.344,0.301,0.256,0.336,0.339,0.35,0.29
07/24,0.314,0.369,0.296,0.339,0.296,0.25,0.33,0.331,0.331,0.273
07/25,0.263,0.311,0.25,0.283,0.25,0.211,0.283,0.28,0.273,0.248
07/26,0.276,0.321,0.257,0.293,0.257,0.219,0.294,0.287,0.31,0.24
07/27,0.281,0.333,0.266,0.303,0.266,0.226,0.304,0.296,0.33,0.248
07/28,0.28,0.329,0.263,0.3,0.263,0.224,0.301,0.289,0.31,0.23
07/29,0.294,0.346,0.276,0.313,0.276,0.233,0.317,0.303,0.31,0.217
07/30,0.297,0.35,0.28,0.32,0.28,0.239,0.324,0.304,0.31,0.217
07/31,0.256,0.301,0.241,0.274,0.241,0.204,0.28,0.26,0.247,0.162
08/01,0.274,0.323,0.259,0.291,0.259,0.219,0.299,0.274,0.248,0.128
08/02,0.246,0.289,0.23,0.261,0.23,0.197,0.269,0.246,0.207,0.15
08/03,0.266,0.313,0.249,0.283,0.249,0.211,0.29,0.263,0.217,0.155
08/04,0.273,0.323,0.259,0.29,0.259,0.219,0.299,0.267,0.208,0.16
08/05,0.264,0.311,0.25,0.28,0.25,0.21,0.287,0.257,0.167,0.145
08/06,0.227,0.269,0.216,0.24,0.216,0.183,0.249,0.221,0.177,0.133
08/07,0.251,0.296,0.236,0.266,0.236,0.2,0.274,0.237,0.207,0.143
08/08,0.226,0.264,0.21,0.237,0.21,0.179,0.246,0.21,0.208,0.14
08/09,0.244,0.287,0.229,0.256,0.229,0.194,0.267,0.227,0.18,0.117
08/10,0.267,0.314,0.251,0.28,0.251,0.213,0.29,0.244,0.198,0.153
08/11,0.291,0.346,0.276,0.31,0.276,0.236,0.319,0.267,0.27,0.153
08/12,0.293,0.341,0.271,0.304,0.271,0.23,0.316,0.26,0.237,0.133
08/13,0.279,0.327,0.26,0.293,0.26,0.221,0.301,0.246,0.207,0.117
08/14,0.25,0.293,0.233,0.261,0.233,0.196,0.271,0.217,0.177,0.097
08/15,0.277,0.327,0.261,0.293,0.261,0.221,0.303,0.236,0.187,0.0
08/16,0.25,0.293,0.233,0.26,0.233,0.199,0.273,0.209,0.137,
08/17,0.283,0.33,0.263,0.293,0.263,0.224,0.307,0.231,0.143,
08/18,0.266,0.311,0.25,0.276,0.25,0.211,0.286,0.213,0.093,
08/19,0.243,0.284,0.227,0.251,0.227,0.19,0.257,0.19,0.063,
08/20,0.206,0.243,0.194,0.213,0.194,0.163,0.223,0.157,0.0,
08/21,0.207,0.243,0.193,0.214,0.193,0.164,0.22,0.157,,
08/22,0.231,0.27,0.216,0.237,0.216,0.184,0.244,0.17,,
08/23,0.223,0.261,0.207,0.23,0.207,0.177,0.237,0.157,,
08/24,0.243,0.287,0.23,0.253,0.23,0.194,0.259,0.171,,
08/25,0.26,0.306,0.244,0.267,0.244,0.207,0.271,0.174,,
08/26,0.244,0.286,0.23,0.25,0.23,0.193,0.254,0.16,,
08/27,0.216,0.253,0.201,0.221,0.201,0.169,0.223,0.134,,
08/28,0.223,0.263,0.21,0.23,0.21,0.177,0.229,0.137,,
08/29,0.27,0.316,0.254,0.276,0.254,0.21,0.274,0.16,,
08/30,0.256,0.301,0.241,0.263,0.241,0.201,0.259,0.14,,
08/31,0.23,0.271,0.217,0.237,0.217,0.181,0.23,0.119,,
09/01,0.256,0.3,0.24,0.26,0.24,0.199,0.254,0.113,,
09/02,0.249,0.291,0.233,0.251,0.233,0.193,0.246,0.123,,
09/03,0.24,0.281,0.224,0.244,0.224,0.183,0.234,0.098,,
09/04,0.25,0.294,0.236,0.254,0.236,0.193,0.244,0.092,,
09/05,0.259,0.306,0.244,0.266,0.244,0.199,0.251,0.045,,
09/06,0.247,0.294,0.237,0.256,0.237,0.191,0.239,0.077,,
09/07,0.25,0.294,0.236,0.254,0.236,0.19,0.237,0.077,,
09/08,0.246,0.29,0.233,0.25,0.233,0.187,0.231,0.057,,
09/09,0.21,0.247,0.197,0.214,0.197,0.156,0.199,0.05,,
09/10,0.196,0.23,0.186,0.199,0.186,0.144,0.183,0.0,,
09/11,0.196,0.229,0.181,0.197,0.181,0.143,0.18,,,
09/12,0.209,0.243,0.193,0.209,0.193,0.15,0.189,,,
09/13,0.2,0.234,0.187,0.201,0.187,0.146,0.183,,,
09/14,0.171,0.203,0.159,0.174,0.163,0.124,0.156,,,
09/15,0.176,0.206,0.163,0.176,0.164,0.126,0.157,,,
09/16,0.187,0.22,0.174,0.187,0.176,0.134,0.166,,,
09/17,0.174,0.207,0.163,0.174,0.166,0.124,0.154,,,
09/18,0.199,0.233,0.181,0.199,0.184,0.137,0.171,,,
09/19,0.174,0.206,0.161,0.174,0.164,0.12,0.144,,,
09/20,0.149,0.176,0.136,0.149,0.141,0.101,0.121,,,
09/21,0.121,0.144,0.111,0.121,0.116,0.077,0.099,,,
09/22,0.144,0.169,0.129,0.141,0.133,0.09,0.111,,,
09/23,0.166,0.196,0.149,0.166,0.157,0.101,0.127,,,
09/24,0.176,0.209,0.159,0.176,0.167,0.104,0.131,,,
09/25,0.166,0.197,0.15,0.166,0.157,0.094,0.106,,,
09/26,0.184,0.216,0.163,0.179,0.171,0.1,0.13,,,
09/27,0.189,0.221,0.167,0.186,0.177,0.099,0.128,,,
09/28,0.16,0.189,0.141,0.159,0.153,0.081,0.1,,,
09/29,0.144,0.167,0.123,0.14,0.133,0.07,0.082,,,
09/30,0.0,0.0,0.097,0.109,0.0,0.0,0.0,,,
10/01,,,0.083,0.096,,,,,,
10/02,,,0.103,0.117,,,,,,
10/03,,,0.109,0.126,,,,,,
10/04,,,0.107,0.124,,,,,,
10/05,,,0.1,0.116,,,,,,
10/06,,,0.097,0.114,,,,,,
10/07,,,0.107,0.127,,,,,,
10/08,,,0.109,0.129,,,,,,
10/09,,,0.091,0.109,,,,,,
10/10,,,0.096,0.113,,,,,,
10/11,,,0.09,0.107,,,,,,
10/12,,,0.106,0.129,,,,,,
10/13,,,0.084,0.104,,,,,,
10/14,,,0.1,0.121,,,,,,
10/15,,,0.077,0.096,,,,,,
10/16,,,0.089,0.109,,,,,,
10/17,,,0.111,0.137,,,,,,
10/18,,,0.1,0.123,,,,,,
10/19,,,0.08,0.097,,,,,,
10/20,,,0.0,0.0,,,,,,
