# Station Code,mdxo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BLGR,FCRN,HAYM,HAYP,LAWN,PAST,SGRN,SOYB,WGRN
05/07,0.219,0.254,0.245,,0.244,0.245,0.204,0.173,,,0.255
05/08,0.221,0.26,0.251,,0.246,0.249,0.206,0.176,,,0.26
05/09,0.247,0.29,0.277,,0.276,0.279,0.231,0.199,,,0.29
05/10,0.239,0.28,0.269,,0.268,0.269,0.224,0.19,,,0.28
05/11,0.211,0.247,0.238,,0.234,0.238,0.199,0.168,,,0.247
05/12,0.217,0.255,0.244,,0.24,0.245,0.204,0.171,,,0.255
05/13,0.245,0.288,0.275,,0.27,0.276,0.23,0.196,,,0.288
05/14,0.213,0.251,0.241,,0.235,0.241,0.203,0.173,,,0.251
05/15,0.214,0.25,0.24,0.08,0.236,0.239,0.199,0.171,0.054,,0.25
05/16,0.212,0.249,0.238,0.07,0.234,0.239,0.199,0.17,0.053,,0.249
05/17,0.235,0.276,0.264,0.07,0.26,0.265,0.221,0.19,0.056,,0.276
05/18,0.229,0.268,0.255,0.09,0.25,0.256,0.214,0.181,0.056,,0.268
05/19,0.193,0.228,0.216,0.07,0.211,0.219,0.182,0.154,0.049,,0.228
05/20,0.203,0.238,0.226,0.07,0.219,0.229,0.191,0.163,0.05,,0.238
05/21,0.196,0.231,0.223,0.08,0.215,0.223,0.184,0.159,0.049,,0.231
05/22,0.215,0.253,0.239,0.07,0.232,0.242,0.203,0.171,0.059,,0.253
05/23,0.25,0.295,0.278,0.09,0.271,0.284,0.236,0.201,0.073,,0.295
05/24,0.231,0.274,0.256,0.07,0.25,0.263,0.22,0.185,0.07,,0.274
05/25,0.209,0.245,0.23,0.075,0.221,0.234,0.196,0.168,0.068,,0.245
05/26,0.245,0.287,0.265,0.092,0.26,0.275,0.23,0.196,0.083,,0.287
05/27,0.249,0.292,0.27,0.083,0.264,0.28,0.235,0.2,0.096,,0.292
05/28,0.27,0.318,0.29,0.095,0.282,0.301,0.254,0.216,0.116,,0.318
05/29,0.291,0.343,0.311,0.107,0.302,0.324,0.274,0.234,0.145,,0.343
05/30,0.254,0.297,0.269,0.087,0.263,0.284,0.236,0.203,0.143,,0.297
05/31,0.263,0.309,0.274,0.09,0.271,0.295,0.246,0.209,0.16,,0.309
06/01,0.268,0.315,0.275,0.096,0.274,0.299,0.253,0.214,0.177,0.03,0.315
06/02,0.273,0.318,0.276,0.094,0.276,0.301,0.254,0.215,0.182,0.03,0.318
06/03,0.286,0.338,0.287,0.098,0.291,0.319,0.269,0.229,0.209,0.037,0.338
06/04,0.285,0.335,0.276,0.102,0.286,0.315,0.269,0.229,0.228,0.04,0.335
06/05,0.278,0.326,0.266,0.099,0.276,0.307,0.26,0.22,0.236,0.037,0.326
06/06,0.276,0.324,0.263,0.1,0.274,0.305,0.259,0.221,0.249,0.033,0.324
06/07,0.253,0.296,0.235,0.094,0.25,0.279,0.236,0.2,0.236,0.033,0.295
06/08,0.228,0.266,0.201,0.085,0.221,0.25,0.214,0.18,0.217,0.027,0.265
06/09,0.206,0.242,0.184,0.079,0.204,0.227,0.196,0.165,0.201,0.024,0.241
06/10,0.237,0.278,0.204,0.087,0.229,0.261,0.221,0.189,0.239,0.031,0.276
06/11,0.234,0.276,0.199,0.09,0.228,0.256,0.223,0.188,0.24,0.033,0.275
06/12,0.236,0.278,0.199,0.091,0.228,0.26,0.221,0.188,0.253,0.037,0.274
06/13,0.3,0.351,0.24,0.116,0.287,0.329,0.281,0.24,0.323,0.046,0.346
06/14,0.256,0.301,0.193,0.101,0.246,0.281,0.241,0.205,0.279,0.052,0.296
06/15,0.214,0.249,0.149,0.086,0.201,0.233,0.2,0.166,0.233,0.055,0.242
06/16,0.234,0.275,0.156,0.095,0.223,0.256,0.221,0.188,0.259,0.07,0.269
06/17,0.266,0.314,0.169,0.11,0.255,0.294,0.251,0.214,0.301,0.094,0.309
06/18,0.275,0.325,0.16,0.118,0.261,0.302,0.261,0.221,0.312,0.106,0.319
06/19,0.302,0.358,0.161,0.133,0.286,0.333,0.285,0.244,0.35,0.133,0.345
06/20,0.29,0.341,0.145,0.13,0.274,0.316,0.274,0.233,0.338,0.138,0.324
06/21,0.296,0.347,0.139,0.133,0.279,0.321,0.279,0.234,0.345,0.145,0.329
06/22,0.297,0.352,0.139,0.139,0.282,0.325,0.282,0.239,0.35,0.16,0.335
06/23,0.323,0.379,0.139,0.155,0.304,0.35,0.304,0.258,0.378,0.182,0.357
06/24,0.319,0.375,0.133,0.158,0.3,0.346,0.3,0.256,0.374,0.193,0.349
06/25,0.321,0.376,0.126,0.164,0.3,0.348,0.3,0.255,0.375,0.205,0.346
06/26,0.339,0.4,0.13,0.179,0.321,0.369,0.321,0.271,0.4,0.228,0.354
06/27,0.356,0.42,0.135,0.193,0.335,0.388,0.335,0.288,0.42,0.247,0.372
06/28,0.362,0.426,0.134,0.203,0.34,0.393,0.34,0.29,0.426,0.268,0.371
06/29,0.321,0.376,0.115,0.181,0.301,0.345,0.301,0.255,0.376,0.247,0.312
06/30,0.336,0.396,0.118,0.194,0.318,0.365,0.318,0.27,0.396,0.273,0.324
07/01,0.335,0.393,0.105,0.198,0.314,0.361,0.314,0.266,0.393,0.284,0.31
07/02,0.334,0.393,0.114,0.204,0.315,0.36,0.315,0.268,0.393,0.297,0.299
07/03,0.339,0.399,0.113,0.214,0.319,0.365,0.319,0.27,0.399,0.319,0.291
07/04,0.338,0.398,0.113,0.22,0.319,0.364,0.319,0.27,0.398,0.324,0.287
07/05,0.31,0.364,0.101,0.201,0.291,0.334,0.291,0.246,0.364,0.305,0.244
07/06,0.319,0.376,0.106,0.216,0.3,0.344,0.3,0.256,0.376,0.326,0.281
07/07,0.316,0.372,0.106,0.22,0.3,0.34,0.3,0.253,0.372,0.335,0.274
07/08,0.285,0.334,0.096,0.205,0.268,0.302,0.268,0.226,0.334,0.304,0.24
07/09,0.311,0.362,0.097,0.228,0.29,0.329,0.29,0.247,0.362,0.338,0.234
07/10,0.335,0.393,0.081,0.249,0.315,0.357,0.315,0.266,0.393,0.37,0.251
07/11,0.33,0.388,0.1,0.253,0.31,0.352,0.31,0.263,0.388,0.375,0.227
07/12,0.324,0.38,0.1,0.258,0.302,0.343,0.302,0.258,0.38,0.376,0.207
07/13,0.319,0.376,0.1,0.258,0.3,0.341,0.3,0.255,0.376,0.378,0.196
07/14,0.329,0.386,0.1,0.27,0.31,0.35,0.31,0.261,0.386,0.395,0.187
07/15,0.34,0.4,0.0,0.285,0.32,0.361,0.32,0.271,0.4,0.412,0.183
07/16,0.311,0.367,,0.265,0.295,0.33,0.295,0.249,0.367,0.384,0.161
07/17,0.328,0.385,,0.285,0.307,0.346,0.307,0.263,0.385,0.406,0.16
07/18,0.325,0.381,,0.287,0.305,0.341,0.305,0.26,0.381,0.41,0.147
07/19,0.321,0.379,,0.292,0.304,0.341,0.304,0.259,0.379,0.41,0.137
07/20,0.329,0.388,,0.304,0.31,0.346,0.31,0.264,0.388,0.422,0.046
07/21,0.341,0.401,,0.32,0.32,0.356,0.32,0.274,0.401,0.438,0.15
07/22,0.331,0.391,,0.319,0.311,0.349,0.311,0.266,0.391,0.429,0.13
07/23,0.324,0.379,,0.311,0.302,0.338,0.302,0.256,0.379,0.415,0.125
07/24,0.338,0.397,,0.334,0.319,0.356,0.319,0.27,0.397,0.438,0.11
07/25,0.33,0.388,,0.335,0.31,0.348,0.31,0.265,0.388,0.426,0.0
07/26,0.321,0.379,,0.33,0.305,0.339,0.305,0.258,0.379,0.417,
07/27,0.295,0.345,,0.306,0.275,0.307,0.275,0.235,0.345,0.38,
07/28,0.304,0.356,,0.321,0.284,0.318,0.284,0.241,0.356,0.393,
07/29,0.328,0.384,,0.351,0.309,0.34,0.309,0.263,0.384,0.422,
07/30,0.349,0.411,,0.38,0.33,0.365,0.33,0.281,0.411,0.453,
07/31,0.306,0.36,,0.335,0.288,0.32,0.288,0.244,0.36,0.395,
08/01,0.326,0.383,,0.366,0.306,0.34,0.306,0.26,0.376,0.415,
08/02,0.336,0.395,,0.38,0.318,0.35,0.318,0.269,0.386,0.426,
08/03,0.304,0.359,,0.347,0.286,0.318,0.286,0.242,0.349,0.383,
08/04,0.299,0.354,,0.344,0.282,0.311,0.282,0.242,0.336,0.375,
08/05,0.295,0.348,,0.34,0.279,0.305,0.279,0.238,0.318,0.36,
08/06,0.295,0.346,,0.341,0.278,0.305,0.278,0.235,0.3,0.351,
08/07,0.309,0.362,,0.359,0.291,0.318,0.291,0.245,0.299,0.361,
08/08,0.286,0.336,,0.334,0.27,0.295,0.27,0.228,0.261,0.326,
08/09,0.289,0.34,,0.34,0.271,0.297,0.271,0.23,0.25,0.314,
08/10,0.288,0.34,,0.34,0.27,0.297,0.27,0.233,0.235,0.299,
08/11,0.301,0.354,,0.354,0.282,0.307,0.282,0.239,0.236,0.297,
08/12,0.301,0.355,,0.355,0.284,0.31,0.284,0.241,0.221,0.274,
08/13,0.274,0.321,,0.321,0.258,0.28,0.258,0.215,0.19,0.235,
08/14,0.274,0.32,,0.32,0.256,0.276,0.256,0.215,0.176,0.205,
08/15,0.289,0.34,,0.34,0.274,0.296,0.274,0.231,0.177,0.193,
08/16,0.323,0.379,,0.379,0.302,0.329,0.302,0.258,0.18,0.18,
08/17,0.266,0.312,,0.312,0.25,0.27,0.25,0.212,0.134,0.121,
08/18,0.286,0.339,,0.338,0.273,0.294,0.273,0.231,0.133,0.131,
08/19,0.285,0.334,,0.333,0.266,0.289,0.266,0.226,0.12,0.103,
08/20,0.258,0.3,,0.299,0.239,0.26,0.239,0.203,0.024,0.061,
08/21,0.259,0.304,,0.301,0.242,0.264,0.242,0.205,0.09,0.068,
08/22,0.25,0.291,,0.29,0.233,0.253,0.233,0.199,0.13,0.062,
08/23,0.242,0.284,,0.28,0.226,0.245,0.226,0.193,0.13,0.054,
08/24,0.274,0.323,,0.316,0.258,0.279,0.258,0.219,0.14,0.042,
08/25,0.268,0.314,,0.307,0.25,0.269,0.25,0.21,0.15,0.033,
08/26,0.28,0.328,,0.32,0.261,0.282,0.261,0.22,0.12,0.06,
08/27,0.278,0.328,,0.319,0.263,0.284,0.263,0.221,0.14,0.05,
08/28,0.261,0.305,,0.295,0.242,0.263,0.242,0.205,0.11,0.05,
08/29,0.283,0.333,,0.319,0.265,0.285,0.266,0.224,0.09,0.05,
08/30,0.236,0.278,,0.264,0.219,0.237,0.224,0.186,0.0,0.0,
08/31,0.243,0.285,,0.27,0.224,0.245,0.229,0.19,,,
09/01,0.223,0.261,,0.245,0.206,0.223,0.21,0.174,,,
09/02,0.24,0.283,,0.265,0.221,0.24,0.229,0.188,,,
09/03,0.228,0.268,,0.25,0.21,0.228,0.212,0.176,,,
09/04,0.245,0.287,,0.268,0.225,0.245,0.23,0.19,,,
09/05,0.225,0.265,,0.246,0.205,0.225,0.214,0.173,,,
09/06,0.195,0.23,,0.21,0.177,0.194,0.186,0.151,,,
09/07,0.246,0.289,,0.264,0.223,0.244,0.231,0.189,,,
09/08,0.244,0.287,,0.26,0.221,0.242,0.23,0.188,,,
09/09,0.228,0.269,,0.241,0.206,0.225,0.215,0.176,,,
09/10,0.186,0.219,,0.198,0.169,0.184,0.174,0.142,,,
09/11,0.19,0.223,,0.198,0.169,0.188,0.177,0.144,,,
09/12,0.174,0.206,,0.184,0.155,0.174,0.165,0.131,,,
09/13,0.174,0.204,,0.179,0.151,0.17,0.164,0.129,,,
09/14,0.176,0.207,,0.182,0.155,0.174,0.166,0.131,,,
09/15,0.181,0.214,,0.185,0.159,0.179,0.17,0.135,,,
09/16,0.182,0.211,,0.182,0.155,0.175,0.169,0.134,,,
09/17,0.161,0.191,,0.164,0.141,0.159,0.152,0.119,,,
09/18,0.15,0.175,,0.15,0.13,0.146,0.14,0.106,,,
09/19,0.153,0.181,,0.153,0.133,0.151,0.146,0.113,,,
09/20,0.155,0.18,,0.15,0.133,0.15,0.145,0.113,,,
09/21,0.118,0.138,,0.116,0.098,0.114,0.11,0.085,,,
09/22,0.148,0.173,,0.144,0.124,0.144,0.14,0.104,,,
09/23,0.15,0.176,,0.146,0.125,0.146,0.14,0.105,,,
09/24,0.154,0.181,,0.147,0.128,0.15,0.144,0.107,,,
09/25,0.151,0.179,,0.065,0.126,0.149,0.144,0.105,,,
09/26,0.181,0.212,,0.163,0.149,0.176,0.17,0.122,,,
09/27,0.171,0.199,,0.145,0.138,0.164,0.16,0.111,,,
09/28,0.143,0.166,,0.12,0.115,0.138,0.133,0.091,,,
09/29,0.14,0.164,,0.118,0.111,0.134,0.129,0.088,,,
09/30,0.156,0.183,,0.0,0.127,0.151,0.146,0.094,,,
10/01,0.139,0.163,,,0.111,0.133,0.13,0.083,,,
10/02,0.121,0.143,,,0.096,0.119,0.113,0.073,,,
10/03,0.133,0.156,,,0.104,0.129,0.124,0.074,,,
10/04,0.117,0.137,,,0.093,0.113,0.11,0.066,,,
10/05,0.117,0.14,,,0.093,0.116,0.111,0.064,,,
10/06,0.13,0.151,,,0.101,0.123,0.12,0.069,,,
10/07,0.114,0.136,,,0.091,0.11,0.109,0.06,,,
10/08,0.114,0.133,,,0.09,0.107,0.107,0.056,,,
10/09,0.103,0.117,,,0.077,0.095,0.092,0.048,,,
10/10,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
