# Station Code,mnti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,SGRN,WGRN
04/21,0.119,0.12,0.145,0.108,,0.052,0.154
04/22,0.136,0.139,0.162,0.124,,0.056,0.169
04/23,0.115,0.117,0.131,0.101,,0.056,0.14
04/24,0.117,0.119,0.135,0.102,,0.052,0.145
04/25,0.121,0.122,0.144,0.108,,0.048,0.151
04/26,0.127,0.13,0.141,0.107,,0.049,0.152
04/27,0.138,0.144,0.157,0.119,,0.054,0.167
04/28,0.146,0.151,0.159,0.122,,0.056,0.172
04/29,0.155,0.162,0.169,0.131,,0.065,0.186
04/30,0.142,0.149,0.156,0.122,,0.059,0.169
05/01,0.166,0.175,0.182,0.14,,0.07,0.199
05/02,0.175,0.183,0.19,0.147,,0.075,0.206
05/03,0.172,0.183,0.182,0.146,,0.085,0.204
05/04,0.177,0.189,0.184,0.148,,0.094,0.205
05/05,0.168,0.178,0.174,0.139,0.06,0.079,0.196
05/06,0.165,0.176,0.168,0.136,0.045,0.086,0.192
05/07,0.158,0.169,0.164,0.132,0.05,0.08,0.186
05/08,0.163,0.175,0.167,0.134,0.06,0.092,0.195
05/09,0.16,0.172,0.159,0.131,0.06,0.084,0.188
05/10,0.158,0.172,0.158,0.129,0.058,0.086,0.186
05/11,0.168,0.183,0.165,0.138,0.065,0.103,0.196
05/12,0.199,0.217,0.195,0.163,0.068,0.119,0.231
05/13,0.209,0.232,0.202,0.168,0.073,0.137,0.242
05/14,0.198,0.219,0.192,0.159,0.065,0.137,0.23
05/15,0.181,0.2,0.173,0.145,0.062,0.131,0.208
05/16,0.185,0.205,0.175,0.148,0.057,0.136,0.214
05/17,0.178,0.199,0.168,0.142,0.08,0.142,0.206
05/18,0.186,0.21,0.177,0.147,0.085,0.149,0.215
05/19,0.181,0.204,0.17,0.142,0.077,0.148,0.208
05/20,0.158,0.18,0.15,0.127,0.056,0.135,0.185
05/21,0.168,0.193,0.16,0.135,0.062,0.152,0.197
05/22,0.171,0.197,0.159,0.136,0.058,0.153,0.198
05/23,0.158,0.184,0.148,0.128,0.058,0.152,0.184
05/24,0.18,0.21,0.169,0.144,0.069,0.181,0.211
05/25,0.167,0.196,0.158,0.134,0.066,0.17,0.196
05/26,0.174,0.203,0.163,0.138,0.069,0.178,0.203
05/27,0.187,0.218,0.175,0.149,0.077,0.197,0.218
05/28,0.194,0.227,0.182,0.154,0.083,0.205,0.226
05/29,0.188,0.221,0.178,0.149,0.083,0.204,0.221
05/30,0.184,0.215,0.173,0.145,0.082,0.201,0.215
05/31,0.19,0.222,0.178,0.151,0.084,0.208,0.222
06/01,0.213,0.248,0.198,0.168,0.094,0.237,0.248
06/02,0.211,0.248,0.2,0.168,0.098,0.238,0.248
06/03,0.217,0.255,0.205,0.172,0.103,0.246,0.255
06/04,0.234,0.275,0.219,0.186,0.112,0.265,0.275
06/05,0.242,0.284,0.227,0.193,0.118,0.275,0.284
06/06,0.218,0.255,0.204,0.173,0.108,0.248,0.255
06/07,0.208,0.245,0.196,0.166,0.107,0.238,0.245
06/08,0.21,0.247,0.197,0.168,0.115,0.243,0.247
06/09,0.232,0.275,0.219,0.188,0.129,0.271,0.275
06/10,0.226,0.266,0.215,0.18,0.131,0.265,0.266
06/11,0.218,0.255,0.204,0.175,0.131,0.254,0.255
06/12,0.212,0.248,0.198,0.17,0.131,0.247,0.248
06/13,0.252,0.295,0.236,0.202,0.162,0.295,0.295
06/14,0.249,0.294,0.234,0.199,0.162,0.293,0.294
06/15,0.238,0.279,0.224,0.19,0.156,0.278,0.279
06/16,0.228,0.267,0.214,0.182,0.153,0.267,0.267
06/17,0.235,0.277,0.223,0.188,0.166,0.277,0.277
06/18,0.242,0.285,0.228,0.195,0.178,0.285,0.285
06/19,0.24,0.282,0.225,0.191,0.182,0.282,0.282
06/20,0.239,0.282,0.226,0.19,0.185,0.282,0.282
06/21,0.241,0.283,0.225,0.192,0.19,0.283,0.283
06/22,0.245,0.288,0.231,0.193,0.201,0.288,0.288
06/23,0.259,0.305,0.245,0.208,0.215,0.305,0.305
06/24,0.272,0.32,0.255,0.217,0.228,0.32,0.32
06/25,0.26,0.308,0.247,0.208,0.221,0.308,0.308
06/26,0.276,0.325,0.26,0.222,0.243,0.325,0.325
06/27,0.259,0.306,0.245,0.207,0.228,0.306,0.306
06/28,0.267,0.314,0.251,0.213,0.237,0.314,0.313
06/29,0.263,0.309,0.246,0.209,0.238,0.309,0.308
06/30,0.249,0.293,0.235,0.198,0.229,0.293,0.292
07/01,0.278,0.326,0.262,0.22,0.262,0.326,0.325
07/02,0.273,0.32,0.255,0.215,0.26,0.32,0.317
07/03,0.282,0.332,0.265,0.224,0.273,0.332,0.327
07/04,0.282,0.33,0.263,0.223,0.277,0.33,0.323
07/05,0.259,0.304,0.243,0.206,0.255,0.304,0.298
07/06,0.278,0.326,0.26,0.22,0.278,0.326,0.316
07/07,0.282,0.332,0.265,0.225,0.285,0.332,0.318
07/08,0.268,0.317,0.254,0.215,0.275,0.317,0.299
07/09,0.277,0.325,0.26,0.221,0.283,0.325,0.302
07/10,0.26,0.305,0.245,0.207,0.269,0.305,0.283
07/11,0.235,0.277,0.222,0.188,0.247,0.277,0.246
07/12,0.259,0.305,0.245,0.208,0.273,0.305,0.269
07/13,0.263,0.307,0.245,0.209,0.276,0.307,0.261
07/14,0.246,0.288,0.23,0.195,0.261,0.288,0.244
07/15,0.26,0.306,0.245,0.208,0.279,0.305,0.249
07/16,0.263,0.309,0.247,0.208,0.283,0.307,0.234
07/17,0.257,0.303,0.242,0.206,0.278,0.299,0.216
07/18,0.275,0.324,0.26,0.218,0.301,0.315,0.225
07/19,0.278,0.327,0.262,0.221,0.302,0.315,0.224
07/20,0.282,0.33,0.263,0.225,0.307,0.31,0.21
07/21,0.278,0.326,0.26,0.221,0.303,0.302,0.218
07/22,0.289,0.338,0.272,0.229,0.314,0.313,0.223
07/23,0.275,0.323,0.258,0.219,0.302,0.288,0.198
07/24,0.27,0.318,0.255,0.215,0.295,0.272,0.179
07/25,0.251,0.295,0.236,0.2,0.275,0.247,0.147
07/26,0.27,0.317,0.255,0.214,0.295,0.286,0.207
07/27,0.234,0.273,0.218,0.185,0.254,0.232,0.174
07/28,0.23,0.268,0.215,0.182,0.25,0.218,0.164
07/29,0.243,0.287,0.231,0.194,0.266,0.22,0.157
07/30,0.259,0.305,0.244,0.208,0.284,0.217,0.15
07/31,0.243,0.284,0.226,0.193,0.264,0.18,0.117
08/01,0.252,0.296,0.237,0.2,0.275,0.164,0.086
08/02,0.242,0.285,0.228,0.194,0.265,0.173,0.107
08/03,0.26,0.305,0.243,0.207,0.283,0.17,0.126
08/04,0.237,0.277,0.221,0.188,0.257,0.144,0.098
08/05,0.218,0.257,0.205,0.174,0.238,0.114,0.042
08/06,0.216,0.255,0.205,0.173,0.235,0.131,0.13
08/07,0.233,0.275,0.22,0.186,0.252,0.121,0.095
08/08,0.213,0.251,0.2,0.17,0.232,0.104,0.095
08/09,0.225,0.263,0.21,0.18,0.24,0.096,0.095
08/10,0.241,0.282,0.225,0.192,0.259,0.036,0.06
08/11,0.262,0.307,0.245,0.208,0.282,0.135,0.13
08/12,0.243,0.287,0.229,0.195,0.262,0.11,0.1
08/13,0.25,0.295,0.236,0.199,0.265,0.115,0.09
08/14,0.233,0.274,0.218,0.186,0.248,0.1,0.11
08/15,0.251,0.293,0.234,0.198,0.264,0.0,0.0
08/16,0.242,0.285,0.228,0.195,0.254,,
08/17,0.255,0.299,0.238,0.203,0.265,,
08/18,0.232,0.274,0.22,0.185,0.242,,
08/19,0.218,0.256,0.205,0.173,0.223,,
08/20,0.2,0.236,0.19,0.161,0.203,,
08/21,0.211,0.247,0.198,0.168,0.213,,
08/22,0.209,0.247,0.197,0.168,0.213,,
08/23,0.212,0.251,0.201,0.17,0.215,,
08/24,0.208,0.245,0.196,0.165,0.208,,
08/25,0.202,0.238,0.19,0.159,0.201,,
08/26,0.208,0.245,0.195,0.165,0.205,,
08/27,0.2,0.235,0.188,0.158,0.195,,
08/28,0.212,0.248,0.198,0.166,0.205,,
08/29,0.225,0.266,0.213,0.176,0.219,,
08/30,0.218,0.255,0.202,0.169,0.207,,
08/31,0.212,0.247,0.197,0.162,0.199,,
09/01,0.212,0.25,0.199,0.165,0.201,,
09/02,0.21,0.248,0.198,0.163,0.197,,
09/03,0.203,0.239,0.192,0.156,0.188,,
09/04,0.185,0.217,0.175,0.142,0.171,,
09/05,0.186,0.219,0.176,0.143,0.172,,
09/06,0.178,0.21,0.168,0.136,0.162,,
09/07,0.188,0.222,0.177,0.143,0.168,,
09/08,0.202,0.237,0.19,0.151,0.178,,
09/09,0.188,0.221,0.175,0.139,0.164,,
09/10,0.191,0.224,0.18,0.142,0.165,,
09/11,0.188,0.221,0.177,0.14,0.16,,
09/12,0.179,0.209,0.168,0.13,0.148,,
09/13,0.165,0.195,0.156,0.121,0.136,,
09/14,0.155,0.182,0.144,0.112,0.121,,
09/15,0.16,0.188,0.152,0.114,0.107,,
09/16,0.154,0.182,0.147,0.11,0.124,,
09/17,0.154,0.18,0.145,0.109,0.125,,
09/18,0.152,0.182,0.147,0.108,0.124,,
09/19,0.157,0.184,0.147,0.106,0.118,,
09/20,0.145,0.169,0.135,0.095,0.087,,
09/21,0.121,0.143,0.114,0.078,0.072,,
09/22,0.129,0.152,0.122,0.08,0.081,,
09/23,0.138,0.164,0.132,0.084,0.082,,
09/24,0.142,0.167,0.134,0.083,0.078,,
09/25,0.147,0.172,0.137,0.084,0.032,,
09/26,0.155,0.182,0.145,0.085,0.107,,
09/27,0.139,0.163,0.13,0.075,0.103,,
09/28,0.123,0.146,0.115,0.065,0.083,,
09/29,0.135,0.156,0.125,0.066,0.077,,
09/30,0.012,0.014,0.011,0.008,0.0,,
10/01,0.16,0.19,0.15,0.1,,,
10/02,0.09,0.11,0.09,0.06,,,
10/03,0.04,0.05,0.04,0.02,,,
10/04,0.07,0.08,0.06,0.04,,,
10/05,0.06,0.07,0.06,0.03,,,
10/06,0.06,0.07,0.06,0.03,,,
10/07,0.07,0.08,0.06,0.04,,,
10/08,0.09,0.11,0.09,0.05,,,
10/09,0.17,0.2,0.16,0.08,,,
