# Station Code,moim
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
04/20,0.087,0.087,0.102,0.08,0.03,,0.027,0.115
04/21,0.098,0.098,0.107,0.083,0.03,,0.037,0.12
04/22,0.075,0.075,0.08,0.065,0.02,,0.03,0.092
04/23,0.08,0.08,0.087,0.065,0.025,,0.027,0.095
04/24,0.09,0.09,0.098,0.072,0.03,,0.033,0.107
04/25,0.1,0.103,0.11,0.085,0.033,,0.037,0.12
04/26,0.115,0.12,0.125,0.098,0.035,,0.042,0.143
04/27,0.13,0.138,0.14,0.11,0.043,,0.05,0.16
04/28,0.133,0.14,0.143,0.113,0.04,,0.057,0.163
04/29,0.115,0.12,0.125,0.1,0.035,,0.05,0.143
04/30,0.125,0.133,0.133,0.108,0.04,,0.053,0.152
05/01,0.138,0.147,0.145,0.118,0.048,,0.065,0.168
05/02,0.14,0.155,0.145,0.12,0.045,,0.075,0.17
05/03,0.152,0.167,0.155,0.128,0.053,,0.087,0.182
05/04,0.16,0.177,0.163,0.138,0.055,,0.095,0.195
05/05,0.155,0.17,0.147,0.128,0.055,,0.1,0.182
05/06,0.098,0.105,0.092,0.077,0.035,,0.065,0.115
05/07,0.122,0.135,0.12,0.1,0.045,,0.087,0.148
05/08,0.13,0.143,0.122,0.103,0.048,,0.09,0.15
05/09,0.133,0.15,0.125,0.107,0.05,,0.105,0.155
05/10,0.16,0.18,0.152,0.128,0.062,0.05,0.13,0.188
05/11,0.14,0.158,0.133,0.113,0.053,0.05,0.113,0.163
05/12,0.12,0.135,0.115,0.095,0.05,0.05,0.092,0.14
05/13,0.145,0.165,0.135,0.118,0.06,0.06,0.122,0.168
05/14,0.143,0.163,0.133,0.115,0.06,0.06,0.122,0.165
05/15,0.14,0.16,0.135,0.113,0.068,0.055,0.122,0.163
05/16,0.152,0.175,0.143,0.12,0.073,0.055,0.14,0.177
05/17,0.17,0.195,0.158,0.135,0.085,0.075,0.168,0.198
05/18,0.16,0.185,0.147,0.128,0.083,0.07,0.152,0.185
05/19,0.145,0.17,0.135,0.115,0.075,0.05,0.148,0.17
05/20,0.122,0.143,0.112,0.095,0.065,0.043,0.12,0.143
05/21,0.14,0.163,0.13,0.113,0.075,0.047,0.143,0.163
05/22,0.15,0.18,0.143,0.122,0.087,0.057,0.163,0.18
05/23,0.105,0.125,0.1,0.085,0.065,0.04,0.115,0.125
05/24,0.13,0.152,0.12,0.103,0.083,0.047,0.142,0.152
05/25,0.115,0.133,0.105,0.092,0.07,0.043,0.125,0.133
05/26,0.14,0.165,0.135,0.113,0.1,0.058,0.158,0.165
05/27,0.172,0.205,0.165,0.14,0.125,0.07,0.2,0.205
05/28,0.142,0.167,0.135,0.113,0.105,0.058,0.163,0.167
05/29,0.152,0.18,0.143,0.125,0.118,0.062,0.175,0.18
05/30,0.175,0.205,0.165,0.14,0.138,0.073,0.2,0.205
05/31,0.17,0.198,0.16,0.133,0.14,0.073,0.195,0.198
06/01,0.145,0.172,0.138,0.115,0.13,0.065,0.17,0.172
06/02,0.175,0.203,0.163,0.138,0.152,0.077,0.2,0.203
06/03,0.17,0.2,0.158,0.138,0.15,0.08,0.198,0.2
06/04,0.165,0.193,0.152,0.13,0.15,0.08,0.19,0.193
06/05,0.168,0.198,0.158,0.135,0.16,0.085,0.195,0.198
06/06,0.165,0.193,0.152,0.13,0.165,0.087,0.19,0.193
06/07,0.17,0.2,0.16,0.14,0.175,0.09,0.2,0.2
06/08,0.145,0.17,0.135,0.117,0.147,0.075,0.17,0.17
06/09,0.115,0.135,0.105,0.092,0.125,0.062,0.135,0.135
06/10,0.108,0.125,0.1,0.085,0.113,0.06,0.125,0.125
06/11,0.14,0.168,0.133,0.113,0.152,0.085,0.168,0.168
06/12,0.15,0.177,0.14,0.12,0.165,0.092,0.177,0.177
06/13,0.188,0.22,0.175,0.15,0.21,0.12,0.22,0.22
06/14,0.163,0.193,0.155,0.13,0.185,0.113,0.193,0.193
06/15,0.168,0.195,0.158,0.133,0.19,0.115,0.195,0.195
06/16,0.17,0.198,0.158,0.135,0.193,0.12,0.198,0.198
06/17,0.165,0.193,0.152,0.133,0.193,0.122,0.193,0.193
06/18,0.175,0.21,0.168,0.143,0.21,0.135,0.21,0.21
06/19,0.16,0.19,0.152,0.13,0.19,0.125,0.19,0.19
06/20,0.13,0.155,0.122,0.105,0.155,0.105,0.155,0.155
06/21,0.188,0.217,0.172,0.15,0.215,0.15,0.217,0.217
06/22,0.223,0.258,0.205,0.175,0.253,0.182,0.258,0.258
06/23,0.195,0.232,0.185,0.158,0.225,0.167,0.232,0.232
06/24,0.19,0.225,0.18,0.153,0.22,0.165,0.225,0.225
06/25,0.185,0.217,0.172,0.15,0.208,0.163,0.217,0.217
06/26,0.212,0.25,0.2,0.17,0.237,0.193,0.25,0.25
06/27,0.215,0.255,0.205,0.175,0.237,0.198,0.255,0.255
06/28,0.225,0.263,0.21,0.18,0.235,0.207,0.263,0.263
06/29,0.175,0.208,0.168,0.14,0.18,0.17,0.208,0.208
06/30,0.193,0.225,0.18,0.15,0.193,0.188,0.225,0.225
07/01,0.233,0.275,0.22,0.185,0.233,0.228,0.275,0.273
07/02,0.232,0.273,0.217,0.188,0.225,0.232,0.273,0.268
07/03,0.198,0.233,0.185,0.158,0.188,0.198,0.233,0.225
07/04,0.21,0.247,0.2,0.168,0.19,0.215,0.247,0.237
07/05,0.212,0.25,0.2,0.17,0.185,0.217,0.25,0.238
07/06,0.203,0.24,0.19,0.163,0.17,0.21,0.24,0.22
07/07,0.212,0.253,0.203,0.172,0.167,0.223,0.253,0.223
07/08,0.233,0.273,0.217,0.185,0.175,0.242,0.273,0.233
07/09,0.228,0.265,0.21,0.18,0.158,0.238,0.265,0.217
07/10,0.233,0.275,0.223,0.185,0.158,0.247,0.275,0.22
07/11,0.198,0.233,0.185,0.158,0.12,0.212,0.233,0.172
07/12,0.225,0.265,0.21,0.18,0.135,0.242,0.265,0.195
07/13,0.23,0.272,0.217,0.185,0.135,0.25,0.272,0.195
07/14,0.215,0.253,0.203,0.172,0.115,0.23,0.253,0.173
07/15,0.237,0.278,0.223,0.188,0.122,0.255,0.278,0.185
07/16,0.233,0.273,0.217,0.188,0.11,0.25,0.268,0.17
07/17,0.23,0.27,0.215,0.185,0.095,0.25,0.265,0.163
07/18,0.255,0.302,0.245,0.205,0.11,0.28,0.288,0.167
07/19,0.217,0.255,0.203,0.175,0.083,0.235,0.237,0.133
07/20,0.233,0.273,0.217,0.185,0.068,0.25,0.242,0.133
07/21,0.245,0.287,0.23,0.198,0.087,0.265,0.247,0.13
07/22,0.25,0.292,0.235,0.198,0.09,0.273,0.253,0.128
07/23,0.23,0.273,0.215,0.182,0.077,0.253,0.223,0.105
07/24,0.255,0.3,0.24,0.203,0.087,0.28,0.237,0.113
07/25,0.23,0.273,0.217,0.185,0.057,0.253,0.203,0.04
07/26,0.23,0.27,0.215,0.182,0.075,0.25,0.188,0.14
07/27,0.22,0.255,0.2,0.175,0.06,0.235,0.165,0.1
07/28,0.225,0.265,0.213,0.18,0.065,0.247,0.155,0.1
07/29,0.27,0.315,0.25,0.215,0.06,0.292,0.175,0.11
07/30,0.263,0.307,0.245,0.208,0.06,0.285,0.16,0.12
07/31,0.258,0.302,0.242,0.208,0.05,0.28,0.138,0.08
08/01,0.235,0.275,0.223,0.188,0.0,0.253,0.07,0.0
08/02,0.223,0.263,0.21,0.177,,0.242,0.11,
08/03,0.247,0.29,0.23,0.198,,0.27,0.115,
08/04,0.212,0.25,0.2,0.17,,0.233,0.08,
08/05,0.175,0.205,0.163,0.14,,0.19,0.035,
08/06,0.193,0.225,0.182,0.152,,0.208,0.05,
08/07,0.235,0.273,0.217,0.185,,0.25,0.09,
08/08,0.205,0.24,0.19,0.163,,0.22,0.09,
08/09,0.21,0.247,0.198,0.168,,0.228,0.07,
08/10,0.215,0.253,0.203,0.172,,0.233,0.0,
08/11,0.253,0.297,0.24,0.202,,0.272,,
08/12,0.193,0.23,0.182,0.155,,0.208,,
08/13,0.198,0.23,0.185,0.158,,0.208,,
08/14,0.208,0.245,0.195,0.168,,0.22,,
08/15,0.237,0.28,0.225,0.19,,0.25,,
08/16,0.228,0.268,0.217,0.182,,0.238,,
08/17,0.213,0.25,0.2,0.17,,0.22,,
08/18,0.177,0.21,0.168,0.14,,0.185,,
08/19,0.188,0.22,0.175,0.152,,0.193,,
08/20,0.14,0.165,0.133,0.113,,0.143,,
08/21,0.125,0.148,0.117,0.1,,0.128,,
08/22,0.172,0.205,0.163,0.14,,0.172,,
08/23,0.188,0.223,0.177,0.152,,0.188,,
08/24,0.143,0.17,0.138,0.115,,0.14,,
08/25,0.115,0.138,0.11,0.092,,0.115,,
08/26,0.165,0.193,0.155,0.13,,0.16,,
08/27,0.165,0.193,0.155,0.13,,0.158,,
08/28,0.173,0.2,0.16,0.135,,0.165,,
08/29,0.182,0.215,0.173,0.143,,0.177,,
08/30,0.168,0.198,0.158,0.13,,0.16,,
08/31,0.155,0.18,0.145,0.12,,0.145,,
09/01,0.2,0.235,0.188,0.155,,0.188,,
09/02,0.172,0.205,0.165,0.133,,0.16,,
09/03,0.143,0.168,0.135,0.11,,0.133,,
09/04,0.163,0.193,0.155,0.122,,0.15,,
09/05,0.182,0.215,0.173,0.143,,0.168,,
09/06,0.182,0.215,0.173,0.14,,0.165,,
09/07,0.198,0.23,0.185,0.147,,0.177,,
09/08,0.147,0.175,0.14,0.113,,0.13,,
09/09,0.13,0.15,0.12,0.098,,0.11,,
09/10,0.122,0.14,0.113,0.09,,0.103,,
09/11,0.098,0.118,0.092,0.075,,0.088,,
09/12,0.117,0.138,0.11,0.085,,0.1,,
09/13,0.105,0.122,0.098,0.077,,0.085,,
09/14,0.1,0.115,0.09,0.072,,0.077,,
09/15,0.125,0.147,0.12,0.092,,0.095,,
09/16,0.133,0.155,0.125,0.095,,0.098,,
09/17,0.12,0.14,0.113,0.088,,0.09,,
09/18,0.122,0.145,0.115,0.087,,0.088,,
09/19,0.11,0.13,0.103,0.08,,0.073,,
09/20,0.107,0.122,0.098,0.075,,0.048,,
09/21,0.092,0.11,0.09,0.065,,0.06,,
09/22,0.062,0.072,0.055,0.043,,0.04,,
09/23,0.1,0.115,0.092,0.068,,0.06,,
09/24,0.11,0.13,0.108,0.075,,0.085,,
09/25,0.087,0.103,0.08,0.055,,0.025,,
09/26,0.12,0.142,0.115,0.072,,0.11,,
09/27,0.095,0.113,0.092,0.06,,0.07,,
09/28,0.083,0.095,0.075,0.048,,0.05,,
09/29,0.103,0.12,0.095,0.058,,0.07,,
09/30,0.07,0.083,0.065,0.037,,0.0,,
10/01,0.062,0.073,0.058,0.035,,,,
10/02,0.077,0.088,0.07,0.035,,,,
10/03,0.08,0.092,0.073,0.04,,,,
10/04,0.102,0.12,0.095,0.052,,,,
10/05,0.0,0.0,0.0,0.0,,,,
