# Station Code,loro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,LAWN,ONYN,PAST,POTA,PPMT,SBRY,SGRN,WGRN
04/13,0.067,0.067,,,0.091,,0.072,,,0.04,,0.101
04/14,0.061,0.062,,,0.087,,0.066,,,0.039,,0.093
04/15,0.059,0.06,,,0.079,,0.062,,,0.04,,0.088
04/16,0.067,0.068,,,0.089,,0.068,,,0.047,,0.098
04/17,0.075,0.076,,,0.096,,0.072,,,0.052,,0.105
04/18,0.086,0.087,,,0.107,,0.082,,,0.061,,0.115
04/19,0.081,0.082,,,0.101,,0.077,,,0.06,,0.109
04/20,0.079,0.08,,,0.102,,0.075,,,0.057,,0.111
04/21,0.092,0.094,,,0.119,,0.089,,,0.068,,0.127
04/22,0.09,0.092,,,0.119,,0.088,,,0.065,,0.123
04/23,0.089,0.09,,,0.117,,0.087,,,0.069,,0.124
04/24,0.093,0.095,,,0.117,,0.087,,,0.07,,0.123
04/25,0.097,0.098,,,0.114,,0.089,,0.01,0.073,,0.125
04/26,0.106,0.108,,,0.125,,0.095,,0.02,0.086,,0.134
04/27,0.115,0.118,,,0.134,,0.101,,0.02,0.093,,0.142
04/28,0.124,0.129,,,0.141,,0.106,,0.03,0.105,,0.154
04/29,0.128,0.132,,,0.145,,0.108,,0.04,0.116,,0.158
04/30,0.147,0.152,,,0.165,,0.125,,0.05,0.137,,0.181
05/01,0.146,0.152,,,0.159,0.06,0.122,,0.037,0.135,,0.175
05/02,0.148,0.155,,,0.157,0.06,0.123,,0.037,0.14,,0.175
05/03,0.149,0.157,,,0.16,0.05,0.126,,0.033,0.139,,0.176
05/04,0.155,0.164,,,0.162,0.03,0.131,,0.033,0.155,,0.182
05/05,0.157,0.165,,,0.162,0.045,0.129,,0.028,0.158,,0.185
05/06,0.152,0.163,,,0.157,0.05,0.126,,0.035,0.163,,0.179
05/07,0.152,0.164,,,0.152,0.065,0.125,,0.033,0.165,,0.178
05/08,0.15,0.162,,,0.149,0.08,0.12,,0.033,0.165,,0.175
05/09,0.163,0.176,,,0.162,0.075,0.132,,0.037,0.173,,0.19
05/10,0.166,0.179,,,0.164,0.065,0.135,0.06,0.038,0.175,0.02,0.194
05/11,0.161,0.175,,,0.159,0.069,0.132,0.02,0.037,0.171,0.03,0.188
05/12,0.172,0.185,,,0.168,0.08,0.137,0.02,0.038,0.177,0.03,0.198
05/13,0.178,0.198,,,0.176,0.085,0.145,0.03,0.039,0.182,0.03,0.208
05/14,0.166,0.185,,,0.162,0.085,0.133,0.03,0.04,0.169,0.04,0.193
05/15,0.17,0.188,,,0.164,0.092,0.136,0.04,0.045,0.151,0.045,0.198
05/16,0.153,0.173,,,0.148,0.09,0.124,0.04,0.04,0.14,0.03,0.179
05/17,0.168,0.188,,,0.16,0.098,0.133,0.04,0.047,0.157,0.045,0.195
05/18,0.157,0.175,,,0.148,0.093,0.125,0.03,0.045,0.141,0.045,0.182
05/19,0.158,0.178,,,0.15,0.094,0.126,0.03,0.042,0.136,0.05,0.183
05/20,0.162,0.183,,,0.152,0.094,0.128,0.057,0.043,0.139,0.045,0.188
05/21,0.169,0.193,,,0.158,0.1,0.135,0.063,0.048,0.148,0.055,0.197
05/22,0.154,0.179,,,0.147,0.09,0.123,0.055,0.042,0.133,0.055,0.18
05/23,0.176,0.205,,,0.166,0.104,0.141,0.067,0.052,0.164,0.06,0.205
05/24,0.188,0.218,,,0.175,0.111,0.148,0.077,0.061,0.18,0.07,0.218
05/25,0.158,0.184,0.05,,0.147,0.099,0.127,0.073,0.052,0.153,0.043,0.184
05/26,0.163,0.192,0.04,,0.155,0.1,0.131,0.075,0.058,0.157,0.043,0.192
05/27,0.172,0.201,0.03,,0.161,0.102,0.138,0.066,0.065,0.169,0.046,0.201
05/28,0.172,0.202,0.03,,0.161,0.106,0.138,0.068,0.068,0.168,0.047,0.202
05/29,0.199,0.233,0.04,,0.187,0.122,0.159,0.074,0.08,0.192,0.055,0.232
05/30,0.188,0.222,0.04,,0.177,0.116,0.151,0.07,0.082,0.18,0.055,0.222
05/31,0.172,0.202,0.05,,0.162,0.104,0.138,0.072,0.077,0.162,0.052,0.202
06/01,0.185,0.217,0.053,0.035,0.172,0.109,0.148,0.073,0.088,0.178,0.062,0.217
06/02,0.2,0.234,0.047,0.04,0.187,0.118,0.16,0.082,0.097,0.195,0.071,0.234
06/03,0.207,0.243,0.04,0.04,0.194,0.122,0.165,0.085,0.103,0.203,0.078,0.243
06/04,0.192,0.225,0.043,0.035,0.179,0.113,0.152,0.083,0.1,0.194,0.075,0.225
06/05,0.213,0.25,0.052,0.057,0.199,0.127,0.17,0.091,0.118,0.214,0.088,0.25
06/06,0.199,0.232,0.053,0.052,0.186,0.118,0.158,0.085,0.117,0.198,0.093,0.232
06/07,0.208,0.244,0.062,0.056,0.195,0.125,0.165,0.086,0.125,0.212,0.112,0.244
06/08,0.205,0.242,0.058,0.059,0.192,0.125,0.164,0.088,0.128,0.206,0.122,0.242
06/09,0.198,0.234,0.065,0.058,0.187,0.12,0.158,0.091,0.129,0.201,0.128,0.234
06/10,0.209,0.245,0.056,0.057,0.196,0.127,0.166,0.095,0.141,0.214,0.148,0.245
06/11,0.197,0.232,0.055,0.056,0.185,0.119,0.157,0.097,0.137,0.206,0.151,0.232
06/12,0.217,0.255,0.058,0.062,0.204,0.132,0.174,0.102,0.152,0.225,0.173,0.255
06/13,0.206,0.242,0.059,0.061,0.195,0.125,0.164,0.095,0.148,0.218,0.176,0.242
06/14,0.207,0.243,0.061,0.06,0.195,0.126,0.165,0.099,0.152,0.218,0.185,0.243
06/15,0.218,0.257,0.067,0.068,0.206,0.135,0.175,0.104,0.167,0.232,0.207,0.257
06/16,0.218,0.254,0.068,0.067,0.202,0.135,0.174,0.105,0.168,0.233,0.212,0.254
06/17,0.214,0.251,0.069,0.065,0.2,0.135,0.171,0.108,0.17,0.231,0.215,0.251
06/18,0.203,0.24,0.068,0.062,0.192,0.132,0.164,0.108,0.166,0.222,0.212,0.24
06/19,0.218,0.258,0.078,0.07,0.207,0.142,0.175,0.117,0.184,0.241,0.23,0.258
06/20,0.218,0.257,0.083,0.075,0.206,0.144,0.174,0.119,0.189,0.242,0.235,0.257
06/21,0.232,0.273,0.092,0.079,0.218,0.156,0.185,0.13,0.204,0.257,0.256,0.273
06/22,0.235,0.275,0.1,0.079,0.219,0.162,0.188,0.135,0.209,0.262,0.26,0.275
06/23,0.24,0.28,0.108,0.085,0.223,0.17,0.19,0.141,0.218,0.266,0.268,0.28
06/24,0.235,0.275,0.114,0.085,0.219,0.168,0.187,0.143,0.217,0.262,0.265,0.275
06/25,0.222,0.262,0.115,0.082,0.211,0.165,0.178,0.138,0.21,0.248,0.254,0.262
06/26,0.223,0.262,0.123,0.085,0.21,0.169,0.179,0.145,0.214,0.25,0.255,0.262
06/27,0.24,0.282,0.142,0.095,0.226,0.188,0.191,0.158,0.233,0.269,0.275,0.282
06/28,0.23,0.269,0.14,0.092,0.215,0.184,0.182,0.156,0.227,0.258,0.265,0.268
06/29,0.236,0.278,0.152,0.097,0.223,0.194,0.189,0.167,0.236,0.265,0.277,0.277
06/30,0.245,0.286,0.165,0.105,0.227,0.202,0.194,0.173,0.245,0.274,0.286,0.285
07/01,0.249,0.292,0.175,0.112,0.233,0.209,0.198,0.182,0.252,0.279,0.292,0.291
07/02,0.255,0.3,0.191,0.122,0.242,0.221,0.203,0.19,0.262,0.285,0.3,0.297
07/03,0.246,0.288,0.189,0.117,0.229,0.215,0.195,0.188,0.252,0.274,0.288,0.282
07/04,0.246,0.289,0.199,0.125,0.232,0.222,0.197,0.192,0.256,0.274,0.289,0.283
07/05,0.267,0.312,0.226,0.138,0.25,0.243,0.212,0.213,0.279,0.295,0.312,0.304
07/06,0.261,0.308,0.232,0.143,0.247,0.244,0.21,0.212,0.278,0.29,0.308,0.297
07/07,0.245,0.287,0.223,0.139,0.23,0.229,0.195,0.202,0.258,0.271,0.287,0.274
07/08,0.235,0.277,0.222,0.138,0.221,0.225,0.188,0.198,0.252,0.262,0.277,0.263
07/09,0.253,0.296,0.245,0.152,0.238,0.245,0.2,0.218,0.27,0.278,0.296,0.276
07/10,0.251,0.294,0.25,0.156,0.235,0.25,0.199,0.22,0.271,0.275,0.294,0.272
07/11,0.245,0.287,0.251,0.158,0.229,0.248,0.195,0.219,0.265,0.268,0.287,0.261
07/12,0.26,0.305,0.273,0.172,0.245,0.268,0.208,0.238,0.285,0.285,0.305,0.274
07/13,0.247,0.291,0.265,0.168,0.232,0.261,0.197,0.232,0.272,0.269,0.291,0.249
07/14,0.248,0.292,0.269,0.175,0.233,0.265,0.198,0.237,0.273,0.268,0.292,0.245
07/15,0.248,0.293,0.272,0.179,0.235,0.269,0.199,0.242,0.274,0.268,0.293,0.241
07/16,0.261,0.306,0.288,0.193,0.244,0.286,0.207,0.257,0.289,0.28,0.306,0.244
07/17,0.264,0.312,0.293,0.203,0.25,0.292,0.212,0.26,0.295,0.283,0.312,0.242
07/18,0.257,0.301,0.284,0.2,0.241,0.284,0.203,0.253,0.285,0.272,0.301,0.222
07/19,0.247,0.289,0.274,0.198,0.232,0.275,0.196,0.25,0.274,0.261,0.289,0.204
07/20,0.255,0.301,0.285,0.212,0.242,0.286,0.204,0.261,0.285,0.269,0.301,0.203
07/21,0.258,0.304,0.289,0.221,0.244,0.293,0.207,0.264,0.289,0.272,0.304,0.207
07/22,0.251,0.293,0.28,0.221,0.234,0.286,0.199,0.258,0.28,0.258,0.293,0.184
07/23,0.251,0.293,0.28,0.225,0.235,0.286,0.198,0.259,0.28,0.258,0.293,0.175
07/24,0.235,0.275,0.262,0.218,0.219,0.268,0.186,0.245,0.262,0.238,0.275,0.158
07/25,0.253,0.298,0.284,0.244,0.238,0.291,0.203,0.268,0.284,0.258,0.298,0.137
07/26,0.252,0.295,0.282,0.248,0.235,0.29,0.199,0.268,0.282,0.255,0.295,0.181
07/27,0.235,0.276,0.264,0.238,0.22,0.272,0.188,0.251,0.264,0.235,0.276,0.16
07/28,0.252,0.295,0.282,0.263,0.236,0.291,0.199,0.269,0.282,0.253,0.295,0.169
07/29,0.262,0.307,0.292,0.281,0.245,0.302,0.209,0.281,0.292,0.258,0.307,0.163
07/30,0.242,0.282,0.269,0.264,0.225,0.278,0.193,0.261,0.269,0.235,0.282,0.137
07/31,0.239,0.281,0.268,0.265,0.225,0.277,0.19,0.259,0.268,0.232,0.281,0.129
08/01,0.246,0.289,0.276,0.281,0.232,0.285,0.196,0.267,0.276,0.236,0.289,0.111
08/02,0.245,0.285,0.274,0.277,0.228,0.282,0.192,0.264,0.274,0.233,0.285,0.133
08/03,0.223,0.262,0.252,0.254,0.211,0.259,0.178,0.242,0.252,0.212,0.262,0.11
08/04,0.245,0.286,0.275,0.286,0.228,0.284,0.193,0.265,0.275,0.227,0.285,0.106
08/05,0.207,0.243,0.231,0.243,0.195,0.242,0.165,0.225,0.232,0.192,0.242,0.036
08/06,0.215,0.254,0.242,0.254,0.203,0.252,0.173,0.235,0.242,0.199,0.252,0.115
08/07,0.219,0.258,0.245,0.258,0.205,0.256,0.174,0.238,0.246,0.196,0.253,0.105
08/08,0.22,0.26,0.245,0.26,0.21,0.259,0.176,0.241,0.248,0.195,0.252,0.105
08/09,0.219,0.256,0.24,0.256,0.205,0.255,0.174,0.238,0.245,0.191,0.242,0.11
08/10,0.225,0.264,0.244,0.264,0.211,0.263,0.178,0.244,0.253,0.195,0.242,0.06
08/11,0.225,0.265,0.242,0.265,0.212,0.264,0.179,0.245,0.253,0.192,0.236,0.1
08/12,0.225,0.265,0.24,0.265,0.212,0.265,0.18,0.245,0.254,0.192,0.223,0.1
08/13,0.218,0.257,0.228,0.257,0.205,0.257,0.175,0.237,0.246,0.18,0.202,0.08
08/14,0.22,0.258,0.225,0.258,0.206,0.258,0.175,0.238,0.248,0.18,0.19,0.08
08/15,0.229,0.268,0.229,0.268,0.214,0.268,0.183,0.245,0.256,0.184,0.185,0.0
08/16,0.23,0.269,0.226,0.269,0.215,0.268,0.184,0.246,0.258,0.18,0.172,
08/17,0.209,0.246,0.203,0.246,0.196,0.245,0.167,0.225,0.236,0.164,0.148,
08/18,0.214,0.251,0.2,0.251,0.2,0.248,0.17,0.228,0.241,0.167,0.142,
08/19,0.23,0.271,0.212,0.271,0.218,0.267,0.183,0.248,0.258,0.177,0.138,
08/20,0.208,0.246,0.184,0.246,0.196,0.241,0.168,0.221,0.235,0.155,0.102,
08/21,0.197,0.232,0.169,0.232,0.184,0.225,0.158,0.208,0.222,0.146,0.105,
08/22,0.196,0.229,0.162,0.229,0.184,0.221,0.155,0.205,0.22,0.136,0.092,
08/23,0.202,0.236,0.161,0.236,0.188,0.221,0.159,0.211,0.226,0.142,0.085,
08/24,0.207,0.242,0.156,0.242,0.192,0.221,0.165,0.214,0.232,0.142,0.076,
08/25,0.208,0.245,0.154,0.245,0.195,0.215,0.166,0.217,0.235,0.138,0.0,
08/26,0.219,0.257,0.153,0.257,0.204,0.219,0.173,0.226,0.245,0.149,,
08/27,0.221,0.259,0.149,0.259,0.207,0.214,0.173,0.228,0.248,0.147,,
08/28,0.222,0.261,0.141,0.261,0.209,0.204,0.175,0.226,0.248,0.142,,
08/29,0.232,0.272,0.139,0.272,0.218,0.207,0.181,0.235,0.26,0.139,,
08/30,0.205,0.241,0.113,0.239,0.193,0.172,0.159,0.205,0.23,0.119,,
08/31,0.207,0.243,0.108,0.242,0.193,0.162,0.161,0.206,0.232,0.121,,
09/01,0.192,0.225,0.078,0.223,0.18,0.114,0.148,0.19,0.199,0.11,,
09/02,0.209,0.246,0.099,0.243,0.197,0.151,0.163,0.206,0.23,0.115,,
09/03,0.198,0.234,0.09,0.227,0.188,0.139,0.153,0.193,0.22,0.105,,
09/04,0.198,0.232,0.082,0.222,0.185,0.13,0.151,0.189,0.217,0.099,,
09/05,0.195,0.228,0.01,0.218,0.184,0.021,0.148,0.188,0.049,0.093,,
09/06,0.187,0.218,0.09,0.208,0.176,0.16,0.139,0.177,0.2,0.089,,
09/07,0.198,0.232,0.08,0.219,0.184,0.11,0.148,0.188,0.2,0.091,,
09/08,0.189,0.221,0.07,0.208,0.176,0.11,0.141,0.177,0.18,0.088,,
09/09,0.193,0.226,0.07,0.214,0.182,0.12,0.142,0.178,0.177,0.084,,
09/10,0.177,0.207,0.0,0.194,0.165,0.0,0.128,0.162,0.0,0.068,,
09/11,0.171,0.201,,0.185,0.16,,0.125,0.155,,0.079,,
09/12,0.163,0.191,,0.175,0.152,,0.118,0.145,,0.071,,
09/13,0.168,0.197,,0.179,0.158,,0.122,0.149,,0.067,,
09/14,0.17,0.202,,0.182,0.16,,0.123,0.151,,0.067,,
09/15,0.189,0.222,,0.201,0.178,,0.133,0.165,,0.063,,
09/16,0.152,0.178,,0.159,0.142,,0.107,0.128,,0.122,,
09/17,0.167,0.195,,0.172,0.156,,0.117,0.136,,0.095,,
09/18,0.142,0.166,,0.146,0.133,,0.097,0.116,,0.103,,
09/19,0.138,0.163,,0.144,0.13,,0.092,0.11,,0.1,,
09/20,0.148,0.173,,0.149,0.139,,0.097,0.099,,0.12,,
09/21,0.13,0.153,,0.131,0.123,,0.083,0.098,,0.103,,
09/22,0.135,0.158,,0.135,0.125,,0.083,0.095,,0.103,,
09/23,0.152,0.18,,0.153,0.144,,0.092,0.107,,0.133,,
09/24,0.15,0.178,,0.15,0.143,,0.088,0.108,,0.127,,
09/25,0.157,0.185,,0.155,0.148,,0.088,0.077,,0.093,,
09/26,0.145,0.171,,0.143,0.137,,0.078,0.101,,0.097,,
09/27,0.146,0.172,,0.141,0.137,,0.077,0.099,,0.093,,
09/28,0.135,0.159,,0.13,0.128,,0.068,0.081,,0.107,,
09/29,0.14,0.165,,0.134,0.133,,0.068,0.079,,0.113,,
09/30,0.0,0.0,,0.119,0.0,,0.0,0.03,,0.103,,
10/01,,,,0.103,,,,0.115,,0.093,,
10/02,,,,0.108,,,,0.1,,0.103,,
10/03,,,,0.105,,,,0.07,,0.083,,
10/04,,,,0.11,,,,0.085,,0.083,,
10/05,,,,0.108,,,,0.03,,0.067,,
10/06,,,,0.102,,,,0.05,,0.07,,
10/07,,,,0.107,,,,0.04,,0.06,,
10/08,,,,0.109,,,,0.05,,0.057,,
10/09,,,,0.107,,,,0.05,,0.05,,
10/10,,,,0.099,,,,0.0,,0.05,,
10/11,,,,0.087,,,,,,0.05,,
10/12,,,,0.082,,,,,,0.047,,
10/13,,,,0.105,,,,,,0.037,,
10/14,,,,0.097,,,,,,0.043,,
10/15,,,,0.0,,,,,,0.03,,
10/16,,,,,,,,,,0.033,,
10/17,,,,,,,,,,0.037,,
10/18,,,,,,,,,,0.04,,
10/19,,,,,,,,,,0.03,,
10/20,,,,,,,,,,0.033,,
10/21,,,,,,,,,,0.027,,
10/22,,,,,,,,,,0.027,,
10/23,,,,,,,,,,0.023,,
10/24,,,,,,,,,,0.017,,
10/25,,,,,,,,,,0.017,,
10/26,,,,,,,,,,0.013,,
10/27,,,,,,,,,,0.017,,
10/28,,,,,,,,,,0.01,,
10/29,,,,,,,,,,0.01,,
10/30,,,,,,,,,,0.013,,
10/31,,,,,,,,,,0.013,,
11/01,,,,,,,,,,0.0,,
