# Station Code,defo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR
05/01,0.142,0.165,0.041,0.089,0.085,0.133,0.113,0.038
05/02,0.141,0.164,0.041,0.085,0.085,0.133,0.112,0.038
05/03,0.146,0.169,0.043,0.095,0.085,0.137,0.116,0.041
05/04,0.147,0.172,0.046,0.1,0.091,0.138,0.118,0.043
05/05,0.133,0.154,0.038,0.089,0.081,0.122,0.105,0.037
05/06,0.139,0.164,0.045,0.099,0.091,0.132,0.113,0.039
05/07,0.164,0.192,0.052,0.12,0.108,0.154,0.132,0.048
05/08,0.153,0.178,0.051,0.121,0.101,0.142,0.123,0.045
05/09,0.171,0.2,0.059,0.139,0.117,0.16,0.136,0.052
05/10,0.176,0.206,0.062,0.149,0.123,0.165,0.142,0.055
05/11,0.162,0.191,0.061,0.141,0.118,0.153,0.13,0.051
05/12,0.159,0.187,0.064,0.145,0.12,0.148,0.128,0.051
05/13,0.163,0.191,0.068,0.152,0.126,0.154,0.13,0.055
05/14,0.157,0.185,0.072,0.152,0.125,0.148,0.125,0.054
05/15,0.142,0.167,0.068,0.141,0.115,0.134,0.112,0.048
05/16,0.152,0.178,0.082,0.156,0.131,0.142,0.121,0.057
05/17,0.165,0.195,0.093,0.175,0.147,0.158,0.133,0.062
05/18,0.151,0.177,0.09,0.164,0.135,0.141,0.12,0.058
05/19,0.147,0.173,0.09,0.163,0.137,0.138,0.119,0.059
05/20,0.16,0.188,0.107,0.178,0.154,0.149,0.128,0.068
05/21,0.148,0.172,0.102,0.164,0.144,0.138,0.117,0.062
05/22,0.142,0.166,0.102,0.16,0.143,0.133,0.115,0.062
05/23,0.158,0.185,0.119,0.182,0.162,0.148,0.125,0.069
05/24,0.165,0.194,0.129,0.192,0.173,0.156,0.133,0.075
05/25,0.145,0.171,0.119,0.169,0.158,0.136,0.115,0.074
05/26,0.158,0.185,0.129,0.183,0.175,0.148,0.126,0.077
05/27,0.16,0.188,0.133,0.188,0.178,0.15,0.128,0.078
05/28,0.181,0.212,0.156,0.212,0.208,0.171,0.146,0.091
05/29,0.175,0.206,0.157,0.206,0.202,0.165,0.14,0.092
05/30,0.172,0.202,0.158,0.202,0.201,0.161,0.138,0.094
05/31,0.18,0.212,0.172,0.212,0.215,0.17,0.143,0.104
06/01,0.184,0.216,0.179,0.216,0.222,0.171,0.148,0.107
06/02,0.185,0.217,0.183,0.217,0.224,0.173,0.148,0.111
06/03,0.198,0.232,0.199,0.232,0.239,0.186,0.157,0.122
06/04,0.196,0.23,0.203,0.23,0.236,0.184,0.155,0.125
06/05,0.18,0.212,0.19,0.212,0.22,0.169,0.143,0.122
06/06,0.188,0.22,0.2,0.22,0.228,0.175,0.15,0.128
06/07,0.185,0.217,0.2,0.217,0.225,0.174,0.148,0.131
06/08,0.175,0.205,0.188,0.205,0.214,0.163,0.139,0.128
06/09,0.163,0.192,0.176,0.192,0.2,0.154,0.13,0.121
06/10,0.183,0.215,0.2,0.215,0.224,0.172,0.146,0.135
06/11,0.181,0.212,0.198,0.212,0.221,0.171,0.145,0.135
06/12,0.172,0.203,0.191,0.203,0.212,0.162,0.138,0.132
06/13,0.155,0.181,0.169,0.181,0.189,0.144,0.124,0.122
06/14,0.175,0.208,0.196,0.208,0.218,0.165,0.142,0.139
06/15,0.177,0.207,0.197,0.207,0.215,0.167,0.141,0.144
06/16,0.179,0.21,0.2,0.21,0.219,0.168,0.142,0.148
06/17,0.193,0.227,0.215,0.227,0.236,0.182,0.154,0.159
06/18,0.182,0.213,0.204,0.213,0.222,0.169,0.146,0.153
06/19,0.188,0.224,0.213,0.224,0.234,0.178,0.153,0.163
06/20,0.186,0.219,0.209,0.219,0.228,0.176,0.149,0.162
06/21,0.211,0.248,0.238,0.248,0.258,0.199,0.17,0.185
06/22,0.206,0.242,0.232,0.242,0.251,0.192,0.164,0.183
06/23,0.199,0.234,0.224,0.233,0.243,0.187,0.159,0.18
06/24,0.2,0.235,0.225,0.235,0.245,0.188,0.159,0.183
06/25,0.193,0.227,0.217,0.225,0.235,0.182,0.154,0.179
06/26,0.193,0.228,0.218,0.225,0.237,0.183,0.155,0.182
06/27,0.207,0.243,0.233,0.241,0.253,0.195,0.165,0.197
06/28,0.212,0.248,0.238,0.247,0.259,0.198,0.168,0.204
06/29,0.216,0.254,0.244,0.252,0.264,0.202,0.173,0.21
06/30,0.212,0.248,0.238,0.246,0.258,0.198,0.168,0.209
07/01,0.231,0.271,0.261,0.268,0.281,0.218,0.185,0.23
07/02,0.231,0.269,0.259,0.265,0.279,0.215,0.183,0.23
07/03,0.238,0.279,0.269,0.275,0.289,0.224,0.188,0.24
07/04,0.232,0.274,0.264,0.27,0.285,0.218,0.186,0.238
07/05,0.22,0.26,0.251,0.256,0.27,0.208,0.176,0.227
07/06,0.216,0.253,0.245,0.249,0.263,0.202,0.172,0.223
07/07,0.209,0.245,0.237,0.238,0.255,0.195,0.167,0.218
07/08,0.222,0.259,0.251,0.251,0.269,0.208,0.175,0.231
07/09,0.228,0.268,0.26,0.261,0.277,0.215,0.182,0.242
07/10,0.23,0.272,0.265,0.263,0.282,0.218,0.185,0.246
07/11,0.221,0.258,0.252,0.25,0.268,0.206,0.176,0.235
07/12,0.206,0.243,0.238,0.234,0.253,0.196,0.165,0.225
07/13,0.215,0.252,0.248,0.244,0.262,0.201,0.17,0.235
07/14,0.228,0.268,0.263,0.258,0.278,0.214,0.181,0.252
07/15,0.229,0.268,0.265,0.258,0.278,0.213,0.182,0.252
07/16,0.216,0.254,0.252,0.244,0.264,0.203,0.174,0.242
07/17,0.216,0.255,0.252,0.245,0.264,0.205,0.173,0.245
07/18,0.219,0.259,0.258,0.249,0.269,0.206,0.176,0.252
07/19,0.22,0.258,0.258,0.248,0.268,0.207,0.175,0.255
07/20,0.227,0.266,0.265,0.256,0.276,0.212,0.18,0.264
07/21,0.226,0.267,0.267,0.256,0.277,0.214,0.181,0.266
07/22,0.212,0.249,0.249,0.239,0.258,0.2,0.169,0.252
07/23,0.22,0.259,0.259,0.249,0.268,0.208,0.177,0.264
07/24,0.213,0.25,0.25,0.239,0.259,0.2,0.169,0.261
07/25,0.217,0.254,0.254,0.242,0.263,0.203,0.173,0.265
07/26,0.226,0.265,0.265,0.252,0.274,0.212,0.178,0.275
07/27,0.222,0.262,0.262,0.248,0.271,0.208,0.178,0.274
07/28,0.227,0.268,0.268,0.255,0.276,0.215,0.182,0.283
07/29,0.229,0.269,0.269,0.256,0.277,0.215,0.182,0.285
07/30,0.23,0.271,0.271,0.257,0.277,0.218,0.184,0.288
07/31,0.217,0.255,0.255,0.242,0.26,0.203,0.174,0.272
08/01,0.218,0.255,0.255,0.242,0.258,0.204,0.174,0.273
08/02,0.198,0.232,0.232,0.22,0.234,0.184,0.158,0.249
08/03,0.198,0.233,0.233,0.221,0.232,0.187,0.159,0.252
08/04,0.212,0.248,0.248,0.234,0.245,0.197,0.17,0.265
08/05,0.208,0.245,0.245,0.231,0.24,0.197,0.166,0.262
08/06,0.21,0.246,0.246,0.231,0.242,0.198,0.167,0.262
08/07,0.211,0.247,0.247,0.232,0.238,0.198,0.168,0.263
08/08,0.202,0.237,0.237,0.222,0.226,0.19,0.161,0.252
08/09,0.183,0.215,0.215,0.202,0.204,0.172,0.148,0.228
08/10,0.19,0.224,0.224,0.208,0.212,0.178,0.152,0.236
08/11,0.19,0.225,0.225,0.209,0.211,0.18,0.152,0.235
08/12,0.19,0.223,0.223,0.206,0.208,0.176,0.152,0.229
08/13,0.188,0.222,0.222,0.205,0.203,0.176,0.152,0.226
08/14,0.187,0.22,0.22,0.205,0.2,0.176,0.148,0.222
08/15,0.188,0.222,0.222,0.207,0.201,0.178,0.152,0.223
08/16,0.199,0.233,0.233,0.216,0.209,0.186,0.158,0.232
08/17,0.198,0.234,0.234,0.217,0.207,0.187,0.16,0.226
08/18,0.182,0.215,0.215,0.198,0.189,0.173,0.146,0.203
08/19,0.198,0.235,0.235,0.215,0.202,0.186,0.159,0.215
08/20,0.178,0.208,0.208,0.192,0.177,0.165,0.142,0.179
08/21,0.164,0.194,0.194,0.18,0.165,0.155,0.133,0.162
08/22,0.163,0.192,0.192,0.176,0.162,0.154,0.131,0.156
08/23,0.175,0.206,0.205,0.189,0.172,0.165,0.14,0.155
08/24,0.173,0.202,0.202,0.185,0.168,0.163,0.138,0.144
08/25,0.17,0.198,0.196,0.181,0.16,0.158,0.135,0.124
08/26,0.169,0.198,0.196,0.182,0.161,0.158,0.135,0.133
08/27,0.173,0.205,0.203,0.189,0.162,0.165,0.137,0.135
08/28,0.16,0.188,0.183,0.172,0.15,0.152,0.126,0.111
08/29,0.148,0.175,0.168,0.161,0.137,0.14,0.116,0.095
08/30,0.153,0.18,0.17,0.163,0.138,0.143,0.121,0.073
08/31,0.147,0.175,0.162,0.159,0.132,0.14,0.115,0.083
09/01,0.15,0.176,0.16,0.161,0.125,0.142,0.118,0.026
09/02,0.154,0.182,0.164,0.165,0.141,0.145,0.121,0.11
09/03,0.145,0.172,0.151,0.155,0.13,0.138,0.113,0.085
09/04,0.142,0.168,0.145,0.152,0.123,0.134,0.111,0.09
09/05,0.148,0.175,0.148,0.158,0.126,0.139,0.115,0.04
09/06,0.139,0.163,0.135,0.147,0.118,0.13,0.109,0.04
09/07,0.143,0.168,0.136,0.153,0.116,0.134,0.109,0.06
09/08,0.151,0.178,0.139,0.162,0.118,0.142,0.116,0.08
09/09,0.139,0.165,0.127,0.148,0.107,0.135,0.107,0.07
09/10,0.13,0.154,0.117,0.14,0.091,0.122,0.1,0.0
09/11,0.125,0.147,0.108,0.132,0.088,0.118,0.093,
09/12,0.125,0.147,0.106,0.131,0.082,0.118,0.095,
09/13,0.136,0.159,0.109,0.143,0.088,0.127,0.101,
09/14,0.123,0.145,0.1,0.131,0.081,0.115,0.091,
09/15,0.109,0.127,0.085,0.112,0.063,0.102,0.081,
09/16,0.106,0.124,0.082,0.11,0.066,0.099,0.077,
09/17,0.09,0.105,0.068,0.095,0.052,0.085,0.065,
09/18,0.084,0.098,0.063,0.087,0.046,0.08,0.06,
09/19,0.104,0.122,0.074,0.11,0.055,0.097,0.076,
09/20,0.105,0.124,0.074,0.108,0.007,0.098,0.077,
09/21,0.104,0.122,0.072,0.108,0.06,0.098,0.073,
09/22,0.091,0.106,0.058,0.094,0.06,0.085,0.064,
09/23,0.085,0.1,0.054,0.088,0.07,0.08,0.06,
09/24,0.088,0.102,0.053,0.089,0.06,0.08,0.062,
09/25,0.092,0.107,0.049,0.093,0.0,0.086,0.064,
09/26,0.096,0.111,0.053,0.097,,0.088,0.065,
09/27,0.082,0.097,0.044,0.084,,0.078,0.055,
09/28,0.085,0.099,0.047,0.085,,0.079,0.055,
09/29,0.074,0.087,0.038,0.075,,0.07,0.047,
09/30,0.082,0.096,0.022,0.069,,0.077,0.052,
10/01,0.081,0.094,0.035,0.05,,0.075,0.05,
10/02,0.084,0.098,0.048,0.086,,0.078,0.049,
10/03,0.078,0.09,0.042,0.08,,0.07,0.044,
10/04,0.082,0.096,0.043,0.084,,0.077,0.047,
10/05,0.072,0.086,0.0,0.014,,0.07,0.039,
10/06,0.085,0.099,,0.09,,0.079,0.044,
10/07,0.069,0.082,,0.1,,0.065,0.037,
10/08,0.07,0.081,,0.1,,0.065,0.034,
10/09,0.062,0.072,,0.09,,0.058,0.03,
10/10,0.0,0.0,,0.0,,0.0,0.0,
