# Station Code,mali
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,LAWN,PAST,POTA,SGRN,WGRN
06/02,0.238,0.279,0.082,0.222,0.19,0.17,0.279,0.279
06/03,0.248,0.292,0.088,0.233,0.197,0.185,0.298,0.292
06/04,0.247,0.29,0.088,0.232,0.197,0.181,0.299,0.29
06/05,0.251,0.295,0.091,0.237,0.201,0.186,0.302,0.295
06/06,0.258,0.304,0.097,0.245,0.205,0.197,0.311,0.304
06/07,0.249,0.292,0.097,0.234,0.198,0.199,0.3,0.292
06/08,0.257,0.302,0.104,0.239,0.205,0.208,0.313,0.302
06/09,0.259,0.305,0.106,0.244,0.208,0.215,0.317,0.305
06/10,0.244,0.288,0.103,0.231,0.195,0.205,0.277,0.288
06/11,0.263,0.309,0.112,0.247,0.211,0.221,0.295,0.309
06/12,0.237,0.279,0.102,0.223,0.19,0.202,0.268,0.279
06/13,0.279,0.327,0.124,0.261,0.223,0.245,0.32,0.326
06/14,0.283,0.333,0.134,0.268,0.226,0.249,0.323,0.332
06/15,0.268,0.315,0.129,0.251,0.213,0.239,0.306,0.313
06/16,0.255,0.3,0.128,0.24,0.203,0.235,0.297,0.299
06/17,0.281,0.332,0.148,0.265,0.224,0.263,0.328,0.329
06/18,0.263,0.309,0.139,0.247,0.211,0.245,0.308,0.305
06/19,0.297,0.348,0.161,0.278,0.238,0.275,0.346,0.342
06/20,0.283,0.333,0.158,0.265,0.225,0.27,0.33,0.326
06/21,0.289,0.341,0.167,0.273,0.231,0.277,0.335,0.332
06/22,0.312,0.365,0.182,0.292,0.248,0.299,0.358,0.355
06/23,0.304,0.358,0.183,0.285,0.243,0.297,0.349,0.347
06/24,0.292,0.342,0.18,0.275,0.232,0.287,0.331,0.327
06/25,0.284,0.333,0.18,0.267,0.227,0.28,0.317,0.313
06/26,0.282,0.33,0.183,0.263,0.224,0.28,0.318,0.306
06/27,0.289,0.34,0.192,0.272,0.231,0.291,0.326,0.312
06/28,0.29,0.341,0.202,0.272,0.231,0.295,0.324,0.305
06/29,0.297,0.35,0.212,0.28,0.238,0.304,0.328,0.307
06/30,0.272,0.319,0.197,0.256,0.216,0.275,0.297,0.271
07/01,0.288,0.339,0.212,0.272,0.231,0.295,0.315,0.28
07/02,0.292,0.343,0.219,0.274,0.232,0.297,0.315,0.272
07/03,0.318,0.373,0.245,0.298,0.254,0.325,0.343,0.288
07/04,0.3,0.352,0.236,0.282,0.24,0.308,0.322,0.261
07/05,0.28,0.329,0.225,0.264,0.225,0.288,0.298,0.235
07/06,0.287,0.335,0.237,0.268,0.227,0.293,0.305,0.234
07/07,0.301,0.354,0.255,0.284,0.24,0.305,0.315,0.237
07/08,0.265,0.311,0.231,0.248,0.211,0.273,0.283,0.198
07/09,0.307,0.36,0.274,0.288,0.244,0.31,0.317,0.219
07/10,0.3,0.352,0.271,0.281,0.237,0.275,0.288,0.205
07/11,0.301,0.353,0.28,0.284,0.241,0.343,0.356,0.206
07/12,0.289,0.338,0.273,0.272,0.23,0.321,0.327,0.193
07/13,0.31,0.364,0.302,0.292,0.246,0.345,0.346,0.188
07/14,0.295,0.348,0.295,0.279,0.237,0.324,0.317,0.167
07/15,0.308,0.363,0.318,0.29,0.247,0.327,0.312,0.163
07/16,0.29,0.342,0.303,0.272,0.231,0.317,0.297,0.142
07/17,0.301,0.354,0.322,0.282,0.241,0.322,0.3,0.149
07/18,0.331,0.39,0.358,0.312,0.265,0.373,0.324,0.152
07/19,0.319,0.374,0.351,0.299,0.255,0.335,0.283,0.137
07/20,0.297,0.348,0.328,0.278,0.235,0.324,0.255,0.043
07/21,0.296,0.348,0.335,0.278,0.235,0.321,0.238,0.16
07/22,0.313,0.368,0.356,0.293,0.251,0.346,0.236,0.147
07/23,0.306,0.36,0.35,0.288,0.245,0.34,0.215,0.14
07/24,0.294,0.346,0.342,0.278,0.235,0.315,0.188,0.12
07/25,0.285,0.335,0.332,0.268,0.226,0.316,0.149,0.063
07/26,0.289,0.342,0.339,0.274,0.232,0.312,0.182,0.18
07/27,0.312,0.368,0.365,0.294,0.25,0.343,0.189,0.23
07/28,0.277,0.328,0.326,0.262,0.222,0.318,0.165,0.18
07/29,0.278,0.325,0.323,0.261,0.22,0.314,0.149,0.18
07/30,0.28,0.328,0.327,0.263,0.223,0.305,0.13,0.18
07/31,0.265,0.312,0.312,0.249,0.211,0.289,0.106,0.13
08/01,0.292,0.345,0.345,0.277,0.235,0.32,0.041,0.17
08/02,0.269,0.316,0.316,0.254,0.214,0.288,0.105,0.15
08/03,0.308,0.364,0.364,0.292,0.246,0.342,0.11,0.17
08/04,0.255,0.298,0.298,0.239,0.202,0.285,0.09,0.11
08/05,0.263,0.309,0.309,0.248,0.212,0.306,0.0,0.0
08/06,0.245,0.288,0.288,0.232,0.196,0.275,,
08/07,0.263,0.309,0.309,0.247,0.211,0.298,,
08/08,0.252,0.295,0.295,0.235,0.2,0.274,,
08/09,0.263,0.31,0.31,0.249,0.209,0.282,,
08/10,0.282,0.332,0.332,0.266,0.225,0.3,,
08/11,0.288,0.338,0.338,0.269,0.231,0.297,,
08/12,0.288,0.338,0.338,0.272,0.228,0.292,,
08/13,0.266,0.313,0.313,0.252,0.212,0.27,,
08/14,0.276,0.325,0.325,0.26,0.222,0.28,,
08/15,0.285,0.334,0.333,0.267,0.228,0.284,,
08/16,0.258,0.304,0.303,0.242,0.207,0.263,,
08/17,0.288,0.338,0.338,0.271,0.228,0.287,,
08/18,0.258,0.302,0.301,0.242,0.205,0.257,,
08/19,0.235,0.275,0.274,0.221,0.187,0.225,,
08/20,0.225,0.263,0.262,0.211,0.178,0.215,,
08/21,0.224,0.264,0.262,0.212,0.178,0.215,,
08/22,0.242,0.283,0.28,0.228,0.192,0.239,,
08/23,0.214,0.252,0.248,0.202,0.171,0.209,,
08/24,0.236,0.277,0.27,0.222,0.188,0.229,,
08/25,0.238,0.278,0.27,0.222,0.189,0.235,,
08/26,0.243,0.285,0.275,0.227,0.192,0.234,,
08/27,0.245,0.287,0.275,0.228,0.194,0.233,,
08/28,0.249,0.293,0.278,0.235,0.198,0.235,,
08/29,0.26,0.306,0.291,0.245,0.205,0.239,,
08/30,0.249,0.293,0.276,0.235,0.196,0.229,,
08/31,0.235,0.276,0.258,0.222,0.185,0.208,,
09/01,0.238,0.28,0.262,0.224,0.186,0.213,,
09/02,0.228,0.267,0.247,0.213,0.177,0.2,,
09/03,0.235,0.277,0.254,0.222,0.184,0.186,,
09/04,0.21,0.248,0.225,0.199,0.164,0.178,,
09/05,0.212,0.25,0.228,0.199,0.165,0.173,,
09/06,0.208,0.245,0.219,0.196,0.16,0.175,,
09/07,0.217,0.255,0.228,0.204,0.168,0.175,,
09/08,0.233,0.274,0.244,0.219,0.18,0.178,,
09/09,0.218,0.255,0.225,0.204,0.165,0.154,,
09/10,0.218,0.255,0.222,0.204,0.165,0.132,,
09/11,0.202,0.238,0.206,0.192,0.153,0.144,,
09/12,0.199,0.233,0.202,0.188,0.15,0.13,,
09/13,0.186,0.218,0.188,0.175,0.139,0.128,,
09/14,0.172,0.201,0.171,0.16,0.125,0.121,,
09/15,0.196,0.229,0.194,0.183,0.144,0.067,,
09/16,0.196,0.231,0.194,0.184,0.145,0.16,,
09/17,0.183,0.215,0.179,0.172,0.135,0.13,,
09/18,0.232,0.273,0.227,0.218,0.169,0.145,,
09/19,0.175,0.206,0.169,0.164,0.127,0.103,,
09/20,0.176,0.208,0.17,0.165,0.128,0.0,,
09/21,0.149,0.175,0.142,0.14,0.107,,,
09/22,0.165,0.192,0.154,0.155,0.116,,,
09/23,0.159,0.187,0.148,0.149,0.114,,,
09/24,0.193,0.225,0.177,0.179,0.135,,,
09/25,0.18,0.212,0.149,0.17,0.125,,,
09/26,0.165,0.193,0.153,0.155,0.112,,,
09/27,0.158,0.186,0.142,0.151,0.108,,,
09/28,0.156,0.185,0.148,0.146,0.101,,,
09/29,0.144,0.171,0.132,0.136,0.092,,,
09/30,0.136,0.159,0.116,0.127,0.082,,,
10/01,0.127,0.15,0.11,0.12,0.076,,,
10/02,0.127,0.148,0.105,0.118,0.075,,,
10/03,0.145,0.168,0.114,0.135,0.082,,,
10/04,0.142,0.168,0.122,0.133,0.08,,,
10/05,0.131,0.153,0.11,0.123,0.069,,,
10/06,0.115,0.134,0.097,0.106,0.059,,,
10/07,0.124,0.145,0.104,0.116,0.064,,,
10/08,0.125,0.146,0.102,0.117,0.062,,,
10/09,0.124,0.143,0.104,0.115,0.059,,,
10/10,0.0,0.0,0.0,0.0,0.0,,,
