# Station Code,rgbi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SCRN,SGRN,WGRN
04/21,0.102,0.102,0.17,0.17,0.129,0.103,,0.19,,0.037,0.12
04/22,0.122,0.123,0.197,0.197,0.149,0.119,,0.22,,0.033,0.138
04/23,0.088,0.089,0.143,0.143,0.109,0.086,,0.12,,0.03,0.103
04/24,0.082,0.083,0.132,0.132,0.103,0.077,,0.06,,0.037,0.1
04/25,0.08,0.081,0.136,0.136,0.108,0.08,,0.07,,0.047,0.105
04/26,0.092,0.093,0.143,0.143,0.119,0.09,,0.11,,0.06,0.12
04/27,0.102,0.103,0.165,0.165,0.134,0.101,,0.11,,0.053,0.13
04/28,0.111,0.113,0.172,0.172,0.143,0.107,,0.14,,0.043,0.138
04/29,0.128,0.129,0.196,0.196,0.162,0.121,,0.08,,0.057,0.157
04/30,0.12,0.122,0.187,0.187,0.155,0.116,,0.1,,0.05,0.149
05/01,0.136,0.139,0.201,0.201,0.169,0.127,,0.14,,0.047,0.162
05/02,0.164,0.168,0.226,0.226,0.192,0.146,,0.19,,0.053,0.186
05/03,0.162,0.166,0.218,0.218,0.187,0.142,,0.21,,0.052,0.182
05/04,0.178,0.185,0.23,0.23,0.2,0.154,,0.26,,0.063,0.2
05/05,0.186,0.192,0.24,0.24,0.208,0.161,,0.28,,0.08,0.213
05/06,0.183,0.187,0.232,0.232,0.205,0.157,,0.13,,0.095,0.214
05/07,0.14,0.143,0.177,0.177,0.157,0.121,,0.14,,0.072,0.164
05/08,0.149,0.155,0.182,0.182,0.158,0.126,,0.16,,0.078,0.167
05/09,0.157,0.163,0.192,0.192,0.166,0.132,,0.19,,0.073,0.177
05/10,0.152,0.16,0.183,0.183,0.157,0.127,,0.105,,0.083,0.172
05/11,0.171,0.182,0.202,0.202,0.174,0.14,,0.11,,0.1,0.19
05/12,0.211,0.226,0.251,0.251,0.217,0.175,,0.18,,0.127,0.24
05/13,0.206,0.224,0.24,0.242,0.206,0.166,,0.195,,0.125,0.232
05/14,0.193,0.208,0.222,0.225,0.192,0.157,,0.17,,0.113,0.213
05/15,0.167,0.181,0.193,0.195,0.164,0.137,,0.076,,0.11,0.186
05/16,0.173,0.187,0.197,0.201,0.171,0.141,,0.09,,0.127,0.197
05/17,0.176,0.192,0.199,0.203,0.171,0.143,,0.104,,0.115,0.195
05/18,0.197,0.219,0.225,0.225,0.19,0.158,,0.126,,0.142,0.221
05/19,0.169,0.189,0.191,0.193,0.165,0.136,,0.11,,0.127,0.191
05/20,0.149,0.165,0.172,0.174,0.145,0.12,0.05,0.072,,0.103,0.169
05/21,0.153,0.169,0.176,0.177,0.149,0.122,0.04,0.068,,0.104,0.173
05/22,0.161,0.18,0.183,0.184,0.156,0.13,0.05,0.083,,0.097,0.181
05/23,0.148,0.166,0.165,0.169,0.142,0.118,0.055,0.079,,0.093,0.167
05/24,0.185,0.211,0.206,0.209,0.175,0.148,0.06,0.101,,0.139,0.212
05/25,0.18,0.208,0.203,0.205,0.169,0.143,0.07,0.106,,0.154,0.208
05/26,0.183,0.214,0.206,0.207,0.174,0.149,0.09,0.114,,0.151,0.212
05/27,0.185,0.216,0.207,0.21,0.175,0.149,0.09,0.121,,0.147,0.213
05/28,0.204,0.238,0.229,0.23,0.191,0.164,0.055,0.129,,0.173,0.237
05/29,0.205,0.24,0.23,0.232,0.193,0.165,0.065,0.139,,0.174,0.238
05/30,0.21,0.245,0.237,0.238,0.197,0.168,0.045,0.141,,0.184,0.244
05/31,0.22,0.256,0.246,0.246,0.206,0.174,0.065,0.156,,0.201,0.254
06/01,0.213,0.249,0.239,0.24,0.2,0.17,0.079,0.171,0.048,0.201,0.248
06/02,0.219,0.257,0.245,0.248,0.207,0.174,0.087,0.182,0.052,0.216,0.255
06/03,0.226,0.266,0.254,0.257,0.213,0.18,0.087,0.194,0.058,0.24,0.264
06/04,0.254,0.3,0.285,0.288,0.241,0.203,0.094,0.239,0.065,0.28,0.298
06/05,0.255,0.301,0.285,0.29,0.241,0.202,0.093,0.231,0.06,0.235,0.3
06/06,0.238,0.281,0.265,0.27,0.226,0.19,0.088,0.233,0.055,0.233,0.28
06/07,0.22,0.258,0.244,0.247,0.206,0.176,0.084,0.214,0.049,0.21,0.258
06/08,0.235,0.276,0.26,0.265,0.221,0.189,0.091,0.226,0.052,0.22,0.276
06/09,0.249,0.292,0.277,0.28,0.234,0.199,0.096,0.231,0.066,0.219,0.292
06/10,0.244,0.287,0.271,0.275,0.229,0.195,0.097,0.241,0.063,0.224,0.287
06/11,0.221,0.26,0.244,0.25,0.207,0.177,0.091,0.232,0.06,0.229,0.26
06/12,0.239,0.28,0.262,0.268,0.222,0.192,0.097,0.225,0.069,0.226,0.28
06/13,0.243,0.285,0.266,0.271,0.229,0.195,0.104,0.235,0.078,0.225,0.285
06/14,0.249,0.294,0.273,0.283,0.235,0.201,0.111,0.274,0.081,0.264,0.294
06/15,0.231,0.271,0.251,0.259,0.218,0.184,0.107,0.241,0.082,0.239,0.271
06/16,0.238,0.28,0.258,0.267,0.224,0.19,0.117,0.261,0.094,0.259,0.28
06/17,0.227,0.267,0.245,0.256,0.213,0.181,0.118,0.246,0.097,0.238,0.267
06/18,0.224,0.261,0.237,0.249,0.209,0.177,0.115,0.24,0.104,0.226,0.261
06/19,0.251,0.294,0.265,0.28,0.236,0.199,0.131,0.254,0.129,0.249,0.294
06/20,0.238,0.279,0.25,0.265,0.224,0.191,0.131,0.244,0.132,0.24,0.279
06/21,0.248,0.29,0.26,0.277,0.231,0.197,0.143,0.263,0.152,0.255,0.29
06/22,0.238,0.281,0.251,0.267,0.226,0.191,0.143,0.254,0.16,0.258,0.281
06/23,0.258,0.301,0.264,0.286,0.24,0.204,0.159,0.28,0.191,0.28,0.301
06/24,0.281,0.329,0.287,0.313,0.263,0.224,0.178,0.304,0.221,0.307,0.329
06/25,0.234,0.276,0.24,0.262,0.222,0.188,0.151,0.251,0.186,0.26,0.276
06/26,0.267,0.312,0.272,0.295,0.249,0.212,0.179,0.291,0.224,0.3,0.312
06/27,0.278,0.326,0.28,0.31,0.261,0.223,0.19,0.312,0.253,0.325,0.326
06/28,0.261,0.306,0.261,0.289,0.245,0.208,0.184,0.28,0.242,0.292,0.306
06/29,0.25,0.293,0.248,0.277,0.235,0.199,0.181,0.253,0.241,0.266,0.293
06/30,0.22,0.257,0.218,0.241,0.205,0.175,0.163,0.238,0.21,0.251,0.257
07/01,0.277,0.326,0.273,0.306,0.26,0.222,0.213,0.302,0.271,0.325,0.326
07/02,0.292,0.343,0.285,0.323,0.275,0.233,0.228,0.311,0.296,0.335,0.343
07/03,0.29,0.342,0.284,0.32,0.275,0.234,0.231,0.305,0.306,0.328,0.342
07/04,0.271,0.318,0.261,0.298,0.254,0.216,0.222,0.284,0.29,0.304,0.318
07/05,0.27,0.318,0.26,0.297,0.255,0.216,0.228,0.285,0.298,0.306,0.318
07/06,0.29,0.341,0.276,0.32,0.271,0.231,0.247,0.33,0.319,0.359,0.341
07/07,0.287,0.335,0.271,0.312,0.268,0.226,0.246,0.32,0.321,0.348,0.335
07/08,0.275,0.322,0.261,0.3,0.26,0.219,0.244,0.304,0.311,0.33,0.322
07/09,0.304,0.357,0.287,0.331,0.286,0.241,0.274,0.329,0.343,0.359,0.354
07/10,0.269,0.317,0.255,0.294,0.254,0.216,0.245,0.306,0.3,0.333,0.314
07/11,0.283,0.332,0.267,0.308,0.266,0.225,0.259,0.309,0.316,0.336,0.325
07/12,0.286,0.336,0.268,0.312,0.268,0.228,0.269,0.311,0.331,0.34,0.323
07/13,0.293,0.347,0.279,0.322,0.278,0.235,0.282,0.328,0.346,0.359,0.327
07/14,0.272,0.32,0.255,0.295,0.255,0.218,0.264,0.292,0.323,0.323,0.297
07/15,0.288,0.339,0.271,0.313,0.271,0.23,0.283,0.319,0.337,0.351,0.311
07/16,0.291,0.342,0.274,0.316,0.274,0.232,0.29,0.311,0.342,0.344,0.309
07/17,0.269,0.318,0.256,0.294,0.256,0.216,0.271,0.31,0.311,0.341,0.273
07/18,0.303,0.357,0.284,0.329,0.284,0.244,0.306,0.339,0.357,0.375,0.302
07/19,0.304,0.357,0.287,0.328,0.287,0.243,0.31,0.321,0.362,0.356,0.295
07/20,0.304,0.356,0.285,0.329,0.285,0.241,0.311,0.315,0.36,0.351,0.281
07/21,0.296,0.347,0.277,0.321,0.277,0.235,0.306,0.3,0.349,0.335,0.301
07/22,0.323,0.38,0.303,0.349,0.303,0.257,0.338,0.347,0.38,0.379,0.326
07/23,0.297,0.351,0.281,0.322,0.281,0.238,0.314,0.305,0.344,0.321,0.292
07/24,0.32,0.376,0.301,0.343,0.301,0.257,0.338,0.334,0.384,0.346,0.302
07/25,0.289,0.339,0.272,0.311,0.272,0.231,0.306,0.292,0.337,0.297,0.278
07/26,0.3,0.353,0.283,0.323,0.283,0.241,0.321,0.306,0.346,0.354,0.286
07/27,0.259,0.305,0.244,0.277,0.244,0.207,0.278,0.27,0.296,0.31,0.232
07/28,0.242,0.285,0.228,0.258,0.228,0.194,0.262,0.245,0.276,0.267,0.21
07/29,0.236,0.277,0.221,0.251,0.221,0.188,0.256,0.254,0.272,0.274,0.184
07/30,0.263,0.307,0.247,0.279,0.247,0.209,0.283,0.266,0.301,0.276,0.192
07/31,0.279,0.329,0.264,0.298,0.264,0.223,0.306,0.279,0.327,0.286,0.193
08/01,0.284,0.334,0.267,0.303,0.267,0.226,0.311,0.28,0.336,0.269,0.158
08/02,0.257,0.301,0.24,0.27,0.24,0.204,0.28,0.244,0.326,0.233,0.167
08/03,0.273,0.32,0.256,0.287,0.256,0.218,0.299,0.27,0.339,0.251,0.16
08/04,0.263,0.308,0.247,0.276,0.247,0.209,0.285,0.268,0.33,0.223,0.143
08/05,0.226,0.267,0.215,0.241,0.215,0.181,0.247,0.24,0.272,0.171,0.099
08/06,0.217,0.256,0.204,0.231,0.204,0.175,0.237,0.211,0.257,0.212,0.116
08/07,0.253,0.298,0.239,0.269,0.239,0.202,0.277,0.245,0.303,0.264,0.136
08/08,0.257,0.304,0.244,0.273,0.244,0.207,0.281,0.258,0.311,0.274,0.126
08/09,0.26,0.305,0.243,0.273,0.243,0.208,0.283,0.241,0.302,0.262,0.122
08/10,0.281,0.331,0.265,0.296,0.265,0.223,0.306,0.253,0.326,0.254,0.096
08/11,0.276,0.325,0.26,0.292,0.26,0.219,0.3,0.249,0.324,0.275,0.137
08/12,0.27,0.317,0.254,0.284,0.254,0.216,0.295,0.237,0.317,0.26,0.113
08/13,0.276,0.324,0.259,0.288,0.259,0.221,0.301,0.246,0.328,0.247,0.103
08/14,0.252,0.296,0.236,0.263,0.236,0.201,0.274,0.209,0.299,0.242,0.097
08/15,0.256,0.301,0.241,0.269,0.241,0.204,0.279,0.206,0.294,0.215,0.0
08/16,0.284,0.333,0.266,0.295,0.266,0.224,0.309,0.235,0.331,0.242,
08/17,0.292,0.344,0.276,0.304,0.276,0.233,0.317,0.246,0.332,0.247,
08/18,0.251,0.294,0.234,0.262,0.234,0.199,0.271,0.201,0.282,0.175,
08/19,0.23,0.271,0.217,0.241,0.217,0.184,0.247,0.182,0.279,0.14,
08/20,0.216,0.254,0.204,0.223,0.204,0.171,0.232,0.155,0.276,0.075,
08/21,0.251,0.295,0.236,0.26,0.236,0.199,0.268,0.175,0.3,0.31,
08/22,0.229,0.267,0.215,0.235,0.215,0.18,0.24,0.175,0.273,0.305,
08/23,0.217,0.255,0.204,0.224,0.204,0.171,0.229,0.159,0.253,0.25,
08/24,0.268,0.315,0.253,0.277,0.253,0.212,0.283,0.182,0.317,0.185,
08/25,0.25,0.295,0.237,0.259,0.237,0.197,0.265,0.166,0.292,0.115,
08/26,0.219,0.257,0.205,0.225,0.205,0.171,0.227,0.141,0.257,0.28,
08/27,0.246,0.29,0.231,0.254,0.231,0.192,0.254,0.151,0.283,0.38,
08/28,0.252,0.296,0.237,0.257,0.237,0.195,0.257,0.144,0.282,0.39,
08/29,0.298,0.35,0.279,0.306,0.279,0.233,0.304,0.166,0.299,0.31,
08/30,0.275,0.325,0.26,0.284,0.26,0.214,0.28,0.149,0.266,0.29,
08/31,0.246,0.288,0.23,0.249,0.23,0.19,0.245,0.114,0.234,0.33,
09/01,0.267,0.314,0.251,0.273,0.251,0.204,0.266,0.094,0.256,0.24,
09/02,0.282,0.333,0.267,0.289,0.267,0.217,0.28,0.135,0.253,0.24,
09/03,0.262,0.309,0.246,0.268,0.246,0.201,0.258,0.11,0.228,0.14,
09/04,0.243,0.286,0.229,0.248,0.229,0.186,0.236,0.098,0.211,0.06,
09/05,0.256,0.304,0.244,0.262,0.244,0.194,0.252,0.048,0.193,0.08,
09/06,0.243,0.286,0.23,0.247,0.23,0.182,0.233,0.067,0.161,0.11,
09/07,0.259,0.304,0.243,0.262,0.243,0.193,0.246,0.073,0.16,0.11,
09/08,0.261,0.307,0.246,0.265,0.246,0.192,0.247,0.053,0.142,0.14,
09/09,0.226,0.266,0.213,0.229,0.213,0.166,0.212,0.06,0.108,0.06,
09/10,0.214,0.253,0.202,0.219,0.202,0.156,0.2,0.0,0.037,0.0,
09/11,0.23,0.27,0.215,0.232,0.215,0.162,0.211,,0.123,,
09/12,0.236,0.276,0.22,0.237,0.221,0.168,0.218,,0.147,,
09/13,0.223,0.262,0.208,0.225,0.21,0.16,0.202,,0.12,,
09/14,0.183,0.216,0.17,0.184,0.173,0.132,0.167,,0.07,,
09/15,0.181,0.211,0.176,0.192,0.178,0.129,0.17,,0.033,,
09/16,0.198,0.231,0.18,0.196,0.183,0.138,0.172,,0.06,,
09/17,0.187,0.22,0.181,0.196,0.183,0.133,0.17,,0.07,,
09/18,0.216,0.252,0.207,0.226,0.212,0.15,0.196,,0.12,,
09/19,0.186,0.218,0.174,0.19,0.179,0.127,0.157,,0.14,,
09/20,0.17,0.199,0.165,0.181,0.172,0.113,0.147,,0.12,,
09/21,0.15,0.174,0.14,0.153,0.144,0.096,0.123,,0.09,,
09/22,0.167,0.196,0.14,0.153,0.146,0.104,0.122,,0.06,,
09/23,0.173,0.203,0.143,0.155,0.149,0.104,0.12,,0.08,,
09/24,0.196,0.23,0.17,0.185,0.177,0.116,0.139,,0.06,,
09/25,0.219,0.259,0.19,0.209,0.199,0.123,0.129,,0.0,,
09/26,0.209,0.244,0.178,0.2,0.189,0.116,0.147,,,,
09/27,0.172,0.202,0.151,0.17,0.161,0.091,0.109,,,,
09/28,0.15,0.176,0.135,0.151,0.147,0.077,0.085,,,,
09/29,0.133,0.157,0.121,0.136,0.131,0.067,0.074,,,,
09/30,0.0,0.0,0.118,0.135,0.0,0.0,0.0,,,,
10/01,,,0.096,0.111,,,,,,,
10/02,,,0.101,0.119,,,,,,,
10/03,,,0.106,0.122,,,,,,,
10/04,,,0.107,0.125,,,,,,,
10/05,,,0.096,0.112,,,,,,,
10/06,,,0.094,0.113,,,,,,,
10/07,,,0.122,0.144,,,,,,,
10/08,,,0.114,0.137,,,,,,,
10/09,,,0.106,0.127,,,,,,,
10/10,,,0.124,0.148,,,,,,,
10/11,,,0.102,0.123,,,,,,,
10/12,,,0.09,0.108,,,,,,,
10/13,,,0.094,0.113,,,,,,,
10/14,,,0.094,0.116,,,,,,,
10/15,,,0.1,0.123,,,,,,,
10/16,,,0.099,0.12,,,,,,,
10/17,,,0.13,0.158,,,,,,,
10/18,,,0.099,0.122,,,,,,,
10/19,,,0.085,0.107,,,,,,,
10/20,,,0.0,0.0,,,,,,,
