# Station Code,trti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
04/29,0.164,0.173,0.203,0.203,0.182,0.139,,0.08,0.185,0.088,0.204
04/30,0.161,0.169,0.199,0.199,0.178,0.136,,0.13,0.15,0.08,0.2
05/01,0.173,0.185,0.213,0.213,0.189,0.147,,0.2,0.1,0.09,0.215
05/02,0.179,0.192,0.217,0.217,0.195,0.151,,0.18,0.094,0.094,0.221
05/03,0.193,0.209,0.229,0.229,0.203,0.161,,0.21,0.09,0.103,0.234
05/04,0.198,0.214,0.231,0.231,0.204,0.164,,0.23,0.092,0.105,0.237
05/05,0.186,0.201,0.22,0.22,0.195,0.155,0.07,0.14,0.086,0.1,0.226
05/06,0.196,0.211,0.231,0.231,0.203,0.163,0.05,0.095,0.088,0.116,0.238
05/07,0.164,0.175,0.189,0.189,0.166,0.135,0.04,0.115,0.08,0.088,0.195
05/08,0.179,0.195,0.205,0.206,0.178,0.147,0.07,0.115,0.088,0.112,0.215
05/09,0.182,0.199,0.209,0.209,0.182,0.149,0.09,0.115,0.106,0.117,0.219
05/10,0.175,0.192,0.2,0.201,0.172,0.141,0.073,0.094,0.093,0.126,0.209
05/11,0.195,0.217,0.223,0.224,0.191,0.158,0.09,0.096,0.092,0.141,0.231
05/12,0.227,0.249,0.257,0.261,0.22,0.183,0.073,0.118,0.097,0.156,0.269
05/13,0.221,0.248,0.251,0.255,0.217,0.18,0.087,0.128,0.117,0.167,0.262
05/14,0.216,0.242,0.243,0.248,0.208,0.174,0.067,0.138,0.108,0.161,0.254
05/15,0.182,0.202,0.206,0.206,0.175,0.147,0.053,0.085,0.073,0.126,0.212
05/16,0.183,0.202,0.206,0.207,0.173,0.146,0.057,0.1,0.083,0.138,0.214
05/17,0.181,0.201,0.199,0.203,0.169,0.142,0.07,0.101,0.091,0.137,0.21
05/18,0.205,0.233,0.231,0.232,0.196,0.164,0.073,0.118,0.106,0.156,0.241
05/19,0.179,0.201,0.197,0.201,0.17,0.141,0.077,0.11,0.098,0.144,0.209
05/20,0.153,0.172,0.17,0.172,0.144,0.121,0.056,0.089,0.084,0.118,0.179
05/21,0.163,0.186,0.182,0.185,0.155,0.131,0.058,0.089,0.092,0.133,0.191
05/22,0.172,0.198,0.193,0.193,0.163,0.137,0.046,0.105,0.091,0.14,0.201
05/23,0.162,0.188,0.18,0.182,0.153,0.129,0.044,0.101,0.086,0.138,0.189
05/24,0.189,0.223,0.212,0.214,0.178,0.153,0.068,0.134,0.12,0.174,0.224
05/25,0.19,0.223,0.213,0.215,0.18,0.153,0.077,0.141,0.14,0.179,0.224
05/26,0.182,0.212,0.203,0.204,0.17,0.144,0.077,0.146,0.136,0.167,0.213
05/27,0.183,0.216,0.205,0.208,0.174,0.149,0.08,0.155,0.143,0.176,0.217
05/28,0.223,0.262,0.249,0.25,0.209,0.18,0.092,0.195,0.176,0.219,0.262
05/29,0.214,0.249,0.238,0.24,0.2,0.17,0.085,0.182,0.173,0.213,0.249
05/30,0.201,0.235,0.224,0.226,0.187,0.159,0.082,0.176,0.17,0.206,0.235
05/31,0.217,0.254,0.241,0.244,0.204,0.173,0.098,0.205,0.199,0.232,0.254
06/01,0.219,0.256,0.244,0.246,0.204,0.175,0.093,0.206,0.209,0.236,0.256
06/02,0.218,0.256,0.243,0.246,0.204,0.175,0.097,0.216,0.211,0.237,0.256
06/03,0.224,0.262,0.249,0.252,0.209,0.179,0.1,0.225,0.222,0.245,0.262
06/04,0.249,0.292,0.276,0.28,0.234,0.2,0.109,0.263,0.252,0.276,0.292
06/05,0.255,0.3,0.283,0.288,0.239,0.205,0.114,0.268,0.263,0.284,0.3
06/06,0.243,0.285,0.268,0.274,0.226,0.193,0.108,0.259,0.258,0.272,0.285
06/07,0.231,0.273,0.256,0.262,0.218,0.184,0.107,0.244,0.247,0.261,0.273
06/08,0.222,0.262,0.245,0.251,0.211,0.179,0.107,0.233,0.243,0.254,0.262
06/09,0.236,0.276,0.258,0.265,0.221,0.189,0.119,0.242,0.261,0.269,0.276
06/10,0.23,0.271,0.253,0.261,0.217,0.183,0.119,0.246,0.256,0.266,0.271
06/11,0.218,0.257,0.237,0.247,0.205,0.174,0.119,0.231,0.244,0.252,0.257
06/12,0.206,0.242,0.224,0.232,0.194,0.165,0.115,0.199,0.226,0.237,0.242
06/13,0.237,0.28,0.256,0.267,0.224,0.191,0.137,0.23,0.259,0.276,0.28
06/14,0.242,0.285,0.261,0.273,0.227,0.193,0.143,0.265,0.283,0.282,0.285
06/15,0.223,0.262,0.237,0.25,0.21,0.179,0.137,0.237,0.262,0.261,0.262
06/16,0.222,0.261,0.236,0.249,0.208,0.177,0.14,0.246,0.269,0.26,0.261
06/17,0.224,0.264,0.237,0.253,0.21,0.18,0.146,0.25,0.269,0.263,0.264
06/18,0.219,0.257,0.228,0.243,0.206,0.175,0.15,0.24,0.263,0.256,0.257
06/19,0.256,0.301,0.266,0.288,0.241,0.205,0.177,0.264,0.296,0.3,0.301
06/20,0.229,0.269,0.238,0.255,0.216,0.182,0.161,0.231,0.253,0.268,0.269
06/21,0.242,0.282,0.248,0.269,0.224,0.193,0.175,0.258,0.274,0.281,0.282
06/22,0.242,0.286,0.25,0.271,0.231,0.194,0.187,0.26,0.279,0.286,0.286
06/23,0.246,0.29,0.25,0.275,0.233,0.198,0.194,0.263,0.28,0.29,0.29
06/24,0.26,0.306,0.263,0.29,0.245,0.208,0.209,0.276,0.294,0.305,0.306
06/25,0.233,0.276,0.236,0.26,0.221,0.187,0.193,0.249,0.266,0.273,0.276
06/26,0.257,0.302,0.259,0.284,0.243,0.204,0.214,0.277,0.289,0.295,0.302
06/27,0.244,0.288,0.242,0.27,0.232,0.195,0.211,0.281,0.292,0.278,0.288
06/28,0.232,0.273,0.227,0.257,0.217,0.184,0.198,0.251,0.261,0.26,0.273
06/29,0.231,0.274,0.229,0.257,0.22,0.186,0.204,0.24,0.252,0.258,0.274
06/30,0.222,0.261,0.216,0.245,0.209,0.176,0.198,0.245,0.244,0.248,0.261
07/01,0.257,0.302,0.249,0.282,0.241,0.206,0.235,0.277,0.282,0.269,0.302
07/02,0.266,0.313,0.257,0.293,0.251,0.212,0.248,0.287,0.291,0.309,0.312
07/03,0.255,0.299,0.244,0.279,0.24,0.203,0.239,0.27,0.273,0.293,0.296
07/04,0.248,0.29,0.237,0.269,0.232,0.197,0.235,0.249,0.251,0.284,0.287
07/05,0.255,0.301,0.243,0.281,0.242,0.205,0.248,0.275,0.266,0.307,0.297
07/06,0.262,0.308,0.246,0.288,0.245,0.208,0.257,0.285,0.307,0.316,0.3
07/07,0.261,0.306,0.246,0.285,0.245,0.209,0.26,0.283,0.299,0.308,0.291
07/08,0.251,0.297,0.238,0.278,0.238,0.202,0.253,0.277,0.294,0.308,0.276
07/09,0.254,0.299,0.241,0.278,0.241,0.202,0.258,0.279,0.294,0.304,0.273
07/10,0.24,0.281,0.225,0.262,0.225,0.19,0.245,0.271,0.28,0.296,0.251
07/11,0.25,0.293,0.236,0.272,0.236,0.199,0.256,0.275,0.285,0.303,0.259
07/12,0.253,0.3,0.241,0.279,0.241,0.203,0.267,0.279,0.287,0.299,0.255
07/13,0.25,0.294,0.235,0.274,0.235,0.2,0.262,0.264,0.274,0.296,0.239
07/14,0.247,0.288,0.229,0.267,0.229,0.196,0.258,0.266,0.271,0.297,0.23
07/15,0.253,0.296,0.235,0.273,0.235,0.199,0.267,0.279,0.27,0.306,0.23
07/16,0.268,0.315,0.252,0.291,0.252,0.215,0.286,0.284,0.317,0.313,0.231
07/17,0.248,0.293,0.236,0.271,0.236,0.199,0.267,0.278,0.317,0.301,0.208
07/18,0.271,0.321,0.257,0.296,0.257,0.219,0.292,0.299,0.339,0.328,0.217
07/19,0.271,0.318,0.253,0.292,0.253,0.216,0.292,0.282,0.32,0.309,0.201
07/20,0.265,0.311,0.249,0.285,0.249,0.212,0.285,0.273,0.314,0.297,0.18
07/21,0.276,0.323,0.259,0.297,0.259,0.219,0.298,0.279,0.32,0.304,0.198
07/22,0.287,0.339,0.273,0.309,0.273,0.231,0.313,0.297,0.344,0.316,0.206
07/23,0.278,0.327,0.262,0.296,0.262,0.222,0.302,0.281,0.319,0.286,0.182
07/24,0.269,0.315,0.252,0.286,0.252,0.215,0.293,0.259,0.303,0.271,0.158
07/25,0.252,0.295,0.236,0.269,0.236,0.2,0.275,0.246,0.266,0.239,0.123
07/26,0.262,0.308,0.247,0.279,0.247,0.208,0.286,0.254,0.27,0.274,0.18
07/27,0.232,0.273,0.218,0.247,0.218,0.185,0.255,0.241,0.243,0.258,0.162
07/28,0.232,0.272,0.218,0.247,0.218,0.186,0.254,0.234,0.244,0.235,0.157
07/29,0.232,0.273,0.218,0.247,0.218,0.185,0.254,0.233,0.244,0.208,0.133
07/30,0.255,0.298,0.238,0.269,0.238,0.2,0.277,0.25,0.249,0.215,0.137
07/31,0.256,0.3,0.24,0.27,0.24,0.203,0.28,0.244,0.241,0.204,0.115
08/01,0.262,0.305,0.245,0.274,0.245,0.205,0.283,0.244,0.241,0.18,0.063
08/02,0.236,0.276,0.221,0.247,0.221,0.188,0.257,0.216,0.234,0.164,0.077
08/03,0.269,0.317,0.253,0.284,0.253,0.215,0.294,0.251,0.259,0.194,0.1
08/04,0.233,0.274,0.218,0.246,0.218,0.186,0.254,0.228,0.217,0.139,0.08
08/05,0.201,0.236,0.189,0.211,0.189,0.159,0.218,0.201,0.189,0.09,0.03
08/06,0.215,0.253,0.202,0.227,0.202,0.17,0.234,0.205,0.218,0.118,0.09
08/07,0.245,0.287,0.23,0.258,0.23,0.194,0.265,0.221,0.207,0.138,0.08
08/08,0.236,0.277,0.22,0.248,0.22,0.188,0.257,0.22,0.182,0.132,0.07
08/09,0.235,0.274,0.22,0.246,0.22,0.187,0.251,0.206,0.158,0.126,0.08
08/10,0.255,0.299,0.238,0.267,0.238,0.202,0.277,0.219,0.105,0.072,0.0
08/11,0.264,0.308,0.247,0.275,0.247,0.209,0.282,0.219,0.217,0.165,
08/12,0.254,0.299,0.24,0.266,0.24,0.203,0.272,0.209,0.183,0.135,
08/13,0.27,0.317,0.252,0.282,0.252,0.214,0.287,0.223,0.18,0.13,
08/14,0.233,0.272,0.218,0.243,0.218,0.185,0.246,0.177,0.13,0.105,
08/15,0.265,0.311,0.249,0.278,0.249,0.211,0.28,0.194,0.14,0.075,
08/16,0.249,0.292,0.234,0.258,0.234,0.2,0.263,0.182,0.137,0.14,
08/17,0.269,0.317,0.255,0.28,0.255,0.216,0.283,0.203,0.123,0.11,
08/18,0.247,0.29,0.232,0.255,0.232,0.198,0.257,0.182,0.113,0.11,
08/19,0.236,0.279,0.222,0.247,0.222,0.189,0.247,0.166,0.12,0.1,
08/20,0.221,0.26,0.208,0.227,0.208,0.177,0.226,0.152,0.0,0.0,
08/21,0.23,0.271,0.216,0.239,0.216,0.184,0.236,0.147,,,
08/22,0.228,0.266,0.211,0.235,0.211,0.181,0.23,0.158,,,
08/23,0.213,0.251,0.201,0.22,0.201,0.171,0.215,0.144,,,
08/24,0.248,0.294,0.236,0.257,0.236,0.199,0.249,0.155,,,
08/25,0.231,0.273,0.22,0.239,0.22,0.184,0.23,0.139,,,
08/26,0.237,0.278,0.223,0.243,0.223,0.187,0.234,0.134,,,
08/27,0.226,0.264,0.212,0.229,0.212,0.177,0.22,0.119,,,
08/28,0.234,0.275,0.219,0.24,0.219,0.183,0.229,0.113,,,
08/29,0.257,0.303,0.243,0.263,0.243,0.203,0.25,0.118,,,
08/30,0.26,0.306,0.245,0.267,0.245,0.203,0.249,0.105,,,
08/31,0.229,0.269,0.215,0.234,0.215,0.176,0.218,0.079,,,
09/01,0.244,0.287,0.23,0.249,0.23,0.19,0.232,0.04,,,
09/02,0.267,0.313,0.25,0.27,0.25,0.207,0.253,0.1,,,
09/03,0.253,0.298,0.239,0.258,0.239,0.194,0.236,0.077,,,
09/04,0.226,0.266,0.213,0.231,0.213,0.175,0.209,0.063,,,
09/05,0.242,0.283,0.227,0.244,0.227,0.183,0.223,0.0,,,
09/06,0.213,0.25,0.201,0.215,0.201,0.162,0.194,,,,
09/07,0.23,0.271,0.216,0.233,0.216,0.173,0.208,,,,
09/08,0.267,0.314,0.251,0.27,0.251,0.201,0.238,,,,
09/09,0.24,0.283,0.226,0.244,0.226,0.178,0.212,,,,
09/10,0.219,0.257,0.206,0.222,0.206,0.163,0.189,,,,
09/11,0.231,0.27,0.217,0.232,0.217,0.17,0.196,,,,
09/12,0.214,0.25,0.2,0.214,0.2,0.157,0.179,,,,
09/13,0.228,0.267,0.211,0.229,0.214,0.165,0.188,,,,
09/14,0.189,0.223,0.176,0.189,0.18,0.137,0.154,,,,
09/15,0.193,0.227,0.177,0.194,0.182,0.138,0.146,,,,
09/16,0.189,0.221,0.173,0.188,0.175,0.134,0.158,,,,
09/17,0.191,0.223,0.174,0.19,0.177,0.134,0.159,,,,
09/18,0.217,0.255,0.198,0.217,0.204,0.151,0.178,,,,
09/19,0.187,0.22,0.17,0.187,0.176,0.126,0.143,,,,
09/20,0.175,0.207,0.158,0.175,0.166,0.116,0.102,,,,
09/21,0.143,0.168,0.129,0.143,0.133,0.092,0.084,,,,
09/22,0.14,0.165,0.126,0.139,0.132,0.088,0.08,,,,
09/23,0.155,0.182,0.139,0.152,0.146,0.092,0.091,,,,
09/24,0.173,0.206,0.157,0.172,0.165,0.103,0.107,,,,
09/25,0.183,0.214,0.162,0.179,0.171,0.103,0.08,,,,
09/26,0.196,0.23,0.171,0.193,0.186,0.109,0.128,,,,
09/27,0.157,0.184,0.136,0.155,0.148,0.085,0.087,,,,
09/28,0.147,0.172,0.128,0.144,0.137,0.077,0.055,,,,
09/29,0.138,0.161,0.118,0.137,0.13,0.067,0.058,,,,
09/30,0.013,0.015,0.103,0.12,0.012,0.008,0.0,,,,
10/01,0.15,0.18,0.092,0.107,0.14,0.09,,,,,
10/02,0.11,0.13,0.095,0.109,0.1,0.07,,,,,
10/03,0.03,0.03,0.103,0.119,0.02,0.01,,,,,
10/04,0.06,0.07,0.099,0.115,0.06,0.03,,,,,
10/05,0.07,0.08,0.091,0.109,0.06,0.04,,,,,
10/06,0.05,0.06,0.089,0.104,0.05,0.03,,,,,
10/07,0.11,0.13,0.105,0.125,0.1,0.06,,,,,
10/08,0.11,0.13,0.106,0.126,0.1,0.06,,,,,
10/09,0.2,0.23,0.091,0.108,0.18,0.1,,,,,
10/10,0.0,0.0,0.116,0.143,0.0,0.0,,,,,
10/11,,,0.096,0.116,,,,,,,
10/12,,,0.093,0.112,,,,,,,
10/13,,,0.088,0.108,,,,,,,
10/14,,,0.093,0.116,,,,,,,
10/15,,,0.09,0.109,,,,,,,
10/16,,,0.09,0.109,,,,,,,
10/17,,,0.11,0.134,,,,,,,
10/18,,,0.085,0.103,,,,,,,
10/19,,,0.073,0.092,,,,,,,
10/20,,,0.0,0.0,,,,,,,
