# Station Code,cedc
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,GARL,LAWN,ONYN,PAST,SGRN,WGRN
04/19,0.111,0.113,0.1,0.133,,0.102,0.055,0.143
04/20,0.102,0.105,0.092,0.122,,0.091,0.048,0.133
04/21,0.125,0.128,0.107,0.152,,0.113,0.058,0.163
04/22,0.117,0.121,0.1,0.142,,0.106,0.05,0.15
04/23,0.125,0.129,0.104,0.152,,0.111,0.058,0.161
04/24,0.113,0.117,0.099,0.134,,0.1,0.057,0.145
04/25,0.115,0.118,0.097,0.135,0.07,0.103,0.049,0.145
04/26,0.128,0.132,0.103,0.143,0.06,0.109,0.055,0.156
04/27,0.145,0.152,0.116,0.167,0.08,0.124,0.065,0.178
04/28,0.138,0.145,0.107,0.159,0.06,0.122,0.069,0.175
04/29,0.152,0.158,0.112,0.173,0.08,0.13,0.075,0.188
04/30,0.172,0.178,0.12,0.192,0.08,0.147,0.086,0.212
05/01,0.171,0.18,0.115,0.183,0.073,0.141,0.094,0.203
05/02,0.175,0.187,0.115,0.184,0.079,0.145,0.1,0.205
05/03,0.182,0.192,0.12,0.192,0.089,0.151,0.102,0.213
05/04,0.186,0.2,0.125,0.197,0.099,0.156,0.108,0.221
05/05,0.17,0.181,0.115,0.177,0.092,0.143,0.096,0.202
05/06,0.179,0.193,0.118,0.182,0.099,0.147,0.106,0.209
05/07,0.169,0.182,0.111,0.168,0.094,0.137,0.103,0.196
05/08,0.172,0.186,0.112,0.17,0.099,0.138,0.111,0.198
05/09,0.189,0.207,0.128,0.19,0.118,0.154,0.125,0.224
05/10,0.186,0.202,0.126,0.183,0.115,0.149,0.123,0.216
05/11,0.201,0.219,0.139,0.198,0.125,0.162,0.139,0.235
05/12,0.203,0.224,0.143,0.199,0.127,0.164,0.145,0.238
05/13,0.208,0.23,0.148,0.202,0.128,0.168,0.15,0.241
05/14,0.194,0.214,0.14,0.186,0.119,0.155,0.147,0.223
05/15,0.186,0.205,0.135,0.177,0.113,0.147,0.152,0.215
05/16,0.183,0.206,0.136,0.175,0.112,0.146,0.157,0.214
05/17,0.18,0.201,0.136,0.169,0.11,0.142,0.163,0.209
05/18,0.179,0.202,0.137,0.17,0.109,0.143,0.159,0.209
05/19,0.175,0.198,0.137,0.165,0.105,0.139,0.153,0.203
05/20,0.181,0.208,0.148,0.172,0.109,0.146,0.159,0.212
05/21,0.175,0.2,0.145,0.164,0.105,0.139,0.157,0.205
05/22,0.169,0.198,0.145,0.16,0.102,0.136,0.157,0.199
05/23,0.172,0.2,0.146,0.162,0.104,0.137,0.165,0.201
05/24,0.211,0.245,0.182,0.198,0.125,0.168,0.205,0.245
05/25,0.187,0.218,0.164,0.175,0.112,0.148,0.191,0.218
05/26,0.181,0.212,0.162,0.172,0.109,0.144,0.184,0.212
05/27,0.197,0.231,0.175,0.185,0.117,0.158,0.202,0.231
05/28,0.206,0.242,0.19,0.194,0.123,0.165,0.219,0.242
05/29,0.221,0.258,0.205,0.205,0.132,0.176,0.235,0.258
05/30,0.218,0.257,0.207,0.205,0.131,0.175,0.235,0.257
05/31,0.204,0.239,0.195,0.19,0.121,0.164,0.216,0.239
06/01,0.215,0.252,0.208,0.201,0.128,0.172,0.233,0.252
06/02,0.225,0.265,0.223,0.214,0.136,0.181,0.25,0.265
06/03,0.252,0.296,0.252,0.237,0.151,0.202,0.28,0.296
06/04,0.238,0.279,0.241,0.225,0.142,0.191,0.263,0.279
06/05,0.257,0.302,0.268,0.242,0.158,0.205,0.288,0.302
06/06,0.238,0.281,0.252,0.225,0.148,0.191,0.272,0.281
06/07,0.238,0.281,0.255,0.225,0.151,0.192,0.268,0.281
06/08,0.245,0.288,0.265,0.232,0.156,0.197,0.277,0.288
06/09,0.23,0.27,0.251,0.217,0.15,0.184,0.262,0.27
06/10,0.228,0.268,0.251,0.215,0.15,0.182,0.262,0.268
06/11,0.245,0.288,0.271,0.23,0.167,0.197,0.285,0.288
06/12,0.242,0.286,0.269,0.228,0.168,0.195,0.28,0.286
06/13,0.236,0.278,0.264,0.222,0.168,0.188,0.274,0.278
06/14,0.257,0.303,0.289,0.242,0.188,0.206,0.298,0.303
06/15,0.255,0.3,0.288,0.238,0.192,0.205,0.296,0.3
06/16,0.256,0.301,0.289,0.241,0.2,0.203,0.297,0.301
06/17,0.255,0.298,0.287,0.239,0.202,0.202,0.295,0.298
06/18,0.248,0.291,0.279,0.233,0.198,0.198,0.289,0.291
06/19,0.265,0.312,0.302,0.249,0.218,0.213,0.309,0.312
06/20,0.279,0.327,0.317,0.262,0.235,0.222,0.325,0.327
06/21,0.292,0.341,0.331,0.272,0.253,0.23,0.339,0.341
06/22,0.285,0.335,0.327,0.268,0.251,0.227,0.333,0.335
06/23,0.282,0.332,0.325,0.265,0.257,0.227,0.33,0.332
06/24,0.268,0.314,0.308,0.251,0.248,0.212,0.312,0.314
06/25,0.275,0.324,0.318,0.258,0.262,0.221,0.323,0.324
06/26,0.288,0.338,0.333,0.271,0.278,0.231,0.338,0.338
06/27,0.298,0.35,0.345,0.279,0.292,0.237,0.349,0.349
06/28,0.275,0.323,0.318,0.258,0.275,0.22,0.323,0.322
06/29,0.291,0.341,0.336,0.272,0.297,0.231,0.341,0.34
06/30,0.297,0.348,0.345,0.278,0.308,0.236,0.348,0.347
07/01,0.306,0.358,0.355,0.287,0.324,0.243,0.358,0.356
07/02,0.315,0.369,0.367,0.295,0.338,0.25,0.369,0.365
07/03,0.295,0.347,0.345,0.277,0.323,0.235,0.347,0.342
07/04,0.305,0.359,0.358,0.288,0.339,0.244,0.359,0.352
07/05,0.305,0.36,0.358,0.288,0.343,0.245,0.36,0.352
07/06,0.31,0.364,0.362,0.291,0.351,0.248,0.364,0.352
07/07,0.302,0.354,0.353,0.282,0.343,0.241,0.354,0.338
07/08,0.301,0.353,0.352,0.283,0.344,0.24,0.353,0.335
07/09,0.314,0.369,0.368,0.295,0.36,0.251,0.369,0.346
07/10,0.298,0.35,0.349,0.28,0.346,0.238,0.35,0.325
07/11,0.308,0.361,0.361,0.29,0.36,0.245,0.361,0.331
07/12,0.319,0.376,0.376,0.301,0.375,0.254,0.376,0.341
07/13,0.319,0.376,0.376,0.301,0.375,0.255,0.376,0.327
07/14,0.308,0.363,0.363,0.292,0.362,0.248,0.363,0.308
07/15,0.299,0.352,0.352,0.28,0.352,0.241,0.35,0.294
07/16,0.313,0.368,0.368,0.293,0.368,0.251,0.366,0.297
07/17,0.319,0.376,0.376,0.302,0.376,0.256,0.373,0.293
07/18,0.321,0.378,0.378,0.303,0.378,0.258,0.372,0.287
07/19,0.309,0.362,0.362,0.289,0.362,0.246,0.352,0.262
07/20,0.315,0.37,0.37,0.296,0.37,0.252,0.352,0.258
07/21,0.306,0.36,0.36,0.287,0.36,0.245,0.341,0.241
07/22,0.298,0.35,0.35,0.28,0.35,0.238,0.327,0.225
07/23,0.292,0.344,0.344,0.276,0.344,0.234,0.309,0.208
07/24,0.288,0.337,0.337,0.269,0.337,0.228,0.296,0.198
07/25,0.294,0.345,0.344,0.275,0.345,0.232,0.289,0.16
07/26,0.274,0.322,0.32,0.257,0.322,0.218,0.257,0.199
07/27,0.277,0.325,0.323,0.259,0.325,0.219,0.258,0.204
07/28,0.292,0.342,0.338,0.272,0.342,0.232,0.253,0.197
07/29,0.304,0.358,0.355,0.286,0.358,0.245,0.251,0.196
07/30,0.294,0.347,0.335,0.278,0.347,0.235,0.228,0.176
07/31,0.288,0.339,0.319,0.27,0.339,0.229,0.208,0.161
08/01,0.283,0.333,0.307,0.265,0.333,0.227,0.172,0.129
08/02,0.287,0.337,0.305,0.27,0.337,0.228,0.214,0.161
08/03,0.272,0.321,0.285,0.257,0.321,0.218,0.188,0.139
08/04,0.292,0.343,0.296,0.275,0.343,0.234,0.179,0.131
08/05,0.244,0.287,0.244,0.229,0.287,0.194,0.12,0.059
08/06,0.243,0.285,0.234,0.228,0.285,0.193,0.153,0.133
08/07,0.258,0.302,0.243,0.242,0.302,0.204,0.147,0.123
08/08,0.268,0.313,0.248,0.25,0.313,0.213,0.147,0.123
08/09,0.251,0.296,0.229,0.238,0.296,0.202,0.13,0.113
08/10,0.269,0.316,0.235,0.254,0.316,0.216,0.059,0.04
08/11,0.261,0.305,0.222,0.245,0.305,0.205,0.195,0.11
08/12,0.265,0.311,0.219,0.248,0.311,0.212,0.22,0.12
08/13,0.274,0.322,0.217,0.258,0.322,0.218,0.21,0.11
08/14,0.262,0.308,0.202,0.246,0.307,0.208,0.2,0.09
08/15,0.251,0.295,0.174,0.235,0.294,0.199,0.125,0.0
08/16,0.265,0.31,0.193,0.248,0.299,0.211,0.26,
08/17,0.241,0.283,0.168,0.226,0.264,0.192,0.24,
08/18,0.251,0.295,0.173,0.235,0.268,0.199,0.21,
08/19,0.251,0.294,0.163,0.235,0.257,0.201,0.21,
08/20,0.234,0.275,0.026,0.22,0.234,0.185,0.2,
08/21,0.222,0.261,0.11,0.21,0.214,0.176,0.18,
08/22,0.231,0.272,0.145,0.218,0.214,0.185,0.17,
08/23,0.233,0.272,0.155,0.216,0.208,0.185,0.15,
08/24,0.246,0.288,0.18,0.231,0.211,0.195,0.12,
08/25,0.244,0.286,0.1,0.227,0.201,0.192,0.13,
08/26,0.245,0.288,0.15,0.231,0.192,0.195,0.13,
08/27,0.245,0.288,0.18,0.231,0.185,0.195,0.12,
08/28,0.252,0.297,0.19,0.237,0.181,0.2,0.1,
08/29,0.251,0.295,0.16,0.235,0.172,0.196,0.09,
08/30,0.243,0.285,0.17,0.228,0.159,0.19,0.0,
08/31,0.247,0.289,0.14,0.232,0.152,0.192,,
09/01,0.215,0.252,0.0,0.202,0.0,0.166,,
09/02,0.206,0.242,,0.193,,0.158,,
09/03,0.229,0.268,,0.215,,0.175,,
09/04,0.215,0.253,,0.202,,0.164,,
09/05,0.225,0.263,,0.211,,0.172,,
09/06,0.219,0.256,,0.205,,0.165,,
09/07,0.236,0.278,,0.222,,0.179,,
09/08,0.227,0.265,,0.212,,0.168,,
09/09,0.22,0.258,,0.206,,0.163,,
09/10,0.188,0.222,,0.178,,0.139,,
09/11,0.201,0.236,,0.189,,0.148,,
09/12,0.186,0.218,,0.175,,0.135,,
09/13,0.202,0.236,,0.188,,0.145,,
09/14,0.195,0.228,,0.182,,0.14,,
09/15,0.202,0.236,,0.188,,0.143,,
09/16,0.175,0.206,,0.165,,0.125,,
09/17,0.2,0.235,,0.188,,0.141,,
09/18,0.187,0.22,,0.176,,0.128,,
09/19,0.152,0.178,,0.143,,0.102,,
09/20,0.167,0.196,,0.158,,0.108,,
09/21,0.155,0.183,,0.147,,0.099,,
09/22,0.156,0.183,,0.146,,0.095,,
09/23,0.168,0.198,,0.157,,0.101,,
09/24,0.172,0.202,,0.162,,0.099,,
09/25,0.182,0.213,,0.171,,0.102,,
09/26,0.162,0.191,,0.152,,0.088,,
09/27,0.161,0.188,,0.151,,0.083,,
09/28,0.152,0.179,,0.144,,0.077,,
09/29,0.165,0.193,,0.155,,0.08,,
09/30,0.017,0.02,,0.0,,0.0,,
10/01,0.12,0.14,,,,,,
10/02,0.14,0.17,,,,,,
10/03,0.15,0.18,,,,,,
10/04,0.05,0.06,,,,,,
10/05,0.07,0.08,,,,,,
10/06,0.09,0.11,,,,,,
10/07,0.1,0.12,,,,,,
10/08,0.08,0.09,,,,,,
10/09,0.1,0.12,,,,,,
