# Station Code,hrhw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BLGR,CGRP,CHRY,FCRN,HAYM,HAYP,HOPS,LAWN,MELN,PAST,PECH,POTA,PPMT,SCRN,SGRN,SPMT,WGRN,WGRP
04/14,0.158,0.169,0.065,0.117,0.188,0.047,0.105,,0.185,0.188,0.018,0.161,,0.129,0.048,,0.056,,0.156,0.058,0.193,0.04
04/15,0.138,0.151,0.056,0.098,0.154,0.042,0.098,0.06,0.16,0.16,0.02,0.137,0.05,0.114,0.044,,0.051,,0.125,0.052,0.167,0.034
04/16,0.141,0.154,0.055,0.09,0.155,0.041,0.096,0.06,0.164,0.164,0.016,0.141,0.05,0.115,0.041,,0.052,,0.125,0.053,0.172,0.032
04/17,0.168,0.184,0.068,0.103,0.183,0.047,0.115,0.067,0.192,0.194,0.02,0.166,0.04,0.136,0.05,,0.064,,0.148,0.065,0.204,0.041
04/18,0.165,0.183,0.072,0.11,0.185,0.052,0.116,0.07,0.19,0.19,0.018,0.161,0.06,0.135,0.05,,0.065,,0.155,0.068,0.199,0.041
04/19,0.158,0.173,0.071,0.1,0.172,0.051,0.115,0.073,0.178,0.179,0.02,0.151,0.04,0.127,0.05,,0.064,,0.147,0.067,0.188,0.04
04/20,0.168,0.185,0.079,0.102,0.184,0.055,0.124,0.062,0.189,0.19,0.024,0.16,0.04,0.134,0.05,0.077,0.071,,0.162,0.073,0.198,0.045
04/21,0.181,0.201,0.087,0.102,0.195,0.058,0.136,0.062,0.203,0.205,0.025,0.173,0.04,0.143,0.055,0.07,0.078,,0.171,0.079,0.215,0.048
04/22,0.17,0.19,0.084,0.102,0.184,0.059,0.126,0.064,0.192,0.192,0.022,0.162,0.05,0.135,0.052,0.07,0.076,,0.162,0.077,0.201,0.044
04/23,0.192,0.217,0.093,0.1,0.205,0.063,0.139,0.064,0.217,0.218,0.024,0.184,0.04,0.156,0.061,0.07,0.085,,0.181,0.085,0.228,0.048
04/24,0.192,0.215,0.099,0.106,0.208,0.07,0.139,0.068,0.215,0.215,0.022,0.182,0.04,0.152,0.062,0.077,0.088,,0.186,0.088,0.225,0.051
04/25,0.172,0.195,0.097,0.091,0.186,0.065,0.122,0.056,0.193,0.193,0.022,0.162,0.05,0.138,0.055,0.058,0.083,,0.17,0.084,0.202,0.045
04/26,0.196,0.225,0.11,0.098,0.208,0.073,0.14,0.064,0.219,0.219,0.022,0.186,0.04,0.156,0.062,0.065,0.098,,0.187,0.097,0.229,0.053
04/27,0.222,0.257,0.138,0.12,0.241,0.088,0.162,0.068,0.248,0.25,0.029,0.211,0.04,0.178,0.077,0.065,0.114,,0.223,0.115,0.262,0.065
04/28,0.194,0.222,0.126,0.103,0.209,0.078,0.142,0.07,0.215,0.216,0.022,0.18,0.04,0.153,0.069,0.073,0.103,,0.194,0.104,0.226,0.059
04/29,0.208,0.242,0.136,0.109,0.227,0.088,0.157,0.066,0.232,0.235,0.024,0.196,0.07,0.165,0.075,0.072,0.113,,0.21,0.113,0.245,0.065
04/30,0.224,0.26,0.151,0.12,0.245,0.097,0.178,0.072,0.249,0.252,0.026,0.209,0.08,0.178,0.081,0.068,0.126,,0.231,0.128,0.262,0.073
05/01,0.203,0.237,0.133,0.109,0.22,0.094,0.164,0.076,0.225,0.228,0.024,0.191,0.06,0.162,0.078,0.09,0.12,0.087,0.208,0.122,0.238,0.067
05/02,0.185,0.218,0.128,0.102,0.202,0.089,0.155,0.071,0.207,0.209,0.024,0.174,0.05,0.148,0.075,0.083,0.113,0.083,0.193,0.115,0.218,0.065
05/03,0.205,0.241,0.155,0.113,0.224,0.102,0.186,0.081,0.228,0.232,0.029,0.194,0.05,0.163,0.082,0.092,0.131,0.087,0.216,0.133,0.241,0.077
05/04,0.216,0.255,0.164,0.121,0.237,0.111,0.188,0.086,0.241,0.244,0.03,0.205,0.05,0.174,0.089,0.087,0.139,0.083,0.229,0.143,0.255,0.083
05/05,0.2,0.235,0.137,0.108,0.218,0.098,0.175,0.079,0.221,0.225,0.027,0.188,0.045,0.162,0.082,0.08,0.132,0.07,0.21,0.134,0.235,0.075
05/06,0.206,0.242,0.141,0.112,0.225,0.105,0.185,0.08,0.228,0.232,0.027,0.194,0.075,0.165,0.089,0.083,0.139,0.068,0.218,0.143,0.242,0.077
05/07,0.217,0.252,0.151,0.116,0.234,0.112,0.198,0.082,0.239,0.242,0.03,0.202,0.06,0.171,0.093,0.087,0.149,0.076,0.23,0.151,0.252,0.085
05/08,0.211,0.247,0.152,0.116,0.23,0.115,0.2,0.083,0.233,0.236,0.032,0.197,0.055,0.168,0.098,0.087,0.151,0.076,0.23,0.157,0.247,0.085
05/09,0.234,0.275,0.172,0.128,0.255,0.13,0.224,0.092,0.258,0.265,0.037,0.22,0.06,0.188,0.11,0.098,0.172,0.082,0.255,0.174,0.275,0.099
05/10,0.223,0.262,0.17,0.125,0.243,0.128,0.217,0.085,0.246,0.252,0.036,0.209,0.044,0.177,0.106,0.092,0.165,0.078,0.245,0.172,0.262,0.098
05/11,0.217,0.254,0.165,0.12,0.235,0.125,0.211,0.081,0.237,0.244,0.037,0.202,0.046,0.174,0.105,0.092,0.163,0.072,0.237,0.167,0.254,0.097
05/12,0.222,0.262,0.173,0.125,0.245,0.13,0.227,0.083,0.244,0.252,0.036,0.209,0.049,0.177,0.11,0.091,0.174,0.076,0.247,0.174,0.262,0.103
05/13,0.225,0.265,0.182,0.125,0.248,0.135,0.231,0.087,0.246,0.254,0.036,0.212,0.043,0.178,0.112,0.098,0.176,0.064,0.253,0.18,0.265,0.106
05/14,0.206,0.242,0.175,0.118,0.228,0.13,0.216,0.086,0.225,0.232,0.039,0.193,0.044,0.164,0.108,0.095,0.165,0.062,0.235,0.172,0.242,0.103
05/15,0.193,0.227,0.172,0.112,0.213,0.128,0.207,0.075,0.21,0.218,0.039,0.182,0.042,0.155,0.105,0.09,0.159,0.073,0.222,0.155,0.227,0.101
05/16,0.229,0.268,0.208,0.135,0.249,0.154,0.253,0.093,0.246,0.258,0.054,0.214,0.056,0.182,0.132,0.114,0.198,0.089,0.264,0.192,0.268,0.129
05/17,0.22,0.258,0.195,0.129,0.24,0.147,0.246,0.088,0.237,0.247,0.048,0.206,0.052,0.176,0.125,0.102,0.189,0.081,0.249,0.182,0.258,0.121
05/18,0.218,0.257,0.202,0.129,0.238,0.151,0.252,0.09,0.233,0.245,0.06,0.205,0.055,0.175,0.129,0.111,0.195,0.085,0.252,0.185,0.257,0.128
05/19,0.208,0.244,0.195,0.124,0.224,0.146,0.229,0.087,0.222,0.234,0.057,0.194,0.05,0.165,0.126,0.105,0.186,0.077,0.239,0.177,0.244,0.125
05/20,0.212,0.25,0.204,0.128,0.228,0.15,0.246,0.088,0.227,0.239,0.061,0.2,0.048,0.171,0.128,0.105,0.193,0.076,0.244,0.184,0.25,0.132
05/21,0.202,0.238,0.204,0.122,0.215,0.151,0.255,0.088,0.216,0.225,0.066,0.191,0.052,0.161,0.129,0.11,0.188,0.077,0.234,0.184,0.238,0.13
05/22,0.215,0.252,0.209,0.129,0.226,0.159,0.258,0.094,0.225,0.24,0.07,0.202,0.054,0.172,0.14,0.116,0.2,0.08,0.248,0.193,0.252,0.138
05/23,0.238,0.282,0.238,0.147,0.255,0.182,0.292,0.105,0.252,0.27,0.074,0.225,0.064,0.191,0.159,0.13,0.228,0.093,0.277,0.219,0.282,0.157
05/24,0.232,0.273,0.235,0.143,0.245,0.178,0.289,0.105,0.242,0.261,0.08,0.218,0.064,0.185,0.155,0.129,0.222,0.089,0.268,0.213,0.273,0.155
05/25,0.197,0.231,0.203,0.122,0.204,0.158,0.24,0.092,0.204,0.22,0.081,0.185,0.055,0.158,0.139,0.109,0.192,0.081,0.228,0.188,0.231,0.134
05/26,0.226,0.265,0.235,0.142,0.229,0.178,0.276,0.106,0.235,0.252,0.088,0.212,0.068,0.178,0.158,0.128,0.222,0.09,0.263,0.209,0.265,0.158
05/27,0.231,0.27,0.24,0.144,0.234,0.183,0.29,0.11,0.238,0.256,0.091,0.215,0.073,0.183,0.164,0.131,0.228,0.09,0.268,0.216,0.27,0.162
05/28,0.25,0.295,0.263,0.159,0.253,0.204,0.298,0.12,0.257,0.278,0.097,0.235,0.079,0.199,0.179,0.145,0.248,0.098,0.292,0.238,0.295,0.178
05/29,0.228,0.27,0.244,0.15,0.225,0.192,0.296,0.115,0.235,0.257,0.111,0.217,0.077,0.184,0.171,0.137,0.232,0.095,0.268,0.222,0.27,0.165
05/30,0.229,0.269,0.246,0.148,0.221,0.195,0.289,0.118,0.232,0.255,0.11,0.215,0.08,0.184,0.172,0.145,0.235,0.095,0.268,0.228,0.269,0.168
05/31,0.226,0.266,0.245,0.147,0.211,0.198,0.29,0.118,0.23,0.252,0.113,0.213,0.085,0.182,0.174,0.148,0.233,0.096,0.265,0.226,0.266,0.166
06/01,0.237,0.278,0.258,0.155,0.218,0.209,0.303,0.128,0.238,0.264,0.124,0.222,0.093,0.189,0.188,0.159,0.245,0.1,0.277,0.238,0.278,0.174
06/02,0.268,0.315,0.292,0.176,0.241,0.237,0.326,0.145,0.269,0.296,0.138,0.252,0.108,0.213,0.213,0.183,0.278,0.112,0.313,0.267,0.315,0.199
06/03,0.252,0.297,0.276,0.168,0.223,0.226,0.313,0.139,0.253,0.28,0.128,0.238,0.105,0.201,0.202,0.177,0.265,0.108,0.295,0.255,0.297,0.189
06/04,0.245,0.288,0.271,0.163,0.211,0.221,0.317,0.14,0.244,0.271,0.133,0.231,0.108,0.195,0.199,0.179,0.258,0.106,0.286,0.247,0.287,0.186
06/05,0.252,0.296,0.278,0.168,0.211,0.232,0.316,0.147,0.248,0.279,0.146,0.237,0.116,0.201,0.211,0.188,0.268,0.113,0.295,0.258,0.295,0.192
06/06,0.257,0.303,0.286,0.173,0.207,0.235,0.314,0.154,0.253,0.284,0.154,0.242,0.122,0.206,0.218,0.196,0.275,0.118,0.302,0.262,0.302,0.195
06/07,0.268,0.315,0.298,0.183,0.212,0.245,0.323,0.164,0.262,0.295,0.165,0.252,0.134,0.214,0.227,0.208,0.287,0.125,0.314,0.27,0.312,0.205
06/08,0.252,0.296,0.281,0.175,0.185,0.239,0.318,0.161,0.245,0.278,0.173,0.238,0.129,0.201,0.224,0.207,0.272,0.122,0.295,0.266,0.292,0.192
06/09,0.219,0.258,0.246,0.157,0.155,0.206,0.267,0.145,0.212,0.242,0.155,0.206,0.119,0.175,0.195,0.183,0.238,0.11,0.257,0.229,0.253,0.168
06/10,0.248,0.29,0.277,0.174,0.166,0.234,0.303,0.163,0.238,0.271,0.174,0.231,0.138,0.197,0.221,0.208,0.268,0.124,0.289,0.259,0.285,0.189
06/11,0.248,0.292,0.278,0.175,0.164,0.235,0.297,0.165,0.239,0.272,0.172,0.235,0.143,0.198,0.225,0.211,0.27,0.126,0.291,0.26,0.285,0.191
06/12,0.245,0.288,0.278,0.178,0.154,0.235,0.308,0.169,0.235,0.268,0.18,0.232,0.147,0.195,0.223,0.213,0.268,0.128,0.288,0.258,0.28,0.189
06/13,0.287,0.337,0.321,0.2,0.179,0.272,0.35,0.195,0.274,0.316,0.2,0.269,0.175,0.229,0.261,0.246,0.313,0.147,0.336,0.298,0.33,0.219
06/14,0.253,0.297,0.284,0.18,0.146,0.242,0.306,0.179,0.24,0.278,0.184,0.237,0.158,0.202,0.235,0.225,0.277,0.136,0.296,0.265,0.287,0.193
06/15,0.229,0.268,0.256,0.165,0.128,0.218,0.266,0.162,0.216,0.249,0.163,0.215,0.149,0.18,0.212,0.205,0.251,0.123,0.268,0.239,0.255,0.177
06/16,0.237,0.279,0.267,0.173,0.129,0.228,0.278,0.175,0.226,0.26,0.176,0.225,0.157,0.189,0.223,0.216,0.263,0.135,0.279,0.252,0.265,0.182
06/17,0.264,0.31,0.297,0.192,0.138,0.257,0.309,0.198,0.249,0.288,0.198,0.248,0.18,0.209,0.251,0.245,0.294,0.152,0.31,0.284,0.292,0.202
06/18,0.248,0.292,0.28,0.184,0.126,0.243,0.317,0.192,0.235,0.272,0.209,0.234,0.172,0.198,0.239,0.238,0.276,0.149,0.292,0.271,0.27,0.191
06/19,0.262,0.308,0.295,0.196,0.125,0.253,0.329,0.208,0.248,0.285,0.227,0.247,0.187,0.21,0.254,0.253,0.291,0.162,0.308,0.281,0.282,0.201
06/20,0.266,0.313,0.302,0.202,0.12,0.259,0.332,0.218,0.252,0.291,0.239,0.252,0.195,0.213,0.262,0.262,0.295,0.169,0.313,0.285,0.285,0.205
06/21,0.265,0.312,0.299,0.198,0.118,0.258,0.328,0.216,0.252,0.288,0.237,0.252,0.194,0.211,0.262,0.264,0.295,0.171,0.312,0.286,0.282,0.202
06/22,0.269,0.316,0.305,0.205,0.116,0.262,0.347,0.225,0.255,0.293,0.258,0.255,0.198,0.215,0.269,0.271,0.298,0.177,0.316,0.29,0.275,0.206
06/23,0.281,0.331,0.319,0.215,0.121,0.273,0.366,0.241,0.265,0.306,0.275,0.265,0.209,0.225,0.282,0.285,0.312,0.189,0.331,0.302,0.279,0.215
06/24,0.268,0.315,0.305,0.208,0.112,0.263,0.342,0.235,0.253,0.29,0.262,0.253,0.202,0.215,0.271,0.277,0.298,0.184,0.315,0.29,0.261,0.205
06/25,0.262,0.308,0.298,0.205,0.106,0.257,0.337,0.232,0.248,0.285,0.262,0.248,0.198,0.209,0.266,0.271,0.292,0.184,0.307,0.285,0.246,0.201
06/26,0.262,0.308,0.299,0.208,0.103,0.258,0.353,0.24,0.248,0.285,0.28,0.248,0.199,0.211,0.269,0.276,0.293,0.192,0.306,0.287,0.237,0.201
06/27,0.276,0.326,0.316,0.222,0.109,0.272,0.363,0.256,0.261,0.301,0.29,0.261,0.21,0.222,0.286,0.294,0.308,0.207,0.324,0.303,0.242,0.212
06/28,0.288,0.338,0.33,0.228,0.112,0.284,0.358,0.268,0.272,0.312,0.292,0.272,0.22,0.229,0.299,0.305,0.321,0.22,0.334,0.315,0.248,0.221
06/29,0.288,0.338,0.329,0.23,0.111,0.284,0.353,0.272,0.269,0.309,0.291,0.269,0.22,0.228,0.301,0.305,0.321,0.223,0.329,0.315,0.236,0.22
06/30,0.288,0.338,0.329,0.232,0.109,0.282,0.365,0.275,0.27,0.309,0.304,0.27,0.219,0.228,0.3,0.308,0.32,0.227,0.324,0.314,0.227,0.219
07/01,0.288,0.338,0.329,0.238,0.095,0.283,0.35,0.278,0.269,0.309,0.297,0.269,0.219,0.228,0.303,0.308,0.319,0.232,0.321,0.314,0.21,0.219
07/02,0.285,0.334,0.326,0.235,0.107,0.281,0.337,0.282,0.267,0.305,0.288,0.267,0.218,0.227,0.305,0.307,0.316,0.235,0.314,0.312,0.212,0.218
07/03,0.29,0.34,0.332,0.242,0.107,0.286,0.34,0.292,0.272,0.311,0.295,0.272,0.221,0.231,0.311,0.312,0.322,0.244,0.314,0.318,0.209,0.221
07/04,0.278,0.326,0.319,0.235,0.103,0.275,0.331,0.285,0.259,0.299,0.289,0.259,0.212,0.22,0.3,0.3,0.311,0.236,0.298,0.307,0.196,0.212
07/05,0.285,0.335,0.328,0.243,0.097,0.282,0.342,0.294,0.268,0.308,0.299,0.268,0.217,0.226,0.312,0.307,0.317,0.248,0.3,0.313,0.182,0.217
07/06,0.293,0.345,0.339,0.258,0.121,0.29,0.36,0.308,0.276,0.315,0.317,0.276,0.225,0.235,0.322,0.318,0.327,0.262,0.303,0.323,0.19,0.225
07/07,0.292,0.341,0.336,0.254,0.117,0.288,0.342,0.305,0.272,0.312,0.306,0.272,0.222,0.23,0.322,0.315,0.323,0.262,0.298,0.318,0.185,0.222
07/08,0.286,0.336,0.332,0.255,0.109,0.284,0.34,0.307,0.269,0.305,0.311,0.269,0.218,0.228,0.322,0.312,0.318,0.265,0.28,0.315,0.174,0.218
07/09,0.28,0.328,0.325,0.255,0.099,0.278,0.338,0.306,0.263,0.298,0.311,0.263,0.215,0.225,0.316,0.305,0.312,0.267,0.26,0.308,0.159,0.215
07/10,0.282,0.332,0.328,0.257,0.041,0.281,0.337,0.309,0.265,0.301,0.31,0.265,0.217,0.225,0.32,0.308,0.315,0.272,0.256,0.313,0.155,0.217
07/11,0.288,0.338,0.336,0.265,0.2,0.287,0.347,0.318,0.27,0.308,0.321,0.27,0.221,0.23,0.332,0.315,0.322,0.282,0.253,0.319,0.153,0.221
07/12,0.268,0.314,0.312,0.248,0.16,0.266,0.331,0.301,0.252,0.285,0.313,0.252,0.203,0.212,0.309,0.292,0.297,0.265,0.225,0.295,0.139,0.203
07/13,0.277,0.325,0.323,0.256,0.185,0.276,0.329,0.312,0.26,0.295,0.308,0.26,0.212,0.22,0.325,0.303,0.308,0.278,0.232,0.306,0.139,0.212
07/14,0.274,0.324,0.322,0.263,0.18,0.273,0.344,0.315,0.258,0.295,0.327,0.258,0.21,0.218,0.325,0.302,0.306,0.285,0.216,0.304,0.126,0.21
07/15,0.295,0.345,0.345,0.283,0.105,0.294,0.363,0.338,0.275,0.312,0.346,0.275,0.223,0.234,0.352,0.321,0.327,0.308,0.197,0.325,0.055,0.223
07/16,0.286,0.336,0.335,0.277,0.23,0.285,0.351,0.331,0.268,0.303,0.337,0.268,0.219,0.228,0.344,0.311,0.319,0.302,0.246,0.318,0.203,0.219
07/17,0.281,0.331,0.329,0.274,0.31,0.281,0.342,0.328,0.266,0.298,0.329,0.266,0.214,0.225,0.338,0.308,0.313,0.302,0.235,0.312,0.187,0.214
07/18,0.268,0.316,0.315,0.265,0.33,0.268,0.335,0.313,0.252,0.286,0.326,0.252,0.205,0.215,0.325,0.295,0.298,0.292,0.215,0.298,0.183,0.205
07/19,0.278,0.328,0.328,0.278,0.27,0.278,0.348,0.328,0.262,0.295,0.34,0.262,0.213,0.222,0.342,0.305,0.311,0.308,0.208,0.309,0.173,0.213
07/20,0.281,0.329,0.329,0.279,0.27,0.281,0.338,0.329,0.262,0.295,0.332,0.262,0.213,0.224,0.345,0.306,0.29,0.312,0.199,0.288,0.117,0.213
07/21,0.272,0.322,0.322,0.273,0.3,0.272,0.331,0.322,0.258,0.288,0.327,0.258,0.21,0.218,0.338,0.297,0.307,0.307,0.213,0.305,0.37,0.21
07/22,0.274,0.322,0.322,0.274,0.35,0.273,0.322,0.322,0.258,0.288,0.318,0.258,0.209,0.218,0.338,0.297,0.307,0.31,0.21,0.305,0.36,0.209
07/23,0.271,0.319,0.319,0.275,0.34,0.271,0.326,0.319,0.256,0.286,0.326,0.256,0.208,0.218,0.337,0.293,0.3,0.31,0.203,0.298,0.32,0.208
07/24,0.275,0.322,0.322,0.282,0.28,0.274,0.331,0.322,0.257,0.289,0.332,0.257,0.211,0.216,0.341,0.295,0.307,0.316,0.184,0.306,0.34,0.211
07/25,0.264,0.309,0.309,0.273,0.29,0.264,0.32,0.309,0.248,0.278,0.324,0.248,0.201,0.209,0.329,0.284,0.227,0.307,0.122,0.226,0.36,0.201
