# Station Code,wrdo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:41
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,CHRY,LAWN,ONYN,PAST,POTA,PPMT,SGRN,WGRN,WGRP
03/31,0.04,0.04,,,,,0.06,,0.049,,,,0.067,
04/01,0.03,0.03,,,,,0.058,,0.046,,,,0.057,
04/02,0.037,0.037,,,,,0.072,,0.056,,,,0.058,
04/03,0.04,0.04,,,,,0.08,,0.057,,,,0.067,
04/04,0.033,0.033,,,,,0.063,,0.046,,,,0.058,
04/05,0.043,0.043,,,,,0.055,,0.049,,,,0.065,
04/06,0.057,0.057,,,,,0.065,,0.054,,,,0.076,
04/07,0.07,0.07,,,,,0.077,,0.062,,,,0.091,
04/08,0.077,0.077,,,,,0.08,,0.068,,,,0.098,
04/09,0.083,0.083,,,,,0.089,,0.072,,,,0.111,
04/10,0.053,0.053,,,,,0.077,,0.068,,,,0.093,
04/11,0.047,0.047,,,,,0.066,,0.056,,,,0.074,
04/12,0.056,0.056,,,,,0.084,,0.067,,,,0.093,
04/13,0.056,0.056,,,,,0.093,,0.072,,,,0.1,
04/14,0.057,0.057,,,,,0.086,,0.066,,,,0.089,
04/15,0.054,0.054,,,,,0.078,,0.06,,,,0.085,
04/16,0.064,0.064,,,,,0.095,,0.073,,,,0.102,
04/17,0.072,0.072,,,,,0.101,,0.077,,,,0.106,
04/18,0.083,0.083,,,,,0.111,,0.085,,,,0.117,
04/19,0.085,0.085,,,,,0.11,,0.085,,,,0.116,
04/20,0.071,0.071,,,,,0.101,,0.077,,,,0.108,
04/21,0.095,0.096,,,,,0.129,,0.098,,,,0.134,
04/22,0.087,0.087,,,,,0.124,,0.092,,,,0.128,
04/23,0.098,0.099,,,,,0.131,,0.093,,,,0.135,
04/24,0.097,0.098,,,,,0.12,,0.092,,,,0.126,
04/25,0.093,0.093,,,,,0.116,,0.088,,,,0.121,0.025
04/26,0.109,0.111,,,,,0.132,,0.098,,,,0.14,0.03
04/27,0.118,0.12,,,,,0.142,,0.107,,,,0.15,0.03
04/28,0.119,0.122,,,,,0.145,,0.111,,,,0.155,0.025
04/29,0.13,0.134,,,,,0.151,,0.113,,,,0.161,0.03
04/30,0.147,0.153,,,,,0.166,,0.128,,,,0.183,0.033
05/01,0.148,0.156,0.04,,,,0.165,0.08,0.129,,0.037,,0.182,0.037
05/02,0.135,0.143,0.03,,,,0.152,0.06,0.12,,0.035,,0.169,0.027
05/03,0.14,0.146,0.035,,,,0.155,0.04,0.122,,0.033,,0.172,0.037
05/04,0.152,0.158,0.045,,,,0.168,0.04,0.135,,0.035,,0.188,0.043
05/05,0.137,0.141,0.035,,,0.035,0.147,0.04,0.118,,0.022,,0.165,0.034
05/06,0.148,0.157,0.05,,,0.045,0.154,0.055,0.125,,0.033,,0.177,0.039
05/07,0.151,0.161,0.045,,,0.045,0.154,0.07,0.125,,0.03,,0.178,0.036
05/08,0.146,0.156,0.045,,,0.04,0.155,0.065,0.126,,0.033,,0.182,0.037
05/09,0.165,0.177,0.045,,,0.045,0.168,0.07,0.139,,0.033,,0.198,0.04
05/10,0.17,0.181,0.047,,,0.044,0.167,0.069,0.139,,0.037,0.02,0.198,0.038
05/11,0.17,0.183,0.042,,,0.041,0.158,0.07,0.129,,0.035,0.03,0.188,0.036
05/12,0.172,0.187,0.043,,,0.043,0.164,0.078,0.136,,0.038,0.03,0.195,0.038
05/13,0.188,0.206,0.045,,,0.044,0.176,0.085,0.146,,0.038,0.03,0.21,0.043
05/14,0.174,0.189,0.045,,,0.043,0.166,0.087,0.138,,0.039,0.04,0.2,0.042
05/15,0.175,0.193,0.048,,,0.045,0.163,0.093,0.137,,0.042,0.05,0.198,0.045
05/16,0.158,0.173,0.045,,,0.043,0.148,0.092,0.125,,0.039,0.05,0.182,0.043
05/17,0.173,0.191,0.05,,,0.048,0.162,0.099,0.135,,0.045,0.05,0.197,0.045
05/18,0.163,0.182,0.047,,,0.047,0.148,0.092,0.125,,0.044,0.05,0.183,0.045
05/19,0.166,0.188,0.052,,,0.052,0.152,0.096,0.129,,0.04,0.05,0.187,0.048
05/20,0.167,0.19,0.055,,,0.055,0.152,0.093,0.13,,0.041,0.05,0.188,0.052
05/21,0.168,0.192,0.059,,,0.06,0.155,0.096,0.131,,0.046,0.055,0.192,0.052
05/22,0.166,0.193,0.061,,,0.063,0.151,0.093,0.128,,0.045,0.055,0.186,0.053
05/23,0.176,0.204,0.068,,,0.073,0.165,0.102,0.139,,0.052,0.06,0.203,0.064
05/24,0.181,0.211,0.079,,,0.082,0.171,0.107,0.146,,0.056,0.065,0.212,0.069
05/25,0.169,0.197,0.08,0.06,,0.082,0.162,0.107,0.138,,0.058,0.045,0.202,0.069
05/26,0.169,0.198,0.085,0.05,,0.088,0.163,0.106,0.139,,0.062,0.045,0.203,0.072
05/27,0.163,0.19,0.082,0.03,,0.09,0.158,0.102,0.134,,0.062,0.042,0.196,0.072
05/28,0.176,0.207,0.095,0.03,,0.103,0.167,0.11,0.142,,0.069,0.046,0.208,0.082
05/29,0.195,0.229,0.111,0.04,,0.118,0.186,0.119,0.157,,0.077,0.051,0.23,0.095
05/30,0.188,0.22,0.11,0.04,,0.118,0.178,0.117,0.151,,0.079,0.052,0.222,0.095
05/31,0.189,0.221,0.113,0.05,,0.122,0.178,0.117,0.152,,0.083,0.053,0.223,0.098
06/01,0.191,0.223,0.119,0.043,0.035,0.129,0.175,0.11,0.148,,0.086,0.059,0.218,0.101
06/02,0.207,0.243,0.138,0.05,0.045,0.145,0.193,0.12,0.163,,0.097,0.066,0.24,0.116
06/03,0.207,0.244,0.145,0.048,0.04,0.154,0.195,0.122,0.165,,0.102,0.07,0.242,0.122
06/04,0.206,0.243,0.146,0.053,0.035,0.155,0.191,0.119,0.162,,0.105,0.074,0.238,0.123
06/05,0.212,0.248,0.158,0.058,0.055,0.165,0.202,0.128,0.173,0.093,0.118,0.085,0.253,0.135
06/06,0.196,0.228,0.148,0.058,0.054,0.154,0.188,0.119,0.158,0.09,0.117,0.09,0.235,0.127
06/07,0.187,0.22,0.149,0.058,0.05,0.155,0.181,0.116,0.155,0.09,0.115,0.1,0.227,0.127
06/08,0.194,0.228,0.155,0.062,0.054,0.161,0.186,0.119,0.157,0.087,0.122,0.114,0.233,0.134
06/09,0.194,0.228,0.162,0.064,0.056,0.168,0.19,0.12,0.163,0.09,0.128,0.128,0.238,0.142
06/10,0.194,0.228,0.164,0.052,0.055,0.17,0.186,0.119,0.159,0.073,0.131,0.138,0.232,0.141
06/11,0.198,0.233,0.173,0.057,0.056,0.18,0.191,0.123,0.162,0.082,0.138,0.152,0.238,0.148
06/12,0.208,0.245,0.184,0.058,0.061,0.19,0.203,0.132,0.171,0.082,0.148,0.168,0.252,0.159
06/13,0.203,0.24,0.189,0.062,0.063,0.194,0.2,0.129,0.169,0.078,0.151,0.176,0.249,0.158
06/14,0.205,0.242,0.195,0.064,0.062,0.197,0.2,0.131,0.169,0.08,0.155,0.188,0.25,0.159
06/15,0.195,0.231,0.192,0.062,0.062,0.193,0.192,0.125,0.162,0.075,0.154,0.191,0.24,0.155
06/16,0.198,0.233,0.195,0.064,0.062,0.197,0.191,0.128,0.162,0.076,0.157,0.197,0.239,0.155
06/17,0.197,0.233,0.196,0.066,0.062,0.197,0.192,0.128,0.162,0.076,0.159,0.203,0.238,0.156
06/18,0.2,0.235,0.204,0.071,0.065,0.205,0.195,0.135,0.165,0.082,0.17,0.212,0.243,0.159
06/19,0.214,0.253,0.218,0.081,0.072,0.218,0.206,0.144,0.177,0.086,0.185,0.229,0.258,0.167
06/20,0.21,0.246,0.21,0.082,0.069,0.21,0.198,0.14,0.168,0.083,0.18,0.224,0.247,0.161
06/21,0.233,0.273,0.238,0.098,0.079,0.238,0.221,0.162,0.189,0.095,0.207,0.258,0.278,0.181
06/22,0.223,0.263,0.231,0.099,0.076,0.232,0.212,0.159,0.18,0.093,0.202,0.25,0.265,0.172
06/23,0.226,0.267,0.236,0.106,0.081,0.238,0.216,0.165,0.183,0.098,0.209,0.256,0.27,0.175
06/24,0.21,0.248,0.225,0.106,0.078,0.225,0.203,0.158,0.171,0.094,0.202,0.244,0.254,0.165
06/25,0.195,0.231,0.216,0.11,0.079,0.216,0.194,0.155,0.163,0.092,0.193,0.234,0.242,0.158
06/26,0.215,0.253,0.237,0.128,0.086,0.237,0.212,0.174,0.18,0.104,0.218,0.255,0.265,0.172
06/27,0.235,0.277,0.252,0.142,0.094,0.252,0.225,0.188,0.19,0.115,0.234,0.272,0.28,0.183
06/28,0.217,0.254,0.229,0.135,0.088,0.23,0.204,0.178,0.175,0.108,0.215,0.252,0.255,0.167
06/29,0.218,0.256,0.239,0.147,0.093,0.239,0.212,0.187,0.179,0.113,0.225,0.262,0.263,0.172
06/30,0.233,0.274,0.254,0.162,0.105,0.255,0.224,0.201,0.191,0.126,0.24,0.28,0.279,0.184
07/01,0.238,0.278,0.258,0.172,0.109,0.259,0.225,0.208,0.193,0.132,0.244,0.283,0.282,0.184
07/02,0.234,0.277,0.261,0.18,0.113,0.261,0.227,0.212,0.192,0.136,0.248,0.284,0.281,0.185
07/03,0.229,0.268,0.252,0.18,0.113,0.253,0.22,0.208,0.185,0.137,0.241,0.275,0.27,0.177
07/04,0.238,0.281,0.265,0.196,0.122,0.266,0.228,0.221,0.195,0.145,0.255,0.286,0.281,0.188
07/05,0.251,0.294,0.274,0.211,0.13,0.274,0.233,0.231,0.198,0.153,0.262,0.293,0.288,0.191
07/06,0.246,0.291,0.273,0.218,0.134,0.274,0.234,0.235,0.198,0.158,0.261,0.292,0.282,0.19
07/07,0.239,0.283,0.265,0.218,0.136,0.266,0.225,0.229,0.192,0.158,0.254,0.282,0.27,0.185
07/08,0.227,0.266,0.244,0.206,0.129,0.244,0.205,0.211,0.175,0.148,0.232,0.257,0.247,0.168
07/09,0.233,0.276,0.261,0.225,0.142,0.262,0.219,0.23,0.187,0.164,0.25,0.274,0.257,0.178
07/10,0.238,0.281,0.262,0.232,0.145,0.262,0.218,0.235,0.185,0.168,0.251,0.273,0.255,0.178
07/11,0.239,0.279,0.265,0.239,0.151,0.267,0.219,0.238,0.188,0.176,0.255,0.275,0.254,0.181
07/12,0.247,0.288,0.275,0.254,0.162,0.277,0.228,0.254,0.194,0.188,0.265,0.285,0.26,0.188
07/13,0.238,0.279,0.264,0.247,0.16,0.267,0.22,0.248,0.188,0.187,0.256,0.275,0.241,0.178
07/14,0.233,0.273,0.261,0.249,0.162,0.265,0.218,0.248,0.186,0.188,0.255,0.272,0.235,0.177
07/15,0.252,0.295,0.283,0.274,0.18,0.288,0.239,0.275,0.202,0.214,0.278,0.296,0.248,0.193
07/16,0.25,0.294,0.284,0.277,0.186,0.288,0.237,0.278,0.202,0.22,0.279,0.296,0.241,0.193
07/17,0.255,0.299,0.292,0.284,0.195,0.294,0.24,0.285,0.204,0.226,0.285,0.301,0.235,0.196
07/18,0.239,0.281,0.275,0.268,0.19,0.278,0.228,0.272,0.193,0.219,0.268,0.285,0.213,0.186
07/19,0.246,0.288,0.283,0.276,0.2,0.285,0.233,0.278,0.198,0.23,0.275,0.292,0.209,0.188
07/20,0.254,0.3,0.293,0.285,0.212,0.295,0.24,0.288,0.204,0.242,0.285,0.302,0.208,0.195
07/21,0.253,0.297,0.292,0.284,0.215,0.292,0.238,0.288,0.202,0.243,0.284,0.298,0.201,0.195
07/22,0.255,0.3,0.291,0.283,0.224,0.292,0.238,0.291,0.201,0.245,0.283,0.298,0.194,0.194
07/23,0.249,0.293,0.286,0.278,0.222,0.286,0.233,0.285,0.197,0.244,0.278,0.291,0.18,0.19
07/24,0.228,0.268,0.265,0.259,0.214,0.265,0.216,0.263,0.185,0.229,0.259,0.27,0.158,0.177
07/25,0.238,0.279,0.278,0.27,0.231,0.278,0.226,0.276,0.192,0.244,0.27,0.282,0.137,0.185
07/26,0.242,0.283,0.278,0.272,0.238,0.278,0.226,0.278,0.192,0.246,0.272,0.283,0.168,0.185
07/27,0.22,0.258,0.253,0.248,0.224,0.253,0.205,0.253,0.175,0.225,0.248,0.258,0.149,0.168
07/28,0.234,0.276,0.273,0.266,0.248,0.273,0.222,0.274,0.188,0.246,0.266,0.278,0.153,0.182
07/29,0.238,0.278,0.278,0.271,0.258,0.278,0.225,0.279,0.192,0.253,0.271,0.283,0.141,0.185
07/30,0.235,0.278,0.276,0.267,0.262,0.276,0.225,0.277,0.192,0.253,0.267,0.281,0.13,0.183
07/31,0.223,0.26,0.261,0.254,0.252,0.261,0.212,0.262,0.181,0.242,0.254,0.265,0.113,0.172
08/01,0.23,0.268,0.269,0.263,0.265,0.269,0.218,0.271,0.187,0.251,0.263,0.274,0.089,0.178
08/02,0.231,0.271,0.262,0.255,0.258,0.262,0.215,0.264,0.182,0.245,0.255,0.267,0.124,0.173
08/03,0.224,0.264,0.255,0.248,0.252,0.255,0.208,0.257,0.176,0.238,0.248,0.259,0.109,0.169
08/04,0.223,0.263,0.257,0.25,0.262,0.257,0.209,0.259,0.177,0.241,0.25,0.261,0.101,0.171
08/05,0.203,0.238,0.238,0.23,0.241,0.238,0.192,0.239,0.164,0.222,0.23,0.24,0.037,0.157
08/06,0.204,0.241,0.242,0.231,0.242,0.242,0.194,0.241,0.165,0.225,0.232,0.242,0.11,0.159
08/07,0.214,0.251,0.254,0.242,0.254,0.254,0.203,0.253,0.175,0.235,0.243,0.251,0.095,0.165
08/08,0.218,0.257,0.256,0.243,0.256,0.256,0.206,0.255,0.175,0.235,0.245,0.252,0.095,0.167
08/09,0.211,0.248,0.247,0.232,0.247,0.247,0.197,0.246,0.168,0.229,0.236,0.236,0.105,0.16
08/10,0.214,0.25,0.248,0.228,0.248,0.248,0.199,0.247,0.169,0.228,0.237,0.231,0.06,0.161
08/11,0.208,0.245,0.248,0.226,0.248,0.248,0.198,0.248,0.169,0.232,0.237,0.227,0.09,0.162
08/12,0.217,0.254,0.257,0.232,0.257,0.257,0.206,0.256,0.175,0.238,0.246,0.224,0.09,0.167
08/13,0.211,0.246,0.253,0.227,0.253,0.253,0.203,0.253,0.172,0.234,0.242,0.207,0.08,0.166
08/14,0.207,0.244,0.245,0.213,0.245,0.245,0.196,0.245,0.165,0.226,0.235,0.187,0.08,0.16
08/15,0.223,0.263,0.262,0.223,0.262,0.262,0.209,0.262,0.178,0.242,0.249,0.187,0.0,0.171
08/16,0.224,0.263,0.265,0.222,0.265,0.265,0.213,0.265,0.182,0.246,0.253,0.18,,0.174
08/17,0.204,0.238,0.242,0.198,0.242,0.242,0.193,0.241,0.165,0.225,0.232,0.154,,0.158
08/18,0.205,0.24,0.242,0.192,0.242,0.242,0.193,0.238,0.165,0.224,0.232,0.147,,0.158
08/19,0.224,0.263,0.268,0.207,0.268,0.268,0.214,0.262,0.183,0.248,0.256,0.145,,0.173
08/20,0.213,0.248,0.252,0.188,0.252,0.252,0.202,0.244,0.171,0.233,0.242,0.117,,0.166
08/21,0.187,0.22,0.224,0.162,0.224,0.224,0.18,0.214,0.152,0.208,0.214,0.101,,0.147
08/22,0.187,0.219,0.222,0.155,0.222,0.217,0.177,0.21,0.151,0.205,0.212,0.092,,0.143
08/23,0.19,0.223,0.225,0.154,0.225,0.22,0.181,0.206,0.153,0.208,0.215,0.084,,0.148
08/24,0.188,0.222,0.225,0.147,0.225,0.217,0.181,0.202,0.152,0.208,0.215,0.075,,0.147
08/25,0.2,0.234,0.238,0.149,0.238,0.228,0.19,0.205,0.161,0.217,0.228,0.009,,0.155
08/26,0.205,0.241,0.245,0.145,0.245,0.232,0.195,0.204,0.164,0.223,0.235,0.11,,0.16
08/27,0.208,0.244,0.245,0.139,0.245,0.229,0.196,0.198,0.165,0.222,0.235,0.11,,0.16
08/28,0.201,0.237,0.238,0.128,0.238,0.221,0.191,0.185,0.158,0.214,0.228,0.09,,0.156
08/29,0.211,0.248,0.249,0.125,0.251,0.227,0.199,0.185,0.167,0.225,0.241,0.08,,0.164
08/30,0.198,0.233,0.228,0.105,0.229,0.205,0.185,0.16,0.152,0.206,0.219,0.0,,0.151
08/31,0.189,0.222,0.215,0.096,0.22,0.195,0.178,0.145,0.146,0.195,0.212,,,0.145
09/01,0.186,0.218,0.214,0.068,0.218,0.192,0.177,0.098,0.145,0.193,0.21,,,0.145
09/02,0.203,0.24,0.225,0.088,0.235,0.203,0.19,0.138,0.156,0.208,0.226,,,0.156
09/03,0.191,0.223,0.21,0.082,0.216,0.191,0.178,0.129,0.145,0.192,0.212,,,0.145
09/04,0.188,0.222,0.202,0.074,0.209,0.185,0.174,0.118,0.142,0.185,0.208,,,0.142
09/05,0.192,0.226,0.202,0.01,0.211,0.182,0.178,0.019,0.144,0.188,0.044,,,0.144
09/06,0.182,0.213,0.193,0.08,0.202,0.175,0.168,0.13,0.136,0.179,0.173,,,0.137
09/07,0.19,0.223,0.198,0.07,0.211,0.179,0.177,0.09,0.142,0.186,0.177,,,0.145
09/08,0.193,0.226,0.201,0.07,0.215,0.183,0.182,0.13,0.144,0.188,0.18,,,0.148
09/09,0.203,0.239,0.208,0.08,0.225,0.192,0.191,0.12,0.151,0.197,0.183,,,0.156
09/10,0.173,0.205,0.178,0.0,0.195,0.161,0.168,0.0,0.132,0.171,0.0,,,0.136
09/11,0.174,0.206,0.178,,0.192,0.162,0.165,,0.131,0.168,,,,0.133
09/12,0.164,0.193,0.163,,0.182,0.149,0.158,,0.123,0.162,,,,0.129
09/13,0.172,0.203,0.162,,0.185,0.145,0.163,,0.126,0.164,,,,0.132
09/14,0.175,0.204,0.149,,0.176,0.13,0.156,,0.12,0.155,,,,0.125
09/15,0.186,0.219,0.158,,0.188,0.138,0.167,,0.128,0.167,,,,0.135
09/16,0.163,0.191,0.132,,0.162,0.118,0.145,,0.111,0.141,,,,0.119
09/17,0.166,0.194,0.136,,0.167,0.12,0.152,,0.114,0.145,,,,0.124
09/18,0.133,0.156,0.109,,0.138,0.097,0.124,,0.092,0.12,,,,0.102
09/19,0.134,0.158,0.109,,0.142,0.096,0.128,,0.093,0.122,,,,0.105
09/20,0.139,0.163,0.112,,0.145,0.075,0.135,,0.095,0.123,,,,0.095
09/21,0.131,0.152,0.099,,0.137,0.111,0.125,,0.086,0.115,,,,0.105
09/22,0.133,0.156,0.098,,0.137,0.11,0.128,,0.085,0.115,,,,0.104
09/23,0.142,0.168,0.101,,0.144,0.113,0.135,,0.088,0.118,,,,0.107
09/24,0.14,0.166,0.095,,0.141,0.107,0.134,,0.083,0.115,,,,0.111
09/25,0.141,0.165,0.091,,0.14,0.077,0.135,,0.082,0.112,,,,0.081
09/26,0.133,0.156,0.084,,0.132,0.093,0.126,,0.075,0.101,,,,0.1
09/27,0.145,0.171,0.085,,0.138,0.087,0.136,,0.078,0.105,,,,0.101
09/28,0.13,0.152,0.075,,0.125,0.085,0.122,,0.069,0.094,,,,0.096
09/29,0.128,0.15,0.074,,0.126,0.093,0.124,,0.068,0.088,,,,0.104
09/30,0.015,0.017,0.038,,0.112,0.083,0.013,,0.008,0.031,,,,0.07
10/01,0.11,0.13,0.063,,0.103,0.063,0.1,,0.07,0.086,,,,0.083
10/02,0.04,0.05,0.063,,0.103,0.063,0.04,,0.03,0.084,,,,0.093
10/03,0.03,0.03,0.053,,0.102,0.053,0.02,,0.01,0.074,,,,0.08
10/04,0.07,0.08,0.055,,0.106,0.055,0.06,,0.04,0.07,,,,0.09
10/05,0.07,0.08,0.0,,0.102,0.0,0.06,,0.04,0.026,,,,0.0
10/06,0.08,0.09,,,0.108,,0.07,,0.04,0.06,,,,
10/07,0.09,0.11,,,0.105,,0.09,,0.05,0.06,,,,
10/08,0.12,0.14,,,0.101,,0.11,,0.06,0.045,,,,
10/09,0.12,0.14,,,0.101,,0.11,,0.06,0.06,,,,
10/10,0.0,0.0,,,0.093,,0.0,,0.0,0.0,,,,
10/11,,,,,0.089,,,,,,,,,
10/12,,,,,0.083,,,,,,,,,
10/13,,,,,0.103,,,,,,,,,
10/14,,,,,0.089,,,,,,,,,
10/15,,,,,0.0,,,,,,,,,
