# Station Code,hrmo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BLGR,FCRN,HAYM,HAYP,LAWN,MELN,ONYN,PAST,PEAS,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
03/04,0.023,0.023,0.02,,0.041,,0.09,0.087,0.037,,0.035,0.034,,,,0.01,,0.014,0.047,
03/05,0.024,0.024,0.03,,0.044,,0.084,0.08,0.04,,0.03,0.039,,,0.02,0.02,,0.018,0.048,
03/06,0.028,0.028,0.03,,0.043,,0.064,0.064,0.051,,0.036,0.042,,,0.02,0.03,,0.018,0.051,
03/07,0.034,0.034,0.02,,0.049,,0.074,0.074,0.058,,0.042,0.047,,,0.025,0.03,,0.022,0.058,
03/08,0.024,0.024,0.02,,0.038,,0.046,0.046,0.042,,0.028,0.033,,,0.015,0.04,,0.016,0.042,
03/09,0.036,0.036,0.02,,0.053,,0.07,0.07,0.059,,0.044,0.043,,,0.02,0.03,,0.019,0.056,
03/10,0.034,0.034,0.025,,0.047,,0.068,0.068,0.045,,0.044,0.039,,,0.017,0.022,,0.022,0.062,
03/11,0.036,0.036,0.018,,0.047,,0.083,0.083,0.043,,0.036,0.038,,,0.017,0.027,,0.02,0.062,
03/12,0.038,0.038,0.02,,0.052,,0.083,0.083,0.048,,0.054,0.041,,,0.019,0.023,,0.022,0.065,
03/13,0.044,0.044,0.025,,0.061,,0.097,0.097,0.055,,0.06,0.048,,,0.017,0.025,,0.024,0.075,
03/14,0.041,0.041,0.022,,0.051,,0.063,0.063,0.052,,0.058,0.042,,,0.016,0.022,,0.021,0.065,
03/15,0.034,0.034,0.016,,0.049,,0.087,0.083,0.047,,0.036,0.04,,,0.013,0.017,,0.021,0.064,
03/16,0.045,0.045,0.019,,0.061,,0.083,0.082,0.062,,0.04,0.048,,,0.017,0.023,,0.026,0.076,
03/17,0.055,0.055,0.022,,0.068,,0.083,0.083,0.073,,0.045,0.058,,,0.019,0.026,,0.031,0.089,
03/18,0.053,0.053,0.022,,0.072,,0.092,0.092,0.075,,0.05,0.055,,,0.02,0.027,,0.031,0.087,
03/19,0.058,0.058,0.027,,0.077,,0.103,0.103,0.076,,0.052,0.06,,,0.023,0.029,,0.036,0.093,
03/20,0.061,0.061,0.025,,0.079,,0.117,0.117,0.076,,0.051,0.058,,,0.021,0.033,,0.035,0.093,
03/21,0.06,0.06,0.025,,0.077,,0.103,0.103,0.076,,0.052,0.058,,,0.026,0.029,,0.037,0.092,
03/22,0.072,0.072,0.028,,0.097,,0.127,0.127,0.091,,0.062,0.068,,,0.028,0.039,,0.048,0.11,
03/23,0.077,0.077,0.03,,0.102,,0.132,0.132,0.095,,0.064,0.072,,,0.028,0.041,,0.054,0.115,
03/24,0.082,0.082,0.032,,0.104,,0.128,0.128,0.098,,0.063,0.074,,,0.031,0.041,,0.058,0.116,
03/25,0.069,0.069,0.029,0.02,0.091,,0.117,0.117,0.083,,0.055,0.062,0.025,,0.026,0.041,,0.051,0.098,0.015
03/26,0.082,0.082,0.033,0.03,0.102,,0.137,0.137,0.091,,0.059,0.069,0.025,,0.03,0.047,,0.058,0.108,0.02
03/27,0.088,0.088,0.035,0.01,0.109,,0.132,0.132,0.101,,0.065,0.079,0.025,,0.031,0.052,,0.07,0.122,0.03
03/28,0.099,0.101,0.046,0.02,0.128,,0.155,0.155,0.111,,0.073,0.085,0.03,,0.041,0.067,,0.077,0.132,0.03
03/29,0.088,0.09,0.039,0.01,0.105,,0.123,0.123,0.094,,0.062,0.076,0.025,,0.04,0.058,,0.073,0.115,0.03
03/30,0.105,0.108,0.046,0.01,0.124,,0.155,0.155,0.114,,0.073,0.088,0.025,,0.04,0.074,,0.091,0.138,0.025
03/31,0.106,0.109,0.051,0.01,0.128,,0.135,0.135,0.112,,0.072,0.09,0.025,,0.043,0.078,,0.093,0.139,0.035
04/01,0.114,0.118,0.053,0.03,0.14,,0.13,0.132,0.119,,0.079,0.095,0.04,,0.043,0.09,,0.1,0.145,0.026
04/02,0.127,0.133,0.062,0.03,0.15,,0.147,0.148,0.134,,0.084,0.107,0.045,,0.047,0.11,,0.123,0.162,0.03
04/03,0.115,0.12,0.058,0.03,0.138,,0.137,0.137,0.118,,0.077,0.095,0.04,,0.045,0.102,,0.11,0.143,0.026
04/04,0.111,0.118,0.056,0.03,0.127,,0.133,0.133,0.113,,0.074,0.092,0.045,,0.044,0.095,,0.108,0.138,0.025
04/05,0.11,0.117,0.057,0.03,0.127,,0.132,0.133,0.108,,0.072,0.09,0.04,,0.044,0.104,,0.106,0.135,0.023
04/06,0.119,0.129,0.062,0.03,0.129,,0.13,0.13,0.115,,0.072,0.096,0.04,,0.047,0.107,,0.118,0.145,0.026
04/07,0.137,0.148,0.077,0.04,0.158,,0.157,0.16,0.133,,0.087,0.111,0.045,,0.056,0.136,,0.138,0.167,0.032
04/08,0.133,0.145,0.076,0.04,0.149,,0.15,0.15,0.128,,0.083,0.108,0.045,,0.056,0.131,,0.138,0.162,0.031
04/09,0.144,0.156,0.082,0.03,0.159,,0.163,0.163,0.138,,0.087,0.114,0.045,,0.064,0.142,,0.148,0.172,0.035
04/10,0.14,0.154,0.085,0.03,0.158,,0.158,0.16,0.133,,0.086,0.112,0.037,,0.062,0.146,0.055,0.147,0.168,0.033
04/11,0.152,0.166,0.094,0.03,0.171,,0.16,0.162,0.143,,0.093,0.122,0.04,,0.068,0.158,0.085,0.159,0.18,0.039
04/12,0.134,0.148,0.085,0.04,0.149,,0.148,0.15,0.125,,0.08,0.107,0.042,,0.064,0.142,0.07,0.142,0.158,0.033
04/13,0.132,0.146,0.087,0.04,0.146,,0.138,0.142,0.124,,0.079,0.105,0.028,,0.06,0.138,0.05,0.142,0.157,0.034
04/14,0.164,0.185,0.116,0.06,0.188,,0.183,0.188,0.155,,0.1,0.13,0.042,,0.081,0.18,0.065,0.178,0.195,0.045
04/15,0.146,0.168,0.098,0.047,0.157,0.06,0.16,0.163,0.138,,0.084,0.119,0.04,,0.074,0.152,0.05,0.162,0.175,0.041
04/16,0.136,0.158,0.097,0.033,0.152,0.02,0.163,0.165,0.129,,0.083,0.11,0.037,,0.07,0.149,0.043,0.152,0.163,0.038
04/17,0.155,0.178,0.124,0.04,0.183,0.03,0.193,0.195,0.146,,0.098,0.123,0.05,,0.089,0.183,0.059,0.172,0.182,0.048
04/18,0.164,0.189,0.123,0.047,0.179,0.04,0.183,0.187,0.152,,0.096,0.13,0.048,,0.089,0.181,0.053,0.182,0.192,0.049
04/19,0.152,0.178,0.122,0.047,0.172,0.03,0.178,0.183,0.143,,0.094,0.122,0.048,,0.089,0.174,0.056,0.173,0.179,0.048
04/20,0.159,0.186,0.133,0.04,0.184,0.04,0.163,0.168,0.149,,0.097,0.128,0.051,0.075,0.097,0.186,0.057,0.182,0.188,0.058
04/21,0.181,0.213,0.16,0.05,0.212,0.05,0.202,0.208,0.17,,0.113,0.144,0.062,0.075,0.116,0.217,0.064,0.208,0.214,0.065
04/22,0.176,0.207,0.152,0.052,0.197,0.06,0.177,0.18,0.168,,0.106,0.142,0.061,0.085,0.11,0.202,0.066,0.202,0.207,0.065
04/23,0.188,0.222,0.176,0.06,0.219,0.06,0.215,0.22,0.177,,0.12,0.15,0.072,0.085,0.128,0.228,0.071,0.217,0.222,0.078
04/24,0.179,0.212,0.163,0.062,0.204,0.07,0.198,0.202,0.171,,0.111,0.144,0.068,0.08,0.122,0.212,0.066,0.208,0.212,0.075
04/25,0.164,0.192,0.151,0.049,0.188,0.06,0.177,0.18,0.152,,0.103,0.132,0.059,0.054,0.113,0.195,0.06,0.19,0.192,0.071
04/26,0.191,0.224,0.173,0.056,0.212,0.064,0.223,0.23,0.18,,0.116,0.153,0.07,0.066,0.132,0.22,0.069,0.222,0.224,0.082
04/27,0.205,0.242,0.196,0.064,0.23,0.064,0.25,0.257,0.194,,0.128,0.165,0.077,0.067,0.145,0.24,0.079,0.239,0.242,0.098
04/28,0.197,0.231,0.189,0.06,0.221,0.064,0.203,0.208,0.185,,0.124,0.158,0.078,0.069,0.142,0.23,0.071,0.228,0.231,0.094
04/29,0.192,0.225,0.187,0.062,0.215,0.062,0.223,0.23,0.18,,0.121,0.152,0.077,0.067,0.142,0.225,0.072,0.223,0.225,0.095
04/30,0.202,0.238,0.198,0.062,0.228,0.06,0.23,0.24,0.191,,0.129,0.161,0.085,0.063,0.152,0.238,0.073,0.237,0.238,0.104
05/01,0.191,0.226,0.193,0.07,0.217,0.066,0.21,0.215,0.182,0.04,0.127,0.154,0.091,0.074,0.154,0.227,0.074,0.225,0.226,0.098
05/02,0.187,0.22,0.187,0.069,0.208,0.064,0.192,0.2,0.176,0.06,0.122,0.148,0.09,0.069,0.15,0.216,0.074,0.22,0.22,0.099
05/03,0.216,0.254,0.22,0.077,0.24,0.076,0.24,0.253,0.203,0.06,0.145,0.173,0.105,0.08,0.176,0.252,0.083,0.254,0.254,0.12
05/04,0.214,0.251,0.226,0.082,0.242,0.074,0.223,0.233,0.201,0.04,0.147,0.171,0.107,0.083,0.177,0.253,0.083,0.251,0.251,0.122
05/05,0.187,0.221,0.193,0.074,0.206,0.064,0.185,0.195,0.176,0.032,0.126,0.15,0.097,0.072,0.155,0.216,0.07,0.221,0.221,0.107
05/06,0.195,0.23,0.205,0.079,0.219,0.071,0.208,0.218,0.184,0.034,0.134,0.157,0.105,0.073,0.166,0.228,0.076,0.23,0.23,0.116
05/07,0.207,0.243,0.22,0.089,0.229,0.078,0.21,0.222,0.195,0.038,0.147,0.165,0.118,0.081,0.179,0.242,0.08,0.243,0.243,0.127
05/08,0.202,0.238,0.226,0.098,0.232,0.079,0.195,0.208,0.19,0.044,0.152,0.162,0.132,0.086,0.188,0.245,0.082,0.238,0.238,0.133
05/09,0.21,0.246,0.228,0.103,0.233,0.08,0.207,0.222,0.197,0.044,0.156,0.168,0.134,0.086,0.19,0.245,0.085,0.246,0.246,0.138
05/10,0.208,0.245,0.229,0.092,0.232,0.079,0.203,0.218,0.197,0.042,0.158,0.168,0.128,0.086,0.19,0.244,0.084,0.245,0.245,0.136
05/11,0.202,0.237,0.221,0.095,0.222,0.074,0.208,0.223,0.19,0.04,0.155,0.161,0.132,0.083,0.188,0.236,0.083,0.237,0.237,0.135
05/12,0.198,0.235,0.217,0.1,0.218,0.078,0.212,0.225,0.187,0.04,0.155,0.161,0.138,0.085,0.188,0.233,0.082,0.235,0.235,0.135
05/13,0.212,0.249,0.233,0.107,0.233,0.08,0.243,0.26,0.199,0.043,0.166,0.168,0.149,0.089,0.198,0.248,0.087,0.249,0.249,0.146
05/14,0.183,0.216,0.199,0.094,0.198,0.07,0.2,0.218,0.172,0.036,0.145,0.148,0.128,0.075,0.172,0.212,0.077,0.216,0.216,0.128
05/15,0.185,0.218,0.203,0.101,0.2,0.069,0.195,0.213,0.175,0.039,0.148,0.148,0.133,0.08,0.174,0.213,0.076,0.218,0.218,0.132
05/16,0.219,0.259,0.232,0.125,0.225,0.078,0.195,0.215,0.208,0.048,0.175,0.176,0.166,0.096,0.203,0.244,0.089,0.259,0.259,0.146
05/17,0.223,0.262,0.243,0.135,0.236,0.086,0.243,0.265,0.211,0.049,0.186,0.178,0.18,0.102,0.214,0.255,0.094,0.262,0.262,0.159
05/18,0.208,0.244,0.23,0.133,0.221,0.08,0.19,0.208,0.194,0.052,0.178,0.165,0.179,0.102,0.207,0.243,0.09,0.244,0.244,0.151
05/19,0.208,0.245,0.229,0.133,0.218,0.08,0.185,0.203,0.196,0.052,0.179,0.166,0.179,0.102,0.203,0.241,0.092,0.245,0.245,0.148
05/20,0.198,0.234,0.218,0.128,0.208,0.074,0.207,0.228,0.188,0.049,0.176,0.16,0.172,0.098,0.196,0.23,0.088,0.234,0.234,0.142
05/21,0.198,0.231,0.217,0.129,0.203,0.072,0.218,0.243,0.184,0.052,0.177,0.158,0.17,0.098,0.194,0.227,0.088,0.231,0.231,0.142
05/22,0.209,0.245,0.228,0.146,0.211,0.08,0.2,0.222,0.195,0.058,0.189,0.166,0.191,0.11,0.208,0.24,0.098,0.245,0.245,0.15
05/23,0.235,0.277,0.264,0.18,0.243,0.098,0.23,0.258,0.222,0.07,0.223,0.188,0.227,0.133,0.244,0.277,0.117,0.277,0.277,0.177
05/24,0.243,0.286,0.268,0.186,0.238,0.1,0.237,0.267,0.228,0.073,0.231,0.195,0.238,0.138,0.249,0.282,0.121,0.286,0.286,0.176
05/25,0.218,0.256,0.241,0.182,0.213,0.091,0.222,0.243,0.205,0.071,0.208,0.173,0.223,0.128,0.228,0.252,0.112,0.256,0.256,0.161
05/26,0.232,0.274,0.252,0.187,0.22,0.097,0.238,0.267,0.22,0.077,0.224,0.187,0.236,0.138,0.24,0.265,0.118,0.274,0.274,0.167
05/27,0.22,0.258,0.244,0.185,0.211,0.095,0.208,0.233,0.206,0.077,0.217,0.175,0.228,0.135,0.231,0.255,0.115,0.258,0.258,0.161
05/28,0.254,0.299,0.278,0.218,0.237,0.109,0.253,0.283,0.239,0.093,0.251,0.203,0.264,0.159,0.264,0.291,0.136,0.299,0.299,0.185
05/29,0.251,0.292,0.277,0.222,0.232,0.11,0.243,0.272,0.235,0.097,0.252,0.198,0.261,0.161,0.264,0.29,0.138,0.292,0.292,0.187
05/30,0.242,0.284,0.268,0.216,0.216,0.105,0.218,0.247,0.227,0.095,0.248,0.193,0.256,0.158,0.258,0.28,0.133,0.284,0.284,0.179
05/31,0.228,0.268,0.253,0.212,0.202,0.102,0.242,0.27,0.215,0.097,0.235,0.182,0.251,0.154,0.244,0.264,0.127,0.268,0.268,0.17
06/01,0.254,0.298,0.282,0.244,0.218,0.118,0.248,0.278,0.239,0.115,0.268,0.204,0.277,0.178,0.273,0.294,0.152,0.298,0.296,0.189
06/02,0.26,0.305,0.29,0.254,0.219,0.122,0.255,0.288,0.243,0.122,0.279,0.206,0.283,0.188,0.282,0.302,0.157,0.305,0.302,0.196
06/03,0.279,0.328,0.304,0.269,0.224,0.131,0.275,0.315,0.262,0.134,0.295,0.222,0.297,0.202,0.296,0.317,0.167,0.328,0.325,0.206
06/04,0.27,0.316,0.293,0.264,0.212,0.128,0.287,0.328,0.253,0.133,0.285,0.215,0.289,0.198,0.286,0.305,0.163,0.316,0.313,0.198
06/05,0.244,0.286,0.268,0.245,0.184,0.121,0.23,0.262,0.229,0.127,0.264,0.195,0.257,0.188,0.262,0.276,0.153,0.286,0.282,0.181
06/06,0.256,0.3,0.285,0.264,0.182,0.135,0.232,0.267,0.239,0.14,0.283,0.204,0.268,0.204,0.278,0.291,0.166,0.3,0.293,0.193
06/07,0.252,0.296,0.282,0.26,0.169,0.131,0.22,0.253,0.237,0.146,0.283,0.202,0.266,0.208,0.274,0.281,0.165,0.296,0.285,0.189
06/08,0.255,0.299,0.284,0.271,0.162,0.14,0.242,0.278,0.24,0.155,0.286,0.203,0.263,0.214,0.278,0.283,0.174,0.299,0.285,0.191
06/09,0.232,0.273,0.253,0.242,0.137,0.128,0.195,0.225,0.218,0.138,0.256,0.184,0.228,0.194,0.25,0.25,0.158,0.273,0.257,0.172
06/10,0.273,0.322,0.304,0.292,0.154,0.154,0.227,0.262,0.258,0.17,0.307,0.218,0.268,0.234,0.298,0.293,0.19,0.322,0.298,0.205
06/11,0.262,0.308,0.293,0.283,0.138,0.152,0.205,0.238,0.247,0.171,0.3,0.208,0.249,0.233,0.289,0.273,0.188,0.308,0.281,0.199
06/12,0.262,0.306,0.289,0.278,0.132,0.153,0.198,0.23,0.245,0.171,0.295,0.207,0.235,0.229,0.284,0.258,0.187,0.306,0.278,0.195
06/13,0.3,0.353,0.349,0.336,0.153,0.191,0.297,0.347,0.282,0.214,0.357,0.242,0.277,0.282,0.343,0.298,0.231,0.353,0.325,0.234
06/14,0.295,0.347,0.332,0.319,0.135,0.185,0.283,0.327,0.277,0.207,0.34,0.235,0.252,0.273,0.323,0.273,0.223,0.347,0.308,0.222
06/15,0.232,0.272,0.257,0.25,0.099,0.147,0.21,0.24,0.217,0.163,0.264,0.185,0.185,0.215,0.253,0.203,0.175,0.272,0.235,0.172
06/16,0.253,0.297,0.286,0.28,0.106,0.166,0.235,0.272,0.238,0.185,0.293,0.202,0.197,0.243,0.281,0.213,0.196,0.297,0.251,0.193
06/17,0.276,0.324,0.328,0.318,0.119,0.193,0.267,0.307,0.26,0.212,0.336,0.222,0.219,0.279,0.321,0.239,0.232,0.322,0.272,0.219
06/18,0.245,0.287,0.274,0.265,0.095,0.164,0.217,0.25,0.228,0.178,0.279,0.194,0.173,0.235,0.267,0.189,0.197,0.283,0.228,0.182
06/19,0.285,0.335,0.32,0.313,0.106,0.196,0.268,0.31,0.268,0.213,0.328,0.229,0.191,0.278,0.313,0.203,0.234,0.331,0.258,0.215
06/20,0.282,0.33,0.313,0.307,0.103,0.2,0.242,0.277,0.264,0.211,0.323,0.224,0.182,0.276,0.307,0.177,0.234,0.322,0.245,0.212
06/21,0.275,0.324,0.317,0.312,0.101,0.206,0.265,0.302,0.258,0.213,0.327,0.22,0.167,0.283,0.312,0.174,0.242,0.31,0.234,0.214
06/22,0.285,0.335,0.326,0.317,0.102,0.213,0.29,0.333,0.268,0.216,0.333,0.227,0.159,0.292,0.317,0.171,0.251,0.313,0.235,0.217
06/23,0.296,0.349,0.339,0.329,0.104,0.223,0.295,0.338,0.28,0.228,0.347,0.237,0.159,0.307,0.329,0.163,0.264,0.319,0.231,0.228
06/24,0.29,0.342,0.333,0.322,0.099,0.223,0.295,0.335,0.274,0.22,0.34,0.231,0.144,0.301,0.322,0.145,0.263,0.306,0.218,0.22
06/25,0.267,0.312,0.312,0.302,0.085,0.213,0.272,0.31,0.25,0.207,0.318,0.211,0.122,0.284,0.302,0.075,0.251,0.273,0.197,0.207
06/26,0.283,0.333,0.328,0.315,0.095,0.228,0.277,0.317,0.265,0.215,0.332,0.225,0.145,0.298,0.315,0.172,0.266,0.28,0.196,0.215
06/27,0.295,0.347,0.348,0.336,0.101,0.245,0.297,0.337,0.277,0.229,0.353,0.235,0.147,0.318,0.336,0.176,0.285,0.283,0.198,0.229
06/28,0.31,0.363,0.357,0.345,0.101,0.263,0.287,0.327,0.289,0.237,0.362,0.246,0.142,0.329,0.345,0.162,0.298,0.282,0.198,0.237
06/29,0.312,0.366,0.358,0.343,0.098,0.263,0.298,0.338,0.294,0.235,0.362,0.247,0.124,0.328,0.343,0.142,0.302,0.275,0.188,0.235
06/30,0.33,0.388,0.388,0.372,0.106,0.286,0.343,0.388,0.31,0.254,0.391,0.261,0.128,0.357,0.372,0.152,0.33,0.281,0.194,0.254
07/01,0.338,0.398,0.394,0.377,0.081,0.296,0.338,0.383,0.318,0.258,0.397,0.268,0.095,0.364,0.377,0.044,0.337,0.278,0.162,0.258
07/02,0.335,0.393,0.395,0.378,0.11,0.308,0.315,0.358,0.314,0.259,0.397,0.265,0.157,0.365,0.378,0.14,0.346,0.26,0.205,0.259
07/03,0.367,0.432,0.418,0.397,0.11,0.331,0.313,0.358,0.345,0.273,0.421,0.292,0.158,0.389,0.399,0.14,0.369,0.269,0.199,0.273
07/04,0.336,0.395,0.391,0.371,0.106,0.312,0.315,0.357,0.316,0.257,0.393,0.265,0.132,0.362,0.372,0.11,0.352,0.235,0.178,0.257
07/05,0.32,0.376,0.372,0.351,0.049,0.3,0.297,0.337,0.301,0.242,0.372,0.252,0.077,0.344,0.352,0.0,0.335,0.212,0.163,0.242
07/06,0.325,0.383,0.382,0.361,0.11,0.314,0.315,0.357,0.306,0.248,0.382,0.255,0.24,0.355,0.362,,0.351,0.203,0.16,0.248
07/07,0.348,0.412,0.414,0.39,0.105,0.346,0.332,0.375,0.328,0.27,0.414,0.273,0.28,0.383,0.393,,0.384,0.2,0.164,0.27
07/08,0.314,0.37,0.367,0.345,0.092,0.312,0.305,0.345,0.295,0.239,0.367,0.247,0.215,0.342,0.347,,0.342,0.173,0.14,0.239
07/09,0.327,0.385,0.378,0.353,0.105,0.327,0.308,0.348,0.308,0.245,0.378,0.252,0.29,0.35,0.358,,0.358,0.165,0.137,0.245
07/10,0.35,0.411,0.406,0.377,0.0,0.355,0.313,0.353,0.328,0.265,0.406,0.262,0.245,0.378,0.385,,0.388,0.115,0.07,0.265
07/11,0.334,0.392,0.391,0.363,,0.347,0.308,0.345,0.314,0.254,0.391,0.263,0.36,0.363,0.372,,0.377,0.189,0.138,0.254
07/12,0.328,0.385,0.379,0.35,,0.34,0.307,0.343,0.309,0.247,0.379,0.261,0.37,0.353,0.359,,0.367,0.174,0.138,0.247
07/13,0.342,0.403,0.403,0.37,,0.368,0.34,0.38,0.322,0.262,0.403,0.279,0.45,0.376,0.383,,0.393,0.177,0.155,0.262
07/14,0.312,0.368,0.366,0.332,,0.34,0.313,0.35,0.294,0.238,0.366,0.253,0.29,0.34,0.347,,0.36,0.134,0.115,0.238
07/15,0.359,0.422,0.424,0.38,,0.402,0.345,0.385,0.315,0.275,0.424,0.291,0.43,0.393,0.339,,0.421,0.056,0.0,0.275
07/16,0.332,0.392,0.381,0.338,,0.358,0.342,0.382,0.311,0.247,0.381,0.263,0.34,0.353,0.367,,0.378,0.18,,0.247
07/17,0.368,0.431,0.408,0.36,,0.388,0.393,0.438,0.342,0.266,0.407,0.292,0.24,0.38,0.411,,0.406,0.23,,0.266
07/18,0.329,0.387,0.376,0.327,,0.362,0.34,0.382,0.311,0.243,0.374,0.264,0.26,0.348,0.376,,0.374,0.15,,0.243
07/19,0.324,0.382,0.363,0.312,,0.353,0.308,0.34,0.309,0.237,0.361,0.262,0.37,0.336,0.356,,0.362,0.15,,0.237
07/20,0.359,0.422,0.421,0.355,,0.413,0.337,0.377,0.34,0.274,0.415,0.288,0.35,0.388,0.21,,0.418,0.085,,0.274
07/21,0.362,0.425,0.428,0.357,,0.418,0.365,0.407,0.339,0.278,0.423,0.288,0.22,0.393,0.448,,0.426,0.22,,0.278
07/22,0.352,0.413,0.423,0.347,,0.415,0.35,0.387,0.318,0.277,0.414,0.27,0.22,0.389,0.37,,0.42,0.17,,0.277
07/23,0.33,0.389,0.395,0.318,,0.39,0.325,0.363,0.303,0.255,0.382,0.258,0.25,0.36,0.348,,0.391,0.12,,0.255
07/24,0.338,0.397,0.397,0.316,,0.39,0.337,0.373,0.311,0.256,0.378,0.263,0.23,0.359,0.378,,0.389,0.17,,0.256
07/25,0.305,0.359,0.361,0.282,,0.357,0.29,0.322,0.29,0.235,0.34,0.248,0.21,0.323,0.198,,0.353,0.0,,0.235
07/26,0.305,0.358,0.358,0.27,,0.356,0.273,0.307,0.285,0.233,0.333,0.243,0.21,0.32,0.31,,0.35,,,0.233
07/27,0.327,0.385,0.388,0.291,,0.385,0.297,0.33,0.307,0.251,0.352,0.26,0.34,0.345,0.397,,0.377,,,0.251
07/28,0.309,0.363,0.362,0.266,,0.361,0.288,0.318,0.283,0.236,0.323,0.241,0.22,0.321,0.327,,0.349,,,0.236
07/29,0.333,0.391,0.389,0.279,,0.388,0.322,0.355,0.31,0.253,0.337,0.262,0.23,0.342,0.383,,0.371,,,0.253
07/30,0.368,0.432,0.433,0.298,,0.432,0.342,0.378,0.344,0.282,0.365,0.292,0.19,0.376,0.377,,0.413,,,0.282
07/31,0.328,0.387,0.392,0.266,,0.391,0.342,0.377,0.291,0.255,0.322,0.248,0.19,0.337,0.35,,0.37,,,0.255
08/01,0.312,0.367,0.368,0.242,,0.368,0.317,0.35,0.291,0.24,0.291,0.246,0.18,0.314,0.117,,0.345,,,0.24
08/02,0.358,0.422,0.429,0.274,,0.428,0.397,0.433,0.332,0.278,0.327,0.281,0.16,0.363,0.33,,0.398,,,0.278
08/03,0.294,0.345,0.348,0.219,,0.347,0.305,0.335,0.273,0.226,0.258,0.233,0.15,0.293,0.31,,0.321,,,0.226
08/04,0.282,0.332,0.333,0.198,,0.333,0.248,0.273,0.267,0.217,0.235,0.226,0.16,0.277,0.34,,0.303,,,0.217
08/05,0.302,0.355,0.345,0.201,,0.344,0.26,0.287,0.282,0.205,0.202,0.238,0.12,0.284,0.28,,0.312,,,0.224
08/06,0.318,0.374,0.362,0.204,,0.36,0.285,0.313,0.294,0.229,0.252,0.25,0.12,0.297,0.29,,0.324,,,0.236
08/07,0.305,0.359,0.346,0.186,,0.343,0.273,0.298,0.293,0.218,0.23,0.248,0.11,0.279,0.27,,0.307,,,0.226
08/08,0.315,0.369,0.364,0.189,,0.359,0.278,0.3,0.295,0.239,0.244,0.25,0.13,0.294,0.33,,0.322,,,0.236
08/09,0.281,0.329,0.328,0.168,,0.324,0.272,0.3,0.264,0.218,0.215,0.226,0.11,0.264,0.3,,0.288,,,0.214
08/10,0.29,0.341,0.34,0.153,,0.334,0.292,0.317,0.273,0.139,0.163,0.231,0.11,0.271,0.0,,0.262,,,0.22
08/11,0.303,0.357,0.363,0.183,,0.356,0.328,0.36,0.27,0.214,0.23,0.23,0.1,0.287,,,0.328,,,0.236
08/12,0.282,0.332,0.335,0.162,,0.327,0.272,0.297,0.264,0.22,0.21,0.224,0.15,0.26,,,0.29,,,0.218
08/13,0.276,0.323,0.329,0.151,,0.319,0.266,0.286,0.257,0.209,0.187,0.216,0.11,0.251,,,0.283,,,0.213
