# Station Code,paro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
06/18,0.182,0.215,0.205,0.215,0.224,0.172,0.146,0.148,0.141
06/19,0.189,0.222,0.212,0.222,0.232,0.178,0.152,0.157,0.147
06/20,0.19,0.224,0.214,0.224,0.234,0.18,0.152,0.163,0.144
06/21,0.205,0.24,0.23,0.24,0.25,0.192,0.163,0.176,0.157
06/22,0.195,0.232,0.222,0.232,0.241,0.185,0.157,0.174,0.159
06/23,0.196,0.231,0.222,0.23,0.24,0.184,0.156,0.175,0.153
06/24,0.196,0.23,0.22,0.229,0.24,0.182,0.157,0.175,0.152
06/25,0.194,0.228,0.218,0.227,0.236,0.182,0.154,0.176,0.151
06/26,0.191,0.225,0.215,0.225,0.234,0.18,0.153,0.177,0.149
06/27,0.199,0.235,0.225,0.233,0.245,0.188,0.159,0.187,0.152
06/28,0.198,0.234,0.224,0.232,0.244,0.187,0.158,0.189,0.157
06/29,0.212,0.249,0.239,0.247,0.259,0.198,0.169,0.205,0.164
06/30,0.208,0.245,0.235,0.242,0.255,0.195,0.168,0.202,0.165
07/01,0.215,0.253,0.243,0.251,0.263,0.203,0.173,0.211,0.167
07/02,0.222,0.26,0.249,0.256,0.27,0.208,0.177,0.218,0.169
07/03,0.228,0.268,0.257,0.263,0.278,0.215,0.182,0.225,0.177
07/04,0.228,0.267,0.257,0.262,0.277,0.212,0.181,0.226,0.174
07/05,0.223,0.262,0.253,0.258,0.272,0.21,0.178,0.223,0.173
07/06,0.221,0.259,0.25,0.255,0.268,0.208,0.176,0.224,0.171
07/07,0.214,0.251,0.242,0.244,0.261,0.2,0.172,0.218,0.162
07/08,0.217,0.253,0.245,0.245,0.263,0.202,0.172,0.221,0.164
07/09,0.215,0.252,0.245,0.245,0.261,0.202,0.172,0.222,0.162
07/10,0.229,0.27,0.263,0.262,0.28,0.215,0.182,0.242,0.174
07/11,0.222,0.262,0.256,0.254,0.272,0.209,0.178,0.234,0.166
07/12,0.217,0.255,0.249,0.246,0.265,0.204,0.173,0.231,0.166
07/13,0.215,0.252,0.248,0.244,0.262,0.201,0.172,0.231,0.163
07/14,0.228,0.268,0.264,0.26,0.278,0.215,0.183,0.249,0.179
07/15,0.225,0.263,0.26,0.255,0.273,0.21,0.178,0.245,0.172
07/16,0.228,0.267,0.263,0.258,0.277,0.213,0.183,0.251,0.177
07/17,0.213,0.25,0.247,0.242,0.26,0.199,0.171,0.238,0.165
07/18,0.211,0.248,0.247,0.24,0.258,0.198,0.169,0.238,0.165
07/19,0.225,0.263,0.262,0.255,0.273,0.211,0.179,0.256,0.174
07/20,0.227,0.265,0.265,0.257,0.275,0.212,0.18,0.262,0.18
07/21,0.235,0.276,0.275,0.266,0.286,0.222,0.188,0.272,0.181
07/22,0.216,0.254,0.254,0.245,0.263,0.202,0.172,0.255,0.167
07/23,0.229,0.268,0.268,0.258,0.277,0.214,0.18,0.268,0.174
07/24,0.22,0.258,0.258,0.248,0.268,0.205,0.175,0.267,0.168
07/25,0.216,0.256,0.256,0.245,0.266,0.206,0.175,0.265,0.166
07/26,0.236,0.277,0.277,0.265,0.287,0.221,0.188,0.286,0.182
07/27,0.221,0.261,0.261,0.249,0.27,0.209,0.178,0.272,0.17
07/28,0.232,0.272,0.272,0.258,0.281,0.218,0.185,0.285,0.177
07/29,0.235,0.276,0.276,0.262,0.284,0.222,0.188,0.292,0.181
07/30,0.232,0.272,0.272,0.256,0.278,0.218,0.184,0.288,0.18
07/31,0.216,0.255,0.255,0.242,0.261,0.204,0.174,0.271,0.164
08/01,0.227,0.265,0.265,0.251,0.269,0.212,0.18,0.284,0.172
08/02,0.209,0.245,0.245,0.232,0.248,0.196,0.168,0.264,0.158
08/03,0.205,0.24,0.24,0.228,0.239,0.192,0.163,0.258,0.154
08/04,0.216,0.255,0.255,0.241,0.253,0.203,0.172,0.272,0.164
08/05,0.207,0.243,0.243,0.229,0.24,0.195,0.164,0.261,0.158
08/06,0.201,0.237,0.237,0.223,0.233,0.189,0.161,0.255,0.152
08/07,0.208,0.245,0.245,0.232,0.238,0.197,0.167,0.264,0.158
08/08,0.201,0.236,0.236,0.221,0.227,0.189,0.16,0.252,0.152
08/09,0.184,0.216,0.216,0.204,0.206,0.173,0.147,0.232,0.139
08/10,0.194,0.228,0.228,0.215,0.218,0.185,0.155,0.242,0.147
08/11,0.202,0.238,0.238,0.221,0.225,0.191,0.161,0.251,0.153
08/12,0.192,0.227,0.227,0.21,0.212,0.181,0.154,0.236,0.146
08/13,0.193,0.227,0.227,0.212,0.211,0.181,0.155,0.235,0.143
08/14,0.188,0.221,0.221,0.205,0.203,0.176,0.152,0.227,0.138
08/15,0.199,0.233,0.233,0.216,0.21,0.187,0.158,0.236,0.152
08/16,0.202,0.238,0.238,0.221,0.212,0.189,0.162,0.238,0.152
08/17,0.192,0.225,0.225,0.209,0.2,0.182,0.154,0.221,0.144
08/18,0.191,0.224,0.224,0.208,0.197,0.178,0.152,0.216,0.152
08/19,0.2,0.235,0.235,0.217,0.202,0.188,0.16,0.218,0.153
08/20,0.182,0.214,0.214,0.198,0.184,0.171,0.145,0.188,0.138
08/21,0.172,0.203,0.203,0.188,0.172,0.163,0.138,0.173,0.132
08/22,0.174,0.205,0.205,0.189,0.172,0.164,0.139,0.169,0.13
08/23,0.175,0.206,0.205,0.188,0.173,0.165,0.141,0.159,0.132
08/24,0.176,0.206,0.205,0.188,0.172,0.165,0.14,0.149,0.135
08/25,0.168,0.196,0.195,0.18,0.159,0.156,0.135,0.128,0.124
08/26,0.173,0.203,0.202,0.187,0.165,0.163,0.138,0.142,0.133
08/27,0.175,0.205,0.203,0.188,0.164,0.164,0.138,0.136,0.135
08/28,0.163,0.192,0.186,0.175,0.151,0.154,0.128,0.116,0.126
08/29,0.157,0.185,0.178,0.169,0.146,0.148,0.125,0.103,0.121
08/30,0.154,0.181,0.172,0.164,0.139,0.144,0.122,0.081,0.117
08/31,0.158,0.186,0.175,0.169,0.139,0.148,0.124,0.087,0.122
09/01,0.152,0.18,0.168,0.164,0.126,0.144,0.119,0.023,0.117
09/02,0.155,0.182,0.168,0.165,0.142,0.145,0.122,0.11,0.118
09/03,0.145,0.172,0.154,0.156,0.128,0.138,0.112,0.085,0.111
09/04,0.145,0.172,0.149,0.155,0.128,0.137,0.114,0.085,0.11
09/05,0.152,0.178,0.152,0.161,0.128,0.143,0.117,0.04,0.114
09/06,0.138,0.164,0.138,0.148,0.119,0.131,0.108,0.05,0.104
09/07,0.154,0.179,0.146,0.164,0.122,0.143,0.118,0.07,0.115
09/08,0.154,0.182,0.146,0.164,0.122,0.146,0.117,0.08,0.116
09/09,0.152,0.181,0.141,0.162,0.117,0.144,0.117,0.07,0.116
09/10,0.138,0.162,0.125,0.145,0.099,0.129,0.104,0.0,0.104
09/11,0.125,0.148,0.111,0.134,0.087,0.12,0.095,,0.095
09/12,0.134,0.157,0.115,0.14,0.087,0.125,0.101,,0.101
09/13,0.136,0.162,0.113,0.144,0.087,0.128,0.102,,0.105
09/14,0.127,0.15,0.105,0.134,0.083,0.119,0.094,,0.097
09/15,0.109,0.128,0.087,0.113,0.05,0.102,0.08,,0.063
09/16,0.108,0.127,0.085,0.112,0.063,0.102,0.079,,0.079
09/17,0.09,0.105,0.068,0.095,0.049,0.085,0.067,,0.065
09/18,0.085,0.1,0.065,0.088,0.041,0.081,0.062,,0.064
09/19,0.105,0.122,0.075,0.109,0.05,0.098,0.075,,0.082
09/20,0.106,0.125,0.075,0.111,0.0,0.101,0.075,,0.033
09/21,0.098,0.115,0.068,0.102,,0.092,0.07,,0.075
09/22,0.087,0.102,0.058,0.092,,0.083,0.062,,0.062
09/23,0.088,0.105,0.058,0.094,,0.085,0.062,,0.073
09/24,0.087,0.102,0.054,0.088,,0.082,0.061,,0.06
09/25,0.092,0.108,0.052,0.095,,0.086,0.065,,0.018
09/26,0.095,0.112,0.058,0.098,,0.089,0.065,,0.08
09/27,0.085,0.1,0.047,0.088,,0.079,0.057,,0.08
09/28,0.088,0.104,0.049,0.09,,0.084,0.058,,0.08
09/29,0.073,0.085,0.039,0.075,,0.069,0.045,,0.08
09/30,0.085,0.099,0.03,0.07,,0.078,0.052,,0.08
10/01,0.08,0.094,0.039,0.056,,0.075,0.051,,0.0
10/02,0.074,0.087,0.04,0.087,,0.069,0.045,,
10/03,0.077,0.088,0.04,0.086,,0.07,0.042,,
10/04,0.081,0.095,0.04,0.087,,0.075,0.045,,
10/05,0.074,0.085,0.0,0.03,,0.068,0.04,,
10/06,0.078,0.093,,0.1,,0.075,0.042,,
10/07,0.071,0.083,,0.08,,0.067,0.036,,
10/08,0.072,0.082,,0.08,,0.065,0.034,,
10/09,0.06,0.071,,0.08,,0.056,0.03,,
10/10,0.0,0.0,,0.0,,0.0,0.0,,
