# Station Code,mfro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BEAN,BLGR,CGRP,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,SCRN,SGRN,WGRN
06/18,0.33,0.39,0.38,0.29,0.28,0.16,0.33,0.2,0.31,0.38,0.27,0.26,0.28,0.36,0.23,0.39,0.38
06/19,0.24,0.28,0.27,0.21,0.21,0.11,0.23,0.15,0.22,0.28,0.19,0.18,0.2,0.26,0.17,0.28,0.27
06/20,0.19,0.22,0.21,0.17,0.17,0.08,0.18,0.12,0.18,0.22,0.15,0.13,0.16,0.2,0.13,0.22,0.2
06/21,0.25,0.29,0.28,0.22,0.23,0.1,0.24,0.16,0.23,0.29,0.2,0.16,0.22,0.27,0.18,0.29,0.26
06/22,0.26,0.3,0.29,0.23,0.25,0.1,0.25,0.17,0.24,0.3,0.2,0.16,0.23,0.28,0.19,0.3,0.26
06/23,0.26,0.31,0.3,0.24,0.26,0.1,0.26,0.18,0.25,0.31,0.21,0.15,0.25,0.29,0.2,0.31,0.26
06/24,0.26,0.31,0.3,0.25,0.27,0.1,0.26,0.19,0.25,0.31,0.21,0.14,0.25,0.29,0.2,0.31,0.25
06/25,0.28,0.33,0.32,0.27,0.29,0.1,0.28,0.21,0.26,0.33,0.22,0.14,0.27,0.3,0.22,0.33,0.25
06/26,0.27,0.32,0.31,0.26,0.29,0.1,0.27,0.2,0.26,0.32,0.22,0.12,0.27,0.29,0.22,0.32,0.24
06/27,0.27,0.32,0.31,0.26,0.29,0.1,0.27,0.21,0.26,0.32,0.22,0.12,0.27,0.29,0.22,0.32,0.23
06/28,0.27,0.32,0.31,0.26,0.3,0.09,0.27,0.21,0.26,0.32,0.22,0.11,0.27,0.29,0.23,0.32,0.22
06/29,0.33,0.39,0.38,0.33,0.36,0.11,0.33,0.27,0.31,0.39,0.27,0.12,0.34,0.36,0.28,0.39,0.26
06/30,0.35,0.41,0.4,0.35,0.39,0.12,0.35,0.29,0.33,0.41,0.28,0.11,0.36,0.38,0.3,0.41,0.26
07/01,0.38,0.45,0.44,0.38,0.43,0.13,0.38,0.32,0.36,0.45,0.31,0.11,0.39,0.41,0.34,0.45,0.28
07/02,0.3,0.35,0.34,0.3,0.33,0.1,0.3,0.25,0.28,0.35,0.24,0.08,0.31,0.32,0.27,0.34,0.21
07/03,0.31,0.37,0.36,0.32,0.35,0.1,0.31,0.27,0.3,0.37,0.25,0.08,0.33,0.34,0.29,0.36,0.21
07/04,0.3,0.35,0.34,0.31,0.33,0.09,0.3,0.27,0.28,0.35,0.24,0.07,0.31,0.32,0.28,0.34,0.19
07/05,0.33,0.39,0.38,0.34,0.37,0.1,0.33,0.3,0.31,0.39,0.27,0.0,0.35,0.36,0.31,0.37,0.2
07/06,0.31,0.37,0.37,0.33,0.35,0.1,0.31,0.29,0.3,0.37,0.25,,0.34,0.34,0.3,0.34,0.18
07/07,0.32,0.38,0.38,0.34,0.36,0.1,0.32,0.31,0.3,0.38,0.26,,0.35,0.35,0.32,0.33,0.18
07/08,0.35,0.41,0.41,0.37,0.39,0.1,0.35,0.34,0.33,0.41,0.28,,0.38,0.37,0.35,0.34,0.18
07/09,0.31,0.36,0.36,0.33,0.34,0.09,0.31,0.3,0.29,0.36,0.24,,0.33,0.33,0.31,0.29,0.15
07/10,0.33,0.39,0.39,0.36,0.37,0.0,0.33,0.33,0.31,0.39,0.27,,0.36,0.35,0.34,0.3,0.15
07/11,0.31,0.37,0.37,0.34,0.35,,0.31,0.32,0.3,0.37,0.25,,0.34,0.33,0.33,0.27,0.14
07/12,0.31,0.37,0.37,0.35,0.35,,0.31,0.33,0.3,0.37,0.25,,0.34,0.33,0.33,0.26,0.13
07/13,0.33,0.39,0.39,0.37,0.37,,0.33,0.35,0.31,0.39,0.27,,0.36,0.35,0.35,0.26,0.13
07/14,0.31,0.36,0.36,0.34,0.34,,0.31,0.33,0.29,0.36,0.24,,0.33,0.32,0.33,0.23,0.11
07/15,0.31,0.37,0.37,0.36,0.35,,0.31,0.34,0.3,0.37,0.25,,0.34,0.33,0.35,0.22,0.0
07/16,0.32,0.38,0.38,0.37,0.36,,0.32,0.36,0.3,0.38,0.26,,0.35,0.34,0.36,0.22,
07/17,0.32,0.38,0.38,0.37,0.36,,0.32,0.36,0.3,0.38,0.26,,0.35,0.33,0.37,0.2,
07/18,0.27,0.32,0.32,0.31,0.3,,0.27,0.31,0.26,0.32,0.22,,0.3,0.28,0.31,0.16,
07/19,0.31,0.37,0.37,0.37,0.35,,0.31,0.36,0.3,0.37,0.25,,0.34,0.32,0.37,0.17,
07/20,0.31,0.36,0.36,0.36,0.34,,0.31,0.36,0.29,0.36,0.24,,0.33,0.31,0.36,0.15,
07/21,0.32,0.38,0.38,0.38,0.36,,0.32,0.38,0.3,0.38,0.26,,0.35,0.32,0.38,0.15,
07/22,0.32,0.38,0.38,0.38,0.36,,0.32,0.38,0.3,0.38,0.26,,0.35,0.32,0.38,0.14,
07/23,0.29,0.34,0.34,0.34,0.32,,0.29,0.34,0.27,0.34,0.23,,0.32,0.29,0.34,0.12,
07/24,0.32,0.38,0.38,0.38,0.36,,0.32,0.38,0.3,0.38,0.26,,0.35,0.32,0.38,0.12,
07/25,0.25,0.29,0.29,0.29,0.28,,0.25,0.29,0.23,0.29,0.2,,0.27,0.24,0.29,0.0,
07/26,0.26,0.3,0.3,0.3,0.28,,0.26,0.3,0.24,0.3,0.2,,0.28,0.25,0.3,,
07/27,0.28,0.33,0.33,0.33,0.31,,0.28,0.33,0.26,0.33,0.22,,0.31,0.27,0.33,,
07/28,0.29,0.34,0.34,0.34,0.31,,0.29,0.34,0.27,0.34,0.23,,0.32,0.28,0.34,,
07/29,0.28,0.33,0.33,0.33,0.3,,0.28,0.33,0.26,0.33,0.22,,0.3,0.27,0.33,,
07/30,0.31,0.36,0.36,0.36,0.33,,0.31,0.36,0.29,0.36,0.24,,0.33,0.29,0.36,,
07/31,0.28,0.33,0.33,0.33,0.29,,0.28,0.33,0.26,0.33,0.22,,0.3,0.26,0.33,,
08/01,0.28,0.33,0.33,0.33,0.29,,0.28,0.33,0.26,0.32,0.22,,0.3,0.26,0.33,,
08/02,0.31,0.36,0.36,0.36,0.31,,0.31,0.36,0.29,0.34,0.24,,0.33,0.28,0.36,,
08/03,0.27,0.32,0.32,0.32,0.27,,0.27,0.32,0.26,0.3,0.22,,0.29,0.24,0.31,,
08/04,0.2,0.24,0.24,0.24,0.2,,0.2,0.24,0.19,0.22,0.16,,0.21,0.18,0.23,,
08/05,0.22,0.26,0.26,0.26,0.21,,0.22,0.26,0.21,0.23,0.18,,0.23,0.19,0.25,,
08/06,0.15,0.18,0.18,0.18,0.14,,0.15,0.18,0.14,0.15,0.12,,0.16,0.13,0.17,,
08/07,0.12,0.14,0.14,0.14,0.11,,0.12,0.14,0.11,0.12,0.1,,0.12,0.1,0.13,,
08/08,0.26,0.3,0.3,0.3,0.23,,0.26,0.3,0.24,0.24,0.2,,0.26,0.21,0.28,,
08/09,0.26,0.31,0.31,0.31,0.23,,0.26,0.31,0.25,0.24,0.21,,0.27,0.22,0.29,,
08/10,0.29,0.34,0.34,0.34,0.24,,0.29,0.34,0.27,0.26,0.23,,0.29,0.23,0.31,,
08/11,0.27,0.32,0.32,0.32,0.22,,0.27,0.32,0.26,0.23,0.22,,0.27,0.21,0.29,,
08/12,0.26,0.31,0.31,0.31,0.21,,0.26,0.31,0.25,0.22,0.21,,0.26,0.2,0.28,,
08/13,0.28,0.33,0.33,0.33,0.21,,0.28,0.32,0.26,0.22,0.22,,0.27,0.21,0.3,,
08/14,0.26,0.31,0.31,0.31,0.19,,0.26,0.3,0.25,0.2,0.21,,0.25,0.19,0.28,,
08/15,0.27,0.32,0.32,0.32,0.19,,0.27,0.31,0.26,0.2,0.22,,0.26,0.2,0.28,,
08/16,0.36,0.42,0.42,0.42,0.24,,0.36,0.41,0.34,0.25,0.29,,0.34,0.25,0.37,,
08/17,0.34,0.4,0.4,0.4,0.22,,0.34,0.39,0.32,0.23,0.27,,0.32,0.24,0.35,,
08/18,0.32,0.38,0.38,0.38,0.19,,0.32,0.36,0.3,0.21,0.26,,0.31,0.22,0.33,,
08/19,0.22,0.26,0.26,0.26,0.13,,0.22,0.25,0.21,0.14,0.18,,0.21,0.15,0.22,,
08/20,0.12,0.14,0.14,0.14,0.06,,0.12,0.13,0.11,0.0,0.1,,0.11,0.08,0.12,,
08/21,0.12,0.14,0.14,0.14,0.06,,0.12,0.13,0.11,,0.1,,0.11,0.08,0.12,,
08/22,0.1,0.12,0.12,0.12,0.05,,0.1,0.11,0.1,,0.08,,0.09,0.06,0.1,,
08/23,0.21,0.25,0.25,0.25,0.09,,0.21,0.23,0.2,,0.17,,0.19,0.13,0.2,,
08/24,0.25,0.29,0.29,0.29,0.1,,0.25,0.27,0.23,,0.2,,0.22,0.14,0.23,,
08/25,0.23,0.27,0.27,0.27,0.0,,0.23,0.25,0.22,,0.18,,0.2,0.12,0.0,,
08/26,0.16,0.19,0.19,0.19,,,0.16,0.17,0.15,,0.13,,0.14,0.08,,,
08/27,0.21,0.25,0.24,0.25,,,0.21,0.23,0.2,,0.17,,0.18,0.1,,,
08/28,0.26,0.3,0.28,0.3,,,0.26,0.27,0.24,,0.2,,0.21,0.1,,,
08/29,0.25,0.29,0.27,0.29,,,0.25,0.26,0.23,,0.2,,0.2,0.09,,,
08/30,0.3,0.35,0.32,0.35,,,0.3,0.32,0.28,,0.24,,0.23,0.1,,,
08/31,0.13,0.15,0.13,0.15,,,0.13,0.13,0.12,,0.1,,0.09,0.04,,,
09/01,0.14,0.17,0.15,0.17,,,0.14,0.15,0.14,,0.11,,0.1,0.0,,,
09/02,0.16,0.19,0.16,0.19,,,0.16,0.17,0.15,,0.13,,0.11,,,,
09/03,0.23,0.27,0.23,0.27,,,0.23,0.24,0.22,,0.18,,0.15,,,,
09/04,0.21,0.25,0.21,0.25,,,0.21,0.22,0.2,,0.17,,0.13,,,,
09/05,0.18,0.21,0.17,0.21,,,0.18,0.18,0.17,,0.14,,0.0,,,,
09/06,0.23,0.27,0.22,0.27,,,0.23,0.23,0.22,,0.18,,,,,,
09/07,0.22,0.26,0.2,0.26,,,0.22,0.22,0.21,,0.17,,,,,,
09/08,0.19,0.22,0.17,0.22,,,0.19,0.19,0.18,,0.14,,,,,,
09/09,0.18,0.21,0.16,0.21,,,0.18,0.18,0.17,,0.14,,,,,,
09/10,0.19,0.22,0.16,0.22,,,0.19,0.19,0.18,,0.14,,,,,,
09/11,0.22,0.26,0.19,0.26,,,0.22,0.22,0.21,,0.17,,,,,,
09/12,0.22,0.26,0.19,0.26,,,0.22,0.22,0.21,,0.17,,,,,,
09/13,0.2,0.23,0.16,0.23,,,0.2,0.19,0.18,,0.15,,,,,,
09/14,0.22,0.26,0.18,0.26,,,0.22,0.22,0.21,,0.17,,,,,,
09/15,0.19,0.22,0.15,0.22,,,0.0,0.18,0.18,,0.14,,,,,,
09/16,0.18,0.21,0.14,0.21,,,,0.17,0.17,,0.13,,,,,,
09/17,0.28,0.33,0.22,0.33,,,,0.27,0.26,,0.21,,,,,,
09/18,0.25,0.29,0.19,0.29,,,,0.23,0.23,,0.18,,,,,,
09/19,0.19,0.22,0.14,0.22,,,,0.18,0.18,,0.14,,,,,,
09/20,0.09,0.11,0.07,0.0,,,,0.0,0.09,,0.07,,,,,,
09/21,0.03,0.03,0.02,,,,,,0.02,,0.02,,,,,,
09/22,0.12,0.14,0.08,,,,,,0.11,,0.09,,,,,,
09/23,0.12,0.14,0.08,,,,,,0.11,,0.09,,,,,,
09/24,0.09,0.11,0.06,,,,,,0.09,,0.07,,,,,,
09/25,0.1,0.12,0.07,,,,,,0.1,,0.07,,,,,,
09/26,0.12,0.14,0.07,,,,,,0.11,,0.08,,,,,,
09/27,0.14,0.16,0.08,,,,,,0.13,,0.1,,,,,,
09/28,0.15,0.18,0.09,,,,,,0.14,,0.11,,,,,,
09/29,0.05,0.06,0.03,,,,,,0.05,,0.04,,,,,,
09/30,0.1,0.12,0.06,,,,,,0.1,,0.07,,,,,,
10/01,0.09,0.1,0.05,,,,,,0.08,,0.06,,,,,,
10/02,0.18,0.21,0.09,,,,,,0.17,,0.12,,,,,,
10/03,0.07,0.08,0.03,,,,,,0.06,,0.04,,,,,,
10/04,0.18,0.21,0.09,,,,,,0.17,,0.11,,,,,,
10/05,0.14,0.16,0.0,,,,,,0.13,,0.08,,,,,,
10/06,0.11,0.13,,,,,,,0.1,,0.07,,,,,,
10/07,0.1,0.12,,,,,,,0.1,,0.06,,,,,,
10/08,0.13,0.15,,,,,,,0.12,,0.07,,,,,,
10/09,0.1,0.12,,,,,,,0.1,,0.06,,,,,,
10/10,0.07,0.08,,,,,,,0.06,,0.04,,,,,,
10/11,0.08,0.09,,,,,,,0.07,,0.04,,,,,,
10/12,0.08,0.09,,,,,,,0.07,,0.04,,,,,,
10/13,0.06,0.07,,,,,,,0.06,,0.03,,,,,,
10/14,0.08,0.09,,,,,,,0.07,,0.04,,,,,,
10/15,0.0,0.0,,,,,,,0.0,,0.0,,,,,,
