# Station Code,sigm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
04/19,0.098,0.102,0.115,0.087,0.036,,0.037,0.128
04/20,0.092,0.095,0.102,0.081,0.035,,0.037,0.117
04/21,0.103,0.108,0.115,0.088,0.034,,0.039,0.128
04/22,0.098,0.101,0.111,0.088,0.032,,0.038,0.125
04/23,0.086,0.089,0.1,0.078,0.031,,0.033,0.112
04/24,0.099,0.102,0.108,0.085,0.035,,0.039,0.123
04/25,0.115,0.121,0.125,0.1,0.038,0.05,0.047,0.142
04/26,0.095,0.098,0.101,0.081,0.031,0.025,0.038,0.116
04/27,0.114,0.121,0.122,0.098,0.038,0.04,0.049,0.142
04/28,0.115,0.122,0.12,0.097,0.041,0.05,0.055,0.139
04/29,0.116,0.123,0.122,0.098,0.04,0.05,0.058,0.143
04/30,0.109,0.116,0.114,0.092,0.039,0.06,0.057,0.132
05/01,0.136,0.149,0.138,0.115,0.048,0.067,0.079,0.165
05/02,0.149,0.163,0.148,0.121,0.053,0.077,0.092,0.178
05/03,0.142,0.152,0.14,0.116,0.051,0.06,0.085,0.167
05/04,0.158,0.17,0.155,0.13,0.056,0.057,0.1,0.188
05/05,0.142,0.155,0.135,0.115,0.053,0.05,0.098,0.169
05/06,0.13,0.142,0.124,0.103,0.05,0.057,0.094,0.155
05/07,0.124,0.135,0.118,0.098,0.051,0.057,0.092,0.145
05/08,0.148,0.164,0.141,0.118,0.061,0.063,0.116,0.175
05/09,0.135,0.15,0.128,0.11,0.055,0.047,0.109,0.159
05/10,0.166,0.185,0.156,0.133,0.07,0.061,0.138,0.193
05/11,0.158,0.178,0.148,0.127,0.068,0.058,0.135,0.185
05/12,0.161,0.184,0.154,0.132,0.074,0.066,0.143,0.189
05/13,0.155,0.18,0.146,0.124,0.074,0.06,0.142,0.182
05/14,0.173,0.201,0.163,0.139,0.084,0.068,0.162,0.202
05/15,0.162,0.19,0.154,0.131,0.082,0.066,0.156,0.191
05/16,0.148,0.173,0.14,0.118,0.078,0.058,0.147,0.174
05/17,0.131,0.154,0.124,0.105,0.076,0.057,0.134,0.155
05/18,0.146,0.17,0.137,0.116,0.085,0.065,0.15,0.17
05/19,0.138,0.162,0.128,0.111,0.079,0.056,0.144,0.162
05/20,0.138,0.162,0.13,0.109,0.088,0.061,0.147,0.162
05/21,0.154,0.18,0.145,0.125,0.1,0.068,0.165,0.18
05/22,0.147,0.173,0.139,0.118,0.102,0.07,0.162,0.173
05/23,0.153,0.18,0.145,0.123,0.106,0.07,0.17,0.18
05/24,0.144,0.17,0.135,0.115,0.101,0.069,0.163,0.17
05/25,0.142,0.168,0.133,0.115,0.105,0.065,0.162,0.168
05/26,0.132,0.155,0.123,0.106,0.102,0.062,0.149,0.155
05/27,0.144,0.171,0.138,0.115,0.115,0.07,0.166,0.171
05/28,0.141,0.165,0.132,0.112,0.11,0.068,0.161,0.165
05/29,0.171,0.202,0.162,0.137,0.143,0.087,0.196,0.202
05/30,0.167,0.195,0.155,0.135,0.143,0.084,0.192,0.195
05/31,0.162,0.189,0.152,0.129,0.145,0.085,0.187,0.189
06/01,0.156,0.184,0.147,0.125,0.145,0.086,0.183,0.184
06/02,0.155,0.181,0.145,0.123,0.143,0.083,0.18,0.181
06/03,0.166,0.197,0.157,0.134,0.159,0.095,0.196,0.197
06/04,0.186,0.217,0.175,0.148,0.179,0.111,0.216,0.217
06/05,0.191,0.225,0.179,0.152,0.192,0.119,0.224,0.225
06/06,0.165,0.195,0.157,0.132,0.177,0.111,0.195,0.195
06/07,0.176,0.206,0.165,0.141,0.187,0.117,0.206,0.206
06/08,0.168,0.2,0.161,0.136,0.185,0.118,0.2,0.2
06/09,0.158,0.185,0.148,0.126,0.171,0.111,0.185,0.185
06/10,0.151,0.178,0.142,0.122,0.164,0.107,0.178,0.178
06/11,0.186,0.218,0.176,0.148,0.205,0.135,0.218,0.218
06/12,0.185,0.218,0.175,0.149,0.209,0.138,0.218,0.218
06/13,0.158,0.188,0.149,0.128,0.181,0.119,0.188,0.188
06/14,0.161,0.189,0.15,0.128,0.183,0.123,0.189,0.189
06/15,0.178,0.208,0.166,0.143,0.202,0.142,0.208,0.207
06/16,0.156,0.182,0.146,0.123,0.177,0.122,0.182,0.182
06/17,0.157,0.184,0.148,0.125,0.18,0.128,0.184,0.182
06/18,0.151,0.178,0.143,0.122,0.174,0.125,0.178,0.176
06/19,0.163,0.19,0.152,0.128,0.184,0.139,0.19,0.187
06/20,0.162,0.191,0.153,0.131,0.184,0.146,0.191,0.187
06/21,0.203,0.239,0.192,0.163,0.23,0.186,0.239,0.235
06/22,0.214,0.251,0.201,0.172,0.238,0.198,0.251,0.245
06/23,0.184,0.216,0.174,0.148,0.203,0.171,0.216,0.21
06/24,0.189,0.222,0.178,0.151,0.208,0.176,0.222,0.218
06/25,0.205,0.242,0.192,0.165,0.218,0.197,0.242,0.235
06/26,0.208,0.244,0.196,0.167,0.219,0.199,0.244,0.234
06/27,0.218,0.254,0.203,0.171,0.223,0.212,0.254,0.242
06/28,0.222,0.262,0.21,0.178,0.222,0.222,0.262,0.245
06/29,0.192,0.225,0.18,0.155,0.185,0.193,0.225,0.208
06/30,0.227,0.266,0.213,0.181,0.21,0.23,0.266,0.245
07/01,0.244,0.286,0.229,0.196,0.221,0.25,0.286,0.261
07/02,0.236,0.276,0.221,0.189,0.205,0.243,0.276,0.251
07/03,0.23,0.27,0.215,0.185,0.189,0.241,0.27,0.235
07/04,0.24,0.282,0.225,0.192,0.193,0.251,0.282,0.245
07/05,0.244,0.287,0.23,0.195,0.19,0.257,0.287,0.25
07/06,0.235,0.277,0.222,0.187,0.175,0.248,0.277,0.234
07/07,0.234,0.274,0.218,0.186,0.164,0.247,0.274,0.222
07/08,0.239,0.278,0.222,0.188,0.158,0.255,0.278,0.216
07/09,0.242,0.284,0.227,0.192,0.155,0.259,0.283,0.212
07/10,0.239,0.28,0.225,0.19,0.14,0.258,0.278,0.195
07/11,0.225,0.262,0.21,0.179,0.13,0.241,0.262,0.193
07/12,0.242,0.282,0.225,0.192,0.131,0.261,0.278,0.196
07/13,0.232,0.272,0.218,0.185,0.119,0.252,0.266,0.178
07/14,0.245,0.288,0.232,0.195,0.118,0.266,0.282,0.179
07/15,0.244,0.283,0.226,0.192,0.103,0.262,0.273,0.156
07/16,0.231,0.272,0.218,0.185,0.107,0.252,0.258,0.172
07/17,0.231,0.271,0.216,0.184,0.095,0.252,0.253,0.161
07/18,0.252,0.297,0.238,0.201,0.106,0.275,0.278,0.168
07/19,0.257,0.3,0.239,0.204,0.097,0.279,0.271,0.152
07/20,0.257,0.303,0.242,0.205,0.08,0.282,0.268,0.148
07/21,0.262,0.309,0.247,0.211,0.09,0.287,0.258,0.133
07/22,0.25,0.294,0.235,0.201,0.077,0.275,0.241,0.12
07/23,0.258,0.305,0.242,0.205,0.078,0.284,0.235,0.116
07/24,0.265,0.312,0.249,0.21,0.08,0.289,0.233,0.114
07/25,0.248,0.29,0.232,0.197,0.03,0.27,0.186,0.025
07/26,0.24,0.282,0.225,0.191,0.09,0.262,0.205,0.12
07/27,0.237,0.277,0.222,0.188,0.09,0.256,0.195,0.115
07/28,0.244,0.286,0.228,0.195,0.08,0.266,0.178,0.11
07/29,0.265,0.312,0.248,0.21,0.073,0.29,0.177,0.11
07/30,0.271,0.318,0.255,0.216,0.073,0.295,0.169,0.065
07/31,0.268,0.313,0.251,0.212,0.063,0.29,0.145,0.09
08/01,0.256,0.302,0.241,0.203,0.023,0.278,0.101,0.0
08/02,0.245,0.287,0.23,0.195,0.08,0.263,0.116,
08/03,0.243,0.285,0.228,0.192,0.06,0.262,0.113,
08/04,0.239,0.281,0.225,0.191,0.05,0.258,0.094,
08/05,0.227,0.264,0.211,0.179,0.0,0.242,0.01,
08/06,0.213,0.251,0.202,0.169,,0.228,0.05,
08/07,0.238,0.277,0.222,0.187,,0.25,0.1,
08/08,0.224,0.262,0.21,0.179,,0.235,0.08,
08/09,0.215,0.251,0.2,0.17,,0.224,0.07,
08/10,0.211,0.248,0.198,0.168,,0.221,0.0,
08/11,0.223,0.262,0.21,0.178,,0.233,,
08/12,0.208,0.244,0.195,0.167,,0.216,,
08/13,0.213,0.251,0.202,0.17,,0.22,,
08/14,0.218,0.256,0.204,0.175,,0.225,,
08/15,0.224,0.263,0.21,0.178,,0.23,,
08/16,0.222,0.261,0.21,0.176,,0.225,,
08/17,0.21,0.246,0.197,0.166,,0.21,,
08/18,0.218,0.255,0.204,0.175,,0.219,,
08/19,0.22,0.258,0.207,0.176,,0.218,,
08/20,0.189,0.223,0.177,0.152,,0.187,,
08/21,0.19,0.221,0.176,0.151,,0.184,,
08/22,0.182,0.215,0.17,0.146,,0.178,,
08/23,0.185,0.218,0.172,0.148,,0.179,,
08/24,0.183,0.216,0.172,0.146,,0.178,,
08/25,0.177,0.208,0.165,0.141,,0.168,,
08/26,0.18,0.212,0.171,0.143,,0.172,,
08/27,0.189,0.222,0.176,0.151,,0.179,,
08/28,0.195,0.231,0.185,0.154,,0.183,,
08/29,0.194,0.229,0.182,0.154,,0.181,,
08/30,0.173,0.203,0.163,0.135,,0.161,,
08/31,0.168,0.198,0.158,0.131,,0.155,,
09/01,0.192,0.225,0.182,0.15,,0.175,,
09/02,0.185,0.219,0.175,0.145,,0.168,,
09/03,0.148,0.175,0.141,0.116,,0.135,,
09/04,0.155,0.182,0.146,0.118,,0.137,,
09/05,0.152,0.179,0.142,0.117,,0.135,,
09/06,0.148,0.174,0.138,0.112,,0.128,,
09/07,0.152,0.178,0.143,0.115,,0.127,,
09/08,0.152,0.178,0.142,0.116,,0.124,,
09/09,0.136,0.161,0.128,0.103,,0.112,,
09/10,0.145,0.172,0.138,0.11,,0.105,,
09/11,0.148,0.173,0.138,0.11,,0.123,,
09/12,0.147,0.172,0.139,0.109,,0.115,,
09/13,0.138,0.163,0.13,0.102,,0.103,,
09/14,0.128,0.152,0.122,0.095,,0.096,,
09/15,0.128,0.153,0.122,0.095,,0.09,,
09/16,0.13,0.154,0.123,0.095,,0.1,,
09/17,0.127,0.148,0.118,0.089,,0.091,,
09/18,0.111,0.13,0.104,0.08,,0.072,,
09/19,0.103,0.12,0.095,0.072,,0.065,,
09/20,0.111,0.13,0.103,0.077,,0.02,,
09/21,0.112,0.132,0.105,0.078,,0.073,,
09/22,0.087,0.103,0.082,0.059,,0.067,,
09/23,0.107,0.125,0.101,0.072,,0.077,,
09/24,0.112,0.133,0.106,0.074,,0.083,,
09/25,0.102,0.119,0.095,0.066,,0.043,,
09/26,0.111,0.129,0.103,0.068,,0.06,,
09/27,0.099,0.117,0.094,0.061,,0.045,,
09/28,0.093,0.109,0.086,0.055,,0.045,,
09/29,0.095,0.11,0.088,0.053,,0.045,,
09/30,0.085,0.1,0.082,0.048,,0.0,,
10/01,0.077,0.091,0.074,0.042,,,,
10/02,0.083,0.098,0.079,0.045,,,,
10/03,0.082,0.095,0.077,0.041,,,,
10/04,0.075,0.089,0.072,0.038,,,,
10/05,0.005,0.006,0.005,0.003,,,,
10/06,0.05,0.06,0.05,0.03,,,,
10/07,0.06,0.07,0.06,0.03,,,,
10/08,0.08,0.09,0.07,0.04,,,,
10/09,0.06,0.07,0.06,0.03,,,,
