# Station Code,covm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
09/03,0.131,0.153,0.122,0.099,
09/04,0.132,0.155,0.123,0.1,
09/05,0.13,0.152,0.121,0.098,
09/06,0.13,0.152,0.123,0.099,
09/07,0.131,0.155,0.125,0.1,
09/08,0.126,0.149,0.12,0.095,
09/09,0.122,0.144,0.115,0.09,
09/10,0.13,0.152,0.122,0.096,
09/11,0.122,0.143,0.116,0.088,
09/12,0.12,0.141,0.114,0.086,
09/13,0.122,0.142,0.112,0.087,
09/14,0.104,0.119,0.095,0.072,
09/15,0.095,0.111,0.087,0.068,
09/16,0.108,0.127,0.102,0.077,
09/17,0.112,0.13,0.104,0.078,
09/18,0.105,0.122,0.098,0.072,
09/19,0.098,0.113,0.089,0.065,
09/20,0.097,0.114,0.092,0.064,
09/21,0.099,0.116,0.092,0.062,
09/22,0.08,0.095,0.075,0.05,
09/23,0.095,0.112,0.09,0.058,
09/24,0.095,0.112,0.091,0.055,
09/25,0.096,0.113,0.09,0.053,
09/26,0.098,0.116,0.093,0.055,
09/27,0.09,0.106,0.084,0.048,
09/28,0.082,0.097,0.079,0.044,
09/29,0.088,0.102,0.081,0.043,
09/30,0.0,0.0,0.0,0.0,
