# Station Code,imbo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,BLGR,CHRY,FCRN,GARL,LAWN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,SOYB,WGRN
05/03,0.16,0.185,0.02,,0.051,0.181,0.097,,0.105,0.149,0.128,0.062,0.067,0.07,0.052,,0.053,0.136,,0.186
05/04,0.172,0.201,0.04,,0.057,0.193,0.113,,0.117,0.162,0.139,0.076,0.085,0.08,0.062,,0.067,0.159,,0.202
05/05,0.157,0.184,0.03,0.03,0.049,0.177,0.092,,0.105,0.148,0.126,0.067,0.084,0.06,0.054,0.03,0.043,0.15,,0.184
05/06,0.158,0.183,0.02,0.033,0.051,0.177,0.092,,0.108,0.148,0.125,0.069,0.091,0.06,0.055,0.03,0.047,0.148,,0.183
05/07,0.163,0.191,0.03,0.043,0.05,0.183,0.101,,0.115,0.152,0.129,0.072,0.091,0.055,0.062,0.02,0.053,0.161,,0.191
05/08,0.172,0.203,0.03,0.047,0.055,0.195,0.111,,0.125,0.162,0.138,0.077,0.101,0.06,0.067,0.02,0.053,0.171,,0.203
05/09,0.158,0.185,0.03,0.043,0.048,0.179,0.09,,0.115,0.148,0.126,0.079,0.099,0.065,0.061,0.02,0.053,0.162,,0.185
05/10,0.171,0.2,0.06,0.043,0.056,0.192,0.102,0.055,0.125,0.159,0.138,0.086,0.113,0.07,0.071,0.041,0.063,0.173,,0.2
05/11,0.176,0.208,0.07,0.047,0.059,0.198,0.112,0.05,0.132,0.166,0.144,0.09,0.124,0.07,0.075,0.04,0.061,0.179,,0.208
05/12,0.175,0.207,0.05,0.057,0.061,0.199,0.119,0.065,0.135,0.166,0.14,0.085,0.114,0.065,0.079,0.036,0.057,0.177,,0.207
05/13,0.182,0.216,0.11,0.053,0.064,0.207,0.126,0.055,0.14,0.172,0.146,0.096,0.133,0.075,0.085,0.041,0.064,0.184,,0.216
05/14,0.167,0.197,0.08,0.063,0.056,0.189,0.115,0.065,0.132,0.157,0.134,0.098,0.128,0.06,0.082,0.041,0.063,0.168,,0.197
05/15,0.16,0.186,0.04,0.057,0.051,0.179,0.115,0.053,0.125,0.15,0.126,0.09,0.118,0.064,0.078,0.041,0.059,0.165,0.02,0.186
05/16,0.142,0.168,0.07,0.063,0.048,0.161,0.108,0.06,0.12,0.135,0.115,0.09,0.102,0.058,0.073,0.038,0.059,0.157,0.01,0.168
05/17,0.153,0.179,0.08,0.067,0.052,0.171,0.121,0.06,0.131,0.142,0.122,0.095,0.106,0.056,0.082,0.041,0.057,0.163,0.01,0.179
05/18,0.151,0.178,0.1,0.057,0.054,0.168,0.124,0.037,0.126,0.142,0.12,0.086,0.115,0.054,0.08,0.037,0.049,0.162,0.03,0.178
05/19,0.15,0.177,0.14,0.073,0.053,0.166,0.125,0.053,0.129,0.141,0.121,0.096,0.118,0.056,0.082,0.043,0.057,0.162,0.03,0.177
05/20,0.151,0.178,0.16,0.073,0.055,0.168,0.128,0.07,0.135,0.142,0.121,0.117,0.122,0.07,0.088,0.047,0.063,0.163,0.02,0.178
05/21,0.159,0.187,0.11,0.07,0.059,0.177,0.142,0.07,0.142,0.15,0.127,0.121,0.129,0.068,0.095,0.049,0.062,0.172,0.02,0.187
05/22,0.161,0.189,0.15,0.068,0.061,0.178,0.149,0.06,0.145,0.152,0.13,0.115,0.14,0.066,0.098,0.051,0.059,0.18,0.02,0.189
05/23,0.164,0.192,0.06,0.072,0.064,0.181,0.155,0.057,0.148,0.155,0.132,0.123,0.145,0.064,0.099,0.055,0.065,0.187,0.015,0.192
05/24,0.16,0.188,0.12,0.09,0.062,0.175,0.158,0.063,0.151,0.152,0.128,0.122,0.146,0.062,0.104,0.058,0.061,0.181,0.025,0.188
05/25,0.155,0.184,0.09,0.067,0.064,0.17,0.157,0.057,0.149,0.146,0.125,0.126,0.144,0.065,0.102,0.064,0.062,0.172,0.02,0.184
05/26,0.161,0.191,0.15,0.071,0.068,0.177,0.169,0.065,0.158,0.152,0.129,0.137,0.155,0.068,0.109,0.072,0.066,0.189,0.03,0.191
05/27,0.159,0.186,0.08,0.073,0.067,0.17,0.168,0.058,0.153,0.149,0.128,0.125,0.154,0.058,0.111,0.072,0.061,0.186,0.035,0.186
05/28,0.175,0.207,0.15,0.076,0.075,0.19,0.192,0.058,0.172,0.165,0.14,0.145,0.176,0.072,0.122,0.085,0.066,0.205,0.04,0.207
05/29,0.185,0.215,0.17,0.093,0.08,0.194,0.202,0.065,0.182,0.172,0.148,0.157,0.185,0.075,0.13,0.097,0.075,0.207,0.043,0.215
05/30,0.188,0.221,0.14,0.09,0.086,0.199,0.211,0.068,0.188,0.177,0.152,0.168,0.196,0.085,0.134,0.107,0.08,0.215,0.053,0.221
05/31,0.182,0.213,0.17,0.099,0.085,0.19,0.208,0.073,0.188,0.171,0.145,0.175,0.19,0.093,0.135,0.117,0.081,0.209,0.037,0.213
06/01,0.187,0.219,0.16,0.1,0.092,0.195,0.219,0.072,0.195,0.176,0.148,0.175,0.202,0.084,0.142,0.125,0.082,0.214,0.034,0.219
06/02,0.175,0.207,0.08,0.091,0.087,0.181,0.208,0.07,0.182,0.165,0.142,0.171,0.2,0.082,0.135,0.127,0.076,0.2,0.04,0.207
06/03,0.198,0.235,0.2,0.096,0.102,0.204,0.24,0.08,0.212,0.189,0.16,0.197,0.223,0.093,0.157,0.149,0.087,0.229,0.054,0.235
06/04,0.207,0.242,0.24,0.105,0.108,0.203,0.248,0.075,0.22,0.194,0.165,0.201,0.223,0.094,0.166,0.158,0.091,0.237,0.046,0.242
06/05,0.21,0.248,0.19,0.094,0.114,0.202,0.255,0.077,0.23,0.198,0.169,0.196,0.229,0.092,0.172,0.17,0.095,0.242,0.056,0.248
06/06,0.201,0.237,0.09,0.108,0.111,0.184,0.246,0.071,0.224,0.188,0.16,0.18,0.213,0.086,0.17,0.168,0.09,0.227,0.054,0.237
06/07,0.202,0.237,0.25,0.098,0.115,0.183,0.245,0.076,0.225,0.189,0.16,0.198,0.223,0.096,0.174,0.182,0.095,0.229,0.063,0.237
06/08,0.175,0.207,0.11,0.098,0.1,0.151,0.215,0.069,0.196,0.165,0.141,0.175,0.2,0.086,0.154,0.165,0.088,0.212,0.051,0.207
06/09,0.172,0.202,0.23,0.094,0.101,0.142,0.208,0.068,0.193,0.161,0.138,0.179,0.193,0.088,0.152,0.163,0.088,0.211,0.051,0.202
06/10,0.174,0.205,0.12,0.109,0.098,0.142,0.213,0.073,0.195,0.164,0.138,0.187,0.214,0.09,0.153,0.179,0.094,0.189,0.049,0.205
06/11,0.186,0.218,0.13,0.113,0.111,0.145,0.228,0.076,0.211,0.175,0.149,0.192,0.22,0.096,0.165,0.19,0.099,0.202,0.066,0.218
06/12,0.195,0.23,0.19,0.116,0.121,0.145,0.239,0.078,0.223,0.184,0.157,0.194,0.226,0.101,0.177,0.199,0.101,0.216,0.07,0.23
06/13,0.192,0.225,0.19,0.113,0.126,0.142,0.234,0.079,0.219,0.179,0.155,0.194,0.226,0.108,0.175,0.205,0.102,0.209,0.091,0.224
06/14,0.202,0.237,0.26,0.127,0.131,0.138,0.247,0.087,0.232,0.19,0.161,0.214,0.245,0.119,0.186,0.225,0.118,0.225,0.093,0.235
06/15,0.179,0.212,0.19,0.114,0.121,0.114,0.22,0.08,0.208,0.17,0.143,0.182,0.215,0.108,0.168,0.201,0.105,0.205,0.086,0.209
06/16,0.192,0.225,0.24,0.12,0.132,0.117,0.235,0.086,0.222,0.18,0.154,0.204,0.233,0.121,0.182,0.219,0.116,0.222,0.103,0.222
06/17,0.187,0.219,0.24,0.114,0.132,0.106,0.228,0.084,0.217,0.175,0.148,0.196,0.221,0.12,0.178,0.208,0.113,0.218,0.111,0.215
06/18,0.155,0.182,0.06,0.103,0.109,0.084,0.189,0.072,0.181,0.146,0.124,0.173,0.189,0.1,0.149,0.179,0.098,0.182,0.11,0.178
06/19,0.188,0.22,0.18,0.126,0.136,0.09,0.228,0.088,0.218,0.175,0.151,0.189,0.219,0.118,0.183,0.208,0.118,0.22,0.137,0.212
06/20,0.202,0.238,0.22,0.142,0.154,0.095,0.248,0.097,0.237,0.19,0.162,0.194,0.235,0.134,0.202,0.229,0.133,0.238,0.144,0.227
06/21,0.209,0.245,0.28,0.148,0.162,0.094,0.254,0.1,0.244,0.195,0.166,0.204,0.242,0.142,0.208,0.237,0.14,0.245,0.149,0.229
06/22,0.224,0.263,0.28,0.153,0.178,0.095,0.273,0.109,0.263,0.209,0.179,0.21,0.257,0.154,0.225,0.253,0.15,0.263,0.17,0.244
06/23,0.228,0.268,0.26,0.167,0.185,0.096,0.278,0.117,0.268,0.215,0.181,0.221,0.271,0.168,0.232,0.268,0.162,0.268,0.2,0.248
06/24,0.215,0.252,0.26,0.164,0.178,0.085,0.262,0.116,0.252,0.202,0.172,0.204,0.258,0.163,0.22,0.257,0.158,0.252,0.209,0.232
06/25,0.222,0.262,0.27,0.165,0.188,0.085,0.271,0.116,0.262,0.21,0.178,0.203,0.259,0.169,0.228,0.258,0.161,0.262,0.213,0.234
06/26,0.22,0.259,0.28,0.163,0.195,0.085,0.268,0.119,0.259,0.207,0.175,0.194,0.255,0.175,0.229,0.253,0.161,0.259,0.239,0.23
06/27,0.228,0.268,0.25,0.177,0.205,0.082,0.278,0.125,0.268,0.214,0.182,0.189,0.261,0.183,0.238,0.26,0.17,0.268,0.227,0.229
06/28,0.23,0.27,0.23,0.182,0.211,0.082,0.28,0.128,0.27,0.215,0.182,0.188,0.263,0.187,0.243,0.263,0.173,0.27,0.229,0.226
06/29,0.222,0.259,0.16,0.182,0.206,0.077,0.27,0.128,0.259,0.208,0.176,0.176,0.253,0.182,0.235,0.253,0.172,0.259,0.227,0.21
06/30,0.261,0.307,0.24,0.219,0.249,0.09,0.318,0.158,0.307,0.245,0.207,0.205,0.306,0.225,0.278,0.305,0.21,0.307,0.284,0.244
07/01,0.259,0.304,0.27,0.222,0.25,0.088,0.314,0.161,0.304,0.243,0.207,0.193,0.302,0.226,0.28,0.302,0.212,0.304,0.276,0.231
07/02,0.258,0.302,0.28,0.23,0.253,0.087,0.312,0.168,0.302,0.242,0.205,0.193,0.306,0.234,0.279,0.306,0.221,0.301,0.283,0.222
07/03,0.255,0.301,0.3,0.227,0.257,0.084,0.312,0.166,0.301,0.24,0.204,0.181,0.297,0.23,0.28,0.297,0.218,0.299,0.273,0.211
07/04,0.259,0.305,0.33,0.235,0.265,0.085,0.315,0.172,0.305,0.245,0.207,0.181,0.303,0.239,0.285,0.303,0.224,0.303,0.287,0.21
07/05,0.27,0.317,0.36,0.251,0.276,0.062,0.328,0.19,0.317,0.253,0.216,0.181,0.319,0.255,0.297,0.319,0.242,0.312,0.306,0.21
07/06,0.274,0.321,0.33,0.259,0.287,0.092,0.332,0.194,0.321,0.258,0.217,0.176,0.323,0.263,0.301,0.323,0.25,0.314,0.324,0.202
07/07,0.272,0.32,0.31,0.265,0.288,0.09,0.331,0.202,0.32,0.257,0.218,0.168,0.325,0.268,0.299,0.325,0.256,0.308,0.333,0.194
07/08,0.263,0.31,0.32,0.268,0.281,0.086,0.322,0.208,0.31,0.247,0.21,0.16,0.325,0.273,0.289,0.325,0.26,0.296,0.333,0.181
07/09,0.258,0.303,0.32,0.261,0.282,0.087,0.313,0.202,0.303,0.244,0.204,0.151,0.311,0.266,0.285,0.311,0.25,0.29,0.339,0.169
07/10,0.248,0.292,0.29,0.262,0.273,0.057,0.303,0.203,0.292,0.235,0.199,0.132,0.307,0.263,0.277,0.307,0.256,0.272,0.31,0.138
07/11,0.269,0.315,0.27,0.277,0.299,0.087,0.326,0.216,0.315,0.254,0.214,0.172,0.323,0.281,0.297,0.323,0.268,0.292,0.367,0.189
07/12,0.269,0.317,0.26,0.28,0.304,0.092,0.329,0.221,0.317,0.254,0.216,0.163,0.324,0.283,0.299,0.324,0.273,0.29,0.359,0.178
07/13,0.255,0.3,0.21,0.268,0.29,0.08,0.312,0.213,0.3,0.239,0.204,0.145,0.305,0.269,0.283,0.305,0.262,0.266,0.34,0.156
07/14,0.275,0.322,0.29,0.281,0.314,0.085,0.332,0.234,0.322,0.257,0.218,0.132,0.322,0.287,0.304,0.322,0.283,0.273,0.369,0.149
07/15,0.269,0.316,0.29,0.283,0.31,0.0,0.328,0.235,0.316,0.252,0.215,0.13,0.319,0.288,0.3,0.319,0.283,0.268,0.351,0.143
07/16,0.255,0.298,0.14,0.271,0.293,,0.309,0.226,0.298,0.237,0.202,0.13,0.301,0.272,0.284,0.301,0.269,0.247,0.347,0.131
07/17,0.267,0.313,0.3,0.288,0.308,,0.325,0.249,0.312,0.249,0.212,0.132,0.324,0.293,0.298,0.324,0.294,0.252,0.366,0.128
07/18,0.272,0.318,0.3,0.294,0.315,,0.329,0.255,0.315,0.255,0.215,0.13,0.328,0.298,0.303,0.328,0.3,0.248,0.36,0.118
07/19,0.251,0.295,0.17,0.274,0.295,,0.307,0.244,0.291,0.236,0.202,0.118,0.304,0.278,0.28,0.304,0.281,0.216,0.341,0.101
07/20,0.269,0.316,0.25,0.288,0.316,,0.328,0.259,0.311,0.254,0.215,0.091,0.32,0.294,0.3,0.32,0.3,0.202,0.363,0.032
07/21,0.279,0.329,0.25,0.3,0.329,,0.341,0.274,0.322,0.264,0.224,0.168,0.331,0.303,0.312,0.331,0.313,0.236,0.364,0.15
07/22,0.278,0.328,0.26,0.299,0.328,,0.339,0.278,0.318,0.262,0.222,0.17,0.332,0.305,0.312,0.332,0.315,0.231,0.367,0.125
07/23,0.274,0.324,0.29,0.294,0.324,,0.335,0.278,0.31,0.259,0.22,0.152,0.328,0.301,0.306,0.328,0.314,0.209,0.35,0.125
07/24,0.28,0.33,0.32,0.296,0.33,,0.342,0.283,0.314,0.263,0.225,0.158,0.328,0.305,0.312,0.328,0.316,0.201,0.354,0.1
07/25,0.28,0.331,0.29,0.292,0.331,,0.344,0.28,0.312,0.264,0.225,0.146,0.323,0.299,0.314,0.323,0.31,0.163,0.35,0.0
07/26,0.262,0.309,0.24,0.276,0.309,,0.32,0.273,0.288,0.248,0.212,0.177,0.308,0.287,0.293,0.308,0.298,0.189,0.321,
07/27,0.271,0.318,0.28,0.285,0.318,,0.328,0.285,0.292,0.255,0.215,0.168,0.318,0.296,0.302,0.318,0.307,0.186,0.326,
07/28,0.294,0.345,0.28,0.303,0.345,,0.357,0.313,0.307,0.275,0.235,0.16,0.343,0.319,0.327,0.343,0.334,0.181,0.334,
07/29,0.305,0.358,0.29,0.318,0.358,,0.371,0.33,0.315,0.285,0.242,0.175,0.359,0.333,0.34,0.359,0.349,0.179,0.351,
07/30,0.296,0.348,0.29,0.302,0.348,,0.358,0.323,0.299,0.276,0.235,0.15,0.344,0.321,0.329,0.343,0.336,0.155,0.333,
07/31,0.272,0.318,0.28,0.276,0.318,,0.328,0.298,0.269,0.252,0.215,0.125,0.316,0.293,0.302,0.315,0.308,0.13,0.294,
08/01,0.262,0.307,0.29,0.265,0.307,,0.314,0.29,0.257,0.245,0.208,0.12,0.305,0.283,0.292,0.304,0.298,0.069,0.263,
08/02,0.28,0.328,0.31,0.281,0.328,,0.334,0.316,0.267,0.262,0.222,0.22,0.328,0.305,0.312,0.325,0.32,0.157,0.279,
08/03,0.256,0.299,0.3,0.258,0.299,,0.304,0.292,0.233,0.238,0.202,0.19,0.301,0.279,0.286,0.296,0.291,0.127,0.23,
08/04,0.262,0.308,0.26,0.253,0.308,,0.308,0.298,0.232,0.247,0.209,0.2,0.303,0.283,0.289,0.291,0.293,0.107,0.22,
08/05,0.27,0.318,0.27,0.264,0.318,,0.317,0.312,0.206,0.255,0.214,0.21,0.317,0.294,0.299,0.303,0.305,0.05,0.219,
08/06,0.256,0.303,0.27,0.249,0.303,,0.301,0.297,0.23,0.243,0.205,0.2,0.3,0.277,0.285,0.28,0.289,0.14,0.23,
08/07,0.245,0.285,0.28,0.228,0.285,,0.281,0.283,0.203,0.227,0.194,0.19,0.284,0.261,0.268,0.254,0.27,0.14,0.18,
08/08,0.251,0.294,0.28,0.239,0.293,,0.289,0.298,0.201,0.234,0.198,0.19,0.3,0.276,0.274,0.256,0.284,0.12,0.165,
08/09,0.248,0.29,0.28,0.237,0.289,,0.28,0.302,0.194,0.232,0.197,0.185,0.302,0.277,0.269,0.245,0.285,0.13,0.155,
08/10,0.245,0.288,0.26,0.228,0.286,,0.278,0.292,0.151,0.23,0.197,0.17,0.292,0.268,0.265,0.23,0.276,0.0,0.143,
08/11,0.248,0.291,0.26,0.219,0.289,,0.278,0.291,0.193,0.233,0.198,0.3,0.291,0.267,0.264,0.22,0.272,,0.15,
08/12,0.241,0.282,0.27,0.204,0.279,,0.268,0.28,0.17,0.225,0.19,0.25,0.28,0.256,0.252,0.196,0.258,,0.128,
08/13,0.255,0.3,0.26,0.223,0.297,,0.282,0.302,0.189,0.24,0.205,0.24,0.302,0.275,0.268,0.206,0.279,,0.15,
08/14,0.247,0.29,0.24,0.204,0.286,,0.269,0.286,0.165,0.232,0.198,0.22,0.287,0.258,0.257,0.181,0.262,,0.116,
08/15,0.24,0.282,0.21,0.179,0.275,,0.26,0.275,0.106,0.224,0.191,0.19,0.276,0.248,0.245,0.156,0.225,,0.086,
08/16,0.26,0.305,0.25,0.252,0.298,,0.278,0.299,0.176,0.245,0.208,0.22,0.302,0.27,0.262,0.172,0.285,,0.127,
08/17,0.255,0.299,0.25,0.236,0.292,,0.269,0.29,0.164,0.239,0.203,0.22,0.292,0.26,0.252,0.157,0.27,,0.097,
08/18,0.265,0.312,0.25,0.23,0.303,,0.279,0.3,0.158,0.249,0.212,0.18,0.302,0.267,0.261,0.146,0.272,,0.087,
08/19,0.237,0.28,0.25,0.212,0.271,,0.248,0.268,0.146,0.225,0.191,0.19,0.271,0.238,0.231,0.125,0.245,,0.06,
08/20,0.235,0.276,0.26,0.198,0.264,,0.243,0.27,0.0,0.222,0.187,0.16,0.274,0.24,0.222,0.062,0.219,,0.037,
08/21,0.226,0.266,0.25,0.178,0.253,,0.232,0.251,,0.215,0.182,0.17,0.255,0.222,0.211,0.145,0.221,,0.05,
08/22,0.218,0.257,0.25,0.163,0.243,,0.221,0.245,,0.204,0.174,0.12,0.25,0.215,0.197,0.107,0.212,,0.04,
08/23,0.217,0.256,0.25,0.165,0.241,,0.218,0.248,,0.206,0.174,0.13,0.255,0.218,0.198,0.117,0.224,,0.03,
08/24,0.22,0.258,0.24,0.152,0.241,,0.218,0.246,,0.208,0.176,0.11,0.255,0.216,0.194,0.087,0.212,,0.0,
08/25,0.213,0.25,0.25,0.122,0.233,,0.211,0.235,,0.199,0.169,0.08,0.243,0.204,0.042,0.03,0.095,,,
08/26,0.219,0.258,0.26,0.143,0.24,,0.215,0.244,,0.208,0.175,0.05,0.254,0.212,0.203,0.13,0.203,,,
08/27,0.211,0.249,0.25,0.134,0.229,,0.204,0.233,,0.2,0.167,0.05,0.243,0.201,0.197,0.13,0.208,,,
08/28,0.212,0.251,0.24,0.13,0.229,,0.206,0.233,,0.2,0.169,0.07,0.245,0.201,0.19,0.08,0.217,,,
08/29,0.228,0.269,0.23,0.139,0.244,,0.218,0.25,,0.216,0.182,0.09,0.265,0.216,0.187,0.12,0.235,,,
08/30,0.191,0.224,0.22,0.113,0.202,,0.18,0.212,,0.178,0.148,0.04,0.226,0.182,0.175,0.085,0.196,,,
08/31,0.205,0.239,0.2,0.1,0.215,,0.188,0.222,,0.193,0.161,0.05,0.238,0.192,0.168,0.075,0.198,,,
09/01,0.198,0.233,0.19,0.061,0.209,,0.182,0.221,,0.186,0.155,0.05,0.238,0.189,0.0,0.0,0.178,,,
09/02,0.198,0.234,0.18,0.115,0.209,,0.177,0.219,,0.187,0.155,0.05,0.235,0.187,,,0.23,,,
09/03,0.203,0.238,0.22,0.115,0.209,,0.179,0.223,,0.192,0.158,0.05,0.24,0.188,,,0.232,,,
09/04,0.208,0.243,0.19,0.1,0.212,,0.178,0.221,,0.195,0.16,0.06,0.241,0.188,,,0.233,,,
